ae.teletronics	godfather	0.9		N/A
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200106-47b62c1-NIGHTLY		4cab1fa187269486c87a691b4263c5b92b34730a
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200107-21a5608-NIGHTLY		d65a93e4fca7504018005403149003bb0bd896c8
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200110-842e4c4-NIGHTLY		14257b139279013aaa5083da55ed8b6617c37b12
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200113-0f0d25c-NIGHTLY		9338a140e8953614491d736360eb4c12e4825909
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200114-193f7de-NIGHTLY		e359bdd16cb85087cfd9d1600e751e5b60dda227
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200115-83ab6c7-NIGHTLY		7c6e20e46fe58c87b94cf342dfccc3380f3840df
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200116-9ab1842-NIGHTLY		aceacccb660ed175a05f8800df519440bc3f87b8
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200118-754a552-NIGHTLY		291a7a150b3b5d0f2f9b3ff31980c36b497c94de
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200120-90a6448-NIGHTLY		dc7489919f389fe46e2be89635ebea1bd4af6d9d
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200121-54ab00e-NIGHTLY		eb6b61384e0f4b2eb73ebbb81d754cf0203e6685
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200122-5a86c1f-NIGHTLY		36a37ac59d24c28fcb5fed729a624d2776254c10
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200123-9982f0d-NIGHTLY		9805aff37a17ec30c59693f3a7b6ce621e3f8b93
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200124-c4f6fee-NIGHTLY		11d16dbd0b4dbe0b5a7793c8e05c488e4ea2c9ea
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200125-c8371e4-NIGHTLY		f331c0124bfaf2f92e78f79199564e6f737ebc69
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200127-f00fa72-NIGHTLY		2af8c2944e6efb19633c145df6ec01b34a561593
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200128-e7a0f80-NIGHTLY		4bdbe3f53315bf9bcc8a7199770243bc4b58e502
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200129-c1612fa-NIGHTLY		bd19a70a5d8b1ad18424a6b8192b422671d7dedd
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200201-c4c847f-NIGHTLY		ecf0593d7549e367914e4fa9d4e13906f81d0735
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200202-c2478a3-NIGHTLY		0408aacc8e39fead43e1dd9f9730f3198a2d2fc1
cn.com.jeeweb	jeeweb-ehcache2	2.0.0		fdbda0286b0f63314b1b953ad505aab27cf2e9f6
cn.com.jeeweb	jeeweb-ehcache2	2.0.1		ab3a9a26820c564564ffad07e4d372165f5298fb
com.aliyun	credentials-java	0.0.1		821c0d4cf4f2fa5a8c157af000c05df605c1c2c4
com.aliyun	credentials-java	0.0.2		4163d5502975a05d912f3070a16b1962919b5757
com.aliyun	credentials-java	0.1.0		7997a9320802c39b3f073b48d83afd51569ddd3e
com.aliyun	credentials-java	0.1.1		4640c1d6cabb166d7f696d82b65559c5a4d89154
com.aliyun	credentials-java	0.1.2		0685cd84b90a826720a69cfae48431406b9f5841
com.aliyun	credentials-java	0.2.0		373c8480983257665d43322ec73c8d704196e305
com.aliyun	credentials-java	0.2.1		b47e53df082d8df59908f74edcec18774bf74994
com.aliyun	credentials-java	0.2.10		c2f1bba778f3a450c08a0c72e8e452bf75cb8904
com.aliyun	credentials-java	0.2.11		2f8cc1c9b35230714e8130913fd99f23d2f8bd29
com.aliyun	credentials-java	0.2.12		da6c0850574369bf956207989801f47d73e81ca0
com.aliyun	credentials-java	0.2.2		3c38c4c67ecd6a7f9857d40e6ae4f336d85c520a
com.aliyun	credentials-java	0.2.3		189459b48c4657baa681663e276c89987ee7c0ed
com.aliyun	credentials-java	0.2.4		abeff88aa853711c27e8be2df638293d9fa3a8bc
com.aliyun	credentials-java	0.2.5		9ff98feca93a8431a592861670205dfb9103b330
com.aliyun	credentials-java	0.2.6		f06a2d7b947064bd85c778c3c7f35edd42641ac7
com.aliyun	credentials-java	0.2.7		227428d121db0b1a095a69a7cb7925f7e0526dcc
com.aliyun	credentials-java	0.2.8		4afadc8e78e97b2341ac0fd0ea324fd53838226d
com.aliyun	credentials-java	0.2.9		185b3b4e59025423360b0ddb40ce95e4b8d4609d
com.aliyun	credentials-java	0.3.0		2c89c77d288a8ba060ae39757e59bd1062150143
com.aliyun	credentials-java	0.3.1		deea6e7120e30d93dbc020ae059547d72312e324
com.aliyun	credentials-java	0.3.10		424bdaac6762138088ac18e33cb28e6f510b8097
com.aliyun	credentials-java	0.3.11		2ca0250ddb5ed8a3c8c7e351637cd198d49641f3
com.aliyun	credentials-java	0.3.12		316b05c9efa7add6b68061f95ba49abed68586d5
com.aliyun	credentials-java	0.3.2		5c113fb211302bbad51d588320ac0f1947ecebc1
com.aliyun	credentials-java	0.3.3		5060170a8acc0b2ba0841a1fb01d094e9a853e09
com.aliyun	credentials-java	0.3.4		7638346860a6ce2e671e52db0a1649c9d0853cb3
com.aliyun	credentials-java	0.3.5		74ce0e162855508032dc5ac2657786fcbf0fe435
com.aliyun	credentials-java	0.3.6		fb691408e681dca64d254e7b743808176ac9a17f
com.aliyun	credentials-java	0.3.7		e29bc0140222fef0fcf24ee268ef353fb5faf56e
com.aliyun	credentials-java	0.3.8		ffaed0bc191159802acdab6f24dbdab84ac7d8f7
com.aliyun	credentials-java	0.3.9		746b20d236582db315a35128058da4accdd5be46
com.aliyun	credentials-java	1.0.0		8683bd3810654da05408e9f239ab0dbc3ebab8e5
com.aliyun	credentials-java	1.0.1		b64878cf7fb691390fb470ea11e559403023dc28
com.aliyun	credentials-java	1.0.2		354fd9936282be3362f81273ac7702086938e405
com.armanbilge	feral-lambda_sjs1_2.13	0.0-08b8c90		97df8b3c073486f451f5e6bfc837f41b536c6e22
com.armanbilge	feral-lambda_sjs1_2.13	0.0-69efbbc		cc2b855cdd9fe6132d11deaafff6ef909a1fc0e9
com.armanbilge	feral-lambda_sjs1_2.13	0.0-a75a626		101ec1d996ecb084a202d5af577ed38877744302
com.armanbilge	feral-lambda_sjs1_2.13	0.0-c2203b8		886dc8f6b27f9a2c39cef7f442b96a22608caf30
com.armanbilge	feral-lambda_sjs1_2.13	0.1-2f94f32		497621136455efbb95f110aca184e71015a329d1
com.armanbilge	feral-lambda_sjs1_2.13	0.1-6b05f5a		fcb8beb0dd3b7c9be9a1ce0ea2eb969ea5c46976
com.armanbilge	feral-lambda_sjs1_2.13	0.1-7d4b1e7		3dc9268389d76ba7a8f64dfb726e50d2c45533c2
com.armanbilge	feral-lambda_sjs1_2.13	0.1-f497734		03254d0d3f17b4cf98278c86c74c70f3a201ec03
com.asrevo	spring-cloud-starter-ecs-discoveryclient	0.0.1		b119fd1383789e985ac58300f40d07089ffd5117
com.asrevo	spring-cloud-starter-ecs-discoveryclient	0.0.2		d85cee44741700c5b0c85bbe5a0901040da10a7c
com.asrevo	spring-cloud-starter-ecs-discoveryclient	0.0.3		1ee1efc95a61a8a3ce6289daaedcd96407f86622
com.asrevo	spring-cloud-starter-ecs-discoveryclient	0.0.4		8a2508f5c1c695e684abb215b2cc703a8a6f5aec
com.asrevo	spring-cloud-starter-ecs-discoveryclient	0.0.5		474fb2051e01d396dff4e4644f329ac1352de2db
com.asrevo	spring-cloud-starter-ecs-discoveryclient	0.0.6		e620cee375972e5bfc767d7fb8de9178fde63a2d
com.asrevo	spring-cloud-starter-ecs-discoveryclient	0.0.7		3c9ee824107f095dc70b3ccd3177367a2e676ff5
com.asrevo	spring-cloud-starter-ecs-discoveryclient	0.0.9		6496fd291b2bc3e4f05af673f0ae0a5e3221f10a
com.atiurin	ultron-compose-js	2.5.0-alpha07		N/A
com.atiurin	ultron-compose-js	2.5.0-alpha08		N/A
com.atiurin	ultron-compose-js	2.5.0-alpha09		N/A
com.atiurin	ultron-compose-js	2.5.0-alpha10		N/A
com.atiurin	ultron-compose-js	2.5.0-alpha11		N/A
com.atiurin	ultron-compose-js	2.5.0-alpha12		N/A
com.atiurin	ultron-compose-js	2.5.0-alpha13		N/A
com.atiurin	ultron-compose-js	2.5.0-alpha14		N/A
com.atiurin	ultron-compose-js	2.5.0-alpha15		N/A
com.atiurin	ultron-compose-js	2.5.0-alpha16		N/A
com.atiurin	ultron-compose-js	2.5.1		N/A
com.atiurin	ultron-compose-js	2.5.2		N/A
com.atiurin	ultron-compose-js	2.5.3		N/A
com.atiurin	ultron-compose-js	2.5.4		N/A
com.atiurin	ultron-compose-js	2.5.5		N/A
com.atiurin	ultron-compose-js	2.5.6		N/A
com.barchart.version.tester	tester-one-api	2.1.1		cacaf83c52a25cbbdaf40fd14b6f862d520bde17
com.barchart.version.tester	tester-one-api	2.1.2		7bd1e4e6339f599143ac6cef279d43b7b62a0af8
com.barchart.version.tester	tester-one-api	3.0.0		a8ab9ec076b2cdf5d71cc9a749e434bb14ed2a72
com.barchart.version.tester	tester-one-api	3.0.1		48ec6bb36f2d0475f216605dd1db27847ac224d9
com.barchart.version.tester	tester-one-api	3.0.2		d757dff65e2d593e0e9bc599f56b21e32d6aae42
com.barchart.version.tester	tester-one-api	3.1.0		5585738259ec1adbbe76fd1c12b9b42f922ee84d
com.barchart.version.tester	tester-one-api	3.1.1		ed8875c554bcfbdf9afafcc65009b44933fa8d63
com.composum.platform	cpm-platform-replication-setup	1.1.2		f4785da50516eeba0058712dd5b0b7d36fc32ade
com.composum.platform	cpm-platform-replication-setup	1.1.3		40cfb06c22c2eeb2d3aaac755bda231b434fb2e0
com.datamountaineer	avro-kcql	0.1		77ee44c2fee140f46182bb30c659fb29e5e31d17
com.datamountaineer	avro-kcql	0.1	scaladoc	06a16ec7b2c9db8f1fbf382679bba16642d232d9
com.datamountaineer	avro-kcql	0.2		07d4723cd1c03f878883607b505cfc80da7667fd
com.datamountaineer	avro-kcql	0.2	scaladoc	96baa90d1864f42293615e5a803cc4dc3aacfdd2
com.datamountaineer	avro-kcql	0.3		e2c9c84f44427dc134898368a30e786ab59a1b69
com.datamountaineer	avro-kcql	0.3	scaladoc	90fa1e578a964f330776970e01368d3127cdf563
com.datamountaineer	avro-kcql	0.4		86e0836db65c75f007aac24c04a453485db61871
com.datamountaineer	avro-kcql	0.4	scaladoc	ad9151e1498b88ad2b625b9f918fa00193ce04b8
com.datamountaineer	avro-kcql	0.5		0cc5d20d3975560b9f4b790d9bcc2961e2b299c8
com.datamountaineer	avro-kcql	0.5	scaladoc	3b91ad10b6226f78883689c458c4f3a5e9ad55e6
com.datamountaineer	avro-kcql	0.6		db1f15302da9392980104009f144ecca408de680
com.datamountaineer	avro-kcql	0.6	scaladoc	3712d9bb61c1e5ddfef877c8cea938653115f2ce
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.0		N/A
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.0	metadata	3315f1fee7d97ea41382ef5a03b3b76753563847
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.0-alpha.5		N/A
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.0-alpha.5	metadata	453a693849fbf2f3b915901de55d083937bb7bf2
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.0-dev.3		N/A
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.0-dev.3	metadata	4320ed1ad8f1d1f4dcf375203dabba75e83eb329
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.1-alpha		N/A
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.1-alpha	metadata	aaf02b31c91e203ff30324120b3c2b19e13435c1
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.2		N/A
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.2	metadata	f71485c610e14ebe70a44b0d513275a60734294c
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.3		N/A
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.3	metadata	02758cf74bc4e8901f744538297b1b064111c065
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.5		N/A
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.5	metadata	1c8f6651bcc5e4d1b8f9e9299a0f6e6fea710338
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.6		N/A
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.6	metadata	e4f5870e1929e3472d541231e2e8a1945b9188fe
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.7		N/A
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.7	metadata	cc68c0024ef6282f5f9ae114754ebf71e9c667cb
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.7-alpha		N/A
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.7-alpha	metadata	6add16521e636fd664e5bf577eea7ffb46c12de1
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.8		N/A
com.divpundir.mavlink	connection-core-iossimulatorarm64	1.2.8	metadata	0519070800f137907f9feaa06bfd9e58dd776b05
com.paypal.hera	hera-jdbc	0.0.24		944a6e7dd2675e3a5fc32f57366491fd95268c44
com.paypal.hera	hera-jdbc	0.0.25		37c229f1c94f7306350e32c69664c1ee10ef047a
com.sun.corba	glassfish-corba-asm	${release.version}-${build.version}		00c4bddf124df7850b06504d7c6042e259c5c22c
com.sun.corba	glassfish-corba-asm	3.0.0-b001		4f1ba400436c16dd6ef21269349d05631d134424
com.sun.corba	glassfish-corba-asm	3.0.0-b002		1a566f84b45427f0e7f7a01343fc2ceb708c074b
com.sun.corba	glassfish-corba-asm	3.0.0-b004		00c4bddf124df7850b06504d7c6042e259c5c22c
com.sun.corba	glassfish-corba-asm	3.0.0-b005		9382d2de65c68aa8d0bff3be5038c91fcf88f5ef
com.sun.corba	glassfish-corba-asm	3.0.0-b006		56c7b0c9373ed085a2bce9956c534c52d788e2c9
com.sun.corba	glassfish-corba-asm	3.0.0-b007		60f2e53e632b24b0f737976b56f37348d5f2c2ad
com.sun.corba	glassfish-corba-asm	3.0.0-b008		0de0c3fb863f8528ffb73b64d94a4ad284bcadd7
com.sun.corba	glassfish-corba-asm	3.0.0-b009		N/A
com.sun.corba	glassfish-corba-asm	3.0.0-b010		bfffda630498dea150df78f754747d3cb6f7e8e5
com.sun.corba	glassfish-corba-asm	3.0.0-b012		ed473ccb1811ce3b1eb0c3e30fdfdcb5ddd1f5cb
com.sun.corba	glassfish-corba-asm	3.0.0-b013		0818cd6a224ce9444eff6e802829f60a65e6c1f9
com.sun.corba	glassfish-corba-asm	3.0.0-b014		f677bbda45371a35fa6347be22d68a27b69a8267
com.sun.corba	glassfish-corba-asm	3.0.0-b015		da3f28a34e8d2ef42ee623752ea314fac552ddae
com.sun.corba	glassfish-corba-asm	3.0.0-b016		34cd7c17d84e6d4e271573e9fd1a7406f2e9963a
com.sun.corba	glassfish-corba-asm	3.0.0-b017		39070104f07365c3036b506815e41691380523a4
com.sun.corba	glassfish-corba-asm	3.0.0-b018		cb9696e8307de6ed50fb0e2c6a6f1e748527d723
com.sun.corba	glassfish-corba-asm	3.0.0-b019		0f6253bcbc2c273d2f331c3969c0b9181d1d5fea
com.sun.corba	glassfish-corba-asm	3.0.0-b020		d46f1d1f542e082813d9572013868ff0e58a8a1a
com.sun.corba	glassfish-corba-asm	3.0.0-b021		ed39d520a8c4ec1be73de21c4307618eaea52954
com.sun.corba	glassfish-corba-asm	3.0.0-b022		342d2c77495e23ca2114a156b1cdc524467ae317
com.sun.corba	glassfish-corba-asm	3.0.0-b023		f89f5bfb972f9e54d402b9f2fddccdad13cfdf98
com.sun.corba	glassfish-corba-asm	3.0.0-b024		9ab888274fd5a2f6501d48f0f6ca3df61ff48e02
com.sun.corba	glassfish-corba-asm	3.0.0-b025		fbb257370444d1a6bbebc1bb7cc3e8b3daf0fa07
com.sun.corba	glassfish-corba-asm	3.0.0-b026		6265de348768e3929fcbade845ea0d28976e837f
com.sun.corba	glassfish-corba-asm	3.0.0-b027		15921d31cc5485c03d4b3db39163aa86a830efb6
com.sun.corba	glassfish-corba-asm	3.0.0-b028		d2a05237f308466dbbecaa035f62e685296233e6
com.sun.corba	glassfish-corba-asm	3.0.0-b029		b014b51cda9dad23ea70b4fbd1114b11a65bfaca
com.sun.corba	glassfish-corba-asm	3.0.0-b030		708ec573ffbf2d139f290dd15c66a4441df9d262
com.sun.corba	glassfish-corba-asm	3.0.0-b031		61e4ff256495422cd3711e91eb137a7bb7c5fa5a
com.sun.corba	glassfish-corba-asm	3.0.0-b032		94a13e9744bb80197d2fe4c27e8bdf2817f29112
com.sun.corba	glassfish-corba-asm	3.0.0-b033		1559cf9025b4106d89d9f6e26833133c84435e27
com.sun.corba	glassfish-corba-asm	3.0.0-b034		9c4f9639e2244f8e12b0fa6de5f0d501403ea717
com.sun.corba	glassfish-corba-asm	3.0.0-b035		3233b5a4d65c6a736a39cb7befa6d8234f0ff27e
com.sun.corba	glassfish-corba-asm	3.0.0-b036		0225508e4f4062102e119c4ac84b8f8238cc18a0
com.sun.corba	glassfish-corba-asm	3.0.0-b037		dd15526bfe3807ffc557c9dfbe24cddb7c64de9d
com.sun.corba	glassfish-corba-asm	3.0.0-b038		c5db7f5c89ffcb3e72153f5ee951be9d6f43c5b2
com.sun.corba	glassfish-corba-asm	3.0.0-b039		31dd5df612502a984fa3275dae9c88f60ecbb4f0
com.sun.corba	glassfish-corba-asm	3.0.0-b040		eb897c628c4ca6d515f7afa2b2b1d85ab703522f
com.sun.corba	glassfish-corba-asm	3.0.0-b041		8cdcc8a848a1a5da75f8ede70b87632cb38a84c0
com.sun.corba	glassfish-corba-asm	3.0.1-b001		70f16f4a9ef50706e57df58e69fea92cf61619fc
com.sun.corba	glassfish-corba-asm	3.0.1-b002		521fe23b191148d82221d4578875781f6215a862
com.sun.corba	glassfish-corba-asm	3.1.0-b001		5c602979333f6584224b4344370520ecf282c34b
com.sun.corba	glassfish-corba-asm	3.1.0-b002		d23b950ee34b4220624882fe3b5adb2e29510969
com.sun.corba	glassfish-corba-asm	3.1.0-b003		bb0ecf14ecc2868085028966df7062eb6ba7f554
com.sun.corba	glassfish-corba-asm	3.1.0-b004		ddc8b988fdc0cd1c079234b3a43a42d7f5c44783
com.sun.corba	glassfish-corba-asm	3.1.0-b005		6e03cfbf54aa1100da9f1574e4397b51fdd0f0ad
com.sun.corba	glassfish-corba-asm	3.1.0-b006		fb9998c946ef2f6fb7b75a703c9841fde173ac20
com.sun.corba	glassfish-corba-asm	3.1.0-b007		b1f797ff65efb1515244e80df3c9714cb9761453
com.sun.corba	glassfish-corba-asm	3.1.0-b008		0b38b356975da74dd589c35d138647c85debcc00
com.sun.corba	glassfish-corba-asm	3.1.0-b009		435d0d83047be81ef5091568f0ecec7a7382cda9
com.sun.corba	glassfish-corba-asm	3.1.0-b010		7e071ba2cf286384900723bff89c8fa14e57fea4
com.sun.corba	glassfish-corba-asm	3.1.0-b011		b4c6f71b4bbcd697143075b911ce52fca2a2b64b
com.sun.corba	glassfish-corba-asm	3.1.0-b012		9c87e0372fc83a47ceb1bb0726d6ae47debef491
com.sun.corba	glassfish-corba-asm	3.1.0-b013		a5657cb68e7fd68f305bbef12a489db69b3ed418
com.sun.corba	glassfish-corba-asm	3.1.0-b014		d79bd1a3535fc45f84b9908fe3dc1cb871abbb50
com.sun.corba	glassfish-corba-asm	3.1.0-b015		8281bd1abc2d83098086f0ed3497828b81de20ed
com.sun.corba	glassfish-corba-asm	3.1.0-b016		0f50ab77825f0921e31dc64e4e7547001b2cd9dd
com.sun.corba	glassfish-corba-asm	3.1.0-b017		dff06f7a36d61ae7e7e6cc43ce6ba56a87ed0aed
com.sun.corba	glassfish-corba-asm	3.1.0-b018		b6deedc02f8e10f1dc20b8beee94b3ef24990c9b
com.sun.corba	glassfish-corba-asm	3.1.0-b019		97c994454e85e02394483ea0091bf9289e66c6bd
com.sun.corba	glassfish-corba-asm	3.1.0-b020		adad6dd663857beb4ef747c4fab7e99cabf04667
com.sun.corba	glassfish-corba-asm	3.1.0-b021		66497b34b8b5fb41b5d0452234aad9e8bd8aaba1
com.sun.corba	glassfish-corba-asm	3.1.0-b022		9debcc3af5c5202227896ead8d938fdced2058da
com.sun.corba	glassfish-corba-asm	3.1.0-b023		aaa143688564695a96043c8c89f5775a56e48b95
com.sun.corba	glassfish-corba-asm	3.1.0-b024		4b7642a32b023e505c45e6d883ff08a5a96bc9d7
com.sun.corba	glassfish-corba-asm	3.1.0-b025		95653076d0dbc06f5042b21eb2565f2d1901de69
com.sun.corba	glassfish-corba-asm	3.1.0-b026		9cbcb702b07084ed338853427029481461a2fd0d
com.sun.corba	glassfish-corba-asm	3.1.0-b027		e374e33cd29d26b37839c7bd8989c1483f6f4bcc
com.sun.corba	glassfish-corba-asm	3.1.0-b028		97c64b261cd3faf86c1be9f53dfcbb9e1622b701
com.sun.corba	glassfish-corba-asm	3.1.0-b029		3b86d18c63935091dd4b42424eaa37075c61d537
com.sun.corba	glassfish-corba-asm	3.1.0-b030		0645222600d691a4fa65956991cfd0c47f8d287b
com.sun.corba	glassfish-corba-asm	3.2.0-b001		bd42bbd02beba5e6472437743dfdb4af08751374
com.sun.corba	glassfish-corba-asm	3.2.0-b002		c2e5d408720aa9ff9c0e6d662d22a0655bb0bad6
com.sun.xml.ws	httpspi-servlet	2.2.10		684c15dcaec2f8b29ff020acc48a3d22b9ec7e0d
com.sun.xml.ws	httpspi-servlet	2.2.10-b140319.1121		3c937bb85664a92a48b177291a9ad3413999fa54
com.sun.xml.ws	httpspi-servlet	2.2.10-b140803.1500		85a63636d112576e48d439e7c85edbe1e203b766
com.sun.xml.ws	httpspi-servlet	2.2.8		7b6a535a86e24de22f7837c2e5440fb74dbbc1ab
com.sun.xml.ws	httpspi-servlet	2.2.8-b13528		1ad1990f95052502b8fee1d91c97ad496a1cf9d2
com.sun.xml.ws	httpspi-servlet	2.2.8-b13694		b09ee06b9ce0490e2c6e167a54b18e9ad528732a
com.sun.xml.ws	httpspi-servlet	2.2.8-b13707		f711756372f61580214acfe25ba84e4838f863df
com.sun.xml.ws	httpspi-servlet	2.2.8-b13729		1d5a518aef801ce9319c046d3251ee909f8179ab
com.sun.xml.ws	httpspi-servlet	2.2.8-b13834		f7c7c5d1d5b14e7a5c2c5f743ab2767a50401021
com.sun.xml.ws	httpspi-servlet	2.2.8-b13912		e0e97cf1f1566bf72100868784549c8072b0596c
com.sun.xml.ws	httpspi-servlet	2.2.8-b13923		c5d0327b5cef5373796fe9ce011573347487f04e
com.sun.xml.ws	httpspi-servlet	2.2.8-b13924		a305a2db4f51eb94562f42543df73b70303a2eef
com.sun.xml.ws	httpspi-servlet	2.2.8-promoted-b146		ecb9b6aea3439f48fc103d0a576c0b58b4b7c40d
com.sun.xml.ws	httpspi-servlet	2.2.9-b14002		3c6f1ec4c29c20467d7fcb34401b8d5f1678b2aa
com.sun.xml.ws	httpspi-servlet	2.3.0		ed44aba8ff8f75dfe6b93cf11d79fee4da41b2ea
com.sun.xml.ws	httpspi-servlet	2.3.0.1		cc726791bb48f17ed014610e01057c2eabc12413
com.sun.xml.ws	httpspi-servlet	2.3.0.2		242576be811214e8bcd0603739eeb8a4960de421
com.sun.xml.ws	httpspi-servlet	2.3.1		b9cb73391cf0bd2786ab43435bc0a53638d3f317
com.sun.xml.ws	httpspi-servlet	2.3.2		3565b0a2a7fe13b003b45800ab591bbf604088cc
com.sun.xml.ws	httpspi-servlet	2.3.2-1		60301e74627c2129eb9e11afd71b367876d34db7
com.sun.xml.ws	httpspi-servlet	2.3.3		3d295fe7534915e7a77d90dd4b23364947be6546
com.sun.xml.ws	httpspi-servlet	2.3.3-b01		997e039eb7394c430275113d118208ecedd501f3
com.sun.xml.ws	httpspi-servlet	2.3.4		627a199f027bf17b28f787cc40e674fc3986b63e
com.sun.xml.ws	httpspi-servlet	2.3.5		0e7e66bc3d8e016baffb5d668b68287d6e710fad
com.sun.xml.ws	httpspi-servlet	2.3.6		7a68b69c22ce0e66384c536b798ac75a4f3b9a4f
com.sun.xml.ws	httpspi-servlet	2.3.7		f452ef4f6e11e8a95bbddc350f26f11bbd85e9e3
com.sun.xml.ws	httpspi-servlet	3.0.0		59773f7e808efc77f4a2a3baffcdda9dd6350152
com.sun.xml.ws	httpspi-servlet	3.0.0-M1		7a7ba94958380115b1b39fe9d22b5d14775c87d7
com.sun.xml.ws	httpspi-servlet	3.0.0-M2		61b6165e4c971687122b604147fdd7da11302b3d
com.sun.xml.ws	httpspi-servlet	3.0.0-M3		d5767f900b420b1a2ac645ecf4c76e311bef661a
com.sun.xml.ws	httpspi-servlet	3.0.0-M4		b2eac30d2dab8e70c8f5b9963b736fb32d5a0620
com.sun.xml.ws	httpspi-servlet	3.0.0-M5		54668ad51b9ccfb22ed694230dd4611257eddcd4
com.sun.xml.ws	httpspi-servlet	3.0.1		a09010ec37efc1a68b9c4b8a5fed67223deae964
com.sun.xml.ws	httpspi-servlet	3.0.2		98a5144891e622ed82102187da4fe45042050630
com.sun.xml.ws	httpspi-servlet	4.0.0		29c93bf446affb6a6245d8c798c5812edb9c0159
com.sun.xml.ws	httpspi-servlet	4.0.0-M1		512d606205fd8e0eaf11f0645a039c75ff6a1ad0
