com.davegurnell	checklist_sjs0.6_2.12	0.1.0		20e2b9a2a3983fa3d0a388d27ff8454ac5ebbf11
com.davegurnell	checklist_sjs0.6_2.12	0.1.1		232770667cfdf0a7bb18607541c018a0b91f3a18
com.davegurnell	checklist_sjs0.6_2.12	0.2.0		ca985e3ca66f3dce50df6eb45a62444bd6db26cf
com.davegurnell	checklist_sjs0.6_2.12	0.2.1		32d7495a389d6d16706eebc66e70405695abe540
com.davegurnell	checklist_sjs0.6_2.12	0.3.0		01480ea0dc781081cfa6e5783b9a38436902eae7
com.davegurnell	checklist_sjs0.6_2.12	0.5.0		e1f118cf4d30da0ddcdf9593c978babadd33d1ca
com.davegurnell	checklist_sjs0.6_2.12	0.5.1		e6caed4f3dbbe69d18645ad69261b0a474de0ed4
com.elkozmon	akka-stream-firebase-queue_2.12	1.0		efbd534b8c06eaf7e95d20a5ea9bb15d00de024e
com.elkozmon	akka-stream-firebase-queue_2.12	2.1		d1ca7bf819f95406ca2af4314e997edcb71b2eae
com.github.alexarchambault	scalacheck-shapeless_1.14_sjs0.6_2.12	1.2.0		176f7cd0339161e86f2952d74b8722cacedf221d
com.github.alexarchambault	scalacheck-shapeless_1.14_sjs0.6_2.12	1.2.0-1		28c20bb4a200ecfd1f4eed3946313ff9c3e38252
com.github.alexarchambault	scalacheck-shapeless_1.14_sjs0.6_2.12	1.2.1		a1d0d9223cbff7bded26ec83c6777eed3f8c7479
com.github.alexarchambault	scalacheck-shapeless_1.14_sjs0.6_2.12	1.2.2		c8cd53198475e40a07fb88fb3eaa2cc26a61ca6c
com.github.alexarchambault	scalacheck-shapeless_1.14_sjs0.6_2.12	1.2.3		e4503c2b0acef7d83186b7b390c44d3fbdd24dfd
com.github.alexarchambault	scalacheck-shapeless_1.14_sjs0.6_2.12	1.2.4		68d7fdf0dcaff024966520fd531f95d4be3ad774
com.github.alexarchambault	scalacheck-shapeless_1.14_sjs0.6_2.12	1.2.5		2027b19ceac147c8491e3bd91b9e78825354c0dc
com.github.dmytromitin	auxify-meta_2.13	0.7		b5589526ebdf5a4855b70f5b2ff0251432597f70
com.github.dmytromitin	auxify-meta_2.13	0.8		68b018377c10bfb83ac027af4e83e6b82fcdfc1e
com.github.driox	sorus_2.11	1.0.0		3c296dc33ef6b42263d33f591fa474dba2cb729b
com.github.driox	sorus_2.11	1.1.2		655170d3ec772d34b9c248c22b8d267ddd172696
com.github.driox	sorus_2.11	1.2.4		ce31a01b696246ec4a0417bd670104dbc750e231
com.github.drtrang	druid-spring-boot-starter	1.0.0		43e0737abc752e036ed2f3eebf082b5f674ff535
com.github.drtrang	druid-spring-boot-starter	1.0.1		09f50442ea2569aee83b9504bdefca6e0d71298b
com.github.drtrang	druid-spring-boot-starter	1.0.2		a1689fa58bf60d858eb506afd3f46ef9d62eea51
com.github.drtrang	druid-spring-boot-starter	1.0.3		13be49643e2ca2f0d3bfb9e2dc83d3059e61ac7d
com.github.drtrang	druid-spring-boot-starter	1.1.0		754dcb50e18a662cb72be052d7e4de2f4746f683
com.github.drtrang	druid-spring-boot-starter	1.1.1		00d27d88ee63abf76f6b792ad415668bce58f5f2
com.github.drtrang	druid-spring-boot-starter	1.1.10		bc51183cd74b239bed197d2c7f314630cf736e77
com.github.drtrang	druid-spring-boot-starter	1.1.2		8a37ef13b96af15aac8a482766463f121f28955e
com.github.drtrang	druid-spring-boot-starter	1.1.3		5a9a57b12ae5263e7129fed5503fa678cd9da402
com.github.drtrang	druid-spring-boot-starter	1.1.4		84b9b899dfe90b011079e56d48fa579f880db8a2
com.github.drtrang	druid-spring-boot-starter	1.1.5		6fcf68bb60131859ad962836ac5448d94abf7481
com.github.drtrang	druid-spring-boot-starter	1.1.7		b9e084ed06bc4cf7222e3c143672ca32662eec75
com.github.drtrang	druid-spring-boot-starter	1.1.8		cfa502482e0773b933b8b0bda572229eacef7013
com.github.drtrang	druid-spring-boot-starter	1.1.9		69055c76798f28abf9f12f889703038f94079162
com.github.drtrang	druid-spring-boot-starter	1.1.9.1		185640e820a6c02c2b9460f1362500444019155a
com.github.eikek	yamusca-macros_2.11	0.4.0		b6da27b6f7db1e9b8aee6c365de48b14fd6cb81b
com.github.eikek	yamusca-macros_2.11	0.5.0		1ad9385b5aea15f3f19bb9785e58bcbb9bcec689
com.github.ghostdogpr	caliban-client_sjs0.6_2.13	0.6.0		bcb13ebc4713c2801f41869eb304cb8cc1b8c2c1
com.github.ghostdogpr	caliban-client_sjs0.6_2.13	0.7.0		8ddab3be3a9f01067fb035d997d7c68e881f05ca
com.github.ghostdogpr	caliban-client_sjs0.6_2.13	0.7.1		37295a5057a6373fa730d0cdc18a23d12a204468
com.github.ghostdogpr	caliban-client_sjs0.6_2.13	0.7.2		0ffaee7d72c83ecc4317c3fa13268b6575dac416
com.github.ghostdogpr	caliban-client_sjs0.6_2.13	0.7.3		3aaa306bec781fee51367f5ae3db95204fcb138f
com.github.ghostdogpr	caliban-client_sjs0.6_2.13	0.7.4		3ea839c000a84b5422ee6fff294bcfbddf565d6f
com.github.ghostdogpr	caliban-client_sjs0.6_2.13	0.7.5		1ea0b6f877db2a02e8fa5ffa2bfba0b5acdeda56
com.github.ghostdogpr	caliban-client_sjs0.6_2.13	0.7.6		654ac13740c96f9c30ec362f6ed8f28c9b45774f
com.github.ghostdogpr	caliban-client_sjs0.6_2.13	0.7.7		7f16731f79eb84caf8c3795f8c2b375ceba55fc6
com.github.ghostdogpr	caliban-client_sjs0.6_2.13	0.7.8		c1fa3fbc6b02f33e559d38e79fc2900172c12291
com.github.jkugiya	ulid-scala_sjs1_2.12	1.0.5		6d6e3304ea80a39cc77cd04098620011c85cd81e
com.github.jkugiya	ulid-scala_sjs1_2.12	1.0.6		0b9188fd8af6f91e7236dfcc75de959f9721a124
com.github.manjusaka28.tools	tempbuildplugin	1.1.0		024e0e1920a70ef6f642eddc1cf244c0ee283ad9
com.github.mvallim	amazon-sns-java-messaging-lib-v1	1.0.0		3129ea7963dd8f3c85cc898a96828e4c664d3a75
com.github.mvallim	amazon-sns-java-messaging-lib-v1	1.0.1		1b6f5aa504a5facf1ad45b810b189ed1b6555a47
com.github.mvallim	amazon-sns-java-messaging-lib-v1	1.0.2		d2aea7bdb00fc4fc207cb47d41ae94aa8ccc9c02
com.github.mvallim	amazon-sns-java-messaging-lib-v1	1.0.3		7846203ab0f2b8d81fc8754abbc65ec16700afef
com.github.mvallim	amazon-sns-java-messaging-lib-v1	1.0.4		f67ab8933bbfc3b4539ba1113cf111027da524c4
com.github.mvallim	amazon-sns-java-messaging-lib-v1	1.0.5		f3196579bc00c44c55a46e5303add944096e4f7b
com.github.mvallim	amazon-sns-java-messaging-lib-v1	1.0.6		3675884e9811b8901fd1ca22e62a2ec6aeca4295
com.github.sophoun	android-navigator	0.0.1		N/A
com.github.sophoun	android-navigator	0.0.2		N/A
com.github.subchen	jetbrick-template-struts	2.0		50649b84b983760f07cb2fcb3fa72e1bd3337f40
com.github.subchen	jetbrick-template-struts	2.0.1		7b2cb82ec3a758fd1f8d8b3901e14ed6139b3f6d
com.github.subchen	jetbrick-template-struts	2.0.10		be9610f5b1f0426cfed32b37e5544068266dd767
com.github.subchen	jetbrick-template-struts	2.0.11		a002a8d5a4c22115a6f299b64a6dac7c4ccb4fda
com.github.subchen	jetbrick-template-struts	2.0.12		f40e99e9e1fa08c2f776a0b05745f662cd84c0c6
com.github.subchen	jetbrick-template-struts	2.0.2		70948726c838aa72b0e27f3c3c273793f1f14db8
com.github.subchen	jetbrick-template-struts	2.0.3		9e8f44f95e760a305957e4ef02934007c468da29
com.github.subchen	jetbrick-template-struts	2.0.4		225aebb46714b22d035a53ff2b118f103206ed50
com.github.subchen	jetbrick-template-struts	2.0.5		b1c3962954d329b50e43e7464a77422faa13c242
com.github.subchen	jetbrick-template-struts	2.0.6		b3f38169e984c126b17eb54bcbb21763270f8062
com.github.subchen	jetbrick-template-struts	2.0.7		c230cde7fcacc388d0976f1c47c2da555b5ceb31
com.github.subchen	jetbrick-template-struts	2.0.8		ac7e160e421fafce9887013170c5683544c14bf3
com.github.subchen	jetbrick-template-struts	2.0.9		769942cde357507a4a3297b23472ef54c89867c6
