com.googlecode.jsonschema2pojo	jsonschema2pojo-cli	0.3.0		0d419ebe73ec3c54811fe8d2a16e78780c62bbdb
com.googlecode.jsonschema2pojo	jsonschema2pojo-cli	0.3.1		6b978b20c868ac2134d8f8ee992e7fd9330ed3a3
com.googlecode.jsonschema2pojo	jsonschema2pojo-cli	0.3.2		e4c8eea1422064e8e76d738ab090db1ca8820230
com.googlecode.jsonschema2pojo	jsonschema2pojo-cli	0.3.3		826a75d5116583c15232df751bc0dcebe65152de
com.googlecode.jsonschema2pojo	jsonschema2pojo-cli	0.3.4		c2deddcbbabe4cefe0e8bbd441ed27cfc1f408e6
com.googlecode.jsonschema2pojo	jsonschema2pojo-cli	0.3.5		c618e953eed60cb437bc209da8642ca30964f929
com.googlecode.jsonschema2pojo	jsonschema2pojo-cli	0.3.6		f56aad802f7dbd5bd94b9be5f5c86cc0ef70ed5b
com.googlecode.jsonschema2pojo	jsonschema2pojo-cli	0.3.7		ec4565ad55644098992fd47edb6bb31bad253a09
com.guicedee.servlets	guiced-servlets	0.70.0.1		899e3d6b016bb128aa72d02fc7a323eecee2cc45
com.guicedee.servlets	guiced-servlets	0.70.0.1-rc13		9b8349c7d071895505129741c1e8a13755cb660b
com.guicedee.servlets	guiced-servlets	0.70.0.1-rc14		2c058c238a996dca1141d79a166797ae07e339cc
com.guicedee.servlets	guiced-servlets	0.70.0.1-rc15		b69ce6513ee1cceedcc3743f03a979a692ac21dc
com.guicedee.servlets	guiced-servlets	0.70.0.1-rc2		75ac4354c10f9a814bfcb91c4e6db076e1942573
com.guicedee.servlets	guiced-servlets	0.70.0.1-rc3		01d2e96a548182b92d836486f9e7a5df84977517
com.guicedee.servlets	guiced-servlets	0.70.0.1-rc4		dc5e06c27d515b3574bab06e265642b1135e0e36
com.guicedee.servlets	guiced-servlets	0.70.0.1-rc5		45c2aa8db86fa68ae58b362ca883469f29dde41c
com.guicedee.servlets	guiced-servlets	0.70.0.2		34ced97a0fa641e3392a3fe6b055ecce4b304ae0
com.guicedee.servlets	guiced-servlets	0.70.0.3		392e52f65b6f970034df4c614367344a6ced9e4f
com.guicedee.servlets	guiced-servlets	0.70.0.4		969076ac30bde4fb17cf586a5a8d7d1bcfd36b4b
com.guicedee.servlets	guiced-servlets	0.70.0.5		9cd62cd8ebf16275d8ed9ceb0cbafd6da0df2a8a
com.guicedee.servlets	guiced-servlets	0.70.0.6		525220bd876ec556ee38b396e5cd3a366755054f
com.guicedee.servlets	guiced-servlets	0.70.0.7		8b15db53594dba1625df9bd0320e07035839f04f
com.guicedee.servlets	guiced-servlets	1.0.0.0		875372a5dc37fe47c83200086bc6d8e18c828cb7
com.guicedee.servlets	guiced-servlets	1.0.1.0		8b62490d1c65ba62da3204e5c0bd69b3b2c9618c
com.guicedee.servlets	guiced-servlets	1.0.1.0-jre12		845c3da530fd0ccf49bd07f72b83c576353515e3
com.guicedee.servlets	guiced-servlets	1.0.1.0-jre13		d546f3a8b7d989bae1be59a31be1288a2f8bf35b
com.guicedee.servlets	guiced-servlets	1.0.1.0-jre8		bd8d8abc1f8edfdcce02224d0378c7bbadbfc0ab
com.guicedee.servlets	guiced-servlets	1.0.1.1		f5367d801cdccbf9914a69d876e8ba21a4d832e1
com.guicedee.servlets	guiced-servlets	1.0.1.1-jre12		f2a31713a62c2a4169010a81093691f8a175ea51
com.guicedee.servlets	guiced-servlets	1.0.1.1-jre13		0aa5743a8d017fda8638424efd3efc73d0f28eb4
com.guicedee.servlets	guiced-servlets	1.0.1.1-jre8		2e517900ee3a147e569b10494f5dc4f4fbae9b48
com.guicedee.servlets	guiced-servlets	1.0.1.2		f810e2b1df722978600e54dbb71bb7fa910888e6
com.guicedee.servlets	guiced-servlets	1.0.1.3		827f67907d3233f9dc69420998f1407d1b20e3a2
com.guicedee.servlets	guiced-servlets	1.0.1.3-jre12		03628b3f544eb55e534228ae3f484beaac2700bc
com.guicedee.servlets	guiced-servlets	1.0.1.3-jre13		a91bc495d4d43461b34db7f73e3f1adf703f9101
com.guicedee.servlets	guiced-servlets	1.0.1.3-jre8		45e4822dea830e9292d49b076fbdf345d2861d1a
com.guicedee.servlets	guiced-servlets	1.0.1.4		598ba3ec8c40a4797e8bee8ade051c528d4e708e
com.guicedee.servlets	guiced-servlets	1.0.1.4-jre12		f68877632f2f65aea6cb69a24f1f617bd236ea2e
com.guicedee.servlets	guiced-servlets	1.0.1.4-jre13		9929d1d470171c2e9b53c0cc5929356e212c0044
