avalon-apps	avalon-apps-hsql	0.1		f253c9debc737dcecb7a325879f525d00edc331e
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.2.2_0.14.0		f66cc18a4e13e1046492c5f529ebaa16fc9fa67b
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.2.3_0.12.0		d7d9906b74ee5a5a5c1cd7e5f0129e8a3c8d762b
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.2.3_0.14.0		a52c433318d4e266dc6451ccdfa5e41824e9f21a
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.3.0_0.12.0		e3f5e05b2c53412c0d24e122a2952b20bfcd80ce
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.3.0_0.14.0		8970497b1cc7f99fd9fb43522a73b19e3ce18fcf
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.3.1_0.12.0		9d54a449c0f15cdbc254c964055dd38770f29c06
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.3.1_0.14.0		43d48ce9082e9ad3b240039d2b4c01a1908864af
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.3.2_0.12.0		060149d0b36942fb29acde7e9507f250c1be8ec4
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.3.2_0.14.0		5292373600e82de0bcfdfaa1776f160a0ab29fdb
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.3.3_0.12.0		63a743da5f84b2d81ca5126f8ba0ed5027eb8c72
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.3.3_0.14.0		9c36083494a48b6960bcd844a8304e73aca51870
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.0_0.12.0		fe626b71936417f92e7d5e850aab0105f9a1973d
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.0_0.14.0		8a83cdde0939651d86c4ff686bbdbfae4c9d282f
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.1_0.12.0		881badeb7ee099803b038177f173836a6bcb2a4d
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.1_0.14.0		9951cf450d1f3f65bcd6265d91cac8f5ba77d88e
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.2_0.12.0		fafddb3eb0c73855c83a286821c8ab05c845d786
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.2_0.14.0		db6aa08d3c99cd146331448d7aa396be3e748d6e
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.3_0.12.0		6f83bea05f2da61c03309437ba6b17dcef14f18c
