at.released.weh	bindings-chasm	0.1-alpha01		596cdea72ab4f8ae4d7a3b062147ba02596e7aac
com.apihug	it-common-spring-api	0.2.2-RELEASE		db6a4b53cceadb842cee9d754768d90daa3ac152
com.apihug	it-common-spring-api	0.2.3-RELEASE		d16aad9835636b2a07ed4ee427b66e5cfad5b54e
com.apihug	it-common-spring-api	0.2.4-RELEASE		ff4cc350b3e10d9d6a46c8bb1ee1c2017ebec8e1
com.apihug	it-common-spring-api	0.2.5-RELEASE		73706c00f8345f9eb3ad28c569c28a1dc873601f
com.apihug	it-common-spring-api	0.2.6-RELEASE		fbd69340786e3ce0ec31fbfc5047c4ec67d052df
com.apihug	it-common-spring-api	0.2.7-RELEASE		bac1d887f94fece5cefedef4c51429ce91a0b116
com.apihug	it-common-spring-api	0.2.8-RELEASE		d27283893b804c131c20b390aa7209ced7b77d76
com.apihug	it-common-spring-api	0.2.9-RELEASE		7a0f7c305e061109900377b8242063635cf10319
com.apihug	it-common-spring-api	0.3.0-RELEASE		406d579f6709551ebdbc236c3ef5af54a85574c9
com.apihug	it-common-spring-api	0.3.1-RELEASE		c322e5b764a38d12d8592335b42ca01cd2840143
com.apihug	it-common-spring-api	0.3.2-RELEASE		034d3e349abca5087da2cb465c15c69996f0b55c
com.apihug	it-common-spring-api	0.3.3-RELEASE		058629bc4f10ffe1755a79523bea962d76cb3588
com.apihug	it-common-spring-api	0.3.4-RELEASE		ee01b8c8a481d9cfee43235488883bbf742c5fe3
com.apihug	it-common-spring-api	0.3.5-RELEASE		f8e2a1279f0728f30dd0ebc0042bf1466fe8b9fa
com.apihug	it-common-spring-api	0.3.6-RELEASE		90aef9a6224c00c5542e6c0f075e4f3babab31b9
com.apihug	it-common-spring-api	0.3.7-RELEASE		f1b537b149351b400cca5bd53e889590e24323f7
com.apihug	it-common-spring-api	0.3.8-RELEASE		3c4fec83730f94e4ca3d2f01e0be48ade2e06eb4
com.apihug	it-common-spring-api	0.3.9-RELEASE		4f5b28e01b96cbbd431d2cfaf00b58614ca5d52f
com.apihug	it-common-spring-api	0.4.0-RELEASE		7d06268f7baf6636170145f507a40bf3bb1359f8
com.apihug	it-common-spring-api	0.4.1-RELEASE		5671bb9f068f86e668b8ec34c1a49b6a7a6b1582
com.apihug	it-common-spring-api	0.4.2-RELEASE		dcd1bae9c4fe58a1ee7bd25159e0fe43881677cf
com.apihug	it-common-spring-api	0.4.3-RELEASE		3f83b516c6e7c9c0dccfcb62c6b01c0094454eee
com.apihug	it-common-spring-api	0.4.4-RELEASE		5464b24273f6f746fa0ef1516de60d7f50a9891e
com.apihug	it-common-spring-api	0.4.5-RELEASE		26fc06c23ae87c1c82836a5dde68cfe64970d478
com.apihug	it-common-spring-api	0.4.6-RELEASE		7fe534838edd8f91f6c17046dd538db4416432a3
com.apihug	it-common-spring-api	0.4.7-RELEASE		bf838659e5e2be4e6f66dde7b37f4ae0d44202d1
com.apihug	it-common-spring-api	0.4.8-RELEASE		a6e2d9f39de51be029290c10d3ec521913fc8212
com.apihug	it-common-spring-api	0.4.9-RELEASE		f137725ca464b3bb8de920916559cd01115a1809
com.apihug	it-common-spring-api	0.5.0-RELEASE		b8c6d120727b86b9626793c6c9f540a726585380
com.apihug	it-common-spring-api	0.5.1-RELEASE		41b112b5464b311d2737582a7185845efe6c370d
com.apihug	it-common-spring-api	0.5.2-RELEASE		e0fb242a59d2a6aaa503a20d8b12d7d82d4d209d
com.apihug	it-common-spring-api	0.5.3-RELEASE		c0fc72db49eac8652cdb0e374de97ca81390482d
com.apihug	it-common-spring-api	0.5.4-RELEASE		10a23627160ac1173860bdbec47e661bc0bbfed7
com.apihug	it-common-spring-api	0.5.5-RELEASE		dcec523f62501a800f77b6e920247f21cb60928b
com.apihug	it-common-spring-api	0.5.6-RELEASE		bbc1797c83f116423592e40a987e67c55fb87869
com.apihug	it-common-spring-api	0.5.7-RELEASE		df9c37e5c9ede6e6b750ea397d143960dea3c1fd
com.apihug	it-common-spring-api	0.5.8-RELEASE		fc3125bae1448f85def023363aec40542f74d28c
com.apihug	it-common-spring-api	0.6.0-RELEASE		2afe16e52c98e26e134d68b68ab22325b1fd2cf9
com.apihug	it-common-spring-api	0.6.1-RELEASE		8947d421076cffe6fca2361ca2453ffdb7d59a4f
com.apihug	it-common-spring-api	0.6.2-RELEASE		01576589e90dae3ab944b502513363bfb6082aea
com.apihug	it-common-spring-api	0.6.3-RELEASE		dacc70f24fb7d2233b678737c107028f437376a3
com.apihug	it-common-spring-api	0.6.4-RELEASE		3163efaa99902bb29ae6f86d58c4fc25fa1bfbc0
com.apihug	it-common-spring-api	0.6.5-RELEASE		3c6e12c8d0b564836a06b6e31ebeb862bae1a8c9
com.apihug	it-common-spring-api	0.6.6-RELEASE		8053ea5ae01c7f37b9741dd85bedc516ffe06fc8
com.apihug	it-common-spring-api	0.6.8-RELEASE		ee65969bcb4c121681bb4def8b8d427416f60593
com.apihug	it-common-spring-api	0.6.9-RELEASE		514fa190b3d0229b7d84cad0eb3104364d90ed51
com.apihug	it-common-spring-api	0.7.0-RELEASE		4b10198f26acf94173dd25c5a0c3716353e63d14
com.apihug	it-common-spring-api	0.7.1-RELEASE		59d7a00570679c3d6d0259fb1eb97dcc2ec38582
com.apihug	it-common-spring-api	0.7.2-RELEASE		1bf1372193ad83cf3ea01cc5028befba5d0bfcb8
com.apihug	it-common-spring-api	0.7.3-RELEASE		abd6e2e8065a41f22c10c1ce7b9006736abb7c73
com.apihug	it-common-spring-api	0.7.4-RELEASE		e54ae9326d8528e23a45f7aaadd7cf04257a9393
com.apihug	it-common-spring-api	0.7.5-RELEASE		6eb7d16f58211f67a78ce6e65bb467c5a9ee5052
com.apihug	it-common-spring-api	0.7.6-RELEASE		a7caa151c78e2ca61f421ff0fd8c0792f338a887
com.apihug	it-common-spring-api	0.7.7-RELEASE		001c0b415f75d159e26daa443d3e119e0404730f
com.apihug	it-common-spring-api	0.7.8-RELEASE		093d712f1e1d356346ead9d4827ab9e836f827b2
com.apihug	it-common-spring-api	0.7.9-RELEASE		e177da323e2187c4b3c43fa2bf551b3de4d75209
com.apihug	it-common-spring-api	0.8.0-RELEASE		ac1357a7a446636406a4c324f8112b9c904de237
com.apihug	it-common-spring-api	0.8.1-RELEASE		e78f8a4297e614425bfa8c091b512c89814d7ae2
com.apihug	it-common-spring-api	0.8.2-RELEASE		860683b41ae6bcabea6d4931446771c8d574ee39
com.apihug	it-common-spring-api	0.8.3-RELEASE		a2e1d11bdaf6750c739cc00d379550f92b2bc833
com.apihug	it-common-spring-api	0.8.4-RELEASE		331a82727e7cdfdaeeb8af378f702583df4f0ce3
com.apihug	it-common-spring-api	0.8.5-RELEASE		5c6cd0ca9a26e858c7bacd9c6ffd6b86abbd4d65
com.apihug	it-common-spring-api	0.8.6-RELEASE		a579d6a3a88f96d93306462186dce1506827f880
com.apihug	it-common-spring-api	0.8.7-RELEASE		eaf890a681704ae1baf0fba64ec27ab4f6c29c24
com.apihug	it-common-spring-api	0.8.8-RELEASE		ad0aaf47a7e48a1d829ffcc9e31fb11fb1103c2b
com.apihug	it-common-spring-api	0.8.9-RELEASE		7b47b24cd7fbabed4c74cd83f48e9f9cf1067808
com.apihug	it-common-spring-api	0.9.0-RELEASE		848c2540336d3286ee98b5603cda8c40a79144f7
com.apihug	it-common-spring-api	0.9.1-RELEASE		2b1fad5fe2552ff4794bf21d6493a2dbfde19fff
com.apihug	it-common-spring-api	0.9.2-RELEASE		caeda15fa470bbe62602c5eea6fcf2870c9dfea4
com.apihug	it-common-spring-api	0.9.3-RELEASE		8215738fc82fb76b2270eea31b2d9fcb67161868
com.apihug	it-common-spring-api	0.9.4-RELEASE		7c4c7c605bd53bd93e28d5d3c8f0e87c95292b99
com.apihug	it-common-spring-api	0.9.5-RELEASE		0c62956bc5e09b25091d30703a6d2bd490756433
com.apihug	it-common-spring-api	0.9.6-RELEASE		90cbfed6000906f0fa2c54f9476697dcdd848231
com.apihug	it-common-spring-api	0.9.7-RELEASE		a0ca164bc09e72e45fbd5ead3b673fe647aa66be
com.apihug	it-common-spring-api	0.9.7-r1		60d4b262a660f62e6161a4d2769ba88a9c4a4ed8
com.apihug	it-common-spring-api	0.9.8-RELEASE		0abe23d89e26bdc9525493722c9eba3f33004dea
com.apihug	it-common-spring-api	0.9.9-RELEASE		6c7a865149dff0184aee880b8ec001821adaf2e0
com.apihug	it-common-spring-api	0.9.9-r1		58714403c49788d14f0dd11053f5a852b7e3f352
com.apihug	it-common-spring-api	0.9.9-r2		c4323ab1dff1f071649fffd80876a9d28a9b6c88
com.apihug	it-common-spring-api	0.9.9-r3		f5df3636d36bcc93572e1feb30283e40e1b7b9a0
com.apihug	it-common-spring-api	0.9.9-r4		61eebf1e1e8bdf7b8b8fde83d9063c353c5e75bb
com.apihug	it-common-spring-api	0.9.9-r5		6f7eaebbb7fbe22d5174ca77d4d7e6832eab1c8c
com.apihug	it-common-spring-api	0.9.9-r6		0e997558f7705e80a9191f51d75875898cc28b9e
com.apihug	it-common-spring-api	1.0.0-RELEASE		2dc3934bca700edca82f249f27fcd1075c0c54cc
com.apihug	it-common-spring-api	1.0.1-RELEASE		6551b06dc22c5abb9e4d4021b941d7ad68bc43bc
com.apihug	it-common-spring-api	1.0.2-RELEASE		bc567ef7c5de3696d6ac4ba0515440ba02ff8b2e
com.apihug	it-common-spring-api	1.0.3-RELEASE		861e1597e0030a162eb391521baeb5452e1faf34
com.apihug	it-common-spring-api	1.0.4-RELEASE		436b0f06fd64913f0ffaf19dc15298b15302565f
com.apihug	it-common-spring-api	1.0.5-RELEASE		12b707973857c7fe3fc0a7f4452aa9696b31efd0
com.apihug	it-common-spring-api	1.0.6-RELEASE		861ff69a41ffab44b7f5a811b5a4de2090804c16
com.apihug	it-common-spring-api	1.0.7-RELEASE		e47518e675dc413aabf6f81337e19a940047171f
com.apihug	it-common-spring-api	1.0.8-RELEASE		5d13d0442e727440e766c45e8ba6353043b250c8
com.apihug	it-common-spring-api	1.0.9-RELEASE		3c395c91eca167fbd954b00e418e9c5ac2fcbb9f
com.apihug	it-common-spring-api	1.1.0-RELEASE		59e995708e2d3a8ed785898f9cd326bba9c4be44
com.apihug	it-common-spring-api	1.1.1-RELEASE		d8ca9c8958b3b88a6c743e7ccc7618669c18c866
com.apihug	it-common-spring-api	1.1.2-RELEASE		4109da7ef4e213051c7613d7280f2dc53bc5a19f
com.apihug	it-common-spring-api	1.1.3-RELEASE		f71daddf4daab69e35d5cf2f83fa3a76f8ae48b1
com.apihug	it-common-spring-api	1.1.4-R1		6ef4cad7eef2f41a91babccfa07633f75ce15e08
com.apihug	it-common-spring-api	1.1.4-RELEASE		2c2c44d5c592e0a5e24d630ca35a217deb94ff55
com.apihug	it-common-spring-api	1.1.6-RELEASE		d5bb1affca9f4a801f5923f15489e275f31db6ce
com.apihug	it-common-spring-api	1.1.7-RELEASE		f810742d38b1b9415dc61f7ff71e3fbebc50e62f
com.apihug	it-common-spring-api	1.1.8-RELEASE		92db3ed39c1240513a0d901836cd4e0a9428e817
com.apihug	it-common-spring-api	1.1.9-RELEASE		29ec38a55edec79dc9a593230e3f2390c1beed76
com.apihug	it-common-spring-api	1.2.0-RELEASE		4215d6b74faf040e9531e05673c76760ecb78dbb
com.apihug	it-common-spring-api	1.2.1-RELEASE		ab774440df7112dd5b314dd07a57ac31dc8335f9
com.apihug	it-common-spring-api	1.2.2-M6		d3c9d0659b09059b91f6062a47d7d27896893316
com.apihug	it-common-spring-api	1.2.2-R1		30ffbfa23c051d07bcfcb1061e07f2b203310c10
com.apihug	it-common-spring-api	1.2.2-R2		cb1b26c9c80a5d714801ac0d086023e5266a6fe9
com.apihug	it-common-spring-api	1.2.2-R3		899ea87d1fa521086769edb998c4c49c36312a73
com.apihug	it-common-spring-api	1.2.2-R4		4850afece4c36d29d06d90355270cceef61b4e8f
com.apihug	it-common-spring-api	1.2.2-R5		c87c27e934120a7ed1c6d417a7b9b7a37104259e
com.apihug	it-common-spring-api	1.2.2-RELEASE		cc5be82049a3b4cf4eaf71249ea25225056e8a97
com.apihug	it-common-spring-api	1.2.3-M1		6e2f0f71a832c9a5779d8eb67e9409caf2676e83
com.apihug	it-common-spring-api	1.2.3-RELEASE		4d4863fe2168487ec70381e0234ca328b5ea0f6a
com.apihug	it-common-spring-api	1.2.4-RELEASE		70ab5c5741b8dfc1906b15a20395e6f8e168caf0
com.apihug	it-common-spring-api	1.2.5-RELEASE		04d9d3e72ad81b0c78dee9d2270353d2bab14525
com.apihug	it-common-spring-api	1.2.6-RELEASE		a3dec5d80fa8ccde6a502920bb2af67792f3971d
com.apihug	it-common-spring-api	1.2.7-RELEASE		eaa0b9492d8202ba7ef1151eacbdb32977b9b371
com.apihug	it-common-spring-api	1.2.8-RELEASE		b408da06943cbbd43bdd3b7accd8db5f95289f32
com.apihug	it-common-spring-api	1.2.9-RELEASE		8af9f53bb6af133ee8f27799b2554c8bec04471b
com.apihug	it-common-spring-api	1.3.0-RELEASE		216acca07adea6fe5ead03181a8ee21150124ead
com.apihug	it-common-spring-api	1.3.1-RELEASE		a9d2fdee522c24f2f8025ce090ea521d7c975b89
com.apihug	it-common-spring-api	1.3.2-RELEASE		71390d6c4bb076cfc44b13a1a753b2c57e8094e2
com.apihug	it-common-spring-api	1.3.3-RELEASE		3b981b377f03ac2f87700acddae02374a3eb89a9
com.apihug	it-common-spring-api	1.3.4-RELEASE		a6ca1b6da556aae269cd2e8e0c9828ebc5a41089
com.apihug	it-common-spring-api	1.3.5-M1		a28531147478e12b5f935e9c9d70e0a183f45727
com.apihug	it-common-spring-api	1.3.5-M2		a1b1713dd5bf643c9dd5d7f4e281965b085a5f89
com.apihug	it-common-spring-api	1.3.5-RELEASE		6da64a9376bee3f06aa56fc73e3d6e29d69341a9
com.apihug	it-common-spring-api	1.3.6-M1		d27f5c27b3ad841572bb42d758bb83128dce232d
com.apihug	it-common-spring-api	1.3.6-RELEASE		c090667768d4da530aa1e3700cd776493fd2861d
com.apihug	it-common-spring-api	1.3.7-RELEASE		97c299622992a0d86d301dde648ab1cdef6dc641
com.apihug	it-common-spring-api	1.3.8-M1		3d2c24b19d14d1c315a426a1080ebecfd051fbc0
com.apihug	it-common-spring-api	1.3.8-RELEASE		282a642ea613cfbf667c62696eea7dcac5c19124
com.ashampoo	xmpcore-macosx64	0.1.0		N/A
com.ashampoo	xmpcore-macosx64	0.1.0	metadata	58bfc75d4084a14ca92ceb07a00e4082f513d819
com.ashampoo	xmpcore-macosx64	0.1.1		N/A
com.ashampoo	xmpcore-macosx64	0.1.1	metadata	31433c5a326068780a597be51e547adb76371343
com.ashampoo	xmpcore-macosx64	0.1.2		N/A
com.ashampoo	xmpcore-macosx64	0.1.2	metadata	e2e68418df6077a216e294f48bb3cc0bc924ea97
com.ashampoo	xmpcore-macosx64	0.1.3		N/A
com.ashampoo	xmpcore-macosx64	0.1.3	metadata	f1b6a992a5fc38b6e59fe831c4b409771ee9f9f7
com.ashampoo	xmpcore-macosx64	0.1.4		N/A
com.ashampoo	xmpcore-macosx64	0.1.4	metadata	f88cbac86c31766501e4d7e5025b1b5bc67646fd
com.ashampoo	xmpcore-macosx64	0.1.5		N/A
com.ashampoo	xmpcore-macosx64	0.1.5	metadata	ff3b842a3fa9fc5fde8486fd1bb949449ad8745a
com.ashampoo	xmpcore-macosx64	0.1.6		N/A
com.ashampoo	xmpcore-macosx64	0.1.6	metadata	62a1cc599ea9e59c567a25c01f819794f3315129
com.ashampoo	xmpcore-macosx64	0.1.7		N/A
com.ashampoo	xmpcore-macosx64	0.1.7	metadata	86af05f1fd7e9f07ee414b5636dfce3bb656ba02
com.ashampoo	xmpcore-macosx64	0.2		N/A
com.ashampoo	xmpcore-macosx64	0.2	metadata	27a075d4572df949868ab4182a86e86bd95206e2
com.ashampoo	xmpcore-macosx64	0.2.1		N/A
com.ashampoo	xmpcore-macosx64	0.2.1	metadata	41fdd7b7b09baa834fb142915545716350a19b26
com.ashampoo	xmpcore-macosx64	0.2.2		N/A
com.ashampoo	xmpcore-macosx64	0.2.2	metadata	a967d6738228f031e87fd6e0f05eac7c03e59a71
com.ashampoo	xmpcore-macosx64	0.2.3		N/A
com.ashampoo	xmpcore-macosx64	0.2.3	metadata	b9771361dbe9ff2ec1dbbcce14b7968f0315424b
com.ashampoo	xmpcore-macosx64	0.2.4		N/A
com.ashampoo	xmpcore-macosx64	0.2.4	metadata	e34679091ac382e78bb7686fd1f332f9d3d36d28
com.ashampoo	xmpcore-macosx64	0.3		N/A
com.ashampoo	xmpcore-macosx64	0.3	metadata	57c7fd18e976692319594399dc9d989fa57d95fb
com.ashampoo	xmpcore-macosx64	1.0.0		N/A
com.ashampoo	xmpcore-macosx64	1.0.0	metadata	01c938231b6eae33b5d9476d0b192329d9933c84
com.ashampoo	xmpcore-macosx64	1.0.1		N/A
com.ashampoo	xmpcore-macosx64	1.0.1	metadata	77ec093e35ac26052da9df0109d2f8ae00c7f992
com.ashampoo	xmpcore-macosx64	1.1.0		N/A
com.ashampoo	xmpcore-macosx64	1.1.0	metadata	527ce7ce0aeac24dae30ba10c0ffbdff864c4882
com.ashampoo	xmpcore-macosx64	1.2.0		N/A
com.ashampoo	xmpcore-macosx64	1.2.0	metadata	6d3ba9fa8693f15c18e3620d6c7be81ef2c694b0
com.ashampoo	xmpcore-macosx64	1.2.1		N/A
com.ashampoo	xmpcore-macosx64	1.2.1	metadata	15273105c7ba49bd9b2f41d971cca959e3a8ce41
com.ashampoo	xmpcore-macosx64	1.2.2		N/A
com.ashampoo	xmpcore-macosx64	1.2.2	metadata	e3976ce02fd3e3a7184a20fb26baa06d2bde19ab
com.ashampoo	xmpcore-macosx64	1.3.0		N/A
com.ashampoo	xmpcore-macosx64	1.3.0	metadata	0e2023b2aac8b0ef711bd37e9373122e895b0dca
com.ashampoo	xmpcore-macosx64	1.4.0		N/A
com.ashampoo	xmpcore-macosx64	1.4.0	metadata	8ed1d39ba2b0f6eea469fefdc313c030142b5438
com.ashampoo	xmpcore-macosx64	1.4.1		N/A
com.ashampoo	xmpcore-macosx64	1.4.1	metadata	a11ba1518527163065e6cef51d6e9d80a36f53a0
com.ashampoo	xmpcore-macosx64	1.4.2		N/A
com.ashampoo	xmpcore-macosx64	1.4.2	metadata	f262759dec05f74c3730331e0d87d0e6c83d6094
com.ashampoo	xmpcore-macosx64	1.4.3		N/A
com.ashampoo	xmpcore-macosx64	1.4.3	metadata	2756974909439421c385d6a4a152b5d050c92570
com.ashampoo	xmpcore-macosx64	1.5.0		N/A
com.ashampoo	xmpcore-macosx64	1.5.0	metadata	e1808184fff9c2bd3e7aff4bae28aacbedb78e81
com.ashampoo	xmpcore-macosx64	1.5.1		N/A
com.ashampoo	xmpcore-macosx64	1.5.1	metadata	98b53cd800dda07dcdd0e149ca0911aa7abba1da
com.ashampoo	xmpcore-macosx64	1.5.2	metadata	c7316569c988d080675d1a6a7f040a042654733d
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha04		N/A
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha04	metadata	4e8a6e41fb1d43ecdd615626c896cac6cf6307ec
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha05		N/A
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha05	metadata	10427803a3f16edbfe578f0183db981fe1ac08cd
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha06		N/A
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha06	metadata	efd1228328e70664cb8e03bf3a92a602e6d183bf
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha07		N/A
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha07	metadata	636a81c55f16d155ab80e1c84964fa9c91d65c77
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha08		N/A
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha08	metadata	dcf81db46d8c0747130624dd2077a63d11b4d3af
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha09		N/A
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha09	metadata	4d725b2fccf1094f68a60a8cd0c6d23e695de4f6
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha10		N/A
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha10	metadata	6e074ac2858c4823cd9102cd7e0c4250201d94a1
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha11		N/A
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha11	metadata	1509ed3781376a77ee700034914d8bc09e057521
com.attafitamim.mtproto	client-auth-iosx64	3.0.3-alpha12		N/A
