am.ik.aws	aws-apa	0.9.5		c98b8f6333df6b75183684914f1951b943fb47b8
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.6.2		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.6.2	metadata	b4ff17888cbaac2b2d67c0e406812eee481f2d9f
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.7.0		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.7.0	metadata	666c2e9dbbde16156f2fbb644758445b6ba67230
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.7.1		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.7.1	metadata	5e97fae554ad0eaa1ce3b569aa96949e39bbf72b
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.7.2		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.7.2	metadata	c7b74f06d79d1dfe15499bec71e1ee64726cdae6
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.7.3		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.7.3	metadata	42cb52ee5fd6a4a26578be3bf1904b23f9696e1b
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.7.4		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.7.4	metadata	015a61454c57f23814eb461dcccb13a65db9bf5e
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.7.5		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.7.5	metadata	d535d14d7fc07b007ccddfb6d3b404ddc45e8143
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.8.0		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.8.0	metadata	427a88d826d37e64bbf029b8c1d0e79f6ee3bc00
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.8.1		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.8.1	metadata	4be0e89183a252e3954b2cc8390187e5ce4bbaee
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.8.2		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.8.2	metadata	9bb126ca753218b13803813fd4f594f0f3eaf7cb
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.8.3		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.8.3	metadata	498411370cf70f32021bf80462d02a007adbe776
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.8.4		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.8.4	metadata	276a8143538027a9ea07451e3719636160bc2edc
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.8.5		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.8.5	metadata	3b4f2da163e2d241a89155dbc50f70597ddc29e2
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-alpha.1		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-alpha.1	metadata	08f72355855bb8573d1a83b5c5e7a77a5f6aa225
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-alpha.2		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-alpha.2	metadata	11f9c9dc8a95a2029f249b1e913d09009454890a
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-alpha.3		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-alpha.3	metadata	42ad5a5f6dfabc22af324dde612b5f885d0c2e7f
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-beta.1		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-beta.1	metadata	bf7ab5853655bb9bbb794d6414c0867f3e0b0a23
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-beta.2		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-beta.2	metadata	dc3494ec4a675a077129546a5b19e017ab013336
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-beta.3		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-beta.3	metadata	842ed3e268aa5710351990ced09633d850807cd1
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-beta.4		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-beta.4	metadata	a86f33290c4e15ea6ebfe3933db8a2e7400e57e2
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-beta.5		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-beta.5	metadata	3db10bfca5526542f2d77f70ab09f471744eebbb
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-beta.6		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-beta.6	metadata	68364a6a96bf8207705d79b5152b32da46855479
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-beta.7		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	4.0.0-beta.7	metadata	e63262d5d5bfcb9d375ac38e98df1bee7cde04b9
com.babylonhealth	lit-hl7_3	0.14.5.1		9626060efd33c5b0d5dee8d502eb491d461e61c7
com.benasher44	uuid-tvossimulatorarm64	0.3.1		N/A
com.benasher44	uuid-tvossimulatorarm64	0.3.1	metadata	a3fa650a340e57a0d8c971abfee9389e1173d6a3
com.benasher44	uuid-tvossimulatorarm64	0.4.0		N/A
com.benasher44	uuid-tvossimulatorarm64	0.4.0	metadata	ba953e0b42e6de95dda4fb19ced753f013aa0351
com.benasher44	uuid-tvossimulatorarm64	0.4.1		N/A
com.benasher44	uuid-tvossimulatorarm64	0.4.1	metadata	ce5cdff85ba1cbdf29e6982fc5241442e5a83db1
com.benasher44	uuid-tvossimulatorarm64	0.5.0		N/A
com.benasher44	uuid-tvossimulatorarm64	0.5.0	metadata	a096b81d8b145fca559b216ca70bf3c1aa002b64
com.benasher44	uuid-tvossimulatorarm64	0.6.0		N/A
com.benasher44	uuid-tvossimulatorarm64	0.6.0	metadata	985d1ee3cd805e12dab21e53769bf165ea1506ed
com.benasher44	uuid-tvossimulatorarm64	0.7.0		N/A
com.benasher44	uuid-tvossimulatorarm64	0.7.0	metadata	da729f7f0a26d2cec0eb064626fdda037aa45eb7
com.benasher44	uuid-tvossimulatorarm64	0.7.1		N/A
com.benasher44	uuid-tvossimulatorarm64	0.7.1	metadata	bb960996037e806ac562c8719785442f3183a883
com.benasher44	uuid-tvossimulatorarm64	0.8.0		N/A
com.benasher44	uuid-tvossimulatorarm64	0.8.0	metadata	d32fd90baca23ad29865a9c3c4e7012ded4e812b
com.benasher44	uuid-tvossimulatorarm64	0.8.1		N/A
com.benasher44	uuid-tvossimulatorarm64	0.8.1	metadata	0c0edfee743ca23abee7071c3598521414a48835
com.benasher44	uuid-tvossimulatorarm64	0.8.2		N/A
com.benasher44	uuid-tvossimulatorarm64	0.8.2	metadata	ad2a6df81a0396e5537baee54095f7ca110d0e6b
com.benasher44	uuid-tvossimulatorarm64	0.8.3		N/A
com.benasher44	uuid-tvossimulatorarm64	0.8.3	metadata	ff2db58e6a472483f180c1f82bc86fc81b563582
com.benasher44	uuid-tvossimulatorarm64	0.8.4		N/A
com.benasher44	uuid-tvossimulatorarm64	0.8.4	metadata	f7cc0ded8f9c6b15f6cc9f0e672da224ceb4aaf9
com.brightsparklabs	datastore	0.1.0-1		09e58b96c2d9493bd60e2a08be7de901d9fbdac0
com.brightsparklabs	datastore	1.0.0		83f1d3178b61fb3bb6641f433b4c954d71c423fb
com.brightsparklabs	datastore	1.0.0	all	58318e121c160e6f2527994c8fb60f01c79bace9
com.brightsparklabs	datastore	1.1.0		47706a796327db1fdd7633f07679cc29db7908bf
com.brightsparklabs	datastore	1.1.0	all	f34d3223f6e4635b63b428be0b17b3df609d3e1b
com.clovellytech	h4sm-files_2.12	0.0.13		c1f41a3f4f92149a05893e9941a32bad257af370
com.clovellytech	h4sm-files_2.12	0.0.14		e27967d6f344d6e1dbdc36285cdc756352c0c77c
com.clovellytech	h4sm-files_2.12	0.0.16		d2f15dab5f8982984c466662082e8eeaf867434d
com.clovellytech	h4sm-files_2.12	0.0.17		0ea088866f71ecb0b26092193528aebfe6a0770c
com.clovellytech	h4sm-files_2.12	0.0.18		8a3fe96d42579a89a7ccfb4c635c012ad516440c
com.clovellytech	h4sm-files_2.12	0.0.19		fa6fa788ed31b790bb3be6c76073687e42797b57
com.clovellytech	h4sm-files_2.12	0.0.20		18a4f4a1840eb3c4e9a63dcc81b197b132c0ddf4
com.clovellytech	h4sm-files_2.12	0.0.21		853f2a3cb0bf62ed46c1720ebf1bc6fc7b3ddae8
com.clovellytech	h4sm-files_2.12	0.0.22		73639390d49ada1999a55fa538065aa751ba7ae5
com.clovellytech	h4sm-files_2.12	0.0.23		99e47a35f078f31c6b0bf8aca6f301a8214271ef
com.clovellytech	h4sm-files_2.12	0.0.25		ed1706949e2c60c77378f81471b8a9e9cdf65ae1
com.clovellytech	h4sm-files_2.12	0.0.26		7c8124ce1f194271a5afd7a87fe4ffab2296ae17
com.clovellytech	h4sm-files_2.12	0.0.27		fb3b6a681a3f2eb63224ccdd1d7e0a728e9bfe60
com.clovellytech	h4sm-files_2.12	0.0.28		72375d9ab525759d24639e789c00fbf992c712ca
com.clovellytech	h4sm-files_2.12	0.0.29		739d73a69333d79f5a1c8045f0ffc8d022e1bd7d
com.clovellytech	h4sm-files_2.12	0.0.30		3b133b37e41ae65893b746e392ce737fcaaca3ab
com.clovellytech	h4sm-files_2.12	0.0.31		e6754eb4311a60950627777c6556738b005e0751
com.clovellytech	h4sm-files_2.12	0.0.32		bfa01732e5329ccccfb4b837095aae5363afca48
com.clovellytech	h4sm-files_2.12	0.0.33		c8a9206778a4a2f2c355d2596aa9271e44f92c31
com.clovellytech	h4sm-files_2.12	0.0.34		5125de9665c76b9b1a4cf8b94db76695b0123580
com.clovellytech	h4sm-files_2.12	0.0.36		f7748c43aa2fa39282ef8f47f34835728706525e
com.clovellytech	h4sm-files_2.12	0.0.37		c3ec61652136319b01a749972a6b71f148e10211
com.clovellytech	h4sm-files_2.12	0.0.38		8acf107637fe68ec4976b4a077a6020237f8b42b
com.clovellytech	h4sm-files_2.12	0.0.39		74da7c83c2437e1172f9405eb3ef637c72671525
com.clovellytech	h4sm-files_2.12	0.0.40		300fc53e7ddda1fe550614920aba7f88284d5a2e
com.clovellytech	h4sm-files_2.12	0.0.41		9c48765eaeed8192d19229dd8be6c072f4c2f5e6
com.clovellytech	h4sm-files_2.12	0.0.42		93f7b0136a02232f6a7b0a0a95c8b0178da6e7cc
com.clovellytech	h4sm-files_2.12	0.0.43		64eedc1cee80af0761de6a21108ae8ff7819ef6f
com.clovellytech	h4sm-files_2.12	0.1.0		356b14c398918c8d4ea3b914a6c8e72d9072b93a
com.clovellytech	h4sm-files_2.12	0.1.0.1		8e4ee9ec385deab6a3ba0062fbb6ed1ef1b7eac6
com.codecommit	coop_sjs1_2.13	0.6.0		a193dcbd3d1ce709fc2c2ecfbc9dac59af395d7c
com.codecommit	coop_sjs1_2.13	0.6.1		f062a0192d0116302ef9c5fc799a3a6b2ed33390
com.codecommit	coop_sjs1_2.13	0.6.2		4c4b61e3c4faa81cc00968e41b529f00ad1173e7
com.codecommit	coop_sjs1_2.13	0.7-5134c3b		a4b0a9dcfd5f58b00e588138116c50dd44b3a804
com.codecommit	coop_sjs1_2.13	0.7-b814312		544040a52e75526e93a477840444c4346fa70f5b
com.codecommit	coop_sjs1_2.13	0.7.0		a8e8800cd5dfb26175b1b9927c2569f4abb4113f
com.codecommit	coop_sjs1_2.13	0.7.1		8e36ebe423d02856f7ec57b785f914a29ba1937a
com.codecommit	coop_sjs1_2.13	0.7.2		21662daea1d181e5e2307c63e0b08a8e028ec76e
com.codingrodent.microprocessor	Z80Processor	2.0.2		cfaebe5cf21b9a594579135fde0e337559fec930
com.codingrodent.microprocessor	Z80Processor	3.2.0		e504a196fa6e360c23572da8f5fe029ab50272b1
com.codingrodent.microprocessor	Z80Processor	4.0.0		248d209fae8cc84dfae33e2c20f9891659b01a9d
com.codingrodent.microprocessor	Z80Processor	4.2.0		b9d0a0a683391e8654265dd5e0ea20ced73b88af
com.devonfw.modules	devonfw-reporting	2.4.0		6c27caebac729dab0103e6f54b92895e5db36bb8
com.devonfw.modules	devonfw-reporting	3.0.0		0121e917e88b0ed2d3057ea3db4e189eaf3a399b
com.devonfw.modules	devonfw-reporting	3.1.0		59f11e81250eb2f050b6a23a6056035eeb19d8fb
com.devops4j.skeleton4j	skeleton4j-validator	1.0.0		8ed927c265cd06a52839669b36c602fd3b7f2d90
com.devops4j.skeleton4j	skeleton4j-validator	1.0.0-PRE1		cbbfc31c8e591d02b1832c7230ee6e5ea07a9dc6
com.devops4j.skeleton4j	skeleton4j-validator	1.0.0-PRE3		5d13ba7ac9a5b6fd1b9c2aaafd9639a588dbe5d5
com.devops4j.skeleton4j	skeleton4j-validator	1.0.0-PRE4		8eeb51ac31264787f35a54d711a3f24b20b012f3
com.devops4j.skeleton4j	skeleton4j-validator	1.0.0-PRE5		31ada3d4fde266d4450b972ae654cba12d625093
com.devops4j.skeleton4j	skeleton4j-validator	1.0.0-PRE6		4de4928b26656769b218b2dc1e6d32c2e8129b97
com.devops4j.skeleton4j	skeleton4j-validator	1.0.0-PRE7		aa8c55a485eb568bc4452b2765598658acdee60e
com.devops4j.skeleton4j	skeleton4j-validator	1.0.0-RC1		dc297e8c1ffc43473d167b6f370f2253b913966e
com.devops4j.skeleton4j	skeleton4j-validator	1.0.0-RC2		1a3d6d13f25495d9f8d53a50b51f2ed61072263f
com.devops4j.skeleton4j	skeleton4j-validator	1.0.0-RC3		cf5facd28eb49433e0b345febfca11fd9a105e24
com.dwolla	otel-aws-xray-id-generator_2.12	0.2.3		0ae4251126139961b55bfcefe848f06c9e10db54
com.emarsys	scala-logger_3.0.0-RC3	0.8.1		7ee6049d4c1c1430ec0d881d79a2d5b355938f88
com.f5bc	f5bc-util-signature	1.0.0		396430eba0b69895c723808d382aff84de494ea9
com.f5bc	f5bc-util-signature	1.0.1		62ce21fdb0b792a2f763f80de61a3a91a3547e70
com.f5bc	f5bc-util-signature	1.0.2		fd29a4a3d6aca9d1cf538781c17e8d834f1cabb8
com.f5bc	f5bc-util-signature	1.0.3		453391dd080ae8bcd6379f7ee4fed516f62db93c
com.f5bc	f5bc-util-signature	1.0.5		118ee62045bd765005495331a1ea99a9acb3e5cf
com.f5bc	f5bc-util-signature	1.0.6		d3bc773e2ca0652bf089eced6ab7ebb5cfc91960
com.f5bc	f5bc-util-signature	1.0.7		c379b62da4648a4a9d00f90b8dbb885f212ffdf6
com.f5bc	f5bc-util-signature	1.0.8		cdfa3f0c6df7b9dc55a019bd97a7d288687842fb
com.f5bc	f5bc-util-signature	1.0.9		ae5a8bd72d598945a1b50f21aaf945edc425c9e1
com.factorymarket.rxelm	rxelmcomponents	0.1.0		0aacb767065742fae859cec3aa2a97d747d8429d
com.feedbackbulb	toolbox-sdk-android	0.0.5		N/A
com.feedbackbulb	toolbox-sdk-android	0.0.6		N/A
com.github.WangJi92	dubbo-exception-filter-low	1.0.0		3276d52e9b9d8f143aaac4afcefd1937db88548c
com.github.WangJi92	dubbo-exception-filter-low	1.0.1		2fdd37cd9bee09525ca7f876f061250b28035967
com.github.alorma.compose-settings	storage-disk-js	2.1.0		N/A
com.github.alorma.compose-settings	storage-disk-js	2.2.0		N/A
com.github.alorma.compose-settings	storage-disk-js	2.3.0		N/A
com.github.alorma.compose-settings	storage-disk-js	2.4.0		N/A
com.github.alorma.compose-settings	storage-disk-js	2.5.0		N/A
com.github.alorma.compose-settings	storage-disk-js	2.6.0		N/A
com.github.alorma.compose-settings	storage-disk-js	2.8.0		N/A
com.github.amap-demo	poisearch	1.0.0		N/A
com.github.amap-demo	poisearch	1.1.0		N/A
com.github.ppodgorsek.cache	cache-invalidation-spring	1.0.0		619c78de29555eb6c38c257ab7abc1a94096cba6
com.github.ppodgorsek.cache	cache-invalidation-spring	1.0.1		43b7450b5367337413459f2129672f1936ddc106
com.github.ppodgorsek.cache	cache-invalidation-spring	1.0.2		21b7503a301c9ffcadd4d8382493efb86108d10f
com.github.ppodgorsek.cache	cache-invalidation-spring	1.0.3		53971498dbacac02ea12b546b2b76b3fc03a6fb7
com.github.ppodgorsek.cache	cache-invalidation-spring	1.0.4		3bff6d079049cf23c4b935bed4e07efa14e5d385
com.github.qhh6eq	tushare-pro-java-sdk	1.0.0-RELEASE		ddff4e72ac2f7207da1211d5723e8753d7d06a85
com.github.qhh6eq	tushare-pro-java-sdk	2.0.0-RELEASE		82873f86aab0337ae5e3b5d4c2af289e30ae704a
com.github.qhh6eq	tushare-pro-java-sdk	2.0.1-RELEASE		3ecc1c8bdbfa3f015452857d5fb7d3a9ab505274
com.github.qhh6eq	tushare-pro-java-sdk	2.0.2-RELEASE		817e5e724e18dbb6b0c1a6315be736f354821997
com.github.qhh6eq	tushare-pro-java-sdk	2.0.3-RELEASE		4526405e8284bc3be9603d8bdc76d39785774671
com.github.qhh6eq	tushare-pro-java-sdk	2.0.4-RELEASE		9ed6a5084ce2876a45354d35ed92f7a97cf5d9b2
com.github.qhh6eq	tushare-pro-java-sdk	2.0.5-RELEASE		537222eff4cccb9a7332ef94db4be5ef05108426
com.github.tianjing	tgtools.excel	1.0.0		52f88c605bc55bdf4067a1f4ab8ed6c2a6e3c567
com.github.tianjing	tgtools.excel	1.0.1		654efcbd326951997a2befe6709c4e11b677370c
com.github.tianjing	tgtools.excel	1.0.2		9f6aece0cd1eed3b7ccdd9b8d5ddac5ed20b715c
com.github.tianjing	tgtools.excel	1.0.3		074593800592a12849cf38ec2a384f43280cf23f
com.github.tianjing	tgtools.excel	1.0.4		de12a088fe098725cd242c53cbb488deff71ecfe
com.github.tianjing	tgtools.excel	1.0.5		95c70e5086be7486942dfa5f3f1037b4a8bdae9d
com.github.tianjing	tgtools.excel	1.0.6		f98e9714f45fa678a2331b92991721227b52c211
com.github.tianjing	tgtools.excel	1.0.7		07dbe84bd420f9694f587b6e19ca7d15ed4cccb6
com.github.tianjing	tgtools.excel	1.0.8		2e154edae9d86846b7423a451aaa1110ce87c690
com.github.tianjing	tgtools.excel	1.0.9		f15b5563c08f2e0f2ce47964839f22192dc2046f
com.gracefulcode	ai	0.1.0		121c2140241a7dac1ff011afeade934d5b58218e
com.gracefulcode	ai	0.1.1		7fbbbd7c230c3c18411d667d56d7c64223741397
com.gracefulcode	ai	0.1.2		9657ba23ba956dc9a425f56e600099fa3c9f8848
com.gracefulcode	ai	0.1.3		7d468f2dc21c37a8be47ac07eb8fe358d73691b8
com.gracefulcode	ai	0.1.4		38d33821a664669297e58e8550740f82cbf92724
com.gracefulcode	ai	0.1.5		acf52dfa38fcb0c9469aeb49429a6833983ed72e
com.gracefulcode	ai	0.1.6		6224183a4913dab59e45ff496134a54d337f7504
com.gracefulcode	ai	0.1.7		322162fe34defc4d6cabdfe467406e712143caf2
com.herogi.client	herogi-client_2.11	1.0.0		a58162da7baba06671d5d155cb8115c1c4bc8275
com.herogi.client	herogi-client_2.11	2.0.0		c632807b97b0f38513910c84a0b4f162675be092
com.io7m.streamtime	com.io7m.streamtime.tests	0.0.1		99a4db6784a6a20de8f0767217a00d34dc40405e
com.io7m.streamtime	com.io7m.streamtime.tests	1.0.0		b9bb33f7e8a23faac135b4737c7fbf7cd2891bff
com.javaoffers	brief-mybatis-sample	3.6.3		8c64281f9eb044eaa4f65e277e92d21a34e42039
com.javaoffers	brief-mybatis-sample	3.6.4		c607c5d0bdcc5c935539e714ff0750f9c779aba7
com.javaoffers	brief-mybatis-sample	3.6.5		1d3b56f00d7f463e4f3f43ef3a069e1dc23790ac
com.javaoffers	brief-mybatis-sample	3.6.6		5f90cbfcd2374d0910b77aabd64c17ad034077e4
com.javaoffers	brief-mybatis-sample	3.6.8		d4fa03d984ac3462907c9236a9ba906dea2a9f98
com.jd.live	joylive-router-kafka3	1.0.0		f04721a652d0579790fc122a0e6dde3e2964c640
com.jd.live	joylive-router-kafka3	1.1.0		d8b222e92accd79d21a25198cbfdb61fb5cb0a50
com.jd.live	joylive-router-kafka3	1.2.0		347131ab61d4096cd322231625618c91bf958c4c
com.jd.live	joylive-router-kafka3	1.3.0		53b5400d69245d59f503911ff4cf0f2b6771c432
com.jd.live	joylive-router-kafka3	1.3.1		99602340a28b15e758550b7804f449313e0e9ecd
com.jd.live	joylive-router-kafka3	1.3.2		bf71c7c3833d096e7c9354be7b18e5e0682d465c
com.jd.live	joylive-router-kafka3	1.3.3		30274ecc93afd64576d79b48bc7837e6e8fc1b1e
com.jd.live	joylive-router-kafka3	1.4.0		7cbdf39ff94f0bed799aa19997e6270d6bb9d348
com.jd.live	joylive-router-kafka3	1.5.0		0be8df1be8c34a7a767bdc470a123e15cee24646
com.jd.live	joylive-router-kafka3	1.5.1		11b48e22e91c74de0fdc42b3b358dbe74f12215b
com.jd.live	joylive-router-kafka3	1.5.2		f18e1dcdf81dcf475f37cdccce18c57d6658d17c
com.jd.live	joylive-router-kafka3	1.6.0		f73f1c6e27de9246f02b022f7b2ead0f7acad670
com.jpattern	jpattern-ioc	2.7.0		a98a707f1e87f0280201a1c40e6083f123c4a14a
com.jpattern	jpattern-ioc	2.7.1		8434ca4f13d09253b13e3fda2114c27422a7dd6b
com.letters7.wuchen	springboot2-cache-redis	1.0.0		e412c5809bf31d60d824714dc1a4e8bf6ba8df88
com.linkedin.dagli	util-collection	14.0.0-beta1		91eafc4b18bf8dcb01dbe31a4606e86ce2610ca9
com.linkedin.dagli	util-collection	14.0.0-beta2		c979e2e1c854f39d67ca0b69cb0378dc5a742aba
com.linkedin.dagli	util-collection	15.0.0-beta3		a3a5ec07c8243362c5d1f510625fd618d3571c41
com.linkedin.dagli	util-collection	15.0.0-beta4		00ca4d7c0ac92e114f7d35c6605aa09110c4f388
com.linkedin.dagli	util-collection	15.0.0-beta5		99e8ecb31b1e50e81dcef82ad6739eec2b303550
com.linkedin.dagli	util-collection	15.0.0-beta6		0f5f5b79af1a9a374a550c8c3f4e9942a7d058ef
com.linkedin.dagli	util-collection	15.0.0-beta7		26311f1303de927cacce220a7cbfa73bad39b150
com.linkedin.dagli	util-collection	15.0.0-beta8		d7d58346614ff5ff2c79c830cff5e85102c58602
com.linkedin.dagli	util-collection	15.0.0-beta9		eba0af5dec4a660039b4ebf3a6f1c2d8ab74638d
com.mxpio	mxpio-boot-base-security	1.0.0		f50eff40c793dbaf73317278402384ff49f953db
com.mxpio	mxpio-boot-base-security	1.0.1		e1c6baeec83aac65ae67301bb82aff7b8f662dbb
com.mxpio	mxpio-boot-base-security	1.0.10		63e3eabfb751eefd1ca50447a0eaec85cee47780
com.mxpio	mxpio-boot-base-security	1.0.11		1b78691289bb935f7cd5272c864492e34db9f029
com.mxpio	mxpio-boot-base-security	1.0.12-beta.1		c5277ae39102549b10795d51b91b68c89f4b8d8c
