org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.13.3		ad2d974f48efbc3bfbe6186765121a84f18ad116
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.14.0		2b502e8a5aeed46758b505ac4ba7e3a51194ce3f
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.15.0		eb950aa9a96ce9f546dfd5e588d6c6e440589ca1
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.16.0		2d8ef08502e4fd481c1cd359f5bda41f89f4c8da
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.2.0		fef247a150a9f04ee309a74997a591272a2753a4
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.2.1		84cd1cca879890babc550a5b805997c0848e779e
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.3.0		9b7c15b759414e95c14592c7b66ebd1e625e0188
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.4.0		64d90720d05a708098de047f60fd48f021b9e40f
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.5.0		026aa4567b9b55a3feba77165def0ffc35527388
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.6.0		ff84a73ff9ab4079b7c696dafb3f25a1dc2b099a
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.7.0		3a8ae1ff8d9d078b8f6ed031f28dbab023296d87
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.7.1		fbcddf060309f1f8bbc9fbccb31cf6abc3860eb5
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.7.2		d987652f3df081a17af98dc335ca5aac47cc7ecb
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.8.0		107bab1f04cbbb9a16870066eb0c3ef59e392c7c
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.8.0-M1		9fcd06c680445df0c6ae67dab68c269c1329e5ec
org.apache.camel.quarkus	camel-quarkus-printer-deployment	2.9.0		5f237bd9062570fc29381ca104c8a674dbe9a6b0
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.0.0-M1		e6f07c82f2a0778c42c5ad4ef24635dfdf711004
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.0.0-M2		6ee7b57597c74878edb22788ea60d38c21981d06
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.0.0-RC1		b8a6c83a3252aa46b4da354bcb39677726cc3b4d
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.0.0-RC2		d62fa16b109d0f8514e6d7780bb0689e48728f12
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.10.0		b4edae86b1a4fe741bf240b404888eac0d3da454
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.11.0		df6cc802e8d65cfb5d1555c67ddc0cd2d3742423
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.12.0		58d3c4596d7645eb689435616caeb8d81081f24a
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.13.0		e511115ba583d8c85f9ad5ff8e014f688705825c
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.14.0		db31cd7e6acadf8ce59b6ebdfcd4e4df8588fd4f
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.15.0		032cbf6854b500e48153c6c80ff17e3d0143ca04
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.15.1		bd8b66056bff06957bdc9eda591f09a40abe31f5
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.15.2		e5fd41b253e4b5bcf92a66ba124adcc21fbd8320
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.15.3		31c94bb287b9f13c7107d08da480df12ac1c83bd
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.16.0		b01b0d6559a4b1e3ba028a0ac67540813c1bfc71
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.17.0		a6cb227bebc1b404782af739833b69b3356911ee
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.18.0		fec30a5d493f395296770d456e54cc2b77c983e1
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.19.0		f58918e16f26c3c8520c0d83f14cf987e17096aa
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.2.0		d386f818144ea7f67c6ef7eb44b3f4e5f12427a3
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.2.1		ac635b443709957a073b6c543099c854458af704
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.2.2		262a61a21ab32d78737547bab504689ce4dfa597
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.2.3		ad25667b68d716489cfdea2e2ed5813052f6615a
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.20.0		3d813b05e0a7d045910e5d4e7d1d70313666dde7
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.22.0		27fd5370325ef3d6a1b933e3ef0e49e8c7d0ea35
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.4.0		232db73dd11c139de2e6126145b7851d0355a0a0
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.5.0		94fe51e5878cffccab3364066f1e47de7971f144
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.6.0		c92e6a8cad62cb701fdd699271979220e7da9186
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.7.0		ea528e5bf5d8ac320e5d5fddaf597adb1b240345
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.8.0		85ff4c6d1561ba66751a40df6e741da6eef629ea
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.8.1		03b469271c2967f750f8920fdda2a8b688ad334c
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.8.2		4b08f1bf2a15df34e8a067721df16403a5256f5f
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.8.3		78bab3e460aad1bced568642360f248e69f9a3b6
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.8.4		98f4221c1204fafe8e40c4a15d1ee8f987e76e72
org.apache.camel.quarkus	camel-quarkus-printer-deployment	3.9.0		8a418c73ed1fa5aba2fc9450b698e0a2db5c0ac0
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.10.0		02063eb1bcfd7e6d2e1899f7ce680dbf38179e52
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.11.0		a197db1ccce4fa892f27219c0876f8a0031b4564
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.11.1		2d25f6be69660d204dde4cb9bdfff081a2226e3b
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.11.2		86e0bd3686155517454bf94489dddaa72dcd8c7a
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.11.3		3ec5ca480d64457759327444e7c0458404d41ddf
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.11.4		1acc7ec16a9f0b504eccd522e4bf3afa08624b49
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.11.5		86ed3e012b838852e560bf3cc1663ddc01c60ba9
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.11.6		d1d5490630e5a8f0410c73190620b71a2fd3b7da
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.11.7		64fd9887ac6e7323a69165335e3c05f9f755c863
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.12.0		b5a81d2a0feca18be2ea96c1662871c8f2a852c5
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.13.0		50fd596fc2aaf736e81264be40778f1aa16c2771
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.14.0		76232ec4381c8945edcfaeffff393386a4846e96
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.14.1		5458f84d32fe15df8c6c9ff281ad7fda111a542d
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.14.10		87a3b37916c5350960a0665e95c3a9127ea8d178
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.14.2		ffb08027952206415249154c140d51eff80bda07
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.14.3		b04d35f97703ecdc5c70572ae78a09800227dbf7
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.14.4		4ea9b22b2ee4b89d2e7ffb2a3eff918dd7fc0ce8
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.14.5		b76f94845ece997766027c413f102d8ce43e6c7a
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.14.6		b84877af2fb85590ec1907aae4ebca348d7193cb
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.14.7		cdc488515bf4f908f5fecccc4536be396ec301fe
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.14.8		9b06a969fb8f19efba475f59daf2e7220cc4a16e
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.14.9		882c82abf289a12e114ab098bd6b213bbd390fa3
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.15.0		4e3cada305155c4248c7c84f0b225d867aa36b52
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.16.0		4b9f9957db9b335cd6a92d8b4b415935edab05f1
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.17.0		0a0bc6da45b0e5fadc2c58f9a2fcd4e535ad9e8d
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.18.0		daf671951377a889db240195461865ffee5abbe5
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.18.1		6fa8d43d64bc9cf6be4e17cd5eed49c9caa0846d
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.18.2		27e6e8345aae86791aa97dea425d908509435299
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.18.3		2699659e5688389327c5fb0d5e0b607321b8917b
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.18.4		e6ca45b3166e0cb9dd3ec7fcba6fd2105379ebc1
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.18.5		2999e57af3cb0042b16969b7fd373b90b791c2dc
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.18.6		5bd4b320fd95abe5d9bc5404dc8e66f8866b9ef4
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.18.7		b611cf3c9d54478f5c55ea17f6c12f9935e73464
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.18.8		e12c2a4a88e2039cbe3a8406b8e616068470615c
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.19.0		a69bd07d33989557562d6d9a75adeebae2934418
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.20.0		93a4e33c15275eef3835591281c0837fd4926247
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.20.1		aaafdaecbd06ae51f1accc5759fd58431742f3e1
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.20.2		83712d8ebec7524b99a11439e8f00edef27648fb
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.20.3		bc15af5bf972ce4cb0b0c2d0a34f2e0415c3baeb
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.20.4		d2b7c45df31a36b4355064802c9b7c669c984ec3
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.20.5		f4ffeee60ae94e65f0acb85acd1c5b9498ed82cb
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.20.6		c8e7a6168f99b8771278d2470d875f4266ad7c56
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.20.7		8dc82e40fe59912bafb6ff76ed69fe912416fac5
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.20.8		c9350325a78ba1a78471cb79067987c41352cd32
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.20.9		35db1350853467ba712b4f90c5fe560c55227dd6
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.21.0		da0a751ccacf6e2f37358980357b202074570db6
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.21.1		55042fc88bc8d8b053c501f72403e95bb131cab6
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.21.2		6243544e35d7cd8a3ecfadd96a1830b62a4921f2
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.21.3		5c0de7fd1e29472f4d6acdab8f329792ea42d202
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.21.4		967cfd355421f8b1f34723f7f013fb425832f1d6
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.21.5		b68b5b78b5c711dc51fba6011042892f2b1e2873
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.22.0		b0e92a6e1ddf87376cfe9f50e60371a5b8394194
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.22.1		1f2260c5eac44954bb8153c9340aaae00dcf4ba1
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.22.2		791b0f8c2a7ba5b301335d62e74144460916ee0d
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.22.3		f04092bc0305eb6f65b245099f5d06f5d0e94d47
org.apache.camel.springboot	camel-azure-cosmosdb-starter	3.22.4		5f973286b7a7c0787f52dd52fe4273f34f078dbf
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.0.0		f7f1dc4457ca88055a3829d9a98890e07192cf91
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.0.0-M1		f1eff8b598a62ab2e37023a50e877e4529861705
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.0.0-M2		59a7b2ebc06a8d2646ff188552477dbb5b016c2d
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.0.0-M3		fa25b596855049720e1fa855db7fcab701723831
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.0.0-RC1		0e3f2e0a1e882cb076d26f58d2767cb54ae5dceb
