app.mustats.apolostudio	color-picker-compose-wasm-js	0.0.0		N/A
com.optimaize.anythingworks.exampleproject.server	anythingworks-exampleproject-server	0.5		5c646b4e1a61d7c225c55c212dc931b75363fa16
com.optimaize.anythingworks.exampleproject.server	anythingworks-exampleproject-server	1.1.0		1f6f14a6fc9a4bb3d79272a7664a45add825756b
com.ossez.usreio	rets-io	0		N/A
com.ossez.usreio	rets-io	0.0.1		N/A
com.seanshubin.code.structure	code-structure-tree	1.0.0		02b1cc7a9ff4bdcd287aec3979cf49bf9b7569cb
com.simtechdata	OTPURI	1.0.1		f338a2cd946ce3ceb32c95a3535f211e7040a4d7
com.simtechdata	OTPURI	1.0.2		38459fd439c4da589ce064712838f9d9409931e9
com.simtechdata	OTPURI	1.0.3		58bba0196beacb98496c6530efee698a296fe03e
com.simtechdata	OTPURI	1.0.4		38a41310e2c8aa2a8f325a3f57d0e9f1227ee502
com.simtechdata	OTPURI	1.0.5		8a6239722fd8e4f344d23f691095339694cf9019
com.simtechdata	OTPURI	1.0.6		084640068461593cca02e22610196f1d5e8a49f0
com.simtechdata	OTPURI	1.2.1		5b6f0ea4ed8167b99a9689ae47affdc240e555b6
com.simtechdata	OTPURI	1.3.0		810c9a6f1ecde9c8b7b6343154398e95d1398e34
com.simtechdata	OTPURI	1.4.0		a286e169267ebe9554e6d82b5e6a7d3e0c76c423
com.softwaremill.retry	retry_sjs1_2.13	0.3.3		ea9e015f39f79e72f28dd208568d97a8301dde59
com.softwaremill.retry	retry_sjs1_2.13	0.3.4		c9c3bd874fe6c9ffac35b62d33a71384282fe549
com.softwaremill.retry	retry_sjs1_2.13	0.3.5		f27e52008fee0fb5a304151aeb5e44e439376226
com.softwaremill.retry	retry_sjs1_2.13	0.3.6		624c043cd580ebca8d76e5c5916cb599b7f2e7e7
com.sun.portal.portletcontainer	container	1.1-m1		076124c0a6af65fdca977927be1b98b27f0284e8
com.sun.portal.portletcontainer	container	1.1-m2		51a12e0604492f8f5b6802ac4da6a48573bccc61
com.sun.portal.portletcontainer	container	1.1-m3		174d18e9c772982c8f54b20f1f11411ec912bab8
com.sun.portal.portletcontainer	container	1.1-m4		ecd83286c3b4feef2efb1c4a3e6eaa02f06bd046
com.tangzc	mybatis-flex-ext-core	1.10.1.053		b6189dbc0d7879b1b581bd2564dad5ffea3d105e
com.tangzc	mybatis-flex-ext-core	1.10.1.054		2d5d86acdb238fc8536798f2f4d6b97ad409114d
com.tangzc	mybatis-flex-ext-core	1.10.1.055		00d349ee1d0d76ee9cbca3aac21a2e066ce50b7d
com.tangzc	mybatis-flex-ext-core	1.10.2.100		574e4e0d60c46aa01acd7205aed3b6ac4ff71196
com.tangzc	mybatis-flex-ext-core	1.10.8.110		ba6389683c523d7acad67c4f1bb2d03f7cde21b2
com.tangzc	mybatis-flex-ext-core	1.10.8.120		afb2b8f4c0ee75d3165f0c0fdd95fb70a3315871
com.tangzc	mybatis-flex-ext-core	1.10.8.121		43aa3ea008f444fe2bfa78a55d12979ffff9cebb
com.tangzc	mybatis-flex-ext-core	1.10.8.122		76ca3760afa602f812f13867467adfd6766e0b8c
com.tangzc	mybatis-flex-ext-core	1.10.9.123		adb52fdc16026be27b26fb00d05d2496d1d03c95
com.tangzc	mybatis-flex-ext-core	1.10.9.124		54e9a9f5b3a3f2cff68b6ab9d948ce3de6d226ec
com.tangzc	mybatis-flex-ext-core	1.10.9.125		22ce7b6ffee896cc9afdf186ba30b0bbeb34b7aa
com.tangzc	mybatis-flex-ext-core	1.8.3.001-beta		c41e6ea2dee1f64bd21cd83210dea811e1f25c8e
com.tangzc	mybatis-flex-ext-core	1.8.3.002-beta		1cbc7be6a9ab525180206626b1b2b82f33715ccf
