co.luminositylabs.oss.ica	ica-web1	0.2.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-alpha.1	metadata	d3c4798ad1facfb10a3190a5a115a6eedafd7462
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-alpha.2		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-alpha.2	metadata	6fc510e95f27a3d10bb4f6501a37374159440885
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-alpha.3		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-alpha.3	metadata	d7aa2ade9084e8b63bb81768d551f576de3ed7da
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-beta.1		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-beta.1	metadata	47748ccdbc5fd2ea9d3cb8be7f546bb3faea9a8f
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-beta.2		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-beta.2	metadata	e77c46cb0cac221b557b368229f530e8a5df325e
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-beta.3		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-beta.3	metadata	71c2bd44acad109a97e9428c05288ebdea3b7d2d
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-beta.4		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-beta.4	metadata	bb9a89a39f701b32dcb1afdbebb20a0ad57186d4
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-beta.5		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-beta.5	metadata	445edd0f185046982b261fc8c54f23500bedd020
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-beta.6		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-beta.6	metadata	672180afbaf41d55daa730e10bce82e1f54b424b
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-beta.7		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-beta.7	metadata	ec32f668e4a7af834958fb18190b04f75a69257f
com.avito.android	test-report-jvm	2022.12		feca7789f870738f432c6aad6690e14401ef0c55
com.avito.android	test-report-jvm	2022.14		ec0b993a1b23a5469d6de04fab40f82ed2702901
com.avito.android	test-report-jvm	2023.15		ac5c43dab6619810ebb6a69fcaf80dd419d07a50
com.avito.android	test-report-jvm	2023.19		558ff733d68d8943a6da1e848e8bad8ee89c80c6
com.avito.android	test-report-jvm	2023.2		bf5f46a43a471f75d81ecf5b0d22c12fbc68660b
com.avito.android	test-report-jvm	2023.20		ba4b1182705893136ba105aa4ddda520deebfc04
com.avito.android	test-report-jvm	2023.22		ca31cd5e10388788ee78a26a348a3f605aadba6d
com.cerner.bunsen	bunsen-stu3	0.3.0		49e2d8fb8b06ae33f1d4f35f3dbc820f0c4aab56
com.cerner.bunsen	bunsen-stu3	0.3.1		bb8125688a6c83f0205bdd7f5cf39968c82a8bf6
com.cerner.bunsen	bunsen-stu3	0.4.0		754b73269dce57270379a15bc0da8a2f08630389
com.cerner.bunsen	bunsen-stu3	0.4.1		049f22b532f0d4529151b85f75735e18b8a95624
com.cerner.bunsen	bunsen-stu3	0.4.2		6a27e877da86f6b600550d722e514c13048621d0
com.cerner.bunsen	bunsen-stu3	0.4.3		10c6bb6b8392dd28e2452abfc580c0d519fd610d
com.cerner.bunsen	bunsen-stu3	0.4.4		d66d49b5178e58806eca45f376dfad1e40dd6e17
com.cerner.bunsen	bunsen-stu3	0.4.5		49ef048fdd43dae7c99aad04892c0adead84d429
com.cerner.bunsen	bunsen-stu3	0.4.6		f21cc093c425414d320df31a14beaf43fc86fb10
com.cerner.bunsen	bunsen-stu3	0.4.7		11e2fff2955c74e2bb09ec767d58adbd13c910dd
com.cerner.bunsen	bunsen-stu3	0.4.8		d533f669f22cccb39d44ff2dcb3d5512e1f52ee0
com.cerner.bunsen	bunsen-stu3	0.4.9		f437211a1289b80e8b443264fa9caac571e528f9
com.cerner.bunsen	bunsen-stu3	1.4.7		d794bd95f223ca717368335a7e4c4e65b84eb612
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0		3fcb9d8a3f091aedd165607142830ac59ffb7482
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-alpha1		746d3472a57fcf3e550b9170aea30a191648997e
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-alpha10		2c2bb245a5d005872ef91f296cd53af19cc9b705
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-alpha11		0a230f0d58f7ec4a676cc3475868cd9629ac8f41
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-alpha12		afb67d970fae6f88478a3ce148aac428b0d1c8be
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-alpha13		44b3ecc72a11bfdabdbc12c4178db37b67476a48
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-alpha14		1296ca5053587237fbdc76c1cbeb77dda97c17da
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-alpha2		c2f1efed2870a598e34d1c90ac32ba16cb9308aa
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-alpha3		b919d24b9370998a196240166c078a47716e870a
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-alpha9		f1e3b55046735c7f6d5bee3718f0ecfe64725901
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-beta1		d3fb059fa762209c2a950ffdec0731be561da311
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-beta2		10af58e50dcd72ba8c223cd6c22db91e3225d341
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-beta3		1aac4f7eb2f65b5ce703d08ce5356240ce4cb2c9
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-beta4		3e3baa8a0a95851ef49cf024f16b202328fcb272
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-beta5		5d457400a2d9b6e0afc597b71e26ae6ce53c1ada
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-beta6		c95e83fca09e92a853a88dd27183d6088f57ce5f
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-beta7		7825c8b3ea7199ef17fdfe9ff0ca04f0306da7cc
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-beta8		c12a827a0c265b0a2a63c92cfe64a410ed2655bd
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-rc1		7daaace3433aa0b0af1f017c5b45a58d38d03470
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-rc2		7aac9bb862b8fd175ff779791bff7d431961c04e
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-rc3		3684ea54a898da7c581c736b1b774bb2e32fffc1
com.didiglobal.booster	booster-android-gradle-v8_0	5.0.0-rc4		d6d7a30fdc06728211788f54db9dcf3d1e143bf9
com.didiglobal.booster	booster-android-gradle-v8_0	5.1.0		53271ada64cb03a9983f09f50cef610de72e7d6f
com.didiglobal.booster	booster-android-gradle-v8_0	5.1.0-alpha1		f6cdc9d8747b183515e68788dd5900950b131239
com.github.bytegriffin	get4j-cluster	1.0.0		a037aa18f40bc4634a2c7ebbdb52e47b283bf467
com.github.bytegriffin	get4j-cluster	1.0.0	all-in-one	2f3b8ed1ed38578899ab30c9b7fd69e27adfecc8
com.github.bytegriffin	get4j-cluster	1.0.1		6b52164331874e2c8aebaa8787a8f3c370635bce
com.github.bytegriffin	get4j-cluster	1.0.1	all-in-one	5bc793368d704046fa37823f0a9132ae677e30e9
com.github.bytegriffin	get4j-cluster	1.0.2		37a68ca911318754af8fc928e5935b20afc33346
com.github.bytegriffin	get4j-cluster	1.0.2	all-in-one	41a1de5db025d1ed7d76b1b703df1c4ca7262879
com.github.bytegriffin	get4j-cluster	1.0.3		b9132b780175795dd48063d43d1bc148f45176aa
com.github.bytegriffin	get4j-cluster	1.0.3	all-in-one	d766e4de06765f760ec59ccb1fa8199625f28fe0
com.github.bytegriffin	get4j-cluster	1.1.0		f2ea20ee154f06c59ca254385a70cdf530e1cba5
com.github.bytegriffin	get4j-cluster	1.1.0	all-in-one	e877b6f87240a3a7f9591d6e495c89c82dc39772
com.github.bytegriffin	get4j-cluster	1.2.0		74c8d564306f52f677102b2c9baa00795fcdf67b
com.github.bytegriffin	get4j-cluster	1.2.0	all-in-one	201212087ed2df9183477192708ee35394df69ba
com.github.dcais	aggra	1.0.1		56f2048f225d59d02d6c50ab381ce9d1dee44282
com.github.xinlc	lock4j-spring-boot-autoconfigure	1.0.0		0f7510df32e277081c0309af9e59526d309fa16f
com.github.xinlc	lock4j-spring-boot-autoconfigure	1.0.1		e5dd10a1e4d101697751a364757ea72bc2fbd6f6
com.github.xuerong	peony-demo-packet	1.0.0-RELEASE		32d92305fd6c6cd1e8f67b2d44bbcb39dcb65460
com.github.xuerong	peony-demo-packet	1.0.1-RELEASE		bddf7545e97a51aef877d3b62318d1f2638a941b
com.github.xuwei-k	zeroapply-all_2.13.0-M3	0.2.2		N/A
com.godmao	netty	0.0.1.RELEASE		02ef9967a8e0bdb9b5500805fef8265f20c60f72
com.godmao	netty	0.0.2.RELEASE		a0616bf68c8342da68a1e3cf496d8acd5cfe0012
com.godmao	netty	0.0.3.RELEASE		21f67b89f9298089be7141389a0ea81111d0964d
com.godmao	netty	0.0.4.RELEASE		f129167be4181fedbde6967690b96c7ec9179b88
com.godmao	netty	0.0.5.RELEASE		3f9da7eb71f74947ddd90946e393d35f45b4338e
com.godmao	netty	0.0.6.RELEASE		40022db306335a9dfbe0b5f9e2db3784e40b64eb
com.godmao	netty	0.0.7.RELEASE		f4390793dae318b75ec37208d795b43818130cbb
com.godmao	netty	0.1.1.Beta		fcef594cee45b19410c475947e0b6660e98d70ab
com.godmao	netty	0.1.1.RELEASE		c15317afc8c971cecc4f3c67540f1cbcda8d21ad
com.godmao	netty	0.1.10.RELEASE		e918611967072bb7e06f475a50d6485865a06bad
com.godmao	netty	0.1.11.RELEASE		0b819de211d599e1cb1ed68e91e2f579673d6309
com.godmao	netty	0.1.12.RELEASE		df889b6140c54366a5ed7f4b69988326914cc38e
com.godmao	netty	0.1.13.RELEASE		5e4a0f7fe321e34d561672ccfdda57862c585d25
com.godmao	netty	0.1.14.RELEASE		d29d95c248adecf23c29170a2134a719cf8e72a9
com.godmao	netty	0.1.15.RELEASE		f08de820ee1ff06e8755713fcf28f9357759b8d9
com.godmao	netty	0.1.16.RELEASE		6dc5b2c6abadb96f545470d9f19993cb3fd2058c
com.godmao	netty	0.1.17.RELEASE		2a8e89067337e9862e3b133cf3d1f0633523f5c6
com.godmao	netty	0.1.18.RELEASE		2c5ea420c7a5e840f2d6aa6cfa65cf2ccaf5cca2
com.godmao	netty	0.1.19.RELEASE		eb62ce838b6898cf2484045bedd763bcf450826e
com.godmao	netty	0.1.2.RELEASE		457c86f67ab261ea6b234acaf88768fca50e1eb4
com.godmao	netty	0.1.3.RELEASE		39c31f101a41081abaf081b122bc7b4126bb6b6b
com.godmao	netty	0.1.4.RELEASE		e0692a280ac9ce090dd31cd5b66da9223f51ea31
com.godmao	netty	0.1.5.RELEASE		bf65b9b51f7e1ae520117bfcbc50cfd9227f9af9
com.godmao	netty	0.1.6.RELEASE		22ed013859d1797446d2d0081a6be13e2015bf19
com.godmao	netty	0.1.7.RELEASE		a2a7751a1e78e4dc49bed3e0afc71f5f47b70e21
com.godmao	netty	0.1.8.RELEASE		13b15f239ae364e8316a12bea97e1b63eaa9f736
com.godmao	netty	0.1.9.RELEASE		8ceca1b2ba6ec2d1833def32ba90e3c3d81b22ab
com.godmao	netty	0.2.0.RELEASE		5ad8c7e8c8436eed9a58d5698a9349b3084c428c
com.godmao	netty	0.2.1.RELEASE		28d0c578ccb19e54f8f600748c29242f54746bfc
com.godmao	netty	0.2.2.RELEASE		b9cd11aae8381b07d6174f02907b5cc825a549d4
com.godmao	netty	0.2.3.RELEASE		d3583ad88791b22a2a3ce117f63ae878bbc45782
com.godmao	netty	0.2.4.RELEASE		6325951ec75f2d6c2f80a901fb600038e1968b1a
com.godmao	netty	0.2.5.RELEASE		b68c32dbd7339160b1b1fd4477a68695af663c15
com.godmao	netty	0.2.6.RELEASE		dee0d3300b9a22a644cba566754019ab9feff25e
com.godmao	netty	0.2.7.RELEASE		53b96d950851fc0875587403d66725b453be571c
com.godmao	netty	0.2.8.RELEASE		2e0f5d3a475bcff03b68d585695f54e5583da787
com.hovans.preference	library	0.1.0		N/A
com.hovans.preference	library	0.1.1		N/A
com.hovans.preference	library	0.2.0		N/A
com.hovans.preference	library	0.3.0		N/A
com.hovans.preference	library	0.4.0		N/A
com.hovans.preference	library	0.5.0		N/A
com.hovans.preference	library	0.6.0		N/A
com.ibasco.ucgdisplay	ucgd-native	0.1-alpha		a80995537fbe3f0f765de9d843ca6c03ccc68868
com.ibasco.ucgdisplay	ucgd-native	0.2-alpha		2435fd5bf4de475f4b29ea42e6278b858302d7d0
com.ibasco.ucgdisplay	ucgd-native	0.3-alpha		2481b9be348434fa6f470eb1686cf5e007981c27
com.ibasco.ucgdisplay	ucgd-native	0.4-alpha		467e870136cdd9b34506632047cd97bf9ca44615
com.karadzhov	scala-iso-language-i18n-it_native0.4_2.13	0.3.0		9743a8054e00488224cce14842e81a3a471dfc49
com.karadzhov	scala-iso-language-i18n-it_native0.4_2.13	0.3.1		c316239964d681eded3fc36fc344b5baa66760b6
com.karadzhov	scala-iso-language-i18n-it_native0.4_2.13	0.4.0		a4de749922f71143d9be5bddc1fa37b70b5def04
com.karadzhov	scala-iso-language-i18n-it_native0.4_2.13	0.5.0		8d7340d7de1c1e7fad9f9966703f39d5e8a7e8f1
com.leshazlewood.spin	dockerMachine-spin-plugin	0.1.0		e79506f6f6f2dfcc830cc126bc46df8c3cfcc8aa
com.leshazlewood.spin	dockerMachine-spin-plugin	0.2.0		02133fff24a70e3ba7933bd9f5d529db633c4893
com.leshazlewood.spin	dockerMachine-spin-plugin	0.3.0		26225c8782fa998af26c7de68a1113ec19b1a6d6
com.lightbend	scala-fortify_2.13.10	1.0.22		6e139ce1fe4e5eace8e9cb9b972b1b974747c4f8
com.lightbend	scala-fortify_2.13.10	1.0.23		1fe641bd0fc9a8a373b0aa5bd4a417875dd65e2a
com.lightbend	scala-fortify_2.13.10	1.0.23-M2		f5462c0a5f3f1d7bd2f10c58c04ce3d25177f315
com.lightbend	scala-fortify_2.13.10	1.0.23-M3		2d78e797887b26a8fbc9a979cef79ef1e84b30de
com.lightbend	scala-fortify_2.13.10	1.0.23-M4		89b0a29eb707f9657aa9f921d5b33e3a31686b8c
com.lightbend	scala-fortify_2.13.10	1.0.24		a82fd1cbf157074c0b5c1e0c23b5ee61afcbd21b
com.lightbend	scala-fortify_2.13.10	1.0.25		0fbc7b9e6a10da0b45c5b369274fb21a4d273d89
com.lightbend	scala-fortify_2.13.10	1.0.26		1fd75053e153b2467b5e6ada8efd997779fa6155
com.lightbend	scala-fortify_2.13.10	1.0.26-RC1		778fd6ebce26be89099525a791f76954df3dce8d
com.lightbend	scala-fortify_2.13.10	1.1.0		343aab7dff7e30c98175bd20077561b5a4ecd091
com.lightbend	scala-fortify_2.13.10	1.1.0-M1		bc914617f21507165ecd3d6f6866dc78bbd30c1c
com.lightbend	scala-fortify_2.13.10	1.1.0-M11		ce3a51dcace8f3b03293b3a873f65e3937d996c6
com.lightbend	scala-fortify_2.13.10	1.1.0-M12		520161207fee772741dfd0dcc1930f19d402856d
com.lightbend	scala-fortify_2.13.10	1.1.0-M13		a14ad24769e98c90767b9031ca482ce411129112
com.lightbend	scala-fortify_2.13.10	1.1.0-M2		9060db44b4ab8af8c922e6f51aa66e15601593f2
com.lightbend	scala-fortify_2.13.10	1.1.0-M3		95ea9c3c969de9228928961b9fe4eff7eff142d5
com.lightbend	scala-fortify_2.13.10	1.1.0-M4		7828c3289c80c9a94cb3a4533c8b035f3451e0ff
com.lightbend	scala-fortify_2.13.10	1.1.0-RC1		fdcb45aae5b6c40d76e1a4820c103f225ed979f4
com.lightbend	scala-fortify_2.13.10	1.1.0-RC2		9833dce297828014b6ce28b7a280ef40b593df4d
com.lightbend	scala-fortify_2.13.10	1.1.1		7c8624301f5105c08b9e6cd349f90b9f927207f5
com.lightbend	scala-fortify_2.13.10	1.1.1-RC1		31639522a699c1fb671f345c6f0ca07ba3e87105
com.lightbend	scala-fortify_2.13.10	1.1.1-RC2		745abf4a369908185f69df76c3678297e476b238
com.lightbend	scala-fortify_2.13.10	1.1.2		2e12143492668d65eaa48e520b3ac576833828ca
com.lightbend	scala-fortify_2.13.10	1.1.3		d5832ef6e803689e1cf2a0bb88d41f8f2f66e80e
com.lightbend	scala-fortify_2.13.10	1.1.4		ffb503e69b5aee1b2dbe59f69de7c301db660003
com.lightbend	scala-fortify_2.13.10	1.1.5		370edaf030f5481345c08586e08b37f477bba4fd
com.lightbend	scala-fortify_2.13.10	1.1.6-M1		bf05aac09ad60528363d9a8a5839c9277893799b
com.pongsky.kit	spring-boot-common	3.10.0-2.4.13		1d95022b554028cc56d7685290449a832fb9a495
com.pongsky.kit	spring-boot-common	3.10.1-2.4.13		3be7505250d03ef163e152e2e2cfd3a8a90f219f
com.pongsky.kit	spring-boot-common	3.11.0-2.4.13		381b6e6ecf2f8f58067957bd749d6b4da3e4dd7b
com.pongsky.kit	spring-boot-common	3.11.1-2.4.13		668e468b63174654c8c8dadbed5adefa9bba30cb
com.pongsky.kit	spring-boot-common	3.6.0-2.4.13		9eace9880c2d3e9b4648ab1d954d4bcc0323f171
com.pongsky.kit	spring-boot-common	3.7.0-2.4.13		7ebabfd7da4610d94b27fc14bb3f54fc0708f454
com.pongsky.kit	spring-boot-common	3.8.0-2.4.13		2b88de04ca708e4543d4e9e7d629b04862382de9
com.pongsky.kit	spring-boot-common	3.8.1-2.4.13		faa3be78511e0a67d547f5f5735b79c00ab0645c
com.pongsky.kit	spring-boot-common	3.8.2-2.4.13		b1d56a7cbab3f390bc594b3545cb849596802e60
com.pongsky.kit	spring-boot-common	3.8.3-2.4.13		ba6583d27066ae3a30239c2298c61cdeed45d3d9
com.pongsky.kit	spring-boot-common	3.8.4-2.4.13		285ed075cf5664379873fc277ca9148723d07e00
com.pongsky.kit	spring-boot-common	3.8.5-2.4.13		bd851d544672f7841dd04df2728559691e000e18
com.pongsky.kit	spring-boot-common	3.8.6-2.4.13		4bf54952eda746db965770571943553a48bd4631
com.pongsky.kit	spring-boot-common	3.9.0-2.4.13		0b86a8a04b2c3d4c58297bd675980cc9882f5a23
com.pongsky.kit	spring-boot-common	3.9.1-2.4.13		da7b30542c2f7ba9b9cea11881598e9c4b97ff04
com.sunxiaodou.android	mask-kcp-gradle-plugin	0.0.10		361cb5d944b718eaa31710a341666703b01887ce
com.sunxiaodou.android	mask-kcp-gradle-plugin	0.0.6		45ca309c6740abe448ddaa23370eb59f55338363
com.sunxiaodou.android	mask-kcp-gradle-plugin	0.0.7		28bb4ddb6bb0202c239b1ccfe4904fcd5e7682e0
com.sunxiaodou.android	mask-kcp-gradle-plugin	0.0.8		da3c6b5c19a0db6775a4c588e6df1413cd17d9e3
com.sunxiaodou.android	mask-kcp-gradle-plugin	0.0.9		026a9d41d2e415ec4bea160db96d13e95a546f9f
com.tangguangdi	max-common	1.0.1		f82f5387534fff792018a29aa77ea3bcb8505af2
com.tangguangdi	max-common	1.0.2		b0a227fb254b47cc1eb089c1af67092f95268144
com.tangguangdi	max-common	1.0.3		6788c243f98ca71a628a33d7140e491b3a654246
com.tangguangdi	max-common	1.0.4		a827071287f8cb0dcfcc5c47f0df11984be9b450
com.tangguangdi	max-common	1.0.5		c97896c7de84831ff5d2e561f851dfc3e922faf1
com.tangguangdi	max-common	1.0.6		74e84659c7c1a9883e1ff08cdd00c1087e4de839
com.tangguangdi	max-common	1.0.7		721f92b79aff1c7d0309e487023f9544d7b93b2f
com.tangguangdi	max-common	1.0.8		510518e9a7bc58166e0c768454ceed1a1d097b53
com.tangguangdi	max-common	1.0.9		07a65ab5e3da993fb2dd6941b30e5d35b883918e
com.tangguangdi	max-common	1.1.1		d97e19ea99c1322828ce61060fe3dbcd824511ed
com.tangguangdi	max-common	1.1.2		541e22cab2fee63a5fcb0cdfe14d743fcb1f1876
com.tangguangdi	max-common	2.0.0		97fd753e12d0a18bad0067f1a06112b81d4ee8eb
com.tangguangdi	max-common	2.0.1		bc2b354ccbbb8b58a938badf8dd1c21380d9a506
com.tangguangdi	max-common	2.0.2		aa56ec7deb3dab55475c874d1558c06dac0ee31e
com.tangguangdi	max-common	2.0.3		66b40ccb9dd773e692c67afc2bb672b47d0d9b1c
com.tangguangdi	max-common	2.1.1		987129c7954f74f92aa617ded8c9c0091a01f05e
de.jensklingenberg.ktorfit	ktorfit-converters-response-mingwx64	2.0.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-response-mingwx64	2.0.0-beta1		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-response-mingwx64	2.0.0-rc01		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-response-mingwx64	2.0.1		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-response-mingwx64	2.1.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-response-mingwx64	2.2.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-response-mingwx64	2.3.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-response-mingwx64	2.4.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-response-mingwx64	2.4.1		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-response-mingwx64	2.5.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-response-mingwx64	2.5.1		N/A
de.tototec	de.tobiasroeser.mill.aspectj-api_mill0.11.0-M7_2.13	0.4.0-30-88f5e6		fb130b4352b45d0b2a76515e815608af76f73d4f
de.tototec	de.tobiasroeser.mill.aspectj-api_mill0.11.0-M7_2.13	0.4.0-31-007ea1		7992eb90c2e8f12ac83cc069dd210b1921ba9000
de.tototec	de.tobiasroeser.mill.aspectj-api_mill0.11.0-M7_2.13	0.4.0-32-fd6af0		2de4a1ed8a623b34247c6eead4889d5975be4ff8
de.tototec	de.tobiasroeser.mill.aspectj-api_mill0.11.0-M7_2.13	0.4.0-33-f9d6c1		52cdd2cb0bef5fb55c62768d43ddc1dc67dc1bc6
de.tototec	de.tobiasroeser.mill.aspectj-api_mill0.11.0-M7_2.13	0.4.0-34-96fd02		7b101cf445425d8fdbef2c8485a61af360dafbdd
de.tototec	de.tobiasroeser.mill.aspectj-api_mill0.11.0-M7_2.13	0.4.0-35-015492		585e8d6287756dba28743f6cbe121c3f8af09758
dev.elide	elide-uuid-core-linuxx64	2.0.0-Beta3-0.20.0-rc1		N/A
dev.soundness	anticipation-text	0.1.0		6854bc5c5da347483cf8ac79468e5e26856bb54f
dev.soundness	anticipation-text	0.11.0		d4ff9278c61a755f6ec605d1f8829fb0826eb89b
dev.soundness	anticipation-text	0.12.0		d4ff9278c61a755f6ec605d1f8829fb0826eb89b
dev.soundness	anticipation-text	0.13.0		7f8e90b6ece55db4a1417801f09b21d1d9a9133d
dev.soundness	anticipation-text	0.14.0		7f8e90b6ece55db4a1417801f09b21d1d9a9133d
dev.soundness	anticipation-text	0.15.0		7f8e90b6ece55db4a1417801f09b21d1d9a9133d
