ai.swim	swim-dynamic-api	3.10.0		ad9e2fc1120bb49e05be3d652f2c77b80addb33e
at.asitplus.wallet	vck-openid-iosarm64	5.3.2		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.3.2	metadata	2079cb3009e26d0e1b74f76f891418b0857ac176
at.asitplus.wallet	vck-openid-iosarm64	5.3.3		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.3.3	metadata	e27c7b7aa3889b0c0d4ecb3182ffd0e4539916f6
at.asitplus.wallet	vck-openid-iosarm64	5.4.0		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.4.0	metadata	d9f8b97237093bdb204f37845903046a9ab59ea7
at.asitplus.wallet	vck-openid-iosarm64	5.4.1		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.4.1	metadata	db8334a9306e4c94c14189fd532d124f3f4e90d4
at.asitplus.wallet	vck-openid-iosarm64	5.4.2		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.4.2	metadata	eeaf5e00c77e58b06b5466ce04a50ad748229914
at.asitplus.wallet	vck-openid-iosarm64	5.4.3		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.4.3	metadata	d7817caf3fff41a92f42649e0a17eaf248ff9460
at.asitplus.wallet	vck-openid-iosarm64	5.4.4		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.4.4	metadata	a7b1161f95c3e13705ef937d750f40af34221214
at.asitplus.wallet	vck-openid-iosarm64	5.5.0		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.5.0	metadata	a7467d9f742531c146952fecaf4075a0d719217c
at.asitplus.wallet	vck-openid-iosarm64	5.5.1		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.5.1	metadata	070cbb3a08cc7768f9fcbc6f3b23d80e02f88de9
at.asitplus.wallet	vck-openid-iosarm64	5.5.2		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.5.2	metadata	7a6a5eca20a009becab7332a7eec1d1b94b674bc
at.asitplus.wallet	vck-openid-iosarm64	5.5.3		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.5.3	metadata	ff1dd2955b0ddd81ba2f12a78bc4f5781d9030e1
at.asitplus.wallet	vck-openid-iosarm64	5.5.4	metadata	b1640009dadd84f5a08eb9e8953277dfc3feaf5d
at.asitplus.wallet	vck-openid-iosarm64	5.6.0	metadata	3d74ce3cab8912b0c04fb6ad478496c0caaa5a4d
at.asitplus.wallet	vck-openid-iosarm64	5.6.1	metadata	532326713c092da38a506c5bde30b9f37c501d06
at.asitplus.wallet	vck-openid-iosarm64	5.6.2	metadata	e3213b5e2d1320737a7908208573c34b687552df
city.smartb.im	role-domain	0.1.0		4e7607e7f2c28689d47cfc0ae384b6c437d54d61
city.smartb.im	role-domain	0.12.0		77239ad146f9c5bc1aeb06cab3c60b2f9df208e8
city.smartb.im	role-domain	0.14.0		5d4a55235650461c9abb066c00cca769d2f37518
city.smartb.im	role-domain	0.14.1		3e7bcfb1e35ff928c5c9d57412c0aeff3eafbfd7
city.smartb.im	role-domain	0.14.2		19de3b2cf05163dc18b151b6d5043127b35fda0f
city.smartb.im	role-domain	0.2.0		b07dc6d9a8eebafdd4f1d8c2dc2997f8fa47dc41
city.smartb.im	role-domain	0.4.0		aaf5b2620cea4b214ef280a22a8cd4e4769a0e51
city.smartb.im	role-domain	0.4.1		e441366fc0fb7f4e4a3380055416905f2f852be4
city.smartb.im	role-domain	0.4.2		f2008123605d42d31487b3ed62c6fc99dff38e1b
city.smartb.im	role-domain	0.4.3		86cdb5480c8ea36794808e3ab835a81e7cae5300
city.smartb.im	role-domain	0.5.0		dea1d61dcaf8c51d2190614e341c00bf488bc9da
cn.com.tltim.pigx	pigx-common-sentinel	5.0.0-20240820		9305f463f51ee9c3edb846f989fdef8d3e94aaad
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.0.0		57d4c6feff28eaf2255713305405fb06f1b27d30
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.0.10		bdd9a81b7228e6205fd441c3c06ea314d2cdf490
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.0.20		dd482ede8bb8dd16d66d8d609693aa9ce6260338
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.0.30		997693358d555e97fad125d0906b3b7f953f33d3
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.0.40		1ffeff36a2bbe5949bcd34cf270b8923ec3b9129
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.0.50		9b1161149283b5194561745d2b09d6814c4308be
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.0.60		cb2b3748970a6b726610bc34cf82c4b71a78a52d
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.0.RC1		3192ec4eb67e6d4139b144021f1d844ea9a81600
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.1.0		0f2764f4d20b24ea1c1aca9662fda95c850ddfd0
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.1.1		f50b7c69048558bf52bae926ce1ed8a3fbb95420
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.1.2		8ffca3816dc6c1bee252d930d47a83750ef5c438
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.1.3		8f18cae011b9e512a70bc604e766f42759840043
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.2.0		18a0c7dec1c48d6ee150297a81cb8087202ceeeb
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.2.1		482d61e432d3f637608891f4d58a1395f96cf53f
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.2.2		d8a9a5ed80e15542a5b7957b82d64bfce454047e
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.2.3		e6a7145a757ee5f0cea7b1d6832fa2893a240675
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.2.4		f6956ce5c29b59bcfc4d65a62b2ccc8c8afb5c7d
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.2.5		8de8929cd63cefb4a104ef12989f267ed71aac2c
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.2.6		79738603ce3a76195310a9eee70985dde7d0e2c8
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.3.0		bdcd90567471bc6796057ae2d399cba6e193b755
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.3.1		5f26774cd2437bb5821a4de74e6998a21320cf87
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.3.2		52936e3c44540d58f4f74a605d130199a65430b9
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.3.3		35741a4b4b60268b6feb1183bde4f072ee21c4bb
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.3.4		19803b40be29c7137a794a8623daa9e474b4a735
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.3.5		04a673938fb85cc77096c363a4c206d7f2111648
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.3.6		e0b80300edcad43efddec0594e7b595add66ebbf
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.4.0		ec1d3329d4142c0bfa847507f6446d08be2041cf
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.4.1		77fa732263736583da5f0dd822d0fcfc05a6e189
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.4.2		6aad909988f64760bb14b724f011f10c540a4f6b
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.4.3		ee8395b32e396335eb792da9498036a747b705c6
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.4.4		8a8a152ad4d8e02352d0baa50b42a46866c3208b
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.4.5		5647106f506deaa36238112debaa294015926c46
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.5.0		6782b8c994ba44cfce495f500385cf69a9d6de19
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.5.1		92e6d84518ad7f92ae54c9684fb7c5679c8a5ef6
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.5.2		97ae8bb67416d5ca456c1a0e99ee1b79f409ee5b
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.5.3		32ab1b95bfb49bef0cfd2ce605daccc9f707499f
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.6.0		e1963254a6285dcdcd7d83bf1f16ef783b4328aa
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.6.1		a67bee49556fcc015eedf480996fd90873d91e61
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.7.0		4e26b0fb0ceaab0525a457c7d02b368614976fdf
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.7.1		db1cc4906f64df7fedaedde7a5db0d53be615945
cn.herodotus.engine	protect-web-spring-boot-starter	2.7.7.2		b47abe28d5a191621f8f13964a8b1644164980a1
cn.herodotus.engine	protect-web-spring-boot-starter	3.0.0-M1		e08090b1e55b9e910ccddd6321ebb4fdebd7793e
cn.herodotus.engine	protect-web-spring-boot-starter	3.0.0-M2		3feb76c75389424c9e0ebd98993df398741dc470
cn.herodotus.engine	protect-web-spring-boot-starter	3.0.0-M3		51cf0b2e7b85f8ede969f2280f9b9b580e246761
cn.herodotus.engine	protect-web-spring-boot-starter	3.0.0-M5		7896c9c531eb05f32aa55271b3607aa2474b0f04
cn.herodotus.engine	protect-web-spring-boot-starter	3.0.0-RC1		9831d9c38d79b0fa4d35a53c85039ca75cc70a82
cn.herodotus.engine	protect-web-spring-boot-starter	3.0.0-RC2		15d0042d1794ff7f43112a2fcc97d8f58d55f729
cn.herodotus.engine	protect-web-spring-boot-starter	3.0.0-RC3		aefe14e9635397e2030c37f541ab1aa98cf24d98
cn.herodotus.engine	protect-web-spring-boot-starter	3.0.0.0		1509372aa2d7533bc5233005f11ecff67b845703
cn.monitor4all	log-record-springboot3-starter	1.6.0		0a7c93be5a0429780193e1ec7c9cba79c2447c47
cn.monitor4all	log-record-springboot3-starter	1.6.1		2a3262da3e17c821c65c30516295b0b05df0d13e
cn.monitor4all	log-record-springboot3-starter	1.6.2		88c04e17c072a8f163c1f1efe2b2c682b1095041
cn.monitor4all	log-record-springboot3-starter	1.6.3		68120d838352971a51b2ce3293674b20ce9c53d7
cn.monitor4all	log-record-springboot3-starter	1.7.0		91564bad2bfff68e07286aa9cdcdf339e1b7ab1f
co.abit.api.core	core-web	1.0.1		107f8c8e7e8d3177c621cd64c91dfc10dfe9a8a9
co.abit.api.core	core-web	1.0.2		4c0f52b97251c035f8d6e197f91ec35ec1540537
co.abit.api.core	core-web	1.0.3		f070acbbe80f6b986fb853b73c1553da109832fd
co.abit.api.core	core-web	1.0.4		2c3c99f33a7928c97066610744594d56db5cc065
co.abit.api.core	core-web	1.0.5		2aeb89de718f30f5014944a5cf5dd41165507f42
co.abit.api.core	core-web	1.1.1		bb8ad093b9f08b824bbfe634f82cce53f07a8085
co.abit.api.core	core-web	1.1.2		c1d4a50d0b9cf1f243bd6938b665e10652eac6e6
co.abit.api.core	core-web	1.1.3		126a9d0b456a80c088dc87938883fbca14eeebf4
co.abit.api.core	core-web	1.1.5		c3a1d0bcd290564973a5a55a8d55acd17ab52563
com.alibaba.cloud	spring-cloud-starter-alicloud-schedulerx	1.5.0.RELEASE		56806690b7daa44c450cb201f0d5c08a41af4549
com.alibaba.cloud	spring-cloud-starter-alicloud-schedulerx	1.5.1.RELEASE		ac9a81cb274af8ad3a3ddb81abbba5482a7cbf73
com.alibaba.cloud	spring-cloud-starter-alicloud-schedulerx	2.0.0.RELEASE		e629437ac3bffe6e4506a62319e9f9769e131d2e
com.alibaba.cloud	spring-cloud-starter-alicloud-schedulerx	2.0.1.RELEASE		190d05e532a44dc0f950552dea42dcd343cb873a
com.alibaba.cloud	spring-cloud-starter-alicloud-schedulerx	2.1.0.RELEASE		4440106cbc5ba85e30f429a6ea48c0dd42d5d15d
com.alibaba.cloud	spring-cloud-starter-alicloud-schedulerx	2.1.1.RELEASE		be3fe7ffaa61cc35f5906c2a2d5241b9caa29224
com.alibaba.cloud	spring-cloud-starter-alicloud-schedulerx	2.2.0.RELEASE		078a7c52eba24c123c850bcfc84cd6eaefe126f6
com.alibaba.rocketmq	rocketmq-tools	3.0.10		e98d78fd7d88b44f7a8cd83766fa5ae26c4d5da3
com.alibaba.rocketmq	rocketmq-tools	3.0.10.1		25166a500e02c6f6de31533a6da56b871d8e39d0
com.alibaba.rocketmq	rocketmq-tools	3.0.4-open		e9916c70d8ad1dd17eb2e02480b01c01430c4f9a
com.alibaba.rocketmq	rocketmq-tools	3.0.9		c10f919f58b493ec2a2b25fdc88153981733e8d2
com.alibaba.rocketmq	rocketmq-tools	3.1.1		c7e1c29155eb3c4ad38cc6b2af278b20b72a84e9
com.alibaba.rocketmq	rocketmq-tools	3.1.2		4d26bcc988b21e5cd537eef2480f8fd34a940354
com.alibaba.rocketmq	rocketmq-tools	3.1.3		f743660ba8a6743283ce728536e14b7753dbb197
com.alibaba.rocketmq	rocketmq-tools	3.1.4		ad5c16d88872823169ff02f3461bfcc7fdbe22ba
com.alibaba.rocketmq	rocketmq-tools	3.1.5		59b800dfa1236f3e559011c0899aafb9afc92bf1
com.alibaba.rocketmq	rocketmq-tools	3.1.8		e3cbf9d6f7eec7dcb027f852cad35856572bc2f0
com.alibaba.rocketmq	rocketmq-tools	3.1.9		b581da9f53327ed63b2b26c74f9a2d051cc88db2
com.alibaba.rocketmq	rocketmq-tools	3.2.1		4ca963f42e16b1993b35071a464e4d705d1dfe9c
com.alibaba.rocketmq	rocketmq-tools	3.2.3		f603bdc0219f86fd651ea93ce22602be56c06bf8
com.alibaba.rocketmq	rocketmq-tools	3.2.5		7fbb62fc82a037bc1009dc153c8420946908d922
com.alibaba.rocketmq	rocketmq-tools	3.2.6		f2677c8dbc3621e2b169c3f92ede15829cd6ac20
com.composum.sling.platform	composum-sling-platform-testing-testutil	1.0.0		21477b7e778add97224223b059a35e8ecfcebd97
com.composum.sling.platform	composum-sling-platform-testing-testutil	1.0.1		823fd49d2d5d9babcffcd9c6f1b014ad380f6fc7
com.daml	kvutils-tests-lib_2.12	1.12.0		dd00e7824d280196098c8c88ad02c25f51ea1e44
com.daml	kvutils-tests-lib_2.12	1.12.0-snapshot.20210323.6567.0.90c5ce70		950761e4966c9986a89b1161b07f607a1dcb010f
com.daml	kvutils-tests-lib_2.12	1.12.0-snapshot.20210330.6619.0.007b8674		dd00e7824d280196098c8c88ad02c25f51ea1e44
com.daml	kvutils-tests-lib_2.12	1.12.0-snapshot.20210330.6622.0.eef158d6		dd00e7824d280196098c8c88ad02c25f51ea1e44
com.daml	kvutils-tests-lib_2.12	1.12.0-snapshot.20210331.6626.0.29a68134		dd00e7824d280196098c8c88ad02c25f51ea1e44
com.daml	kvutils-tests-lib_2.12	1.12.0-snapshot.20210331.6634.0.b98a3881		dd00e7824d280196098c8c88ad02c25f51ea1e44
com.daml	kvutils-tests-lib_2.12	1.12.0-snapshot.20210331.6640.0.4b807899		dd00e7824d280196098c8c88ad02c25f51ea1e44
com.daml	kvutils-tests-lib_2.12	1.12.0-snapshot.20210406.6646.0.631db446		dd00e7824d280196098c8c88ad02c25f51ea1e44
com.daml	kvutils-tests-lib_2.12	1.13.0		f35d4b5de88e04e8176dab4849828fcb95b0abbd
com.daml	kvutils-tests-lib_2.12	1.13.0-snapshot.20210413.6706.0.2dc09ba2		dd00e7824d280196098c8c88ad02c25f51ea1e44
com.daml	kvutils-tests-lib_2.12	1.13.0-snapshot.20210419.6730.0.8c3a8c04		dd00e7824d280196098c8c88ad02c25f51ea1e44
com.daml	kvutils-tests-lib_2.12	1.13.0-snapshot.20210426.6770.0.ca66061b		419ed93c914a99ba7ce2696e6af71f728bfd0769
com.daml	kvutils-tests-lib_2.12	1.13.0-snapshot.20210503.6809.0.ca012c3b		574905db1d1de77b5d647ce38467deef1e448524
com.daml	kvutils-tests-lib_2.12	1.13.0-snapshot.20210504.6833.0.9ae787d0		f35d4b5de88e04e8176dab4849828fcb95b0abbd
com.daml	kvutils-tests-lib_2.12	1.13.1		f35d4b5de88e04e8176dab4849828fcb95b0abbd
com.daml	kvutils-tests-lib_2.12	1.13.1-snapshot.20210512.6834.0.5f532380		f35d4b5de88e04e8176dab4849828fcb95b0abbd
com.daml	kvutils-tests-lib_2.12	1.13.1-snapshot.20210512.6834.1.5f532380		f35d4b5de88e04e8176dab4849828fcb95b0abbd
com.daml	kvutils-tests-lib_2.12	1.14.0		f3c00dd16a2c8909c996759e45cd4760f347cc97
com.daml	kvutils-tests-lib_2.12	1.14.0-snapshot.20210511.6892.0.ca9e89b3		f8a4629dc2207d58fc5d5a553b82d8009ece0279
com.daml	kvutils-tests-lib_2.12	1.14.0-snapshot.20210518.6953.0.a6c7b86a		f8a4629dc2207d58fc5d5a553b82d8009ece0279
com.daml	kvutils-tests-lib_2.12	1.14.0-snapshot.20210526.7024.0.aedb9a82		f8a4629dc2207d58fc5d5a553b82d8009ece0279
com.daml	kvutils-tests-lib_2.12	1.14.0-snapshot.20210601.7081.0.7d716e6d		9f0ca7ce5e27dadcaf81fd3b09c8ab406234dc06
com.daml	kvutils-tests-lib_2.12	1.14.0-snapshot.20210602.7086.0.f36f556b		9f0ca7ce5e27dadcaf81fd3b09c8ab406234dc06
com.daml	kvutils-tests-lib_2.12	1.14.0-snapshot.20210608.7123.0.3cb8d5c2		f3c00dd16a2c8909c996759e45cd4760f347cc97
com.daml	kvutils-tests-lib_2.12	1.14.0-snapshot.20210615.7124.0.d1b54ff0		f3c00dd16a2c8909c996759e45cd4760f347cc97
com.daml	kvutils-tests-lib_2.12	1.14.0-snapshot.20210615.7169.0.adeba206		867e73b2f3677a58c33cf3c55e3c425d84131b54
com.daml	kvutils-tests-lib_2.12	1.14.1		f3c00dd16a2c8909c996759e45cd4760f347cc97
com.daml	kvutils-tests-lib_2.12	1.14.1-snapshot.20210706.7133.0.8ec16e94		f3c00dd16a2c8909c996759e45cd4760f347cc97
com.daml	kvutils-tests-lib_2.12	1.14.2		f3c00dd16a2c8909c996759e45cd4760f347cc97
com.daml	kvutils-tests-lib_2.12	1.14.2-snapshot.20210708.7135.0.aa297840		f3c00dd16a2c8909c996759e45cd4760f347cc97
com.daml	kvutils-tests-lib_2.12	1.15.0		62a513fa32c9596508f9181d84b897475acdf300
com.daml	kvutils-tests-lib_2.12	1.15.0-snapshot.20210615.7169.0.adeba206		867e73b2f3677a58c33cf3c55e3c425d84131b54
com.daml	kvutils-tests-lib_2.12	1.15.0-snapshot.20210623.7217.0.5b73813d		867e73b2f3677a58c33cf3c55e3c425d84131b54
com.daml	kvutils-tests-lib_2.12	1.15.0-snapshot.20210630.7261.0.84e1f3a7		62a513fa32c9596508f9181d84b897475acdf300
com.daml	kvutils-tests-lib_2.12	1.15.0-snapshot.20210705.7286.0.62aabcc4		62a513fa32c9596508f9181d84b897475acdf300
com.daml	kvutils-tests-lib_2.12	1.16.0		7c72724c455b9a709c35c4325c2dcace606cc378
com.daml	kvutils-tests-lib_2.12	1.16.0-snapshot.20210713.7343.0.1f35db17		0f6b7353b0f8d8bff0a4b18cd01e30d666b5807d
com.daml	kvutils-tests-lib_2.12	1.16.0-snapshot.20210720.7404.0.b7cf42d1		4df7dddd4bfc01f4bcdef73f44c746eaf7382383
com.daml	kvutils-tests-lib_2.12	1.16.0-snapshot.20210727.7476.0.b5e9d861		7b1943264515337b40055a272e697ea4f1a70e3e
com.daml	kvutils-tests-lib_2.12	1.16.0-snapshot.20210802.7499.0.5157ad6d		7c72724c455b9a709c35c4325c2dcace606cc378
com.daml	kvutils-tests-lib_2.12	1.16.0-snapshot.20210805.7501.0.48050ad7		7c72724c455b9a709c35c4325c2dcace606cc378
com.daml	kvutils-tests-lib_2.12	1.17.0		0d537f29a151e5c1dbebc95c3ffac4f00f8cec6a
com.daml	kvutils-tests-lib_2.12	1.17.0-snapshot.20210811.7565.0.f1a55aa4		2febe6297c023931d93a42101195224af548ffe1
com.daml	kvutils-tests-lib_2.12	1.17.0-snapshot.20210817.7604.0.0c187853		2febe6297c023931d93a42101195224af548ffe1
com.daml	kvutils-tests-lib_2.12	1.17.0-snapshot.20210824.7647.0.640fb683		2febe6297c023931d93a42101195224af548ffe1
com.daml	kvutils-tests-lib_2.12	1.17.0-snapshot.20210831.7702.0.f058c2f1		fbace5a4c5816a2bea5db8b7e2b4fdf79dadcb0c
com.daml	kvutils-tests-lib_2.12	1.17.0-snapshot.20210907.7759.0.35a853fd		0d537f29a151e5c1dbebc95c3ffac4f00f8cec6a
com.daml	kvutils-tests-lib_2.12	1.17.0-snapshot.20210910.7786.0.976ca400		0d537f29a151e5c1dbebc95c3ffac4f00f8cec6a
com.daml	kvutils-tests-lib_2.12	1.17.0-snapshot.20210915.7841.0.b4328b3d		0d537f29a151e5c1dbebc95c3ffac4f00f8cec6a
com.daml	kvutils-tests-lib_2.12	1.17.0-snapshot.20210922.7849.0.49a75801		0d537f29a151e5c1dbebc95c3ffac4f00f8cec6a
com.daml	kvutils-tests-lib_2.12	1.17.1		0d537f29a151e5c1dbebc95c3ffac4f00f8cec6a
com.daml	kvutils-tests-lib_2.12	1.17.1-snapshot.20211006.7852.0.fbc4bc00		0d537f29a151e5c1dbebc95c3ffac4f00f8cec6a
com.daml	kvutils-tests-lib_2.12	1.17.1-snapshot.20211006.7853.0.e05be365		0d537f29a151e5c1dbebc95c3ffac4f00f8cec6a
com.daml	kvutils-tests-lib_2.12	1.17.2-snapshot.20211124.7857.0.b33b94b8		0d537f29a151e5c1dbebc95c3ffac4f00f8cec6a
com.daml	kvutils-tests-lib_2.12	1.18.0		45f34af624e27dd1cc6fb755ef9bc868c80ab8d4
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20210921.7889.0.1b473c2b		1b0f44328e57569abe2e7b3dfd6f99e36fcdabcc
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20210921.7889.1.1b473c2b		1b0f44328e57569abe2e7b3dfd6f99e36fcdabcc
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20210922.7908.0.ced4a272		1b0f44328e57569abe2e7b3dfd6f99e36fcdabcc
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20210928.7948.0.b4d00317		76521681efd761ebce15b3ac77e917984aa825e4
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20211006.8003.0.cfcdc13c		95d8ca74fb2a16ca5bbc469fe7e1afdbee709ba9
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20211013.8071.0.514e8b50		7e7260701982dccc3ab8b3869a075896e3b176c8
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20211019.8113.0.8ff347d8		09ec8783ab310c198a8741436169b6e04ea65903
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20211026.8179.0.e474b2d1		6516814a7dd79ddc662f2c19a078fcbd023ed4a8
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20211102.8257.0.7391a3cd		6516814a7dd79ddc662f2c19a078fcbd023ed4a8
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20211109.8328.0.92181161		8501b0c0b891476c3a68ff231e7e03741a1101f9
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20211110.8337.0.c5a1f0bb		8501b0c0b891476c3a68ff231e7e03741a1101f9
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20211111.8349.0.d938a44c		fbc077f56b6ea05abbb71aa4e673bd1058d69fbd
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20211117.8399.0.a05a40ae		fbc077f56b6ea05abbb71aa4e673bd1058d69fbd
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20211124.8419.0.39d9afcd		45f34af624e27dd1cc6fb755ef9bc868c80ab8d4
com.daml	kvutils-tests-lib_2.12	1.18.0-snapshot.20211206.8423.0.2c945fcb		45f34af624e27dd1cc6fb755ef9bc868c80ab8d4
com.daml	kvutils-tests-lib_2.12	1.18.1		45f34af624e27dd1cc6fb755ef9bc868c80ab8d4
com.daml	kvutils-tests-lib_2.12	1.18.1-snapshot.20220106.8429.0.ea344666		45f34af624e27dd1cc6fb755ef9bc868c80ab8d4
com.daml	kvutils-tests-lib_2.12	1.18.1-snapshot.20220110.8433.0.e8e25a11		45f34af624e27dd1cc6fb755ef9bc868c80ab8d4
com.daml	kvutils-tests-lib_2.12	1.18.1-snapshot.20220113.8434.0.1724373f		45f34af624e27dd1cc6fb755ef9bc868c80ab8d4
com.daml	kvutils-tests-lib_2.12	1.18.1-snapshot.20220113.8434.1.1724373f		45f34af624e27dd1cc6fb755ef9bc868c80ab8d4
com.daml	kvutils-tests-lib_2.12	1.18.2		45f34af624e27dd1cc6fb755ef9bc868c80ab8d4
com.daml	kvutils-tests-lib_2.12	1.18.2-snapshot.20220310.8437.1.5221a5d1		45f34af624e27dd1cc6fb755ef9bc868c80ab8d4
com.daml	kvutils-tests-lib_2.12	1.18.2-snapshot.20220324.8440.0.5cfb1a21		45f34af624e27dd1cc6fb755ef9bc868c80ab8d4
com.daml	kvutils-tests-lib_2.12	1.18.3		45f34af624e27dd1cc6fb755ef9bc868c80ab8d4
com.daml	kvutils-tests-lib_2.12	1.18.3-snapshot.20220620.8442.0.c7424302		45f34af624e27dd1cc6fb755ef9bc868c80ab8d4
com.gitee.fubluesky.kernel	auth-sdk	1.0.0		f7f3190ce0c808998d49d351cc63e5d3101f7461
com.gitee.fubluesky.kernel	auth-sdk	1.1.0		fdae7a46b40ddb6cf5b1960ae1ec34566dae2d6b
com.gitee.fubluesky.kernel	auth-sdk	1.2.0		e91558f7ab41f3024b73c600be477b95b941c051
com.gitee.fubluesky.kernel	auth-sdk	1.2.1		24cc3b6c28e6fdfcfc2bea3dab9a139cfc515eea
