app.slyworks	navigator	1.0.0		N/A
cn.fox-tech	fox-edge-server-device-engine	1.1.1		3c177ef881ba1bc65d0afb14b7194892669b8c8c
cn.fox-tech	fox-edge-server-device-engine	1.1.2		dc970232526cf95c28b2ededf695b912fc89bff1
cn.fox-tech	fox-edge-server-device-engine	1.1.3		d55f320f670829b84ea55359781450a63a9d7715
cn.fox-tech	fox-edge-server-device-engine	1.1.4		d69ad99fd60779e0ef3eb42b62daa53f2a5d170d
cn.fox-tech	fox-edge-server-device-engine	1.1.5		756a0af30c32d43275333c03f84aae3abb5756ed
cn.fox-tech	fox-edge-server-device-engine	1.1.6		bcdd049fad021c4f84c90c40836215a5eac3f0dd
cn.fox-tech	fox-edge-server-device-engine	1.1.7		57abedbf8f85d19c7cbcd23d5c2ce444e2ad446a
cn.fox-tech	fox-edge-server-device-engine	1.1.8		3c53359d15a81ee338b47950a55dc60987a5d786
cn.fox-tech	fox-edge-server-device-engine	1.1.9		ba75d38422aa38165d10f6bd9f29432c6dedc00d
cn.fox-tech	fox-edge-server-device-engine	1.2.0		76ca15ba8071fbf0b89ea3c8d84bcb2c4b6608ab
cn.fox-tech	fox-edge-server-device-engine	1.2.1		83401be7398607ee2dda23922a7a708cdfb11030
cn.fox-tech	fox-edge-server-device-engine	1.2.3		4ea261cded1477b7c9b7a14ee40ca68d47c49463
cn.rtast.rob	ronebot-onebot-v12-linuxx64	3.0.3		N/A
cn.sexycode	myjpa-dependencies	0.0.2		N/A
cn.sexycode	myjpa-dependencies	0.0.4		N/A
cn.tworice	tworice-cryption	1.2.3-RELEASE		5a14475ac53411abf7d8fdcc9437bf45f8d73476
cn.tworice	tworice-cryption	1.3.0-RC1		bf22ff264098ddde7bc69a4a6bfae81f2cd08ea9
cn.tworice	tworice-cryption	1.4.0-RC1		625ae9065fb636efa7701c466935b52013ac19f1
cn.tworice	tworice-cryption	1.4.0-RELEASE		04da767da321d8c64d7feedd11922f6a75202ed6
cn.tworice	tworice-cryption	1.4.1		4c33f127773ca3c39fb933124306b89f3f684427
cn.tworice	tworice-cryption	1.4.2		d251b76aae3b7cf7b4bf58c0c036c89238aac494
cn.tworice	tworice-cryption	1.4.3		dad2e3aed5dd76fe2f94038018f9bcc6ffa042a8
com.aliyun	ddospro20170725	1.0.0		7c43dbe4e17e922bee272326b09ece5a847e1028
com.benasher44	uuid-watchosx64	0.4.1		N/A
com.benasher44	uuid-watchosx64	0.4.1	metadata	250493ac9931d0002fbec3d9206ee186f8fc7f7a
com.benasher44	uuid-watchosx64	0.5.0		N/A
com.benasher44	uuid-watchosx64	0.5.0	metadata	7c75713830beb2b2f6a816ad2ce2793db4e47486
com.benasher44	uuid-watchosx64	0.6.0		N/A
com.benasher44	uuid-watchosx64	0.6.0	metadata	f0a6812e919f752795682f644c9d917f096573a4
com.benasher44	uuid-watchosx64	0.7.0		N/A
com.benasher44	uuid-watchosx64	0.7.0	metadata	061603a3e363bc3cfe8abd25bc278f7da33069ac
com.benasher44	uuid-watchosx64	0.7.1		N/A
com.benasher44	uuid-watchosx64	0.7.1	metadata	79a6cc96ce23e9c25548c8d82ba141ee021663bd
com.benasher44	uuid-watchosx64	0.8.0		N/A
com.benasher44	uuid-watchosx64	0.8.0	metadata	e2405dbe62f3c860ec3f9634ea0ed13348c3fa40
com.benasher44	uuid-watchosx64	0.8.1		N/A
com.benasher44	uuid-watchosx64	0.8.1	metadata	77e199d0b6e93f81dc5c95f378eb37250193610e
com.benasher44	uuid-watchosx64	0.8.2		N/A
com.benasher44	uuid-watchosx64	0.8.2	metadata	dbb41755608d1e036edd721d67f1ca3229021645
com.benasher44	uuid-watchosx64	0.8.3		N/A
com.benasher44	uuid-watchosx64	0.8.3	metadata	f1923e2328a1fd58976c3171052e9fec0f2a1b2d
com.benasher44	uuid-watchosx64	0.8.4		N/A
com.benasher44	uuid-watchosx64	0.8.4	metadata	54050e7797ea7719830bad3f9d71db75e2897e90
com.brucezee.jspider	jspider-berkeley	1.0		2051b6900968ac87b177b5dc0617c670a6ad4a00
com.bucket4j	bucket4j_jdk11-mssql	8.11.0		dd44991bcb8167d4e58d88669aabc0c04f756dd5
com.bucket4j	bucket4j_jdk11-mssql	8.11.1		d8ad436bfab19538451b510598297b6dc517e615
com.bucket4j	bucket4j_jdk11-mssql	8.12.0		e63aaa4ee89f5a4ca1a344ef91559e2ab790d841
com.bucket4j	bucket4j_jdk11-mssql	8.12.1		34aecbe70d88f1fd627030799d19216a8a317880
com.bucket4j	bucket4j_jdk11-mssql	8.13.0		8b865b13c3fa98f8bdc235efbfb570e0bb2fb102
com.bucket4j	bucket4j_jdk11-mssql	8.13.1		32b9d5f401a7cc7d6eb3a8e8fd3cac87cb660329
com.bucket4j	bucket4j_jdk11-mssql	8.14.0		ee6eaed19010c7d0897623f54d8b53dcf465a1b5
com.colisweb	simplecache-redis_2.13	1.0.0		cfcc1925f2768b48a44f0fe87ace8b317cedaed0
com.colisweb	simplecache-redis_2.13	1.0.0-alpha		d756d805cc6788e8afd2f1e1a8a4a6853c65b49c
com.colisweb	simplecache-redis_2.13	1.1.0		c268266b33e974ab00ad41db43545fdb03b104bf
com.colisweb	simplecache-redis_2.13	2.0.0		516c0bf9e48b73260df5e9f2a7985525623164ca
com.colisweb	simplecache-redis_2.13	2.1.0		103c8ede1a84509900316757b1f36378c165ccdb
com.colisweb	simplecache-redis_2.13	2.1.1		140a2b8065e15e4eb341ae8a4590122088a60760
com.colisweb	simplecache-redis_2.13	2.1.2-teta		2927c379b852f69c6c8a8ea6789995588f532cb3
com.colisweb	simplecache-redis_2.13	2.1.3-beta		7a6fc62b52155aca8807c65f747425d1340890fd
com.colisweb	simplecache-redis_2.13	3.0.0		dcb84d95d280fab1d93c7cb1b4b963b7dbaff2cb
com.colisweb	simplecache-redis_2.13	3.0.1		ccb5d29484ebacb9a944738a49c30b71ac5556ee
com.colisweb	simplecache-redis_2.13	3.0.2		1bdfe1e680360322ff3ee42e8001d4a33d15b3f4
com.colisweb	simplecache-redis_2.13	3.0.3		476362a238a6e9ed26d8ed053f364439ce1f5ccf
com.colisweb	simplecache-redis_2.13	3.1.0-alpha		484b6d98d6e380961172c1138c1746401559cb3e
com.colisweb	simplecache-redis_2.13	4.0.0		539ae720599ed4fd09f1d6c7e1cf187da17512ed
com.colisweb	simplecache-redis_2.13	5.0.0		5a96c923b5bf8ca8ce44c19b6a3e2b01424f0e0b
com.cyrusinnovation	stop-stubble-plugin_2.10	0.0.3		b330a6015fa190622d2943d19f67675e751c9061
com.daml	base-util-external_2.13	3.3.0-adhoc.20250313.13657.0.vd9049657		54ad2d1f63aef96d07ed60a3ffa2f3f75d3044da
com.daml	base-util-external_2.13	3.3.0-adhoc.20250314.13658.0.v2ae85555		54ad2d1f63aef96d07ed60a3ffa2f3f75d3044da
com.daml	base-util-external_2.13	3.3.0-adhoc.20250314.13658.0.v6a20867c		54ad2d1f63aef96d07ed60a3ffa2f3f75d3044da
com.daml	base-util-external_2.13	3.3.0-adhoc.20250327.13687.0.v3a79a55e		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-adhoc.20250327.13688.0.vbdeb0d51		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250214.13611.0.v8a5fd608		382a1939387377b4ae06eb0c8a7d91f9bc94b69f
com.daml	base-util-external_2.13	3.3.0-snapshot.20250217.13619.0.vcfb7fe36		382a1939387377b4ae06eb0c8a7d91f9bc94b69f
com.daml	base-util-external_2.13	3.3.0-snapshot.20250218.13621.0.vd1c09c20		382a1939387377b4ae06eb0c8a7d91f9bc94b69f
com.daml	base-util-external_2.13	3.3.0-snapshot.20250219.13625.0.vbd7e542a		382a1939387377b4ae06eb0c8a7d91f9bc94b69f
com.daml	base-util-external_2.13	3.3.0-snapshot.20250221.13626.0.v450e992e		2be832f88db5f9f2ea5d9c51e5f3990cf5002eeb
com.daml	base-util-external_2.13	3.3.0-snapshot.20250224.13628.0.vb89d2086		2be832f88db5f9f2ea5d9c51e5f3990cf5002eeb
com.daml	base-util-external_2.13	3.3.0-snapshot.20250225.13633.0.vc397a212		2be832f88db5f9f2ea5d9c51e5f3990cf5002eeb
com.daml	base-util-external_2.13	3.3.0-snapshot.20250226.13635.0.vcf9c485c		2be832f88db5f9f2ea5d9c51e5f3990cf5002eeb
com.daml	base-util-external_2.13	3.3.0-snapshot.20250227.13636.0.vdeaa9235		46f9525ba54338924c199b69186ca7f5d2a25b4f
com.daml	base-util-external_2.13	3.3.0-snapshot.20250228.13638.0.v9c77ba46		46f9525ba54338924c199b69186ca7f5d2a25b4f
com.daml	base-util-external_2.13	3.3.0-snapshot.20250303.13639.0.v5635b3c3		46f9525ba54338924c199b69186ca7f5d2a25b4f
com.daml	base-util-external_2.13	3.3.0-snapshot.20250305.13642.0.v5518c9e8		46f9525ba54338924c199b69186ca7f5d2a25b4f
com.daml	base-util-external_2.13	3.3.0-snapshot.20250306.13643.0.v7aa8cb70		46f9525ba54338924c199b69186ca7f5d2a25b4f
com.daml	base-util-external_2.13	3.3.0-snapshot.20250307.13644.0.v931032be		46f9525ba54338924c199b69186ca7f5d2a25b4f
com.daml	base-util-external_2.13	3.3.0-snapshot.20250310.13645.0.v9fed1085		46f9525ba54338924c199b69186ca7f5d2a25b4f
com.daml	base-util-external_2.13	3.3.0-snapshot.20250310.13649.0.va93ff55f		46f9525ba54338924c199b69186ca7f5d2a25b4f
com.daml	base-util-external_2.13	3.3.0-snapshot.20250311.13652.0.vfbb85b04		54ad2d1f63aef96d07ed60a3ffa2f3f75d3044da
com.daml	base-util-external_2.13	3.3.0-snapshot.20250312.13655.0.vcb3db312		54ad2d1f63aef96d07ed60a3ffa2f3f75d3044da
com.daml	base-util-external_2.13	3.3.0-snapshot.20250313.13657.0.v7b206338		54ad2d1f63aef96d07ed60a3ffa2f3f75d3044da
com.daml	base-util-external_2.13	3.3.0-snapshot.20250314.13661.0.v3525acf7		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250315.13662.0.veab85ae6		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250317.13663.0.vf985f5f6		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250318.13666.0.v38d45c57		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250319.13669.0.v5aecc9e6		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250320.13670.0.vf4457f09		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250320.13673.0.vf3b741c2		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250321.13675.0.v3994e988		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250324.13676.0.vb9b0abbb		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250325.13681.0.v47563d61		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250326.13682.0.vbaddab67		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250326.13686.0.v34371a42		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250327.13689.0.v46dbd521		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250328.13693.0.v07bb96f1		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250329.13694.0.vd9ba2a15		2b6793a4b7e217511e2fac3ea2275bfc9bb83d5c
com.daml	base-util-external_2.13	3.3.0-snapshot.20250331.13697.0.vef800592		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250401.13704.0.v4decfc03		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250402.13706.0.v4bc8905c		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250403.13709.0.v7688098c		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250404.13714.0.v1095c9b0		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250408.13716.0.v9419d70f		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250408.13724.0.v26c31e8d		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250409.13725.0.vf1a3bb22		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250409.13730.0.v6972616a		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250409.13732.0.v6b38b804		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250411.13739.0.v9266ad3c		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250411.13746.0.v590c3204		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250414.13748.0.va2312729		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250414.13752.0.v0c202990		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250414.13754.0.v6f99815d		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250415.13756.0.vafc5c867		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250424.13760.0.v90d51dbb		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.3.0-snapshot.20250502.13767.0.v2fc6c7e2		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.4.0-snapshot.20250415.13757.0.v8ac8af98		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.4.0-snapshot.20250415.13760.0.vea143716		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.4.0-snapshot.20250416.13764.0.vee0fc5b1		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.4.0-snapshot.20250417.13766.1.vef057e66		c20024459fc1764fcd7c0c9ae088a8bd8dc205a1
com.daml	base-util-external_2.13	3.4.0-snapshot.20250417.13774.0.ve1001b97		5f25d189c21ee9fb88ca1dc231ea3688a722ca5b
com.daml	base-util-external_2.13	3.4.0-snapshot.20250418.13775.0.v79817894		5f25d189c21ee9fb88ca1dc231ea3688a722ca5b
com.daml	base-util-external_2.13	3.4.0-snapshot.20250422.13778.0.v2de0966d		5f25d189c21ee9fb88ca1dc231ea3688a722ca5b
com.daml	base-util-external_2.13	3.4.0-snapshot.20250423.13779.0.v4c39132a		5f25d189c21ee9fb88ca1dc231ea3688a722ca5b
com.daml	base-util-external_2.13	3.4.0-snapshot.20250424.13786.0.vb68dfcad		498d94c348a56e8858afee8f8d2b847bede72f03
com.daml	base-util-external_2.13	3.4.0-snapshot.20250425.13791.0.v1d751043		498d94c348a56e8858afee8f8d2b847bede72f03
com.daml	base-util-external_2.13	3.4.0-snapshot.20250428.13794.0.vb7f162ae		498d94c348a56e8858afee8f8d2b847bede72f03
com.daml	base-util-external_2.13	3.4.0-snapshot.20250429.13798.0.v0a9ac077		498d94c348a56e8858afee8f8d2b847bede72f03
com.daml	base-util-external_2.13	3.4.0-snapshot.20250430.13801.0.v62e9a71a		498d94c348a56e8858afee8f8d2b847bede72f03
com.daml	base-util-external_2.13	3.4.0-snapshot.20250430.13804.0.vecb995a9		498d94c348a56e8858afee8f8d2b847bede72f03
com.daml	base-util-external_2.13	3.4.0-snapshot.20250501.13805.0.v6dcc9347		498d94c348a56e8858afee8f8d2b847bede72f03
com.daml	base-util-external_2.13	3.4.0-snapshot.20250502.13811.0.vc9342f2a		498d94c348a56e8858afee8f8d2b847bede72f03
com.devbliss	gwtbliss-common	1.0.0		bb4e9add3674e8f83fc6b18e3c092c126bb13991
com.devbliss	gwtbliss-common	1.1.0		3ad54906055f5ddd8c0b589de159fb60082d5d81
com.dinstone.focus.serialize	focus-serialize-core	0.9.5		ed2268979807d54fa089309913a099d7de27d8b4
com.draagon	draagon-parent	3.9.0		N/A
com.draagon	draagon-parent	4.0.0		N/A
com.draagon	draagon-parent	4.0.4		N/A
com.dropchop.recyclone	recyclone-extension	1.0.0.Alpha		N/A
com.dropchop.recyclone	recyclone-extension	1.0.1.Alpha		N/A
com.dropchop.recyclone	recyclone-extension	1.0.2.Alpha		N/A
com.dropchop.recyclone	recyclone-extension	1.0.3.Alpha		N/A
com.dropchop.recyclone	recyclone-extension	1.0.4.Alpha		N/A
com.dropchop.recyclone	recyclone-extension	1.0.5.Alpha		N/A
com.dropchop.recyclone	recyclone-extension	1.0.6.Alpha		N/A
com.dropchop.recyclone	recyclone-extension	1.1.10.Alpha		N/A
com.dropchop.recyclone	recyclone-extension	1.1.11.Alpha		N/A
