au.net.causal.shoelaces	shoelaces-jersey-client-integration-tests	2.0		N/A
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.30.0		08124fe44d2aac7ff6268e7cb131764f7a5a10ce
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.30.1		ca8c28352d543c84935ce475aa33cd0c1b18be19
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.30.2		84977bcee4a0d613b855e54c7722e457dd651805
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.30.3		30d68588283bca610ee37a1157e7ba156ea16b9b
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.31.0		ccf1c4a26adff0bc91f777efa75d54d969cf8fe1
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.31.1		4a225dd8fa39e9999c034ad53e762a82794d27c4
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.31.2		dc5faf34f6d3b3df2f62b9eec92480dce06492ee
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.32.0		bc2297f28f0bcde93772df076d3820adaeb06666
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.33.0		f2c339158a315ac0d751b1f2abd6a65a290ad94c
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.34.0		b653cc78bc50adca9b6dc697a6e92d0680c27965
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.35.0		488a9a71b5673cda02723ae328c3808b734dc902
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.36.0		adb1af281d3dbc029f25c376e6f980464f187bde
city.smartb.cccev	projection-domain-jvm	0.14.0		a09717d8903d3649cdb8ad514fc20b422f192907
city.smartb.cccev	projection-domain-jvm	0.14.1		1b2eea6ccd18352925a9a091b89e52ea1701d920
city.smartb.cccev	projection-domain-jvm	0.14.2		02f1726da750c95d55ce31f971cbf8d72c9c87ef
city.smartb.cccev	projection-domain-jvm	0.15.0-RC1		31e7edbdbcf7401f45b66b7fd0bf652cb685d59a
cloud.orbit	orbit-server-etcd	2.0.0-alpha.100		09d752bafc5f323b1784ec286703b5eb71419d27
cloud.orbit	orbit-server-etcd	2.0.0-alpha.101		59147d16724b6c28797039429ca445fc29c7b395
cloud.orbit	orbit-server-etcd	2.0.0-alpha.102		2d6cb217693e7d8fcd5d5cc2e874b618de67925b
cloud.orbit	orbit-server-etcd	2.0.0-alpha.103		84ea447cd6afdd1cff5ef519962300eac7d0e57a
cloud.orbit	orbit-server-etcd	2.0.0-alpha.104		a42fb7e397b089abe87af448561393c97387b6ab
cloud.orbit	orbit-server-etcd	2.0.0-alpha.105		43f2c0f276a1ef7a5843ccf3048c54db63bf4290
cloud.orbit	orbit-server-etcd	2.0.0-alpha.106		cfd05eb0596e4e043870890a8d4a3eebccd82db5
cloud.orbit	orbit-server-etcd	2.0.0-alpha.107		b79b8d319ccd05ee392b536bb38faf249a8fc57b
cloud.orbit	orbit-server-etcd	2.0.0-alpha.108		b581140ddb9d580390d50cf0e23bd3b62b82b73b
cloud.orbit	orbit-server-etcd	2.0.0-alpha.23		1688fb6c3f1fed3cbe5d0d0fe00865720172b092
cloud.orbit	orbit-server-etcd	2.0.0-alpha.26		8da223e77a65ff98b0e893bf2f02f52b76834765
cloud.orbit	orbit-server-etcd	2.0.0-alpha.27		d4e02221f832354f0daa208501e4e23eb57051bf
cloud.orbit	orbit-server-etcd	2.0.0-alpha.29		8f7680a3161edad502b87b1d3ed9c37125dc781d
cloud.orbit	orbit-server-etcd	2.0.0-alpha.30		14771537a98296536f7aa5a72dd64f99f78c6005
cloud.orbit	orbit-server-etcd	2.0.0-alpha.32		9077fd395c627b6f47ee6bb683aee74909530d40
cloud.orbit	orbit-server-etcd	2.0.0-alpha.33		36af5582d168f41fa200bfe061cef80ceb7873d9
cloud.orbit	orbit-server-etcd	2.0.0-alpha.34		470b1a8a1cff8509a44b6ea330c07eaf9fb0d817
cloud.orbit	orbit-server-etcd	2.0.0-alpha.35		543c39251a74dd3353a6f930f7a5f69d0e6abf8c
cloud.orbit	orbit-server-etcd	2.0.0-alpha.36		d53206e613db088429a82abbbf741b490118c2a6
cloud.orbit	orbit-server-etcd	2.0.0-alpha.39		915d1e17905bd8bb6d1ed4e7ed36f3fa22692a5f
cloud.orbit	orbit-server-etcd	2.0.0-alpha.60		a867041c4bd5820d816f5f061c873b13abdeb366
cloud.orbit	orbit-server-etcd	2.0.0-alpha.62		e2f2cc5eebfab3dbce7beaaef17c3af17cce260f
cloud.orbit	orbit-server-etcd	2.0.0-alpha.65		81e61267bf410db0d1366f9f532c29a9da5d1085
cloud.orbit	orbit-server-etcd	2.0.0-alpha.69		35b8d4e4e70414e97694627c426681493c216933
cloud.orbit	orbit-server-etcd	2.0.0-alpha.71		a91fef83e172c504762734b22881ba8dce561728
cloud.orbit	orbit-server-etcd	2.0.0-alpha.72		2018b481854489973d2c6567c735deccf11ef3f7
cloud.orbit	orbit-server-etcd	2.0.0-alpha.73		967f453c7e8391d51f5c9cc52061c26cc627f7c4
cloud.orbit	orbit-server-etcd	2.0.0-alpha.74		45a0abe730f10ad9546d27efdf5bb5612b1299e7
cloud.orbit	orbit-server-etcd	2.0.0-alpha.75		8a1461726a60b913aa1fd0512058c65a3d241063
cloud.orbit	orbit-server-etcd	2.0.0-alpha.76		b4aaece3d9ae33f7069df19bb1bf37bd3949130c
cloud.orbit	orbit-server-etcd	2.0.0-alpha.77		c3af9a2f95ce440f6488f1b190c4e9138f8c51fa
cloud.orbit	orbit-server-etcd	2.0.0-alpha.78		618a00b1781795b2dbb06ddb9a1d30f87209b4df
cloud.orbit	orbit-server-etcd	2.0.0-alpha.79		80b5e315bbb84e224e17f6890f767c9d9d159025
cloud.orbit	orbit-server-etcd	2.0.0-alpha.80		5e5c95361b5813a2fcde167480105764e83cb381
cloud.orbit	orbit-server-etcd	2.0.0-alpha.81		e0e7cc558dea951ffd6175e454d7d9b310e1b977
cloud.orbit	orbit-server-etcd	2.0.0-alpha.82		d9af971cd491464f9a552db464ab856b373b43a8
cloud.orbit	orbit-server-etcd	2.0.0-alpha.83		092c61db469387d63c07f1236b0be09553ab2212
cloud.orbit	orbit-server-etcd	2.0.0-alpha.85		cf02a2e204e6c1dd842f2bb00a29add0d9f08707
cloud.orbit	orbit-server-etcd	2.0.0-alpha.86		6cc25b6952dc99579db89cf1a7ea1ddc8c37541a
cloud.orbit	orbit-server-etcd	2.0.0-alpha.87		20c52c949bab2135dca017512f7a7eecfaf4cc1e
cloud.orbit	orbit-server-etcd	2.0.0-alpha.88		f82889f03f48af29ba84802d855670ab0df0a94b
cloud.orbit	orbit-server-etcd	2.0.0-alpha.90		caf71cae1aa995af37111ce11584a9e3fa7f9271
cloud.orbit	orbit-server-etcd	2.0.0-alpha.91		6a27a04c803eb90fa36c5a6e8e7b4339d95f3c13
cloud.orbit	orbit-server-etcd	2.0.0-alpha.92		0486b8370dd9a0a3f56c671190725e9bc506b657
cloud.orbit	orbit-server-etcd	2.0.0-alpha.93		088dc0cc41b59e162023dcffd19e0053c34f67bb
cloud.orbit	orbit-server-etcd	2.0.0-alpha.94		d275c75e146bce2511b591ca69c39d06d097bb29
cloud.orbit	orbit-server-etcd	2.0.0-alpha.95		fb8343d09c0da9e1235c698ca4277e0a1ebb5893
cloud.orbit	orbit-server-etcd	2.0.0-alpha.96		ec6a276b1d0f9c86c82e9a8752067e6d91a53296
cloud.orbit	orbit-server-etcd	2.0.0-alpha.97		9d5d0bfb6777dddfbc5f8d9191fda438134989a3
cloud.orbit	orbit-server-etcd	2.0.0-alpha.98		3ae08033b546a7ea8249538c4c180a99d171a567
cloud.orbit	orbit-server-etcd	2.0.0-alpha.99		87a997b5d6a2a0a524de4019d58814a98677a0ae
cloud.orbit	orbit-server-etcd	2.0.0a10		796485f73e5ed8246bbaeb06eb4c037b1cff92eb
cloud.orbit	orbit-server-etcd	2.0.0a11		70385d6386cab65d8d70a5f19e8fa430fc414c36
cloud.orbit	orbit-server-etcd	2.0.0a12		38acabae689d60ed181d84592ba4fb620473b071
cloud.orbit	orbit-server-etcd	2.0.0a13		4022fdbe95d3f34aad8b2049f727f53d36bae56a
cloud.orbit	orbit-server-etcd	2.0.0a14		da5b07dc15374df6e156284bce0c418075988d3a
cloud.orbit	orbit-server-etcd	2.0.0a15		d0a5fb65ebcec367628873dfdb8bbab135a5e7ca
cloud.orbit	orbit-server-etcd	2.0.0a16		3ac01e39aa10136155306f26a4ed6db98bd18609
cloud.orbit	orbit-server-etcd	2.0.0a17		84127035de997fd9b16e9dcbf44e4802db0ea843
cloud.orbit	orbit-server-etcd	2.0.0a18		b922814ccf128d94ba0c49682c2e4bfdd15c31f3
cloud.orbit	orbit-server-etcd	2.0.0a19		05d2b1a9866762fd3962f4e47aa69ba6cb235776
cloud.orbit	orbit-server-etcd	2.0.0a9		7156c2dd37446ddc14dfa745d10cc1bad41b48d3
cn.allbs	allbs-cache	1.0.0		600bfebd0787c138c232803e7230e6fa7143a85c
cn.allbs	allbs-cache	1.0.1		1c6b88bdc60540cf237a4dcd608bd15aa50fec88
cn.allbs	allbs-cache	1.0.2		87b4984871da97349c5576ef5eeaa77b4eee3a3b
cn.allbs	allbs-cache	1.0.3		ce2a089b6462b9199eba07a89c3d60b0949accc7
cn.allbs	allbs-cache	1.0.4		72dd4a5192b865b1129d71881f912a84323a0d11
cn.allbs	allbs-cache	1.0.5		65d08bf812d0c73e4675d1cd0082c7ca9239c2d9
cn.allbs	allbs-cache	1.0.6		52570d38c9111ee1e77d8ffe587a264422e1a5ac
cn.allbs	allbs-cache	1.0.7		f83b62409da88d344d59fcf9693654fde7074ba3
cn.allbs	allbs-cache	1.0.8		963f9ab082318b8ad7c653154a0ccadb6607b8ff
cn.allbs	allbs-cache	1.0.9		bbcfa85236e53454cd7c615aea0954bca1382381
cn.allbs	allbs-cache	1.1.0		d8136ec1250d55cc0b72eb427f5b920ee10a6289
cn.allbs	allbs-cache	1.1.1		63bf97e66bbcb689391f55c0110f204e6ff42c2f
cn.allbs	allbs-cache	1.1.2		8f82785b0b4cee78774d9ec514c5e92f6251ed03
cn.allbs	allbs-cache	1.1.3		4168c506d494d6a901f1fc2e461dbde30447470a
cn.allbs	allbs-cache	1.1.4		d5bbed757d365ee210240d11f9b4f53bb76c1866
cn.allbs	allbs-cache	1.1.5		205652e7e3ef05c81b2defef64ea3a3c9953fda5
cn.allbs	allbs-cache	1.1.6		ea92c81164fb9c2b64da48a6f8598e4e50f83e4f
cn.allbs	allbs-cache	1.1.7		eb74265b0cc4759512a770cb2efe43f0e3065739
cn.allbs	allbs-cache	1.1.8		a98186604eec7e65775da94200dff23c905913f8
cn.allbs	allbs-cache	1.1.9		ec5dd4df5efe8e15d3fa72e92b88bf4a0ed2211e
cn.allbs	allbs-cache	2.0.0		e7d70a3bc01a85401ef6497c13b1039bd8a97ee0
cn.iosd	simple-utils-jackson	2022.3.2.0		108a827b1b1e3105227131caae3fbcab87846b6d
cn.iosd	simple-utils-jackson	2022.3.3.0		c1cf37cba48ae40f775d6f7d8345c211e1907160
cn.iosd	simple-utils-jackson	2022.3.4.0		2fd4e078091336603b6c5f1d3415bff58b022710
cn.iosd	simple-utils-jackson	2022.3.5.0		9ae4f6ad2cac88a125ac877add452eb26954c760
cn.iosd	simple-utils-jackson	2022.3.5.1		a3167b4a3ca90f75148d705873f6619c2169c2a1
cn.iosd	simple-utils-jackson	2022.3.5.2		92ad643b18ecf8291bb91c6ec536a120ebe957f5
cn.iosd	simple-utils-jackson	2022.4.0.0		ca3f79178d571352b88c11832fdaf352b7b75f63
cn.iosd	simple-utils-jackson	2022.4.1.0		b442010c617ecd7ec1b6a1952e7a9e4d545a3ee4
cn.iosd	simple-utils-jackson	2022.5.0.0		116705c14f98a2864c01830f11e0ace90c3e7b83
cn.iosd	simple-utils-jackson	2023.3.2.1		5652e173cadf292f3132f4ba82fae479dd60f99d
cn.iosd	simple-utils-jackson	2023.3.3.0		3a16eaff894db0d9118edee92e1d25f75db3b40c
cn.iosd	simple-utils-jackson	2023.3.4.0		df8cc4c61e76ac15691df06051b5f26f48f9ff89
cn.iosd	simple-utils-jackson	2023.3.5.0		a39355e4af73ae70c46eb0efae2bf9b39aca415e
cn.iosd	simple-utils-jackson	2023.3.5.1		370dbbc2a0cb9d44b9a740d1c46f2bb05b6e187e
cn.iosd	simple-utils-jackson	2023.3.5.2		e44a0b59625093fca4d8228783401b61ae3cf2d9
cn.iosd	simple-utils-jackson	2023.4.0.0		50ec20ce9a09fa6f3784d286e23d396eb71ea113
cn.iosd	simple-utils-jackson	2023.4.1.0		c371fe964349e5a08a75504571eec9d0bf471f89
cn.iosd	simple-utils-jackson	2023.5.0.0		0715791442be21abde8a9aadef574c1a0a420cdd
cn.iosd	simple-utils-jackson	2023.5.1.0		50b0f8d341a7c852a0080e6e0ab4e0e8002f59dd
cn.iosd	simple-utils-jackson	2023.5.2.0		c323d2926468afcd90ee5960f49f79ca8454d6c5
cn.iosd	simple-utils-jackson	2024.1.0.0		0f58bf10b540e95e112be7b8a2c54f0762ac52d2
cn.iosd	simple-utils-jackson	2024.1.1.0		2d0e0a4bb1306be7c1daa9300fe35a8ebadd0021
cn.iosd	simple-utils-jackson	2024.1.1.1		8e5340d20243d1d34d2a09fd18cea82b46d7ee06
cn.iosd	simple-utils-jackson	2024.1.2.0		38afad1902ff7d22d036c34862d311867673c258
cn.iosd	simple-utils-jackson	2024.1.3.0		6a4185ae3700d3d60cebde6796b3031381de4b61
cn.iosd	simple-utils-jackson	2024.2.0.0		3ee50c07695e14b618b81c3445e2d286b4b5f7bc
cn.univyz	univyz-plugin-rest	1.0.0		2b9ea41240aafd79ad15a669a5b08587d9211c16
cn.univyz	univyz-plugin-rest	1.0.1		cad80bf357e2fcd7540a9beb7292b944d298a4c3
com.ToxicBakery.logging	arbor-linuxx64	2.0.103		N/A
com.ToxicBakery.logging	arbor-linuxx64	2.0.105		N/A
com.alecstrong	core	0.1.0		4cc3125fcd502311c4b502da36d50d4787e58ca9
com.aliyun	alibabacloud-nis20211216	1.0.0		9701ba3212486b6ab0aa5187e5b7660498de7281
com.aliyun	alibabacloud-nis20211216	1.0.1		c3fe76f45db984d7a7cea8265f005216d9b179ed
com.aliyun	alibabacloud-nis20211216	1.0.2		0779e5c6590400338ab2c454381750553508dc4b
com.aliyun	alibabacloud-nis20211216	1.0.3		0dd0ba656ed438587d631357e4995a49ea0b8778
com.aliyun	alibabacloud-nis20211216	1.0.4		13730182441db71129a7d53f47f92839eaded52a
com.aliyun	alibabacloud-nis20211216	1.0.5		4471e7bcd805c3624017cf8de4c2fa31a2264549
com.aliyun	alibabacloud-nis20211216	1.0.6		c78bc3233af1f521ad9a9b3afdc1c59f56317ad8
com.aliyun	alibabacloud-nis20211216	2.0.0		59b875137ffa0a5b620ca99caf3b4f2c885367be
com.aliyun	alibabacloud-nis20211216	2.0.1		91e07c4f4ccbeabc696c19ccdabbdea192e52e1c
com.aliyun	alibabacloud-nis20211216	2.0.2		7672ffb9e5d2acde0c7f6de1aee6ba50cd7b98ce
com.aliyun	alibabacloud-nis20211216	2.0.3		fe382faf4db53c9ede5b81efab78daebbc00b3e9
com.aliyun	alibabacloud-nis20211216	2.0.4		a5294f93baa29312765b0c68fbf7a6b18c3c4d75
com.aliyun	alibabacloud-nis20211216	2.0.5		71049ff69cb36b3c3bc51a4aef1e80ff8c333f41
com.aliyun.phoenix	ali-phoenix-shade-core	4.12.0-AliHBase-1.1-0.9		0697bf7dbddb9fb83aa2c5a8aecaddc9820a7c29
com.aliyun.phoenix	ali-phoenix-shade-core	4.12.0-AliHBase-1.1-0.9	shaded	92940196c21fc7bd6fc29626854369404111774a
com.aliyun.phoenix	ali-phoenix-shade-core	4.12.0-AliHBase-1.1-0.9	shaded-sources	e2092e3d50d8630138f29e7e6f021af9d879ca3a
com.aliyun.phoenix	ali-phoenix-shade-core	4.12.0-AliHBase-1.1-0.9.2		75b3e96d325f92283db0e2a4e7d9c4915743ecd0
com.aliyun.phoenix	ali-phoenix-shade-core	4.12.0-AliHBase-1.1-0.9.2	shaded	a00596e06759a6878fb87d6f5326c8d87b8fa8e3
com.aliyun.phoenix	ali-phoenix-shade-core	4.12.0-AliHBase-1.1-0.9.2	shaded-sources	6cb75aac6290dac1523abeb9be6ddb27ec1c93f8
com.aliyun.phoenix	ali-phoenix-shade-core	4.12.0-AliHBase-Ha-1.1-0.1		01a1a5086fcbdb12fbbcf360c4db42ed8c99a858
com.aliyun.phoenix	ali-phoenix-shade-core	4.12.0-AliHBase-Ha-1.1-0.1	shaded	a84000c809a5295b5fc181f4f04cfc9a09e2db7b
com.aliyun.phoenix	ali-phoenix-shade-core	4.12.0-AliHBase-Ha-1.1-0.1	shaded-sources	c5e03af9a21cf52484e47cf7a946a83beb807198
com.aliyun.phoenix	ali-phoenix-shade-core	5.1.0-HBase-2.0		fc6cdb8b51beec090d47521185972c962249e9d6
com.aliyun.phoenix	ali-phoenix-shade-core	5.1.0-HBase-2.0	shaded	6d5212669a41a70c7adf9d298ada18ee109ce990
com.aliyun.phoenix	ali-phoenix-shade-core	5.1.0-HBase-2.0.0.1		fa59f72ecc199278df766a29c1928a849242bd53
com.aliyun.phoenix	ali-phoenix-shade-core	5.1.0-HBase-2.0.0.1	shaded	0edb7c4d3da7b57528976b40ca1d08be4a9cbe98
com.aliyun.phoenix	ali-phoenix-shade-core	5.1.0-HBase-2.0.0.2		e5f8c10fc461a7da30ecbd3f5dfb081169f77f42
com.aliyun.phoenix	ali-phoenix-shade-core	5.1.0-HBase-2.0.0.2	shaded	41cc6df6df2d5f1b5bfe4f4d888335ae85fdce58
com.aliyun.phoenix	ali-phoenix-shade-core	5.1.0-HBase-2.0.0.2	shaded-sources	dbd8c324b9ee90adb465ec5e87694f6729f147ff
com.amazonaws	amazon-kinesis-deaggregator	1.0.3		b5011a57283c00005690005bbfb2e2a8d4878736
com.avito.android	robolectric-inhouse-runner	2022.12		5e13809aee5822d2980cd46f7a2a1516b766952e
com.avito.android	robolectric-inhouse-runner	2022.14		3dfd12bda2893055ef93ef884e86638d6f8f63f6
com.avito.android	robolectric-inhouse-runner	2023.15		729296490a108d8195a5a40026fbcbfe527ce18e
com.avito.android	robolectric-inhouse-runner	2023.19		343c08a5cf7af4a1eff7bcf67d26afe504ceaddd
com.avito.android	robolectric-inhouse-runner	2023.2		7164b1fbce18d524b195a41880ed10d2225cb12a
com.avito.android	robolectric-inhouse-runner	2023.20		ad01b5cf9e9a409ce8bec2efa24b3859fcd05993
com.avito.android	robolectric-inhouse-runner	2023.22		acd27b225957697abd01a7381fc72bba5578804d
com.cognitect.aws	s3	660.2.353.0		72fad34ffea9c3f95ddb8e4c88dab176714643bc
com.cognitect.aws	s3	661.2.362.0		f094204b31b05e6b42fbc722a5b375cabb348235
com.cognitect.aws	s3	661.2.363.0		a5b56c72ca90b2cb03b83cf1263f774ec42227b2
com.cognitect.aws	s3	675.2.367.0		58f536d6904a01e22fba04ae725dd3e963a5e030
com.cognitect.aws	s3	675.2.368.0		07e6fa9de6354fe62b8aee1be66b1900511bb3b6
com.cognitect.aws	s3	680.2.370.0		27bb8884850cd3bdd57653b28ab73adc6a3efc6e
com.cognitect.aws	s3	697.2.391.0		712c8c19740a11ee0c558f9a0cbd12c6ac83f882
com.cognitect.aws	s3	712.2.418.0		62d2cb43ed39fc2138718cccfb69b471f2d1ddc6
com.cognitect.aws	s3	714.2.430.0		adc720917a5c17d72403a5e8cad85f4f55b397d1
com.cognitect.aws	s3	718.2.457.0		e6b84a519df8d1b7f4288a9c9fb5d11681035450
com.cognitect.aws	s3	722.2.468.0		72d86a8abaa686eb9b2692f9c37b71c087718e3c
com.cognitect.aws	s3	726.2.488.0		4611418e141bec0eb627c811956d7891ef706138
com.cognitect.aws	s3	747.2.533.0		ddc745262d30c3e36b0bedf69a60c7b0e22ac554
com.cognitect.aws	s3	762.2.558.0		b783265f8ac69f83029f57dfd03896a3b7a17cbf
com.cognitect.aws	s3	762.2.561.0		569c17676c678b973dae81906d4fa6f4d7ba0de9
com.cognitect.aws	s3	770.2.568.0		1a3d4296046ed61825950f0c7a3ab2debe4054fb
com.cognitect.aws	s3	773.2.574.0		ea8f61b025a3ab55cf8692cdcb4878c96c2768a0
com.cognitect.aws	s3	773.2.576.0		c751297548792482d37ef29111c313b3ea52ea88
com.cognitect.aws	s3	780.2.583.0		2e102ff70b2a4dff21b5152857a98d982de327d3
com.cognitect.aws	s3	784.2.593.0		0ca07c0e23026997101f2e8e6f7b493b2d35f5d5
com.cognitect.aws	s3	799.2.682.0		8d27dcc3c58615ed0e02129cf893b9e74647fafa
com.cognitect.aws	s3	807.2.729.0		528619d28d923bc9b990b05522bbe76e78181e0f
com.cognitect.aws	s3	809.2.734.0		e7ba02b59dce97e49ed032754613de2c72a86745
com.cognitect.aws	s3	809.2.784.0		8afe7354aa6697c6aadedb13db04ba2309f94063
com.cognitect.aws	s3	809.2.797.0		c9ee70fedddbe0818237a7f838baf510e128c572
com.cognitect.aws	s3	810.2.801.0		83a552b3b35db1cc8a717b628b2475f163075635
com.cognitect.aws	s3	810.2.817.0		5a6cc25021955be7a44d8cd3664a199196f522cd
com.cognitect.aws	s3	811.2.858.0		4466f52466f91f11724e304cac020a51f7c735ee
com.cognitect.aws	s3	811.2.865.0		08a593700b1622245c11b201d8b0763d9a47215b
com.cognitect.aws	s3	811.2.889.0		4dabecd3dcf481a0e6981753bd3e4ab5d3bbbe92
com.cognitect.aws	s3	811.2.934.0		0afc0ce420b0294b297edb7cfcd60d069833a5c6
com.cognitect.aws	s3	813.2.972.0		5028bd016bf27af2b3af00a488357e35a01fecd6
com.cognitect.aws	s3	814.2.1053.0		f411124cc29c10f79f2a515ef3fdb5e7f49e2eeb
com.cognitect.aws	s3	814.2.978.0		5878cb8052d6ab4191e082f731890343cc825b0b
com.cognitect.aws	s3	814.2.991.0		20089e24d5cd95b23511a1b0651f6240b23471e6
com.cognitect.aws	s3	820.2.1083.0		df9db4bbd8ad3bfa3e59e5fff52e28e66748e9cd
com.cognitect.aws	s3	821.2.1083.0		8a1fe336446d65ba19e3bdfb8efd3f4aae5217c3
com.cognitect.aws	s3	822.2.1109.0		05c72f2414fa2b8691fbcbb386c0fca8429debe9
com.cognitect.aws	s3	822.2.1145.0		0c4d7c1bc3baa4a05c7ebdf6b672259f56a16d7e
com.cognitect.aws	s3	825.2.1250.0		fd6c4c873c2c3dc68b5fd6ee1e4b57cd48a59096
com.cognitect.aws	s3	845.2.1359.0		87290064a8299109c9640a23b80c78a51aebe5b6
com.cognitect.aws	s3	847.2.1365.0		d4b7604c10aeb98a39292bc6673b40ceabc05f34
com.cognitect.aws	s3	847.2.1387.0		35143906190441aadae7270eeef520272ead84fa
com.cognitect.aws	s3	847.2.1398.0		df2913416ef6c07114a06205805193c9ce2167b9
com.cognitect.aws	s3	848.2.1400.0		f33e7d9d743c39c0bb65edba82c3531b361125f7
com.cognitect.aws	s3	848.2.1413.0		7e226e5d94e3db408da269f9ee9a14424c09237d
com.cognitect.aws	s3	857.2.1574.0		f0f7d9d4862a4d178b8378514445e8b24dbe7c32
com.cognitect.aws	s3	868.2.1580.0		6947555e06e6ac0c17cb480d3184fef4f14257d1
com.cognitect.aws	s3	869.2.1687.0		273da77c4f8620c6105e9381f153e14ed3b2cea7
com.cognitect.aws	s3	871.2.29.35		ad6fbcc133c1c3a28deba9a0767084cad5c6ebc2
com.cognitect.aws	s3	871.2.29.52		3f6f18550064e94ab6957607c9e92a1ac3f9c583
com.cognitect.aws	s3	871.2.30.11		2a6c8c23deace5f60547856987860aada1517205
com.cognitect.aws	s3	871.2.30.22		13790d71d7814f05b6395c0e89b1ea615c08c0ea
com.cognitect.aws	s3	871.2.31.23		1f6a2ed86059997b99a43232f0960ad24b94d801
com.dbrsn.scalajs.react.components	generator-semantic-ui_sjs0.6_2.12	0.0.1		151ff47616d7ff9db9ce5c103c98aca477f44a3e
com.dbrsn.scalajs.react.components	generator-semantic-ui_sjs0.6_2.12	0.0.2		cd7a8e31d46aa9d1f8a2a31940aecebfbee39779
com.dbrsn.scalajs.react.components	generator-semantic-ui_sjs0.6_2.12	0.0.3		736d7045e1271b07880571b9045e7537b87636a9
com.dbrsn.scalajs.react.components	generator-semantic-ui_sjs0.6_2.12	0.0.4		bff6b455aee2ab12b2b0c9a1a779b561e80c65e8
com.dbrsn.scalajs.react.components	generator-semantic-ui_sjs0.6_2.12	0.0.5		89d25f0142c7bad6d235d7dd98a59200c1473f70
com.eventsourcing	eventsourcing-queries	0.4.0		19f4fe33e5e0e9d3267fdd1b410b460e8647feec
com.eventsourcing	eventsourcing-queries	0.4.1		d04b21a8fe284fc1ef8213aa4768172a2f9db94b
com.eventsourcing	eventsourcing-queries	0.4.2		b329eb21e7c2b7311e38797d31a4281e4725db59
com.eventsourcing	eventsourcing-queries	0.4.3		0e07bf79bf7eedb7f25107d0ec88c69abf53a6fb
com.eventsourcing	eventsourcing-queries	0.4.4		4bce8590bcb7f18e37d760be00dd322993fc432f
com.eventsourcing	eventsourcing-queries	0.4.5		3a8aa6bf36b83affc5af7a9b6353db7e506653c7
com.eventsourcing	eventsourcing-queries	0.4.6		5735b55c65b47a63df01e48109c0eeb439d75a0b
