azote	xmlstubs	1.0.2		a6f821388a32bd465800910c57b60324eeae4a30
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170805-972f6d5-NIGHTLY		1134e66ebe126275cdbd73f0874e63b196877486
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170808-a662424-NIGHTLY		eb06ebd4268587be3315d16abc5900f117fdb7ca
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170809-95efbb1-NIGHTLY		44b274b5e2bfe0b4da7789ae337545d58004db2e
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170810-4ef7950-NIGHTLY		122d0512aa3218ef25b1191cc5fa0923bc948b9f
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170815-8b8baba-NIGHTLY		fe4341a0ee2057bfd20b41837da0d7ee51175ef4
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170817-fed2dc2-NIGHTLY		49ce5376e2a7d400bc8268a2dfddbe14578e72ac
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170818-9f5711f-NIGHTLY		bbdc70c8bfd3d8cdf062c9e207f31def4e633c79
ch.squaredesk.nova	test-utils	4.0.0-beta-1		9f9fd3e6c0eaae7250cfe55d5b9dd948afddfa24
ch.squaredesk.nova	test-utils	4.0.0-beta-2		1745ae000f25adc0074f58b93b75406dc957768d
ch.squaredesk.nova	test-utils	5.0.0		652b9737e898b608d0debf5f2575e17fe6442fd6
ch.squaredesk.nova	test-utils	5.2.0		96cee3627047d51bc5ea15eb71122455f097d9ee
ch.squaredesk.nova	test-utils	5.3.0		d8d66cc1e7edffddf8f066550c86e1b48b9b7c60
ch.squaredesk.nova	test-utils	6.0.0		28abd53e6dbe60e6c887f10dfe86c6c4fd07fc8a
ch.squaredesk.nova	test-utils	7.0.0		a7083ff1bcdcd2cad0f7786407749c848b4f2fab
ch.squaredesk.nova	test-utils	7.0.1		ef5ce0aa63423f8b16b2916050e96a5c50439838
cn.javaer.jany	jany-minio	0.0.1.rc1		1e0c10a74448d7e412da2b984a632b04a8190311
co.early.n8	n8-core-watchossimulatorarm64	2.0.0-rc.1		N/A
co.early.n8	n8-core-watchossimulatorarm64	2.0.0-rc.1	metadata	5494ef0058d28739e72ce71f58834578841f6662
com.attafitamim.mtproto	buffer-jvm	3.0.0-pre-alpha05		e47e8ce5cfc75ab275e3c55c268e80ec96c07303
com.attafitamim.mtproto	buffer-jvm	3.0.1-alpha01		e47e8ce5cfc75ab275e3c55c268e80ec96c07303
com.attafitamim.mtproto	buffer-jvm	3.0.1-alpha02		e47e8ce5cfc75ab275e3c55c268e80ec96c07303
com.attafitamim.mtproto	buffer-jvm	3.0.2-alpha01		e47e8ce5cfc75ab275e3c55c268e80ec96c07303
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha01		e47e8ce5cfc75ab275e3c55c268e80ec96c07303
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha02		e47e8ce5cfc75ab275e3c55c268e80ec96c07303
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha04		e47e8ce5cfc75ab275e3c55c268e80ec96c07303
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha05		e47e8ce5cfc75ab275e3c55c268e80ec96c07303
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha06		e47e8ce5cfc75ab275e3c55c268e80ec96c07303
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha07		e47e8ce5cfc75ab275e3c55c268e80ec96c07303
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha08		e47e8ce5cfc75ab275e3c55c268e80ec96c07303
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha09		e47e8ce5cfc75ab275e3c55c268e80ec96c07303
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha10		b4e4b4a5448efa6b7eec8b3f6ed770bf12fa9594
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha11		b4e4b4a5448efa6b7eec8b3f6ed770bf12fa9594
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha12		b4e4b4a5448efa6b7eec8b3f6ed770bf12fa9594
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha13		fad5ec2b81c6afc01f631e0fecee9a52ae7825a1
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha14		b4e4b4a5448efa6b7eec8b3f6ed770bf12fa9594
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha15		b4e4b4a5448efa6b7eec8b3f6ed770bf12fa9594
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha16		b4e4b4a5448efa6b7eec8b3f6ed770bf12fa9594
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha17		b4e4b4a5448efa6b7eec8b3f6ed770bf12fa9594
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha18		b4e4b4a5448efa6b7eec8b3f6ed770bf12fa9594
com.attafitamim.mtproto	buffer-jvm	3.0.3-alpha19		fad5ec2b81c6afc01f631e0fecee9a52ae7825a1
com.attafitamim.mtproto	buffer-jvm	3.0.3-kotlin19-alpha10		e47e8ce5cfc75ab275e3c55c268e80ec96c07303
com.attafitamim.mtproto	buffer-jvm	3.0.3-kotlin19-alpha11		e47e8ce5cfc75ab275e3c55c268e80ec96c07303
com.beetstra.blockbuster	blockbuster-iosx64	0.1.0		N/A
com.beetstra.blockbuster	blockbuster-iosx64	0.1.0	metadata	d6027ae43ee6e0dda45aa082f05ac74135ba51aa
com.bloxbean.cardano	cardano-client-governance	0.5.1		e36aa21ad95a39f3416a75c8cc3163796afc70ec
com.bloxbean.cardano	cardano-client-governance	0.5.1-preview1		198a54789e6966e6aad6e3007c238a823de33bfa
com.bloxbean.cardano	cardano-client-governance	0.5.2-preview		b2708ba3def2b50f5ff63f92af9c7f1c658c3939
com.bloxbean.cardano	cardano-client-governance	0.6.0		c43f0e228f2721e572a408674065b5a1128decc7
com.bloxbean.cardano	cardano-client-governance	0.6.0-beta1		31154d7d9a950c0dae8bf9a6f1a1428b43ae4999
com.bloxbean.cardano	cardano-client-governance	0.6.0-preview1		45480952f10974c9cabc5aaf5ee94672e730aaff
com.bloxbean.cardano	cardano-client-governance	0.6.0-preview2		f00ad46e6a1d0cc2e95568ac9ea6675f61c3fdc0
com.bloxbean.cardano	cardano-client-governance	0.6.1		87248221cd0785ccc886c4768a1dcd4a0b872fa4
com.bloxbean.cardano	cardano-client-governance	0.6.2		c5730ccfbd4a4adea9a52c053d0cf0ea1cbc7aa1
com.bloxbean.cardano	cardano-client-governance	0.6.3		c4016943f81141e51da32f528873ddf04c2acaea
com.bloxbean.cardano	cardano-client-governance	0.6.4		7bbe1a9c4319c17eb447b7772eff6bbc2cd2b280
com.bloxbean.cardano	cardano-client-governance	0.7.0-beta1		4f05cfbcf3b46351d5c6ec252a177757a33af7fb
com.bloxbean.cardano	cardano-client-governance	0.7.0-beta2		fed24cc0f2ca9caf71540f5cba7b0bb9b820a08c
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.1		0404e7c86fe204233dfa35248f449a2cb40e6851
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.1-M5		c7b2b2915a32edb33fe212b1afa6dd86972686de
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.1-M6		5404314d3ad2731bbc6f2f22d71f960d564cd71f
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.11		3ee857f0dfa98c081496e42534e98cff7195e085
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.12		bad63b8a22f4377b6f77fde68abc8ea8eaf88fe9
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.12-M1		75af72324ac774334d45a8eb6d1ff3c25d1d8d6a
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.12-M2		7262205a5c1ed520061cf2d5d1e04d17dd7ae05d
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.12-M3		776f16eabe9a2356b2be717ebd08d3225d0263ff
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.13		fc396796f55482143af82100e66c156e41a6da8a
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.14		a7789081277a8ba23de9b43ed589721d8431ba9a
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.15		e5fc19901d498213f3a555a73763ed2ef4126208
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.16		d3f28c5a717367299de0dd63a3d3a70ab48c3ed7
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.17		e3f20db633384349caae2d38be37cf2b9e489092
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.18		889fa407663062341ce9654ae2e56d277f51c33b
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.19		0f0a462d53340d13d342f6e378a017ac72ab9204
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.2		b7647bd4478c3963f87183e6a4e4a567223fa1ad
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.20		8fd9d559612b351100ca35d27fa8dd883ae2e6d6
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.21		4111d6a268bfd5a478b8041c4d7df271ae336fc3
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.22		6132bade972aa4045adf91a463b5bee461825d67
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.23		4212b0e69ca7c99c91bbecee721dabcad7a91bac
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.24		7b47324a050f97be22d6dca657cb4d45b5a5935e
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.3		2399295e38d2d67d9980151411ede72a27d6c39b
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.4		f9448a50cc1d72f1c794b17c5051f70aab846020
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.4-M0		a05cb514ffd93f34200ab53d48fa5aa973af3904
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.5		788bf7927a5c9f817e3bee3ae40fe998baa1e4c4
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.6		cb2e25a81913233d4772c1e18c1bdbbed1bd8e1b
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.6-M0		c2ed35171921225814a843ea56bf82fc38878f5f
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.6-M1		739340ef51f971946b58e23dc6806e5885d0bf36
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.6-M2		e57ae755578c19288084761cd6008b905bde2bc4
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.6-M3		640d567cd8a62282c90a504740c6cb107b913412
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.7		49ae48e122fb21cee149d1dd04c9648da1c3243a
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.8		8f8d2c4d25c22a6b70d433f6cdb8f81210dd373d
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.9		8aa7ca188f33c7867b97bcd7feb21b02b6b3215d
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.9-M1		57ec337f7580d0d2d9bbbcfdf7cf149908134a17
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	0.0.9-M2		de39b71a588410e0c65c1fdeba6bb840aded974b
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.0.0		44f9610329c6807b0722221a3f5e467a0018922d
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.0.1		b7f202fbda3c22edb38e9ba9f6e659d319fad07b
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.0.2		3ed8cc433bd348e24bab1364957b092d7d47c80f
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.1.0		3c6ed494256adb70188d9e2a56586bc6a2e07ad8
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.1.1		40a482fe19b0861a52b7c491d940f02146722114
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.1.2		2e3f91d5a2ee3291a753d77740b637bd2a961075
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.1.3		0735e9f43463292c827e7df299bd178708145bf5
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.1.4		780e4548a4048dbcf766d325d6106c4a9c87715e
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.2.0		613fc1818602be354b1ee75400e78ec413a7c41e
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.2.1		beeb82c7c3d8660e46f7586efd803307bc828f17
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.2.10		b7913fe33a0422d11a6ed50b6397f28d85f5812c
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.2.11		61b37ea32c5fd28928a33ab9e440c3abef1c1eea
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.2.12		163fb388790a054118d061718bbf1ab2d8e1b1c5
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.2.2		1885b966b3388609f93dc59f82e462df795ffab9
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.2.3		4eaf9c4791fec97cf699478c3947d32744352b81
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.2.4		f1e6d436ce9d479af52f3948212ebd49e8c81cdb
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.2.5		15526df6a1bcb452c5db229a08e97f5e78046b7c
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.2.6		58a84bb5753868d3635c622afa596193124321f2
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.2.7		d9751274b8663542c73fd05b9aee7851f6044e0b
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.2.8		0583e29451c5f6ce63234fbe785ec88ddb24ed22
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.2.9		e88454942f1ecda96c157e10b5c494831b2696e0
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.0		bea0750a76d2bca18b46bc9ccc866b476900b4f4
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.10		a886de464564b9e80148ed6f82b0475bb676c462
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.11		12f7785c75ecf326ab9f6ebeabdd360b895b2f72
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.20		3d4ae654f8d92a0f59eeccc22ecf4d9c92d6ca49
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.21		ffd2c884c8dfeb7b3c3e7afc95c13ea9a35c37fe
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.22		965ed560ff89c8b809fb8a384841d0cb2de9d2c9
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.23		b0696da229fdf416a353873a6455589565e587e3
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.30		1f9d7a942a4178c61ef11f09762644ab84e06fa1
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.31		0365cef38485ba7099f1cf882c6589b816be7d66
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.32		bc7bc265b0469c6926e35d94423b1cb3fd797042
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.33		61f0cb09fa4004e7088d6919c7d42ad5667788e3
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.34		32fbd36b119e3a95c2f1b91257e2c20bedb31a4b
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.35		c4d473963d9d0fbb04efaaeafbbbc8583f84cf35
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.40		cc233d4dbb4bae11bb6b83262f234144cf1b6482
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.41		d736406009272e76560b4c7a59f610239be3a554
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.42		589812362ef60401dc8b6872356d9ecd1ab04e16
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.3.50		eaec58f1a8aaba1481d0777f41d9eea005d38bce
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.4.0		b65ac455ecc3b0b11367a92363e87dcc9f210ae3
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.4.10		dd0cc9abffe1fb8f709b1eb32a5eba836b1e4f87
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.4.11		ebceabfd0c8f54454e08b7721419dd8a3c66f2b2
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.5.0		bf2ae2e9661adca918496b4c06d2a0ce584cb894
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.5.11		604faf22bc9eb04764e864019fda9b8cb5da3cb1
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.5.20		ee50e761840895f5a611f5f6d94677b11433519e
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.5.21		3253b08f64d3110a78adcaea038094e4882eb865
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.5.22		c609dc95df8f787b4ac760e40487a024a701cbc0
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.5.23		198b3d7fd0c4d13589555f1aaa938aa5f946338f
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.5.30		6fc224fbae25bb5b40ffe363fd89672ea9c89179
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.5.31		5283859e4dd8c5a443a444fd571809ce27ffe83e
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.6.0		797a6fbc54de81ec5508a999eaede2f8f4e7bdf5
com.bybutter.sisyphus.tools	sisyphus-protobuf-gradle-plugin	1.6.10		27e64d4dc6ebf915e9978f80a47d6eb300edb4ba
com.ecfront.dew	cluster-spi-redis	1.0.0		58487d6d7f4d12f0d0bd4a648b7fc049ec93501e
com.ecfront.dew	cluster-spi-redis	1.1.0		b9da9f950edd4db1f3f711cc340e6b813c84233d
com.ecfront.dew	cluster-spi-redis	1.1.1		a262a2e0592af76f2775eef5375dca2b8b5e577b
com.ecfront.dew	cluster-spi-redis	1.1.2		65a6d4a29362847472d0af707cdce5b0483a4b63
com.ecfront.dew	cluster-spi-redis	1.1.3		5f4a22c2a679b5ed17cc2a993f70c099d207d83e
com.ecfront.dew	cluster-spi-redis	1.1.4		3eece017fa08959c7309fdd55b3ec5bdf99e82c8
com.ecfront.dew	cluster-spi-redis	1.2.2-RC		bff512c9e7d385173cfdfaca4ff41ae2f1fe58c5
com.eggcampus.oms	server	0.3.2		31e75591de8d076fa7d378822184389d548b424d
com.github.filosganga	geogson-jts	1.1.100		41fbc97cf0c203ad79b443e21c75a8f43a974155
com.github.filosganga	geogson-jts	1.1.51		916fce74ffa201a4df5fa653284c4eec45f5ba4b
com.github.filosganga	geogson-jts	1.1.57		4ffc0201453bd726845f6aa54b751e2c96e185e7
com.github.filosganga	geogson-jts	1.1.72		7dfe3f116f189cc50796ce62f0a057c00a84d89f
com.github.filosganga	geogson-jts	1.1.96		6b231491dce0b4c6d60a57c9b9b0d8e96594f3b2
com.github.filosganga	geogson-jts	1.1.97		66aeae9a8f462729a4ce204699937a0f49f93597
com.github.filosganga	geogson-jts	1.2.21		e0a60529064ba5388ec0586aa179d49e089d7a6e
com.github.filosganga	geogson-jts	1.4.0		269f9480705c63ee63aeb19eb20084b50760f9ee
com.github.filosganga	geogson-jts	1.4.2		f3676a8c6770370f21ffacf606d95b7990207c76
com.github.filosganga	geogson-jts	1.4.26		2adbcb6af439a567f38064f2e421fd157a77d6d5
com.github.filosganga	geogson-jts	1.4.27		6d4b357ffc4cfa3474cb07a47829e467c3aa3bae
com.github.filosganga	geogson-jts	1.4.28		5a54a7dd2c396ada9213803eda0f5104c4a5997a
com.github.filosganga	geogson-jts	1.4.30		3503dfb075aadb4dbd274e6a23d1a306f90edc95
com.github.filosganga	geogson-jts	1.4.31		bdf9b3e39f565a9e401e581d5abbd86fda025c92
com.github.galigator.openllet	openllet-modularity	2.5.1		53ec3bb010ae81d4dfff7a6d1a3a18652c648548
com.github.galigator.openllet	openllet-modularity	2.6.0		72b6aded78eafce6e2dfd34aa95fd7b5816dee47
com.github.galigator.openllet	openllet-modularity	2.6.1		20c166fa907c6ad0885ee75930027570b7e4d056
com.github.galigator.openllet	openllet-modularity	2.6.2		f6bd8f28c63ed73e3e10966e6c217498ed1aaedf
com.github.galigator.openllet	openllet-modularity	2.6.3		407d7478cee7c8c4b09457ba59b84452f6601ebc
com.github.galigator.openllet	openllet-modularity	2.6.4		1d4dc3a7aeea4f1502f8d8265189877b251bc89c
com.github.galigator.openllet	openllet-modularity	2.6.5		d0da8d76fc1923e2e808f874cc8147b00c625e00
com.github.imaginary11	common-util	1.0.0-RELEASE		3665ffc1af257dfcd8f53fb62f9cd89122c1c121
com.github.javadev	phone-utils	1.0		f851ed6dc6f956c03f39bfb084d81e4deb5ab6fd
com.github.liuyuyu	dictator-spring-boot-starter	0.0.1		ba833d770f3a2a40b0c226ec7cd1aa45b33338a4
com.github.liuyuyu	dictator-spring-boot-starter	0.0.2		25b5820741a4313f44f87f039cfea37e659e1dba
com.gojek.parquet	parquet-cascading	1.11.2		ff1c7a684d7492133f4cf1de802f3dbf5c2bbc9d
com.gojek.parquet	parquet-cascading	1.11.3		81775e67fc4e9d553f64d0b7ecb4325cb4548f2a
com.gojek.parquet	parquet-cascading	1.11.4		53f735a24fa186d7c62ce06d3c188578c89b2e57
com.gojek.parquet	parquet-cascading	1.11.5		714ab0d95e59ff5a02e80ea44c71974dd977a4cc
com.gojek.parquet	parquet-cascading	1.11.6		5bc4b62fa87a5dc21bc84ebaed5a96995bd865ae
com.gojek.parquet	parquet-cascading	1.11.7		0edc8dd3fbf8afda722522cec4782fe48f7b44b1
com.gojek.parquet	parquet-cascading	1.11.8		36c39f8e0095e925bac6a01d3674e6efbe23e166
com.gojek.parquet	parquet-cascading	1.11.9		9864926f94c71ed1509ccd6a70134f67e22a311e
com.google.android.horologist	horologist-media-ui	0.0.14		N/A
com.google.android.horologist	horologist-media-ui	0.0.15		N/A
com.google.android.horologist	horologist-media-ui	0.0.16		N/A
com.google.android.horologist	horologist-media-ui	0.0.17		N/A
com.google.android.horologist	horologist-media-ui	0.0.18		N/A
com.google.android.horologist	horologist-media-ui	0.0.19		N/A
com.google.android.horologist	horologist-media-ui	0.0.20		N/A
com.google.android.horologist	horologist-media-ui	0.0.21		N/A
com.google.android.horologist	horologist-media-ui	0.0.22		N/A
com.google.android.horologist	horologist-media-ui	0.0.23		N/A
com.google.android.horologist	horologist-media-ui	0.0.24		N/A
com.google.android.horologist	horologist-media-ui	0.0.25		N/A
com.google.android.horologist	horologist-media-ui	0.0.26		N/A
com.google.android.horologist	horologist-media-ui	0.0.27		N/A
com.google.android.horologist	horologist-media-ui	0.0.28		N/A
com.google.android.horologist	horologist-media-ui	0.0.29		N/A
com.google.android.horologist	horologist-media-ui	0.0.30		N/A
com.google.android.horologist	horologist-media-ui	0.1.0		N/A
com.google.android.horologist	horologist-media-ui	0.1.1		N/A
com.google.android.horologist	horologist-media-ui	0.1.10		N/A
com.google.android.horologist	horologist-media-ui	0.1.11		N/A
com.google.android.horologist	horologist-media-ui	0.1.12		N/A
com.google.android.horologist	horologist-media-ui	0.1.13		N/A
com.google.android.horologist	horologist-media-ui	0.1.14		N/A
com.google.android.horologist	horologist-media-ui	0.1.15		N/A
com.google.android.horologist	horologist-media-ui	0.1.2		N/A
com.google.android.horologist	horologist-media-ui	0.1.3		N/A
