cc.co.scala-reactive	reactive-web_2.8.1	0.1		906e210cfef063412dfdcc32af1c350bae37f25b
com.holon-platform.jpa	holon-datastore-jpa-spring	5.1.0		2e7fb6c01ea2076067aa66c2179a43001dd385a6
com.holon-platform.jpa	holon-datastore-jpa-spring	5.1.1		5f8aebe90f2f7a59181a49ba225e89f14b47c0ab
com.holon-platform.jpa	holon-datastore-jpa-spring	5.1.2		af524fe706827131c00028dc390de51365762978
com.holon-platform.jpa	holon-datastore-jpa-spring	5.2.0		cc9e0d53e8f3a58fa6543981a2c33f6055a31254
com.holon-platform.jpa	holon-datastore-jpa-spring	5.2.0-alpha1		a65976d5d3ce5ddc7e2b363ef7ba35b3bea99593
com.holon-platform.jpa	holon-datastore-jpa-spring	5.2.0-alpha2		1b10ed8040bfe87eafe5f84156e08f7ea4073566
com.holon-platform.jpa	holon-datastore-jpa-spring	5.2.0-rc1		b1e86f1bf5813f0038ccefbac72da47e73dca78e
com.holon-platform.jpa	holon-datastore-jpa-spring	5.2.0-rc2		eab31cff7fb43ca3f04285d958ab4b0b4e54065d
com.holon-platform.jpa	holon-datastore-jpa-spring	5.2.1		c23554644d4234fc0565795b12ad150aba3199c7
com.holon-platform.jpa	holon-datastore-jpa-spring	5.2.2		40df945cfb476cffd1de413ce67d9d3158a74d68
com.holon-platform.jpa	holon-datastore-jpa-spring	5.2.3		77b77a3a1c92e109e0e745698b4cba235213322d
com.holon-platform.jpa	holon-datastore-jpa-spring	5.2.4		5e8790606d32b368d83a52419967618123b66a5b
com.holon-platform.jpa	holon-datastore-jpa-spring	5.3.0		4f09d7953d968c3d6c4902894b7f89c48ca28001
com.holon-platform.jpa	holon-datastore-jpa-spring	5.4.0		d012f943a846c327d31b54afca74995aebaedc21
com.holon-platform.jpa	holon-datastore-jpa-spring	5.5.0		026b8eb6268469fc13e2b9265a427fbe28f507a5
com.holon-platform.jpa	holon-datastore-jpa-spring	5.7.0		52ea6ecc2254591d9ea408a1e1756d4db7b34225
com.naturalprogrammer.spring-lemon	spring-lemon-commons-mongo	1.0.0.RC6		84dbac1363fc5b71357da886c17ded7b4fb27d01
com.naturalprogrammer.spring-lemon	spring-lemon-commons-mongo	1.0.1		bd6eccf7b7c0d4e6d7848d829724b62bbc766573
com.naturalprogrammer.spring-lemon	spring-lemon-commons-mongo	1.0.2		2cc4a0746c3125bc04008f9636886f695f3e86b1
com.ning.maven.plugins	maven-duplicate-finder-plugin	1.0.0		97ddb73746a06db84fd06417aa090b7e6dfe6708
com.ning.maven.plugins	maven-duplicate-finder-plugin	1.0.1		50f57675ba6699e6cbf28e4bc4f05feeb5741cbe
com.ning.maven.plugins	maven-duplicate-finder-plugin	1.0.2		01bd2ce049451a3cf7f31e9b3115cc0551d3a59c
com.ning.maven.plugins	maven-duplicate-finder-plugin	1.0.3		82f799d99b28a53cfb255d6877302f6f662b58ae
com.ning.maven.plugins	maven-duplicate-finder-plugin	1.0.4		45f4a13c0b7fd08e0790a34830bbdcbcce02788e
com.ning.maven.plugins	maven-duplicate-finder-plugin	1.0.5		751ee9e25798c981191380636dd65dd58d9d5043
com.ning.maven.plugins	maven-duplicate-finder-plugin	1.0.6		ea0622c205248a83af39fe53fc68f8bf37a2f2d8
com.ning.maven.plugins	maven-duplicate-finder-plugin	1.0.7		68bf7e52e3c142bffc1a7a60ad187ab634ca521e
com.ning.maven.plugins	maven-duplicate-finder-plugin	1.0.8		ef75a9173252b9d027bdd616a11cac99ebefbad0
com.ning.maven.plugins	maven-duplicate-finder-plugin	1.0.9		30c5b532d509f725651309d8083893d1af4a7f3f
com.pep1	pep1-commons	0.1		477f4e8ed55f6b7c6be94a526fe81d8e9b8c51d3
