at.a-sit	grapheme-clusters-mingwx64	0.0.1		N/A
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.60		14e24fb06999189208ad787c00ec640d06ea8983
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.61		479be7d8362c3fd1b9d4d21e0475e3a2fb6c061c
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.62		863261cf0d6d947b21889f42fe5fbed8ae2ab920
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.64		b1ecbf8d8f0ee0f3b2bf414078c8bd939b99bdd2
com.flowcentraltech.flowcentral	flowcentral-jetty	3.0.1		4c9dbf2770b009cfe1452360909d0bdc33f7ac08
com.flowcentraltech.flowcentral	flowcentral-jetty	3.0.2		f7e1665383cf55e19cc6b09047a7319a07e857d8
com.flowcentraltech.flowcentral	flowcentral-jetty	3.1.0		2dd24f99756418dfd9896a570b29dc2aa4839a96
com.flowcentraltech.flowcentral	flowcentral-jetty	3.2.0		c0a7a57f538e88d5b2a5e19e249fb93dbde5e5ac
com.flowcentraltech.flowcentral	flowcentral-jetty	3.2.1		a3e6d68228eb82ad05ffc92a1e8a77220cc611e0
com.flowcentraltech.flowcentral	flowcentral-jetty	4.0.1		c935530897d56e9dbf1eebbc26ab75756c3a6cd9
com.flowcentraltech.flowcentral	flowcentral-jetty	4.1.0		b3e116317f24aab8d6ecb814dbc22004fbc2506d
com.fluxninja.aperture	aperture-java-tomcat7	0.13.0		8900001e9ef81eab2dc01e77cc8731a22232dd8e
com.fluxninja.aperture	aperture-java-tomcat7	0.15.0		adeb5ee11834bbb3112eed1ced2deeebd7fe99eb
com.fluxninja.aperture	aperture-java-tomcat7	0.19.0		d07b1cfe280513b6c9cd765b58ec3ad0fa411491
com.fluxninja.aperture	aperture-java-tomcat7	0.20.0		b9e19fbc14ff7c2d82f5968586c034638a0298b2
com.gitee.ts_ohos	VideoPlayerManager_list_visibility	1.0.0		N/A
com.gitee.ts_ohos	VideoPlayerManager_list_visibility	1.0.1		N/A
com.github.almondbranch.command-line-parser	command-line-parser	1.0.0		1caa29c5c8c8711c929c4efb59ea288fdd2fb5a1
com.github.axet	wget	0.1.10		4aaedc7479d328bf3429aa7b416cea60d46ca24b
com.github.axet	wget	0.1.9		eb15eb221f80483c0a82a5ec22e38a3949af2957
com.github.axet	wget	0.2.3		8266b7616865ed8fc12f716cc890334ebc61542a
com.github.axet	wget	0.2.4		b49e82a2e41a6e6ebf87a6dcda1bbbc84f1226d9
com.github.axet	wget	1.0.0		1b60341585481bd14cc0fe9e0551604837519afb
com.github.axet	wget	1.0.1		b1052fd2dd9680bacfe2aad791c5e0f9b4b8b66a
com.github.axet	wget	1.0.10		19b4ba9760d00a29c197b3237a1139851850242c
com.github.axet	wget	1.0.11		f4bc1c88fc49b91bbd24ada4706ceef7131b5f79
com.github.axet	wget	1.0.12		e543134c99ef4ff1ea114b7e3519f33056b8e935
com.github.axet	wget	1.0.13		7cf686e72f7f3dec87edf6f1417d786f22134c71
com.github.axet	wget	1.0.14		ade03568905fbce4d6f07d167ff4387fa701f9d0
com.github.axet	wget	1.0.15		21f8038e64df25888e00ccafcb65dfff9c5f7477
com.github.axet	wget	1.0.16		fa314b25da449069997456cd0f490c396c47680e
com.github.axet	wget	1.0.17		a44930a5bf721478881f772f19dfa450c57c3871
com.github.axet	wget	1.0.18		1a6445ab84920032c17023e26866276fb8a8df39
com.github.axet	wget	1.0.19		dcfb4872f04e3fbde78bef3187021d23830d1b44
com.github.axet	wget	1.0.20		c55d1f57355f150448fc218067be03bfc219bfbb
com.github.axet	wget	1.0.3		6896cda62a37be767820151edf388c0fe801cb32
com.github.axet	wget	1.0.4		1a5000127719d9aeb8ef42bbadaf8ef06198ef7e
com.github.axet	wget	1.0.5		037dc2430e303875ac956405a5ad0222dda65825
com.github.axet	wget	1.0.6		595f6d89beaabc6827a57df9f3fa6467cf9c5bc7
com.github.axet	wget	1.0.7		6d07d3a782199f74252420068583350977412582
com.github.axet	wget	1.0.8		62aa09f242c5ed182a49486589cda3faaf7ea2ce
com.github.axet	wget	1.0.9		4bcad87d9ae4621f182710cbe2840726a4397210
com.github.axet	wget	1.1.0		d5aa3b40b03e7f1363309871bf6bd2ebe59e939f
com.github.axet	wget	1.1.1		0ac57d1bee8f694263a5039208c56c14efb5f886
com.github.axet	wget	1.1.2		de7f15005445a02600a91cefb691af5998e01a58
com.github.axet	wget	1.2.0		1f5a9d4064178c65459a8cb208881cf4aed154ef
com.github.axet	wget	1.2.1		15e77b38630b151f86e9920ad431e375c3f713a1
com.github.axet	wget	1.2.10		483811a365f705b0348434a9b8bfab45c1815867
com.github.axet	wget	1.2.11		e8d8100244ca05f3add7c664b22d9067a1fa3049
com.github.axet	wget	1.2.12		e9a2759c435f9d9d8c36fcaea89e4391f1bca946
com.github.axet	wget	1.2.14		18e94dd573e7d85d7c1cc82cb7e9adbfdb85cee6
com.github.axet	wget	1.2.15		c6480606ae9f74a05e074412dd1ac539996bb8ee
com.github.axet	wget	1.2.16		878764db78bfbfdc00036291618600fbb7a317ef
com.github.axet	wget	1.2.17		b3cc7002ffac7d08b4b8468fa645dff7982f5394
com.github.axet	wget	1.2.18		7a34ba290d3c858f8348a302e36169ffca2ea000
com.github.axet	wget	1.2.19		cc7e7bd685b99961f8803c0886d65cadd1a2f3ab
com.github.axet	wget	1.2.20		2328bb8a95b8f1d70aa3ac6de002f3dddcd0fed3
com.github.axet	wget	1.2.21		cdd70fb96af139d22d7c3cad31f464ec6d0029a6
com.github.axet	wget	1.2.3		a1bbdcd48a8a01a4be7ccbd315ecfeb8145605ce
com.github.axet	wget	1.2.4		049ceeb220b821e0985436a4c7c6e35d353ec589
com.github.axet	wget	1.2.5		c0293dcbc2bfbd5101adf6937c1df2d2f942699e
com.github.axet	wget	1.2.6		ca542d6d54dbb35f972fa14f4784d97545e531a6
com.github.axet	wget	1.2.7		6e133c67b50dffcae7df60d905e37396ace5bfe9
com.github.axet	wget	1.2.8		97d85e8e638f70f4e5ccbd604b6471f745f818c2
com.github.axet	wget	1.2.9		6ea79fa68eeb214b47fdd2eca8dabe80798e23e6
com.github.axet	wget	1.3.0		458531ae649c416534b989400171a89ee879f917
com.github.axet	wget	1.3.1		0549a262188c5c02684c86b18e5ff5ac8709c328
com.github.axet	wget	1.4.0		59736c3fd554950ef320167688b433ba24a16cb1
com.github.axet	wget	1.4.1		1cab21b4b036bc5814f182c6ccb98630e9697710
com.github.axet	wget	1.4.2		46fc3e1a69931987d41818635964ad9f407a3b1a
com.github.axet	wget	1.4.3		049b15efad791056b2adb9dfb13d9c599fced147
com.github.axet	wget	1.4.4		769ec3c6395efd56800f4299fe64f9c10ad88744
com.github.axet	wget	1.4.6		8664ba1fdf776702a8d72ede820bdb239fa351dc
com.github.axet	wget	1.4.7		017827fbe89ea3848e61b488342328c8658e576d
com.github.axet	wget	1.4.8		3dcc02060f79211c3653f712d1714c0f1b8a8ec3
com.github.axet	wget	1.4.9		535dd20e2eb0a3c4ad7869b2a7a09d9cc768bf25
com.github.axet	wget	1.5.0		1ec04a4e1f0f7656937ee6089cfbcca2a20a84ac
com.github.axet	wget	1.5.3		2f68bcbf8adf7afc8029d9b687309fddba298e83
com.github.axet	wget	1.5.4		4c6f180c8eb8c9cef2cff0d091f32115c3e1ade9
com.github.axet	wget	1.5.5		50315183da2b166e425a886cd567bb999f3d4e31
com.github.axet	wget	1.5.6		4688061e67901f47e3ad699eca10692377b9234c
com.github.axet	wget	1.6.0		be7df3b3034cd632e953740c07ba2ec4fc31bc0b
com.github.axet	wget	1.6.1		064a79357f473961930b70e4e3db2809fe9ce99e
com.github.axet	wget	1.7.0		931545674a9aa002c549a5b406217cbee6d78875
com.github.riprasad	single-module-project	1.0		4253e32c8bb8cc3df7a6514c6d144e464ec6e028
com.github.riprasad	single-module-project	2.0.0		b8cea471616443f72a33f59af67d07ab5281e180
com.github.riprasad	single-module-project	2.1.0		66c652ebf0819c945ecc6991a56d448e4d71af2e
com.github.riprasad	single-module-project	2.2.0		fa7af4d6112ebaf80592a16bd30987370a5429c8
com.github.riprasad	single-module-project	2.3.0		6bf7bd6f142f38bb2867eacc5b330d1aae2edffa
com.github.riprasad	single-module-project	2.4.0		7c1eb078c9e74dc66d5740599ccbb0e06d7b2793
com.github.riprasad	single-module-project	2.5.0		d2129656b721adc6b71508f553764edb4685fc55
com.github.riprasad	single-module-project	2.6.0		b48afe619754eebebb31d31772b80de617234e0c
com.github.riprasad	single-module-project	2.7.0		d0f4d42db6f0c69cf85aaa5672ed139e71d7ff33
com.github.riprasad	single-module-project	2.8.0		fb651e6759ff3233c400aa052bf6d2079617a924
com.github.riprasad	single-module-project	2.9.0		d6b69165cb9cd258ce0bd5dc37f84808d8bbcc72
com.github.riprasad	single-module-project	2.9.0	ourAssembly	1fd4713d94841c4364b1a563e87a65e0346bf836
com.github.xuwei-k	zeroapply_2.13.0-M4-pre-20d3c21	0.2.2		aba331951ca481c280006aefa19f98872b6934aa
com.gu	story-packages-model_2.13	2.0.2		93b101f3ff37e13c27f5450a8a85ff992ef50127
com.gu	story-packages-model_2.13	2.0.3		db0948e9f8dfae97ad534673f82a88afb2a88283
com.gu	story-packages-model_2.13	2.0.4		33ac26547cb5de91a78e9cc976d56c62ee47909e
com.gu	story-packages-model_2.13	2.1.0-RC1		086d8d9ed02e0ec6276479ac0342515e9966a31b
com.gu	story-packages-model_2.13	2.2.0		9c7f6fe0fe7a00113142f490a90cd42bdefa5d11
com.gu	story-packages-model_2.13	2.2.0-beta.0		1e5a6bc6743a2e8dda518c6064ed2285fcdc9918
com.gu	story-packages-model_2.13	2.2.0-beta.1		1d6114e9e80f1cf06e82c8516b09bd21e9757016
com.jwebmp.jackson.core	jackson-core	0.63.0.14		cac52d69d9eddf7026e07d8d2f3fd488f65489bc
com.jwebmp.jackson.core	jackson-core	0.63.0.16		abf49bcfcf540953ec7bf5ed4887908fa3b407d1
com.jwebmp.jackson.core	jackson-core	0.63.0.17		1906934c17e66f8a1d3f14017d17b568ab40b8f5
com.jwebmp.jackson.core	jackson-core	0.63.0.19		a48ea1756e549f5ecbcdaf320659feecb719548a
com.jwebmp.jackson.core	jackson-core	0.63.0.54		59b0eb470e01736faada3efc291c5aa9f9d91757
com.jwebmp.jackson.core	jackson-core	0.63.0.60		ea513e1b6e329d77e950bc640793dc89ee484a5c
com.jwebmp.jackson.core	jackson-core	0.63.0.61		79b01d22593937a8b24387d838d5b62b52e0355f
com.jwebmp.jackson.core	jackson-core	0.65.0.1		a9b2b2dacb09a2f0b7c9acd96e434332d3592922
com.jwebmp.jackson.core	jackson-core	0.65.0.2		d2a7048580182eb16c580be1dbb3d96b85377517
com.jwebmp.jackson.core	jackson-core	0.65.0.3		f370bd6420296729729685643ff2e7081081b7c1
com.jwebmp.jackson.core	jackson-core	0.66.0.1		9918eabbb8ecfa363798201050acc537d60d0813
com.liferay	com.liferay.aggregate.rating.apio.api	1.0.0		4f2effd28f9efe3b6dba7c85af2070b8a753a045
com.liferay	com.liferay.aggregate.rating.apio.api	1.0.1		ff59823d2ed7fff62b2ff071082a9863bfc4f8b6
com.liferay	com.liferay.aggregate.rating.apio.api	1.0.2		ca1c518af3e695a308fe1c339310cff1b2d77996
com.liferay	com.liferay.aggregate.rating.apio.api	1.0.3		2e6123b39272c034aa6248bdfde5bc241a7e4df5
com.liferay	com.liferay.aggregate.rating.apio.api	1.0.4		4f541151c7cf27ebc621fc52bd2563d35a79162d
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.0		263dde4b69bd7d67dfd3609592ecdbabd22feaf7
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.0	wsdd	eea76737c0f6bb0834344148f869706a8f1c4c2b
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.25		57b6f09e26113244a3f5bed3484ffc2236d4b458
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.25	wsdd	d937b505682d38efa523cbf980f03be74c1b2471
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.26		20778a3c4e9fed2a18c186d84a40ada229e5aa79
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.26	wsdd	02287b081751d8f4ed17da49f48951e5c5bc90f6
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.27		ce83c2ec2c7b149d5d04107fd83b626c6a914a3f
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.27	wsdd	d0ffbf7b1f35c99467407123e4e854a02f2c01fe
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.28		9f3bb8f07483268aa1025344f96837b967c1db25
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.28	wsdd	5164a25ad429a4b06ee8ebfb7ed1616a34d9d143
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.29		5457e7c5b9f561a343a27707c2242dc42b143cf1
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.29	wsdd	661147d48c9e2a1a0977cc6b1c8dd4c66b30208e
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.30		274acabd2bcda2238d776abdae7f764c18d96f82
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.30	wsdd	6198b904cd65b857fc467c8f12b4f5ba333487b2
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.31		d54f4c85c82cc80cd9917a1c435873b5523a69c2
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.31	wsdd	35f9c7974b5fd22ef8756e0786ff077fa1b6a31c
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.32		107b3e07243d4bf610e0bcf8a63d9efe840958c4
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.32	wsdd	525b1b344ae460e330f0a4f73ea6a30afff29336
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.33		f27da658494eef48f81d4cd2adcfa417361e3964
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.33	wsdd	7b15a7f7b952c7b7689b5b19712ae81492d89ee3
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.34		abfe04786ce1449097185b84d9ceb4e09c49d0fb
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.34	wsdd	3abfb4d1f80024d664ab70f986f0f515eecfdbf4
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.35		d764d6e02f22b9d00fd5da6a23a6d719b8afb0b2
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.35	wsdd	e1527df0f7dae68b8d4a7d1ac4049e7211f9de88
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.36		5a97545c6d00b335cd9b1ce3c24fd1ce807980f7
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.36	wsdd	ec8cfd23730ddb6ae1e8c7a0a73351710796e67e
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.37		22821aca164cb5a3f6ca1eeaad149435e64c0d43
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.37	wsdd	b6028a5c18a16ec2ce42a340fd4b1fbee277d1c9
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.38		f15ab8f3cddf30e82ca6c601e41dcb5dee3167e2
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.38	wsdd	10108b875df236a6b6253375cb8b8c8bff479b89
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.39		ddb53ccfbb0d69f98ced65d6c5ef9b1b2e69e9fe
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.39	wsdd	1ef5422765b150e0cb13a33d2dfe66c21b687d05
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.40		b613308f40316a8ad288eb64a4813edbd836ec1a
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.40	wsdd	d397bbdcc3c304264f3e8467bf6f06713110aa57
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.41		0eacdb6957850377276c176b73f2bff5125d06ae
com.liferay.commerce	com.liferay.commerce.data.integration.service	2.0.41	wsdd	1c2a1b0a9c0f285388b7c324089c1b53a4a49635
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.1		585aa65f7e90c7a0d0dfc1bf70ad66c3be1d9207
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.1	wsdd	b60b0338fa8cd4d8b01e0b770bb85fb0c1ccd75a
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.10		4a06807abc231133823847411c3cafb5815b2b4f
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.10	wsdd	3a6daedee98d33a882ef99dc9d04fe52d0e8f040
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.11		a3d801058d612b5f751a4a248a2deacceee0be61
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.11	wsdd	79ad2898d60cfdd34e22e87507bcddcae9c5fed7
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.12		ef699ba72d0d378168d53984d1ccd547f48298fe
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.12	wsdd	d47c05cc276dda2ed5c01a9691c0df707253e5af
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.13		7b0b769131366392dbe6270c85256806e1752580
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.13	wsdd	d3e4767b1fddde9b1bae9179d0762924dd4abaf8
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.14		a3874af16aa225846b388a4b832a39f2b39ff66d
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.14	wsdd	e0a70a5cd08d9e4907d4ba6d7c712d5a2cde988c
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.15		1d7a130e0f3bfaf8d365af781c83b93213aa72a0
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.15	wsdd	f0dec13953b868efb284ef7df55b678a6223f101
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.2		8d49bbc36f4bf3ba145585889dc4192c6565473a
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.2	wsdd	de5e4bf00526e219d5b620b265e0204a47c8fbc7
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.3		bc255ea80dd473dce25c7ccd679f2c083544efc2
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.3	wsdd	42ec8dd458ae95bdc872370cb98c19a86204ec44
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.4		455fe48635bf14b38bc1bf8a0c15dd0576e23ce0
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.4	wsdd	9fb26f6cd7e68f1d2f2a8103ce21458f236c76e9
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.5		acbd34aa9d28b408d8b4c8b16feef108ca4a25d1
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.5	wsdd	8e2982fc524c8df375ffb372afa89c9e56142abe
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.6		150f255fb4c0fafa3c0b9928cbccddbcda69a2dc
com.liferay.commerce	com.liferay.commerce.data.integration.service	3.0.6	wsdd	37172b425eb20caca6d9495e0b410b9296f340fc
