ai.wanaku	core-persistence	0.0.4		N/A
cn.hutool	hutool-log	4.5.15		c70a17d37c37a3a086558f4de3003ea7b9aa8a18
cn.hutool	hutool-log	4.5.16		5a551cb0c6bd81ee62693613edfa6b3b12efbc14
cn.hutool	hutool-log	4.5.17		40aaee56a457aab368cb2f40fbf36df67f368a35
cn.hutool	hutool-log	4.5.18		a21109b54cf952d36ec9d11b7592da493bd2ff3e
cn.hutool	hutool-log	4.5.2		7935b4a60ee0d77240dfb07812dd02bd4b289a96
cn.hutool	hutool-log	4.5.3		5ae48240fba701ec7974053963c673ba23400cd9
cn.hutool	hutool-log	4.5.4		271fb961a0dcdb4eb84293fc3700377dc598b244
cn.hutool	hutool-log	4.5.5		8a2972b95319ddd414f3f44822b33ba2b30d0586
cn.hutool	hutool-log	4.5.6		5c35449264021deada14cfa118ce58ecd1638d39
cn.hutool	hutool-log	4.5.7		f2e646385e4f1be45b225197845242772402af3c
cn.hutool	hutool-log	4.5.8		ddf1ef81a6c9550f5d239f208790de1d1dd25d5c
cn.hutool	hutool-log	4.5.9		5af520d8432de6543746e9c2c7ec9051f81a32f6
cn.hutool	hutool-log	4.6.0		930d615da70db616ddd196b39924ba832ada648e
cn.hutool	hutool-log	4.6.1		5432403ce4bbee3b1118a25e3cf9ae68ba7b09d8
cn.hutool	hutool-log	4.6.10		f72f40debb53259a54afad62a7d7012632874d25
cn.hutool	hutool-log	4.6.11		90a9fa6c9354e1a9256ae6b6685e7ed470d928cb
cn.hutool	hutool-log	4.6.12		81cf1042961a905cb3e43d5a8a654ce382e219c7
cn.hutool	hutool-log	4.6.13		6512b068a0d030c77cf3fe6601ff67021545fa4d
cn.hutool	hutool-log	4.6.14		d29c8b5101c6b6104e5498b53894466e63645531
cn.hutool	hutool-log	4.6.15		7aff5e0a430af2d04a2e7b89c9fb6cec3fcf1f37
cn.hutool	hutool-log	4.6.16		b21ccdec41b2d17757fafb5f4eb5a2b698080678
cn.hutool	hutool-log	4.6.17		881a3af0e312e982e49515da834b8f53a938ddb2
cn.hutool	hutool-log	4.6.2		ac995935f309fc1a534d245bcf0710bb45231f39
cn.hutool	hutool-log	4.6.3		cbc003d322f7054e05355fcc3754ce56811884dc
cn.hutool	hutool-log	4.6.4		a378e8a00dc7cf0c175eb9e15c50aac36e6ae337
cn.hutool	hutool-log	4.6.5		28c329dfc0a24526dbae50933602e550cc4e3e06
cn.hutool	hutool-log	4.6.6		92494be22fde28eaf6886f95cf1572f64a273138
cn.hutool	hutool-log	4.6.7		61058f6b316ca1b4e0f6f4cad0c97bd43312d4fd
cn.hutool	hutool-log	4.6.8		e272c35c0cc146d99cb1af2a1713110cadd9193b
cn.hutool	hutool-log	5.0.0		2dc148144c3f77e9e7c1210f46887b0719574b54
cn.hutool	hutool-log	5.0.1		7b62b167abae4ce7e51d08159574fee6d0599b3e
cn.hutool	hutool-log	5.0.2		a6baaa4e671efebae0a99bc98d88eac1716d6024
cn.hutool	hutool-log	5.0.3		d0a7f31e96f0e832967bfb3fb1f5b537c7086272
cn.hutool	hutool-log	5.0.4		3eec064b1d5f5f2e503618dbd6af003fa35c8637
cn.hutool	hutool-log	5.0.5		020f83e105d81bf252f893f5fe2057c4021e6e57
cn.hutool	hutool-log	5.0.6		9c1f409297f2cec570e33d21a5fa9e0bfb044e14
cn.hutool	hutool-log	5.0.7		fd44037614032501619ac55cfe0c33b750286b04
cn.hutool	hutool-log	5.1.0		7e6a62c5d00f3aa0633584c0b6f624890c613731
cn.hutool	hutool-log	5.1.1		f295be22e652b730bc39e78c698ef8dec8ace01e
cn.hutool	hutool-log	5.1.2		7b3b9a18f95cc6a5950177d7fd70902be2b1341f
cn.hutool	hutool-log	5.1.3		0a2e103e826eb220d74170ee78511145612f1aa3
cn.hutool	hutool-log	5.1.4		1e5a7639b619e3081503690410aa88d6060a8412
cn.hutool	hutool-log	5.1.5		8f4021f62395323fdb21b00a74221308ab5cba7e
cn.hutool	hutool-log	5.2.0		da33ce2e33c9ed102bd5f1c522063f809537df3e
cn.hutool	hutool-log	5.2.1		57c4dc6cbe3cf29900b96917399028d386dfe7dc
cn.hutool	hutool-log	5.2.2		e78379dcc4ca720e488502955b6a77e8bb91d27b
cn.hutool	hutool-log	5.2.3		2af8478dc1642f282e0726773b440c97d351ff56
cn.hutool	hutool-log	5.2.4		8c22ff3928e34b2827b8ff688150d66612cafdef
cn.hutool	hutool-log	5.2.5		be2743d979893ed1ddaf67f49a81c34449bb7924
cn.hutool	hutool-log	5.3.0		967c487eeaeda167dfeeae7bbd2acd6211af813f
cn.hutool	hutool-log	5.3.1		654fb4080f451fcd7d119cba61708184a890b930
cn.hutool	hutool-log	5.3.10		c2a53d9b735707473f9dcabfd5dcaadf5078ba00
cn.hutool	hutool-log	5.3.2		0543b289f01942fa9aa847126e1c7141647d2992
cn.hutool	hutool-log	5.3.3		0e8373e6c79a854dd604688e0fbc45b443cd4cb3
cn.hutool	hutool-log	5.3.4		bb1fbbbc677e303e2c4f4e0f2271ac6e23886418
cn.hutool	hutool-log	5.3.5		7240a9fe8c5a69f2895d0965dd696332596af5c7
cn.hutool	hutool-log	5.3.6		159761dc9ee8d3d74ef41ddd098564764123a938
cn.hutool	hutool-log	5.3.7		e85443b4d2ee0bc0eb939bec6d53ffd7693c0ea9
cn.hutool	hutool-log	5.3.8		c9ddc97f3f4444841cc9f5c93cb92670ab2c6402
cn.hutool	hutool-log	5.3.9		20b51306e2c2eed29146aa4203ec42a2942ac436
cn.hutool	hutool-log	5.4.0		f313cde30b449c618d6bd6a6a8d508721c95a454
cn.hutool	hutool-log	5.4.1		4e842a2a6ccabbfb77e14033b531fe59e616f71f
cn.hutool	hutool-log	5.4.2		621f46d50d3bec71bee81f80922e300a40550194
cn.hutool	hutool-log	5.4.3		834f9dbe2fa136fd49c9bd5afc28604d1403f243
cn.hutool	hutool-log	5.4.4		d07eff86bcbd6d3cb37db12065bc372c95867b11
cn.hutool	hutool-log	5.4.5		e19813b0a1569070e9df6a7db20b9b803d39e4a3
cn.hutool	hutool-log	5.4.6		6bb79a16a4a56cf18ce1d8a10d742e25b9227dc7
cn.hutool	hutool-log	5.4.7		673729ccfee6e4e1d387379d5cbea7fbd5d28bb2
cn.hutool	hutool-log	5.5.0		8a6d983f86db25e09de900d60c23b167616b933c
cn.hutool	hutool-log	5.5.1		7d8bc8dd3eecbb117215758daf3112db5d60467d
cn.hutool	hutool-log	5.5.2		7c835cc7eecd72075631a05d0814d41d122e6fd8
cn.hutool	hutool-log	5.5.3		707bd2b49ad7c20886fa0c2c4439383d4bcea924
cn.hutool	hutool-log	5.5.4		de7c6206f9b9d89c8647859b2049886c5c8a64ac
cn.hutool	hutool-log	5.5.5		7fc7654ce045cce790ec56653bf9507c6ee8d2ca
cn.hutool	hutool-log	5.5.6		deb30a40b64516ab3c928f09e7ad527e25f88883
cn.hutool	hutool-log	5.5.7		1c076e6f62cbc17761e509fd68db8387e01e6979
cn.hutool	hutool-log	5.5.8		22f96349794d2ec3a3d1fd82f3fd19b4834c2288
cn.hutool	hutool-log	5.5.9		cf99eafe741c94587fe381ccb8b71ac62b3b9cf4
cn.hutool	hutool-log	5.6.0		3d3fe186a345f446884ec9f833c89cfc61baee78
cn.hutool	hutool-log	5.6.1		26ba9fa5e750f4248b3d2a7247e8dad8accc7f22
cn.hutool	hutool-log	5.6.2		baff772f6d8fe4b8c08bd43cdf001d4268f286be
cn.hutool	hutool-log	5.6.3		8e4e3e5fafab9269286c02fc65466a47402e6c79
cn.hutool	hutool-log	5.6.4		c7eae1994c9030d63a8be5b96c7fec3d6c59f242
cn.hutool	hutool-log	5.6.5		ddf6cc982085314afd57746db868c265db45b88d
cn.hutool	hutool-log	5.6.6		a261780a8cb866d75c5f8c59d13d4a2d853d1b5e
cn.hutool	hutool-log	5.6.7		f173ef8d11bb34042fafa274de25abf4892dbf66
cn.hutool	hutool-log	5.7.0		d4c0afc1bd142f70bef3862970ab55aea07d9abd
cn.hutool	hutool-log	5.7.1		9e85944613e301d759f52e269ad0aa3aee5e5f8e
cn.hutool	hutool-log	5.7.10		86f50c16e111e86f7b489d16ced19bf8c259823f
cn.hutool	hutool-log	5.7.11		c5329b6bd09859d6e634101ff0e5c91e36eb6e36
cn.hutool	hutool-log	5.7.12		a813a6ead2c47582f9917b0411b0b3d3660991f3
cn.hutool	hutool-log	5.7.13		bc47e7d21be35a8eaddf76b78a81308fe7a1185f
cn.hutool	hutool-log	5.7.14		15ccc65f3e53b487318e7b432d267cc0f807e9d8
cn.hutool	hutool-log	5.7.15		c817f6b97a9748691b5d857aba1b21543dcde23d
cn.hutool	hutool-log	5.7.16		4a202b6bdeaa2c98d5faa85a387161a92772ca24
cn.hutool	hutool-log	5.7.17		11e55cc1cfb41d499c43eaede1fb25ff861d2dc2
cn.hutool	hutool-log	5.7.18		5a5fb2072d1053e8ea6e82b3330f4d91951db813
cn.hutool	hutool-log	5.7.19		a3ed26125c31f0d565b945f9ea73c5ae21b32068
cn.hutool	hutool-log	5.7.2		c99b52228a56a3c66997b82b3ed49c3b9b580a20
cn.hutool	hutool-log	5.7.20		529be9d3254cdd8826ad1b179cebf4b5403b3c27
cn.hutool	hutool-log	5.7.21		d52f14107ddf2166e6a821a14f2ae2a660d6c60e
cn.hutool	hutool-log	5.7.22		c39ffdb63168a4b504d144a1a0f814f985687b13
cn.hutool	hutool-log	5.7.3		87505ba0c4f02386905cb8614d2f9dcbb321df54
cn.hutool	hutool-log	5.7.4		3f2a0927535486a66d66687acb35d5c9f4b3c44d
cn.hutool	hutool-log	5.7.5		fed475809c50169aa6cbfbb67940f103745e6de4
cn.hutool	hutool-log	5.7.6		2c5b51af3aead3184ced2f5e4a222667812885e9
cn.hutool	hutool-log	5.7.7		8a2536ebe0ce2b1d837817873a504cf0b72130bc
cn.hutool	hutool-log	5.7.8		97cea23ef2cad04464c6edcddc94745f810c6579
cn.hutool	hutool-log	5.7.9		aa6e6e63785d3208a34ce94e69a2f9aaa47ac224
cn.hutool	hutool-log	5.8.0		57cf30fb151b964728497a3743cbf82e4a5743ab
cn.hutool	hutool-log	5.8.0.M1		0f58c7d315cb87480932539f176155a90b392c36
cn.hutool	hutool-log	5.8.0.M2		e50d2d8fb58ecbdf7a11ef4c960185a9c3445ed5
cn.hutool	hutool-log	5.8.0.M3		59da27cedc943a2e4852cbfe57e4012aca255347
cn.hutool	hutool-log	5.8.0.M4		58dd90dd46f73a09a0f635133f807578cd629fca
cn.hutool	hutool-log	5.8.1		96926638098dae145ff8f652dfad9849327eca88
cn.hutool	hutool-log	5.8.10		1cc5795eb4e9bdeca9167279b62b1d2276c21a04
cn.hutool	hutool-log	5.8.11		91d16dc88fd4c2b49c8d56b82ca8f38d64acd332
cn.hutool	hutool-log	5.8.12		bbb80ca50cb397a1785d48ef9bc2b902f605ba85
cn.hutool	hutool-log	5.8.13		ab1285f2f2dd884058a5710985ac9febb868321e
cn.hutool	hutool-log	5.8.14		f883d86817ab35b2de8eca43ac712c8a52cd6c14
cn.hutool	hutool-log	5.8.15		0084a6648cf5e403bea967ed8a616f12740325b8
cn.hutool	hutool-log	5.8.16		30a8105d702b8d5b3c981d8294f4c48770cc137f
cn.hutool	hutool-log	5.8.17		521946f842d656ffbc0eb981cf246a025c1a9b2c
cn.hutool	hutool-log	5.8.18		af99eda19321b27662d2fa500fb16ccab1902c2b
cn.hutool	hutool-log	5.8.19		cbfb0992fb3045271d1ee0e8a25acf94f8eb2b9c
cn.hutool	hutool-log	5.8.2		9b72283db8842d10a08712bc15d4752c06c3d988
cn.hutool	hutool-log	5.8.20		0b46b2d0b1e1e285cf0c4f03bc17aed96db3f481
cn.hutool	hutool-log	5.8.21		377e947c049b57f83cdcb797095a8a3a64961c61
cn.hutool	hutool-log	5.8.22		d35670766af03e37d3fd92fbf67ab34502b64e11
cn.hutool	hutool-log	5.8.23		9b4121f86f1bcb1d40b75d53cd029cc2adf06198
cn.hutool	hutool-log	5.8.24		c1b95256cfb65db05e48441d0ba07a865f6b20d4
cn.hutool	hutool-log	5.8.25		fb080fb879ed58ed67ef86f96c35bfc10959379c
cn.hutool	hutool-log	5.8.26		6bddab2e2b4636662accc492b98a23cd1d178eeb
cn.hutool	hutool-log	5.8.27		601c340cb1334fce0f8d4f4d00b91b3fbbc183c4
cn.hutool	hutool-log	5.8.28		e169ebbeaa0b6e55f091a68e340bc64a75ee7ab1
cn.hutool	hutool-log	5.8.29		fc1a7307ba55d2fe0138e251b2fc3d106586fd98
cn.hutool	hutool-log	5.8.3		2e37b98f9772a2db5906d99ddf5b7d3b7f76ef5f
cn.hutool	hutool-log	5.8.30		74bc430a52462f7bee3fdf95aa9ce48666530240
cn.hutool	hutool-log	5.8.31		212b828f3457919f65d48bd7fa704265e0e167b6
cn.hutool	hutool-log	5.8.32		6d6ffdb3939cea291fd829ea63417a078c4e75fe
cn.hutool	hutool-log	5.8.33		334ed514d03428d71fb1a4e28f57219dc5d01f6f
cn.hutool	hutool-log	5.8.34		801f85ed393f9c452ee4c0e24a186cb190bfc835
cn.hutool	hutool-log	5.8.35		1d221a8b625cb1f841e3251ac2266af61e54c640
cn.hutool	hutool-log	5.8.36		d25ac7e551a8d57c363b960120eb7da6e95305b7
cn.hutool	hutool-log	5.8.37		cf343a20d05dc631ae8dc5fe82c3f0539d53597f
cn.hutool	hutool-log	5.8.4		fe96a887bb4dbc561341f6b8559feee5d9424eae
cn.hutool	hutool-log	5.8.4.M1		0252a0557b2d67c38eac3ff34be7b40b9ad57829
cn.hutool	hutool-log	5.8.5		61324df7f089a3347e477262b9fd01e5304b2229
cn.hutool	hutool-log	5.8.6		1fbedec484728d8152e3df8c995f48033daa12fd
cn.hutool	hutool-log	5.8.7		d84b3c2b3af6927c04b6c2ae94fdcb8ab2cc2cf9
cn.hutool	hutool-log	5.8.8		65889db4eb9435639e704169c806c1d42d92cd9b
cn.hutool	hutool-log	5.8.9		762427e46209b37cdd5218384b27794936bb90ff
co.cask.hydrator	mongodb-plugins	1.2.0		793e05096afc8f2d3589bae9f870d665687a3ab9
co.cask.hydrator	mongodb-plugins	1.3.0		5710370aec42e940ff084c136e572c3af3529ebb
co.cask.hydrator	mongodb-plugins	1.3.1		14dc9630214af389c638fd548a5bc5de32d37718
co.cask.hydrator	mongodb-plugins	1.3.2		2e482e1c838ad8bb3b1837c173331cbb85ed04f1
co.cask.hydrator	mongodb-plugins	1.3.3		2bc3d7b033c93fa4ef89da9bde2ab1257dcaef32
co.cask.hydrator	mongodb-plugins	1.4.0		1cd71e068410d56065890aa4309ca984592be199
co.cask.hydrator	mongodb-plugins	1.4.1		c34de2670a8bf0a72803c86cde721c3d5b03d057
co.cask.hydrator	mongodb-plugins	1.5.0		1c6c1707c0da80411402397c3f212238d96b7beb
co.cask.hydrator	mongodb-plugins	1.5.1		9da14674da0f9879b246d45840ee7f1441d6df69
co.cask.hydrator	mongodb-plugins	1.6.0		aab49efb46b2c29c86a5a499168729e5055c8807
co.cask.hydrator	mongodb-plugins	1.6.1		20e8440387b935184a32cb17829b51757b997e5c
co.cask.hydrator	mongodb-plugins	1.7.0		d0c50792e81b5aeaeb388540dfeb5f79a606b443
co.cask.hydrator	mongodb-plugins	1.8.0		c0a6c36760e989acaff7559b1498e4f72808b3ab
co.cask.hydrator	mongodb-plugins	1.8.1		4935ba787741e73e6d9fe6e18389dea8264c42ea
co.cask.hydrator	mongodb-plugins	1.8.2		0dc97387e477d8c9b05530504e6e262c1887b7a2
co.cask.hydrator	mongodb-plugins	1.8.3		bcca3ac09fc7fd582dbc30bf9bf310ff9ea50b87
co.cask.hydrator	mongodb-plugins	1.8.4		59dd50d95fefad6967a885c477ff0be9891b7d1d
co.cask.hydrator	mongodb-plugins	1.8.5		641935fde197fd1ea578d227671049e60e7b371b
co.cask.hydrator	mongodb-plugins	2.0.0		6529ad6d17025051b57592f630560867484a86b4
co.cask.hydrator	mongodb-plugins	2.1.0		50993a3dc40f27318a8defdbf8493ae51dc6e7f1
co.cask.hydrator	mongodb-plugins	2.1.1		196371e15f7b5037d7cab80782a0a046835a60ca
co.cask.hydrator	mongodb-plugins	2.1.2		4fa8f65adf16401e275c991fba4f196de0fa0fdf
com.banksaathi.advisor_sdk	connectivity_plus_release	1.0.0		N/A
com.c4-soft.springaddons	spring-security-oauth2-addons-jdk1.8	3.2.0		205315c6ea1373b895dbf57059f8918b4d975677
com.c4-soft.springaddons	spring-security-oauth2-addons-jdk1.8	4.0.0		00886d130399ac1c17ae117c7019dad8c29c468d
com.c4-soft.springaddons	spring-security-oauth2-addons-jdk1.8	4.1.0		c8f476d49926bf7d648d1f70a264eeddcb371f8a
com.c4-soft.springaddons	spring-security-oauth2-addons-jdk1.8	4.1.1		be024e5ca3fdb6df499e384eab07688cbd22dded
com.c4-soft.springaddons	spring-security-oauth2-addons-jdk1.8	4.1.2		3a0efa0b52dde3a7e348ff098da5b752af37378b
com.c4-soft.springaddons	spring-security-oauth2-addons-jdk1.8	4.1.3		ebd7ef86844dd3592650a622dab41a334f1f0ccb
com.c4-soft.springaddons	spring-security-oauth2-addons-jdk1.8	4.1.4		d2c4e0730b47a017015221478db5cc4dd5b9f74e
com.c4-soft.springaddons	spring-security-oauth2-addons-jdk1.8	4.1.5		947f62293d618b27ee0cfac8507d6cb004071b56
com.daftmobile	efekt-datetime-linuxx64	1.0.0		N/A
com.github.cas-side	cas-x-support-clients	1.0.0		fee16d1ee1ae14429f51bff813ef4f894c88159a
com.github.cas-side	cas-x-support-clients	1.0.1		65550f370458d169fff3c8e52975e22acb8c1a02
com.github.cas-side	cas-x-support-clients	1.0.2		7e17d9e8d70add6f984010be2133cd97617e85a3
com.github.cas-side	cas-x-support-clients	1.0.3		f116d9c9dbf4277fc5a3485ac76553daa6a0e326
com.github.cas-side	cas-x-support-clients	6.3.7.4		1b7a48459d4d8cbe6f27154a30419b3e7dc31900
com.github.dirkraft	props-live	1.0.0		c83b0611e2b6faa5b5aa25a223738120fac92d0c
com.github.dirkraft	props-live	1.0.1		51d80403a9e1a1d7f073d446b761af51e73f86df
com.github.dirkraft	props-live	1.0.2		38225320e6f6c9bc1c53120483a69becc4f9f5f2
com.github.dirkraft	props-live	1.0.3		55ad47ef86b2afed8ef0f394e00d187b87c7b35c
com.github.dirkraft	props-live	1.0.4		38234856a6f09bc9e83e971101e463a15c4e7902
com.github.dirkraft	props-live	1.0.5		b1b90cd32c8fea0d6b627782cd9d4d14c3e7db7b
com.github.dwickern	scala-nameof_2.10	1.0		6714075c0e8afd84b05f0b74c9bf8efd74f65407
com.github.dwickern	scala-nameof_2.10	1.0.1		6836dcc92733bbb517f40301108fc268538dc5a0
com.github.dwickern	scala-nameof_2.10	1.0.2		3d6ec6787cde52378843d756e4489c32be1539ca
com.github.dwickern	scala-nameof_2.10	1.0.3		83b18a2f099679c2fe673f8a7d50bf7220390544
com.github.estigma88	jdhtuq-socket-communication-spring-boot-starter	2.0.0		f721e490a5461dcf012eb5695d98c02da81a9004
com.github.estigma88	jdhtuq-socket-communication-spring-boot-starter	2.1.0		657a3de6b84bae6e2e0ac98296f6e5a210e95c24
com.github.estigma88	jdhtuq-socket-communication-spring-boot-starter	3.0.0		f28f9b4cb2e6bbec40b3b0b3f4245be2f194fdad
com.github.estigma88	jdhtuq-socket-communication-spring-boot-starter	3.0.1		981033237b28b8803977e2c3349ce7990f7cc286
com.github.ibole	infrastructure-support	1.0.9		d6ab603384dccfa730090f56135e960935a950aa
com.github.ibole	infrastructure-support	1.10.0		47f778c021fc3116fefa2765be18702ce57a4d89
com.github.jameshnsears	junit-docker-http	1.0		9a0f00859e9c01be809b71f3ff9ef094052ed065
com.github.jameshnsears	junit-docker-http	1.1		8546f21715589c70e2cb23b3348dd5e8799eb35f
com.github.jiaqi0722	spring-boot-starter-mysql	1.1.1		3f66a498495f0a49255a1714c4ad25f428218137
com.github.jparkie	spark2cassandra_2.11	2.1.0		38ed04388ba9c81a1df0818de9228bcf64d99405
com.github.jparkie	spark2cassandra_2.11	2.2.0		a1fea18492cbecf13a60ce9c533f4d9aeba05ca1
com.github.spt-oss	spt-checkstyle	8.12.0		aac6b44dbba7af8065635bdbca64b58777f00b65
com.github.spt-oss	spt-checkstyle	8.15.0		a10950beb4ae4bed2395d7ef8e2aaec798e197dd
com.gitlab.summer-cattle	cattle-commons-db-datasource	0.0.1		fc0ce428ae1fba62eb878d5e5cd7febe1f43381b
com.gitlab.summer-cattle	cattle-commons-db-datasource	0.0.1.SP1		f94c2f9ce2b836b80f3499a520ad4032ee5081a1
com.gitlab.summer-cattle	cattle-commons-db-datasource	0.0.1.SP2		511f6435fe1c738f0c463969323a31f8e247b21f
com.gitlab.summer-cattle	cattle-commons-db-datasource	0.0.1.SP3		a712e8e4d6e361d64ac39a55cbeb4ec83995dfd6
com.gitlab.summer-cattle	cattle-commons-db-datasource	0.0.1.SP4		fbc85b12bfb135101c9fd9196dc17a109ef25408
com.gitlab.summer-cattle	cattle-commons-db-datasource	0.0.2		9a84c9972ce6f2a13fac9b804d13056271e923fd
com.gitlab.summer-cattle	cattle-commons-db-datasource	0.0.3		b4b1fd3c78c3c2acc8a9e0d47b82a81ff5c3e74a
com.gitlab.summer-cattle	cattle-commons-db-datasource	0.0.4		69d748a08b85202db68fff71d4045158b0d027ce
com.gitlab.summer-cattle	cattle-commons-db-datasource	0.0.5		35757c16db5f1a4a47e9452dcdac0bef22e514b9
com.gitlab.summer-cattle	cattle-commons-db-datasource	0.0.6		87f2ca017f0ff6b9bdfc1ddbdff5a49253f003b1
com.gitlab.summer-cattle	cattle-commons-db-datasource	1.0.0-M1		a397156464198e5416b39fdd8325c213f403f9b7
com.io7m.jlexing	com.io7m.jlexing.documentation	0.2.1		b4a953fbbb1b9f82660e1e5e9ef323b402f439db
com.io7m.jlexing	com.io7m.jlexing.documentation	1.0.0		2d8c0dad81ac539d1da9fd76be2569ff5c7586b9
com.io7m.jlexing	com.io7m.jlexing.documentation	1.1.0		bec96b457ddfe13cbb62e665ce8d9b25c2c2dade
com.io7m.jlexing	com.io7m.jlexing.documentation	2.0.0		7095348e4aa972f2937eba265e4292602f661fff
com.io7m.jlexing	com.io7m.jlexing.documentation	3.0.0		c0e9369990a856a203818f8619cf19222ec0960c
com.io7m.jlexing	com.io7m.jlexing.documentation	3.1.0		d173adea04b24768ed8668c756f0b6d7033ceb41
com.itv	scalapact-circe-0-12_2.12	2.3.11		aa95aa904a9c967e17d0dddb784def81f1a81bb8
com.itv	scalapact-circe-0-12_2.12	2.3.12		0b5fe36b688580b307ddbe4728cef05c222281e4
com.itv	scalapact-circe-0-12_2.12	2.3.13		1c1434f350ba6580f3bb610529a7cd8af78a3c90
com.itv	scalapact-circe-0-12_2.12	2.3.14		d9f9018b740b08389a2603bca5220ed3f893dd53
