cloud.altemista.fwk.framework	cloud-altemistafwk-bom-tsf-custom	3.1.0.RELEASE		N/A
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.4		611368679adfcf876fce3bce0137d1d698662a30
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.5		77d7dbdd86740fe38795afcaaea9977eb1120e56
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.6		b51055aca5c8276dc1936a50e1cccea45610da4d
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.7		5e2b51026e75c754f98362e641b744c41a4dbee8
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.8		43a3c2967731e38ce78dcb68573bbf3e1fbc9430
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.9		234bb6eaf5c971d257eb738efc47de69c2345ef3
com.christophsturm.restaurant	restaurant-jackson	0.0.10		1b92be92f748afeec5f8216076a117ff7ae919ba
com.christophsturm.restaurant	restaurant-jackson	0.0.11		669a57ddc4be45c0b9c350683d1ce66d2f5d6433
com.christophsturm.restaurant	restaurant-jackson	0.0.12		8fa34f947ac99c99252966124c0a55e06469057d
com.christophsturm.restaurant	restaurant-jackson	0.0.3		fa8ef51c39a27023e21ea31c8ff522c4f80de253
com.christophsturm.restaurant	restaurant-jackson	0.0.4		200e8f4a62ef402baf345e5d45c829060d21938c
com.christophsturm.restaurant	restaurant-jackson	0.0.5		7e24b2e2ade4b6157e939eee9f0d17c701702cdc
com.christophsturm.restaurant	restaurant-jackson	0.0.8		c7cf2df759fa34f30357e9798f8df6d5c0dd18d9
com.christophsturm.restaurant	restaurant-jackson	0.0.9		b2139758248daec655aa9055629dc6387bbef3b3
com.cognitect.aws	appintegrations	810.2.801.0		f144e865dea57dc7a585759da31784817b4b05b4
com.cognitect.aws	appintegrations	811.2.958.0		8fd71cf09d4bcc14fa0301ceac10bdbec56be77b
com.cognitect.aws	appintegrations	814.2.1008.0		68dc9d3fabab114c4e74f489c62b54be091a9ce4
com.cognitect.aws	appintegrations	821.2.1107.0		2ee7c84ade29fae47249db74a062e9ce734e0d5d
com.cognitect.aws	appintegrations	845.2.1345.0		350eb6a14eec92c9f7bdb85d7c6bb1732ad9ef34
com.cognitect.aws	appintegrations	847.2.1365.0		edcab8d8da737144c02a4f20337c505957fac9d8
com.cognitect.aws	appintegrations	852.2.1525.0		23003abd93faa9cde55a29285177b792fde98d5f
com.cognitect.aws	appintegrations	869.2.1687.0		4d1679f3bbbc201b88503102388ad6f44c0f9d24
com.cognitect.aws	appintegrations	871.2.29.35		6b12ce86d9e58a25f1f80c717e7ed383ed120fe4
com.expedia.dsp	datasqueeze	2.0		f09ea1b0c03625eb77c8f7e1bc1ea9757da528bd
com.expedia.dsp	datasqueeze	2.0.1		11999ccd9d3e3b5874fac9813c48d4f1386a4b3d
com.expedia.dsp	datasqueeze	2.0.2		0de1f9ac41a2688ff964488af4959337aa88fc6b
com.github.adedayo.intellij.sdk	java-decompiler-engine	142.1		473a4df20ce0f602ed75cd08518726a673f1a7e1
com.github.danslapman	morphling-circe_2.12	2.6.0		d89a2b943ac981b3e37057d07356464902362ab3
com.github.danslapman	morphling-circe_2.12	2.7.0		bda04af84d4b0fca4c7f56e9d13851a826c785a9
com.github.danslapman	morphling-circe_2.12	2.7.0-glass		1b5285ab9e3a50419f8989e442147a396fa0123c
com.github.danslapman	morphling-circe_2.12	3.0.0		f3b7a12209af0b271cb04c2f22f1202a1181dfc8
com.github.danslapman	morphling-circe_2.12	3.1.0		602ba86ca2c6a3691cf2174bd640dc915932d464
com.github.danslapman	morphling-circe_2.12	3.2.0		1ed1fd88e250c997149620cb54287a485f9f6cd5
com.github.danslapman	morphling-circe_2.12	4.0.0		ef4e71319af8343afa12ea1872ff1a7d322a5097
com.github.fomkin	pushka-json_2.11	0.1.0		e94fae4228652a0daff16e13936b381f003eaa05
com.github.fomkin	pushka-json_2.11	0.2.0		81f8f4edf9386980a7a86a3690e8d98c88db76f8
com.github.fomkin	pushka-json_2.11	0.3.0		05274ae96860ef7f05a4b97727016489f8cc2154
com.github.fomkin	pushka-json_2.11	0.3.1		48c3f10b0918231c22302214527bc9cc6bad009d
com.github.fomkin	pushka-json_2.11	0.3.2		90bb37665abd0a3c98a3cee567161efc4802e900
com.github.fomkin	pushka-json_2.11	0.4.0		d693a152dc407f57ef480c02becdcc4cec2233be
com.github.fomkin	pushka-json_2.11	0.4.1		c180c2b4268b8b06848b1860c10940422ebdc7d1
com.github.fomkin	pushka-json_2.11	0.4.2		12c9e07d89a3be2eb978bdedc1e587a539adff31
com.github.fomkin	pushka-json_2.11	0.5.0		557e5eb596ba2e6165611a620a809b4072f22fe2
com.github.fomkin	pushka-json_2.11	0.6.0		0971a3e1e069491f11116ed3509bf26d0eaa13d8
com.github.fomkin	pushka-json_2.11	0.6.1		b9822cd00fe2c40d5271c4b63ab2f2fd89f20d21
