app.keyconnect	keyconnect-chainbase	1.0.0	-	ccecee336e2a569afd3bdcace86dd9e03bb713e3
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.4.0	5.4.0-metadata	0add1935afb673b9c821bd6ff479c502625fe12e
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.4.1	5.4.1-metadata	d9bd3ef2b81b8eda6e68a1e28239b2cecc2d2625
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.4.2	5.4.2-metadata	6ab593d9143ffcb880cd6a0f3baaa182af18f732
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.4.3	5.4.3-metadata	2d9df09955c1d53c94f2861e9e27558b6cbfd168
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.4.4	5.4.4-metadata	f1568b208851ed2f3da3998f5c2472742f185a72
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.5.0	5.5.0-metadata	62f40ca681109470adb12b417349c098cfcd1a77
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.5.1	5.5.1-metadata	f528068bf8b064a6db00dc362217e027e3b1a547
avalon	avalon-composition-spi	1.0	-	eabd149f5a3ac877ad93b90a36792f6711f38d87
aws.sdk.kotlin	backup-jvm	0.16.0	-	3029620398eca269ed6e4bc20ea17ce76c7a800c
aws.sdk.kotlin	backup-jvm	0.16.1-beta	-	0b2d15b898fba0ee1156ef2243c456b511eaf4d5
aws.sdk.kotlin	backup-jvm	0.16.2-beta	-	768215d6bb09f48b177059e8cde0ab6ef4509bec
aws.sdk.kotlin	backup-jvm	0.16.3-beta	-	8a05220e357f6c4be08a2ebcc8463fac3579a126
aws.sdk.kotlin	backup-jvm	0.16.4-beta	-	34f1fc74e0ee3d7c0b69654e460d02ea1ba983b4
aws.sdk.kotlin	backup-jvm	0.16.5-beta	-	c22ed3a8b3305e8d95657c4f7b3971accd3de4c4
aws.sdk.kotlin	backup-jvm	0.16.6-beta	-	18509411ef995b6c9ebb10faff0d624d57671c4a
aws.sdk.kotlin	backup-jvm	0.16.7-beta	-	63becef167216f37ce99b36597e729f67077c218
aws.sdk.kotlin	backup-jvm	0.17.0-beta	-	71ffa90057fc62550e8889b4616ce0e01ad80585
aws.sdk.kotlin	backup-jvm	0.17.1-beta	-	99bbde6110d06d5081e0b3d7dbb01e21d9ec0aa8
aws.sdk.kotlin	backup-jvm	0.17.10-beta	-	6f1403a0873b76689dd2f75b076a9c264fd1b4bc
aws.sdk.kotlin	backup-jvm	0.17.11-beta	-	25d99aa3015645df81362f14dc656c2ba8f40a02
aws.sdk.kotlin	backup-jvm	0.17.12-beta	-	0449639a7aeb4f3c45c779b8d3c72f09d45db120
aws.sdk.kotlin	backup-jvm	0.17.2-beta	-	d05c39a664f2d611eeaf606ad9e2c423e4707d2d
aws.sdk.kotlin	backup-jvm	0.17.3-beta	-	98f76a68a56c89d4aad0ae225ea94530427ba11b
aws.sdk.kotlin	backup-jvm	0.17.4-beta	-	92ef82b956b84abd0a5126dbbaa47ccbe2163a8c
aws.sdk.kotlin	backup-jvm	0.17.5-beta	-	531f09de8d01f25e70d9f6f70281c79bfb797553
