at.crea-doo.homer	decanter.feature	1.0.11		N/A
aws.sdk.kotlin	mgn-jvm	1.0.26		24aace4a369b35df64274988beb1ccc4ed265e22
aws.sdk.kotlin	mgn-jvm	1.0.27		9a3ddb89d0e2bf85ff128765f95e50706044898c
aws.sdk.kotlin	mgn-jvm	1.0.28		b908054c0ec3c1b063cfb469d96b0c66837ec1dd
aws.sdk.kotlin	mgn-jvm	1.0.29		6c2b94360c366a58261604ba1ec2c10eb11527e8
aws.sdk.kotlin	mgn-jvm	1.0.3		2faa1a0eb88e188a4b35960bf0370cdbd5e86355
aws.sdk.kotlin	mgn-jvm	1.0.30		1f6dc5ac09cb0406b86291900945a46d430bd06d
aws.sdk.kotlin	mgn-jvm	1.0.31		fbf8a6a2dc5557fb10f105224bcd47d8c9ebfa1b
aws.sdk.kotlin	mgn-jvm	1.0.32		46e9e9261df0160d066644f631e19b12ab549353
aws.sdk.kotlin	mgn-jvm	1.0.33		781cb84b077971f99810a111a7ec5ab8186bd4eb
aws.sdk.kotlin	mgn-jvm	1.0.34		4e9cdaad433cbe30fb3a3d61029c9c979ce96d5c
aws.sdk.kotlin	mgn-jvm	1.0.35		649fbf39d71cf18e828d109703536ca679056850
aws.sdk.kotlin	mgn-jvm	1.0.36		da2949f99ab3f8cd5d5b8aaa6af9f714680b323f
aws.sdk.kotlin	mgn-jvm	1.0.37		344db0eaa49f8dc9718e4eb85f0b60c855d6308d
aws.sdk.kotlin	mgn-jvm	1.0.38		a6f0f6b479c809d7f1be5c4ab991ec8722494261
aws.sdk.kotlin	mgn-jvm	1.0.39		72b0c11753d25e0c8f1cdd35b37f7af339453201
aws.sdk.kotlin	mgn-jvm	1.0.4		ae43ab2842de52d3252ae3f0fcbf9335279cea3b
aws.sdk.kotlin	mgn-jvm	1.0.40		512117f7cd6d4b9091d7857dc2b68e00bcac6baf
aws.sdk.kotlin	mgn-jvm	1.0.41		833628ca77f879ca99c36390fef0dd76558beee0
aws.sdk.kotlin	mgn-jvm	1.0.42		822f509ee8058236088d9155b813187a6015be6a
aws.sdk.kotlin	mgn-jvm	1.0.43		ad79b801377529864cf9335f3c96f17c1c166eae
aws.sdk.kotlin	mgn-jvm	1.0.44		cfce2fef56f7d524d0aaabcdbceeefae97955fde
aws.sdk.kotlin	mgn-jvm	1.0.45		634c8a1e77dd7a58e886f0b3c01c6732af9c4737
aws.sdk.kotlin	mgn-jvm	1.0.46		5119a67b15ad5c9ce18131e278565eb48ab9214b
aws.sdk.kotlin	mgn-jvm	1.0.47		1a6ee9e9e92ae1d905661c829a5f46c9d98e40b3
aws.sdk.kotlin	mgn-jvm	1.0.48		1da34c9afdd065ce9ee37ea141d455fef7e17dd5
aws.sdk.kotlin	mgn-jvm	1.0.49		4d872ead2e8d8b409c844e99b7f057fe9f04137c
aws.sdk.kotlin	mgn-jvm	1.0.5		270ed14532b7fbc878caa7873d8843cc568cb743
aws.sdk.kotlin	mgn-jvm	1.0.50		0d49bee339fe0cb361471a7d32e2172d9a5cf157
aws.sdk.kotlin	mgn-jvm	1.0.51		5563ec206f4ddf2c231d5b7c623166024d49e29c
aws.sdk.kotlin	mgn-jvm	1.0.52		08bab8f2cf1f6a724fcf2ee7079bbe11c6bec493
aws.sdk.kotlin	mgn-jvm	1.0.53		2e01dc56c2fa7b89883eeeedd1f8098da0d31cb7
aws.sdk.kotlin	mgn-jvm	1.0.54		ff305a9664d8887a711744352e4f9310fa5bdb86
aws.sdk.kotlin	mgn-jvm	1.0.55		3cb267fe0cf73228e29a8cfbbfba70579216210d
aws.sdk.kotlin	mgn-jvm	1.0.56		5687521d203833b74159ea7f6fe19df6e5a620f1
aws.sdk.kotlin	mgn-jvm	1.0.57		89a7c953f3c34b3fb62a20192dc3825f6b32fe09
aws.sdk.kotlin	mgn-jvm	1.0.58		62db6a636fb0d4de85f5fb34ad73d46f51e93e4b
aws.sdk.kotlin	mgn-jvm	1.0.59		7267bb9f5c03336003250c70db215ba79b06a525
aws.sdk.kotlin	mgn-jvm	1.0.6		6ca91f0892880ab36358c60ba51abf20e494bd1c
aws.sdk.kotlin	mgn-jvm	1.0.60		9bbd298e035512c8f6c0d245719cdd3cc8a87866
aws.sdk.kotlin	mgn-jvm	1.0.61		747c378117a5171e33ff40e93d83218f64896d16
aws.sdk.kotlin	mgn-jvm	1.0.62		dc86f7e926d24bac2c06b59b32037612fef46621
aws.sdk.kotlin	mgn-jvm	1.0.63		1b7c89dc8bf35544b2c46f1d10fcbe58f74d2616
aws.sdk.kotlin	mgn-jvm	1.0.64		6d52f84b671cef998366b5957e6b3fd8f84bfddb
aws.sdk.kotlin	mgn-jvm	1.0.65		b9a08fd030d3b106e9cafc8b5d1357f204aaec82
aws.sdk.kotlin	mgn-jvm	1.0.66		81864d1b0934654e82d9ec9f4d8d42cd7eaeecd2
aws.sdk.kotlin	mgn-jvm	1.0.67		f835e60cbe05cb8a992b1d77cf6e71fe022f4193
aws.sdk.kotlin	mgn-jvm	1.0.68		7143ba1bfb9bf85c9ce5322d67ec0f209a005ec2
aws.sdk.kotlin	mgn-jvm	1.0.69		663ae6cb6518d8b28774c871f518164ee859c4df
aws.sdk.kotlin	mgn-jvm	1.0.7		791c4a3bb5bf6c0b0a72b64b4062862db19b14f3
aws.sdk.kotlin	mgn-jvm	1.0.70		96abcbd79adc3a8a941f7ff1defed6fa1a87daa3
aws.sdk.kotlin	mgn-jvm	1.0.71		5e110d8eebe14088e2a247645f2dad18886d109a
aws.sdk.kotlin	mgn-jvm	1.0.72		ca5c89f784bcaf8337922bd49879991f6bf54b2f
aws.sdk.kotlin	mgn-jvm	1.0.73		54a087acf797910c0a59cfe475595e2af4624897
aws.sdk.kotlin	mgn-jvm	1.0.74		06bbac0735d9d9aaa8183da5ee85e5586c211ecf
aws.sdk.kotlin	mgn-jvm	1.0.75		9dcccbb2490fe43a724945e26b763a8303d0d588
aws.sdk.kotlin	mgn-jvm	1.0.76		bc5743816b96fea4bdf789663a8fbfa3a243617c
aws.sdk.kotlin	mgn-jvm	1.0.77		0e1948a9946df580916e607df22c7b9c638b96c6
aws.sdk.kotlin	mgn-jvm	1.0.78		14450408478ffedd1a1ad5eb36deca238adfb74a
aws.sdk.kotlin	mgn-jvm	1.0.79		5ddb2418986688c746648825f27276956046c7db
aws.sdk.kotlin	mgn-jvm	1.0.8		834ca7d26015ac1a25b2243bd97515a7bce20c5c
aws.sdk.kotlin	mgn-jvm	1.0.80		15da66b89fc7ad8c9a16f57eaaefab5ee3a58ad9
aws.sdk.kotlin	mgn-jvm	1.0.9		d5a2abd5e413d3f27a320abfabf8b1833369bfc4
aws.sdk.kotlin	mgn-jvm	1.1.0		8fb89379ca24d9bfcdfc9dafa8a469ef4f00fd8a
aws.sdk.kotlin	mgn-jvm	1.1.1		6c4fa60d01ceefa86cfe564dfeb260b90be58895
aws.sdk.kotlin	mgn-jvm	1.1.10		ee23c2389c86bb1c2d7fa10a599dd2b120bf1d4a
aws.sdk.kotlin	mgn-jvm	1.1.11		7aba3113ef235ef15de96456db5fa8c37ca2efbd
aws.sdk.kotlin	mgn-jvm	1.1.12		97b2b0fcca36e27cbfed47b83ed55ff027fb6a6d
aws.sdk.kotlin	mgn-jvm	1.1.13		851e245086d867f2a0a71bf1823725eac787de94
aws.sdk.kotlin	mgn-jvm	1.1.15		1dee546a7f4197bd1014e3d5a37faa9b991d1d1c
aws.sdk.kotlin	mgn-jvm	1.1.16		d226d4908287b80cd68133ee79093bcafd095935
aws.sdk.kotlin	mgn-jvm	1.1.17		ef6e2610197800ae47d1cf947d8484907e4c3708
aws.sdk.kotlin	mgn-jvm	1.1.18		b586c1a697f6d6b0a339fec655b916c971bc75b6
aws.sdk.kotlin	mgn-jvm	1.1.19		dc0b21bc44e3cf75ed90691470979f19f08efb66
aws.sdk.kotlin	mgn-jvm	1.1.2		1b312bfe61929df67cc3f12a8ee5be1440092a0c
aws.sdk.kotlin	mgn-jvm	1.1.20		80a855e328e89a0f5406f06115ef6e2adc6af0dc
aws.sdk.kotlin	mgn-jvm	1.1.21		a69965cfb1214e95c858bb14eb41b446503692a6
aws.sdk.kotlin	mgn-jvm	1.1.22		a4d95b939e949abd988259bc8848a7cb292a37dc
aws.sdk.kotlin	mgn-jvm	1.1.23		6bfb46342e06bd49e51787a0d088f3c46abaf904
aws.sdk.kotlin	mgn-jvm	1.1.24		9c70fded3ba6368def4a2a415a7df537f54a3e40
aws.sdk.kotlin	mgn-jvm	1.1.25		1ae49dd6435f9f167ce44a9786b209ae212eca24
aws.sdk.kotlin	mgn-jvm	1.1.26		711be515b5b48e9a75e7a2fc8b4ff27e751457d6
aws.sdk.kotlin	mgn-jvm	1.1.27		ade3c8cde2f1289535ed15b82142994c9944b677
aws.sdk.kotlin	mgn-jvm	1.1.3		3279278ae9b53fbf2fa6aec5373e3cc43fc4e263
aws.sdk.kotlin	mgn-jvm	1.1.4		3216d45c3b149465f660e5ab6cc89ff341c99546
aws.sdk.kotlin	mgn-jvm	1.1.5		ed89aac6c2fc72009e2f29f009548d4f19e775c8
aws.sdk.kotlin	mgn-jvm	1.1.6		d066418a6241fde010d3c859e39fcdaf1bf315e3
aws.sdk.kotlin	mgn-jvm	1.1.7		13ea43fe2bac60cfaa73017adf576e8cbcb24113
aws.sdk.kotlin	mgn-jvm	1.1.8		cf6c0f1e12903a035015dbd4a0edc71fe062d981
aws.sdk.kotlin	mgn-jvm	1.1.9		e6d0fbda483ad830605b9ed0f8aad1ab51e32677
aws.sdk.kotlin	mgn-jvm	1.2.0		5b183ebbaf7384155b25c7deba6c8874c5047841
aws.sdk.kotlin	mgn-jvm	1.2.1		062288554e9c98de7d7da298b8cd50aa3ce53fc5
aws.sdk.kotlin	mgn-jvm	1.2.10		16c94bf957c3ed38fc9a3d292c5bf675c222d4fe
aws.sdk.kotlin	mgn-jvm	1.2.11		182f7e7e2bfc463ebec8e0e6c0552645226910c1
aws.sdk.kotlin	mgn-jvm	1.2.12		f0b78a4ea3e759a04699d827d21ec9567c16b27b
aws.sdk.kotlin	mgn-jvm	1.2.13		8b10f4ecbe649b215fc8f338beff75c7fb67f131
aws.sdk.kotlin	mgn-jvm	1.2.14		c330e07573ecf6481b22a87174af2027ff343fac
aws.sdk.kotlin	mgn-jvm	1.2.15		7852eb659ccff363d128dfae664ca44f533fd32b
aws.sdk.kotlin	mgn-jvm	1.2.16		5e38d74a968260c908c974747f7dc52161e9ddc6
aws.sdk.kotlin	mgn-jvm	1.2.17		1ab7e7aac5fc52e20ae7aa6986b0568f6929851b
aws.sdk.kotlin	mgn-jvm	1.2.18		4b2b82030af70a6b63ab10f9e39ac60da4a87315
aws.sdk.kotlin	mgn-jvm	1.2.19		c3b7c2f11cca0407e675a00ad876a7e28c724520
aws.sdk.kotlin	mgn-jvm	1.2.2		414080424ffe8fae7e88edcdf57fc23e0b1a6310
aws.sdk.kotlin	mgn-jvm	1.2.20		d6ca3a352665ca938429bcf5add93c6f4c3e9e05
aws.sdk.kotlin	mgn-jvm	1.2.21		57e924d1ae02e4228e6efd48cf56060427a2c0b1
aws.sdk.kotlin	mgn-jvm	1.2.22		11d03a3aba9ffb91024aade166cbc585db7cf2f6
aws.sdk.kotlin	mgn-jvm	1.2.23		8747fe6ed2ceca653b8293f1a73587cdb8d644b0
aws.sdk.kotlin	mgn-jvm	1.2.24		3b3c67552c3d6070a3913ce136b403e7a07b9d4f
aws.sdk.kotlin	mgn-jvm	1.2.25		4e698994d3d238f279d08dfe3cd640ebaa22c0a6
aws.sdk.kotlin	mgn-jvm	1.2.26		94c45f315eae4127963fab721ccec3ae89698d5b
aws.sdk.kotlin	mgn-jvm	1.2.27		1b74eb8e4f2801618aee20b9dd1560cf9d2ef82d
aws.sdk.kotlin	mgn-jvm	1.2.28		3d1b97511bcd82fb8d726d41dd1e5da36369cf7e
aws.sdk.kotlin	mgn-jvm	1.2.29		70669a2a5a4e26dac2c5c9029f90c0cbd2ed8d28
aws.sdk.kotlin	mgn-jvm	1.2.3		6a07d82232b100e66d55ff673b0f5e9bb9187215
aws.sdk.kotlin	mgn-jvm	1.2.30		6b0d6b9bd4ac8dd4772301b3fd1a318818608a3d
aws.sdk.kotlin	mgn-jvm	1.2.31		036f6d79c06a4fcd5adae317c5dc5cd8dc22c82d
aws.sdk.kotlin	mgn-jvm	1.2.32		88ef8834359528db39ddfe1dc02693204887a5fb
aws.sdk.kotlin	mgn-jvm	1.2.33		bf60f7c74b1ee329e1013a2d06bf59e36f37d4d6
aws.sdk.kotlin	mgn-jvm	1.2.34		3fce1631ed7e6ad41986bbe6e75e37d433ec3a78
aws.sdk.kotlin	mgn-jvm	1.2.35		f812102a5685e31c6997c7beed9ec2c6c15b555d
aws.sdk.kotlin	mgn-jvm	1.2.36		75bf790f13a0b9a2931d22e364a230f91dad7275
aws.sdk.kotlin	mgn-jvm	1.2.37		b535f53c4bef817b31c277dee9883618ec462fed
aws.sdk.kotlin	mgn-jvm	1.2.38		28032b37fc0967edfd483ab2f97f66cc2b9dd806
aws.sdk.kotlin	mgn-jvm	1.2.39		12b7beb38cd704013d2f0b507bacea3fd04b247b
aws.sdk.kotlin	mgn-jvm	1.2.4		94d04bee7e888bef995ff3a449398f6eacfe0c6f
aws.sdk.kotlin	mgn-jvm	1.2.40		f6c112633e9ce64364187b13f1a28f48f8282554
aws.sdk.kotlin	mgn-jvm	1.2.41		1ddc6535a84cabc0488a2275eb2d07a8af7a1da0
aws.sdk.kotlin	mgn-jvm	1.2.42		e676529607320479173ec00c1cd3f358dfab135e
aws.sdk.kotlin	mgn-jvm	1.2.43		0203ff5b831f5c63eb78cbf3a3fd10df91215032
aws.sdk.kotlin	mgn-jvm	1.2.44		4979a303c493e3580c9a2af3a7777ba214f56c25
aws.sdk.kotlin	mgn-jvm	1.2.45		ec297a09a005fee25f419df78b47b6f44fb5b5cf
aws.sdk.kotlin	mgn-jvm	1.2.46		bd62113b95de72176800783f88078fed601265ee
aws.sdk.kotlin	mgn-jvm	1.2.47		8164592bc505bdf14807ef51f9b78a3870cffa9d
aws.sdk.kotlin	mgn-jvm	1.2.48		109f5a910ec6b329d716e251c9071bd09f8feced
aws.sdk.kotlin	mgn-jvm	1.2.49		2816f1f99d581fb99f7a8a06b1cbf7be776c8b42
aws.sdk.kotlin	mgn-jvm	1.2.5		b514212cf576a650e9c86483d85b1d069d1245e0
aws.sdk.kotlin	mgn-jvm	1.2.50		1fbfc59151145c2ac2997cf547d72775bcad50e3
aws.sdk.kotlin	mgn-jvm	1.2.51		d296b576878422c2ae762c89eb7060a803083536
aws.sdk.kotlin	mgn-jvm	1.2.52		383deebb7532febd278cc5f38c35a94804c0e51f
aws.sdk.kotlin	mgn-jvm	1.2.53		5ba7e18be93a0bbfc280a23c17e01e7e6e0ca7cc
aws.sdk.kotlin	mgn-jvm	1.2.54		f89df5390f4255f97c1deeb936aa306ca4a5f475
aws.sdk.kotlin	mgn-jvm	1.2.55		1063a9a2409360dd35df42898754cdfb640e71a1
aws.sdk.kotlin	mgn-jvm	1.2.56		5e49f1f02aecd88b49644b87742dca07efea40f2
aws.sdk.kotlin	mgn-jvm	1.2.6		98e301f382aead9a4e662a82676525d37ed2cd58
aws.sdk.kotlin	mgn-jvm	1.2.7		576e80f9c6d6d4186bb53bf5ff3072fdc0b69582
aws.sdk.kotlin	mgn-jvm	1.2.8		d537b9562eaf3efd3c1e60a97fbca920909ac66d
aws.sdk.kotlin	mgn-jvm	1.2.9		1038336a42590eca0ba3cab4e7f55b31c7729354
aws.sdk.kotlin	mgn-jvm	1.3.0		7caf6f724794e8b07c5ed566fc916552d026f5d9
aws.sdk.kotlin	mgn-jvm	1.3.1		779a3baf0ee43e7b8de394d9f5edbcae2d089719
aws.sdk.kotlin	mgn-jvm	1.3.10		f3240f027cf09e43c269e083e7f4137141e215f2
aws.sdk.kotlin	mgn-jvm	1.3.100		c4188ec48ccdd0193f5fcd71bfc95b045a6bffc1
aws.sdk.kotlin	mgn-jvm	1.3.101		f63e5b33bad04a09cf05bd6f6ba6cef00da0263c
aws.sdk.kotlin	mgn-jvm	1.3.102		d4aa138597348704c3982b560ea4d3c72d2149d9
aws.sdk.kotlin	mgn-jvm	1.3.103		e493135c4383b25b128febdf298e9ab7eb28e0d7
aws.sdk.kotlin	mgn-jvm	1.3.104		1580fad0c7d711506818879076593a82682b7881
aws.sdk.kotlin	mgn-jvm	1.3.105		e1f1890cf15a7d70bf6fcc1724c7690fcabb8598
aws.sdk.kotlin	mgn-jvm	1.3.106		46c655a9498c1ef21a99586e47ebaae3ed475041
aws.sdk.kotlin	mgn-jvm	1.3.107		cb0cf7a8c345cba16dd47d56014c2225767cb3cc
aws.sdk.kotlin	mgn-jvm	1.3.108		f71d9dec51e5569b5c50c63164327fe17a34cd7f
