by.shostko	acollector-firebase-analytics	0.2.2		N/A
co.touchlab	kermit-simple-watchosdevicearm64	2.0.0-RC4	metadata	a3b928ba9291a3c2ff7ef5266a4e41c078d14250
co.touchlab	kermit-simple-watchosdevicearm64	2.0.0-RC5		N/A
co.touchlab	kermit-simple-watchosdevicearm64	2.0.0-RC5	metadata	cd1019596811f572acf662382cfea12b03899290
co.touchlab	kermit-simple-watchosdevicearm64	2.0.1		N/A
co.touchlab	kermit-simple-watchosdevicearm64	2.0.1	metadata	7ba27e322d27570ad7559a37e90580792739512d
co.touchlab	kermit-simple-watchosdevicearm64	2.0.2		N/A
co.touchlab	kermit-simple-watchosdevicearm64	2.0.2	metadata	f8ef716da1678d929ba950252a92e6f4e5a9b255
co.touchlab	kermit-simple-watchosdevicearm64	2.0.3		N/A
co.touchlab	kermit-simple-watchosdevicearm64	2.0.3	metadata	7c7b282c6db42b5648940ad0a3f1b4741ca35580
co.touchlab	kermit-simple-watchosdevicearm64	2.0.4		N/A
co.touchlab	kermit-simple-watchosdevicearm64	2.0.4	metadata	33494b9e12884bd947f3d3a821c8a59f5c8e1418
co.touchlab	kermit-simple-watchosdevicearm64	2.0.5		N/A
co.touchlab	kermit-simple-watchosdevicearm64	2.0.5	metadata	313018c2eb9e2b76fab0455b4fe52016091dcb7f
com.1gravity	bloc-compose-android	0.10.0		N/A
com.1gravity	bloc-compose-android	0.11.0		N/A
com.1gravity	bloc-compose-android	0.5.1		N/A
com.1gravity	bloc-compose-android	0.5.2		N/A
com.1gravity	bloc-compose-android	0.6.0		N/A
com.1gravity	bloc-compose-android	0.6.1		N/A
com.1gravity	bloc-compose-android	0.6.2		N/A
com.1gravity	bloc-compose-android	0.7.0		N/A
com.1gravity	bloc-compose-android	0.8.0		N/A
com.1gravity	bloc-compose-android	0.8.1		N/A
com.1gravity	bloc-compose-android	0.9.0		N/A
com.1gravity	bloc-compose-android	0.9.1		N/A
com.1gravity	bloc-compose-android	0.9.2		N/A
com.1gravity	bloc-compose-android	0.9.3		N/A
com.bbossgroups.plugins	bboss-datatran-jdbc	6.7.0		cafee03109c59ceaffe11d3dfac5fa2967048327
com.bbossgroups.plugins	bboss-datatran-jdbc	6.7.1		dada042a9d06e2ce715a4476ab190cd874116986
com.bbossgroups.plugins	bboss-datatran-jdbc	6.7.2		ac636acff409e07a47fbe6a426787a2eb7a7d9d9
com.bbossgroups.plugins	bboss-datatran-jdbc	6.7.3		29818871ebc2f15b34b00af09a392b1d419e6f21
com.bbossgroups.plugins	bboss-datatran-jdbc	6.7.5		3f8155fdfddc983f66be4b0633c1ea95b19f5166
com.bbossgroups.plugins	bboss-datatran-jdbc	6.7.6		4c33c26d7824f1d39210bbc5d3e920246813470f
com.bbossgroups.plugins	bboss-datatran-jdbc	6.7.7		f663930ae1ce20b1941b41bb5a56e1cefa2ee6f2
com.bbossgroups.plugins	bboss-datatran-jdbc	6.7.8		83a4e39f848811410d538e90343f6b887511af80
com.bbossgroups.plugins	bboss-datatran-jdbc	6.7.9		55f4a7102744b8ced08b768bb2c8bc87830a4824
com.bbossgroups.plugins	bboss-datatran-jdbc	6.8.0		e4050f8ee26395dca97ca495107e53b873f24841
com.bbossgroups.plugins	bboss-datatran-jdbc	6.8.1		342bc4052e3973c1949d04d3d3da113a38dff575
com.bbossgroups.plugins	bboss-datatran-jdbc	6.8.2		f94ec31c39a3b9c72223faf45d0ff50721aa4ad0
com.bbossgroups.plugins	bboss-datatran-jdbc	6.8.3		3a85f72cd3ffe7ddad94afc92c5d11bffe201130
com.bbossgroups.plugins	bboss-datatran-jdbc	6.8.5		9a58c2d95452e211b62079763e24c6510c21baed
com.bbossgroups.plugins	bboss-datatran-jdbc	6.8.6		a03e9357a0a336220df373d1fa33e77e42bd28c4
com.bbossgroups.plugins	bboss-datatran-jdbc	6.8.7		022794cdaff1004a1b6f1e516005196a61b7526b
com.bbossgroups.plugins	bboss-datatran-jdbc	6.8.8		3717ffd71198533848356485eb2934b23af02e51
com.bbossgroups.plugins	bboss-datatran-jdbc	6.8.9		01415223736d27bc903c5e9d7327f527ed020836
com.bbossgroups.plugins	bboss-datatran-jdbc	6.9.0		123127fcf7ddda8050b217942a690e6975a68008
com.bbossgroups.plugins	bboss-datatran-jdbc	6.9.1		cd370493900c5e31398f082a44b6f3e04672e3a0
com.bbossgroups.plugins	bboss-datatran-jdbc	6.9.2		f1bb03d6f1991e6268fa200a8f5269c145c13144
com.bbossgroups.plugins	bboss-datatran-jdbc	6.9.3		370e9b7892899ee6c24becb098dbbcb2e21df392
com.bbossgroups.plugins	bboss-datatran-jdbc	6.9.5		bb32530acc91012485ab25284e7a392d35588f9d
com.bbossgroups.plugins	bboss-datatran-jdbc	6.9.6		5b0d7e49579a1116929f2311c72af682cdf66809
com.bbossgroups.plugins	bboss-datatran-jdbc	6.9.7		cb0e11636e706d668a9ba69bc85ec46d4c2d7342
com.bbossgroups.plugins	bboss-datatran-jdbc	6.9.8		5ecb129f2507a4d72593f576168f66ff33451ffb
com.bbossgroups.plugins	bboss-datatran-jdbc	6.9.9		0d792815f990977a33f1d529ff6bf8b839f9b826
com.bbossgroups.plugins	bboss-datatran-jdbc	7.0.0		c6b537fb10b2c4b8239419a3cfe6927e7d7c0a73
com.bbossgroups.plugins	bboss-datatran-jdbc	7.0.1		26855bb5156da6ab8d10573cbb7864c4aef1b092
com.bbossgroups.plugins	bboss-datatran-jdbc	7.0.2		79ade37d3d638a0787b18ce4cfeffd950a4d6267
com.bbossgroups.plugins	bboss-datatran-jdbc	7.0.3		d2fc4b60bfe4c5f1fb8b530814b18bd648558fb8
com.bbossgroups.plugins	bboss-datatran-jdbc	7.0.5		cbfbfa05fdd80015044e9925f636eb315e8c1437
com.bbossgroups.plugins	bboss-datatran-jdbc	7.0.6		18ca2807829fe04bcb9e3cbed30886b6437ecd12
com.bbossgroups.plugins	bboss-datatran-jdbc	7.0.7		d46aa4bf4d3c8bb9c19a7d0d78b98a486eb3ce4a
com.bbossgroups.plugins	bboss-datatran-jdbc	7.0.8		ba1a1db1b05e4d6421f0701c5a736726768e4a45
com.bbossgroups.plugins	bboss-datatran-jdbc	7.0.9		cc48dd0acf6a87edd91b3e22192d73c507bdde3f
com.bbossgroups.plugins	bboss-datatran-jdbc	7.1.0		0d5f724c35025c584ea00fcbcb68ab678d3fd5a5
com.bbossgroups.plugins	bboss-datatran-jdbc	7.1.1		be561b52b92cbfe32dd97666d724d316fd243cf6
com.bbossgroups.plugins	bboss-datatran-jdbc	7.1.2		f687c57408e8ccc7d7ec55e078d447611f96f7bf
com.bbossgroups.plugins	bboss-datatran-jdbc	7.1.3		7a992a611b42acea5cccb27c4b11c9dfb381df1c
com.bbossgroups.plugins	bboss-datatran-jdbc	7.1.5		b16b3eff074f52d39a9a1c94972800a838fefba4
com.bbossgroups.plugins	bboss-datatran-jdbc	7.1.6		3997d97cbb82fb741ddfcb5217e06e91307c9ece
com.bbossgroups.plugins	bboss-datatran-jdbc	7.1.7		c0b7ef57cc219c544d46f44f9753984da359029b
com.bbossgroups.plugins	bboss-datatran-jdbc	7.1.8		1ac4ff03b024cd718f07b411bfa85a6a153d9323
com.bbossgroups.plugins	bboss-datatran-jdbc	7.1.9		78a8ec7b1496da9fb071294597a21a7f625c866b
com.bbossgroups.plugins	bboss-datatran-jdbc	7.2.0		8fe8ce638363cecec1e06f694683765656782367
com.bbossgroups.plugins	bboss-datatran-jdbc	7.2.1		8fb2c09e762db7a75ae35195d532cb7b8ba77a61
com.bbossgroups.plugins	bboss-datatran-jdbc	7.2.2		c3bce185930490a68a8f2be9679d2734ef65789d
com.bbossgroups.plugins	bboss-datatran-jdbc	7.2.3		63e57a8e798be135cfcdce231c1fdd8c745a0d6d
com.bbossgroups.plugins	bboss-datatran-jdbc	7.2.5		e40b0cccf97b908db72c75b61cd50710b7f4b70d
com.bbossgroups.plugins	bboss-datatran-jdbc	7.2.6		7b00ecd8f41c17e3cd888ae6214cd81f1f066554
com.bbossgroups.plugins	bboss-datatran-jdbc	7.2.7		6a44c9484bd931eb89d18cd22ad0cf42a5344a30
com.bbossgroups.plugins	bboss-datatran-jdbc	7.2.8		d314f4b908cab61fe799c9af0f891cd97c537e0b
com.bbossgroups.plugins	bboss-datatran-jdbc	7.2.9		b906c9559d0ae4590c99c08952d4a3af6f7ca6cf
com.bbossgroups.plugins	bboss-datatran-jdbc	7.3.0		741af3aa817394e93f5ab520e48b6d8d0c722b89
com.bbossgroups.plugins	bboss-datatran-jdbc	7.3.1		a0bba0f827432b22aa7ccf5fbc2f66e83176a601
com.bbossgroups.plugins	bboss-datatran-jdbc	7.3.2		bafe9e2c09af90a973774f3c9a7594f35fe0497d
com.bbossgroups.plugins	bboss-datatran-jdbc	7.3.3		30f6ae39e265d139b3234f58b7b3520ff9518173
com.bbossgroups.plugins	bboss-datatran-jdbc	7.3.5		b8f76830e829833a61bbbeedb4da14f03595177d
com.bbossgroups.plugins	bboss-datatran-jdbc	7.3.6		0c140efc16eda695d15aba51d8dcf775f80096d9
com.bbossgroups.plugins	bboss-datatran-jdbc	7.3.7		3f7d8e4336a1ed7be923f2972758cc5f4b5ccb7e
com.bbossgroups.plugins	bboss-datatran-jdbc	7.3.7-jdk17		7f1305b72989dc0c5ae4b388ae1e962f02d019a5
com.bbossgroups.plugins	bboss-datatran-jdbc	7.3.8		772aa267298921549bf782f6746e838d1f826a6a
com.bq.corbel.lib	token	0.10.0		9021e7e6584fc191c3f4bda0e54e7dfa6f1cc396
com.bq.corbel.lib	token	0.11.0		daafd899016f28967dc6ee908db3f69fd9a49b95
com.bq.corbel.lib	token	0.12.0		5fc03f8a4aa21a71936a6d0534b7818432941295
com.bq.corbel.lib	token	0.9.0		adf8ecd6faf5dfe444d9bd26348878ab48dfb8a8
com.buschmais.jqassistant.plugin	jqassistant.plugin.yaml	1.1.0		3157ce9b7f700864759742f41063cedf1b1e1d22
com.buschmais.jqassistant.plugin	jqassistant.plugin.yaml	1.1.0-RC1		d1a741d1b0f91e21b703528370779cdc6c7f24f1
com.buschmais.jqassistant.plugin	jqassistant.plugin.yaml	1.1.0-RC2		79e7594ac18d6b6c9f5885e5ed3b060bb43f3a63
com.buschmais.jqassistant.plugin	jqassistant.plugin.yaml	1.1.1		d60fcd2087115dc91a5f5a66ff63709cde01e0d6
com.buschmais.jqassistant.plugin	jqassistant.plugin.yaml	1.1.2		fa7df4baa4a8bf1fd0d8598e5e60688ec995d489
com.buschmais.jqassistant.plugin	jqassistant.plugin.yaml	1.1.3		31f78a9d50695fedcfc52342f8e578a53ed99549
com.buschmais.jqassistant.plugin	jqassistant.plugin.yaml	1.1.4		eadf4b6740fff61ca3f07084aa24d5acfc430551
com.contentgrid.opa-java-client	opa-async-java-client	0.4.0		52fe6caa8e2841b667d072aaee65312006093037
com.contentgrid.opa-java-client	opa-async-java-client	0.4.1		a3cf2cc4c49bfeddbf429a7a5aabd346c4551b81
com.contentgrid.opa-java-client	opa-async-java-client	0.5.0		a6246431fab453d9bf8b36916a478482de92fe20
com.contentgrid.opa-java-client	opa-async-java-client	0.5.1		24b2148cd4b3c574227a60adbaaea700673a36e6
com.effectiveosgi	eosgi-test-module-archetype	0.0.1		6e8e9b38debb3f40d50213d07b16c1eadc712641
com.effectiveosgi	eosgi-test-module-archetype	0.0.2		88d42340f20aaefa93f8f845ec1ed0564877821d
com.effectiveosgi	eosgi-test-module-archetype	0.0.3		dc0d14a2337e71c5f01c2d11645e62a6f37e8760
com.effectiveosgi	eosgi-test-module-archetype	0.0.4		749be4b9a143f8182ec2df351610583a4d673158
com.effectiveosgi	eosgi-test-module-archetype	0.0.5		623d2c20536c1baa4d45a2259bc73fe8c5a936e2
com.episode6.redux	subscriber-aware-watchosarm64	1.0.0		N/A
com.episode6.redux	subscriber-aware-watchosarm64	1.0.0	metadata	1e9f32d7a6bcf13ff66871801c8109b7eda361b2
com.episode6.redux	subscriber-aware-watchosarm64	1.0.0-alpha03		N/A
com.episode6.redux	subscriber-aware-watchosarm64	1.0.0-alpha03	metadata	d0e363b9885cfb3a98941c67b2d34f419841411e
com.episode6.redux	subscriber-aware-watchosarm64	1.0.0-beta01		N/A
com.episode6.redux	subscriber-aware-watchosarm64	1.0.0-beta01	metadata	c2899076609981bacb315c045e6f76e4b7842d45
com.episode6.redux	subscriber-aware-watchosarm64	1.0.1		N/A
com.episode6.redux	subscriber-aware-watchosarm64	1.0.1	metadata	580002be6c99dfa1352c2b182e626cdc938b1a23
com.github.aqiu202.huawei	huawei-sms-spring-boot-starter	1.0.0		f114bd1b9fbf4f8c30329d23eef4844f1a82ed25
com.github.aqiu202.huawei	huawei-sms-spring-boot-starter	1.0.1		0a218a8f78dfbac28fe40200b4687e18ca00da47
com.github.aqiu202.huawei	huawei-sms-spring-boot-starter	1.0.2		acbd9b7dc948b524cf649054f2272e2af0d1f853
com.github.aqiu202.huawei	huawei-sms-spring-boot-starter	1.0.4		97ba131bb93c7281e50b22983b87f5a781c0c14a
com.github.aqiu202.huawei	huawei-sms-spring-boot-starter	1.0.5		93e0b0f67d6a5c6b7165fa8410b1d7b3e2fcb746
com.github.aqiu202.huawei	huawei-sms-spring-boot-starter	1.1.0		3dcbac04fe6804ed7016556bf9ec11aded8993e9
com.github.aqiu202.huawei	huawei-sms-spring-boot-starter	1.2.0		fd29d773ca737f2fe71a4d5409653c4aaa29cb02
com.github.michaelruocco	embedded-mysql-plugin	1.0.0		0082514794c2dd7f73b23e50a5b353915697f772
com.github.michaelruocco	embedded-mysql-plugin	2.0.0		1fba45847e95bf69d2cf44341ce27aaff421a05e
com.github.michaelruocco	embedded-mysql-plugin	2.0.1		b796b57df0cb677f761db32499a98699db707d47
com.github.michaelruocco	embedded-mysql-plugin	2.0.2		57d17090b782c0251a9989cde77727b1202e0692
com.github.michaelruocco	embedded-mysql-plugin	2.1.10		2b7db364c144d75b6f470d2b67e8f15f3809c0df
com.github.michaelruocco	embedded-mysql-plugin	2.1.11		0b3de6796c7790a747368bdbc160f12fbe82d4c5
com.github.michaelruocco	embedded-mysql-plugin	2.1.2		c8d4a65fda5ec102a483e9f6f73e806db0d29b93
com.github.michaelruocco	embedded-mysql-plugin	2.1.3		06d58703f0ae745ce14f587cce9c1e97ab63b782
com.github.michaelruocco	embedded-mysql-plugin	2.1.4		c6ccb07d2de25b2c16783dfe866a7bc4bac1462f
com.github.michaelruocco	embedded-mysql-plugin	2.1.5		80e79e8346a42e50be9b6ee05c5f9a92cc7f702f
com.github.michaelruocco	embedded-mysql-plugin	2.1.6		34490843319d134ed5bd437a66e9bbc69d8f6962
com.github.michaelruocco	embedded-mysql-plugin	2.1.7		ded0a68cac537597989e118204fd86bdf62d2569
com.github.michaelruocco	embedded-mysql-plugin	2.1.8		966f7acf9f48ce82dd5d0a424cff187f5a6eb5f3
com.github.mvv.routineer	routineer-scalaz_2.9.1	0.1.2		3fe35c650263b917e77887c85304aa2132d49d8b
com.github.pocketberserker	dog-all_2.10	0.1.0		N/A
com.github.pocketberserker	dog-all_2.10	0.1.1		6a4154cae19f0ba26c705eb9ddb7b255e64e8abf
com.github.pocketberserker	dog-all_2.10	0.1.2		4a2cadcc04ce3e8ca57aff86a3c8c55fac9649fc
com.github.pocketberserker	dog-all_2.10	0.1.3		74a2b30b3698296d061191d6b88be5b41ce66157
com.github.pocketberserker	dog-all_2.10	0.1.4		beb78fbb1811a8e3f3707ec235e0ae821fc818b8
com.github.pshirshov.izumi.legacy	app-akka-http_2.11	1.3.6		f616ccc93baeed0ff8032389ed6ffb17bc04e9a6
com.github.pshirshov.izumi.legacy	app-akka-http_2.11	1.3.7		b524e87a0eea29e96ed339744e83bd1b544b2f46
com.github.pshirshov.izumi.legacy	app-akka-http_2.11	1.4.1		7a987264f0402b31ca8431c415c0152f0671bdb7
com.github.pshirshov.izumi.legacy	app-akka-http_2.11	1.4.12		b3fb108d8574baf74f48aa731e6f560f2ecdf2bc
com.github.pshirshov.izumi.legacy	app-akka-http_2.11	1.4.13		67a22e6cf51386e33bb35c7a042dae595dabab99
com.github.pshirshov.izumi.legacy	app-akka-http_2.11	1.4.16		f65ad61f37e7ac43c45d85366edc0d94c8da8293
com.github.pshirshov.izumi.legacy	app-akka-http_2.11	1.4.3		df92aa3637261a9b64876aff9a48d18937c8b4f4
com.github.pshirshov.izumi.legacy	app-akka-http_2.11	1.4.4		7be2a7b6ad2848da27215007b86e0259abc2097a
com.github.pshirshov.izumi.legacy	app-akka-http_2.11	1.4.5		db6933aa1f8cab1fb7656dae355e327c4f17ec4b
com.github.pshirshov.izumi.legacy	app-akka-http_2.11	1.4.6		13e0fe9efba84324f28f3e8036226e4c88b1ae2a
com.github.pshirshov.izumi.legacy	app-akka-http_2.11	1.4.9		27e3e7d2545becf3bb0d194d75c946578e637f34
com.github.the-h-team	hermes-bungeecord	1.0.0		c05ea0ede957d93d46da231d0e894658b9f87382
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.15.0		dd27acc6eb6f1b808cc9e592847378cba11ea54b
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.16.0		05da6977ac7ce29e81a597aa872797dc19027d7e
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.17.0		241e8b98ce21a9b8865c9335d440c27ce3cbed38
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.18.0		7b2fff51077ebe2960d2f1904aaa5ec4378d65f2
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.19.0		d7787a6aa1a1751d490a5139d5d164e1964ba01f
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.20.0		53566bc716e6ad17d38030374d10d98d1fe6802f
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.23.0		f04c15fdb7e9f725dd6fdce39318902fffb58fe3
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.24.0		8164e780db5979da6f9089f157c34f3665820153
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.25.0		9ce8f6785c6b285da60cb6fc8e400283f20d2f12
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.26.0		b42175449c30a5b886d023d6075239157b9d438d
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.27.0		c168d8266dac4c052981419fb7eaa0f1b4a64f34
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.28.0		0d1001b442b50507a0704b902af490b63334bf61
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.29.0		10e69a83f9a584b6fb466cea3deb6e279a3f3089
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.30.0		4411c8d7608ffda70b2fd5da6fa5d24d3b6f520e
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.31.0		2a864c5448f61905d0cd10a63ccd533f95e2a7c2
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.32.0		a94a3c5496a3205744b15cca9a13031016e82bc0
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.33.0		5895d0b2015253d62843c0ff610d610386ac40da
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.34.0		34dd9b38e793744c0e10ceb4ed1f7f1c598c8f1d
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.35.0		a9fb6449580c81e6a4b65287f16254a21ec9bac4
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.36.0		22b4ced6948a6b33619581db3da325b34c26ee9d
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.37.0		d16799629c0445af42403b7be0d5ec4462dea684
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.38.0		22a022a1518c2d19b47e80ba0c11db732ab714d3
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.39.0		b6aaad7f57d5fc6def16effd0bb1cac2280194ec
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.40.0		3675c5e2cfe396960632a979ba3e24f10b24f409
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.41.0		ffb946ba924c56ac4f464608bb8ea52b5143b446
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.42.0		e34027e3b4cf98b63051b95a6f64945e0fa4a290
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.43.0		5cefbf1ebdd834d2d68c60f32f7610bbc360ed14
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.44.0		1b591d17b8bed9266e18adb0447f55848e8a9fab
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.45.0		c691d3e2be8f93783473b5fd90b833f1c1d9e8d7
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.47.0		edd524b3701eb1bd6899828c269511d4129a7fab
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.48.0		3995fe75c1179cfeb35257a750d9f7e2159df5eb
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.49.0		b7795d56a4212d18fd941b6a46f0c324ef4ec248
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.50.0		aeae9b91f901261dfb978fb5b0d6b47bcf969178
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.51.0		0ae86a9ab806502c3bab340f49c55653bc49ec2c
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.52.0		d7599662d32431531a6d36624bbcea4d83612005
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.53.0		5b42d696a8b3661410e4cdce8800cc2a9c365e1f
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.54.0		845ff50187155dfbdf197e48e77aa36d81b3e941
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.55.0		a87a298cedc7c54935b10c6542624ebdfbf2671c
