at.released.tempfolder	tempfolder-sync-linuxarm64	0.1		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.4.13		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.4.13	metadata	77f3ed33b8fb14982f48927598b18527cfae6b36
co.touchlab.skie	configuration-annotations-iosx64	0.4.14		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.4.14	metadata	141f8fd2192f1d881b98589bdccde290e77e5a99
co.touchlab.skie	configuration-annotations-iosx64	0.4.15		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.4.15	metadata	3b7bc6f75dea72a5aea178d1b911541e22fd8c04
co.touchlab.skie	configuration-annotations-iosx64	0.4.15-preview		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.4.15-preview	metadata	677ab9a5ccb56e16070363a489857a8005262c41
co.touchlab.skie	configuration-annotations-iosx64	0.4.16		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.4.16	metadata	0d4aa1342a8f4844ce67dda03a867ff3306a0aec
co.touchlab.skie	configuration-annotations-iosx64	0.4.17		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.4.17	metadata	fe62853d6a8f7482d11298f17c3ce4a0cef231c0
co.touchlab.skie	configuration-annotations-iosx64	0.4.18		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.4.18	metadata	6af405dbbff0fa94f09ccab80694c2a1ad971aa4
co.touchlab.skie	configuration-annotations-iosx64	0.4.18-preview		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.4.18-preview	metadata	17b9c663130d6a52d044d7ba850be17682549a30
co.touchlab.skie	configuration-annotations-iosx64	0.4.19		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.4.19	metadata	3438a84e81e9b94c7a07f639d2db6f4e69f24e67
co.touchlab.skie	configuration-annotations-iosx64	0.4.20		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.4.20	metadata	09bc2522fb737319dd39ad962475300b59717d8f
co.touchlab.skie	configuration-annotations-iosx64	0.5.0		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.5.0	metadata	afe1234270bf1dcd467660f13d493140b1ee9664
co.touchlab.skie	configuration-annotations-iosx64	0.5.1		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.5.1	metadata	c6e0c4dfd53abe9397d28a1556fa6219e5f50ead
co.touchlab.skie	configuration-annotations-iosx64	0.5.1-preview.1.9.20-RC2		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.5.1-preview.1.9.20-RC2	metadata	5d165cdeb0b946527b49f6a432624f311adbc964
co.touchlab.skie	configuration-annotations-iosx64	0.5.2		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.5.2	metadata	5f953bfded22249b6892f9c766d0bfd55356c8ce
co.touchlab.skie	configuration-annotations-iosx64	0.5.3		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.5.3	metadata	e7fa311fb7ec89e76ab3dd4a9929cc92e11eac50
co.touchlab.skie	configuration-annotations-iosx64	0.5.4		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.5.4	metadata	870ec302504bbe9ee2164c872205dc6cfdf0c266
co.touchlab.skie	configuration-annotations-iosx64	0.5.5		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.5.5	metadata	7cc275c8a29e5b3a1cfc263d84d1782e6bd0b208
co.touchlab.skie	configuration-annotations-iosx64	0.5.6		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.5.6	metadata	998ad285c9f0817ad9c68891350908b12b3920db
co.touchlab.skie	configuration-annotations-iosx64	0.6.0		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.6.0	metadata	4915df346cda5d940a9d0557c7a84e3812719cbb
co.touchlab.skie	configuration-annotations-iosx64	0.6.1		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.6.1	metadata	18eafbe36f8b8fe27f6bc30585fbce3fb664d0de
co.touchlab.skie	configuration-annotations-iosx64	0.6.2		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.6.2	metadata	6e32154fbfbe3cd3a816087f43f3875206bd7e1d
co.touchlab.skie	configuration-annotations-iosx64	0.6.3		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.6.3	metadata	ac186b368a4995048a63bff4a73a753fd946c01d
co.touchlab.skie	configuration-annotations-iosx64	0.6.4		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.6.4	metadata	3768e5bdf0e45bb5b2e551d008a2c4e3fe3e7951
co.touchlab.skie	configuration-annotations-iosx64	0.7.0		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.7.0	metadata	1060969a0355080893c1cca850915f628a30d93c
co.touchlab.skie	configuration-annotations-iosx64	0.7.0-preview.2.0.0-RC2		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.7.0-preview.2.0.0-RC2	metadata	0c905b6c2e578c00fdb2e51a737481353042ddfc
co.touchlab.skie	configuration-annotations-iosx64	0.7.0-preview.2.0.0-RC3		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.7.0-preview.2.0.0-RC3	metadata	290b9d93c2fcc6bcfbe34b7328092c62cd3fa1ab
co.touchlab.skie	configuration-annotations-iosx64	0.7.1		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.7.1	metadata	e29ed3bdb35ed26b5379289b937b1aade22f7a2f
co.touchlab.skie	configuration-annotations-iosx64	0.7.1-preview.2.0.0-RC3		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.7.1-preview.2.0.0-RC3	metadata	f925190c78a7b8aca9fa825f3d5fc5276c3c8554
co.touchlab.skie	configuration-annotations-iosx64	0.7.2		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.7.2	metadata	77eaacadefc4494fc8f09d546d2a5565c1932c9a
co.touchlab.skie	configuration-annotations-iosx64	0.7.2-preview.2.0.0-RC3		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.7.2-preview.2.0.0-RC3	metadata	500afb7622da9aba2ae90a4e5239d239017d02ad
co.touchlab.skie	configuration-annotations-iosx64	0.8.0		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.8.0	metadata	7732b7403923cd47f7fffe6a404f5c3fe792db4d
co.touchlab.skie	configuration-annotations-iosx64	0.8.1		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.8.1	metadata	621f70ebeb95c384f31e21412a9ab724aa4e6377
co.touchlab.skie	configuration-annotations-iosx64	0.8.2		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.8.2	metadata	43727eb7efe4af8d46687250540fef8cdde570d6
co.touchlab.skie	configuration-annotations-iosx64	0.8.3		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.8.3	metadata	d7b49921951a99b25759cad198866ba58c0dc069
co.touchlab.skie	configuration-annotations-iosx64	0.8.4		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.8.4	metadata	db2b39c89e11ffeef59158140fe7bdb116ffe563
co.touchlab.skie	configuration-annotations-iosx64	0.9.0		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.9.0	metadata	b0d41e4ea4f82f67ebad01498e555ea341e01254
co.touchlab.skie	configuration-annotations-iosx64	0.9.0-RC.1		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.9.0-RC.1	metadata	67f6821b64b6af6c934b9c1bb99c9a0b5b8ecacc
co.touchlab.skie	configuration-annotations-iosx64	0.9.0-RC.3		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.9.0-RC.3	metadata	f7103a7fd1c371331c400b1e47b0722c8ae8d414
co.touchlab.skie	configuration-annotations-iosx64	0.9.0-RC.4		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.9.0-RC.4	metadata	468a66c1f77e4f1692036b206133a64a149900c4
co.touchlab.skie	configuration-annotations-iosx64	0.9.0-RC.5		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.9.0-RC.5	metadata	f42cc27165ca91ded09ea466a8988602e731e276
co.touchlab.skie	configuration-annotations-iosx64	0.9.1		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.9.1	metadata	55a6ec16173817c67c3121b22407814160064efc
co.touchlab.skie	configuration-annotations-iosx64	0.9.2		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.9.2	metadata	f9525096bb7c159197bf079162d2f4a8e1f28529
co.touchlab.skie	configuration-annotations-iosx64	0.9.3		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.9.3	metadata	222a030c2d6bd5f29d88b73e4c7e727ee989647b
co.touchlab.skie	configuration-annotations-iosx64	0.9.4		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.9.4	metadata	00da8be8d2fc24ce81b23c7bb0ee77f3322cd114
co.touchlab.skie	configuration-annotations-iosx64	0.9.5		N/A
co.touchlab.skie	configuration-annotations-iosx64	0.9.5	metadata	8145a768dcc56519c617cd92a7a1e0d7fcbf42d0
com.carecon.fabric3	fabric3-contribution	3.0.0		aee51d0724cec2bc623109e5f4b53ba8cc5ecdf1
com.carecon.fabric3	fabric3-contribution	3.1.0		1b064f81d5b2fcea7a29e0651a8bf157234c5303
com.dustinredmond.groovytime	TimeCategory	1.0.1		c125a3e91d603c407b7810c885e5f23612fb86a0
com.fab1an	kotlin-json-stream-jvm	1.0.0		510570d4288052fed2eef93be55a234e91d451bf
com.fab1an	kotlin-json-stream-jvm	1.1.0		cb8a44fbabfbf4d24f2c08a33c81540c2b9e3001
com.fab1an	kotlin-json-stream-jvm	1.1.2		f4c44b7f271fe5257fcb40f144bcadd5481e8599
com.fab1an	kotlin-json-stream-jvm	1.2.0		88ff6f1d6c79579ef15dcfaacc8f300c63ff4f1a
com.fab1an	kotlin-json-stream-jvm	1.2.1		499be1cf3cda22f4b2d98ff2ff46cde1701026e7
com.fab1an	kotlin-json-stream-jvm	1.2.2		f031e7dc79cb1874f80551ffcfafd27e4b18667d
com.fab1an	kotlin-json-stream-jvm	1.2.3		7268b97f6325d0ad13f01e69eab3230647cc4573
com.github.fsanaulla	chronicler-url-io_2.12	0.4.0		663eebac5e7dc0d2d001b26c3bb79144b3b01c0c
com.github.fsanaulla	chronicler-url-io_2.12	0.4.1		b7d29b857d59dcd60038141cc4ec02d7373a0811
com.github.fsanaulla	chronicler-url-io_2.12	0.4.2		b3742f43bb1b842c52b1f4bf9d977b30595989b0
com.github.fsanaulla	chronicler-url-io_2.12	0.4.3		e065f027dda48c4a30a483cf13bd9827d543c637
com.github.fsanaulla	chronicler-url-io_2.12	0.4.4		b1878f43b5958173947d8606527f7c0c267670a7
com.github.fsanaulla	chronicler-url-io_2.12	0.4.5		6d06087a1158c03bd6e900ff0c3d0e4d1546094f
com.github.fsanaulla	chronicler-url-io_2.12	0.4.6		c97d19569ff3df596c96a1ea248ace120aa02def
com.github.fsanaulla	chronicler-url-io_2.12	0.5.0		345d4413e27baf0ce0e9ae99e89216e50fb72cf3
com.github.fsanaulla	chronicler-url-io_2.12	0.5.1		81b40b9a0cbea95a35166c341dcac97f82328fc8
com.github.fsanaulla	chronicler-url-io_2.12	0.5.2		77a938487ac96c17781a7fa390d6812d12417432
com.github.fsanaulla	chronicler-url-io_2.12	0.5.3		64c9bb6defbb0b69e895fe5ba08b72fe7420d43f
com.github.fsanaulla	chronicler-url-io_2.12	0.5.4		6769c6afa5ffa9ba1298962da202a369ebe66902
com.github.fsanaulla	chronicler-url-io_2.12	0.5.5		8f5ef7b8a9936848d9fd3b79243bd1616ded02d3
com.github.fsanaulla	chronicler-url-io_2.12	0.5.6		b7bc1adf72dae6d378546440a9571e17722d9a8c
com.github.fsanaulla	chronicler-url-io_2.12	0.6.0		c69d4b33e44c9205ae69cde33bdc9d898586a27c
com.github.fsanaulla	chronicler-url-io_2.12	0.6.1		f2ac46fd67bd324b2b36d59f640468439302e5bc
com.github.fsanaulla	chronicler-url-io_2.12	0.6.2		05043889253ce0db86f4e9879a68bd5739186399
com.github.fsanaulla	chronicler-url-io_2.12	0.6.3		8937834436efb636041275a7739d44d469e35bc4
com.github.fsanaulla	chronicler-url-io_2.12	0.6.4		3efaf7f044ecfd2fb76728614c7d0c6de4ba7ce0
com.github.fsanaulla	chronicler-url-io_2.12	0.6.5		bb47a8bc42f91468ccd06832f3c148146066f5c0
com.github.fsanaulla	chronicler-url-io_2.12	0.6.6		8e185427e99e6c54c073a858a3cea8177ba3bbb5
com.github.fsanaulla	chronicler-url-io_2.12	0.6.7		2b6f5a2300bba132cf8f8a87b668314b95f2f457
com.github.fsanaulla	chronicler-url-io_2.12	0.6.8		a969e12522ebd9141a8b7f391767a3621acfc891
com.github.fsanaulla	chronicler-url-io_2.12	0.6.9		002eb25793ffb8256c3f25488cfba20b889817b5
com.github.fsanaulla	chronicler-url-io_2.12	0.7.0		031ae528d1e2411893fa446facaa1c32214a8cff
com.github.fsanaulla	chronicler-url-io_2.12	0.7.1		4db912de5551dbe59c703330975985c9c15be315
com.github.fsanaulla	chronicler-url-io_2.12	0.7.2		d6dec8753ecd1fde49f73aa4f79f3f0744026b2d
com.github.imrafaelmerino	json-dotty-values_0.21	0.21.0-RC1		7b9fde060ecbeb9771bbd99620442371d7abd4ca
com.github.imrafaelmerino	json-dotty-values_0.21	0.22.0-RC1		e6ca39dd890732bbb3e9a567424d602409a6644a
com.github.imrafaelmerino	json-dotty-values_0.21	3.0.1		56dd188efed574e118d017788eb50ade834735de
com.github.imrafaelmerino	json-dotty-values_0.21	3.0.2		e9a8c6fd0647f1f84d61e40f26d4c59cda998ddc
com.github.imrafaelmerino	json-dotty-values_0.21	3.1.0		adb33369cd7bdc3932fd2eaa3275c3a1bce62585
com.github.pwittchen	networkevents	1.0.0		N/A
com.github.pwittchen	networkevents	1.0.1		N/A
com.github.pwittchen	networkevents	1.0.2		N/A
com.github.pwittchen	networkevents	1.0.3		N/A
com.github.pwittchen	networkevents	1.0.4		N/A
com.github.pwittchen	networkevents	1.0.5		N/A
com.github.pwittchen	networkevents	2.0.0		N/A
com.github.pwittchen	networkevents	2.0.1		N/A
com.github.pwittchen	networkevents	2.1.0		N/A
com.github.pwittchen	networkevents	2.1.1		N/A
com.github.pwittchen	networkevents	2.1.2		N/A
com.github.pwittchen	networkevents	2.1.3		N/A
com.github.pwittchen	networkevents	2.1.4		N/A
com.github.pwittchen	networkevents	2.1.5		N/A
com.github.pwittchen	networkevents	2.1.6		N/A
com.github.scalaprops	scalaprops-core_native0.4.0-M2_2.11	0.6.2		5c001f379f6f2e29ddc50681b0dafcb6ef0a0731
com.github.scalaprops	scalaprops-core_native0.4.0-M2_2.11	0.8.0		0b86385938ff03140d009ce3e4ef34604769392f
com.indix	steve-client-scala_2.10	0.0.6		1117d29e5cb4ac8e00b1549a88395b4836a4f356
com.indix	steve-client-scala_2.10	0.1.100		749adf86a3d5fba8940792bd1346715c57382401
com.indix	steve-client-scala_2.10	0.1.103		e1b3d17dbc906199ebcbd4f356b209378bf07e3f
com.indix	steve-client-scala_2.10	0.1.111		ce229b523d7c1195bfbb69f6272a1507aa8f54e0
com.indix	steve-client-scala_2.10	0.1.112		909e3a69b53d6a8cd4f706b50c5b507072f19c42
com.indix	steve-client-scala_2.10	0.1.113		a9382b0c5fb78e0916988b61f2a2b0f4173dbd81
com.indix	steve-client-scala_2.10	0.1.114		6eee385f58eb6776e8493d0d138c8e46ac88d406
com.indix	steve-client-scala_2.10	0.1.115		c56708063e65fab6785b45169c1bbd9ac417525f
com.indix	steve-client-scala_2.10	0.1.87		44c66c9b6279f5318ab5b93898f4025f034a3652
com.indix	steve-client-scala_2.10	0.1.88		e270c18b63ba06f96e8ec54a35ee65a04ce1484f
com.indix	steve-client-scala_2.10	0.1.89		927d376616d291c8e9e5b8e1856f41b4cebde958
com.indix	steve-client-scala_2.10	0.1.99		49863ae8dab58d41e45c1daf40f53ecb165ea620
com.javax0.geci	javageci-docugen	1.2.0		0a30abb680f51047b296c8f75c6f2e028730ce78
com.javax0.geci	javageci-docugen	1.3.0		5bb6c6ae776ff6536894ca538d77d24f8aea393f
com.javax0.geci	javageci-docugen	1.3.0-JVM8		01f00108d8fa7480489f8fa136739964ef08f7bd
com.javax0.geci	javageci-docugen	1.4.0		48743ae455365a0428087f0830e3fed4f69fb780
com.javax0.geci	javageci-docugen	1.4.0-JVM8		abafcc3fe70eb5368be9137b009c324a53727535
com.javax0.geci	javageci-docugen	1.5.0		56f654babeba0024016fcc87aaa905dac56e673c
com.javax0.geci	javageci-docugen	1.5.0-JVM8		d073cf15b05a84214aadf31d48e4b3ac6f94bc9a
com.javax0.geci	javageci-docugen	1.6.0		9d5577c7598817355516b1c409c4e066a3ba7470
com.javax0.geci	javageci-docugen	1.6.1		30be5bbac822d36415867735342b17ecb104f9dc
com.javax0.geci	javageci-docugen	1.6.2		de75cb8861b1f5c2abc0841f2e607884d4cab186
com.javax0.geci	javageci-docugen	1.6.2.1		1a5187f34527a12d14a912ce3a419ceda12c3a8a
com.jporm	jpo-commons-types	8.1.0		789f2477b336136af0df5b36ed4dc5c3f791e533
com.jporm	jpo-commons-types	8.1.0-alpha.1		8728e044692109fe03bfaaa60f604314df125a86
com.jporm	jpo-commons-types	8.2.0		2a5868da072edfb8dc160a62be93f646380619c8
com.jporm	jpo-commons-types	8.2.1		b6ed12ae989e2c68bbb2533295238a60ea49c4c4
com.jporm	jpo-commons-types	8.2.2		dea27f730355cdf752a4aec573797e943e713bff
com.jporm	jpo-commons-types	8.3.0		22486d49fc59db454751feeff911e8fde4154952
com.jporm	jpo-commons-types	8.3.1		be5b33ca94596eed0e8e26a972197771a4d83978
com.jporm	jpo-commons-types	8.3.2		bf5e4d61f70d58692998140fe41eb6800c81085e
com.jporm	jpo-commons-types	8.3.3		4b14ae549aadc05c5b962da6a76291616576e582
com.jporm	jpo-commons-types	8.4.0		de50cf23b6d2ffb892f60d66f8f42a3b602004d8
com.jporm	jpo-commons-types	8.5.0		a11e4b22dcde98f34caefc5cab8e124e057dc3d5
com.jporm	jpo-commons-types	8.5.1		ea4fc3bd7b7447a872df0f79edbc5b6e7c614a6d
com.jporm	jpo-commons-types	8.5.10		533cc6df20195d0388ef3fda10b8a30436aa9881
com.jporm	jpo-commons-types	8.5.11		ed990dac07a8b102fa1edb03cc7d083e1b127217
com.jporm	jpo-commons-types	8.5.12		12f60dae008aff5f1459f95e3b6fdc785feb6a87
com.jporm	jpo-commons-types	8.5.2		999c3409329e99c59d26b8854e97b7f54bb252ca
com.jporm	jpo-commons-types	8.5.3		6b3ab2f61c48d225037ee0d1b6eb9eee6468c99e
com.jporm	jpo-commons-types	8.5.4		891b28ef96e958933414c9115808e2b18a6cb4b3
com.jporm	jpo-commons-types	8.5.5		4bf1361813f56e5bb0c15e41b8f7e52b8ae79cff
com.jporm	jpo-commons-types	8.5.6		01ca316fe8d49f097e305e9c6ef40a003e58b7ec
com.jporm	jpo-commons-types	8.5.8		3ede5e52242c58fc16825937167f21f1d0056c10
com.jporm	jpo-commons-types	8.5.9		93f5d5ad9d846508ce34743c3ba0c8d10d1e0633
com.jporm	jpo-commons-types	8.6.0		3001ebcbc9a9789ed8860174ab83b332c73ae634
com.jporm	jpo-commons-types	8.6.1		ca6daab1823132a0bebd8532753289375af86324
com.jporm	jpo-commons-types	8.6.2		fe40876af4c4d342eaf23a78066e718937fcedee
com.jporm	jpo-commons-types	8.6.4		40d5c20a88230d81224eb40cf6b1ec9eb476f91f
com.jporm	jpo-commons-types	8.6.5		016a3e40ecba81b3f38f90066cc020977e29511e
com.jporm	jpo-commons-types	8.6.6		fc8fd83eb435d7bc2d1c8761012df568e9c332e5
com.jporm	jpo-commons-types	8.6.7		0877b2f81bab394a0ffebc744131cc3cd872f75c
com.jporm	jpo-commons-types	8.6.8		6f8ba6921639a14abd5b5fbc2dca6e60ec89c1b3
com.jporm	jpo-commons-types	8.6.9		c05225fae8239a5f8a3e9116223074a665bcfeea
com.jporm	jpo-commons-types	8.7.5		2aff98b572bd12183e12f40626ee91a2ebae2c45
com.jporm	jpo-commons-types	8.8.0		e3a620329f1457fa828a2f51b8bd33b81778b3e2
com.jporm	jpo-commons-types	8.9.0		c7696a94494dd5db91a0097569c3afd0a97c2133
com.marklogic	marklogic-spark-connector	2.0.0		9c636716d03f9fbcb4d2505079a21612835e2771
com.marklogic	marklogic-spark-connector	2.1.0		989e7f6db7e79a89ff18ecacb8879976a7ef7591
com.marklogic	marklogic-spark-connector	2.2.0		49f18c5e2a4e8146cd5580ca88c7d5be946304be
com.marklogic	marklogic-spark-connector	2.3.0		fbd75fd8fc5d9e2f3b4cd24c2bc29d37c0bc83d1
com.marklogic	marklogic-spark-connector	2.3.0.rc1		a8b0072745096cf663e6c08a9c32c8e4d300de12
com.marklogic	marklogic-spark-connector	2.3.1		dd2a0bba065b8054d9fa34c14c5e28fe316696bd
com.marklogic	marklogic-spark-connector	2.4.0		1382546a00adb4051a12db8a49b2a1e46f54aef3
com.marklogic	marklogic-spark-connector	2.4.1		72612d7fa261b73c00b7645ce8d4b0c56aec9605
com.marklogic	marklogic-spark-connector	2.4.2		cfa1030117b86b01ddde8987360f9c0e315b2f8d
com.marklogic	marklogic-spark-connector	2.5.0		d90f7f7dc0ee45231a38f43c433e47b2821684af
com.marklogic	marklogic-spark-connector	2.5.1		6c13b0055c9d2f3262e7c32d2a6eb3927fbcdb10
com.marklogic	marklogic-spark-connector	2.6.0		1af4639244e5043604938adc52f776699434fb15
com.outr	scribe-extras_sjs0.6_2.11	2.0.0		54bf3e049976f8c63b06df0ab1f24c51540d39ae
com.outr	scribe-extras_sjs0.6_2.11	2.1.0		fab86cdad73eccd0ecdc31cb8c5a28977e81b797
com.outr	scribe-extras_sjs0.6_2.11	2.2.0		6326e9645a9bdd9b235237e5d8ba51b5f0ac0276
com.outr	scribe-extras_sjs0.6_2.11	2.2.1		7b1c3494d051b8791726a41c982d935eb03165d7
com.outr	scribe-extras_sjs0.6_2.11	2.3.0		25a616a49aecc0755885beb5d1f09c3e3bdf98a6
com.outr	scribe-extras_sjs0.6_2.11	2.3.1		cbabf6155aaef118c0aa89ad035c1abcc137d230
com.outr	scribe-extras_sjs0.6_2.11	2.3.2		91d4cfe23d274fedf416615d46f71b73a6d86f02
com.outr	scribe-extras_sjs0.6_2.11	2.3.3		86dd0ddb0b9ea5b2c079c3dab491917d70569771
com.outr	scribe-extras_sjs0.6_2.11	2.3.4		fea5c105cbb72e13b612c9bf0d4005e87794bb2b
com.outr	scribe-extras_sjs0.6_2.11	2.4.0		09515d88c3680bc38307e75b44262a46d9399efc
com.projectdarkstar.ext.fenggui	fenggui	1.0-S1		41f29c2131684fed296dc6000bac4813cba267f9
com.projectdarkstar.ext.fenggui	fenggui	Rev359_lwjgl2.0rc1		b71413bc89117de642aca6ae616fabfc5a6930fe
com.qdesrame	openapi-diff	1.1.0		3f19e79990176a38981a25bdc3292289f9fdb897
com.qdesrame	openapi-diff	1.1.1		42c5e29fab1bc09322c91d50c6bb897b642d9ff9
com.qdesrame	openapi-diff	1.2.0		11e6f69ad106a85d8acf2641dcdc65c06814a342
com.samaxes.filter	cachefilter	1.2		468eaa99599d67c253eb9c157433ecc1fcf8f74b
com.samaxes.filter	cachefilter	1.2.1		732232c72b39f1e9712478e1c1dc3bcdad6ec4ec
com.samaxes.filter	cachefilter	2.0		44b5fa89ec350e327dfe2f31d6520e6945b0d395
com.samaxes.filter	cachefilter	2.1.0		08e8954d7b6316b0c7858256cac9adaafb928231
com.samaxes.filter	cachefilter	2.2.0		fc6202b108bbff96d5c195e5be222e02a24e257a
com.samaxes.filter	cachefilter	2.3.0		8b8e7e6f79bf7ecc1eedde7d6b04d996615b2bc7
com.samaxes.filter	cachefilter	2.3.1		e19a49900a9ca84ba8ad9c2ece4630d7cafc1502
com.twitter	summingbird-storm-test_2.9.3	0.3.4rc1		6a862ac18ffa7cc38b508eff2d4003936210cf4e
com.twitter	summingbird-storm-test_2.9.3	0.4.0rc1		0a3d719e0e2b7a2fa502852df741ec286d5c2070
com.twitter	summingbird-storm-test_2.9.3	0.4.1		f84ff6603c54495b0645c085d5665c7d2dfcf53b
com.twitter	summingbird-storm-test_2.9.3	0.4.2		b977c837000dc015048c6faeca3c9280ad09daa0
com.twitter	summingbird-storm-test_2.9.3	0.5.0		0acfef9740211783db209874faf8d4a94e500fb9
com.twitter	summingbird-storm-test_2.9.3	0.5.1		2dde0b845215b93be8e20fd53c91f0d594cfff46
com.twitter	summingbird-storm-test_2.9.3	0.5.2rc3		9af24bd5492d1cdb997761eab003d6e4b081bcd7
com.typesafe.play	play-jdbc-api_2.13.0-M5	2.7.0		c50c99cbbe9fff16cf0dc8eb422e47561da1b855
com.typesafe.play	play-jdbc-api_2.13.0-M5	2.7.1		a27327af471ccc73e6c5bb40ae0efc94fb655eda
com.typesafe.play	play-jdbc-api_2.13.0-M5	2.7.2		ae3f16cdd62bec5fc9300206d5f705fbe95afc69
com.viajobien	scala-pdf_2.12	0.1.0		8048c4969d50c00b9fc5e426005703a928b70a09
com.viajobien	scala-pdf_2.12	0.1.1		ad29e2f93f6690dec3d8fb9ecf54491d7a67f7f4
com.wcinformatics.tt	tt-rest-client	1.0.0		33d7e76db63b8eabd8818592c5a240b06cfe93be
