apache-jaxme	jaxme-incubation	0.2		673e597271e0a5c22680efbaefdfe9c8c35ce1ff
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.12		b4f232264cf12122f365a9649cda35e42b9e0dbb
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.12	wsdd	1b1245fc0eb97ded0915937d9bd25b4758002199
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.13		75d50f4e78ed4e32c33e85fe4d266e08fa8c22ad
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.13	wsdd	f10d7423b0be122d9dd06d883b9165df067b73d9
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.14		2d36693bf7491c5b2311b79d8a71e83f36498791
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.14	wsdd	1205fe236f3199813998d1b41ae0df73cd223d5b
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.15		89a5579dbcd76bfc68f480c1612544899bc10c52
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.15	wsdd	5e5c33c91445f27d907e67549790afb4828e86c3
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.16		8efb00981dce466bb45a1378508efaaa0250cd68
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.16	wsdd	3d7b655be82e13fc488d4c09b7ad21c7c321b13d
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.17		6f37b41d6a0420630503b2785cbf3ffb251a6297
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.17	wsdd	2bbdf5c259499cc1f6fbf652bdc1d281e4a7f546
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.18		459ccfcec26b2c6ed0a5239d290b3863885dfac1
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.18	wsdd	ac33fc55ab9e2ea8e34c0fa535809378d63ae591
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.19		ed3de46b98791dfb660524af1c448e0d36673adb
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.19	wsdd	77670a9c7714c778d92a3e93cb1b6a053737d981
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.2		a9336833e7b62d6fa16fd0cf43bcb14818e88a3d
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.2	wsdd	35ae2a821eb39888057f63b881a347a6bd1901e0
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.20		cecd281d0cf99b43936036696612f2674026d126
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.20	wsdd	539a28104996865c92f73852d7ff37a40587353e
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.21		30fb9148f8a5952797ab8ff5cdc349af1bb4ab1f
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.21	wsdd	a835a39584c012b1ac5134a3b55d2517d9394d28
