app.cash.treehouse	app.cash.treehouse.gradle.plugin	0.1.0		N/A
com.aliyun.odps	odps-sdk-core	0.31.4-public		a6d4bbc321e34d62cecd27c7335f7aa55225fb1a
com.aliyun.odps	odps-sdk-core	0.31.5-public		380044367a1307c86d1f3d11d281a46ecd431bc6
com.aliyun.odps	odps-sdk-core	0.31.6-public		724223d5620248bdbbf63fd5adfb7262f6587c4b
com.aliyun.odps	odps-sdk-core	0.31.6-public	shaded	a81849cd46436e36803f14db197bf35490f52766
com.aliyun.odps	odps-sdk-core	0.32.5-public		9e2300b1bba42704bc4aecbc686f6c7d45d0d056
com.aliyun.odps	odps-sdk-core	0.32.5-public	shaded	9413896be331c3e51da48fad0bb4ec85c013fcac
com.aliyun.odps	odps-sdk-core	0.33.7-public		155885fb5db319bb4362a2f642fe0d65b8f9dbc1
com.aliyun.odps	odps-sdk-core	0.33.7-public	shaded	80958a1c8f28e8b8f2097f25b7e4f968d8f8f8b2
com.aliyun.odps	odps-sdk-core	0.34.4-public		dc376627ad16eeed4ee66b0154b95628410d96dc
com.aliyun.odps	odps-sdk-core	0.34.4-public	shaded	91c81f06228ce121ec089aa5fc7b41800cf5881f
com.aliyun.odps	odps-sdk-core	0.34.5-public		97c09e5c22910ecf5aa8db01ea68387c84b78c0d
com.aliyun.odps	odps-sdk-core	0.34.5-public	shaded	d1d6fbd1e46ae062787701065adf9290fa29ea16
com.aliyun.odps	odps-sdk-core	0.34.6-public		d1948c4351a93e3a9d859f9fdfabc4ba1d6b74ac
com.aliyun.odps	odps-sdk-core	0.34.6-public	shaded	043e60fceff22a660dc2ef628eab120cd025b3fb
com.aliyun.odps	odps-sdk-core	0.35.5-public		c60f16c10664d93b44758083cd24cc3253c4a3f9
com.aliyun.odps	odps-sdk-core	0.35.5-public	shaded	1c2193e205da1ab732bc510b3288da362421478e
com.aliyun.odps	odps-sdk-core	0.36.4-public		8c2d26c292fa82632d9a56d8112d5c111acf80b7
com.aliyun.odps	odps-sdk-core	0.36.4-public	shaded	09925b1f6c9b88f9dcad0f481ba633dfbafff532
com.aliyun.odps	odps-sdk-core	0.36.7-public		e78853fffd06876892bd125018f580541b38f65a
com.aliyun.odps	odps-sdk-core	0.36.7-public	shaded	b6a89012bcdd9fe95cb832a65798b2e49a46650a
com.aliyun.odps	odps-sdk-core	0.37.10-public		ceda4e245a22216f62317bb7c380d19dddb67776
com.aliyun.odps	odps-sdk-core	0.37.10-public	shaded	f941a45307fb62783a8cfeff5c38afd95919385a
com.aliyun.odps	odps-sdk-core	0.37.9-public		0b65a7a8f85157c41cbee19dccddad63e01aecf5
com.aliyun.odps	odps-sdk-core	0.37.9-public	shaded	9889a7d9af6e16349d265d08feb96c582d7b7933
com.aliyun.odps	odps-sdk-core	0.38.3-public		982a63101fe725bfe7ed5f8581396cd6dabe7b8b
com.aliyun.odps	odps-sdk-core	0.38.3-public	shaded	db777d35f64f8a29cce5346f04c8743917c1741f
com.aliyun.odps	odps-sdk-core	0.38.4-public		952ab2ecfac184191fe955529900d89c80cabdea
com.aliyun.odps	odps-sdk-core	0.38.4-public	shaded	2dc69156d9812844c0e51e3d6e4ebb9e5f294126
com.aliyun.odps	odps-sdk-core	0.40.10-public		31a83f95448e74d70c7a38dd11ae0ef6ca6d44e3
com.aliyun.odps	odps-sdk-core	0.40.10-public	shaded	044c9aed65d3fcdf71a31f40bb9670c8707d0010
com.aliyun.odps	odps-sdk-core	0.40.8-public		7b8838def76fc654ef57ccda46d5de95fb7afa2a
com.aliyun.odps	odps-sdk-core	0.40.8-public	shaded	f58b56e11989d161a2e38c9617d8bf277206ddb0
com.aliyun.odps	odps-sdk-core	0.41.1-public		e5842357b7bab43ab38a99c958171c6e133cd70e
com.aliyun.odps	odps-sdk-core	0.41.1-public	shaded	c50946caa8f98c3c40d18afcd0379d6606f3e7fc
com.aliyun.odps	odps-sdk-core	0.43.0-table-api-public		1a8ac6ef5c1d97409e9cda387acb4ec6afe8b4aa
com.aliyun.odps	odps-sdk-core	0.43.0-table-api-public	shaded	8c98f8aaaf55b6b9f0170b763aa43b22506436d1
com.aliyun.odps	odps-sdk-core	0.43.1-public		947276fe9da4dccc8a1551cbaa93603b00b17ac1
com.aliyun.odps	odps-sdk-core	0.43.1-public	shaded	fdcd9ba6a020942ab4d66eb1a592c16ae60be386
com.aliyun.odps	odps-sdk-core	0.43.2-public		80d814e26befad90ed53c2bc38aceab36e57dc41
com.aliyun.odps	odps-sdk-core	0.43.2-public	shaded	18073de3f932428eb6826e3e3e92066cb450584b
com.aliyun.odps	odps-sdk-core	0.43.3-public		9e702fef2ee1f14cc5ad4e893d7c77be6ecb6c6b
com.aliyun.odps	odps-sdk-core	0.43.3-public	shaded	9e42756001be30cb4ad7ac69b482a7252be64414
com.aliyun.odps	odps-sdk-core	0.43.4-public		e3aebd65fe8634577f2e6a9083a3b4931fc50c8c
com.aliyun.odps	odps-sdk-core	0.43.4-public	shaded	94cfd0db0d678545588dca86701475f052627b45
com.aliyun.odps	odps-sdk-core	0.45.0-public		b805121d6359016defcf85bbbb8ff21141f03980
com.aliyun.odps	odps-sdk-core	0.45.0-public	shaded	856f91e22096761da3aec0963d2e804bcbbefd0d
com.aliyun.odps	odps-sdk-core	0.45.1-public		f47bdcf37dc10f807ab50a02688fbe0d4ec97ef5
com.aliyun.odps	odps-sdk-core	0.45.1-public	shaded	7ed4a135e65f247372c794ee0319d3ffd3cfb396
com.aliyun.odps	odps-sdk-core	0.45.2-public		939a23d2958fc27dd6c2e2b85d83062e80da83c3
com.aliyun.odps	odps-sdk-core	0.45.2-public	shaded	56f7426de231c86ad5497142e7f758048e422fa7
com.aliyun.odps	odps-sdk-core	0.45.3-public		e8e0e6ad5752f573e7cc086ede29e2ba1d5fa06c
com.aliyun.odps	odps-sdk-core	0.45.3-public	shaded	f3da262e3396ccba106c410a99de171353242886
com.aliyun.odps	odps-sdk-core	0.45.5-public		00997ac7d966ce4f2f854d8f8c745af26bed66ba
com.aliyun.odps	odps-sdk-core	0.45.5-public	shaded	2a138277deda3f8ff9826e9f917447888057d2e1
com.aliyun.odps	odps-sdk-core	0.45.6-public		7b74c398ae5739b0d87b7ddda638e59a79e8ea07
com.aliyun.odps	odps-sdk-core	0.45.6-public	shaded	4570a2551c62c5f8f56c921d6803da490a59cf02
com.aliyun.odps	odps-sdk-core	0.46.13-public		7f8e25bd7eaee2e8b6659b87782b15a74e01405b
com.aliyun.odps	odps-sdk-core	0.46.13-public	shaded	2cfc5f6503038bb39c7cc0be6628b62de52911f1
com.aliyun.odps	odps-sdk-core	0.47.0-public		8b63696b53a12d3495ebbc1d35b19ee69b84637a
com.aliyun.odps	odps-sdk-core	0.47.0-public	jar-with-dependencies	e5b9809fd0b0c6e616c13f57bfa3e4a877ac74e2
com.aliyun.odps	odps-sdk-core	0.48.0-public		6dcb36ba8a317c1359172c5424ae99657eb35b5d
com.aliyun.odps	odps-sdk-core	0.48.0-public	jar-with-dependencies	c0756985421b463c41a163e52c0ec0d20e4b20e6
com.aliyun.odps	odps-sdk-core	0.48.1-public		d4934bd14af5aca04a623402f51af172ebc93349
com.aliyun.odps	odps-sdk-core	0.48.1-public	shaded	c1267b512c7492c90d5633c945f2bd08c0ea62b7
com.aliyun.odps	odps-sdk-core	0.48.2-public		d885e2099973138df6948ea4cc420e41b8026f69
com.aliyun.odps	odps-sdk-core	0.48.2-public	shaded	6b3a4e7af6a1d027b345cce6f53aef2bbc65171d
com.aliyun.odps	odps-sdk-core	0.48.3-public		cfd17d177d79431f728d06e37cf7f829877a1e2d
com.aliyun.odps	odps-sdk-core	0.48.3-public	shaded	52b980e04a4840b6db8929dc30ee24e07ef01ff1
com.aliyun.odps	odps-sdk-core	0.48.4-public		e1c741c8e84a99311e47b501c10ff881b8fe8137
com.aliyun.odps	odps-sdk-core	0.48.4-public	shaded	07c6e2c0dfb91338277cf105165dee3e8269fe0e
com.aliyun.odps	odps-sdk-core	0.48.5-public		b1cb92dce3ae289e9d2d66092ff8af5e6b9903b7
com.aliyun.odps	odps-sdk-core	0.48.5-public	shaded	72c873e8b349187fd7272d9ec4783644c570e1f1
com.aliyun.odps	odps-sdk-core	0.48.6-public		f11cea4f70090b5c6ad5b7495406749069995e55
com.aliyun.odps	odps-sdk-core	0.48.6-public	shaded	d2cbf2af3c150df22b242762b40977076ab0ad8f
com.aliyun.odps	odps-sdk-core	0.48.7-public		5f4d090cb7c50f733a23d2385e02500e96e38a4b
com.aliyun.odps	odps-sdk-core	0.48.7-public	shaded	1cc4040f3f37c3a1df057f1562b48f62838ceb28
com.aliyun.odps	odps-sdk-core	0.48.8-public		2a757492300e1508441b7702e5133cc5f5f8f281
com.aliyun.odps	odps-sdk-core	0.48.8-public	shaded	eebfc054d2872be49fc7ff175d6fa7e75dc29dfd
com.aliyun.odps	odps-sdk-core	0.48.9-public		99b25a2e82e533df66fbb2a4ea10485594e8fd79
com.aliyun.odps	odps-sdk-core	0.48.9-public	shaded	cba0c90f304d87e8da6358649502a31b8e02cf46
com.aliyun.odps	odps-sdk-core	0.49.0-public		3190738eda345be7438cdd10cfb74ee838325c62
com.aliyun.odps	odps-sdk-core	0.49.0-public	shaded	b1d654bd6cc0200bdbfbb322e8efab8f07f71f36
com.aliyun.odps	odps-sdk-core	0.50.0-public		74d52a64f9e5729fd9a5e6ec54bc256155eaa983
com.aliyun.odps	odps-sdk-core	0.50.0-public	shaded	e5ca3fdab78d4f49bd1d13bd6c286ab63083ed57
com.aliyun.odps	odps-sdk-core	0.50.0-rc0		e3c5d7c5b9bf0ee408a21eb354102d25544cce45
com.aliyun.odps	odps-sdk-core	0.50.0-rc0	shaded	45078b4459b168e9f55785b52d33f70252a68889
com.aliyun.odps	odps-sdk-core	0.50.0-rc1		b8e38da1d43d3f125f64f91b1046295129797caf
com.aliyun.odps	odps-sdk-core	0.50.0-rc1	shaded	859106f5b4e63c5577296cdc2b9a2b01a4bb9234
com.aliyun.odps	odps-sdk-core	0.50.1-public		df76916a9b77cd927650aa3dca5af998f04a17de
com.aliyun.odps	odps-sdk-core	0.50.1-public	shaded	d55d4c5a134718ac5b4075f63a03f43a397e99e9
com.aliyun.odps	odps-sdk-core	0.50.2-public		14d19844f42e2ac2684fce38376d44afabde1edb
com.aliyun.odps	odps-sdk-core	0.50.2-public	shaded	2f4b41bf3467f93603273a9561c1f1f4b5327c42
com.aliyun.odps	odps-sdk-core	0.50.3-public		524baeaa59a0bc5f14e40e81ef530d22899801d0
com.aliyun.odps	odps-sdk-core	0.50.3-public	shaded	9c1a29893d939459d16653b8fed7a4acdae0639f
com.aliyun.odps	odps-sdk-core	0.50.4-public		0c16f4cf25615dd1a83304242019f850a2db8694
com.aliyun.odps	odps-sdk-core	0.50.4-public	shaded	c53a90fbb3adb4eade3342410123cd2e5acaf1b1
com.aliyun.odps	odps-sdk-core	0.50.5-public		3ab797d1fe6f2dccb262c44f0adc7f259eb089c5
com.aliyun.odps	odps-sdk-core	0.50.5-public	shaded	79c0678d1aaa1360350ace35693ac14c9546ab1f
com.aliyun.odps	odps-sdk-core	0.50.6-public		64e9f17568cc17eee1bccc70cffe0e2c7c9351d0
com.aliyun.odps	odps-sdk-core	0.50.6-public	shaded	89b0db588845e8b46b3446fcdaf1141e82a8674f
com.aliyun.odps	odps-sdk-core	0.51.0-public		5deafd1eb254931cc214cb2d5cbcb820c1ada5ae
com.aliyun.odps	odps-sdk-core	0.51.0-public	shaded	37430cecb4fae2716f33f1abdc0ee06a9d240826
com.aliyun.odps	odps-sdk-core	0.51.0-public.rc0		1fb4b850dc44f65012b781b39eef38cb4f9ae82e
com.aliyun.odps	odps-sdk-core	0.51.0-public.rc0	shaded	c5e9b2be075e3127b13e3420163ac5769887c87e
com.aliyun.odps	odps-sdk-core	0.51.0-public.rc1		947cfae995615e50ff7789e5f8ebcd85000455ec
com.aliyun.odps	odps-sdk-core	0.51.0-public.rc1	shaded	a4450a01caf9d8c94712f74ff732c7fac71584c6
com.aliyun.odps	odps-sdk-core	0.51.10-public		a29594625a0187d511b3ce544cffe9fd301c71af
com.aliyun.odps	odps-sdk-core	0.51.10-public	shaded	832009749d5332d9fbe3c6c70c4b82349245036f
com.aliyun.odps	odps-sdk-core	0.51.11-public		874e4973341288ba6502ae46dc274a67edf4b45d
com.aliyun.odps	odps-sdk-core	0.51.11-public	shaded	d548aa66b1abafa9c38dcaa9d6641c7677b362bd
com.aliyun.odps	odps-sdk-core	0.51.2-public		e79b2cb208607c709652bdff453628abae57e782
com.aliyun.odps	odps-sdk-core	0.51.2-public	shaded	73f638278941b7cf52c7e7ac58c2a13a98c9e74a
com.aliyun.odps	odps-sdk-core	0.51.3-public		47e99727dc7684c169075e07c7a13b53777d2291
com.aliyun.odps	odps-sdk-core	0.51.3-public	shaded	4aa25d7066b7e5409b964cd8d24c2ca9c7bd9f70
com.aliyun.odps	odps-sdk-core	0.51.4-public		b8ae99a0d49a89759f6614415f4baafbec5f08a4
com.aliyun.odps	odps-sdk-core	0.51.4-public	shaded	775a1689b111329fbebdf450617752eec3f69109
com.aliyun.odps	odps-sdk-core	0.51.5-public		aeedaeabdd4795e495a7fffc3a64ad1488303d1b
com.aliyun.odps	odps-sdk-core	0.51.5-public	shaded	8601172d9f4347f63e6f7b2fb65a3156e66c02ac
com.aliyun.odps	odps-sdk-core	0.51.6-public		8e4a1dd1dcd143aa1be0161d438f7c8556f0ae71
com.aliyun.odps	odps-sdk-core	0.51.6-public	shaded	a7434efa922bda2d23f276dec4e31906a9d94bfc
com.aliyun.odps	odps-sdk-core	0.51.7-public		21ce6b4e65de27cdc8d03fd4a72d4991b5ab1d6a
com.aliyun.odps	odps-sdk-core	0.51.7-public	shaded	3366e75f4fff4d6c258ea343f96beec3e5b08d65
com.aliyun.odps	odps-sdk-core	0.51.8-public		b3cb8ef18992d606ff3a122cf9b2a3dcb034e611
com.aliyun.odps	odps-sdk-core	0.51.8-public	shaded	c26f3772f28462328722688f622a605aaf16ffc7
com.aliyun.odps	odps-sdk-core	0.51.9-public		71f6a635d0eecbea9e3a5b9c502d750c96d20ceb
com.aliyun.odps	odps-sdk-core	0.51.9-public	shaded	af152d721bd05b038f9a1c4dd5597bfbb8722aa6
com.aliyun.odps	odps-sdk-core	0.52.0-public		7e4fe74aaefb69da2b25eb7e967a91c87dddedd0
com.aliyun.odps	odps-sdk-core	0.52.0-public	shaded	29f1d62a14b477928a1ab1571ed2a49ab61c5d1a
com.amysta.jclouds.provider	elastichosts-hkg-e	2.0.0		4e28f290a821646d39a4f37b05ea31645f757fe2
com.amysta.jclouds.provider	elastichosts-hkg-e	2.0.1		e89380ec4d27a9386b5f679eed0933a1abbed6da
com.andrewgiang.spritzertextview	library	0.0.1		N/A
com.andrewgiang.spritzertextview	library	0.1.0		N/A
com.andrewgiang.spritzertextview	library	0.1.1		N/A
com.andrewgiang.spritzertextview	library	0.2.0		N/A
com.andrewgiang.spritzertextview	library	0.2.1		N/A
com.andrewgiang.spritzertextview	library	0.3.0		N/A
com.andrewgiang.spritzertextview	library	0.3.2		N/A
com.andrewgiang.spritzertextview	library	0.3.31		N/A
com.andrewgiang.spritzertextview	library	0.3.4		N/A
com.antgroup.antchain.openapi	openapi-ak_8804dcbdbf8a498ba5fb866a2047bb88	1.0.0		bd5f2d66d65d9ec07277042c3a60bb5b40e65e07
com.disneystreaming.smithy	aws-payment-cryptography-spec	2023.09.22		75d1d81cb44844cae5a6342fc3e0578f530cbfb8
com.disneystreaming.smithy	aws-payment-cryptography-spec	2023.14.24		bc26560c21f2937a06e82947d5c4ae1bdc92473f
com.disneystreaming.smithy	aws-payment-cryptography-spec	2023.22.04		f851df4952c17b8e37eb6aa628a6cc73a50ca5b6
com.disneystreaming.smithy	aws-payment-cryptography-spec	2023.22.13		e259428c29a537b70d1b52527095dff74560b832
com.disneystreaming.smithy	aws-payment-cryptography-spec	2023.23.06		b883b956b031373b6759a9fbf85957c0dd9a9bbb
com.disneystreaming.smithy	aws-payment-cryptography-spec	2023.23.30		4d6637900e80ba1b2b450ad17ef107899c01a9e0
com.disneystreaming.smithy	aws-payment-cryptography-spec	2025.03.31		7318fbcca9e09adeac76c8a394f3b857aed1fea4
com.disneystreaming.smithy	aws-payment-cryptography-spec	2025.04.08		e895bde40ae8a899ea1dbb10cfdc33512c68a5ac
com.github.anonymousmister.gradle.plugin	subprojects-load-plugin	0.0.1		82e24b086b0d3bab35cb3d90f27688c93ec9a134
com.github.cb372	alleycats-retry_sjs0.6_2.13	1.0.0		184e338250a5a500a890323bf74c605762214eb1
com.github.cb372	alleycats-retry_sjs0.6_2.13	1.1.0		d083b065ef66650861bc7dd63488abe622075bb7
com.github.cb372	alleycats-retry_sjs0.6_2.13	1.1.1		813e56a254d00ed4df8911d3b5469d60487ff852
com.github.gittors	apollo-client-extend-higher-adapter	1.0.0		4b85895bf73a65530f71f9d817396cf3ab22d045
com.github.gittors	apollo-client-extend-higher-adapter	1.0.1		b2a2821ee501e9a3ebb9f5b69c93add98cf4101d
com.github.gittors	apollo-client-extend-higher-adapter	1.0.2		546fe09d0874a2dfb074a44804e3ec04cdd03e88
com.github.gittors	apollo-client-extend-higher-adapter	1.0.3		1f92ad66e01f679adbb9d3367483259328fec699
com.github.gittors	apollo-client-extend-higher-adapter	1.0.4		6999e7eed98f35ea770c548412ddd9b4a2f3fd76
com.github.gittors	apollo-client-extend-higher-adapter	1.1.0		677d868813dd4ee4bd59d029a8c90975bcf6f556
com.github.gittors	apollo-client-extend-higher-adapter	1.1.1		a821335a71db8feb98e88fde46e3d6fa73e32e82
com.github.gittors	apollo-client-extend-higher-adapter	1.1.2		3b52d478a120652e52d0d0cff3e62a4164e4ecf1
com.github.gittors	apollo-client-extend-higher-adapter	1.2.0		44d3c26f4508dc0cb0399dd83872727898527113
com.github.gittors	apollo-client-extend-higher-adapter	1.2.1		031b3df292c5b36a19943e5886529ecd68b1ba9e
com.github.gittors	apollo-client-extend-higher-adapter	1.2.2		6e7df97771a7aef5d16494ff0fc65a8d5935c40b
com.github.gittors	apollo-client-extend-higher-adapter	1.3.0		d9e6da73dced2304e94ace09ed90017deedeab08
com.github.jeffreyning	nh-micro-context	1.0.5-RELEASE		e6e0cca7466b4ef9573e68eae576b169a359c679
com.github.jeffreyning	nh-micro-context	1.1.5-RELEASE		a3492c8751cfda554f16acff197fcea85ac20082
com.github.jeffreyning	nh-micro-context	1.1.6-RELEASE		f5b9917cfaa28ca71aa8cb7adc473572566b2442
com.github.jeffreyning	nh-micro-context	1.1.7-RELEASE		05f45aea5b4f05dd60ced3cb95f18c00ce86513e
com.github.jeffreyning	nh-micro-context	1.1.8-RELEASE		762dc9c653004e4a6dd4a35391957a7ad8030883
com.github.livesense	org.liveSense.service.languageSelector	1.0.3		927114a7868087656741c9ef26cd4fa2bf45f7fc
com.github.livesense	org.liveSense.service.languageSelector	1.0.4		224f5ba33019ea417251db6a54c1e52607bcafb4
com.github.livesense	org.liveSense.service.languageSelector	1.0.5		5b557a035c5f9530e7eede252d34e3eeee3c01e2
com.github.mibo	jaxrs-doc-maven-plugin	1.0.0		b8a7db439565e423b0a61758ebc477b9b4ebbdf6
com.github.mibo	jaxrs-doc-maven-plugin	1.1.0		a561c0a18acb8b6d1f266c6ae946162dc745f470
com.github.peckb1	autojackson-examples	0.2.0		f6baac1cd8c791815ddf8d9738d7fa89915851bb
com.github.peckb1	autojackson-examples	1.0.0		d83095bdd58b2ef5d4badb35b72a48bb51e6f843
com.github.peckb1	autojackson-examples	1.1.0		eddcc89a3d51939baa23dc4e92d265468ac342c3
com.github.peckb1	autojackson-examples	1.1.1		77265176711459dc32f08ace1e68a6c979de2434
com.github.skydoves	powerspinner	1.1.5		N/A
com.github.skydoves	powerspinner	1.1.6		N/A
com.github.skydoves	powerspinner	1.1.7		N/A
com.github.skydoves	powerspinner	1.1.8		N/A
com.github.skydoves	powerspinner	1.1.9		N/A
com.github.skydoves	powerspinner	1.2.0		N/A
com.github.skydoves	powerspinner	1.2.1		N/A
com.github.skydoves	powerspinner	1.2.2		N/A
com.github.skydoves	powerspinner	1.2.3		N/A
com.github.skydoves	powerspinner	1.2.4		N/A
com.github.skydoves	powerspinner	1.2.5		N/A
com.github.skydoves	powerspinner	1.2.6		N/A
com.github.skydoves	powerspinner	1.2.7		N/A
com.gu	box_2.12	0.1.0		ba4856fdee30d800d05ea1ef28b273b84ecc2818
com.gu	box_2.12	0.2.0		efd84ff343bac6509163665b5a0ff39ab7f6876a
com.ibm.watson.developer_cloud	watson-spring-boot-starter	0.0.1		147a657edfafcb8fc059615629657c066a12ece1
com.ibm.watson.developer_cloud	watson-spring-boot-starter	0.0.1	jar-with-dependencies	ea17327b2e1851287edcc72f20b61161f6c65523
com.ibm.watson.developer_cloud	watson-spring-boot-starter	0.0.2		da5a8f9bdae3ec5c033603e83577ae035ad727f9
com.ibm.watson.developer_cloud	watson-spring-boot-starter	0.0.2	jar-with-dependencies	dd4177c5dde612b4977b197e5789acbe04e83685
com.ibm.watson.developer_cloud	watson-spring-boot-starter	0.1.0		dd7e11a73aabedb358f09d1e920c2e0bdd82bd93
com.ibm.watson.developer_cloud	watson-spring-boot-starter	0.1.0	jar-with-dependencies	46d5305a4affbd88fc97c74f00c3a6cb0d97382a
com.ibm.watson.developer_cloud	watson-spring-boot-starter	0.3.0		d423d0230d3c5d21593494bd5081058e5291be77
com.ibm.watson.developer_cloud	watson-spring-boot-starter	0.3.0	jar-with-dependencies	a30ea4a9227f770d66453d30f704137a58769061
com.ibm.watson.developer_cloud	watson-spring-boot-starter	1.0.0		61a5b5be5a7f17ba7b7cdbeb01e879384681d2bb
com.ibm.watson.developer_cloud	watson-spring-boot-starter	1.0.0	jar-with-dependencies	53b0a9ed95ac34d81a746c9c459650c2f5977479
com.ibm.watson.developer_cloud	watson-spring-boot-starter	1.1.0		2d5b951cbbc8f0ffded1452c5cc42b8ca1695028
com.ibm.watson.developer_cloud	watson-spring-boot-starter	1.1.0	jar-with-dependencies	bbe186a5462c463d12a5287e6fd6e5bfb603e0c6
com.ibm.watson.developer_cloud	watson-spring-boot-starter	2.0.0		cb01c2ceff8e8258a7cb88d09d36dd67f230a35e
com.ibm.watson.developer_cloud	watson-spring-boot-starter	2.0.0	jar-with-dependencies	dafc4b7b27d07f584fe17e3e94a2ab990745622a
com.ibm.watson.developer_cloud	watson-spring-boot-starter	2.1.0		77c07de4ba42725e703a5b26bbf1f09914f1452b
com.ibm.watson.developer_cloud	watson-spring-boot-starter	2.1.0	jar-with-dependencies	ce0cd0bc9e6c1967b217615d4a2fb6111874f196
com.ibm.watson.developer_cloud	watson-spring-boot-starter	2.1.1		78d4653ed18f839d22c53665d356f4a158063bc8
