ch.sbs.pipeline	sbs-hyphenation-tables	1.23		6cedbc7cf71e289706d5a139c24b9b5569e784d7
com.deliveryhero.whetstone	whetstone	0.3.0		N/A
com.deliveryhero.whetstone	whetstone	0.4.0		N/A
com.deliveryhero.whetstone	whetstone	0.5.0		N/A
com.deliveryhero.whetstone	whetstone	0.5.1		N/A
com.deliveryhero.whetstone	whetstone	0.6.0		N/A
com.deliveryhero.whetstone	whetstone	0.7.0		N/A
com.deliveryhero.whetstone	whetstone	0.8.0		N/A
com.deliveryhero.whetstone	whetstone	0.8.1		N/A
com.deliveryhero.whetstone	whetstone	0.8.2		N/A
com.deliveryhero.whetstone	whetstone	0.8.4		N/A
com.deliveryhero.whetstone	whetstone	0.8.8		N/A
com.deliveryhero.whetstone	whetstone	1.0.0		N/A
com.deliveryhero.whetstone	whetstone	1.0.1		N/A
com.echatsoft.echatsdk.platform	core	1.3.2.1		N/A
com.echatsoft.echatsdk.platform	core	1.3.2.2		N/A
com.echatsoft.echatsdk.platform	core	1.3.2.3		N/A
com.echatsoft.echatsdk.platform	core	1.3.2.5		N/A
com.echatsoft.echatsdk.platform	core	1.3.3.1		N/A
com.echatsoft.echatsdk.platform	core	1.3.3.5		N/A
com.echatsoft.echatsdk.platform	core	1.3.3.6		N/A
com.echatsoft.echatsdk.platform	core	1.3.3.7		N/A
com.echatsoft.echatsdk.platform	core	1.3.3.9		N/A
com.echatsoft.echatsdk.platform	core	1.3.4.0		N/A
com.echatsoft.echatsdk.platform	core	1.3.4.2		N/A
com.echatsoft.echatsdk.platform	core	1.3.5.3		N/A
com.github.ancane	haldr_2.10	0.1		cd9faec0c033c0013910cccdb15c3f1e3fdc192c
com.github.ancane	haldr_2.10	0.2		abfa2a6afdfd9c508c16d4cab99eb27a5546941f
com.github.ancane	haldr_2.10	0.3		3727787328760ea1c461f3e25a3f805833ece870
com.github.ancane	haldr_2.10	0.4		3c0075842fff96d79e01119ef0294cde2f659b06
com.github.bytelimit	droidkit-core	1.0		5b3c0f15e31161799ff3b224d6f9730d7932106c
com.github.exabrial	logback-openwire-appender	1.0.0		e8b42a6dd9f6b7963ca0a348543f600cc29b5194
com.github.exabrial	logback-openwire-appender	1.0.1		ed8545a1403f9fdf9aed5e3b87c0b3187d2dc1af
com.github.exabrial	logback-openwire-appender	1.0.2		55ae82eba61b86af4c90689031edd15520a78a08
com.github.exabrial	logback-openwire-appender	1.1.0		ac7245e490a404492a76a8255a94c08cca0de2a6
com.github.exabrial	logback-openwire-appender	1.1.1		fa62212359d2f1fc00beb27ab459924ed7393077
com.github.exabrial	logback-openwire-appender	1.1.2		2140b8ffb9721e00c730e2bef93bf7c86ea6690b
com.github.ldaniels528	scalajs-npm-body-parser_sjs0.6_2.11	0.2.3.1		e6660c1eb4147f2116f55fd379e79041fcd8662b
com.github.ldaniels528	scalajs-npm-body-parser_sjs0.6_2.11	0.2.3.2		b72d77ef5c11448a2bff68038eba7660633db8c6
com.github.likavn	eventbus-core	2.0		789165d2317327a0aa7335ac252cf20730855a2b
com.github.likavn	eventbus-core	2.1.0		de0a157ae537028cafd9e1515c0dbc507a9b5c6a
com.github.likavn	eventbus-core	2.2		856f365b41e6c0f5a1358226a77ebac30abb0154
com.github.likavn	eventbus-core	2.2.1		c3bde6c412b42420b0534e17c992f66157a4fc8a
com.github.likavn	eventbus-core	2.3		fc051f802d54be22e8232eeab5901ba1c2a76b76
com.github.likavn	eventbus-core	2.3.1		def1d449839692206809a48dd7d037bff3d3fc9c
com.github.likavn	eventbus-core	2.3.2		5fdadae8e7bd8ca20feef4db4f9de797bd322f49
com.github.likavn	eventbus-core	2.3.3		47f042135c5c1f2790b7fabb3d6507c25816b802
com.github.likavn	eventbus-core	2.5.0		e4c57f8ebb5cb72597382057f6427d23eda7e028
com.github.likavn	eventbus-core	2.5.0-RC1		23578b2aa0861f8489d9718cb573ba828c26368d
com.github.likavn	eventbus-core	2.5.0-RC2		8abcdc7b9053722ff480fb1e094cd7a78d3b1b07
com.github.likavn	eventbus-core	2.5.0-RC3		43894a5bdc2e7d0ff616428a3de10c8ae8ca9203
com.github.likavn	eventbus-core	2.5.1		faf0b0ca6c9c788fbed0c8456f2b3b0084f35793
com.github.robert2411	spring-boot-starter-springfox	1.0.0		74bafda243b7cb3897ef45d257f761bf78ada992
com.github.robert2411	spring-boot-starter-springfox	1.0.1		468bbafe2051cdd7f2ea6ba69d973092a9006376
com.github.robert2411	spring-boot-starter-springfox	1.0.2		d25f8e21504bcf33e75e5c4ac7e119f142cb2338
com.github.robert2411	spring-boot-starter-springfox	1.0.3		4baf71ca614d4967161e92804b85c56b8313e720
com.github.robert2411	spring-boot-starter-springfox	1.0.4		9abb799174bd81cb44b4eb40c3984a2e3cb796cc
com.github.robert2411	spring-boot-starter-springfox	1.0.5		22468dabe44f7cf6acfd9b5ce3b95d0da18e402d
com.github.robert2411	spring-boot-starter-springfox	1.2.3		fa90fdc2cb5756e183413dfdeb33dc59840f2b14
com.github.robert2411	spring-boot-starter-springfox	1.2.4		13acb5b57715f0fb5f82a6b550c71042ddc4192b
com.github.robert2411	spring-boot-starter-springfox	1.2.5		ffeadf0c267ebd97a5de34266865b751dfac96c9
com.github.xealredan	cntk-java-wrapper	1.0		7b89f41df3a07c1b0af509a215044fc990ce6bfa
com.harium.propan	propan-storage	1.0		381bef1e133a262b6d6df00f4b4cae74ac6d9d78
com.harium.propan	propan-storage	1.0.1		5496d1f63571d70fc99e309290fa7cf58f61b7fd
com.intuit.player.android	player	0.0.0-next0		N/A
com.intuit.player.android	player	0.1.0		N/A
com.intuit.player.android	player	0.3.1		N/A
com.intuit.player.android	player	0.4.0		N/A
com.intuit.player.android	player	0.4.1		N/A
com.intuit.player.android	player	0.4.2		N/A
com.intuit.player.android	player	0.4.3		N/A
com.intuit.player.android	player	0.4.4		N/A
com.intuit.player.android	player	0.5.0		N/A
com.intuit.player.android	player	0.5.1		N/A
com.intuit.player.android	player	0.6.0		N/A
com.io7m.anethum	com.io7m.anethum.slf4j	1.1.0		a46d9dc9e254ac89606c31e03e07eee554ce569f
com.io7m.anethum	com.io7m.anethum.slf4j	1.1.1		71e1d771a67e797e53e617248c8a8874bb625553
com.jakewharton.cite	cite-api-linuxx64	0.5.0		N/A
com.jakewharton.cite	cite-api-linuxx64	0.6.0		N/A
com.jakewharton.cite	cite-api-linuxx64	0.6.1		N/A
com.javaguns.roses	stat-business	8.1.2.1		f94b726a654ba12c26c2c44552379f2d42dbed98
com.javaguns.roses	stat-business	8.1.8		d271879929d48fb91491e882919a15ee75e55f8e
com.javaguns.roses	stat-business	8.3.0		6f23c6886a6ecc7772e593f7a0993d79a9ae6cfc
com.javaguns.roses	stat-business	8.3.1		8bc99081ad80dfa88d3f78fde51980ba47c6be32
com.javaguns.roses	stat-business	8.3.2		ca7cc8de8f0691afb90bf898d9407eaa64eaab2e
com.javaguns.roses	stat-business	8.3.3		a8f2b1d79cd13acfef81711ae87b14caf3b1a36c
com.liferay	com.liferay.translation.translator.deepl	1.0.0		c6494b8ee753443c6daba06e48614e4a3fe18418
com.liferay	com.liferay.translation.translator.deepl	1.0.1		1df5e4f4ac164e0ecd11ba68bff44bd2925dfe58
com.liferay	com.liferay.translation.translator.deepl	1.0.10		54e8a8310960d9450e86396cda35ef13b3932e74
com.liferay	com.liferay.translation.translator.deepl	1.0.11		49d369467a659aed792a873bf8cdea46d4967a76
com.liferay	com.liferay.translation.translator.deepl	1.0.12		086772f8e0c2cd95a9dd4d5ed25a0f0b3198f4b1
com.liferay	com.liferay.translation.translator.deepl	1.0.13		90dbaf8c9b602801891860496d8556c67aa2de3b
com.liferay	com.liferay.translation.translator.deepl	1.0.14		0b7ae2ded360568533b6a458e4cef10a725099f1
com.liferay	com.liferay.translation.translator.deepl	1.0.2		adb0031bf5965dca24b3648b6b07c89a8e777429
com.liferay	com.liferay.translation.translator.deepl	1.0.3		228dee02c45b6a20cf9663852cdc34f4f8550f55
com.liferay	com.liferay.translation.translator.deepl	1.0.4		dadea1c7942bc0dcebe5161b976749e8cac7782e
com.liferay	com.liferay.translation.translator.deepl	1.0.5		7c0805e625596752e8782a5c37e7653684cc5551
com.liferay	com.liferay.translation.translator.deepl	1.0.6		0bccfc6063ae156eb807f41baf9c60f6f09ddde1
com.liferay	com.liferay.translation.translator.deepl	1.0.7		6ef41a97ba1efb46171f0f52352615af738c3f1f
com.liferay	com.liferay.translation.translator.deepl	1.0.8		fcb62514957dbf4fc560d7b84ba8784245f7c649
com.liferay	com.liferay.translation.translator.deepl	1.0.9		40c4549ae9d74a018612647a2c378a297296e54a
com.lihaoyi	ammonite-interp_2.13.9	2.5.11		f9e4646710396c30edecf6083537b96a5f516e45
com.lihaoyi	ammonite-interp_2.13.9	2.5.4-29-871e6900		be71295ac79f005ae237d893b93c475da88366b2
com.lihaoyi	ammonite-interp_2.13.9	2.5.4-33-0af04a5b		ec186c26fb2b299a1e5627d56d38c2b6d92ebb8b
com.lihaoyi	ammonite-interp_2.13.9	2.5.4-34-1c7b3c38		3b368823368d63067c98cd8d7b051a7d4aaec72e
com.lihaoyi	ammonite-interp_2.13.9	2.5.4-35-ebdeebe4		9eb337492695ac775dbbfa994c19e3dbfe1e409a
com.lihaoyi	ammonite-interp_2.13.9	2.5.5		4b341b68863f9827e90afe583305ee7e7891ffb1
com.lihaoyi	ammonite-interp_2.13.9	2.5.5-10-82727958		5c6a2bb650bb6c34002a32e779257f7ffa7e75e3
com.lihaoyi	ammonite-interp_2.13.9	2.5.5-11-626c15b0		1c5dcba7ce5c8836dbc5bbadb33dca281d525f70
com.lihaoyi	ammonite-interp_2.13.9	2.5.5-12-e1748830		2cda815a992875411139d2ce8db4eb2dc1d1856b
com.lihaoyi	ammonite-interp_2.13.9	2.5.5-15-277624cf		6151afba45262fd704970e33ca952168317fa3ce
com.lihaoyi	ammonite-interp_2.13.9	2.5.5-16-8d71f4bb		5fa7f50e0e064d49246c6f7f9b0685bf4addbd2b
com.lihaoyi	ammonite-interp_2.13.9	2.5.5-17-df243e14		971859df249cae8363a665e7e63732cc40db5eb2
com.lihaoyi	ammonite-interp_2.13.9	2.5.5-8-5a062268		52d1d30d04b07e0a2eb9debdc1157c216bd8517d
com.lihaoyi	ammonite-interp_2.13.9	2.5.6		47e9ef5642b6ae32d7784dd0d0ef56f6ea0b7435
com.lihaoyi	ammonite-interp_2.13.9	2.5.6-1-f8bff243		23508e82427156b62b7b50487f22b12e28053ef9
com.lihaoyi	ammonite-interp_2.13.9	2.5.6-3-279104dc		fbcb1143ec55e3fecc0c633ff72bc506cfc84821
com.lihaoyi	ammonite-interp_2.13.9	2.5.6-4-4a07420b		399116176cae4b4646c34e23c8f8ce79231dccff
com.lihaoyi	ammonite-interp_2.13.9	2.5.7-1-cf178c31		181d54f9566bf8df79846f309c2a548fb1489f0f
com.lihaoyi	ammonite-interp_2.13.9	2.5.8		b73cbc05c99442ad79fcce99cab91da4baabb5f0
com.lihaoyi	ammonite-interp_2.13.9	2.5.8-1-837c3adb		4c0c07c261dc9a944060dadc2091b6135e316f71
com.lihaoyi	ammonite-interp_2.13.9	2.5.8-2-159ff8f6		9d5362652ba5f5cb7e9ec5a61aa4e86d0da067e3
com.lihaoyi	ammonite-interp_2.13.9	2.5.9		eeebbbdc827f2786bfecf4abbc969588aa3f17e8
com.lihaoyi	ammonite-interp_2.13.9	2.5.9-1-6321610a		e7fc64cb1215070136fc2d70717d0544f5854a14
com.lihaoyi	ammonite-interp_2.13.9	2.5.9-2-7633e640		fc2201af64f40cfbe5ae0639694521fbeca30cbe
com.lihaoyi	ammonite-interp_2.13.9	2.5.9-3-feb1f0c6		b5c36f6d252743b4dbf4f2c78c1f7297f9ef7e6d
com.lihaoyi	ammonite-interp_2.13.9	3.0.0		5885c8737d7230e20cd618f74008913d41477092
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-2-6342755f		25460b199768031432077dc1550fc97190c508b3
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0		979d9ae39cf4de48aa10f506daa8b5fe5e891f47
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-1-beb96bfb		62b438ddab74d7cfbdca34f11fcbafb714920ce4
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-10-addf882b		ffb62b23ded57869a481f99b18741b4d041f3da2
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-14-c12b6a59		a5472d632d75ddec646b8ce80713c6097bc38206
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-17-e7a04255		2c8859b8fd953cc03af1f1afe000ab61f0e6e8db
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-18-2a7ed173		47dde0ae2f9ef9564e867257d00a4dd06d497240
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-19-62705f47		5bce30352c1b27e351672ae2b5a528b105b1f376
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-2-1e6a6342		9b2de882a1083d3490a8563530c42ed0d73efcdd
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-23-f664d7ef		afea7f08f85f1b94f2c72a3da237a127933cd507
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-24-d63f26be		707683646e3f4801b93343533b67b21353138647
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-28-239e82a8		3e249e3ffda44e488a2c184bcc3347cf89b093f0
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-29-9e3ddc8e		5a7969bc77444a13214179baef94c987803eaa24
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-3-c2d1e706		5d4fe583037dc5e8b1afb5eabd22aa6b3498bc0f
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-30-1634c52a		8ad9aee248e3332ef5d91391cbb7d0498ad6cabb
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-31-80deef08		88e8cd77bd6d569c023ef598439f0c2364cb506b
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-32-96e851cb		6facdb8d59e3bd2c12e64e4d5385fedff81a374c
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-33-94c5ce87		ad28e0a840c4c8a914f1c9159ae18dfa842c9eba
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-34-2720f120		02a0db6ada23a6e3170dd47206a957d33f377737
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-35-e445eb40		8b2fe1a13b57f87b48661e324e76c3e65564d2fc
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-36-74c8477d		a94e450f16c5765032223d333f158e34847c18a8
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-37-fc285279		79b2b4f1d19a156feb1443b7b708d72a405b7d64
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-38-96641965		416d0c3f9e561394871c7e67f829066400c7fdad
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-39-ba724263		71603eb33d8f997f93c49922fb47b8881b178f1d
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-4-cf2ff986		8ffd3a2b2a3d25ccf9bb93f715404669a1cf7b40
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-40-ab5f8a2a		e90e7c6e72074af411e41b1cebab90ac4979483c
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-41-2dacc9ef		35be153c6a735128d2c8b344c7a3dd6e6429d521
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-42-55d908ea		78de63505a451517699d893c53011d7ab2dafd69
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-47-cab76b4c		ff9f81b2a4bc6d1a0ec1dbe15861d690a8250c2c
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-48-8b1a5588		cc1917a80918a2aeafa2a56eeed2e332d7a24130
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-49-151446c5		ffb50eb8cf8b6830f69e88d24a76211c1fd7920c
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-5-0af4d9e7		5428bd1265ea8829bc02777b9dbe17f94a5e0325
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-52-d2acc162		332a039cc1515547fff6be43bd2a1394a139b726
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-53-084f7f4e		6d038fe3d9df5e811eea0db3f3d2b62b7e342381
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-55-8ef21714		d1b15bedb0b5ad34b929615de89ad5575bad1786
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-56-1bcbe7f6		870778e16928e9d1942b6afbfbe09c40e83b702b
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-58-9ccdff7c		40b4e78e5db30029e139923a6d9b825a06808fdc
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-59-cdeaa580		f61f94266004ed4262fa90e594e7a30f7793ef65
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-6-34034262		a0ce8dbd78a02293dc7c77cda992fa3b892c8877
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-60-89836cd8		c54a007fbb4f217c136739c93033fd797dd694b2
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-62-e40dcc07		e69d5dcdde8cb24ac8aa2e8662e381d39bdba05b
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-63-18105caa		4aac52d6dd6ec0daf870678f6388184becba887b
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-65-d93dec88		8c858a8446e539871abdc759f34fc0f5d3f09e8e
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-66-a7c0365c		b1bd9864bdb438f095f0bf7044c6cca0c16fd5d6
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-67-b3fea31f		d086ff974cb7c31236d2f331b61633da0e189b07
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-68-50d39ec4		84ec5bc0e3f67e32f4d1b8b84c7a814782a61e0c
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-69-8d1e4600		1d08b699a0c277b93e19ba6b05539e327d7cd7b0
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-70-45c2ae79		b95156702e742822fd091d72b247995b1508006a
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-71-1e75159e		8d95891f47fb0e241c168986941cafca7080f8d7
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-72-21dc3ed9		8ca5de69436e052d9d90a684e5e7b6ae3c4dd4f3
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-73-3e75635d		34496f0081b4a2b9d3de76894cdcf9a4fc6d0130
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-74-c58df82f		c3a8e2cc2ba3f7f267162293dce3a865f3c67c54
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-75-95b58dcd		dfd2c0cadc1dd37e839aa5e7ef7c45575b7d3e01
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-78-a38fbac7		2afbe0e966ddbf94b8f5fd940e6a45df4709b3cb
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-79-25cb55d6		83c590e26ce415328bcfcfd893d1fd5b4676bd42
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-80-0c6cb10c		8c781388d183f2605aceceb7cc5432d6b0d56b19
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-81-8d9ea548		29aa0d04670cd0ac5e09e86c0ae1b92cdb627edf
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-82-3e0b9472		b6ed1aaf3540c90a2db57ab8e6ab4ee75a01a19d
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-83-c70bfdfb		100cd4facbace8e897ccc0f7e75f3fd5832c217e
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-84-0b53d8cc		74dfa7b5212138b1e4e1c1f770c6dafcffa4a59a
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-85-16e85c7b		28445e51b78d201c892cead6c612564bb393b855
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-87-0ba1ece4		87e21c37ac4c643205ef5b88e6e5f0b268752932
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M0-92-0b2ae1a1		a9f7bbd1434609952a42d987edd4f1b6ec25d66e
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1		f29a868f9e6f73f6da8f5bbd7b263bb71e972bf2
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-1-345537ec		f7133c47da581e1d04eb5eb524fd0d4878f4f942
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-10-105f9e32		3a4251460b910ea24932604ce391fa3a39703e45
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-11-950a5d3d		26c7d6a3690ef597387b99c4b8cc55da83fce75c
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-12-983d136c		88477247c96ac72716e557048b4405f90f2490c0
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-13-139e5beb		59b525d6c6abb3dba21e2b1772b5a9d41459032f
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-14-dcee60fa		60d6fedfead9346b1c19b3e0d3e1d48ee072f247
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-15-240bc71d		df5cfc3324007a0d6b147e28cccf4a224f44193d
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-16-4d83c0b7		ce6d1c9143d59413c6745249d20e3004e2a852f1
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-17-2ee6a197		5e1080bdd01b6e7daee69fadd47a65e073121e2a
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-18-99efad1f		2b170c1ec5390233f9a465353ab9aab96378c369
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-19-a7973e17		58b35349b010b6eb137cf50d45a1a7a53bdeb5be
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-20-497c01aa		7d507fc867020fc6920268755373d2e706a33c0c
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-21-3845491e		d8834f2ea1c388c80e3194df981f423d445b632a
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-22-d78a6cf1		ec876b114faa9d33b7ee87113e6ff2b38a0285ff
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-23-e3c82421		3a84de8b9c5ebfb3eab8e00b435893f9935a0a32
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-24-26133e66		f7dfdf8e5794db4582b2d109cd3db2f7e3a03ce3
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-25-48eb976e		9ccea93ec57554308e8aa7a26e2e2a78b32aa81f
com.lihaoyi	ammonite-interp_2.13.9	3.0.0-M1-26-cd78484b		3e36a5ca375a87fe06cabf8c092b355ac27b83c6
