br.gov.frameworkdemoiselle.component.archetypes	jbehave-assertj-archetype	1.6.0-BETA2		133292412bc5f8de775565f417c658dd7b808ba2
com.github.socketIo4Netty	socketIo4Netty	1.0.12		64e852983aa42f891edb4f89bd7e63721f3c3f03
com.github.socketIo4Netty	socketIo4Netty	1.0.14		e683a82353d57364f6d82ff47645009307d538f9
com.github.socketIo4Netty	socketIo4Netty	1.0.15		707627a783bc45d567a9250ad1327cf57c9cc1d3
com.github.socketIo4Netty	socketIo4Netty	1.0.16		01a1df2b23562aad945d00dc4e6f420240237fd2
com.github.socketIo4Netty	socketIo4Netty	1.0.17		7955601150204b0f12fdb784502a32cac6511eee
com.github.socketIo4Netty	socketIo4Netty	1.0.18		b5cf905b7e7e89b635caf778f9ff5596f2142cb4
com.github.socketIo4Netty	socketIo4Netty	1.0.19		40b79c2d4b9a4ce08985fb4eb34720b9c529a790
com.github.socketIo4Netty	socketIo4Netty	1.0.20		cb684dc7b85629be56548dfda542ca07d6903d12
com.github.socketIo4Netty	socketIo4Netty	1.0.21		2dda7173863713817fed6d7490a62f6b1a5ae6fe
com.github.socketIo4Netty	socketIo4Netty	1.0.25		2f36ebc010eb79a097c928f5ec3b767b408e1763
com.github.socketIo4Netty	socketIo4Netty	1.1.0		76d16e52da12a3110c81c087481e2c015e6b1996
com.github.socketIo4Netty	socketIo4Netty	1.1.1		ee8475d020d1eef72e4793120e6c7b674ada5568
com.github.socketIo4Netty	socketIo4Netty	1.1.2		8b31c444b1e50b12e2129d7e8b6f81c37c3e2847
com.github.stijndehaes	play-prometheus-filters_2.11	0.1.0		40fb6829d7458b4791a4466a98571fbfc7b20ccc
com.github.stijndehaes	play-prometheus-filters_2.11	0.2.0		03a73352c733d8ee56a1c7a62c1e2645d7c30fad
com.github.stijndehaes	play-prometheus-filters_2.11	0.2.1		b3937ee9efbc456d46754e100c918ded628f932b
com.github.stijndehaes	play-prometheus-filters_2.11	0.2.2		812e4e078e3ab5911a5b61004de077e1a3c1d77c
com.github.stijndehaes	play-prometheus-filters_2.11	0.3.0		cb6f059328bfc83cdd0e3a694c3f9e88f150c44d
com.github.stijndehaes	play-prometheus-filters_2.11	0.3.1		7887d46eae356eeab2cd6f32ea340dbd873ca961
com.github.stijndehaes	play-prometheus-filters_2.11	0.3.2		f6ebec2929688c882bd4b2ff2f9d635e81af0b51
com.github.stijndehaes	play-prometheus-filters_2.11	0.4.0		0b9f8deaa30803f4e667641e54eee1815525550f
com.github.stijndehaes	play-prometheus-filters_2.11	0.4.0-rc1		af36abb8e11cf2a154b54333a256e2e2b8e94fe3
com.github.stijndehaes	play-prometheus-filters_2.11	0.5.0		e2183129a6d05b415a3436e46a75904aab5263df
com.github.sviperll	chicory-core	0.17		e4d58b64d2d2a840080cbf7f84239b677e4a7a4d
com.github.sviperll	chicory-core	0.18		0dcc6a5d2f9f873ede8ce6573e81a2fa5eb0b41b
com.github.sviperll	chicory-core	0.19		a7cc0082ce0350a6ce2ea461776a330a9a5250b6
com.github.sviperll	chicory-core	0.20		d05d42b0a98cf0f6474ca004acab305e01a1e1ae
com.github.sviperll	chicory-core	0.21		7d441866db91ec987e877e4be4cd24e4a38fe4e9
com.github.sviperll	chicory-core	0.22		dfee0ae1df65c2edec5ce399423e3c04f419eb6c
com.github.sviperll	chicory-core	0.23		b5c550bc87efafde6418f727a2ae95fd92d7d934
com.github.sviperll	chicory-core	0.23-rc6		cc1319754beed1227e4e16fc3c677961fd3cf69e
com.github.sviperll	chicory-core	0.23-rc7		6c9ee27d81af680030bd1059ffcf7f9558caa607
com.github.sviperll	chicory-core	0.23-rc8		d1a16d6a629523fd400c5a14214041aec00ac108
com.github.sviperll	chicory-core	0.24		2cf29f0e2bbca596aee2f648905a457f6f0f60ce
com.github.sviperll	chicory-core	0.25		71ad7d0c09b5e0d9adacf0e4a1def7f82d33b460
com.github.sviperll	chicory-core	0.26		14b3edf10d8e33c0dcdf27e063cf01b4190b7f43
com.github.sviperll	chicory-core	0.26-beta1		0285e98a03c3e7c589bd61a84257b157a9f0d55f
com.github.sviperll	chicory-core	0.27		2ba93b2dda3a53bad8b6e658ec7280d9c04bbd5e
com.github.sviperll	chicory-core	0.27-rc1		0835bb8f3fff194a78cff47c6c88e614e922cf77
com.github.sviperll	chicory-core	0.27-rc2		8d26c6e44687bd9e1387cb2e090e16227a85ecdf
com.github.sviperll	chicory-core	0.27-rc3		272973db10d96af028c28157828c08a12d4f9eeb
com.github.sviperll	chicory-core	0.27-rc5		5c8e4e6ee4d9de8478f5093435d9f51fff745707
com.github.sviperll	chicory-core	0.29		5813dcf874ce39020e6de9568ac1c907230543eb
com.github.sviperll	chicory-core	0.29-rc2		3affa05ff4c656568b2a3407dabf25448201e217
com.github.sviperll	chicory-core	0.30		218f7549473a0d236f14e7910fe86fc030c9b07c
com.github.sviperll	chicory-core	0.31		e198ab24850edd4daa950dbcf15f18842f5720fe
com.github.sviperll	chicory-core	0.32		9f3ef515361ee11a5db90ee2344b5ee5c736e5d6
com.github.sviperll	chicory-core	0.33		dddf906a999b57b8bcb290b998767d0f3af64d50
com.github.sviperll	chicory-core	0.34		0a3f25165c913f018bfff01d2d310ac0803f25ef
com.github.sviperll	chicory-core	0.35		9753700752f3b41d7838be6c60066e52f14c6e2c
com.github.sviperll	chicory-core	0.36		275f085fb7f45558c1ef0a83395aba19708682d7
com.gruelbox	xchange-bx	4.3.16.1		37fe13e5aa08efcc138d408667b2353de4e3b524
com.gruelbox	xchange-bx	4.3.17.1		5c8c3f4d54da6e85cdf14f8735d2b383cbc7006b
com.lightbend.akka	akka-persistence-r2dbc_3	1.1.0		ff6a75c9d41a56b9d021125dde58b47e5f2d7bb3
com.lightbend.akka	akka-persistence-r2dbc_3	1.1.0-M6		40bb966fd39286f59059cfb269aecb06bde57658
com.lightbend.akka	akka-persistence-r2dbc_3	1.1.0-M7		f5540b2b579e35c908e69f2d1944fbf6dfaa7f69
com.lightbend.akka	akka-persistence-r2dbc_3	1.1.0-M8		22ea657356b78fa86664ed3dd58b08ad4e735999
com.lightbend.akka	akka-persistence-r2dbc_3	1.1.1		42cf604f8d0a92c856722ff18f759211e8111743
com.lightbend.akka	akka-persistence-r2dbc_3	1.1.2		f4e54eda1ea125dcce23b9fa8d1bb54a1abbda90
com.lightbend.akka	akka-persistence-r2dbc_3	1.2.0-M1		59a236eb4f9710989ae2a25c88452d813de338ad
com.lightbend.akka	akka-persistence-r2dbc_3	1.2.0-M2		5bc82b59ae5fb75b222dfa4bda25740311cfabc3
com.lightbend.akka	akka-persistence-r2dbc_3	1.2.0-M3		95c24e596c902993afe29f1f437d9e443ec39ed9
com.lightbend.akka	akka-persistence-r2dbc_3	1.2.0-M4		07fdc4f48079ae3c051668fa1d28a1dc273de39c
com.lightbend.akka	akka-persistence-r2dbc_3	1.2.0-M5		ebfaedbfa16dbb9081a58eea473236f665a4f587
com.liyunx.groot	groot-examples	0.0.1		eb5dbbb75074167bb6d1eb6d3ec2489ccd4aecbf
com.microsoft.azure	azure-keyvault-parent	1.0.0		N/A
com.microsoft.azure	azure-keyvault-parent	1.1		N/A
com.microsoft.azure	azure-keyvault-parent	1.1-alpha-1		N/A
com.microsoft.azure	azure-keyvault-parent	1.1-beta-1		N/A
com.microsoft.azure	azure-keyvault-parent	1.1.1		N/A
com.microsoft.azure	azure-keyvault-parent	1.1.2		N/A
com.microsoft.azure	azure-keyvault-parent	1.2.0		N/A
com.microsoft.azure	azure-keyvault-parent	1.2.1		N/A
com.purgeteam.cloud	unified-dispose-common	0.4.0.RELEASE		48c4152a75339d50265bb8ba567afb116b65c77d
com.r3.corda.notary.plugin.contractverifying	notary-plugin-contract-verifying-server	5.2.0.0		0b6bf15cff462c9cf8a0b2517318dff26b307937
com.r3.corda.notary.plugin.contractverifying	notary-plugin-contract-verifying-server	5.2.1.0		5b6750bca4ac14f49fe6ce164011ad38502cbdc8
com.r3.corda.notary.plugin.contractverifying	notary-plugin-contract-verifying-server	5.2.2.0		b3f6c0bbeb5a8d3cbcec9e114b637ccc707277be
com.sap.cloud.sdk.services	blockchain-client-fabric	3.16.1		7eb4d6cabc865cc22784d2cb09e466dff912f5a9
com.sap.cloud.sdk.services	blockchain-client-fabric	3.17.1		7e52c60fe4824f02a43b88c3533f91df9ad91b85
com.sap.cloud.sdk.services	blockchain-client-fabric	3.17.2		d1b6690d309c9bc44f484e434c183cbd0f136744
com.sap.cloud.sdk.services	blockchain-client-fabric	3.18.0		d0757bf79eef6f71e61a6747e4651021d255e243
com.sap.cloud.sdk.services	blockchain-client-fabric	3.19.1		892848c3c20f06c2cbe13f68b916b124bf5b5a6d
com.sap.cloud.sdk.services	blockchain-client-fabric	3.20.0		cb6827b4e67480e16f32134ae189d5aa8d5f810c
com.sap.cloud.sdk.services	blockchain-client-fabric	3.21.0		0abea3e89961f8c03bd4fb5c68f24b8f935edd9a
com.sap.cloud.sdk.services	blockchain-client-fabric	3.22.0		c2c50b46c60b40e4504835ed0ad754373221b93b
com.sap.cloud.sdk.services	blockchain-client-fabric	3.23.0		ef923c8fbd904285061f879935793bb910bca9b4
