ai.djl.dlr	dlr-native-auto	1.6.0	-	74af89a315a802290f292a1f72d0691ad063492e
app.cash.redwood	redwood-layout-widget-macosarm64	0.4.0	0.4.0-metadata	f7d3c61b7d7ed23be8d97acfa6f3f26b4471da36
app.cash.redwood	redwood-layout-widget-macosarm64	0.5.0	0.5.0-metadata	a7e71fef5468780631fbb16394309a107ed1fe94
app.cash.redwood	redwood-layout-widget-macosarm64	0.6.0	0.6.0-metadata	0d7ac72a80c7c82964cd11d9bd3fa581b0077bb9
app.cash.redwood	redwood-layout-widget-macosarm64	0.7.0	0.7.0-metadata	9b02df1bfa063824f72d463cb7ca162648d1948e
app.cash.redwood	redwood-layout-widget-macosarm64	0.8.0	0.8.0-metadata	aaf283c5d68b83d39990085f15446cbbbf1dac3a
app.cash.redwood	redwood-layout-widget-macosarm64	0.9.0	0.9.0-metadata	f9514829e8817a1344b0bd99a55138cd947eaf21
at.asitplus.wallet	eprescription-iosx64	1.0.0	1.0.0-metadata	b965abf6cba41f9ab996e3a1b739cd36fc031885
at.asitplus.wallet	eprescription-iosx64	1.0.1	1.0.1-metadata	a028506a3c634820951ab8730d8700305b6fc2b1
at.asitplus.wallet	eprescription-iosx64	1.1.0	1.1.0-metadata	f8b79e906e3c9910abf966ddac616e0985b2984d
at.asitplus.wallet	eprescription-iosx64	1.1.1	1.1.1-metadata	e37f7dcc582ce85c84ed1c5500d4bf6b8f501f61
at.itopen	SimpleRest	0.4.2	-	fe3e6a1a947b2aaaed9b9328f97899dd9d25d836
at.itopen	SimpleRest	0.4.2	0.4.2-jar-with-dependencies	bdc8937defd802117c5e9a57aca0394b5cc33533
at.itopen	SimpleRest	0.4.3	-	28207bf515a73a01511237f620fa38417e0dbad0
at.itopen	SimpleRest	0.4.3	0.4.3-jar-with-dependencies	809b242f47ef7fe5693bc15e1264c7eb5991a648
at.itopen	SimpleRest	0.4.5	-	147c5516236a0bc10ab814afb5c6f0d901e925e7
at.itopen	SimpleRest	0.4.5	0.4.5-jar-with-dependencies	1125a9cf1fd35ab8bd578e7d790b665875fbe938
avalon-meta	avalon-meta-plugin	1.1	-	058714b9d7e9533f9f7108813f1d5ca1e1cb5dd2
avalon-meta	avalon-meta-plugin	1.2	-	32bf86c97dfd4b48dda911a89341f5dfed707ff1
avalon-meta	avalon-meta-plugin	1.3	-	d1f0308ddb76317bdee9820e049b48b53a8ab033
avalon-meta	avalon-meta-plugin	1.3.1	-	d27bc608d91207b92666823fe3a5735efb8f0779
avalon-meta	avalon-meta-plugin	1.3.2	-	cd25f6dbea4387d5c22567c34f7499d432c7c6ba
avalon-meta	avalon-meta-plugin	1.4.0	-	4e0888ba928a69f613146673c8a33a6d04cf99a4
avalon-meta	avalon-meta-plugin	1.4.dev-0	-	7b84ecbcd79ce731535158c728732b3f117dbf63
aws.sdk.kotlin	batch-jvm	0.16.0	-	3dc26b3beed3fdb4183713494d7f866d4d86a4d8
aws.sdk.kotlin	batch-jvm	0.16.1-beta	-	0a64f1b41e0eaba362bdb387ad75aebcb6ebce16
aws.sdk.kotlin	batch-jvm	0.16.2-beta	-	1ab658d5be50251ec88aa0ffa24e80a97cf956c4
aws.sdk.kotlin	batch-jvm	0.16.3-beta	-	27217de41e5130362b0de38bb752be2dbcfcd362
aws.sdk.kotlin	batch-jvm	0.16.4-beta	-	dff61216c03bb63adf7ea041472b9c68c1f45bf5
aws.sdk.kotlin	batch-jvm	0.16.5-beta	-	29edd36b5e8816d972e64719d0cd99ee282d0ad0
aws.sdk.kotlin	batch-jvm	0.16.6-beta	-	7d0ad3ab8e70620946f757e21d453e3beb367c27
aws.sdk.kotlin	batch-jvm	0.16.7-beta	-	48a563f78e134be416ecb76951dbcccf3c53a406
aws.sdk.kotlin	batch-jvm	0.17.0-beta	-	493ef134ea22b4b137bacafee924c384a5c4e201
aws.sdk.kotlin	batch-jvm	0.17.1-beta	-	7c66610563f515c03351b936edb8af30db63771c
aws.sdk.kotlin	batch-jvm	0.17.10-beta	-	e208d070ac7d0e3736eaeec1eb25286d625a438a
aws.sdk.kotlin	batch-jvm	0.17.11-beta	-	8dd513608fd9cb9c9a95a69384a3229c81672d1c
aws.sdk.kotlin	batch-jvm	0.17.12-beta	-	23ec0bc9b2c8f545f09bd1412a24541d1a6e5b56
aws.sdk.kotlin	batch-jvm	0.17.2-beta	-	1257fdca6d13a86e187eb3e68cbc9506dc3ac7f3
aws.sdk.kotlin	batch-jvm	0.17.3-beta	-	24976281957c942ffd3e273c59daedc0810e9643
aws.sdk.kotlin	batch-jvm	0.17.4-beta	-	b082282ee2c08214152de969eec69d51f6182f9e
aws.sdk.kotlin	batch-jvm	0.17.5-beta	-	3c28e606d7fa576cb73410911abbdb820a028721
aws.sdk.kotlin	batch-jvm	0.17.6-beta	-	ef0486720e06ee2955c0990d92fa20d5370cd573
aws.sdk.kotlin	batch-jvm	0.17.7-beta	-	f4176229c5ec1c2fd2860d95a8958a1d6430bca2
aws.sdk.kotlin	batch-jvm	0.17.8-beta	-	02d94de8f1d57188aad2b99d2ba4c2d59057a014
aws.sdk.kotlin	batch-jvm	0.17.9-beta	-	45073f26859d9e05f6f88cae34a8ebe198eb9129
aws.sdk.kotlin	batch-jvm	0.18.0-beta	-	6e08bc8ab4c55f71651aaa1b34eb823a13c8b990
aws.sdk.kotlin	batch-jvm	0.19.0-beta	-	026902cf16fb9fba85bd4d7c43651c6e75f19043
aws.sdk.kotlin	batch-jvm	0.19.1-beta	-	9027467c182733c182937a5bb0e78004769d5253
aws.sdk.kotlin	batch-jvm	0.19.2-beta	-	ee7b388fae82b35cec5f0d021a55c750f81badf9
aws.sdk.kotlin	batch-jvm	0.19.3-beta	-	793280884f7a8c625a092670c7428eef615ceb68
aws.sdk.kotlin	batch-jvm	0.19.4-beta	-	ea1b8d53b17ff708e5b620604e0f1a623a0132e0
aws.sdk.kotlin	batch-jvm	0.19.5-beta	-	5c7655cda8cb2d09df88bd1513cf9a08b37f5346
aws.sdk.kotlin	batch-jvm	0.20.0-beta	-	47220e5facf34367a95104e2e0748f560bb5bf08
aws.sdk.kotlin	batch-jvm	0.20.1-beta	-	877985e5f6af9fd1b8cffd264a37b16406201661
aws.sdk.kotlin	batch-jvm	0.20.2-beta	-	6b7505d6e147415a6cd2383c0b1a003cfd9f7bc4
aws.sdk.kotlin	batch-jvm	0.20.3-beta	-	55407d046ca47647f1d44e3490cfaed6d9775514
aws.sdk.kotlin	batch-jvm	0.21.0-beta	-	4e9e06ceb6a832e9057f8c58803d83e38f11b0ad
aws.sdk.kotlin	batch-jvm	0.21.1-beta	-	d0f59cf6aea66cb3295db08ef883a6bc2e575905
aws.sdk.kotlin	batch-jvm	0.21.2-beta	-	8eed752f9b6780b6e314ce8a544f35bc9e56f089
aws.sdk.kotlin	batch-jvm	0.21.3-beta	-	20ce27efc32c3865aa59b4856f98f974510c7762
aws.sdk.kotlin	batch-jvm	0.21.4-beta	-	0bb4f4ac6f49df798ddc15fad036868ad883ce3c
aws.sdk.kotlin	batch-jvm	0.21.5-beta	-	f09b4d3cd4aa91cae6e7cc0b3074db559985644f
aws.sdk.kotlin	batch-jvm	0.22.0-beta	-	b5d6823d3abd5491fbb571f3458a9a3861a8ae06
aws.sdk.kotlin	batch-jvm	0.22.1-beta	-	1153fe6a3d80cde11940db22b295734319626848
aws.sdk.kotlin	batch-jvm	0.23.0-beta	-	c7a04cc5a9425f876c7a5b6f5a5c3ef2f24e2961
aws.sdk.kotlin	batch-jvm	0.24.0-beta	-	1c44d6196dde898258f5adb2781f13a80b1d91d5
aws.sdk.kotlin	batch-jvm	0.25.0-beta	-	1fd8f48f9ac28333a1633ec7d38817377e19dc16
aws.sdk.kotlin	batch-jvm	0.26.0-beta	-	9ec5f719d6f76f2994f8a33bc8e50a23f6b6cfc4
aws.sdk.kotlin	batch-jvm	0.26.1-beta	-	b5fe0acad494ebe8895e3a76ff5ea6d73577509f
aws.sdk.kotlin	batch-jvm	0.27.0-beta	-	1e9ed93ea0b239a7f14e18939d84d04cd86f6361
aws.sdk.kotlin	batch-jvm	0.27.1-beta	-	2d50b4b349a42e61c386f446dbc7b40a69e3f28f
aws.sdk.kotlin	batch-jvm	0.27.2-beta	-	cbb96f119ac7dcd7c9abf9bdf553cabf9f4354e2
aws.sdk.kotlin	batch-jvm	0.28.0-beta	-	2e9303baee13f2e652d64dab52653e44a1203753
aws.sdk.kotlin	batch-jvm	0.28.1-beta	-	277aa8972b0e9ac5caea6230b6cccec3e85d1a12
aws.sdk.kotlin	batch-jvm	0.28.2-beta	-	688f1ce61cff9a8597acb2cd2f60e54b7cdc5a6d
aws.sdk.kotlin	batch-jvm	0.29.0-beta	-	a7920dbb141cb2f69ccb23723e654ce207b5cf12
aws.sdk.kotlin	batch-jvm	0.29.1-beta	-	405c1ad49d32b0cd8663f211869b953264882a36
aws.sdk.kotlin	batch-jvm	0.30.0-beta	-	6298171ce6547df0f534b325fbdc04fffe2c0dc5
aws.sdk.kotlin	batch-jvm	0.30.1-beta	-	b491b38f298985aa7a59228dddfc12febb117665
aws.sdk.kotlin	batch-jvm	0.31.0-beta	-	01e1832d8ae27886fe7d727d9e87597a9da03739
aws.sdk.kotlin	batch-jvm	0.32.0-beta	-	6deb8a00135827cb12fff9b9f71a4d75cb20646d
aws.sdk.kotlin	batch-jvm	0.32.1-beta	-	ad118cfd80063390d988af0bcaa043411cd57a40
aws.sdk.kotlin	batch-jvm	0.32.2-beta	-	f12c8d39a842e158dc9a556651ef9b3226a262d7
aws.sdk.kotlin	batch-jvm	0.32.3-beta	-	dd1678d3be75d7cac206eda98ffd726548548749
aws.sdk.kotlin	batch-jvm	0.32.4-beta	-	ce39bcc4d6f81cb677a22edd1ea31c34e73d7924
aws.sdk.kotlin	batch-jvm	0.32.5-beta	-	a7f4b0540641ef2782c6b3705bc9191112c1eba6
aws.sdk.kotlin	batch-jvm	0.33.0-beta	-	090f8d702a4c29533f2f5308cf158fd72b5132c4
aws.sdk.kotlin	batch-jvm	0.33.1-beta	-	cbb48b9ce7e1beeed8a5b2099edbbecb9d6b82fb
aws.sdk.kotlin	batch-jvm	0.34.0-beta	-	0b109d285ce40b6c05fbab79764f85ddee9bcbef
aws.sdk.kotlin	batch-jvm	0.34.1-beta	-	cde25bc7556d599507cc2f60821889ae0f234a91
aws.sdk.kotlin	batch-jvm	0.34.2-beta	-	25e830c5cf018bd8abd45d9725ef7011e758d7da
aws.sdk.kotlin	batch-jvm	0.34.3-beta	-	9b4d4ee03361cdfe7d972502868af5af9ad6d111
aws.sdk.kotlin	batch-jvm	0.34.4-beta	-	83a6448e444c8b91e205540348c9948145e74bc1
aws.sdk.kotlin	batch-jvm	0.34.5-beta	-	b1c92366652dab3cb63c5a28612e199f2701f04a
aws.sdk.kotlin	batch-jvm	0.34.6-beta	-	feb67a90e57df6944e1689f9287c2c9a9e407c30
aws.sdk.kotlin	batch-jvm	0.34.7-beta	-	2a66c68929bf1829363cb701baf1f6344533b177
aws.sdk.kotlin	batch-jvm	0.34.8-beta	-	1c336a09376002dcf8199c65e87ab9fa69252548
aws.sdk.kotlin	batch-jvm	0.34.9-beta	-	a74f40f78186990d16a41b493da8b53622f591f8
aws.sdk.kotlin	batch-jvm	0.35.0-beta	-	584debad8d29c7d907263bd7de85b46e6017eaf2
aws.sdk.kotlin	batch-jvm	0.35.1-beta	-	080dfdf0e0bd4affbc6fc4a01ecd6f7035113154
aws.sdk.kotlin	batch-jvm	0.36.0-beta	-	80052b229089604b122a09654fc7efae5f850172
aws.sdk.kotlin	batch-jvm	0.36.1-beta	-	b097a7b524c4fe24c15fc83a07fbdfcaef6285e9
aws.sdk.kotlin	batch-jvm	1.0.0	-	72fce64a4615afb674a50aca5f0bceb5b40e3dba
aws.sdk.kotlin	batch-jvm	1.0.1	-	c8646e527e1e4e2d56cf3091ff9274d519ef71c4
aws.sdk.kotlin	batch-jvm	1.0.10	-	29162b95c8912fead8a9dbcb1c4ddaf000381465
aws.sdk.kotlin	batch-jvm	1.0.11	-	d6b5e28f6e3463c08ad2f5e7bc3ac9e2ca269118
aws.sdk.kotlin	batch-jvm	1.0.12	-	6dffad3b1607539e08cc6efbfd514d530e8b347f
aws.sdk.kotlin	batch-jvm	1.0.13	-	eb7178bd776d091794f3b3c43fae9b05e873a110
aws.sdk.kotlin	batch-jvm	1.0.14	-	aa95ca372088b320714b83b2d65dd51940ac5fa7
aws.sdk.kotlin	batch-jvm	1.0.15	-	70677ff47e64f3e73c0935d9a49234d2b672ac99
aws.sdk.kotlin	batch-jvm	1.0.16	-	e6f220cf9348f3c26869c8974d7921cf14639d68
aws.sdk.kotlin	batch-jvm	1.0.17	-	1e1c671a47ca077021ebc5925c9a24502980ec26
aws.sdk.kotlin	batch-jvm	1.0.18	-	d3c15eebc818668f74533e0d987b8d1a59183de5
aws.sdk.kotlin	batch-jvm	1.0.19	-	4ccdebaf62c06ab6babf25ab5e3407c00dd9ed8c
aws.sdk.kotlin	batch-jvm	1.0.2	-	3f23a72a214bab190ade2f2595949e320ec55e6e
aws.sdk.kotlin	batch-jvm	1.0.20	-	0ef5206322953f3f3d705bb7356c07beeb3fbba2
aws.sdk.kotlin	batch-jvm	1.0.21	-	4df288362874b0a6b63721fde70aa0450089ba02
aws.sdk.kotlin	batch-jvm	1.0.22	-	7983e7f479d450dec68adec1a8a8e3b5ab6d4b5b
aws.sdk.kotlin	batch-jvm	1.0.23	-	f3c878898e67ba737e555581eed80455944d522d
aws.sdk.kotlin	batch-jvm	1.0.24	-	3ca04e8f4111b7b18da9d4d3c9268189ac5a8329
aws.sdk.kotlin	batch-jvm	1.0.25	-	a7611c8e8c43d779b7df86300332afd6e5ee2ab3
aws.sdk.kotlin	batch-jvm	1.0.26	-	354d0d40be4821474eec3b631d3c3a5c91a4f94e
aws.sdk.kotlin	batch-jvm	1.0.27	-	2dfea12e7d92eff879410a135b0a9465de0c216b
aws.sdk.kotlin	batch-jvm	1.0.28	-	813578cbde040b575f814b20c4723f5358c5c804
aws.sdk.kotlin	batch-jvm	1.0.29	-	3f432d309178b96b9acb476af8452f6a21f97bef
aws.sdk.kotlin	batch-jvm	1.0.3	-	c2d11aa34f25ce0369c61542f6722c912f3cea5d
aws.sdk.kotlin	batch-jvm	1.0.30	-	145f714251c7ed7701c267458ec7eac6db6080ad
aws.sdk.kotlin	batch-jvm	1.0.31	-	07ec28c31ca3e8ec725cb41c0c0c5cf677aed11f
aws.sdk.kotlin	batch-jvm	1.0.32	-	65739bb1d0f5701c95aaf043ba29cc192103728c
aws.sdk.kotlin	batch-jvm	1.0.33	-	db8ae29734bc2cc23290962df7ffd1edd5985ab3
aws.sdk.kotlin	batch-jvm	1.0.34	-	abee88435bc70dc4375fa3d802dc95f22eee82ad
aws.sdk.kotlin	batch-jvm	1.0.35	-	3b2822d0624f19382fc7c49479a0682823db88b0
aws.sdk.kotlin	batch-jvm	1.0.36	-	ab340fa0199101ab035ccebcbc5634cbe2eec46b
aws.sdk.kotlin	batch-jvm	1.0.37	-	bf0621840e0069f5479e626acd9d1ec828736bf8
aws.sdk.kotlin	batch-jvm	1.0.38	-	a1b9cfd1b8ae93832e4dea3cc7c8b9075c56647c
aws.sdk.kotlin	batch-jvm	1.0.39	-	1096d2a0b838ea200911291660ce864ef72f6fbc
aws.sdk.kotlin	batch-jvm	1.0.4	-	c66bea1650141c5d2c9678ba0650eeb84d8cc487
aws.sdk.kotlin	batch-jvm	1.0.40	-	4dc9e89d80f2a828b8f7296d504a584dd938d030
aws.sdk.kotlin	batch-jvm	1.0.41	-	321ebd152958178a1d5ae0d3cdd5e93fef2ff5a5
aws.sdk.kotlin	batch-jvm	1.0.42	-	5d4cf9ae4cc05495b77dfc2a1c6efa7a5f0bf3be
aws.sdk.kotlin	batch-jvm	1.0.43	-	63dfe8512436149559539c2511b2ad2340ce80e4
aws.sdk.kotlin	batch-jvm	1.0.44	-	dfd538437d7ae81959483f363e414701e6a2a461
aws.sdk.kotlin	batch-jvm	1.0.45	-	267566fb90ce065021a623674f7f4c072c7fe249
aws.sdk.kotlin	batch-jvm	1.0.46	-	5967d280c2a00ca907f27bda775990fae32501c8
aws.sdk.kotlin	batch-jvm	1.0.47	-	d23a9199065b5678f96c7cd3c5a8f2e3a01ab4cd
aws.sdk.kotlin	batch-jvm	1.0.48	-	6069c633a43b7b9906c129de7f59b2d51385e52e
aws.sdk.kotlin	batch-jvm	1.0.49	-	3e973524ecb04ebd37dcf686f42a5e9d530a521c
aws.sdk.kotlin	batch-jvm	1.0.5	-	3246524cf2d09d93007a408b04875009fecc1331
aws.sdk.kotlin	batch-jvm	1.0.50	-	84e9fb69839d7563cf01b14be4bb3aee0137d809
aws.sdk.kotlin	batch-jvm	1.0.51	-	51ccd8415b4b4218028fba2a6a37ffc854342635
aws.sdk.kotlin	batch-jvm	1.0.52	-	00d6bfe0d1fcbf02a2b116cc7ea8d40e1c7ec0bd
aws.sdk.kotlin	batch-jvm	1.0.53	-	4a58d2b1c0a872ddf57ac13b8388f26a295d5a3b
aws.sdk.kotlin	batch-jvm	1.0.54	-	80de38e9c2f0890d660549bc242bd4fb4b011ed7
aws.sdk.kotlin	batch-jvm	1.0.55	-	3dde2f2184007cb6dd30d068775fecf56fce937c
aws.sdk.kotlin	batch-jvm	1.0.56	-	7cb2aeecdc715e33a03c12c7c536c96f201df0f7
aws.sdk.kotlin	batch-jvm	1.0.57	-	75feb8821e81458e1331bd01ce65fff5496c9a31
aws.sdk.kotlin	batch-jvm	1.0.58	-	aa12bba84aa61c2380467555166d0aa41e6ffc73
aws.sdk.kotlin	batch-jvm	1.0.59	-	668eeab70e36c9c28c7a176318e781e00598a7cb
aws.sdk.kotlin	batch-jvm	1.0.6	-	323b428d48e3c7306793e7d95cf49e300bf565bd
aws.sdk.kotlin	batch-jvm	1.0.60	-	18de225b98aa950563d872ab00a464b1e7eb41af
aws.sdk.kotlin	batch-jvm	1.0.61	-	89d1e12ac11e430f3d15f2790b162068b2327ab2
aws.sdk.kotlin	batch-jvm	1.0.62	-	41efbb8d857a6063ca0017986dd69f55eca5eeb0
aws.sdk.kotlin	batch-jvm	1.0.63	-	99cbef74e635ab7c9a8427b2d45959c9bcaf20b2
aws.sdk.kotlin	batch-jvm	1.0.64	-	8a38ab120d3217f9367245bb5e62659bb70099d5
aws.sdk.kotlin	batch-jvm	1.0.65	-	edafb08af0d5b96ee116e2f1655e30fd6ad4dd91
aws.sdk.kotlin	batch-jvm	1.0.66	-	85f4e32faffde4232df596b74137b705664562a3
aws.sdk.kotlin	batch-jvm	1.0.67	-	501fa49f1cf76c45ea7bf2202c99e1da368483e4
aws.sdk.kotlin	batch-jvm	1.0.68	-	e318b402f1bc3749279a51c23694ce9c9ce75fd3
aws.sdk.kotlin	batch-jvm	1.0.69	-	6ca7a0fe6ffd3ee2e1d2ee37511971e58d3d00cd
aws.sdk.kotlin	batch-jvm	1.0.7	-	04b74ca2c99e6ed2387d90f6804899e433d860d1
aws.sdk.kotlin	batch-jvm	1.0.70	-	29b025f3a398de7421c067f68335d8c56ed84284
aws.sdk.kotlin	batch-jvm	1.0.71	-	6f0a1943c532db2759a8a054a777495358443aeb
aws.sdk.kotlin	batch-jvm	1.0.72	-	e10b3c74a172199b560de1d1c601e3c9e42b3b6c
aws.sdk.kotlin	batch-jvm	1.0.73	-	d64a074dcf15b0b03d7ecc806778888f38b3a989
aws.sdk.kotlin	batch-jvm	1.0.74	-	10d2940bf24a02a1dcec98d776908e9566644a1b
aws.sdk.kotlin	batch-jvm	1.0.75	-	eb24908b78668f2767faf14b9f1354eaba6fbe67
aws.sdk.kotlin	batch-jvm	1.0.76	-	c94242ea57506ec19021687be237a2c374afa85d
aws.sdk.kotlin	batch-jvm	1.0.77	-	12182e05ee86706fded977db1aeb9e4ff4989e7c
aws.sdk.kotlin	batch-jvm	1.0.78	-	0784ab07f82ba7b970ecc5df14862970557f3735
aws.sdk.kotlin	batch-jvm	1.0.79	-	50e4021030cbc020145724bcb23cb4f5a3a1ee58
aws.sdk.kotlin	batch-jvm	1.0.8	-	ea3fadea9c731553b30246216b6af94c79c1b13d
aws.sdk.kotlin	batch-jvm	1.0.80	-	e3abc611a0b2efc1763a66473222d01c35e0791b
aws.sdk.kotlin	batch-jvm	1.0.9	-	1488af5b5d4e385c0fa134aa17dd927108c7c850
aws.sdk.kotlin	batch-jvm	1.1.0	-	168b0ddd92c88b8641fb769b9737e170c7fb222c
aws.sdk.kotlin	batch-jvm	1.1.1	-	61df319e1e88218af0537f8af4db22174755ea56
aws.sdk.kotlin	batch-jvm	1.1.10	-	437db2b32a8ba42e81106df9cfc04845576131db
aws.sdk.kotlin	batch-jvm	1.1.11	-	c8928a6765a9fa51b820b00f98b00e5ea745e5f1
aws.sdk.kotlin	batch-jvm	1.1.12	-	f7869376456243f7c2c37cae21a76e28deee609f
aws.sdk.kotlin	batch-jvm	1.1.13	-	c0fc5ef9130bfb705c08cbbd6f115dbee8a5ee01
aws.sdk.kotlin	batch-jvm	1.1.15	-	ad9efb664802efacb88fa454da8ae612a6e69018
aws.sdk.kotlin	batch-jvm	1.1.16	-	325467e950214031f3c954b0e4fc6a2facc5beea
aws.sdk.kotlin	batch-jvm	1.1.17	-	231e7c76179218ea24342f2a12de615cd00d6342
aws.sdk.kotlin	batch-jvm	1.1.18	-	e3d936e17ce081b9854975eab9f0b2d495a1702f
aws.sdk.kotlin	batch-jvm	1.1.19	-	7b0d35e4b8a8bfa987247f6c3b2ae577ef33e7cd
aws.sdk.kotlin	batch-jvm	1.1.2	-	5e8d3ade63b2b3dc97f3c1eea2b4f452b6da75e4
aws.sdk.kotlin	batch-jvm	1.1.20	-	04029c18544b80c4152d197590435d5fd1fe87e5
aws.sdk.kotlin	batch-jvm	1.1.21	-	79dc34e79dfc47c49b4a32cf05ba883f092e4800
aws.sdk.kotlin	batch-jvm	1.1.22	-	afb3697b25b5b3a08a9606728d41fbf2a1165621
aws.sdk.kotlin	batch-jvm	1.1.23	-	5c51cb7b8ccda262e55442850bc298e8f42927b3
aws.sdk.kotlin	batch-jvm	1.1.24	-	0cb7c3cf817e237f1b6afbd8891a898015143af3
aws.sdk.kotlin	batch-jvm	1.1.25	-	16e17bfa6f40fd797293750fd3eefa67ad254d05
aws.sdk.kotlin	batch-jvm	1.1.26	-	ad9b6d63c0e97d1e894c6d9d6756e181d38e4e9b
aws.sdk.kotlin	batch-jvm	1.1.27	-	d4c2368092a3309a418a9b196574968e44668329
aws.sdk.kotlin	batch-jvm	1.1.3	-	38ff4134d5aa594b67e3ae28bbfe4507f452d950
aws.sdk.kotlin	batch-jvm	1.1.4	-	00a39c4892fee433efddc5ff66cbca32425f79a6
aws.sdk.kotlin	batch-jvm	1.1.5	-	9c0ef2ce9c999e5c22355a4f849939e8399f3520
aws.sdk.kotlin	batch-jvm	1.1.6	-	20735fc51332ebe54f1bd93ef50d3a4dbd05558e
aws.sdk.kotlin	batch-jvm	1.1.7	-	efa293194ea19a8643c1eed3451d6213a58b1dea
aws.sdk.kotlin	batch-jvm	1.1.8	-	8e918bf4990bc8e00b9baba6952d6d283bf3d2db
aws.sdk.kotlin	batch-jvm	1.1.9	-	eb8dd2286020ebdb8afd0c06a6ae82c661329d48
aws.sdk.kotlin	batch-jvm	1.2.0	-	ba12c1760260ea21e824146817f558c09bbf5516
aws.sdk.kotlin	batch-jvm	1.2.1	-	1a608147e1ddfcba1fd3f8329f9e5fabbe70f910
aws.sdk.kotlin	batch-jvm	1.2.10	-	8b9b7be468e946943624d5b1417ed6ce1861b98a
aws.sdk.kotlin	batch-jvm	1.2.11	-	90db3bb4228383ea9f1f37d4cf6e2e84e723110d
aws.sdk.kotlin	batch-jvm	1.2.12	-	9daa384dedb334ece902a053b6103fc17dd7db3c
aws.sdk.kotlin	batch-jvm	1.2.13	-	28093ec6b6cbbba59ecc4036727a64f651b2acf4
aws.sdk.kotlin	batch-jvm	1.2.14	-	d7a99a9473034a0eee4d5df8b3fce0fac01263af
aws.sdk.kotlin	batch-jvm	1.2.15	-	9cc4cc3ca94e97fddc660188294163acd5c76178
aws.sdk.kotlin	batch-jvm	1.2.16	-	0b700686bcacad0526afe9257de5b92c3e766443
aws.sdk.kotlin	batch-jvm	1.2.17	-	c2dff6c12de21a1c4cf0e7437adcca6a47b84b13
