by.shostko	mock-data-source	0.2.1		N/A
com.buschmais.jqassistant.plugin	yaml2	2.2.0-RC1		f2e25827b6498fa8802325c1c4515e5338bdd53c
com.buschmais.jqassistant.plugin	yaml2	2.2.1		7e2c60b4a63306a0c3114fe2977263bbc869788b
com.buschmais.jqassistant.plugin	yaml2	2.3.0		80031047bceecdb1bc8e045860abf650cb6bd7f3
com.buschmais.jqassistant.plugin	yaml2	2.3.0-M1		eb06a2b0ded5da9fde2fb0331e1d286315cbba1a
com.buschmais.jqassistant.plugin	yaml2	2.3.0-M2		66d366c733af32a1a285584bcd408c2abf564178
com.buschmais.jqassistant.plugin	yaml2	2.3.0-M3		334f9015c149dd01601acd927ee99dcf2618b6ad
com.buschmais.jqassistant.plugin	yaml2	2.3.0-M4		035b25e64eae1b4aa82575fb35fac87cf3d0295b
com.buschmais.jqassistant.plugin	yaml2	2.3.0-M5		0d6e9018b83d944e568aa87ab0467928304d5d27
com.buschmais.jqassistant.plugin	yaml2	2.3.0-RC1		ff6498eb579c72c47bbdc9fec236b2386f739e3a
com.buschmais.jqassistant.plugin	yaml2	2.3.0-RC2		3a1fdf682ac859bd8d064183be0d1f03ec3cfded
com.buschmais.jqassistant.plugin	yaml2	2.3.1		54c276712615ba7dadc581a0f31adefa4371921d
com.buschmais.jqassistant.plugin	yaml2	2.4.0		477ad36dac637b2dfc51aac3e2f192b243f22273
com.buschmais.jqassistant.plugin	yaml2	2.4.0-M1		a5df3015f595542f6f2ea6b0121a65171cdae12b
com.buschmais.jqassistant.plugin	yaml2	2.4.0-M2		ada9fa9dec63f00049abd08db9cbaf6e4715b198
com.buschmais.jqassistant.plugin	yaml2	2.4.0-M3		cbbba446878e342cc7ad6623b666f8c231755405
com.buschmais.jqassistant.plugin	yaml2	2.4.0-RC1		492a60c26c465e117d6a9298ae2c60578ac7fc10
com.buschmais.jqassistant.plugin	yaml2	2.5.0		f1f5651fe446c6b953f8fec936f44f7b89a37384
com.buschmais.jqassistant.plugin	yaml2	2.5.0-M1		f4a1bedd62c44c8c2f6fbc1088cabe52148f826b
com.buschmais.jqassistant.plugin	yaml2	2.5.0-RC1		5ba1026f8944bdc60c3a2cb41a6c9dd908219372
com.buschmais.jqassistant.plugin	yaml2	2.5.0-RC2		20f29f37b1625b517ffecafb40163f7978097b41
com.buschmais.jqassistant.plugin	yaml2	2.5.0-RC3		1bf3d8e4ba1eb05579200a199c57def29f342cf6
com.buschmais.jqassistant.plugin	yaml2	2.6.0		619edd2a9018fd63515d83a880a1b93fb92cfea6
com.buschmais.jqassistant.plugin	yaml2	2.6.0-M1		07a6bf92ed15814fcbc92e67cb2125b600963395
com.buschmais.jqassistant.plugin	yaml2	2.6.0-M2		20986bb01dfd2f200aff7ff83283922ead8fd471
com.buschmais.jqassistant.plugin	yaml2	2.6.0-M3		d1283911e42be2a5322b109643359e03497efb78
com.buschmais.jqassistant.plugin	yaml2	2.6.0-RC1		ffceffb764a64d0d300cec9d77f2ac652ee54d23
com.buschmais.jqassistant.plugin	yaml2	2.7.0-M1		8053ffadcdaf6f207c657d3a58250332e19702ff
com.buschmais.jqassistant.plugin	yaml2	2.7.0-RC1		a015f52eeb88a766b4265c76f6882da093c034f9
com.coralogix	android-sdk	1.0.0		N/A
com.coralogix	android-sdk	1.0.0-alpha		N/A
com.coralogix	android-sdk	1.0.0-alpha.1		N/A
com.coralogix	android-sdk	1.0.0-alpha.2		N/A
com.coralogix	android-sdk	1.0.0-release		N/A
com.coralogix	android-sdk	1.0.0-test		N/A
com.coralogix	android-sdk	1.0.0-test-1		N/A
com.coralogix	android-sdk	1.0.0-test-2		N/A
com.coralogix	android-sdk	1.0.1		N/A
com.coralogix	android-sdk	1.0.2		N/A
com.coralogix	android-sdk	1.0.2-flutter		N/A
com.coralogix	android-sdk	1.0.2-flutter-0		N/A
com.coralogix	android-sdk	2.0.0		N/A
com.coralogix	android-sdk	2.1.0		N/A
com.coralogix	android-sdk	2.1.1		N/A
com.coralogix	android-sdk	2.2.0		N/A
com.coralogix	android-sdk	2.2.1		N/A
com.coralogix	android-sdk	2.4.0		N/A
com.coralogix	android-sdk	2.4.1		N/A
com.coralogix	android-sdk	2.4.2		N/A
com.daml	ledger-api-test-tool-1.15	2.10.0		691cae0333e7071284d9614e1f47d3b57fae7f9e
com.daml	ledger-api-test-tool-1.15	2.10.0-adhoc.20240830.12942.0.v3e4e9451		e116970b2c16f6189e0013ab036d18742e3ff8f1
com.daml	ledger-api-test-tool-1.15	2.10.0-adhoc.20240926.12977.0.vf09a26b8		b0f892e056b4f4d47b3fe2c06d869ac315ec8296
com.daml	ledger-api-test-tool-1.15	2.10.0-adhoc.20240930.12985.0.v0bdf66d5		c9b2acdb9a8bbdabb6ae31893383e3e478266372
com.daml	ledger-api-test-tool-1.15	2.10.0-adhoc.20241003.12993.0.va759f925		147d62e3fda42e6baecb3bac3eee665af87dcbcb
com.daml	ledger-api-test-tool-1.15	2.10.0-adhoc.20241008.12997.0.v9ba70c83		c751edc8c875a2c1fbae210f4386ac44643c6c8f
com.daml	ledger-api-test-tool-1.15	2.10.0-adhoc.20241009.13006.0.v20f6fb6c		0ad11538918acf22aa64843de27da91f6276a29e
com.daml	ledger-api-test-tool-1.15	2.10.0-adhoc.20241029.13035.0.v7977e389		b4f370203e64b7d98b33d5e003a0fe17de9ec8df
com.daml	ledger-api-test-tool-1.15	2.10.0-adhoc.20241031.13042.0.v386ef7fb		420f733c88373e914d71e3d2831a8a285552fb8a
com.daml	ledger-api-test-tool-1.15	2.10.0-adhoc.20241212.13143.0.vdbbc65bd		a62a75847d0085690d76be0abd326e8fc762ec67
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240620.12856.0.v6dca8f13		0c0c66e914b08791fbae8b651153b7460d6b7d7f
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240621.12858.0.v69032bec		55d3de10f0e6137d1e95f6b6c11abc77a0f5a7b6
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240624.12860.0.v89a57673		d60191e849ba4a85867c2eb39835a0480ecc39c4
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240625.12862.0.v525059bd		ab7cdfc5aa013cd50f6615483f57fa56e1b9ac48
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240626.12863.0.v0dd3ff7a		486771970d28642db870bb2a844f62ab20402dfe
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240627.12866.0.v1b779380		4b4e1c7389394c421bb1682e7d56985c704542d3
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240628.12867.0.v53e86a7d		30456f4d3bf344257ea0580ef1a826cd81df86cd
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240701.12869.0.v4fda922b		b3e441d3e7b710bf9ed0d29732af8e1883bd5063
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240702.12870.0.vad7e96c5		4e4a4788ec4848a77ee0cff96eefa828fcc421e3
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240703.12873.0.vf7419f57		4c56680ee1d6f1b722d0b826ea6c9b4c00266e54
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240705.12877.0.v924a1f35		0dcdf7b08eda6cc8befa5446696e6fa575b21e86
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240705.12878.0.vdad6987d		c3f6fda92800838506072a872e701206f1923307
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240708.12879.0.vf67d8519		4d29aa11edba5a19a56e927f63ec410b25e6c525
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240708.12883.0.v00a0c804		f1744bd0a58b35f648e56076bdfc8823c22d5cea
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240709.12884.0.v2a1c56cf		78c73a6cca23a7ec11b99ef71c7952d512e4a79f
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240710.12887.0.v4fa4f3b7		d0fa606ab48f0b15da22324b296802a752c04e06
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240711.12891.0.v2c3ad8f7		c4a8f61d8f12f32e8e1b681b8fc5a1f5899c1e39
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240715.12892.0.v4ae1ae43		f4303065a857f57bd06ed2de69dc7277044d9b95
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240716.12893.0.v672e6a67		9789c74bb15cdc24ced4d38e110a97a6ace2ce07
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240717.12894.0.v12701aca		76fd11c25df1a18a3524646130f92bc149607f7b
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240718.12895.0.v0f0dbf7c		760b983b8977db754de73cdd97d32ad53c58d652
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240719.12899.0.veadcd58c		7512a2ae9c55cab381deba717c7d1cf677a35199
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240722.12903.0.vb94f2695		56d827040facc11891eae99a3e89762215a73e60
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240723.12906.0.vdd916f3d		d2cef68c871474dfbe8906f6a6a8a0d963ad3cb7
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240724.12908.0.v0f1b48fb		dc7cd3bc1b92471e0ba7afeacb7d16a6f1733c3d
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240725.12909.0.v3500e776		8dde4e15ebb86ad360da8ecaeb5764d689528e9e
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240729.12910.0.ve49511fd		29d657a562a58d659d246863a2c0e3b206a5422b
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240730.12912.0.vc8920051		1937ffaeacdb99d015e304373efd7734f205dd7a
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240804.12913.0.v8280eebb		d9ae5ca12b8adbe7c41ddfda69adeca2943db73e
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240805.12914.0.vca1ccc34		e79e0cfdd1ce1f8a822bba9b6e4a6148fd3f06a2
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240806.12915.0.vc8c74759		cb74f8a012884deeb36e1fa520e4e2efdb144c7b
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240807.12918.0.v6ae6f17d		6b6073547e6c6f866e5565443a765157adca5844
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240812.12920.0.vadb77426		1555b1248f648a1c74bb2986b8b9dcd138375061
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240813.12924.0.vf97df98d		cb215c9ce8b07226a2268acf737e59eefd2730f9
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240814.12927.0.v50a79e10		8b70471c0bf9facc72821c86d160c0dbe089920b
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240815.12928.0.v88a1befd		5cfb9006941eb3238cb3364351db547f886a6888
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240816.12929.0.va7ea9d59		57b05faee5b6a24629934eaa808b94c533c7ef40
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240819.12930.0.v0e2bbe10		bc17f55936ee687cf2217fa8bf721a1501198cdf
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240820.12932.0.v80ffa617		3c07369bfea79ba168a6523854a7fd7d484a0614
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240821.12933.0.v8ba622fb		3fbdcf1bb324333ec1445a26bb97a3880c30f131
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240823.12936.0.vecb8acc3		21361c2a0a193bd4aff2ccdc0fda7a8b03a79630
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240826.12938.0.vc5a21340		81686cf976fabcad8d12263516ca87209f72d867
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240828.12940.0.v307e0c85		8c10d4a33908535d6594f5b01fc7232f48e4bf37
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240830.12942.0.v3e4e9451		c811d1ba97bd5195aa7cf60c613c5ef67fba9df5
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240902.12945.0.v29d5ab85		e92a4384d530643a7fd2a0f764570f895a72091c
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240903.12947.0.v43734b6b		516579e9840d3af342331d7d88d682bde437f797
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240904.12948.0.va6f6d25a		3112852f4af343d4bfc5cf98095d07fd19bb9c3f
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240905.12949.0.vd31d5f11		7152ad35019946d17c99d148d5cc31fe3d24adb1
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240906.12950.0.v863effdb		5e6dde1e896373a425da703583d496df55355724
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240909.12951.0.v4020b9c1		b59fd3ebf3233e92f3eacc474c246381625553bd
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240910.12953.0.v7e224718		cffeb41290526590362f7d9ca584dfad2b91a64d
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240911.12955.0.vee1ef999		d20dd5405ad336d34b8270bc5c143a3a3c7899ac
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240913.12956.0.vc59d689e		c9e9011a1f794bc561bd1de2912a8eb2a2a23fb4
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240916.12957.0.v05bb1e84		3021a60b59e76ec5ef57951140856de716ae633b
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240917.12960.0.v1bd2be60		676283a6cb3499b667991953d33d8503f91a4d6a
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240918.12961.0.v064e26d0		89e4745057f1f065a59748d520acebabcd211799
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240919.12963.0.v8b00825e		99f9bd59b8091536fe05b1136d3c955a74f49699
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240920.12964.0.v8b5bf925		6e2b8d6601dc15007fde2497d33b2bbd9cd7191d
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240923.12967.0.v5850adf6		deb9470b324d7a64619197209f3748ab34f6048b
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240924.12969.0.v7c80e3c5		064a8720f17e37c54f1d72bfacf6fc7311257a59
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240925.12975.0.v810514d5		16b021cafa03df9360192cf48d4b2f4ea9714324
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240926.12977.0.vc73c8398		6a4357ce8e5373f9edaa1425071a1347a939db4c
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240927.12982.0.v46f26aaa		112bbb52ca580503c9b5a56994d81ae99b3a1906
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20240930.12984.0.v34e731c5		5885177f62441bb903296d41c98eea1422820ff5
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241001.12986.0.v9b136762		67fac1a6e8b3b36f23cdcf88bc0e3fb181c5813d
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241002.12989.0.v50ef79d3		a6a0f8bd9219d078419cd2bacebee9bddfb65567
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241003.12991.0.v4922d403		0da573ece90e0203c9683b3113cbb1eff4014397
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241004.12994.0.v3991c94d		bbeb32f8fd0d9085eaffaf23c35855a4d5c76a26
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241007.12995.0.vb72fe917		900b5606f94e537616d34773e7625e3629bef1f0
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241008.12998.0.v085a1a73		b30b6d07d6dd5d3b645be190912d2063e35f18b3
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241009.13001.0.v44d905ca		5c01beecee3b5328032b121282223a8725c0e329
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241010.13003.0.vb79a1d35		dbf4aa31d3c963c55a9f28c81838263cb0f77cc3
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241011.13004.0.vfda42856		a9bab76e852225ae44e43dfaf94c30d6a9ab7431
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241014.13007.0.vb5371e6c		135c7a39813f8431d99c95ad580e3b26b3e4b6b1
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241015.13009.0.v19d1b665		afecfa0ec3bbbe5937aefd8f94def0152dfeb1b7
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241017.13013.0.vfdb00602		ea39bd8fb342d2834043c2036743458416dd1a03
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241018.13016.0.v3621b0df		4757d494817122b12151124c9cecc239f148ff83
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241021.13017.0.vfac10709		dd253a0cec749586993037b99ee1320e105e9f58
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241022.13020.0.v61dad494		4d1686c235efcaee6182adf1442dde5c98c19052
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241023.13024.0.v2bb40b56		2177a5a55e5528b787b0de96920771bf8eb5edc4
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241024.13026.0.ve6249793		f6cc7d1658d64cd988de1d2384c9448b330c235c
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241025.13028.0.v6753501f		050db0af2a80207ad3d64646ece3faf78fe88f10
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241029.13034.0.v5423d1c9		91d446ad6e6fb6c6b148231ffdd1dde4edaa7ffa
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241030.13038.0.v4735759a		c982261686a10d76722931c28792e0de08aa12e3
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241031.13043.0.va2307b9c		399400b3ec96c159e93d526d80bdc3042050d661
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241101.13047.0.v1e6d5c93		4b662fc7ee881f1dee9b489dd522f7c6a58f4b75
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241105.13052.0.v9f987229		633fca93fd8ec365cb13835f2a5e16cfcb91c0a4
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241106.13056.0.v910c3af2		7b8d74d2a926fe4dad3caa112ef7168ba142cffc
com.daml	ledger-api-test-tool-1.15	2.10.0-snapshot.20241107.13062.0.vc42923a7		eeb8ea001819c9f9fb173caba41328ffe5785144
