be.cyberelf.nanoxml	nanoxml	2.2.3		bf8beecd9eadd51f1a2534fc58baa0a3eabcb48e
com.daml	sandbox_2.13	1.16.0-snapshot.20210805.7501.0.48050ad7		0b8cd84865a4478d634c6eeb19420c334fcd0827
com.daml	sandbox_2.13	1.17.0		92b28cc0ff2719a73d6e010db72dd7ae6892b163
com.daml	sandbox_2.13	1.17.0-snapshot.20210811.7565.0.f1a55aa4		5146034ed7831a909c174f438b54b4071d4dbb78
com.daml	sandbox_2.13	1.17.0-snapshot.20210817.7604.0.0c187853		6cbbb214152a2082bcda74885235337286461192
com.daml	sandbox_2.13	1.17.0-snapshot.20210824.7647.0.640fb683		05ba03b0aecfa7f6ca14ba20798460d28f0bc324
com.daml	sandbox_2.13	1.17.0-snapshot.20210831.7702.0.f058c2f1		0bd8b4e81800dc841bb3c93864d253d98a380cac
com.daml	sandbox_2.13	1.17.0-snapshot.20210907.7759.0.35a853fd		ab04a10ee27e57dff5cd81798f78137809684c35
com.daml	sandbox_2.13	1.17.0-snapshot.20210910.7786.0.976ca400		da1b92cfe5a53cf41c9c5cb653d0097dad063936
com.daml	sandbox_2.13	1.17.0-snapshot.20210915.7841.0.b4328b3d		92b28cc0ff2719a73d6e010db72dd7ae6892b163
com.daml	sandbox_2.13	1.17.0-snapshot.20210922.7849.0.49a75801		92b28cc0ff2719a73d6e010db72dd7ae6892b163
com.daml	sandbox_2.13	1.17.1		92b28cc0ff2719a73d6e010db72dd7ae6892b163
com.daml	sandbox_2.13	1.17.1-snapshot.20211006.7852.0.fbc4bc00		92b28cc0ff2719a73d6e010db72dd7ae6892b163
com.daml	sandbox_2.13	1.17.1-snapshot.20211006.7853.0.e05be365		92b28cc0ff2719a73d6e010db72dd7ae6892b163
com.daml	sandbox_2.13	1.17.2-snapshot.20211124.7857.0.b33b94b8		92b28cc0ff2719a73d6e010db72dd7ae6892b163
com.daml	sandbox_2.13	1.18.0		a9898f0a6072bb806deb13e40c705e0231ae728d
com.daml	sandbox_2.13	1.18.0-snapshot.20210921.7889.0.1b473c2b		4d738d1e19d97eba53124466edc6e4fdeeaaac40
com.daml	sandbox_2.13	1.18.0-snapshot.20210921.7889.1.1b473c2b		4d738d1e19d97eba53124466edc6e4fdeeaaac40
com.daml	sandbox_2.13	1.18.0-snapshot.20210922.7908.0.ced4a272		4d738d1e19d97eba53124466edc6e4fdeeaaac40
com.daml	sandbox_2.13	1.18.0-snapshot.20210928.7948.0.b4d00317		550c85a9ef0c9d6c47953fd74899063c0c205d30
com.daml	sandbox_2.13	1.18.0-snapshot.20211006.8003.0.cfcdc13c		3cf9a14dafc60fd1f1fd9a86716ad4d8b4561212
com.daml	sandbox_2.13	1.18.0-snapshot.20211013.8071.0.514e8b50		639d59c898834bef1275a96170d00e35e5e60d93
com.daml	sandbox_2.13	1.18.0-snapshot.20211019.8113.0.8ff347d8		5f2e5617c9253a4214e4d2c15ebbade9ad066249
com.daml	sandbox_2.13	1.18.0-snapshot.20211026.8179.0.e474b2d1		575a87cebf2455fc173c712cb67c162c94ef507c
com.daml	sandbox_2.13	1.18.0-snapshot.20211102.8257.0.7391a3cd		d3311a34962e2af522c7ad95dc780e06699088a8
com.daml	sandbox_2.13	1.18.0-snapshot.20211109.8328.0.92181161		b4e6f8e0fd7eb64bead2c96f67168eec92e8e9ae
com.daml	sandbox_2.13	1.18.0-snapshot.20211110.8337.0.c5a1f0bb		b4e6f8e0fd7eb64bead2c96f67168eec92e8e9ae
com.daml	sandbox_2.13	1.18.0-snapshot.20211111.8349.0.d938a44c		463f0f03e864a7f56e82cc9c88f0447410a875ee
com.daml	sandbox_2.13	1.18.0-snapshot.20211117.8399.0.a05a40ae		463f0f03e864a7f56e82cc9c88f0447410a875ee
com.daml	sandbox_2.13	1.18.0-snapshot.20211124.8419.0.39d9afcd		463f0f03e864a7f56e82cc9c88f0447410a875ee
com.daml	sandbox_2.13	1.18.0-snapshot.20211206.8423.0.2c945fcb		a9898f0a6072bb806deb13e40c705e0231ae728d
com.daml	sandbox_2.13	1.18.1		a9898f0a6072bb806deb13e40c705e0231ae728d
com.daml	sandbox_2.13	1.18.1-snapshot.20220106.8429.0.ea344666		a9898f0a6072bb806deb13e40c705e0231ae728d
com.daml	sandbox_2.13	1.18.1-snapshot.20220110.8433.0.e8e25a11		a9898f0a6072bb806deb13e40c705e0231ae728d
com.daml	sandbox_2.13	1.18.1-snapshot.20220113.8434.0.1724373f		a9898f0a6072bb806deb13e40c705e0231ae728d
com.daml	sandbox_2.13	1.18.1-snapshot.20220113.8434.1.1724373f		a9898f0a6072bb806deb13e40c705e0231ae728d
com.daml	sandbox_2.13	1.18.2		a9898f0a6072bb806deb13e40c705e0231ae728d
com.daml	sandbox_2.13	1.18.2-snapshot.20220310.8437.1.5221a5d1		a9898f0a6072bb806deb13e40c705e0231ae728d
com.daml	sandbox_2.13	1.18.2-snapshot.20220324.8440.0.5cfb1a21		a9898f0a6072bb806deb13e40c705e0231ae728d
com.daml	sandbox_2.13	1.18.3		a9898f0a6072bb806deb13e40c705e0231ae728d
com.daml	sandbox_2.13	1.18.3-snapshot.20220620.8442.0.c7424302		a9898f0a6072bb806deb13e40c705e0231ae728d
com.daml	sandbox_2.13	2.0.0-snapshot.20211123.8463.0.bd2a6852		a9898f0a6072bb806deb13e40c705e0231ae728d
com.daml	sandbox_2.13	2.0.0-snapshot.20211201.8538.0.1d0ff3cc		0950fcc7c303fc47d9ae05ddc1a4865dc93bdff7
com.daml	sandbox_2.13	2.0.0-snapshot.20211207.8589.1.85e2fa55		cebbcdc0edd1f8c70b3468f800efbce7e8ee8d22
com.daml	sandbox_2.13	2.0.0-snapshot.20211207.8589.2.85e2fa55		cebbcdc0edd1f8c70b3468f800efbce7e8ee8d22
com.daml	sandbox_2.13	2.0.0-snapshot.20211207.8589.3.85e2fa55		cebbcdc0edd1f8c70b3468f800efbce7e8ee8d22
com.daml	sandbox_2.13	2.0.0-snapshot.20211207.8608.0.c4d82f72		cebbcdc0edd1f8c70b3468f800efbce7e8ee8d22
com.daml	sandbox_2.13	2.0.0-snapshot.20211209.8636.0.0a17087b		cebbcdc0edd1f8c70b3468f800efbce7e8ee8d22
com.daml	sandbox_2.13	2.0.0-snapshot.20211209.8636.1.0a17087b		cebbcdc0edd1f8c70b3468f800efbce7e8ee8d22
com.daml	sandbox_2.13	2.0.0-snapshot.20211210.8653.0.35beb44c		cebbcdc0edd1f8c70b3468f800efbce7e8ee8d22
com.daml	sandbox_2.13	2.0.0-snapshot.20211220.8735.0.606a8ef0		7333a16470a70450e1f3a0db56e462c8baa1dbe2
com.daml	sandbox_2.13	2.0.0-snapshot.20211220.8736.0.040f1a93		7333a16470a70450e1f3a0db56e462c8baa1dbe2
com.daml	sandbox_2.13	2.0.0-snapshot.20220104.8767.0.d3101e01		055dcfe4b79d9c59880c56d26490adc870c383ae
com.daml	sandbox_2.13	2.0.0-snapshot.20220105.8777.0.cb15ab5a		055dcfe4b79d9c59880c56d26490adc870c383ae
com.daml	sandbox_2.13	2.0.0-snapshot.20220110.8812.0.3a08380b		055dcfe4b79d9c59880c56d26490adc870c383ae
com.daml	sandbox_2.13	2.0.0-snapshot.20220111.8828.0.7ec55d7f		055dcfe4b79d9c59880c56d26490adc870c383ae
com.daml	sandbox_2.13	2.0.0-snapshot.20220117.8894.0.502b21f8		412ffd856539c4d9cd8e403bcd2f8295db77ef35
com.daml	sandbox_2.13	2.0.0-snapshot.20220117.8897.0.36a93ef0		412ffd856539c4d9cd8e403bcd2f8295db77ef35
com.daml	sandbox_2.13	2.0.0-snapshot.20220118.8919.0.d0813e61		9c903a62fc0cf88dbefdc6eb7ee85e107ad20518
com.daml	sandbox_2.13	2.0.0-snapshot.20220119.8939.0.ebd3827c		36a6f170b06c3c9d873072c5bb9c2112407c12df
com.daml	sandbox_2.13	2.0.0-snapshot.20220124.8981.0.a150737d		6bc7dfade5c8ba2a5738730638cf24eeaf8a57fb
com.daml	sandbox_2.13	2.0.0-snapshot.20220125.9008.0.ed33c0d5		cd294f7a834bc1b34c14730fb4ada85233953446
com.daml	sandbox_2.13	2.0.0-snapshot.20220126.9017.0.159f3847		cd294f7a834bc1b34c14730fb4ada85233953446
com.daml	sandbox_2.13	2.0.0-snapshot.20220126.9029.0.42cf70b1		cd294f7a834bc1b34c14730fb4ada85233953446
com.daml	sandbox_2.13	2.0.0-snapshot.20220127.9042.0.4038d0a7		cd294f7a834bc1b34c14730fb4ada85233953446
com.daml	sandbox_2.13	2.0.0-snapshot.20220127.9049.0.345e2679		cd294f7a834bc1b34c14730fb4ada85233953446
com.daml	sandbox_2.13	2.0.0-snapshot.20220201.9108.0.aa2494f1		4a4a592a778b4746905489159dc994cf3d8b27da
com.daml	sandbox_2.13	2.0.0-snapshot.20220204.9165.0.225c58f4		2cccd1b44e6b495f4c7942af9ae8e53f7184a01f
com.daml	sandbox_2.13	2.0.0-snapshot.20220207.9186.0.f63165aa		28565e74d7dfa9a007c60b4e10439f5d01802e31
com.daml	sandbox_2.13	2.0.0-snapshot.20220207.9190.0.89c9c5d3		d08017b484a8d858b7c9f7d8c922e93e3f8c7159
com.daml	sandbox_2.13	2.0.0-snapshot.20220208.9197.0.8182602f		d08017b484a8d858b7c9f7d8c922e93e3f8c7159
com.daml	sandbox_2.13	2.0.0-snapshot.20220208.9207.0.7b70711c		d08017b484a8d858b7c9f7d8c922e93e3f8c7159
com.daml	sandbox_2.13	2.0.0-snapshot.20220209.9212.0.b7fc9f57		d08017b484a8d858b7c9f7d8c922e93e3f8c7159
com.daml	sandbox_2.13	2.0.0-snapshot.20220210.9222.0.f2797795		d08017b484a8d858b7c9f7d8c922e93e3f8c7159
com.daml	sandbox_2.13	2.0.0-snapshot.20220210.9244.0.6a91fdfe		d08017b484a8d858b7c9f7d8c922e93e3f8c7159
com.daml	sandbox_2.13	2.0.0-snapshot.20220211.9260.0.3dccabf6		d08017b484a8d858b7c9f7d8c922e93e3f8c7159
com.daml	sandbox_2.13	2.0.0-snapshot.20220212.9261.0.3ebd9d7b		d08017b484a8d858b7c9f7d8c922e93e3f8c7159
com.daml	sandbox_2.13	2.0.0-snapshot.20220214.9284.0.dc5f2033		d08017b484a8d858b7c9f7d8c922e93e3f8c7159
com.digitalasset.ledger	ledger-api-auth-client	100.13.38		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.39		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.40		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.41		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.42		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.43		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.44		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.45		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.46		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.48		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.49		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.50		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.51		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.52		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.53		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.54		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.55		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.55-snapshot.20200226.3267.c9b9293d		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.55-snapshot.20200304.3329.6a1c75cf		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.55-snapshot.20200309.3401.0.6f8c3ad8		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.55-snapshot.20200309.3401.6f8c3ad8		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.56-snapshot.20200318.3529.0.6ea118d6		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.56-snapshot.20200325.3626.0.a3ddde3a		7d16dd46069a966f1d97418454c421263e24dd49
com.digitalasset.ledger	ledger-api-auth-client	100.13.56-snapshot.20200331.3729.0.b43b8d86		7d16dd46069a966f1d97418454c421263e24dd49
com.fossgalaxy.games	fireworks	0.1		4121e81a55a240c52fb1d6ea477073e9a22602d0
com.fossgalaxy.games	fireworks	0.1	jar-with-dependencies	20bf34763ac338643e4976efec1ae13e8e8049ac
com.fossgalaxy.games	fireworks	0.2.1		662cb5214a890646a441bacc575606e2e08e28ff
com.fossgalaxy.games	fireworks	0.2.1	jar-with-dependencies	7801521dc735e0cf8ee6a2270837cc9cd6080e4a
com.fossgalaxy.games	fireworks	0.2.2a		3bc5c5713f5b92f94d6358a3bdfeb7ee69a1cf89
com.fossgalaxy.games	fireworks	0.2.2a	jar-with-dependencies	251c34b7ec63d3c2f91b979cebcbf2350cb9cae0
com.fossgalaxy.games	fireworks	0.2.3		bd6c1d24fbda3bf11e25b04fed0d4a98c0e5ff73
com.fossgalaxy.games	fireworks	0.2.3	jar-with-dependencies	62e3eb2839a526d42c8f9a77da4980c92f9b267d
com.fossgalaxy.games	fireworks	0.2.4		1400ce0bfdee48274523f1723e88cb208ca0778e
com.fossgalaxy.games	fireworks	0.2.4	jar-with-dependencies	daa7e6bba184da593cc94328ed95a3ec60b3262b
com.fossgalaxy.games	fireworks	0.2.5		4eb92cab3aa9f47a17bd4b97ce0533f147d97f78
com.fossgalaxy.games	fireworks	0.2.5	jar-with-dependencies	11471c9fdb112c795f6d59c1f91f07d1c0980622
com.fossgalaxy.games	fireworks	0.2.6		ce7a32675c2f7edb97b3d5f454f01eac3a9fb692
com.fossgalaxy.games	fireworks	0.2.6	jar-with-dependencies	fc6093c2557aa09133e0502c9699627fd8e86d88
com.github.fomkin	korolev-monix-support_2.11	0.10.0		fa1b5bfee9d3d03b2bb182522e90a288415bb900
com.github.fomkin	korolev-monix-support_2.11	0.7.0		4f529c9e65a264b5c635021d4ab4dad5179e5620
com.github.fomkin	korolev-monix-support_2.11	0.8.0		bc8075a3fbb35dcee9c68aaa00fa7127791c621e
com.github.fomkin	korolev-monix-support_2.11	0.8.1		67eb129700334068a4b09808af58adda9c2944cf
com.github.fomkin	korolev-monix-support_2.11	0.9.0		00d50bdf2b5e618ebea93be2e0d509babefaf045
com.github.xxscloud5722	mud-sdk	1.0		160dd12c4392e72bb81638ed5fd9e043e6987fa6
com.indix	util-store_2.12	v0.10.1		0cebe96e403a4b7d14ae42df6f3210340f341454
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.33.0		N/A
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.33.0	metadata	1c6e1f2a2d73e70a0622e08d56b8bb32965500cc
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.33.1		N/A
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.33.1	metadata	3e90e6ed505712257260025bde97759a14d5a1d7
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.33.2		N/A
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.33.2	metadata	d20b9ca4f1441bc1372dec3c6b3f73f23fa537a6
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.34.0		N/A
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.34.0	metadata	6c2af8602ebe16199963616b923399692a75629c
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.35.0		N/A
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.35.0	metadata	f9a7907a2759e14349e67009f71f101843e85998
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.35.0-rc		N/A
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.35.0-rc	metadata	571b31f597c19864f544cea46083d9fe3f3d4d2b
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.35.0-rc2		N/A
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.35.0-rc2	metadata	f0275ee339b5a0c721f3a663ca0a40879ca41ff5
com.juul.kable	kable-log-engine-khronicle-iosarm64	0.36.0		N/A
