at.released.cassettes	cassettes-base-androidnativearm32	0.1-alpha01		N/A
com.github.alexarchambault.ammonium	setup_2.10.6	0.4.0-M6		7dc5f6950fa95c29c5fc27b6e5d367b72875ac0b
com.github.alexarchambault.ammonium	setup_2.10.6	0.4.0-M6-1		342746596237306327d481f1593625de0ff57674
com.github.charleslzq	baidu-binding	1.0.1		N/A
com.github.charleslzq	baidu-binding	1.0.1-RC1		N/A
com.github.charleslzq	baidu-binding	1.0.1-RC2		N/A
com.github.charleslzq	baidu-binding	1.0.2-RC1		N/A
com.github.inspetor	inspetor	0.0.1		N/A
com.github.inspetor	inspetor	0.0.2		N/A
com.github.inspetor	inspetor	0.0.3		N/A
com.github.inspetor	inspetor	1.0.0		N/A
com.github.inspetor	inspetor	1.0.2		N/A
com.github.inspetor	inspetor	1.0.3		N/A
com.github.inspetor	inspetor	1.2.0		N/A
com.github.inspetor	inspetor	1.4.6-beta		N/A
com.github.j5ik2o	reactive-aws-sqs-core_2.13	1.1.4		7b2386376a1d79f844e585bd5aa28781e3ab3fbf
com.github.j5ik2o	reactive-aws-sqs-core_2.13	1.1.5		69deec361bf62c1fcecd917c95653d59775551f7
com.github.j5ik2o	reactive-aws-sqs-core_2.13	1.1.6		79adb0b0940c68d3c121f8c773953dc6bbafe531
com.github.j5ik2o	reactive-aws-sqs-core_2.13	1.1.7		c06a9e0cb7ce10522d69ef66ffe4e4f6f217e332
com.github.j5ik2o	reactive-aws-sqs-core_2.13	1.1.8		c35a11ed7f7f134094851509105f01f540b93f1d
com.github.j5ik2o	reactive-aws-sqs-core_2.13	1.2.0		cb8a9df940d7dacdc4456439ddea5d9a17842e5c
com.github.j5ik2o	reactive-aws-sqs-core_2.13	1.2.1		c9d9e69f7c551d0d43019cc7140dec4bf95659ca
com.github.j5ik2o	reactive-aws-sqs-core_2.13	1.2.3		cf9fdb59c0c32ddde24242aed703b912a8279adf
com.github.j5ik2o	reactive-aws-sqs-core_2.13	1.2.6		3f1ff3478c05dd4be0ab1f99c364894f964c5d05
com.github.mkopylec	charon-spring-boot-starter	1.10.0		3d6d726fd55c86aca41ac7ffeb39b6c53ad48e56
com.github.mkopylec	charon-spring-boot-starter	1.2.0		9c7a96c837fb139cf73df193ef0488f23240429f
com.github.mkopylec	charon-spring-boot-starter	1.3.0		b04d9cb7159350fe0cb90d7fd62ee16c63a355ec
com.github.mkopylec	charon-spring-boot-starter	1.3.1		ed27399fa1e77123d5413e46f888dd107daf8cad
com.github.mkopylec	charon-spring-boot-starter	1.4.0		d4d8339402ae5d634e9f1f05a6078bd9c121f58f
com.github.mkopylec	charon-spring-boot-starter	1.4.1		db55472489260592782e12d6e849c3f3295ab04d
com.github.mkopylec	charon-spring-boot-starter	1.4.2		dcddadfbd3476d9e36368a9843995b5646b05618
com.github.mkopylec	charon-spring-boot-starter	1.4.3		10d51c5d1c5d77133726d1ff66e98531f62b2922
com.github.mkopylec	charon-spring-boot-starter	1.4.4		d808ffc3a9cc762773b8447f90757d7e2f209b59
com.github.mkopylec	charon-spring-boot-starter	1.5.0		51a579d9aa99f30c77992e9d49f6cbbe6262a8db
com.github.mkopylec	charon-spring-boot-starter	1.6.0		9f71fcab7a270dc7281712e4147e4bc914a180dd
com.github.mkopylec	charon-spring-boot-starter	1.6.1		42e1cf38f3bc0dcbbe30c5ca3e361e8b432aa40c
com.github.mkopylec	charon-spring-boot-starter	1.7.0		ce53b03c8b46a5f2b2faa32b25427eb61423493a
com.github.mkopylec	charon-spring-boot-starter	1.8.0		b4e4ee6966f0b1a86231812b03540b54316b7e5e
com.github.mkopylec	charon-spring-boot-starter	1.9.0		b2b6cf6622ae55fc13270aeaea8e027dc6e3a70d
com.github.mkopylec	charon-spring-boot-starter	1.9.1		2a41ec80b5e7c99e26f392aa70c3497a46497966
com.github.mkopylec	charon-spring-boot-starter	2.0.0		dfb5d4b668c610a43b680d5d673809e60c9ea4d1
com.github.mkopylec	charon-spring-boot-starter	2.0.1		eb15a648c889d9b832d89ec7af92b25cf3ce9d6c
com.github.mkopylec	charon-spring-boot-starter	2.0.2		956be3e30d4f395a1381bee87f65c482824a648d
com.github.mkopylec	charon-spring-boot-starter	2.1.0		c5358ea6fccbab1bc9390b7c6698fc2820f409a9
com.github.mkopylec	charon-spring-boot-starter	2.1.1		03e96195f8631589770b48ec1e5d62d2e5a2a413
com.github.mkopylec	charon-spring-boot-starter	2.2.0		c24b7da5102f2fde5175804bfea127670e354442
com.github.mkopylec	charon-spring-boot-starter	2.3.0		87f9adf10c442a704bc0ed625bb9dfae80d4e654
com.github.mkopylec	charon-spring-boot-starter	2.4.0		de7dac23ed8beba056f319c226cc782d0dc4cb05
com.github.mkopylec	charon-spring-boot-starter	2.5.0		a9963652b24686c43dda855096ce975bc38487ef
com.github.mkopylec	charon-spring-boot-starter	2.6.0		6fc526eaf8211da48916e7aab6cb5c116a5d5cb8
com.github.mkopylec	charon-spring-boot-starter	2.6.1		c28f6941fa48dae63c1378ff0d97a6a195fea1a6
com.github.mkopylec	charon-spring-boot-starter	3.0.0		c335b4ff6f4c0dc1145c92be95426ea1e78b00a2
com.github.mkopylec	charon-spring-boot-starter	3.0.1		2cbb92b5fc99336f46040b1d052a23f1a0c1f4d3
com.github.mkopylec	charon-spring-boot-starter	3.0.2		37141cb154ae78b7699b90f5cc1161b2bfbc9d9d
com.github.mkopylec	charon-spring-boot-starter	3.0.3		82804bd3184dc6469427654b9f229fbe6734185a
com.github.mkopylec	charon-spring-boot-starter	3.0.4		5ebe64277114066ea73abb813ade0e26682e5ec6
com.github.mkopylec	charon-spring-boot-starter	3.1.0		df35c2340b16c534b891a9b5fbee852c82de80b6
com.github.mkopylec	charon-spring-boot-starter	3.2.0		fd687cddf7eab80c7b24e46a917a3bc47a4d1219
com.hyprmx.android	HyprMX-MoPub	4.3		N/A
com.hyprmx.android	HyprMX-MoPub	4.3.1		N/A
com.hyprmx.android	HyprMX-MoPub	5.0		N/A
com.hyprmx.android	HyprMX-MoPub	5.0.1		N/A
com.hyprmx.android	HyprMX-MoPub	5.0.2		N/A
com.hyprmx.android	HyprMX-MoPub	5.0.3		N/A
com.hyprmx.android	HyprMX-MoPub	5.0.4		N/A
com.hyprmx.android	HyprMX-MoPub	5.0.5		N/A
com.hyprmx.android	HyprMX-MoPub	5.1.0		N/A
com.hyprmx.android	HyprMX-MoPub	5.1.1		N/A
com.hyprmx.android	HyprMX-MoPub	5.1.2		N/A
com.hyprmx.android	HyprMX-MoPub	5.1.2.1		N/A
com.hyprmx.android	HyprMX-MoPub	6.0.0.0		N/A
com.hyprmx.android	HyprMX-MoPub	6.0.1.0		N/A
com.iteaj	iot-client	1.0.1		4cd806be333cd94080b86a6e4854e7b8ba4fef27
com.iteaj	iot-client	1.1.0		8f2e6ec2055c1c24f5097b5785bf15672011d645
com.iteaj	iot-client	1.1.3		003f7c059d93a7d5a65b5ef132469891f984e4fd
com.iteaj	iot-client	1.1.4		27f4edac30d882b1c987c8537eba9ea73695d59c
com.iteaj	iot-client	2.0.0		8d5dcea0a10432b3ee3a84647626325dc1ff22db
com.iteaj	iot-client	2.1.0		1d4ee0ee41d057477e5beeffe6d2db82980dc300
com.iteaj	iot-client	2.2.1		8da865198f61723f480da0ae8af2da2276e24191
com.iteaj	iot-client	2.3.0		bb4f190bfa3e6dbe10486232e5a711dcf4e6fc06
com.iteaj	iot-client	2.3.1		7f5883143ae056e146cef14a81c76e9ab968ebf8
com.iteaj	iot-client	2.3.2		83e4e063f21961a46004346543603a846d71c809
com.iteaj	iot-client	2.3.3		0e6ffb7f55e0cd1a5cdf9decfbd4ca519f5aefd7
com.iteaj	iot-client	2.3.4		81ad24b09ada5fedd3b4648b0b14d63ac7c9ab24
com.iteaj	iot-client	2.4.0		08c70ef5f14def890f3e7962d121d6e288e14072
com.iteaj	iot-client	2.4.1		2b7feea06a238a0d161d30c383bf62c5d5ebfab9
com.iteaj	iot-client	2.4.2		bad2933d98cf6589af2a0ac11ac05c05d824afcb
com.iteaj	iot-client	2.4.3		9ff82f1ad7e9a0d6d17904e7a5eb4a9ea45c9107
com.iteaj	iot-client	2.4.5		76b61981656aec667f3ffc46076ec9e334776025
com.iteaj	iot-client	2.4.6		b3cadca260e648004a95b05cdfbde8b6e945ee1e
com.iteaj	iot-client	2.4.7		97bc2dfa0ef655f6e222d1cae1375e293214733c
com.iteaj	iot-client	2.4.8		74badfdfd796b3156eb987958daab01a3ac27fd3
com.iteaj	iot-client	2.4.9		8e1eb6f93f3107871b5810752d778f3b6015f652
com.iteaj	iot-client	2.5.0		e8aa72a8f430c4d270d7cb4ba95ddc44eba587c6
com.iteaj	iot-client	2.5.1		3be8547e9878da8c19b651bfccac63272d5f1ebe
com.iteaj	iot-client	2.5.2		43056a720972c690c53e5bdf58f6ce986a08ed91
com.iteaj	iot-client	2.5.3		273410521f9474991e3995e13dca693f956eecd8
com.iteaj	iot-client	2.5.4		d46b227ae8d4ab5cbefaccd18893b1ab5c72581d
com.iteaj	iot-client	2.5.5		36bdb43b9786f001789b5c2e287eaddf06e7b492
com.iteaj	iot-client	2.5.6		08b94a9cb60d2966b55fa13e72d4337578c141b5
com.iteaj	iot-client	2.5.7		73e3504c70caa260eb1eda47906a39c25d31dddd
com.iteaj	iot-client	2.5.8		6e4f4dc200ef9a9b1ab26a93f53fea9d6aa2c982
com.iteaj	iot-client	2.6.0		4608a89d376d8c3e9ea372e9e6abdcf96972950a
com.iteaj	iot-client	3.0.0		cd4874fcd9e7b2a764dd30341d4425f568666bbb
com.iteaj	iot-client	3.0.1		664f387e3e5b3eabd85b39c05318e00059624f65
com.iteaj	iot-client	3.0.2		c1a5551b6a84c701d9be7272df51affdf6cd431b
com.iteaj	iot-client	3.0.3		0ec3e66d7aac2e4dbf01706d7ff2c79fba647d94
com.iteaj	iot-client	3.1.0		ace536de1b7976f87e2de5e24976decb4174e3ba
com.iteaj	iot-client	3.1.1		a5f8eac9ee7bac2ac06688cdde22c392930c3989
com.iteaj	iot-client	3.1.3		28c79c9c66b6725427bfe951f2b8242f760b4631
com.iteaj	iot-client	3.1.4		372404c84119fd621ea786459773e07fafbaac5b
com.iteaj	iot-client	3.1.5		12fc0f3d1a6ffe26b398899158a5d96304ef6f30
com.iteaj	iot-client	3.1.6		09d7543d2dfe1725423afad85874184c4ba12de1
com.iteaj	iot-client	3.1.7		2bcfe430750ad6b4c14575f8bde6a95ad2c339e3
com.iteaj	iot-client	3.1.8		8291d305d2013b6d1560054ae7e3554ce4279a34
com.javakoan	koan-annotations	1.0.1		527206c8b1e5522ba8680c3cccc2e933811a8663
com.javakoan	koan-annotations	1.0.2		62e64d106904b8f92773cb065f4e3dbfd9553def
com.javakoan	koan-annotations	1.0.3		49493bda7afcddac4728fdd9ec5690323eeaa2b2
com.jetprobe	jetprobe-core_2.11	0.1.0		9d1712174c0b4492463e6c4fd8504d7488c21511
com.liferay	com.liferay.feature.flag.test.util	1.0.0		7d39768a504f74a792fe80645aa092487330ccb9
com.liferay	com.liferay.feature.flag.test.util	1.0.1		a8027f56c26d6f56d30dc3fb0b8adbdf4ae58a73
com.moriatsushi.compose.stylesheet	compose-stylesheet-text-macosarm64	0.0.1		N/A
com.moriatsushi.compose.stylesheet	compose-stylesheet-text-macosarm64	0.0.1	metadata	32a4aca1907c31497c181fff97349bd949f3147c
com.moriatsushi.compose.stylesheet	compose-stylesheet-text-macosarm64	0.0.2		N/A
com.moriatsushi.compose.stylesheet	compose-stylesheet-text-macosarm64	0.0.2	metadata	32a4aca1907c31497c181fff97349bd949f3147c
com.moriatsushi.compose.stylesheet	compose-stylesheet-text-macosarm64	0.0.3		N/A
com.moriatsushi.compose.stylesheet	compose-stylesheet-text-macosarm64	0.0.3	metadata	32a4aca1907c31497c181fff97349bd949f3147c
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.10.0		0b802eaea91dd2ac5be9758ce3a547a432922183
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.11.0		75474a9096d55803d170388973a3ce26c259c4f5
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.12.0		b29f6bf7c55b745d8251c9e2679023edba8b24ba
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.12.1		bb6e26463edb1e89e97f5de2826f09bebe1491ef
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.12.2		7f671818b4771983292cc94e5bf3f385479212d5
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.12.3		bd9ff6f86b479d771dd5d1cbac386982dd2da414
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.12.4		5df757c68f0b2b504f913371c9b8c9318be01be3
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.12.5		0a3f9dec35017559e1c94cf013f06960c8994137
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.12.6		9d8a7d69edc1e610b5948782af1ab248a354d048
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.13.0		1f9a194d4c0aa016437cc48da7d0eb9dbf018e8b
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.13.1		a3ec1a4b9696f48b255b422ddb252fa79eb071d5
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.13.2		2c2de54a3670136bc3084e8dd6667354cae85883
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.14.0		9fe5729c8cff7329f26adfe0f2611ed39f0e6aa4
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.14.0.1		97f7423a74bc9a1cea38bea637a1b77b57f75cf4
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.15.1		475e9feaffb3e6a6ec90784e9ca1997ff85152a1
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.15.2		5db0c2306aaf20691a07e81ef7509893a29d57da
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.15.3		bbb395520fed8f998d27df8ce0ce163b0941ebdb
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.15.4		5590b6a076cbccc8362a7d057d7775ebde53aa99
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.15.5		678c02d5ac0acdbf98d2a043761e2b0cf1dc38e3
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.16.0		413506c6bca1d0121e94b9d50b502a1bf3f4965e
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.17.0		21bb354a0867e887c85e572cad2718c5f84c7704
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.17.1		34f619cad101e85ea323cf84cf9a4a16a9b463ea
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.17.3		e627246587d8cec4ae642380fa48e97d656b6eb1
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.17.4		5b476648ee5b0505727bbb77baa356bb58bc8b03
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.17.5		f167849925ea671b7a8e0a251dac3395ffd9053b
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.18.0		312f5f973d456f7cc2357cc9c6abb4793269d247
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.18.1		61a938827456a0419d9d98e60f7837b7063aee98
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.19.0		e967ad40b408fb10877703ee668cb519a69ec8b8
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.19.1		74a8411818f57ff841c5e1df38c7c9017d5cfd30
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.19.3		364647e870266b23b61a5b0d29f4337396151a5e
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.19.4		e70871f1e0db17ea227fc388f292d4a6048b647c
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.20.0		c57ef7060db52dfbbeeeb05cae81108d5af7a9a0
com.oracle.oci.sdk	oci-java-sdk-loadbalancer	1.22.0		7c5ff6502d720aa057dcbb44160c2db05ed91be4
