am.gaut.android.toolbarbutton	toolbarbutton	0.1.0		N/A
com.guardtime	ksi-service-client-simple-http	4.11.153		1f04aee6967e513b81e2db79f1c6ddc90d4b81ff
com.guardtime	ksi-service-client-simple-http	4.12.181		fb7440571d761a0607364ac661d244d87dc0e26e
com.guardtime	ksi-service-client-simple-http	4.13.187		8fdb144f724aa351516c21facc3bc338b313197d
com.guardtime	ksi-service-client-simple-http	4.14.193		888216029090850dd49aa5a7df8d7ce08ca9bce5
com.guardtime	ksi-service-client-simple-http	4.15.198		ed9e5ea9ed6cdd15c45897057c701bacb1e286fd
com.guardtime	ksi-service-client-simple-http	4.16.205		72ec3cac502d26ae40b89eb016c9207fadc729dc
com.guardtime	ksi-service-client-simple-http	4.17.213		b5b09255060686afd7641515a50f7ac7792c82fd
com.guardtime	ksi-service-client-simple-http	4.18.217		5797db8ea719a3aa4058fc3704bef074f279d4bd
com.guardtime	ksi-service-client-simple-http	4.19.220		91bdd973358a5ab2fd611bf415d214a3512227ab
com.guardtime	ksi-service-client-simple-http	4.2.32		073f46b1caba27216d9dcefe1beab856dfae50e8
com.guardtime	ksi-service-client-simple-http	4.3.54		d61c3ad2994568313468d602dd14c66e32bb7a2f
com.guardtime	ksi-service-client-simple-http	4.3.55		cf477a89f8aed00dcacdd6cc82478e8457b722ea
com.guardtime	ksi-service-client-simple-http	4.4.67		0f78c3f4af1f73b96889303e384d55563dbf8233
com.guardtime	ksi-service-client-simple-http	4.5.71		7a6429c28d4fee96107e1c79bc813e33be710dd8
com.guardtime	ksi-service-client-simple-http	4.5.72		5ec635e065c68a31f8ea4d3679d3cad79b949d46
com.guardtime	ksi-service-client-simple-http	4.6.80		f949a01e4bdd534a99e6db86d8613848fe8ce861
com.guardtime	ksi-service-client-simple-http	4.7.85		4ef115e3fe31117a30ce5a90b80b668fdc6384f6
com.guardtime	ksi-service-client-simple-http	4.8.89		6f14f2ec1d93d2679e32c40b69d143f8715f8aa5
com.guardtime	ksi-service-client-simple-http	4.8.91		b543ca8eecbb13af261115c9d630ad620ce68baf
com.guardtime	ksi-service-client-simple-http	4.9.95		911361d887a179f52fe356176524605c1ab5abd7
com.jakewharton.twirl	sample-runtime	1.0.3		5fd752ddb9eac46dc86390548948a1270f80d653
com.jakewharton.twirl	sample-runtime	1.0.5		7b6176f9cff577497e002d2836e02c353710cb99
com.jakewharton.twirl	sample-runtime	1.1.0		8a86873a1ffcde1bb21ea86b9d777a4ce6a6d3d0
com.jakewharton.twirl	sample-runtime	1.2.0		2397aad7ed5211c97c8b6b131482234649b476e0
com.ocadotechnology	sttp-oauth2-circe_2.13	0.17.0-RC1		6e1bca903dcae738b237a677ff635478da6393e1
com.ocadotechnology	sttp-oauth2-circe_2.13	0.18.0		225ac41aff53526b35d389f1f57d61a90dff83c2
com.sandinh	couchbase-play_2_6_2.12	10.0.0-M1		97e73e48e7cff3b6233296af90f50a10f99a3685
com.sandinh	couchbase-play_2_6_2.12	10.0.0-M2		76e7c9e5c8859a8d1a16a6b179b6484209714a97
com.sandinh	couchbase-play_2_6_2.12	10.0.0-M3		2f036af22137d32edcbe89d4c355981d04691693
com.sandinh	couchbase-play_2_6_2.12	10.0.0-M4		64f65b5def631abc8451d4db90603ae912177f2a
com.sandinh	couchbase-play_2_6_2.12	10.0.0-M5		d036c85948d018b6ce51916532747910ec35146f
com.sandinh	couchbase-play_2_6_2.12	10.0.0-M6		82dc2181a34defa894a1c57acc170d73fb3ed812
com.sandinh	couchbase-play_2_6_2.12	10.0.0-M7		b6d931a49dae02e1ce6d9ce741cb646fe2f44f4d
com.sandinh	couchbase-play_2_6_2.12	9.0.0		af915b794a534a987606b5642f5bdffaa356b662
com.sandinh	couchbase-play_2_6_2.12	9.0.0-RC1		5e8e07eafc5ea97b1f606a07692edc0bf79ae871
com.sandinh	couchbase-play_2_6_2.12	9.0.0-RC2		b7c5644815f25353953982e9a9c617786e8ac893
com.sandinh	couchbase-play_2_6_2.12	9.1.0		21e0183206b50f80992bae40c5bc764dc0bca8cd
com.sandinh	couchbase-play_2_6_2.12	9.1.0-RC1		186ee9e5c53474d7ab4ac32f1f804a568da58698
com.sandinh	couchbase-play_2_6_2.12	9.1.0-RC2		c043fc407e548098745e1dedad65eff6d10f3062
com.sandinh	couchbase-play_2_6_2.12	9.2.0		a07f351b99c13007c9f6f6fd2fa77e7d4f87560e
com.seanproctor	data-table	0.10.0		e8a77fbc862ae0fe4f99b719b4e2ed8aa60dbc5e
com.seanproctor	data-table	0.10.1		153cb39d68de0cca8d13baa4875ba56fa778a45d
com.seanproctor	data-table	0.11.0		aa0557505a23972339c04f61d3d7efdaddbcbdd3
com.seanproctor	data-table	0.11.2		a733e6c1a27638b1e91f57d13e2d375a2543395e
com.seanproctor	data-table	0.11.3		3aebf5b012bc8446b9d679103dc7bed9e32d5a91
com.seanproctor	data-table	0.4.0		26e06e99583a3e4ff92bad8bc9e041a480f08f96
com.seanproctor	data-table	0.5.0		10725db2f57e15618309c37de953719b8a8134ac
com.seanproctor	data-table	0.5.1		10725db2f57e15618309c37de953719b8a8134ac
com.seanproctor	data-table	0.6.0		3287f22f9fd9bdddd3970496eeaed22c585a7b40
com.seanproctor	data-table	0.7.0		2eb2f9f1650da33784f700017eaf78c71f7afef4
com.seanproctor	data-table	0.7.1		2eb2f9f1650da33784f700017eaf78c71f7afef4
com.seanproctor	data-table	0.7.2		2eb2f9f1650da33784f700017eaf78c71f7afef4
com.seanproctor	data-table	0.8.0		3390e8c0b32fb1376936a47383b160ae0ca17997
com.seanproctor	data-table	0.8.1		3390e8c0b32fb1376936a47383b160ae0ca17997
com.seanproctor	data-table	0.9.0		e9de1afea16ebfa78e4ef9bb7944b124f5e35267
com.seanproctor	data-table	0.9.1		e9de1afea16ebfa78e4ef9bb7944b124f5e35267
com.seovic.coherence	coherence-tools	0.5		N/A
com.seovic.coherence	coherence-tools	0.6		N/A
com.squareup.retrofit2	converter-gson	2.0.0		49eb3ad545e7701234e4dd83db8dc1344b577f23
com.squareup.retrofit2	converter-gson	2.0.0-beta3		8bff75d7360aaa3866f1e6949c877dfcc2b3d3e2
com.squareup.retrofit2	converter-gson	2.0.0-beta4		de5935a367ba5e343e9df786ac8fc0c7d52b5f0c
com.squareup.retrofit2	converter-gson	2.0.1		02780d858273ce1bb90f6b12e1ef0d40f7741fca
com.squareup.retrofit2	converter-gson	2.0.2		f8d87f15b94b8d74e7ccf61d7eedb558811cdb30
com.squareup.retrofit2	converter-gson	2.1.0		aa557d71ead91cbf26e0c316a0f593d168303309
com.squareup.retrofit2	converter-gson	2.10.0		e67f81a4a7a7b125fc600e003cc2f601902b28e2
com.squareup.retrofit2	converter-gson	2.11.0		9d1fe9d1662de0548e08e293041140a8e4026f81
com.squareup.retrofit2	converter-gson	2.2.0		a09926806199499a20b2f5168779499abfa33342
com.squareup.retrofit2	converter-gson	2.3.0		9e09011e9767bb76b5e27c9b8223476b93b14631
com.squareup.retrofit2	converter-gson	2.4.0		15d7790ee311d961379c51b00aba12d5967cb7ea
com.squareup.retrofit2	converter-gson	2.5.0		1c96fc5d0230f57d36cd09e2541d10829a3352a7
com.squareup.retrofit2	converter-gson	2.6.0		b6b5f2a7e969f34a6edcc1e4dbfab257704faa45
com.squareup.retrofit2	converter-gson	2.6.1		d26f9daea7747d7c4729cdd5a9110c10c6ab4d56
com.squareup.retrofit2	converter-gson	2.6.2		c212ba1ef76db28d96768c74991343e4794b639f
com.squareup.retrofit2	converter-gson	2.6.3		f55404af9840bc04666cf0a8c9c8f39287e5db35
com.squareup.retrofit2	converter-gson	2.6.4		752c8f75e142aa0746d0510c99b7564b10d9bc9b
com.squareup.retrofit2	converter-gson	2.7.0		766076c8559a8b346fbac3153b76f8c7dc45b360
com.squareup.retrofit2	converter-gson	2.7.1		d47e867e606b267146a07c855e1e5920f876f89c
com.squareup.retrofit2	converter-gson	2.7.2		2c17c9e58aa21707099f35ae0fe2e24f72c792c9
com.squareup.retrofit2	converter-gson	2.8.0		0447cdf45d13b07f1d4981bdda10f087a94f6be6
com.squareup.retrofit2	converter-gson	2.8.1		3dd6788fe5568b15df62735d7d16f09276989e9a
com.squareup.retrofit2	converter-gson	2.8.2		7604192d2c6d9002139a322a6a582cf19fb5f7b7
com.squareup.retrofit2	converter-gson	2.9.0		fc93484fc67ab52b1e0ccbdaa3922d8a6678e097
com.thoughtworks.binding	binding_sjs0.6_2.11	10.0.0		371cd47e8b54f07a3a77b96fee6731bec030c6f2
com.thoughtworks.binding	binding_sjs0.6_2.11	10.0.0-M0		b39b4674d7f64a1e7abb7f120f368563360e4b82
com.thoughtworks.binding	binding_sjs0.6_2.11	10.0.0-M1		4bf19e0edf3708c5ceb7a45dd38e12cc1a70d93c
com.thoughtworks.binding	binding_sjs0.6_2.11	10.0.0-M2		009abca672362c8b1659a008e48b81f5140094c9
com.thoughtworks.binding	binding_sjs0.6_2.11	10.0.0-M3		e9b14e02248db70d587a466aca992940fbe4ac43
com.thoughtworks.binding	binding_sjs0.6_2.11	10.0.0-M4		b0df0dce1d7b9d1f41a642006001729fe002694b
com.thoughtworks.binding	binding_sjs0.6_2.11	10.0.0-M5		6831645aa18446a6c0049a62047226e36cdb655e
com.thoughtworks.binding	binding_sjs0.6_2.11	10.0.0-M6		fe2147d503706cad511caccf2b05ee41dbfede59
com.thoughtworks.binding	binding_sjs0.6_2.11	10.0.0-M7		a61ade5d78f7c2d3d610f724808c967cd75ffc7f
com.thoughtworks.binding	binding_sjs0.6_2.11	10.0.0-M8		1d30fb79cedffa9bdf3c0e4d7cfc4f5e88ec0d14
com.thoughtworks.binding	binding_sjs0.6_2.11	10.0.0-M9		479b6ab702d9c11853c49acfbeb6a03681064694
com.thoughtworks.binding	binding_sjs0.6_2.11	10.0.1		2ebb026c6b93d9a5d28983231d258f0c1a04f6ec
com.thoughtworks.binding	binding_sjs0.6_2.11	10.0.2		df0659bdd437b00e29d758a3a02e81b0736d9845
com.thoughtworks.binding	binding_sjs0.6_2.11	10.0.3		ef7db792b62e1da527997fc50c6f28db7f26dfd6
com.thoughtworks.binding	binding_sjs0.6_2.11	11.0.0		4a4477913ab5ad8fd6e8ccece04f4f638926da56
com.thoughtworks.binding	binding_sjs0.6_2.11	11.0.0-M0		fb1d2465dcef9e549d1b84b559766bf1d50099e0
com.thoughtworks.binding	binding_sjs0.6_2.11	11.0.0-M1		fcc7020db191c2e4819444fc9b4f926136ac7630
com.thoughtworks.binding	binding_sjs0.6_2.11	11.0.0-M2		eb2a9e60ae21c7f3fdb9fed90575ff8127a28154
com.thoughtworks.binding	binding_sjs0.6_2.11	11.0.0-M3		9e53bc98925c94be7b29fbccdef98484843ad5ed
com.thoughtworks.binding	binding_sjs0.6_2.11	11.0.0-M4		5bd95fade46b380d1514edff8c1ba7cbd2983ea6
com.thoughtworks.binding	binding_sjs0.6_2.11	11.0.0-M5		3a53afef4af2ad4e845ba5975429f3ba8136b796
com.thoughtworks.binding	binding_sjs0.6_2.11	11.0.0-M6		0a494fff94a1cac3373e17db66523cadafd8a27a
com.thoughtworks.binding	binding_sjs0.6_2.11	11.0.1		a1f66cb8299c26e55d45d061cdc4df2cc72d4fcc
com.thoughtworks.binding	binding_sjs0.6_2.11	11.1.0		95a2310ca8abf41ae6ccaecda220dd1255a41f6e
com.thoughtworks.binding	binding_sjs0.6_2.11	11.1.1		eaf301d7bebd11bdf788f3667088fe32f8fcae35
com.thoughtworks.binding	binding_sjs0.6_2.11	11.1.2		981a9d9e0874379964c7d55fdda2779113e8b404
com.thoughtworks.binding	binding_sjs0.6_2.11	11.2.0		b5aeb2d89e960e170056df3f5c28a34fba13d7d9
com.thoughtworks.binding	binding_sjs0.6_2.11	11.3.0		38a59b475c3888e04903662dc65e6c5c7d4cf293
com.thoughtworks.binding	binding_sjs0.6_2.11	11.3.1		0de0a7f8fe974bf3379fa90d2ec3746c0400df50
com.thoughtworks.binding	binding_sjs0.6_2.11	11.4.0		4c299279049167fcc12776300bd307e3158ce366
com.thoughtworks.binding	binding_sjs0.6_2.11	11.5.0		1aad8d2e674380eba89b7715c63d98b946315e92
com.thoughtworks.binding	binding_sjs0.6_2.11	11.6.0		577bccb9b62ca7ca7c2db91d61f961a47126c72c
com.thoughtworks.binding	binding_sjs0.6_2.11	11.6.1		00632d16b00d0c279fcb4fea397f1ec94f4df071
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0		1cfe39647ea58e743f5ced06ad8545d7b7471912
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+135-f53f1b03		77e18a142ac891d74c24da3c2c14e458107dc5cf
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+136-0c55b523		8cc394672e5e594b115fa22af120e980bf1ef016
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+136-ddaadbb7		588af32640558717ac98ab408921bce77be0d6b2
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+137-562e8606		55cd013cc6c062cc63b4995e3f71341a65880ef0
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+141-9653ff79		b7be5805201f02b0ab839c63d1c83eadf716799e
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+142-59ad08ad		e9bdd3dc31a375734c658d6c0a70f694e20091ea
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+143-429e86ef		cb41abe4128b90b27f72bae53c4fa977f6d9e8c7
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+143-d516a9f9		79f85fb6c8351e2c6b7408caf0ab2b20a2ca0e79
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+144-c34de6d5		394c5f72fc9127528a0a9faae43ac658c408f9a1
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+144-dfef7165		9184bb536f944a0fc60c3149ec6a02afd7bf6db1
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+145-d29c9b6f		974d31884aaf2245de0e97f7896eb1de1b880a22
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+146-ae88d318		702518895edf230879d8ffc187c44f8cce874fd3
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+147-dbad6f7b		81665922b4e7db3512e3278ff1bd821abbcc5bb4
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+148-f11b7e19		189d8c4a8b506379149adbde608dd5ca0b7e1d07
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+149-233deae0		4586ed8519c0aeaefaec35b5ee6e6bd0bd8069d1
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+150-e57da363		967a2c0fde0f5b92d5b94748e2035226dee4770f
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0+151-50bbd803		bf7c6cd01baca757a4996c327e4b8a0415b2ec35
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0-116-252da610		8b6fe8be340e8c68e63e38740fd87f8fbdaabf8a
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0-116-29bbf50f		4fe22ae8716911eadb5dd1db55ffa2f4ce55ae1f
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0-116-2e0babf5		6f4d0c144fd720f6b180b93e6d967dafe1bb2be9
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0-117-46e70ce4		1fcb766c8def901867a0de937196ce1b8e76cf9f
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0-118-bef952a1		0600a4e03f3b60b2258ea889999f96dca6012f84
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0-119-5ae1e05b		96306b5fabc677b80a66f0b5585672c86aa11f2a
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0-121-15708c62		02845aa6dc75bb6b79da4e72a2b8a92a327eb22f
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0-121-34b09b1b		a652b1de2ec92995b8f75c31e5075531e48d4b4b
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0-121-b511cbd7		97223750ad3873142bebde3c92dbb523a62edfef
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0-125-59c3bdb8		0f9193a3788810e88e42f2e1a4cd6eaf6e27a951
com.thoughtworks.binding	binding_sjs0.6_2.11	11.7.0-127-a9f1e4dd		98b64961b7ae1960443d33429d77298dfdeee718
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.0		96ba97381c5e754defb34a062aa6f90253e766fb
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.0+2-f6d234e2		62e29361848aa39e13a4fb70b90ced718983fbdc
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1		3cc2d205d904b7b19437f3f1a82db0151b4723ac
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+10-271b5637		1764e91029821588eabfea81ee13cf02bf206742
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+10-f7cdf968		79e2e5a97f71adce773223900fd0f973412532a9
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+11-699cfe50		54ab15043a59822ff34ac8aa33c0bbd4fd6dc576
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+13-97a80554		3353e0834f1cf3893c42a9f94f2176e4b210e336
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+15-741ee2ec		e28e90645c7be05c884a9f0f6581f946c0bc31db
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+16-c4121049		7aada87a829f5f7bd20ae170487fd1b68a447496
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+19-c14f9b53		8ddeb5b0587523be68af2b17572750e42bc3ae52
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+2-a3d6834a		cd46bc3902fa0b77786a59ae08859e55be855b0d
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+20-fc777f43		78641953125d77a6dfd58d5c4a46ee3873b5389a
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+21-b752e628		a5115e5e18e2e02658869ed3638c3ae1f6e95a8a
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+22-4e7a091f		cdb73741e599f37d33c19dc7ada9d80087ca8d9b
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+23-011e9dd8		dfe3e8f93441b5658a13758931356d0ec8e4141c
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+25-746fc092		c10dafbd4a06accdce682e6fb8ab813f027c7054
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+27-a68a15e5		fbd8b84ffc182453a621a8b47c06e0f7d74bab73
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+29-9bf3951b		fa8491c9a3f8e7bdc5eb0587100c19d8d09c522f
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+30-ea265413		90a5b6721a52287b0bbc0e19604d7201a408dd23
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+31-5a9f2fe4		b95d8aaa8be2cb77c4979d94a892056f713c6580
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+33-675b8477		41469ca3121cecc8c6d61bae63eaa9f3bd0a749e
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+35-41ce4581		f162b21ba3eeb2415d965b43bc1dcb5b681ab2f9
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+36-f6ab2503		f37d42bdfa4fa2ad66c21d4a2ac0fd33a3c358a4
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+38-5df3767b		35a3c781d8f927375681689c5081ed58f46749e4
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+39-33a0038b		eb75b05c3c348c2a1c7549b1b88e9e48c5d66a94
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+4-4b768498		c5a34007d14898e1f2ff9e8d9ed2b3af2a449fb0
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+40-3185eb4c		f7d29495b3eb9f9d512cdf24515dd786c1f51be1
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+5-5f480850		b9456bc484a11fb7e973304600509ed7396a66e7
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+6-4a5e77c5		408eadd97da39a679ebb47e4ed2d47d90a61762e
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+7-6724bd0e		a54f7ad9452707ef04cb19c2bc5e295cc737eee0
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+8-5d117e8f		f5f79611e769e52a475719d0d01c61d6a52109d8
com.thoughtworks.binding	binding_sjs0.6_2.11	11.8.1+9-047e7006		e7b7ed00c6b2bd49bc385f7fb4759b76364b2138
com.thoughtworks.binding	binding_sjs0.6_2.11	11.9.0		c81588e8fe78f4f002b1525c9faebe11ada3cc74
com.thoughtworks.binding	binding_sjs0.6_2.11	11.9.0+18-0b3da6e1		9da1eecabe5f028f1657b955f664367915ad4fbd
com.thoughtworks.binding	binding_sjs0.6_2.11	11.9.0+2-4ca99b15		49bb1514d6ed55b7528271aea2550e6c366399c9
com.thoughtworks.binding	binding_sjs0.6_2.11	11.9.0+24-7ffa2084		3a1130f74639a0954efc0717599c63ef6cc2b0cb
com.thoughtworks.binding	binding_sjs0.6_2.11	11.9.0+26-fc719083		e55c2256049b100b728eaec3f9177ac969249c68
com.thoughtworks.binding	binding_sjs0.6_2.11	11.9.0+27-3112f0a9		8a901c51bf026bf2b5dad7c90987cdf89dc05db9
com.thoughtworks.binding	binding_sjs0.6_2.11	11.9.0+28-e1f944a1		f1f894569be832ffecb3c48d5bb64e75c62f0fe4
