com.adyen.checkout	dotpay-base	3.8.3		N/A
com.guicedee.services	zstd-jni	1.1.0.7		5b9cd1b98f98599f9283bb6da52a610dcd42cc54
com.guicedee.services	zstd-jni	1.1.0.7-jre14		b070dd9266ee716427fac553a46ec5a1490a7a03
com.guicedee.services	zstd-jni	1.1.0.7-jre15		e4c33b3c798e6647cb93e8c6e131ba82762ea39c
com.guicedee.services	zstd-jni	1.1.0.7-jre8		c9af28b42b7dc83f5a79f73258f0c41636f00dd8
com.guicedee.services	zstd-jni	1.1.0.8-SNAPSHOT-jre14		8d615f90cdd37a624b8969e576f6842879dd0114
com.guicedee.services	zstd-jni	1.1.1.0		ecd3784e7c2155f804382b3a1ebd5f7e43605196
com.guicedee.services	zstd-jni	1.1.1.0-SNAPSHOT-jre14		7d4ddfc6d8038a31d238ab0068b9fd0dc23b6834
com.guicedee.services	zstd-jni	1.1.1.0-SNAPSHOT-jre15		8e6a8319a2b070e5af5e8648e197ed3c8bcff771
com.guicedee.services	zstd-jni	1.1.1.0-SNAPSHOT-jre8		8109ce63fb1001b2d661566d48778d1c9a7ab94a
com.guicedee.services	zstd-jni	1.1.1.0-jre14		b2ddd2f42ba927ceac387212de5cc0455e1ac3a3
com.guicedee.services	zstd-jni	1.1.1.0-jre15		fe9f54875641a510e262733fef023d12be2e1189
com.guicedee.services	zstd-jni	1.1.1.0-jre8		5ffc5919e3e1b9e0d251da6eb7ae4b0011a1bc5a
com.guicedee.services	zstd-jni	1.1.1.1-SP1		06ff6f37374fc6876948e4984263ed8a91d1c6a8
com.guicedee.services	zstd-jni	1.1.1.1-jre14-SP1		02e707705d1eed1d13707f0be438b66ae7b39cfb
com.guicedee.services	zstd-jni	1.1.1.1-jre15-SP1		4fd11c3ae71c641f187e28a043d2903fd47bc7df
com.guicedee.services	zstd-jni	1.1.1.2		09c81be943367092bdffc3cc282d950a033d46af
com.guicedee.services	zstd-jni	1.1.1.2-jre14		9c5c50c832683663d629713d4ba43f31897c55d6
com.guicedee.services	zstd-jni	1.1.1.2-jre15		5239f1e237eb9a28405acfc1d6791dfbb4a92512
com.guicedee.services	zstd-jni	1.1.1.3		b2df35c03a0152f5fb88c369c847bc317f9e6a3a
com.guicedee.services	zstd-jni	1.1.1.3-jre14		d32aa5cb25f4a2f3928b75eccf7009cce444a7b6
com.guicedee.services	zstd-jni	1.1.1.3-jre15		9974aea21dc84bc1ac9081aeb4a829ff12e81af9
com.guicedee.services	zstd-jni	1.1.1.3-jre16		32e6ca11c3372e4abbf289abd9e2a81896e467aa
com.guicedee.services	zstd-jni	1.1.1.3-jre8		109374ad9e1bad8ae952553b0ac01c69822ae1df
com.guicedee.services	zstd-jni	1.1.1.4		cd2f8907b71b13299dc3dc3628c02b69bcd3a0ba
com.guicedee.services	zstd-jni	1.1.1.4-jre14		3dc6b15a5a84d14bb9a8c64a66065771b9dfb201
com.guicedee.services	zstd-jni	1.1.1.4-jre15		389816cf1f863611480888613a55759f82fac937
com.guicedee.services	zstd-jni	1.1.1.4-jre16		e666b6dd0995da6b25aacb6bf33106f79cf71f75
com.guicedee.services	zstd-jni	1.1.1.4-jre8		3d419b9b6f94b2e44cd90c01dd16290ecab7a7ab
com.guicedee.services	zstd-jni	1.1.1.5-jre15		d295ee495806d5de1bda55b95c66da78efc248f9
com.guicedee.services	zstd-jni	1.1.1.7		377ab0f0e26041b02d4ae24107768f5fbd71bfff
com.guicedee.services	zstd-jni	1.1.1.7-jre15		b5d11fcaab46a53ade6811cdf7917a32ea8260ee
com.guicedee.services	zstd-jni	1.1.1.7-jre16		765d72430c6798682a38db5088e479b4d7009728
com.guicedee.services	zstd-jni	1.1.1.7-jre8		f849748c8c4c7e173e1bef75ecbabddbb97f7cd2
com.guicedee.services	zstd-jni	1.1.1.8-jre15		b435666fe3f9119f5e2df20e79a4d90a65f86fb5
com.guicedee.services	zstd-jni	1.1.1.8-jre16		3399c2690d8ee47e9cf85e2def95f053c65e2d6f
com.guicedee.services	zstd-jni	1.1.1.9-jre15		cbc3e943b7230cb2f607b4b252f5ff27a40eef03
com.guicedee.services	zstd-jni	1.1.1.9-jre16		e8c636b915eb3987346cadbe17e93cecf10d1707
