com.frostwire	jlibtorrent-linux	1.1.0.27	-	d3d48e6e3c7192e0d35ef5b7b5df0308dcc808ed
com.frostwire	jlibtorrent-linux	1.1.0.28	-	d6ef0ba465ffa3d539c23f85c09c7530c37fd7c3
com.frostwire	jlibtorrent-linux	1.1.0.29	-	f937f2dffb8b700fb653b2e5d6788749bb8c1b7f
com.frostwire	jlibtorrent-linux	1.1.0.3	-	4dac96defc0ca510ca98104b7afc882b51591c80
com.frostwire	jlibtorrent-linux	1.1.0.30	-	4883f1830a346579f77168aea29f53d51e11132d
com.frostwire	jlibtorrent-linux	1.1.0.31	-	66aa8c65eaf5a44d6e0fefcc26c5bb5d63cb9b48
com.frostwire	jlibtorrent-linux	1.1.0.32	-	1fe6ddd1192e971155306dfd1916a21dedae6777
com.frostwire	jlibtorrent-linux	1.1.0.33	-	50cde7d8ee6b1037cba5d95f366666f4b7f0d400
com.frostwire	jlibtorrent-linux	1.1.0.34	-	f87005cfcda0c85c58f7b339a361c2bf6fc7cda3
com.frostwire	jlibtorrent-linux	1.1.0.35	-	29d060599d745c757de9cd2ef0f3c1b77abae6ec
com.frostwire	jlibtorrent-linux	1.1.0.36	-	0b0e45998d84cdd37801bf36ecc2594746279a01
com.frostwire	jlibtorrent-linux	1.1.0.37-RC1	-	1a09582cf628e2243b8749b47a9cd12e4791e5a1
com.frostwire	jlibtorrent-linux	1.1.0.4	-	caeade4a37ec031b26b8d60ce5dc31fc63fcdc99
com.frostwire	jlibtorrent-linux	1.1.0.5	-	c42cb27ab6036a2213e7bff029b91c7a699b33f2
com.frostwire	jlibtorrent-linux	1.1.0.6	-	ff763cacf676b21219b96186c4b630fe73b93423
com.frostwire	jlibtorrent-linux	1.1.0.7	-	d930e40e261ad62db935aaa394491fec5ec84746
com.frostwire	jlibtorrent-linux	1.1.0.8	-	ec34f4b99e98fe993280ed3a35e22eb3c25bdf64
com.frostwire	jlibtorrent-linux	1.1.0.9	-	d4f2a938b7205cd73c5cec2ba12a0d9074e963eb
com.frostwire	jlibtorrent-linux	1.1.1.37	-	1d628ae2564ac0fba70e0d3bd209b09667e0cff6
com.frostwire	jlibtorrent-linux	1.1.1.38	-	318184b31d530962c795500c879b14a16a8ad95c
com.frostwire	jlibtorrent-linux	1.1.1.39	-	ce1c613e33ec61b5d4848107c4e7d337b403b67b
com.frostwire	jlibtorrent-linux	1.1.1.40	-	1ecee75a834ec2a7138c30674bea6e1f7c68f002
com.frostwire	jlibtorrent-linux	1.2.0.0	-	791382be73d79b8d7da9bab542379506c07ed713
com.frostwire	jlibtorrent-linux	1.2.0.0-alpha	-	4ccb50247dfc626c5c598509ef6fd2699f18f8a3
com.frostwire	jlibtorrent-linux	1.2.0.0-alpha1	-	51627815faf7e47f49bdf3fa4a2eae337c76a355
com.frostwire	jlibtorrent-linux	1.2.0.0-alpha2	-	c0c05cd038606aef39e17fc54f2a7d062de6b632
com.frostwire	jlibtorrent-linux	1.2.0.0-alpha3	-	c0961a02188448fa83a1758b000e8167d7b705c7
com.frostwire	jlibtorrent-linux	1.2.0.0-alpha4	-	3d9233f91c4f18e9e4666bf2a51e189bebefe09a
com.frostwire	jlibtorrent-linux	1.2.0.0-alpha5	-	f95fda1c1c9220ec094d16e316537b7fd5091a3c
com.frostwire	jlibtorrent-linux	1.2.0.0-alpha6	-	34fe427dca9033f2ddcf8f489adbc6aae910bfa4
com.frostwire	jlibtorrent-linux	1.2.0.0-alpha7	-	d1914f31d00dc1f73086e0c7e1504f012c5e31c0
com.frostwire	jlibtorrent-linux	1.2.0.0-beta1	-	934676545cbe8ce6514746aba1141d95a2940bb6
com.frostwire	jlibtorrent-linux	1.2.0.0-beta2	-	f3f95ba9df8c74fa5b2854e77577e79217411d45
com.frostwire	jlibtorrent-linux	1.2.0.0-beta3	-	51662e7337e50a73ef7205ce80a79f07784667e0
com.frostwire	jlibtorrent-linux	1.2.0.0-beta4	-	c9cc8c844799d364080e1ed8e5d899c1e924d82b
com.frostwire	jlibtorrent-linux	1.2.0.0-beta5	-	0b460e77044dda2c34249e6401e0385b22995a1e
com.frostwire	jlibtorrent-linux	1.2.0.0-beta6	-	460fb93f0c7ca28bc172a066500ca17b28c0d7f3
com.frostwire	jlibtorrent-linux	1.2.0.1	-	e88be04c56b0f9885fba8cee59428ec3c16a5f43
com.frostwire	jlibtorrent-linux	1.2.0.10	-	5c1577a37c0ff7ab1556a5140aa7298a7395cb30
com.frostwire	jlibtorrent-linux	1.2.0.11	-	5d89df1ab221386c997e2c6b93af7a27489f263f
com.frostwire	jlibtorrent-linux	1.2.0.11-RC1	-	54ae7ddaacda40c6e651c15e392b66c5ee6b4807
com.frostwire	jlibtorrent-linux	1.2.0.11-RC2	-	b89469649792d0f8fe31d84c2c9c4c52be067c8f
com.frostwire	jlibtorrent-linux	1.2.0.11-RC3	-	a8456e9c10a8243269a8f66426985ff5524ea508
com.frostwire	jlibtorrent-linux	1.2.0.11-RC4	-	ac20a5c18319177ad43c56ebe6e2989afa254a42
com.frostwire	jlibtorrent-linux	1.2.0.11-RC5	-	4765d506a36c5c637d7293b7879cdb76ee185836
com.frostwire	jlibtorrent-linux	1.2.0.12	-	924bf8a33fc42ad8a8ecee45e3eb026244ffd404
com.frostwire	jlibtorrent-linux	1.2.0.12-RC1	-	d9de73c9d1161552392f52cb11fc02b846238ed7
com.frostwire	jlibtorrent-linux	1.2.0.12-RC2	-	e1c3185a35c3a9996732ab6e1e9361be2fe9e769
com.frostwire	jlibtorrent-linux	1.2.0.13	-	6eb694e52419fe12d3c84e664c9650d2dbb72f84
com.frostwire	jlibtorrent-linux	1.2.0.13-RC1	-	849742b054d9cacab156a6545697c5ea9419938e
com.frostwire	jlibtorrent-linux	1.2.0.13-RC10	-	9723cf4b08e78f55838c6fa19c1beb2b308a4e2c
com.frostwire	jlibtorrent-linux	1.2.0.13-RC11	-	362a056fcef3c46b9271e1a8da50a0461eec2826
com.frostwire	jlibtorrent-linux	1.2.0.13-RC12	-	91ee852b89310178d8052d881a2e2ab2b5558cc9
com.frostwire	jlibtorrent-linux	1.2.0.13-RC13	-	47d515d232e7fc695d20b5a2e30643374de419dd
com.frostwire	jlibtorrent-linux	1.2.0.13-RC14	-	c388133e6a9060f30b9bb3fc06136a508561b7a2
com.frostwire	jlibtorrent-linux	1.2.0.13-RC2	-	41865850c38589c21d78b830e1689ce66e3eb2d2
com.frostwire	jlibtorrent-linux	1.2.0.13-RC3	-	cefdc708620ab7e2717f4fd4dad9668b1f52bade
com.frostwire	jlibtorrent-linux	1.2.0.13-RC4	-	434a2c8de86ce19e1cc0e392f965bdae0d9a316c
com.frostwire	jlibtorrent-linux	1.2.0.13-RC5	-	4821a293a4db348a6b75fc8fca4ba049d603b29e
com.frostwire	jlibtorrent-linux	1.2.0.13-RC6	-	cf1a75b6fe6808e7322d95b56dfb78019a62280a
com.frostwire	jlibtorrent-linux	1.2.0.13-RC7	-	3eede772fc6e55046ef50da965229053023b8edb
com.frostwire	jlibtorrent-linux	1.2.0.13-RC8	-	30bb372f2c82011271b44a84d89a4347b32d98ce
com.frostwire	jlibtorrent-linux	1.2.0.13-RC9	-	3f15760a04784548c99b293c0b82fda5a6e389d5
com.frostwire	jlibtorrent-linux	1.2.0.14	-	1436edd4903b35d9bf88052d133c893a9d4f23ed
