cn.alvince.zanpakuto	lifecycle-stdlib1.3	1.0.0		N/A
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.4.0-Alpha1		bc3af4640b6f98781f0d05c17f42a69b9a493e1f
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.4.0-Alpha1	module	1380cf7ee35471e8e735f355758aba0ca0649e85
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.4.0-Alpha2		434fee009cb1b178847544f8fc3f79d86ebe14d0
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.4.0-Alpha3		13dfc5888216a948bc8d038138187966758c9f05
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.4.0-Alpha4		a15fa667209f7107bc5c307fe42671bc9d2a3350
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.4.1		98109ce7465e7713aa9c8c144385e2805a19dd58
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.5.0		a660e5d8db1f21b52ef985141fdda13e748ea49f
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.5.0-Alpha1		c443ef7b590035049fde16ea4b107e939e51e6a7
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.5.0-Alpha2		a115277a3d09554a64ec781233b923aa33b8767c
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.5.0-Alpha3		8ca877741909a22c1b712446ee942eec712a4b21
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.5.0-Alpha4		5c2954d4881d3cdbf08199164702cf13da2421d3
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.5.0-Alpha5		e7dccd20de23f0e46b08bdc7add7602b64538cf6
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.5.1		275502edc4d72ed36d8a9713863dce176c570054
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.0		414814f322d9baa557ec54aae549cacf2a2d3c4d
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.0-Alpha1		77afd8116397299b8174ff8b59325fe5c4e75581
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.0-Alpha2		58a6570a73f1cc39f97a781597f12a53deb79473
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.1		6815a318881ea40c9943caa9c97ee203245f0dfe
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.10		949b4b13d7123c6ab8a3f7dc9db5a15ef053dfb0
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.11		0b5487da39fcbd3048a0e904172b4be76f63cd7f
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.12		e0e08d01dfbbd85fdf1be0ef591af9c652d98a48
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.13		eb820a139bc45bec32c3c6ab4d81d438966f5e29
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.14		2c9865adcec7a713d57ea6151abe4939ff62c01d
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.15		d000bd932cda96f1236de0e33b0bdf9040d17acf
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.2		2456ae143192070ccd2f243b71cc836a1b89e4b6
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.3		4371c27b907cdd602d18dbb4dbf653b421f70a25
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.4		634ab4b439eeea4b42563f124d34b0cc424d40c3
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.5		26a0abac4b40577fe50649a1dc0710eb55b71c2c
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.6		2f316646efe2ae2414d9297a3a905904e49eccbd
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.7		a9295e5d897ea9a39d0f545cd3dbce69ce146dfa
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.8		6a2539cea5314af17856e5cc4fcd926d0b6849b4
com.blazebit	blaze-persistence-examples-showcase-fragments-cte	1.6.9		dfca252bd883a6d73a252a99dca1f4bc2e964cc2
com.github.andrestejero	customratingbar	1.0.0		N/A
com.github.andrestejero	customratingbar	1.1.0		N/A
com.github.eikek	calev-fs2_2.13	0.1.0		e6e4adde8526c18b5d734035a0d5fd0e5bec47da
com.github.eikek	calev-fs2_2.13	0.2.0		b214af76d83f11b47d026d31b01f599bb40070c1
com.github.eikek	calev-fs2_2.13	0.3.0		e9e069df2811e778935aafc7e256811441dd291a
com.github.eikek	calev-fs2_2.13	0.3.1		a553d95de303b9a16cff20fac0d486005b44952d
com.github.eikek	calev-fs2_2.13	0.3.2		3930e5f7290e470301f87f5e930b28029ba3474f
com.github.eikek	calev-fs2_2.13	0.4.0		d7c02317ff095f218998f902817e2d660a464ab5
com.github.eikek	calev-fs2_2.13	0.4.1		3895f4af0892a88d44b40cf17e3ae3d9f95613e1
com.github.eikek	calev-fs2_2.13	0.4.2		44b87cd9166f2c9c92d4394e1d804bba05ffc5e0
com.github.eikek	calev-fs2_2.13	0.4.3		8dd0cd1edf1bd37b4c0cca05e82d22d88d979e98
com.github.eikek	calev-fs2_2.13	0.5.0		1646182ad6826d545e356cdd22bed96b214b134b
com.github.eikek	calev-fs2_2.13	0.5.1		e39d97354ae39b0b8f44b579b557c9e144d8dfea
com.github.eikek	calev-fs2_2.13	0.5.2		758d092520ac7b8fc0a8b66f3efe9ce13bbc76d0
com.github.eikek	calev-fs2_2.13	0.5.3		a3b4ed0b0b21dac7a3354ebc0499a0af7796b712
com.github.eikek	calev-fs2_2.13	0.5.4		0be1962871ba524da6784cceaead8846d06c0c8b
com.github.eikek	calev-fs2_2.13	0.6.3		9661db635f91dbe452035541ebc8e0881e0d1bf5
com.github.eikek	calev-fs2_2.13	0.6.4		a6b940e98f7f41b2da7b03b0e949e929aea90c6a
com.github.eikek	calev-fs2_2.13	0.7.0		8f0c5cb2a7fc38ee8a34f2224a71b535f42c1176
com.github.eikek	calev-fs2_2.13	0.7.2		5a1b0fe36ca7f21d79f34d08d6e8f70524388f36
com.github.eikek	calev-fs2_2.13	0.7.3		9f3e3de77624288116d7487f35c8b4ae68a2eeec
com.github.eikek	calev-fs2_2.13	0.7.4		ec471ae1207edb63b992cbfadabd34047eb48a9c
com.github.gdelafosse	gremlin-osgi-deps	3.1.1-1		955e2c4793d83033832e86a213e8600a3f6f606f
com.github.jleskovar	graphql-java	2.2.0-no-slf4j		97fdc3ae8004f7672ae2a97e26b056fb52c4a2a0
com.github.jleskovar	graphql-java	2.4.0-no-slf4j		3c13728ae414605370947a4692aa18dcbd50be96
com.github.matthewbeasley	score-collector	2.0.6		N/A
com.github.veithen.visualwas.thirdparty	org.openide.util.lookup	1.0.0		27fbf5b8ece2e163bbf45bc444788bde972fa81e
com.github.veithen.visualwas.thirdparty	org.openide.util.lookup	2.0.0		ec70f2b06ff18b451e37f3c53f3727bec28e1142
com.github.veithen.visualwas.thirdparty	org.openide.util.lookup	2.1.0		0cbcafaa4189a42fdf3aa75ba079e3627e0947db
com.github.veithen.visualwas.thirdparty	org.openide.util.lookup	2.2.0		505545ccbb9c59da8434a8239d43ba594f2ec695
com.github.veithen.visualwas.thirdparty	org.openide.util.lookup	3.0.0		d4f70f2164eb6871e8ae87f3e427994aaa762a34
com.github.veithen.visualwas.thirdparty	org.openide.util.lookup	4.0.0		bc7c95b28c8f3b0baaf908f60550606d39374f31
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	21.0.0.12		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	22.0.0.1		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	22.0.0.10		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	22.0.0.11		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	22.0.0.12		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	22.0.0.13		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	22.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	22.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	22.0.0.4		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	22.0.0.5		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	22.0.0.6		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	22.0.0.7		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	22.0.0.8		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	22.0.0.9		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	23.0.0.1		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	23.0.0.10		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	23.0.0.11		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	23.0.0.12		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	23.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	23.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	23.0.0.4		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	23.0.0.5		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	23.0.0.6		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	23.0.0.7		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	23.0.0.8		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	23.0.0.9		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	24.0.0.1		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	24.0.0.10		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	24.0.0.11		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	24.0.0.12		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	24.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	24.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	24.0.0.4		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	24.0.0.5		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	24.0.0.6		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	24.0.0.7		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	24.0.0.8		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	24.0.0.9		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	25.0.0.1		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	25.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	25.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.ws.collectiveMember1.0.ee-9.0	25.0.0.4		N/A
com.ironoreserver	com.ironoreserver.core	2.0.5		aaf266cbb41dd966b05ec0253e85631177fc5012
com.ironoreserver	com.ironoreserver.core	2.0.6		caf1edd974551cd3c7e8d97ebc3f35b05107f5ca
com.ironoreserver	com.ironoreserver.core	2.0.7		1ff2b05e9b400d0eac5f66b12b163e4b86db0129
com.jwebmp.jre11	jwebmp-bom	0.63.0.11		N/A
com.jwebmp.jre11	jwebmp-bom	0.63.0.12		N/A
com.jwebmp.jre11	jwebmp-bom	0.63.0.13		N/A
com.jwebmp.jre11	jwebmp-bom	0.63.0.14		N/A
com.jwebmp.jre11	jwebmp-bom	0.63.0.15		N/A
com.jwebmp.jre11	jwebmp-bom	0.63.0.16		N/A
com.jwebmp.jre11	jwebmp-bom	0.63.0.17		N/A
com.jwebmp.jre11	jwebmp-bom	0.63.0.19		N/A
com.litongjava	whipser-cpp-java	1.0.0		497f7763caaca0d32f5fc93d8781b5d5d760ec3e
com.mangopay.android	api-sdk	1.0.0		N/A
com.mangopay.android	api-sdk	1.0.1		N/A
com.mangopay.android	api-sdk	1.0.2		N/A
com.metaring	framework-java-persistence	1.0.0		df115a059ceee79a17af4d5ce0743689cce42cb5
com.metaring	framework-java-persistence	1.0.1		12160dd273c1a9d53cde24917ee41a52c77dbe89
com.metaring	framework-java-persistence	1.0.2		f997c2587a3ad0ebbadb086c43734829fa233cb6
com.metaring	framework-java-persistence	1.0.3		f012b2e98edc611879b2561a2554c13ddcb0bc32
com.metaring	framework-java-persistence	1.0.4		e2bb3d5ef72ed8cb41c49cb3e7fdc907b4a679de
com.metaring	framework-java-persistence	1.0.5		025327aaeeffab43b8ce676706e4f61c6a74030a
com.metaring	framework-java-persistence	1.0.6		b5e469e0f857608309df36e8859f6210a7eebee1
com.metaring	framework-java-persistence	1.1.1		1d57dc9695ba6d9c32439a9e16937dd6696bea96
com.metaring	framework-java-persistence	1.1.5		e3bd4425a5a20aca3e43fee62fea482937d06b59
com.metaring	framework-java-persistence	1.1.6		229ca1fa1f1af5ca5087e1efda29eaf927ae00d9
com.metaring	framework-java-persistence	1.1.7		1ef025362372d097480fdff1ffd1f12b60d8daad
com.metaring	framework-java-persistence	1.1.8		d83c3de7ecf7706b1369955ea0e5b9e1471763b1
com.metaring	framework-java-persistence	1.2.3		992f2a3081f0fd77c4c0f21c4f1a465d28a07f2c
com.metaring	framework-java-persistence	1.2.4		665d6dce7fb1ff410db01b3687117015a7d9ceae
com.metaring	framework-java-persistence	1.2.5		36656b943cce4b1275b1e27800eedf44bddebe90
com.metaring	framework-java-persistence	1.2.9		e94dc6d6076b9cca7b35d9e01c5d4176e4c5ff93
com.metaring	framework-java-persistence	1.3.0		691a07fdecd646ca52a13f499ee0007528c1786d
com.metaring	framework-java-persistence	1.3.1		84e7925937f75cfad599f50be7fc3fa985a28e10
com.metaring	framework-java-persistence	1.3.2		2ac42c425f239b6c8d21f6ed213648ba1061b45c
com.metaring	framework-java-persistence	1.5.0		498043351a64e6da6e614f4ef0c1f90dbbe5f854
com.metaring	framework-java-persistence	1.5.1		5fa0ad6bf475c448cb05764cf4b7ad42113f8c02
com.metaring	framework-java-persistence	1.5.2		1bf7f4b2a0053da545d44d80c37fd9476e446ae0
com.metaring	framework-java-persistence	1.5.3		47910224308e8faa1c2aabd75a1eb5aacc0924ed
com.metaring	framework-java-persistence	1.5.4		44359ea082c1bc29d652a06f02678ab87173ca3c
com.metaring	framework-java-persistence	1.5.5		5310a39e78af1ce601d047774cd482dc83f4b6ad
com.metaring	framework-java-persistence	1.5.6		12960a4766752aa78821e2c8317122cbeabb0fb6
com.metaring	framework-java-persistence	1.5.7		a58ba99953b432d4998840fb5db678e9e606ae81
com.metaring	framework-java-persistence	1.5.8		143d8dff89543746aef1e66f50021af65b9a5dbd
com.metaring	framework-java-persistence	1.5.9		5fba10b4f78a8c9fb3e9361ed89c4f778b9dbd70
com.pep1	pep1-core	0.1		N/A
com.pep1	pep1-core	0.2		N/A
com.pep1	pep1-core	0.3		N/A
com.pep1	pep1-core	0.4		N/A
com.pep1	pep1-core	0.5		N/A
com.pep1	pep1-core	0.6		N/A
com.pep1	pep1-core	0.7		N/A
com.pep1	pep1-core	0.8		N/A
com.pep1	pep1-core	2.0		N/A
com.pep1	pep1-core	2.1		N/A
com.puresoltechnologies.purifinity.plugins	metrics.ddl	0.4.0		5227edc274a76c645904226d0d1be5e154d78a9d
com.puresoltechnologies.purifinity.plugins	metrics.ddl	0.4.1		efc42c5f26f72baab7a4f1a988c12b591bdc30aa
com.qcloud.oceanus	flink-quickstart	1.10.1		N/A
com.softwaremill.macwire	util_native0.5_2.12	2.6.1		06deed3a659744f7a36f2e7c9bbad7ac281eb64a
com.softwaremill.macwire	util_native0.5_2.12	2.6.2		c36c7a9aa61f85479a628de317639f2c17076a3b
com.softwaremill.macwire	util_native0.5_2.12	2.6.3		33525bdc58a4f75a1d71a8011d919505b58ccf1d
com.softwaremill.macwire	util_native0.5_2.12	2.6.4		d0625f1e91dfb12abe5409880c80c48b9ca0a253
com.softwaremill.macwire	util_native0.5_2.12	2.6.5		78626d5a783e936e823454ff73cac3b1680d369d
com.softwaremill.macwire	util_native0.5_2.12	2.6.6		167290494251f49702c91f18f51aae3a18ec20c9
com.soywiz	korlibs-io-socket-core-iosx64	6.0.0-alpha2		N/A
com.soywiz	korlibs-io-socket-core-iosx64	6.0.0-alpha2	metadata	3dea1ff5233a19704947c5717ad95f37ebc0567f
com.trueaccord.lenses	lenses_sjs0.6_2.12.0-M5	0.4.6		e60a8006c36134f89c397e9f5bc3da72d49b675c
com.twitter	finagle-spdy_2.9.2	6.10.0		a39641e58d260d062fa0ff3b7759ccf67b3eafb8
com.twitter	finagle-spdy_2.9.2	6.11.1		fb91e1fde052641953c6e000a412641f031b60db
com.twitter	finagle-spdy_2.9.2	6.12.1		41f49a860a7ba16c36ca685b150ebdb65bd2f50d
com.twitter	finagle-spdy_2.9.2	6.12.2		321b15823389435afc835dec259cdf9cff0c87db
com.twitter	finagle-spdy_2.9.2	6.13.0		25d290e2145b2e6d0dd333b7563d2f1e5c421bed
com.twitter	finagle-spdy_2.9.2	6.13.1		246ba35baa4bae7710e0958a3e327b58daf71d84
com.twitter	finagle-spdy_2.9.2	6.14.0		841d776310d7408ead0084ce401428c89583df98
com.twitter	finagle-spdy_2.9.2	6.15.0		f439337d5983454c268bb8087bb24952fec367bf
com.twitter	finagle-spdy_2.9.2	6.16.0		aaa416dff50c48f7d760f8396fefb54cceb99d34
com.twitter	finagle-spdy_2.9.2	6.17.0		b77e31399ca15e6cd30387d9d5575fefbd5bbcf5
com.twitter	finagle-spdy_2.9.2	6.18.0		75bbcc864af82db0b5185665196c453338d7ec1b
com.twitter	finagle-spdy_2.9.2	6.20.0		631693bd5aeb51dd6e873a506cba11fe40de1855
com.walterjwhite.modules.queue.modules.external.providers	google-cloud-pub-sub	0.0.15		b5fbf078bbe9f60ea6ef89ea024bc41c4a469756
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.10		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.11		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.12		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.13		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.14		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.15		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.16		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.17		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.18		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.19		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.20		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.21		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.22		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.23		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.25		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.26		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.27		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.28		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.29		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.30		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.31		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.32		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.33		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.36		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.37		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.38		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.39		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.8		N/A
com.xebia	xef-gpt4all-mingwx64	0.0.2-alpha.9		N/A
de.eismaenners	agatonsax	0.0.1		37d8db87ff1b62180ec385024e72e21786a7d402
de.qaware.maven	go-offline-maven-plugin	1.0.0		635a81f8360b5047a40dfdc1765f1457dfaa80b9
de.qaware.maven	go-offline-maven-plugin	1.1.0		dbe5dc5b1e902011a13c50674a09147c4b38968e
de.qaware.maven	go-offline-maven-plugin	1.2.0		c0eaa1ea7c981be442c91b6d798c222efbcdeb19
de.qaware.maven	go-offline-maven-plugin	1.2.1		059fb4ed2bf4364d729d59ae1fbcfdf179b430fd
de.qaware.maven	go-offline-maven-plugin	1.2.2		2ceee6c3a9de0c6bc7cabe5ead4005f2b576e61c
de.qaware.maven	go-offline-maven-plugin	1.2.3		399aee7c38be5db73145f3c57b3026473f3d01d5
de.qaware.maven	go-offline-maven-plugin	1.2.4		9ea9c9b46a417a0ca8cdc1bbcc6d4a808e171c05
de.qaware.maven	go-offline-maven-plugin	1.2.5		bab320885d05cef2e291232c61b7a484a7f53f7f
de.qaware.maven	go-offline-maven-plugin	1.2.6		2d6656857495325fd552f62cb9d40cb57de4ab99
de.qaware.maven	go-offline-maven-plugin	1.2.7		077b15f3cf85e6b3b46700d39ef0fc2de28260eb
de.qaware.maven	go-offline-maven-plugin	1.2.8		b92d072ac2c233e78dab58efcdd489ff93e2ae4b
de.sciss	log_3.0.0-M1	0.1.1		4f004c41eb113d7c93a916cab0e6479a7171f164
github.com.taconaut	pms	1.52.2-mlx_0.8		75911ce8a8c9ce1c5a6a445a99051ab221ffbda0
github.com.taconaut	pms	1.52.2-mlx_0.8	jar-with-dependencies	80e322c4c83ceb14bff53c4d36773e9638c435e4
im.shs	tick-dependencies	3.0.0.0		N/A
im.shs	tick-dependencies	3.0.0.1		N/A
io.9tiger	db2rest-oracle9i	1.3.0		49c20d922b8c73407b0698f32de8752843a22e4e
io.9tiger	db2rest-oracle9i	1.3.1		9042d4b482c3cbae66cbd2e370d1ec9e12c43233
io.9tiger	db2rest-oracle9i	1.3.1-RC1		167fe217942142d6c6e6f62e587691be8197d8b4
io.9tiger	db2rest-oracle9i	1.3.2		c0cfd5ae7f7fcc89053fcc93f8845501d5a10879
io.9tiger	db2rest-oracle9i	1.3.3		05f5133d53345bd03d5d17848fc2c69ab4757bd6
io.github.ashwinbhaskar	redis-rate-limit-ce_2.13	3.0.0		d68ad834a448d063a15bb4ea5b78fc70ff8bbb89
io.github.ashwinbhaskar	redis-rate-limit-ce_2.13	3.0.3		2fcb62c30d715cfdc82be2540dbbbace829ebd73
io.github.ashwinbhaskar	redis-rate-limit-ce_2.13	4.0.0		423e1ae313be91d633376f1f1554ab84e0cddd92
io.github.chenhaoaijay	chs-library-xmpp	1.0.0		N/A
io.github.dean-lhb	dean-framework-component-task	1.0.0		47cd5f5a79ec728a8a0b4b0becace730f5d20031
io.github.dean-lhb	dean-framework-component-task	1.0.1		ebaf6791b8b82c49a1cf101fd1d808065aa10e46
io.github.dean-lhb	dean-framework-component-task	1.0.2		dfbdc4642639edcf5f861e49e4031d3b5da0aa78
io.github.dean-lhb	dean-framework-component-task	1.0.3		cf724e0c5c6d27c91ffb16cb32318bf60e100967
io.github.dean-lhb	dean-framework-component-task	1.0.4		299ada15d7e251e99634817f5dfc567120579f16
io.github.dean-lhb	dean-framework-component-task	1.0.5		239c880f345ce6af8364fcb2f91d95e0c22853c4
