app.softwork.serviceloader	runtime-wasm-js	0.0.15		N/A
com.daml	ports_2.12	1.11.3-snapshot.20211111.6441.0.eed4ad32		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.3-snapshot.20211123.6448.0.c679b4ab		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.12.0		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.12.0-snapshot.20210309.6463.0.f7abca91		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.12.0-snapshot.20210311.6483.0.5cb857d9		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.12.0-snapshot.20210311.6490.0.8e25227c		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.12.0-snapshot.20210312.6493.0.9a7e2465		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.12.0-snapshot.20210312.6498.0.707c86aa		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.12.0-snapshot.20210316.6523.0.b382fc45		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.12.0-snapshot.20210317.6528.0.493e2154		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.12.0-snapshot.20210323.6567.0.90c5ce70		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.12.0-snapshot.20210330.6619.0.007b8674		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.12.0-snapshot.20210330.6622.0.eef158d6		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.12.0-snapshot.20210331.6626.0.29a68134		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.12.0-snapshot.20210331.6634.0.b98a3881		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.12.0-snapshot.20210331.6640.0.4b807899		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.12.0-snapshot.20210406.6646.0.631db446		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.13.0		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.13.0-snapshot.20210413.6706.0.2dc09ba2		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.13.0-snapshot.20210419.6730.0.8c3a8c04		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.13.0-snapshot.20210426.6770.0.ca66061b		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.13.0-snapshot.20210503.6809.0.ca012c3b		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.13.0-snapshot.20210504.6833.0.9ae787d0		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.13.1		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.13.1-snapshot.20210512.6834.0.5f532380		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.13.1-snapshot.20210512.6834.1.5f532380		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.14.0		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.14.0-snapshot.20210511.6892.0.ca9e89b3		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.14.0-snapshot.20210518.6953.0.a6c7b86a		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.14.0-snapshot.20210526.7024.0.aedb9a82		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.14.0-snapshot.20210601.7081.0.7d716e6d		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.14.0-snapshot.20210602.7086.0.f36f556b		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.14.0-snapshot.20210608.7123.0.3cb8d5c2		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.14.0-snapshot.20210615.7124.0.d1b54ff0		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.14.0-snapshot.20210615.7169.0.adeba206		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.14.1		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.14.1-snapshot.20210706.7133.0.8ec16e94		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.14.2		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.14.2-snapshot.20210708.7135.0.aa297840		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.15.0		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.15.0-snapshot.20210615.7169.0.adeba206		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.15.0-snapshot.20210623.7217.0.5b73813d		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.15.0-snapshot.20210630.7261.0.84e1f3a7		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.15.0-snapshot.20210705.7286.0.62aabcc4		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.16.0		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.16.0-snapshot.20210713.7343.0.1f35db17		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.16.0-snapshot.20210720.7404.0.b7cf42d1		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.16.0-snapshot.20210727.7476.0.b5e9d861		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.16.0-snapshot.20210802.7499.0.5157ad6d		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.16.0-snapshot.20210805.7501.0.48050ad7		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.17.0		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.17.0-snapshot.20210811.7565.0.f1a55aa4		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.17.0-snapshot.20210817.7604.0.0c187853		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.17.0-snapshot.20210824.7647.0.640fb683		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.17.0-snapshot.20210831.7702.0.f058c2f1		9983b911dc1678f1b9499b40b3a0135c24028a92
com.daml	ports_2.12	1.17.0-snapshot.20210907.7759.0.35a853fd		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.17.0-snapshot.20210910.7786.0.976ca400		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.17.0-snapshot.20210915.7841.0.b4328b3d		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.17.0-snapshot.20210922.7849.0.49a75801		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.17.1		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.17.1-snapshot.20211006.7852.0.fbc4bc00		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.17.1-snapshot.20211006.7853.0.e05be365		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.17.2-snapshot.20211124.7857.0.b33b94b8		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.18.0		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.18.0-snapshot.20210921.7889.0.1b473c2b		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.18.0-snapshot.20210921.7889.1.1b473c2b		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.18.0-snapshot.20210922.7908.0.ced4a272		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.18.0-snapshot.20210928.7948.0.b4d00317		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.18.0-snapshot.20211006.8003.0.cfcdc13c		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.18.0-snapshot.20211013.8071.0.514e8b50		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.18.0-snapshot.20211019.8113.0.8ff347d8		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.18.0-snapshot.20211026.8179.0.e474b2d1		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.18.0-snapshot.20211102.8257.0.7391a3cd		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.18.0-snapshot.20211109.8328.0.92181161		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.18.0-snapshot.20211110.8337.0.c5a1f0bb		51f74660bff582048624f1ba5601a89d60844f20
com.daml	ports_2.12	1.18.0-snapshot.20211111.8349.0.d938a44c		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.18.0-snapshot.20211117.8399.0.a05a40ae		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.18.0-snapshot.20211124.8419.0.39d9afcd		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.18.0-snapshot.20211206.8423.0.2c945fcb		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.18.1		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.18.1-snapshot.20220106.8429.0.ea344666		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.18.1-snapshot.20220110.8433.0.e8e25a11		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.18.1-snapshot.20220113.8434.0.1724373f		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.18.1-snapshot.20220113.8434.1.1724373f		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.18.2		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.18.2-snapshot.20220310.8437.1.5221a5d1		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.18.2-snapshot.20220324.8440.0.5cfb1a21		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.18.3		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.18.3-snapshot.20220620.8442.0.c7424302		3d70d8ed690d834a85fd97d94200f933969bb17e
com.daml	ports_2.12	1.2.0		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.2.0-snapshot.20200513.4172.0.021f4af3		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.2.0-snapshot.20200520.4224.0.2af134ca		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.2.0-snapshot.20200520.4228.0.595f1e27		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.2.0-snapshot.20200527.4268.0.acc5a21c		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.2.0-snapshot.20200528.4309.0.f619dea3		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.2.0-snapshot.20200602.4310.0.1c18058f		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.3.0		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.3.0-snapshot.20200603.4345.0.1386abc0		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.3.0-snapshot.20200610.4412.0.0544323d		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.3.0-snapshot.20200610.4413.0.11b5c362		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.3.0-snapshot.20200617.4474.0.53bddb54		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.3.0-snapshot.20200617.4484.0.7e0a6848		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.3.0-snapshot.20200623.4546.0.4f68cfc4		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.3.0-snapshot.20200701.4616.0.bdbefd11		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.3.0-snapshot.20200706.4664.0.5db06051		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.3.0-snapshot.20200708.4686.0.95dfa18e		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.3.0-snapshot.20200714.4687.0.8e10c7a7		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.4.0		56db2259bab4df42ac08b7a4e428c5e325627bb9
com.daml	ports_2.12	1.4.0-snapshot.20200715.4733.0.d6e58626		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.4.0-snapshot.20200722.4796.0.28ab504b		56db2259bab4df42ac08b7a4e428c5e325627bb9
com.daml	ports_2.12	1.4.0-snapshot.20200722.4800.0.21a16eef		56db2259bab4df42ac08b7a4e428c5e325627bb9
com.daml	ports_2.12	1.4.0-snapshot.20200724.4812.0.818a52b0		56db2259bab4df42ac08b7a4e428c5e325627bb9
com.daml	ports_2.12	1.4.0-snapshot.20200729.4851.0.224ab362		56db2259bab4df42ac08b7a4e428c5e325627bb9
com.daml	ports_2.12	1.5.0		6e71007b0d25b26c82503520858d10f5ed8db23a
com.daml	ports_2.12	1.5.0-snapshot.20200804.4902.0.de2fef6b		6e71007b0d25b26c82503520858d10f5ed8db23a
com.daml	ports_2.12	1.5.0-snapshot.20200811.4959.0.bbc2fe56		6e71007b0d25b26c82503520858d10f5ed8db23a
com.daml	ports_2.12	1.5.0-snapshot.20200818.5027.0.1b33d374		6e71007b0d25b26c82503520858d10f5ed8db23a
com.daml	ports_2.12	1.5.0-snapshot.20200825.5071.0.d33e130f		6e71007b0d25b26c82503520858d10f5ed8db23a
