at.released.cassettes	cassettes-base-jvm	0.1-alpha01		2b9521548ae200d9b75d4c43da2f7e02ccdd9e56
com.braintreepayments.api	braintree	2.3.3		N/A
com.braintreepayments.api	braintree	2.3.4		N/A
com.braintreepayments.api	braintree	2.3.5		N/A
com.braintreepayments.api	braintree	2.3.6		N/A
com.braintreepayments.api	braintree	2.3.7		N/A
com.braintreepayments.api	braintree	2.3.8		N/A
com.braintreepayments.api	braintree	2.3.9		N/A
com.braintreepayments.api	braintree	2.4.0		N/A
com.braintreepayments.api	braintree	2.4.1		N/A
com.braintreepayments.api	braintree	2.4.2		N/A
com.braintreepayments.api	braintree	2.4.3		N/A
com.braintreepayments.api	braintree	2.5.0		N/A
com.braintreepayments.api	braintree	2.5.1		N/A
com.braintreepayments.api	braintree	2.5.2		N/A
com.braintreepayments.api	braintree	2.5.3		N/A
com.braintreepayments.api	braintree	2.5.4		N/A
com.braintreepayments.api	braintree	2.6.0		N/A
com.braintreepayments.api	braintree	2.6.1		N/A
com.braintreepayments.api	braintree	2.6.2		N/A
com.braintreepayments.api	braintree	2.7.0		N/A
com.braintreepayments.api	braintree	2.7.1		N/A
com.braintreepayments.api	braintree	2.7.2		N/A
com.braintreepayments.api	braintree	2.7.3		N/A
com.braintreepayments.api	braintree	2.8.0		N/A
com.braintreepayments.api	braintree	2.8.1		N/A
com.braintreepayments.api	braintree	2.9.0		N/A
com.braintreepayments.api	braintree	3.0.0		N/A
com.braintreepayments.api	braintree	3.0.1		N/A
com.braintreepayments.api	braintree	3.1.0		N/A
com.braintreepayments.api	braintree	3.10.0		N/A
com.braintreepayments.api	braintree	3.11.0		N/A
com.braintreepayments.api	braintree	3.11.1		N/A
com.braintreepayments.api	braintree	3.12.0		N/A
com.braintreepayments.api	braintree	3.17.0		N/A
com.braintreepayments.api	braintree	3.17.1		N/A
com.braintreepayments.api	braintree	3.17.2		N/A
com.braintreepayments.api	braintree	3.17.3		N/A
com.braintreepayments.api	braintree	3.17.4		N/A
com.braintreepayments.api	braintree	3.18.0		N/A
com.braintreepayments.api	braintree	3.18.1		N/A
com.braintreepayments.api	braintree	3.19.0		N/A
com.braintreepayments.api	braintree	3.2.0		N/A
com.braintreepayments.api	braintree	3.20.0		N/A
com.braintreepayments.api	braintree	3.20.1		N/A
com.braintreepayments.api	braintree	3.21.0		N/A
com.braintreepayments.api	braintree	3.21.1		N/A
com.braintreepayments.api	braintree	3.3.0		N/A
com.braintreepayments.api	braintree	3.4.0		N/A
com.braintreepayments.api	braintree	3.4.1		N/A
com.braintreepayments.api	braintree	3.4.2		N/A
com.braintreepayments.api	braintree	3.5.0		N/A
com.braintreepayments.api	braintree	3.6.0		N/A
com.braintreepayments.api	braintree	3.7.0		N/A
com.braintreepayments.api	braintree	3.7.1		N/A
com.braintreepayments.api	braintree	3.7.2		N/A
com.braintreepayments.api	braintree	3.8.0		N/A
com.braintreepayments.api	braintree	3.9.0		N/A
com.capacitorjs	action-sheet	1.0.2		N/A
com.capacitorjs	action-sheet	1.0.3		N/A
com.capacitorjs	action-sheet	1.0.4		N/A
com.capacitorjs	action-sheet	1.0.5		N/A
com.capacitorjs	action-sheet	1.0.6		N/A
com.capacitorjs	action-sheet	1.0.7		N/A
com.capacitorjs	action-sheet	1.0.8		N/A
com.capacitorjs	action-sheet	4.0.0-BETA2		N/A
com.capacitorjs	action-sheet	4.0.1		N/A
com.capacitorjs	action-sheet	4.0.1-beta1		N/A
com.capacitorjs	action-sheet	4.1.0		N/A
com.capacitorjs	action-sheet	5.0.0		N/A
com.capacitorjs	action-sheet	5.0.1		N/A
com.capacitorjs	action-sheet	5.0.2		N/A
com.capacitorjs	action-sheet	5.0.6		N/A
com.capacitorjs	action-sheet	5.0.7		N/A
com.capacitorjs	action-sheet	6.0.0		N/A
com.capacitorjs	action-sheet	6.0.1		N/A
com.capacitorjs	action-sheet	6.0.2		N/A
com.capacitorjs	action-sheet	6.0.3		N/A
com.capacitorjs	action-sheet	7.0.0		N/A
com.eurodyn.qlack2.util	qlack2-util-sso	2.2.4		b1c446d53895d50914d138f7c9c4d78ac0fd7296
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.1		0f8ca3227f95ec5e1e3aea313d8cbc0afbc2973a
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.10		c57a3bdfd897ab7025621997d531fdffc707a7de
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.11		41a7cc629d8986ef3086968ba5d741add0ebc35b
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.12		a1094de52e407d5efb74edb3e7501410ed0f6348
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.13		9a03c1fbe21b8a48578fb29bfb880ad4e4f27520
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.14		8173202356559af0dab7a8a406fd7f838d57dd99
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.15		41281da227a587fed4916cb3a4f9bde47f2bcd5c
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.16		c202c6e78d279932af5bab2018a680e3b8ef6a40
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.17		b8e188c273a1b167a7565704db669a17d806f459
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.18		f66753cdd1194f3e09a6549aef41903d6970f986
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.19		7328e013484fad98edb7bc158e9d491cc8712a7d
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.2		a3d5f2793993557819d78151d49234efe8bf88bc
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.3		5920f5dda211c1a1acb5e1ab66c354b7556eea5f
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.4		37e80a3e0256ec8813b4e7c56acc11f1fc602b5d
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.5		54daeea5778736d60bc3fbea7ce7ccb07feb8012
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.6		ec795533543f6b33616bff3a36fa36b75659ecf2
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.7		b583a431dd46e6fe0e546f9d5ed54ef6f90d4b68
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.8		abfdbc399869f4796db9485e6230532e13ea9305
com.eurodyn.qlack2.util	qlack2-util-sso	2.3.9		b97c7f881776b071ab55ca8c806565f853606559
com.foursquare	rogue-core_2.10	2.0.0		cecb3aeabfca42b098dcc956bb60116354291498
com.foursquare	rogue-core_2.10	2.0.0-RC1		53329cd0265d2018a805bc0fb5f31fa36c0c3023
com.foursquare	rogue-core_2.10	2.0.0-RC2		b914d3fa5fd585385c5610d899122cfaa95a741b
com.foursquare	rogue-core_2.10	2.0.0-RC3		79a1e09502ee964999a09af0eb0ce484271539e8
com.foursquare	rogue-core_2.10	2.0.0-RC4		1fe6c69d1005f15473c41f36fc41cd505e052380
com.foursquare	rogue-core_2.10	2.0.0-beta22		af98beab674cb1ac8847e73a7fe7bf7807389d6d
com.foursquare	rogue-core_2.10	2.1.0		ac3c76b3677bfc27b098a36c4d3b0d9f223a5c06
com.foursquare	rogue-core_2.10	2.2.0		432c6b3428f1f504ed987908316486eb9a5034fa
com.foursquare	rogue-core_2.10	2.3.0		c820b9d5125a1ac500334d1dd0e65400357c9ec0
com.foursquare	rogue-core_2.10	2.4.0		fb9c0509a3a4504a71c5cab7c47c1bb48c5473c7
com.foursquare	rogue-core_2.10	2.5.0		73f16842483d97cda7e2ac0cd00f54a54703bcc2
com.foursquare	rogue-core_2.10	2.5.1		dabd6fbf98efd3b15ba15ea5941de56891c65321
com.foursquare	rogue-core_2.10	3.0.0-beta1		1bb4e28905fd7c0f2b2c675cbacbdefe36aea00a
com.foursquare	rogue-core_2.10	3.0.0-beta10		6a5ac701300ff99972c013f51beb0f5aa0f5cd5f
com.foursquare	rogue-core_2.10	3.0.0-beta11		3ffd03dfd543037c16cb0ef00a168a853d013ae2
com.foursquare	rogue-core_2.10	3.0.0-beta12		d035b8a22eebcf4188a6dad8535e51540d35a6c3
com.foursquare	rogue-core_2.10	3.0.0-beta13		ea10c785cd8d569cbe8529caba3147e7195607e9
com.foursquare	rogue-core_2.10	3.0.0-beta13.1		869853e1ac217bf7557f49ec6f62d64835ca41cb
com.foursquare	rogue-core_2.10	3.0.0-beta14		1094666dd9180a9d3b6c117e1015511c92f9b71b
com.foursquare	rogue-core_2.10	3.0.0-beta15		76b3402e56ae38a051d3a7fdd91f42a884885ad0
com.foursquare	rogue-core_2.10	3.0.0-beta2		aa75996d81140fbf08945c1f8285be6218d26fb1
com.foursquare	rogue-core_2.10	3.0.0-beta3		46144b0d0b2eabac08d99bf1f60db4ccad7b64a6
com.foursquare	rogue-core_2.10	3.0.0-beta4		3b31e8d167d4a5493da7e7201cd10fa98e6c0f25
com.foursquare	rogue-core_2.10	3.0.0-beta5		338ec6a711056dbc25a966c39e27d64bf343babc
com.foursquare	rogue-core_2.10	3.0.0-beta5a		122d45060fe22865c1920885a0925a1828cbf3a5
com.foursquare	rogue-core_2.10	3.0.0-beta6		fda427a601e8a547c3d5de9c8042b984d2292ec4
com.foursquare	rogue-core_2.10	3.0.0-beta6a		2e32881d0aebd31c868f468f0d1fa7c8439d52fa
com.foursquare	rogue-core_2.10	3.0.0-beta7		bfe69b8dd8a1016c14aa14199d10f2fa70197867
com.foursquare	rogue-core_2.10	3.0.0-beta7a		f3e4cead6b56a09959cd6ec5238e11c0e0475c11
com.foursquare	rogue-core_2.10	3.0.0-beta8		2686981ca7d92006c8c129b2df7237ad514813f4
com.foursquare	rogue-core_2.10	3.0.0-beta9		df9a0fc7089a136a5664bf17d30e0b89e6a76e7c
com.github.aneureka	PrettyTable4J	0.0.1		37c8e5e57acb3aa499209d7d8f4add0d0c30c87e
com.github.aneureka	PrettyTable4J	0.0.2		b9894462c07e889ad17edc757b2965f57713911a
com.github.chrisprice	phonegap-build-api	0.0.1		209bb01efa25fe6bb27682e292cac2ece969048f
com.github.chrisprice	phonegap-build-api	0.0.10		f3690287c5b6038b589f83f4a0fea5eafc384307
com.github.chrisprice	phonegap-build-api	0.0.2		76118c85d88d1df20b19e56f16023a75659fef54
com.github.chrisprice	phonegap-build-api	0.0.3		fec5ac98f299db378b39fe228ae97de79a64e626
com.github.chrisprice	phonegap-build-api	0.0.4		fcb15cfaf7afebb3d160f4f164708744401b993f
com.github.chrisprice	phonegap-build-api	0.0.5		e5b09a6ec4fe95a6732d395e216a4e6a6b6c3b44
com.github.chrisprice	phonegap-build-api	0.0.6		765a496b62f2973435a8f063e96d26ff39a72b58
com.github.chrisprice	phonegap-build-api	0.0.7		d03bd86c9b6e05dd2cdcd6a3836cff2f214d37bb
com.github.chrisprice	phonegap-build-api	0.0.8		df0f178792ad7d789e4535c63b8cc65e01ca7874
com.github.chrisprice	phonegap-build-api	0.0.9		60fd01dd9c21111b946f7b431244412d873b28a2
com.github.davide-maestroni	jroutine-lib	6.0.0		2e5f9b4991638fff3c753453dde86b0289638961
com.github.jonathanmerritt.RxAssetManager	core	0.5.0		N/A
com.github.jonathanmerritt.RxAssetManager	core	0.5.2		N/A
com.github.matthiasrobbers	shortbread	1.0.0		N/A
com.github.matthiasrobbers	shortbread	1.0.1		N/A
com.github.matthiasrobbers	shortbread	1.0.2		N/A
com.github.matthiasrobbers	shortbread	1.1.0		N/A
com.github.matthiasrobbers	shortbread	1.2.0		N/A
com.github.matthiasrobbers	shortbread	1.3.0		N/A
com.github.matthiasrobbers	shortbread	1.4.0		N/A
com.github.p2m2	comunica-query-sparql_sjs1_2.13	2.10.2		d898f46786662d875acd9cf865b180f6ae274908
com.github.p2m2	comunica-query-sparql_sjs1_2.13	2.6.6		4f8784ac72bda1cf332888665b5990b4aa0d088b
com.github.p2m2	comunica-query-sparql_sjs1_2.13	2.6.6b		c065fb02a478c25192111bc3b8308c22537b1dfa
com.github.p2m2	comunica-query-sparql_sjs1_2.13	v2.10.2		113746867c8439cff12231c4fe841b41d9e561fa
com.gitlab.test-requester	tests	0.4.8		1b539f362836166e6de893412b8b1c91205041a2
com.google.apis	google-api-services-gkebackup	v1-rev20220321-1.32.1		51bd7780538fbe04a80eee333bcaa97b38a54e5b
com.google.apis	google-api-services-gkebackup	v1-rev20220406-1.32.1		760e806c3a48bc7c444ac346ce311f3d3c623ef1
com.google.apis	google-api-services-gkebackup	v1-rev20220413-1.32.1		954ef3876f22e780c1d8f21c73580ba5e2315a0b
com.google.apis	google-api-services-gkebackup	v1-rev20220504-1.32.1		772a9e00799bc17362dd364c80d667df3f6e5d6c
com.google.apis	google-api-services-gkebackup	v1-rev20220712-1.32.1		8dc3d305f47426f5f3c9dc186e106e420a4716cb
com.google.apis	google-api-services-gkebackup	v1-rev20220712-2.0.0		ab7541d1c9417f49e1272ea5058a46643fc459c0
com.google.apis	google-api-services-gkebackup	v1-rev20220811-2.0.0		213394978e18221f6fdffba1d2bbedf951b2ad9a
com.google.apis	google-api-services-gkebackup	v1-rev20220908-2.0.0		7f20a2766ee2fc1fcbf3268f381a3f024d654803
com.google.apis	google-api-services-gkebackup	v1-rev20230131-2.0.0		5effee3bfb8445740b46752c08b9cc77e0eca4a9
com.google.apis	google-api-services-gkebackup	v1-rev20230308-2.0.0		2b59bd8b02380b5e0727736a7373f4a8c5a6905d
com.google.apis	google-api-services-gkebackup	v1-rev20230503-2.0.0		090f551fe8084e1bbf4ee979b88c433c60ecd4e6
com.google.apis	google-api-services-gkebackup	v1-rev20230609-2.0.0		5928463574bab5f68a732aa91a825b6c9afd6383
com.google.apis	google-api-services-gkebackup	v1-rev20230802-2.0.0		39a2c11df3db6536ac9ebc5746552390cb328122
com.google.apis	google-api-services-gkebackup	v1-rev20230809-2.0.0		e7225586bf9c542b4ddbc3a3560df3b364540fc4
com.google.apis	google-api-services-gkebackup	v1-rev20230925-2.0.0		80a2afd361f2c5be21bd244c9401af1edd05b7b9
com.google.apis	google-api-services-gkebackup	v1-rev20231004-2.0.0		be045929da48c1eb24e74e182406ab38fdb8c0e7
com.google.apis	google-api-services-gkebackup	v1-rev20231108-2.0.0		9f6da517537d0823dd2496ca7754bc35ceef85a9
com.google.apis	google-api-services-gkebackup	v1-rev20231208-2.0.0		5cf0bdc9196cb50d71f214ec7593184b65e3cb68
com.google.apis	google-api-services-gkebackup	v1-rev20240101-2.0.0		3168d5e003bd7608f22d5d50611eca73baad909e
com.google.apis	google-api-services-gkebackup	v1-rev20240131-2.0.0		eb2c06e6fb779e1bac64c46eb57c0cfcd5c2b176
com.google.apis	google-api-services-gkebackup	v1-rev20240313-2.0.0		931e0353fbef2d3c144578be042be641fc62895d
com.google.apis	google-api-services-gkebackup	v1-rev20240320-2.0.0		2e630a834c02549ee83bfb0cc28538a83be3ebeb
com.google.apis	google-api-services-gkebackup	v1-rev20240410-2.0.0		9c9f1cafd77b764c22001e2ca142ecc5a0ec0484
com.google.apis	google-api-services-gkebackup	v1-rev20240518-2.0.0		5d3de3dcdab6ea773b84f60130a7a45c39d21763
com.google.apis	google-api-services-gkebackup	v1-rev20240626-2.0.0		50157fb903595567f89364fada66a273e590ff4b
com.google.apis	google-api-services-gkebackup	v1-rev20241002-2.0.0		20019004e23d982fce0844ab65ef67e72c482788
com.google.apis	google-api-services-gkebackup	v1-rev20241203-2.0.0		07eb477d46323e69d2253520db7d5342b43aa5b2
com.google.apis	google-api-services-gkebackup	v1-rev20250101-2.0.0		47b3ad33ac006f4e45c3b9ee4b86d6bb0f6eaf2f
com.google.apis	google-api-services-gkebackup	v1-rev20250122-2.0.0		543eb6fa93cddcd4ec1af6f95f372a95a4125229
com.google.apis	google-api-services-gkebackup	v1-rev20250205-2.0.0		20ed6c34de7db5828b62e2a0863663fdefdcf8e8
com.google.apis	google-api-services-gkebackup	v1-rev20250226-2.0.0		b1c99da5065e43e3b1c73825860dd425ae5886da
com.google.apis	google-api-services-gkebackup	v1-rev20250326-2.0.0		0628ae26d8028f45472b73a5481992b141e3b45c
com.google.apis	google-api-services-gkebackup	v1-rev20250414-2.0.0		9235733f389e5a54e1af76780e0bde218a47a293
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.0		4b718aeab1a4e17b81753e34b328488e8e1d5503
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.0.1		69c8fdb8a0889b2459f64f210549b411b0c1930a
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.0		652542a4f4b69d74723bf0bd2a05691ee05bf95d
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.10		9c573788f92fa575e1ca53cedd82c89300e78d2b
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.11		7941e3b891b85cb62a26f221446b5ca6626145aa
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.12		80c86caa2a920432b02ba55517adb91b198e040f
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.13		7dd173eea0fea5325267915cd23501c0faca36ce
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.14		0a5ee10105f72116f0982124432a84c4b110f1fa
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.15		e7e72d14078948f5c23252e5f38dd4f5ac428a5f
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.16		3f49e760ccd636785ea16c3f6649c76e8bfa044a
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.17		75fd3f47fef58b0257bb5d84155c55668999908e
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.18		a47118cdc74aa9d4b3e086a13d81c5a0ecc37f35
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.19		3cb7c8df3ff84edbad7c81346269abda5aaef30c
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.20		0ca7613470d0c79111898b1a09764bc59577aae3
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.21		6ab5194ff3f392147931eabbafb1ee313b5d8db4
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.22		cd90a7a7908d1c1a8b65e03bc2af76ac3756750c
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.23		9c22cbb2276d1caca3624a24076c616479c16162
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.24		ab4bdd0818e0e3addf3bb11a88d9c680699d1059
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.25		4da5bdd8555574774a46df9daa90b23be0b3b8cd
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.26		3bd7a866cac5c9ced2d898be9312109cc5a6f483
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.27		6ae7c5e7fbde0c4e3a588232770487116017f377
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.28		826709fbfc86bd4b6d9e9f19cd32eb325eedd159
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.29		25bf036776805703eb78bd28cba4239636a56b7f
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.30		6a51eca8132e37e4dff37f5085676700330044e3
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.31		d3f9b8b90cc58bb56d82963b59882d9a7eab785c
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.32		b3aa57fafdd16ba3b609a4310aac2834354922c9
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.33		e0070f3373631699c3502198c9cf489a6c531011
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.34		44c88da0bf4074225a9b832eab35db84f31cd9a4
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.35		1b56f1e1f07e6caade1c01d35a735f48277fe53a
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.36		bc3917b6ce979dc7073c0a52328615fe3042538d
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.37		dbe6277d2b0441086d08b443283decfc196c9632
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.38		5a9a6ce80a4557d5b54bc6ddbcf59f22ddbe40ff
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.39		45ea73a0c2bf0ab2bbe7d1b0da99afd7750b8c3f
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.40		484d1a860b4be5e3f6b31eec239a992e1434947a
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.41		dc653cfcf89e5525cf16627253a90a667df759c1
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.42		d0bf881e604ea29e44d66a3c6810dd90753638a9
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.43		dcd564a552917289f5f3d891642bac2198967c65
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.44		3b8ca5f9ca974bb6c7d2ff12fc5c752dad48bbc0
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.45		73c5be0ca56eb3f9b0d5c1d9162036513c9d2ca7
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.transaction	1.1.46		cdc5fd92352aab0ef09a8853dfffb7f5a5fbc96f
