com.lihaoyi	ammonite_2.12.1	1.1.0-3-73d5734		f2a7fd34add4ee4eb6334ee15bfad440c825d297
com.lihaoyi	ammonite_2.12.1	1.1.0-35-c79c32c		34e66fa20de6bd9cf0c3789ef34d0e1d199875ef
com.lihaoyi	ammonite_2.12.1	1.1.0-4-973d84b		211700f260588664f6806754435b30046750f585
com.lihaoyi	ammonite_2.12.1	1.1.0-48-e58183c		7e94ab0068e42e549469ee49d3339259de680486
com.lihaoyi	ammonite_2.12.1	1.1.0-5-7191c70		502514ba890e608d494fce4c6cbf5e7f35e41698
com.lihaoyi	ammonite_2.12.1	1.1.0-6-c2b03b5		21e0eae28f5a2166ec2caffc038d5ec63a4ffc99
com.lihaoyi	ammonite_2.12.1	1.1.0-7-33b728c		aa199f6f1a8e90b1ddf57b241ac7f13fd5dcb27c
com.lihaoyi	ammonite_2.12.1	1.1.1		0b6a6bcdc2d4f91c6c3c4b4adf77f51b3a165dc5
com.lihaoyi	ammonite_2.12.1	1.1.1-1-5a9939d		0811f9781dfc246052cdfca092f9f1c85ace64d1
com.lihaoyi	ammonite_2.12.1	1.1.1-2-62d9047		7fb0787372b6ab38af831e803518a7eeeb7a31a6
com.lihaoyi	ammonite_2.12.1	1.1.2		b7264f89a09ffa49c823fb8183b91abe89ecaf5b
com.lihaoyi	ammonite_2.12.1	1.1.2-1-2572d9c		73f661f897cb327c324fd2fb3487a72f1c27b059
com.lihaoyi	ammonite_2.12.1	1.1.2-11-82361da		74d6e06bc0789f4a5c5c22eea5838fe17bd9c374
com.lihaoyi	ammonite_2.12.1	1.1.2-16-e08bd48		3b7b3731e94d49591f26dc2f087575e3b533d29d
com.lihaoyi	ammonite_2.12.1	1.1.2-17-7d454d7		7d8ed6be4c5e7085fb082b3580f5f93399b9b02a
com.lihaoyi	ammonite_2.12.1	1.1.2-21-df41270		50f41c109f3641fa2adba9439e919f1bfbdeabf3
com.lihaoyi	ammonite_2.12.1	1.1.2-25-5ef5ee1		0296150ac13d7702e153392649bb3fdbc1160f95
com.lihaoyi	ammonite_2.12.1	1.1.2-27-c4ab498		f71f1853af1aeb42b5af1f3dd3e8db502015437e
com.lihaoyi	ammonite_2.12.1	1.1.2-28-e8b4996		011f074ea8e20f604a6faf3ab53f0bc750735fc9
com.lihaoyi	ammonite_2.12.1	1.1.2-29-2e6570e		0463f2acc7db7770f5dead6f0cecfdde6ab959fc
com.lihaoyi	ammonite_2.12.1	1.1.2-30-53edc31		4f1834590c558215849d8179fac2c496f3946883
com.lihaoyi	ammonite_2.12.1	1.1.2-37-53fcfcd		5dbedf483e051383cc95205d1f331d3b41686605
com.lihaoyi	ammonite_2.12.1	1.1.2-39-903d7d2		8e7b1d7fec9c7f02ba107803ecfa7c07a280823e
com.lihaoyi	ammonite_2.12.1	1.1.2-4-d5e5531		f4a82e75dcaf5dbf7e64247c86103d9329d70d66
