be.atbash.ee.security.octopus.opinionated	jsf	0.6		N/A
com.google.cloud	google-cloud-service-usage-spring-starter	4.10.3-preview		52ae600a5ce6fc753c4777a37da96836c62b4f7d
com.google.cloud	google-cloud-service-usage-spring-starter	4.10.4-preview		d5fbac8e7a4576e4783d261f305e53e9202ad071
com.google.cloud	google-cloud-service-usage-spring-starter	4.10.5-preview		b0e9b126e4c5223bb3b4c0e805189463ce92c901
com.google.cloud	google-cloud-service-usage-spring-starter	4.10.6-preview		6b06c5804174c4d99366d5244c5ba853659d1c9f
com.google.cloud	google-cloud-service-usage-spring-starter	4.10.7-preview		cb592046ecad9dbe679b2c1364e3c2b2d90ff2ee
com.google.cloud	google-cloud-service-usage-spring-starter	4.10.8-preview		fac26ef1e95f8ed1da64adbe1e1028eefeda40a0
com.google.cloud	google-cloud-service-usage-spring-starter	4.10.9-preview		320988d01ed08ac9d10c9d758db5f8bdc3c18bd8
com.google.cloud	google-cloud-service-usage-spring-starter	4.11.0-preview		954a00a12ffaf54e8a29ed63ebd0f57ebda6dcbd
com.google.cloud	google-cloud-service-usage-spring-starter	4.2.0-preview		f390463ae73b9fb5363b05c4497a1f2bb295a7cb
com.google.cloud	google-cloud-service-usage-spring-starter	4.3.0-preview		52fbed7c5aebf0b89d6675a7463a7a566945ff1e
com.google.cloud	google-cloud-service-usage-spring-starter	4.3.1-preview		ddb585d475727c2242dea1b79e3f538316561c4a
com.google.cloud	google-cloud-service-usage-spring-starter	4.4.0-preview		4cf1a5c7403c164953d56244eb648e9af078a15e
com.google.cloud	google-cloud-service-usage-spring-starter	4.5.0-preview		19da0411bc92313c6135684445d174868dbabf45
com.google.cloud	google-cloud-service-usage-spring-starter	4.5.1-preview		70e6256808f5c671d634f2f4a0f1fad30af523d0
com.google.cloud	google-cloud-service-usage-spring-starter	4.6.0-preview		d80b589bac55a16d4c7688dd571b5bdbee7c58c7
com.google.cloud	google-cloud-service-usage-spring-starter	4.7.0-preview		7db743c346b2f0637d77cd9c708b35b753a2bbb5
com.google.cloud	google-cloud-service-usage-spring-starter	4.7.1-preview		8be8a54a9dd0a1bc8670666118e87d2604bb9e3a
com.google.cloud	google-cloud-service-usage-spring-starter	4.7.2-preview		bb32c944103fbec1ffac09b0fae48ce06df197ce
com.google.cloud	google-cloud-service-usage-spring-starter	4.8.0-preview		da4c8ef98f3813428d50432e92e039344db90b73
com.google.cloud	google-cloud-service-usage-spring-starter	4.8.1-preview		f782ad20dde46bbd54962498bdb6f38a51eaa6c5
com.google.cloud	google-cloud-service-usage-spring-starter	4.8.2-preview		88f258f358c6af08b08f3ce810c367426c6f4ac7
com.google.cloud	google-cloud-service-usage-spring-starter	4.8.3-preview		661a1c965e65205d46aead7c03155fec90ea6983
com.google.cloud	google-cloud-service-usage-spring-starter	4.8.4-preview		11d1b94d9666495086b78736e3e9870be5c0f005
com.google.cloud	google-cloud-service-usage-spring-starter	4.9.0-preview		934e902e05ecffd1b8cfccef4ec9976816c40f66
com.google.cloud	google-cloud-service-usage-spring-starter	4.9.1-preview		bc06254ea0aa628e148c3918baed2d6d2cf99281
com.google.cloud	google-cloud-service-usage-spring-starter	4.9.2-preview		5bcebbd15b77880b3ec3c505e0464add34d1534a
com.google.cloud	google-cloud-service-usage-spring-starter	4.9.3-preview		c2eec75f4c58fd087404931a593ab12ebb026efa
com.google.cloud	google-cloud-service-usage-spring-starter	4.9.4-preview		7ea7942de85872fc12851f2076cad64ab7c71640
com.google.cloud	google-cloud-service-usage-spring-starter	5.0.0-preview		e6226e2581914f0f15c466a83d914b6adf818eff
com.google.cloud	google-cloud-service-usage-spring-starter	5.0.2-preview		b647a51a042ad6a41bd607f0d01f3f310f4cda39
com.google.cloud	google-cloud-service-usage-spring-starter	5.0.3-preview		1b1e5116c2ed1425861df9d436e7f88ed9ab88e4
com.google.cloud	google-cloud-service-usage-spring-starter	5.0.4-preview		07ffc92aaf89f6ecc543454692cc30e6b7666ffe
com.google.cloud	google-cloud-service-usage-spring-starter	5.1.0-preview		b92adfa3b8927a5bf0689c40e6cda45611ab1fef
com.google.cloud	google-cloud-service-usage-spring-starter	5.1.2-preview		1fa8ee20efe13348ea79e117269ae441aad94dbb
com.google.cloud	google-cloud-service-usage-spring-starter	5.10.0-preview		bf6833393109ffbb8a0d836c20a89a726d52e87a
com.google.cloud	google-cloud-service-usage-spring-starter	5.11.0-preview		297c1c1b474cc5d5122e6a7ebe0e9235cac87d85
com.google.cloud	google-cloud-service-usage-spring-starter	5.11.1-preview		5d6f47de883e84fd16d55ed24513b2e374521b4b
com.google.cloud	google-cloud-service-usage-spring-starter	5.11.2-preview		4710670bba4febca858672e405054662a80f456f
com.google.cloud	google-cloud-service-usage-spring-starter	5.11.3-preview		82d0735894de2026f6c78c44f8a1f5770e2c6493
com.google.cloud	google-cloud-service-usage-spring-starter	5.12.0-preview		9fb84f0511240e1a369a27dfa1641bd5bc8ddb6c
com.google.cloud	google-cloud-service-usage-spring-starter	5.2.0-preview		d38cfbfe58a45a616f359398a26b84eab42ebd7c
com.google.cloud	google-cloud-service-usage-spring-starter	5.2.1-preview		72396a76f4f18dfe968955776dc0121a442d088b
com.google.cloud	google-cloud-service-usage-spring-starter	5.3.0-preview		7d0906b260057738bed71117f11e870c58f57f09
com.google.cloud	google-cloud-service-usage-spring-starter	5.4.0-preview		4fe84139d9a0de58c9358d895d676ae1733f44b8
com.google.cloud	google-cloud-service-usage-spring-starter	5.4.1-preview		90a314d2d03b956f13e01c013a24b7e6a1733395
com.google.cloud	google-cloud-service-usage-spring-starter	5.4.3-preview		2c5b354121a2df3c9f0d73674197eb988c0eef36
com.google.cloud	google-cloud-service-usage-spring-starter	5.5.0-preview		14dbd4241ce85b1c532e30a980115b09367fa989
com.google.cloud	google-cloud-service-usage-spring-starter	5.5.1-preview		fc5b7cb841a85acc35c8aaa2207815a19f825e5e
