co.roverlabs	picasso	2.5.2		N/A
com.huaweicloud	spring-cloud-huawei-common	1.11.10-2024.0.x		a7717160c03afb345844369443f2658dcf4910a0
com.huaweicloud	spring-cloud-huawei-common	1.11.11-2021.0.x		b2ac1b2b08a4a804ffce100103026b5474b4d0d8
com.huaweicloud	spring-cloud-huawei-common	1.11.11-2023.0.x		998c15d17316e909c11c5864b9725be963183c13
com.huaweicloud	spring-cloud-huawei-common	1.11.11-2024.0.x		96b5191fed8abc6f6700998430d33e5ea1f20c6a
com.huaweicloud	spring-cloud-huawei-common	1.11.2-2021.0.x		50f2d46cba234dfb1282f7ebf0e24f35529ea45c
com.huaweicloud	spring-cloud-huawei-common	1.11.2-2022.0.x		2ffd653c67f65435cdd012a57eeeb4172d0527ae
com.huaweicloud	spring-cloud-huawei-common	1.11.3-2021.0.x		225449d8045a3cb46e5caf36ef49766c10cfe20f
com.huaweicloud	spring-cloud-huawei-common	1.11.3-2022.0.x		79383e2ab54c5517d91e27fc27f93c03516a0de5
com.huaweicloud	spring-cloud-huawei-common	1.11.4-2021.0.x		a11956653c74da736be568624b0a918d4a3a19b4
com.huaweicloud	spring-cloud-huawei-common	1.11.4-2022.0.x		1374b59828fcd5d870473005c2040be071e10571
com.huaweicloud	spring-cloud-huawei-common	1.11.5-2021.0.x		7cd680082523953c39564c720724fc5512f84ae6
com.huaweicloud	spring-cloud-huawei-common	1.11.5-2022.0.x		62b9b9d34f217dc75d4e25d7c61d67ef73dc85d2
com.huaweicloud	spring-cloud-huawei-common	1.11.6-2021.0.x		2ec39748887e47703bc5f691d363098963c32359
com.huaweicloud	spring-cloud-huawei-common	1.11.6-2022.0.x		8d2545df51c963e8f489665ec6301e93caafd074
com.huaweicloud	spring-cloud-huawei-common	1.11.6-2023.0.x		d07de7e7f1350eea7764850d1eb13605d62db571
com.huaweicloud	spring-cloud-huawei-common	1.11.7-2021.0.x		c722d026920b3561aeb06ae2d905bc410a2435a7
com.huaweicloud	spring-cloud-huawei-common	1.11.7-2022.0.x		224aecf1243de5330bc732ad421838378cb62d63
com.huaweicloud	spring-cloud-huawei-common	1.11.7-2023.0.x		6a58e8f158a7dcec46349df2a71ade07a85a8f00
com.huaweicloud	spring-cloud-huawei-common	1.11.8-2021.0.x		44c4f012044465157e8ed286fd4665dac4ae503f
com.huaweicloud	spring-cloud-huawei-common	1.11.8-2022.0.x		371af202ed465705cb830cdf9aef3e8639895f85
com.huaweicloud	spring-cloud-huawei-common	1.11.8-2023.0.x		4928a5499d5c7f3775859f258da2d1134bf8bdc5
com.huaweicloud	spring-cloud-huawei-common	1.11.9-2021.0.x		af0f548a7e3db55bfe6082021ff93aef244595cf
com.huaweicloud	spring-cloud-huawei-common	1.11.9-2022.0.x		4d03f1a43e404ea1bdff10bb8a818e95a2194675
com.huaweicloud	spring-cloud-huawei-common	1.11.9-2023.0.x		9840ae694be68ca64e2c655f2c1ee1828eafe954
com.huaweicloud	spring-cloud-huawei-common	1.2.0		5fe7db919908221a655042875b741315e5148b07
com.huaweicloud	spring-cloud-huawei-common	1.2.0-Edgware		b267617aef45488f9263f386cda6621b4e9062a7
com.huaweicloud	spring-cloud-huawei-common	1.2.0-Finchley		6af042614fc520ced581cf483e0a5181e5de13b2
com.huaweicloud	spring-cloud-huawei-common	1.3.0		a69c32b90d83623b2e2a25e466706eadce7e7090
com.huaweicloud	spring-cloud-huawei-common	1.3.1		6179b798ec9b2ee4d924da7bb7706d89c3a97bd6
com.huaweicloud	spring-cloud-huawei-common	1.3.1-Greenwich		617dc59843a3cd185bedb21c769797c63a136474
com.huaweicloud	spring-cloud-huawei-common	1.3.2		3565dbb4062285507dedcc09c2261c5734ef42a7
com.huaweicloud	spring-cloud-huawei-common	1.3.2-Greenwich		a576edc672c3925589b68306320e04d31e2d0684
com.huaweicloud	spring-cloud-huawei-common	1.3.3		ba3dc6e44f93d433f0014e8c0a1bb0225d8566a3
com.huaweicloud	spring-cloud-huawei-common	1.3.3-Greenwich		71c4d7f559171b40725dd6ab2401df24962399e5
com.huaweicloud	spring-cloud-huawei-common	1.3.4		b2e91c060d77f9e3ae0a445d91203f47271da4c4
com.huaweicloud	spring-cloud-huawei-common	1.3.4-Greenwich		f0fe3d51d145ecd919706dfb7d44376fcbe9fb7e
com.huaweicloud	spring-cloud-huawei-common	1.3.5		edbc93cc80d4779379efa545bf99b8b5a36d5335
com.huaweicloud	spring-cloud-huawei-common	1.3.5-Greenwich		e1c41000b72a4aa9b28e6fcb3090f49a8a8eb66d
com.huaweicloud	spring-cloud-huawei-common	1.3.6		393a4fb1d6f880c9b821e2e904690b8958054e39
com.huaweicloud	spring-cloud-huawei-common	1.3.6-Greenwich		68a52a954f0995a2f253ab7540c50af0e2f3bfd2
com.huaweicloud	spring-cloud-huawei-common	1.3.7		276b9d3829a63fffa818b15519679589136560af
com.huaweicloud	spring-cloud-huawei-common	1.3.7-Finchley		61f102d9f0ed72ea8eaacf4b8acb07e1c1fe5bf2
com.huaweicloud	spring-cloud-huawei-common	1.3.7-Greenwich		1624ae4fdd7f4803da8cad360f9c21546bbe6059
com.huaweicloud	spring-cloud-huawei-common	1.3.8		b8d89c5a6725175f0ef2b4625a6a2ebe0b5e690c
com.huaweicloud	spring-cloud-huawei-common	1.3.8-Greenwich		fbfeec5fdf28691a25e5dee3a22572818182192b
com.huaweicloud	spring-cloud-huawei-common	1.3.9		39a743a7b72a33d9d146f271a4740a4c28d42aeb
com.huaweicloud	spring-cloud-huawei-common	1.3.9-Greenwich		5ca34066e382277b00bfc35cfe70fba032e1c071
com.huaweicloud	spring-cloud-huawei-common	1.5.0-Greenwich		71f1e52f1401a32368a20e5bd0bdaaa9754d2d0a
com.huaweicloud	spring-cloud-huawei-common	1.5.0-Hoxton		97baaf6349005487a3ffafe642709fd82662c245
com.huaweicloud	spring-cloud-huawei-common	1.5.1-Finchley		2c7d0d2c322974909d95d4cb3c886a930c40a8f8
com.huaweicloud	spring-cloud-huawei-common	1.5.1-Greenwich		cc34e450ccdc0005c0141c7e552f2f79decacf91
com.huaweicloud	spring-cloud-huawei-common	1.5.1-Hoxton		4d4c614518d2e68e650d3c403ca92cffc6e0b534
com.huaweicloud	spring-cloud-huawei-common	1.5.2-Finchley		ea334d904429bbdef11076a64ec2a7a705698232
com.huaweicloud	spring-cloud-huawei-common	1.5.2-Hoxton		34a114173be648f47103ecb7b6d2444f2a80dd7c
com.huaweicloud	spring-cloud-huawei-common	1.5.3-Hoxton		065c8c11d22bdde6f4a3adcaa6ff70cbad41d3a3
com.huaweicloud	spring-cloud-huawei-common	1.5.5-Hoxton		c70287d064faa89c24b189590bf3168743f0aeed
com.huaweicloud	spring-cloud-huawei-common	1.5.6-Hoxton		f394ed7d56b7cc04613c74497250d1ba24e497c7
com.huaweicloud	spring-cloud-huawei-common	1.5.7-Hoxton		a1476412a1447a5c1031e115b58faeb445299ef2
com.huaweicloud	spring-cloud-huawei-common	1.5.8-Hoxton		ac1c47d0baf2fe299aa06381d835e311cba2d4e3
com.huaweicloud	spring-cloud-huawei-common	1.5.9-Hoxton		3b45844af6d8322879711b4aa6d7412ec8f92db7
com.huaweicloud	spring-cloud-huawei-common	1.6.0-Finchley		b233c27b04885edd1262a290b41ec156e2c218a3
com.huaweicloud	spring-cloud-huawei-common	1.6.0-Greenwich		dafd1ab1ec46f317363ab769ca1805ae9b86030a
com.huaweicloud	spring-cloud-huawei-common	1.6.0-Hoxton		25201ef697a5cbb442bb84d89785df47998a48ce
com.huaweicloud	spring-cloud-huawei-common	1.6.1-2020.0.x		9b99e77b901ee795f9d6b7ad6723832963ac234a
com.huaweicloud	spring-cloud-huawei-common	1.6.1-Finchley		6f07bd6d56e8941d5bee13321656216399d9b2e3
com.huaweicloud	spring-cloud-huawei-common	1.6.1-Greenwich		8d80f222c334ca399d0962f8f5c4d7132796c40c
com.huaweicloud	spring-cloud-huawei-common	1.6.1-Hoxton		72dc9849a8d6be2cf7468bb275895a82596cf699
com.huaweicloud	spring-cloud-huawei-common	1.6.2-Greenwich		96c1b636ee252cca1ae56a43768406aaf9a5264d
com.huaweicloud	spring-cloud-huawei-common	1.6.3-Greenwich		5f8bbde7e3ad9f5b7539e32a3f778e0acb5c3729
com.huaweicloud	spring-cloud-huawei-common	1.6.4-Greenwich		8fcf518dfc93ab966cdb353b41323fd6a27e1f40
com.huaweicloud	spring-cloud-huawei-common	1.7.0-2020.0.x		52414c49834951adc447d05ff3b9532934f26d8e
com.huaweicloud	spring-cloud-huawei-common	1.7.0-Hoxton		ac31ec44acf752b10b8f51491fd9c7511256dde3
com.huaweicloud	spring-cloud-huawei-common	1.7.1-2020.0.x		a949c73e090ca1e7862974d05f1b78d7c73e837e
com.huaweicloud	spring-cloud-huawei-common	1.8.0-2020.0.x		18fe6f13c2d9fcc718ff2915b7f17c46017b396d
com.huaweicloud	spring-cloud-huawei-common	1.8.0-Hoxton		f7c3a079f5ce098861eb54d5a732c6eb5800a56e
com.huaweicloud	spring-cloud-huawei-common	1.8.1-2020.0.x		f657fa676c54808c1b50ee80e8993c6469f300ac
com.huaweicloud	spring-cloud-huawei-common	1.8.1-Hoxton		d902c8770cb7ce1f4ce633eb0c55f38a9030849d
com.huaweicloud	spring-cloud-huawei-common	1.9.0-2020.0.x		b1806dc0508ca1d8530b246b73f1bcdad7f7df82
com.huaweicloud	spring-cloud-huawei-common	1.9.0-Hoxton		0e85b424d3b7652974524beea8ced5283efa0cc6
com.huaweicloud	spring-cloud-huawei-common	1.9.1-2020.0.x		9e91edb15eb65abb9ccba704375ae2df20143ac0
com.huaweicloud	spring-cloud-huawei-common	1.9.1-Hoxton		cf80fe8740920a26601acd310a696ee235cfb2bc
com.huaweicloud	spring-cloud-huawei-common	1.9.2-Hoxton		50dea4ebb31e4abf4480ed0fef1a6253f7d2e576
com.huaweicloud	spring-cloud-huawei-common	1.9.3-Hoxton		3de3b43958dc099d4fe274d5070736ea985af2f2
com.huaweicloud	spring-cloud-huawei-common	1.9.4-Hoxton		af4666415f13f3199274b0cde35bee2cda00c3b5
com.propensive	rapture-json-json4s_2.10	1.0.0		bb602fe4607ab2a5a62b58ce47433b66829ccc35
com.propensive	rapture-json-json4s_2.10	1.0.1		74dcf7e1c00c4c73c90248cf7f721398be624fc2
com.propensive	rapture-json-json4s_2.10	1.0.2		274a2a19d109cf5c52f967c50f712b4f6bc791eb
com.propensive	rapture-json-json4s_2.10	1.0.3		6f2171348f79c1286061309c4881cd1e401f4a94
com.propensive	rapture-json-json4s_2.10	1.0.4		c5731def26f253963e7ee945791d79e0a8173e2a
com.propensive	rapture-json-json4s_2.10	1.0.5		4ce9d4c511df5915fbcfe0f8fb4251834f1c627d
com.propensive	rapture-json-json4s_2.10	1.0.6		2c0a632688f41236a949e08d30920b84b9cb7277
com.propensive	rapture-json-json4s_2.10	1.0.7		8c23a68b3d1ed36ba34245a4e0e524e643aa2e15
com.propensive	rapture-json-json4s_2.10	1.0.8		c17b372af42d93cf3dd2a89cdee7b21216670528
com.propensive	rapture-json-json4s_2.10	1.1.0		2138893ff066d5e3a0366c855501c00041608d4c
com.propensive	rapture-json-json4s_2.10	2.0.0-M1		767f4292ba860d5474d4cec23db44964daca2909
com.propensive	rapture-json-json4s_2.10	2.0.0-M2		4144363bcf309b5125fff1b29a99e426648f4b46
com.propensive	rapture-json-json4s_2.10	2.0.0-M3		530268390f9af30d902f09cce3490776f9d842ef
com.propensive	rapture-json-json4s_2.10	2.0.0-M5		95ecdeb8b3a2e1fb83f9429f22235a68060e60d9
com.propensive	rapture-json-json4s_2.10	2.0.0-M6		eb773a61009e09c5851ecd7417fe7015a8c34980
com.propensive	rapture-json-json4s_2.10	2.0.0-M7		b232bbc31541dd85d226c43d3ef103091c1bcdc7
com.propensive	rapture-json-json4s_2.10	2.0.0-M8		a6153ada2e03df2fe5bf600b995f987bb8c4d1d5
com.propensive	rapture-json-json4s_2.10	2.0.0-M9		3e2535462f47a7edf48435b817b8ffa859675f40
com.soywiz	korlibs-io-stream-iosx64	6.0.0		N/A
com.soywiz	korlibs-io-stream-iosx64	6.0.0	metadata	362eed4aaf80a614d8be69997c4465b3f0f18af2
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha2		N/A
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha2	metadata	d41ebd89bedde021d1d18dd95e1f7f44135381d7
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha3		N/A
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha3	metadata	b2cfdb05fe1adfa30e1871a5f52c722edae4ba16
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha4		N/A
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha4	metadata	5bad7a9f7ebdd7193103a173ac8b7b875e1f1cd8
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha5		N/A
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha5	metadata	a328695dcdd7aee0534ffd5baf20dd630ce7373f
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha6		N/A
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha6	metadata	d378bd762479ea3ffe255e152ab7b45b2b692628
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha7		N/A
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha7	metadata	f9945282bade817753a3c6df5ff1f93c8320f0e1
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha8		N/A
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha8	metadata	b6604659db44d53a2654f4a68281e6a582265e33
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha9		N/A
com.soywiz	korlibs-io-stream-iosx64	6.0.0-alpha9	metadata	314dd378c4a88954ce3a04968deec1b299ab3c15
com.velocidi	apso-collections_2.13	0.15.0		542fef244ac003ca556e8d54f146e496c4874316
com.velocidi	apso-collections_2.13	0.15.1		2029937b726e3bfa185a530718ef5587199e949b
com.velocidi	apso-collections_2.13	0.15.2		f67b9818a4856050233c1e5e8f59d36eea449f5f
com.velocidi	apso-collections_2.13	0.15.3		7c275afa98441ea2df4e1a2af225f21bd0f858f3
com.velocidi	apso-collections_2.13	0.16.0		94d9617f503524061e1e5e7211259d9e0b1fee3f
com.velocidi	apso-collections_2.13	0.16.1		d0f6552b7354f29312bc67dfe11359e0160335b0
com.velocidi	apso-collections_2.13	0.16.10		148c4aa20c731f1798db0bb2a7f339f043affe82
com.velocidi	apso-collections_2.13	0.16.11		ea87e912b7fe82e8857b63eb421f2576a894b191
com.velocidi	apso-collections_2.13	0.16.2		b82e0773db60166b0c217e6de1295de3a49bbdc2
com.velocidi	apso-collections_2.13	0.16.3		a58cbfc150ecbde42eb07b0efccf4fec9471bd2a
com.velocidi	apso-collections_2.13	0.16.4		43f662ec5e9573a27e27b2d1b80157228bf44868
com.velocidi	apso-collections_2.13	0.16.5		7d6f1a30f00c529f1397ab1e49b4b2c25b1df7fa
com.velocidi	apso-collections_2.13	0.16.6		18c14e04bacd9ef3d02d25adefd01d7169bea868
com.velocidi	apso-collections_2.13	0.16.7		af47292c3c6236515589bc7e15a19d58f910ce98
