be.vlaanderen.informatievlaanderen.ldes.ldi.nifi	rdf4j-repository-sink-processor	2.12.0		N/A
com.authologic.client	authologic-client-core	0.2.19		f523fe47a1c3869fecded4e8c3fc64f645b7345c
com.authologic.client	authologic-client-core	0.2.2		23ff54b94345fea0ae70fcd625869fad53e6fff0
com.authologic.client	authologic-client-core	0.2.21		431eedb1d9be80db1d87a7e62b3db4477f09c65e
com.authologic.client	authologic-client-core	0.2.3		1bfbfa6201a1ca0f4bb15aa6357f92dfd5345b8f
com.authologic.client	authologic-client-core	0.2.4		45660c348a89f6f61a5c8affd99fd18da095436e
com.authologic.client	authologic-client-core	0.2.7		503bee12e47a2364106ddcfa24be16336b97974b
com.authologic.client	authologic-client-core	0.2.9		3574918aeaf2e3750e05b9da10a3844ec725e367
com.dragontreesoftware	jdog-grpc-interface	1.0.4		aecda00e9546c27bcf7718f7c48d9ce8de1bec9b
com.dragontreesoftware	jdog-grpc-interface	1.0.5		9e04d9cb1be15794a2902a9382f0afcd9325d903
com.dragontreesoftware	jdog-grpc-interface	1.0.6		7ff9e05c0cb46208320565d695938c213a5c3b40
com.dragontreesoftware	jdog-grpc-interface	1.0.7		c6820fbff60f7c538a92165dec4c77672a2136fb
com.dragontreesoftware	jdog-grpc-interface	1.0.8		e973ff187c666722e8f6b113511cf9e912d56f2a
com.github.dynckathline	ReActiveAndroid	1.0		N/A
com.github.hetianyi	cache-helper	1.0.0		61f49913a812d2ed3e5bc0a582e03580b4b8ea3b
com.github.houbb	value-extraction-api	0.1.0		bea2603195b012d64b9183e258ebe57ee491a3bb
com.github.houbb	value-extraction-api	0.2.0		c32c378cbd11201ecd74029c6813e8d3913cf84d
com.github.houbb	value-extraction-api	0.3.0		aab9c7a96c41d57ba17974e2a2b640c5b8559ff3
com.github.houbb	value-extraction-api	0.4.0		ed3543e1727f0cd3ae99e879796ac45480e50a14
com.github.houbb	value-extraction-api	0.5.0		d226c36bf26c9050c29205145a6d2b11dec7bf0a
com.github.houbb	value-extraction-api	0.6.0		f03812afde62f531a4369fae81e17be227d78192
com.github.houbb	value-extraction-api	0.7.0		e82e9948d7e0c1ded7689d8dd687838447ce112f
com.github.houbb	value-extraction-api	0.8.0		fd9e85ad7adca2a7727a0c8d8622b435187c9215
com.github.houbb	value-extraction-api	0.9.0		a463f23fbca4bcba1cad9f33a6ecfff33b01b21d
com.github.j5ik2o	reactive-aws-cloudwatchlogs-test_2.12	1.1.0		48c4b4429ee3dc695f9acf666c81a313426f5e8c
com.github.j5ik2o	reactive-aws-cloudwatchlogs-test_2.12	1.1.1		d3afc863a5323aecbc8aa6fb6cd3003538bfaccf
com.github.j5ik2o	reactive-aws-cloudwatchlogs-test_2.12	1.1.3		f286f5565749d25762b4c1e8842379317451277d
com.github.j5ik2o	reactive-aws-cloudwatchlogs-test_2.12	1.1.4		3ac620c49f3c8321fc96098af46a17613828db22
com.github.j5ik2o	reactive-aws-cloudwatchlogs-test_2.12	1.1.5		1171e43022ae54f4ce20dee7414b82b3fb3e9ca5
com.github.j5ik2o	reactive-aws-cloudwatchlogs-test_2.12	1.1.6		73476b0d5284a1b16c6adde806ad1cd67fe966d8
com.github.j5ik2o	reactive-aws-cloudwatchlogs-test_2.12	1.1.7		1c648749a8aa2cb4588265da1c18ea93ade1f1d9
com.github.j5ik2o	reactive-aws-cloudwatchlogs-test_2.12	1.1.8		75aedfae58340a7289ed636dd5151f0ca69798b4
com.github.j5ik2o	reactive-aws-cloudwatchlogs-test_2.12	1.2.0		899059b4337a9e311102ac77566b4b2aa5b4f67d
com.github.j5ik2o	reactive-aws-cloudwatchlogs-test_2.12	1.2.1		37d8fe19e47322cc5e796444525ac54545a52608
com.github.j5ik2o	reactive-aws-cloudwatchlogs-test_2.12	1.2.3		e904d56bd45e2f1213b023e3053ddfa5e5aee840
com.github.j5ik2o	reactive-aws-cloudwatchlogs-test_2.12	1.2.6		888df7ee53b5bf8085a6c078dc69c6ef7196bfce
com.github.nomou.pangolin	pangolin-client-servlet	0.0.1-BETA		4d71115766e59aecb29e8be912ce9d7cb82e4779
com.github.scalaprops	scalaprops_2.13.0-M3	0.5.3		fafb4738484de25676d7dac28567e1233cb4cdcc
com.github.scalaprops	scalaprops_2.13.0-M3	0.5.4		842f990ddd95e136ce001e04e35994e6ede874b0
com.github.scalaprops	scalaprops_2.13.0-M3	0.5.5		0cf62a475d043ee156f4ddad09492655f9ae927c
com.github.tomtzook	jsdl2-jni	0.1.0		N/A
com.github.tomtzook	jsdl2-jni	0.1.0	linux-aarch64	418a5f4eade2c1731badaff527bbbf04c27fa931
com.github.tomtzook	jsdl2-jni	0.1.0	linux-amd64	ccdc1fde6c52105fac1ac4d6e8b7642ee2cf0d3d
com.github.tomtzook	jsdl2-jni	0.1.0	linux-gnueabihf-arm	2aff2306b8498a383df00bcba3ce321a78a6906b
com.github.tomtzook	jsdl2-jni	0.1.0	windows-x86_x64	ab4c1104612fdc49cfd767d26dcac2b371cd89ab
com.github.toolarium	toolarium-ansi	0.8.0		d7841c6511c91e6e9bb4c8ab6fb4e28ab3c56960
com.github.toolarium	toolarium-ansi	0.8.1		75526db2d96e5cd19eb65d66989bdebd55d19ae9
com.github.wenhao	http	1.0.0		f90662f16de344b0e9ff85222547479d7f13910a
com.github.wenhao	http	1.0.1		462b9219f0e190b09295d6fc26b1882bf77a813c
com.intuit.hooks	processor	0.12.0		16317924c1931137aa19aff00c979ab23c9cb955
com.intuit.hooks	processor	0.12.1		cef4989d21a68c3ccb47b7b5bd3f48b732a82c46
com.intuit.hooks	processor	0.13.0		2e86cff3622fd724acb04be438c00910c9a184f6
com.intuit.hooks	processor	0.13.1		6f8626313e4298f7bb4d7387f0695b04005522d7
com.intuit.hooks	processor	0.14.0		7cc9642a53e57cd040159d38837d29863d9cfb26
com.intuit.hooks	processor	0.14.1		64f619eeb3f861f71c826f361f759e9d3c117e06
com.intuit.hooks	processor	0.15.0		34733ad722d9ce7c76f3ce48dfcbf6c91e4b0588
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.38		b381a5b0f329121e3b8779aef18f90bcd79e8d31
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.39		5a6da29a30b8fdb58f345d522a09c45a785725bd
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.40		e4d8c55a0a1c05ffc1ed7f4135c4904660be179d
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.41		e8db3fcf75838e6a84753a76b27b3d717eb663fd
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.42		a787d5e4ba167e31c176837c765467e82732022a
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.43		8f2d986f85f6755f785edbed9350b589c18cf99a
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.44		f25fe516e7017f80b7bc96bc580bd5cd9ab77424
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.45		9112d7dcbaa178bb9380c759c5962f9d74dd9180
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.46		6d049663ba2422ca2100cfdbef9a47b7b0107970
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.47		cf9800d599eb6a8e76a69e97652896a12d51467b
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.48		28467164b332a877d07919a4c463784df4af1ee5
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.49		ec1f1da595663c61c941c2b5303629fcd48bfe1c
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.50		04ea63b20a3669246115f608cacf7b08f6e166e2
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.51		624158f022cce05160211f06dc552eecfad05a85
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.52		5f28ce800e066755729ff11d802f4bb515177169
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.53		3f2a034720791fb636d11dd310a48f9fd8d63435
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.54		bdec04287ab8fad217b1169b671c179a2343c552
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.55		08c3953b4d35f96db71d7b22c10886a5b7163e74
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.56		f748fd0dde7032131fa7faccef26c8413814dc28
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.57		2ed5720b3764c5ed0bf9d0bb96305b4486d51903
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.58		4e0b6981403bb5d625836837966407fcba3d92d2
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.59		4b036450db681a89ad18d391a43d813c5906d593
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.60		6c083fcaeffb8850ee82f9d81445f0a37cf41970
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.61		4d8eb2515f3d3e70a168e79dae796e393d82eb25
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.62		330d98895323bbb7bb1c4b88443027b1787709e3
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.63		ef9e301e1dcef51b019df9cae41c19181cb35b64
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.64		fa2997a685f9f85030ed926de54b2f76701fd1e5
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.65		11e9a86a50f5db400f004c90ed457e998a831221
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.66		8755bd5790b3823c5d8d4d883516f00d723edb44
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.67		ab68ceb803cb9b1895bcb36aff0e0642ebf4ee80
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.68		e5aba7e3c05353ae19a10ac8f1c2ef7475429cc3
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.69		5ef6c77ee4f6a92bf18ee538b0a4674bb4e4d2e2
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.70		620943359820dcacd696fb9e50aa6f07d8171260
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.71		da18cc9f4dec3a172984ce8e5614505e3b8c0484
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.72		ced4e8ae4f4b449c77feb43150fc3eed2087dc3c
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.73		03e1edb16842b6718f6050e2b85f4ddcd8cca381
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.74		42716b5b7649a0d555e1ba85305ceb63ee3b94c2
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.75		9bf9c6053823508b7a72f931a49a7d7d222f02a4
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.76		308c23ed68a8533d3cbf6c171a87d1e3dbeabbcf
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.77		11f240469e6c3370f771c2a6d43435afebdb6c08
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.78		190d9dc3f958aeb9fb297a16cc75ca35fa77a447
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.79		8ef793c6c29ec77f169720ac391ba5ccac0eae6e
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	1.0.80		b27529c8b199583c55935439f782629192bccf62
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.29		5a48b1987fe70bf17019cc17b81bf537524ba3db
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.30		e6176d52ed4f418bb535209e113a5da8992dd1a6
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.31		8a8e8aa7376b06bfcf1731f87721a85ef930b0c8
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.32		1cc5e0becf0fd3a11b96eca11289c1de7a2e0cc6
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.33		e05a905110014d275e1f16ed13ffa2acafaa95a1
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.34		0be9812f4538c60365e89ab9256af419f0c24e2a
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.35		6adb62c758889f580bbbb5aab3b5c3e0049470fe
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.36		39fcafcde64e41e7155c95e2ad82d0bc70a7efc1
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.37		7919bd250ca19762cd6ab44f40187488812f3b4d
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.38		db29e5a531a62ecb27a5c242863f92973e58011c
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.39		69cac9ae4cb1eca77085e0283e93e18dd8c123ab
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.40		cbcc27f1b163f857934a94b72c8c7b6cb2d03659
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.41		994b41bb1bdde02906d2788bea54f68df8d8e3a4
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.42		a2f648fc6896e59c1056e9cac3d59e2cfbc1a323
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.43		56b49e232c0f91adfb676c2692fd7fa8efb5b8f4
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.44		45181b10eca29c080a0847372bfb559e6a07ec11
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.45		f735c129974f443c40eecca76c4c1273a6254a25
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.46		3fc3790fedb5e87122485c50857503895e7640a8
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.47		524d3dad7443384ce374279f5c6dc328f13ca5b2
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.48		4c1a49d198d50755207aaa31a4972eab598109cd
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.49		7e25de60ccc8266ab1c068273a4f27f41aeec07b
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.50		1a5bffb1117c3a10e10e35d878c6a4d310460bb9
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.51		ef0643ec53b88698056214cdfebbf9a34dc5b22a
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.52		73f18323f62043f119cf645f704ad3e04e90eb4c
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.53		e6c87c12ca7167a6a35031ab782f285b9d0c6815
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.54		2122c458afa5a9b70db06c727323840b89e19d84
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.55		f416715a48e10c5ef46f5254c1f5ccc9c0433fd9
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.56		ff0ef9a7bb75fc635ce7130ec2d5e32d834a099f
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.57		ef78920e37d66bdfb5e18a2fefafb0561ac130a4
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.58		8f336372dfb403494395c33ee36c5bbcc5632c85
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.59		eeb177e767773820fe6788b013a833747b17985a
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.60		9abf2a2b2b41f4a02f1e0a5ef030cb46f9c298d1
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.61		b7ee681225612550a350fad7cf1d76513b3c7abd
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.62		e3687560e9c7df96d9faa4c354272e55d12025d4
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.63		c215118385fccb3ecdb149913ec1a7584d018f36
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.64		55ae219afabcf5630a066db99b0aeb9d214bae0e
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.65		55a712727560306db7f1a763e5e74b6c674cd01f
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.66		e4a7044920086377c146d44a589b222d760d99d3
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.67		5f990cd24898adaec804ffb29c4ab5c6c3669188
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.68		a71ff4df027293307ce8983d556c6bd1e637b695
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.69		ad15f5613510f907b4cefc39281095e750320144
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.70		6765727c7959f6e1bca3880ec8a2374ba39843af
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.71		f6666ef45b6903c92815a86bcbc30357f95ebe9e
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.72		4b3eb8eace2d71401501d782b24f3bed9ea1d305
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.73		05e3e094e0cf26ceccd01d95a1966e73ecd06690
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.74		070d7b89918248895531705159a532da9ca888f7
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.75		6b063abcea3614a37ba4151a524d8c4dc58f9da5
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.76		1c17fbf2869e4efc6db29a71770744645154398c
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.77		833878051f11f2dd39e4f8854ed64938ef244fb4
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.78		c60569c5286ad8cdcfdce7f670bb9eba64af6f16
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.79		95b79c1495c5b19b06e2b5d19cb86f85696b00a1
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.80		3311ca0944607dc602211798793db3d34b4909c9
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.81		85b4e571742a8bf825fdc57e8badf10dc1c895d1
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.82		22619f2faf77608744879d4014a70f59936e24f0
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.83		36867256e634d4dfaf320df846b525743d011339
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.84		52a439423ca17e06b36e6b6515271a0fdbd0d8a0
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.85		2043190473d97b8bf27a306a96fe8ad40bdaec44
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.86		6ede472351415d569824bd40669e92df745dcf69
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	2.0.87		afe42fa9f66dbc8fd6d4e78db0fe5e8c0cd38cbf
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.0		dbd275bae335a960982aac5b96c6bbeba8435657
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.1		b74a6cdad23343f395f2757ad9d3895f543aa5ad
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.10		d0b4ef49615d5904140f0f2e20395b35aad97b4b
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.100		1e68f59e66f7dfa35b93d368fa2be16c0509768d
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.101		fbd48f728081d016f2120ff499462b76f48dc7e8
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.102		5f9893983ee6a3766ade1cbe09c820f31370eee8
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.11		7af991fef4a770c8c6c89dc6715634fd18964126
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.12		27b2a22b476ef34ee5f1be44ee00feea13e6cd47
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.13		d87623cdc06087904d28265255a85483e3305ec2
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.14		826b93ff96ed67d9206088433b321552bee4676b
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.15		528a8d3b1cb4d8cdb36071f970c2c0afd71082af
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.16		84fc386c43bc0df375c9bf1107fb9416f3d0acf8
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.17		a42876d427eaa9212ba3078f07da8599f902ba8b
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.18		2b977924abdaabed595564837079f5c1129fe928
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.19		27fcd1af6ddd37c0724e21b66105dee167ecf362
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.2		e82b610add1e2ee95edad4814b80eadd8bcda8a2
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.20		40146d6f5c26330684a838a26f78e7d42ed8739e
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.21		4c00daff8c1d1925d8130bde981bbc546dccf543
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.22		6ccda4a40ae667e5142e8f9c95ddcc307bbe3f57
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.23		7b5d50f438fbd1f6ab8ee4e4315ac6f97ff51860
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.24		6de68c0ef6d9d58d3d801e20064dc29cc86efc3e
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.25		87c6aec9fa914af7f36ffbcec5b7d48eac0d0229
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.26		608bf22eb8d66d0ceef1fdd9563bada48f078ec2
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.27		6c6933f94b4aa54486c671ce5e6bddd97d7a90b1
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.28		4843b2510d244b95df933c9e9938e69e73e88796
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.29		69bd5275b83a186fabcf207d00dd04cf5a5d07fe
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.3		3a8be72c76f3c0da75004c08a039b5064b508583
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.30		021f2af52cc25e9ba3529e311fb18e31ada30d8d
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.31		f4eeb92bcbde8218d4c1a593b8a3813874f16457
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.32		95b0412eb7dd281123564b5db8578453c842f97e
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.33		b13a477bf0c7a4a9c992355d02311d68f9ee09c9
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.34		4285cc9cb59ddfec841c6bdf4b2b645f86fc2709
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.35		345ea0994d86820d89642fc9017537cfec8de0ee
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.36		62bd75693d26d10c61db0ec4c3cd5b5efdad889f
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.37		4dda2467af03079214b74bf3749e4ce7e4196266
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.38		b787007835c122209d58ba7a85bfe6c8710f3645
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.39		96910a79008adf61f17544f20ab56f7407d068a2
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.4		41ed8e357583785c692cde52006e4b908647e777
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.40		f0a953a3ca028211680801b3d2c0df28b5854243
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.41		20611f1196ed7491cfe61b09cca246f61fc158ec
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.42		8665c6f11d71ce1872ef6ea448786473e9950073
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.43		04b73398b60eef2ad6da2b482b5aed4214486953
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.44		a2227d8a4133b6493c8be96ff75b008512406c05
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.45		9657dd755b24cf86fe7aa73120dcb0d22a103cae
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.46		f811c2ae55a93c551bed1a19ace236b6867f62d9
com.liferay	com.liferay.portal.workflow.metrics.rest.impl	3.0.47		0f2b0b7dd598c40dc75d0e85f78c20b514aae715
