at.released.weh	filesystem-mingwx64	0.1-alpha01		N/A
com.holon-platform.jaxrs	holon-starter-jersey-client	5.0.4		12fe651f406741c1c618034482478fb5f1a6e97a
com.holon-platform.jaxrs	holon-starter-jersey-client	5.0.5		76195dca1a058c123349671679531bff4b42df8c
com.holon-platform.jaxrs	holon-starter-jersey-client	5.1.0		0516d71d6e381d78aa2a4853c81fa1228cc80590
com.holon-platform.jaxrs	holon-starter-jersey-client	5.1.1		7fd413256bfca1c345cc1071b01f9a4413117ec8
com.holon-platform.jaxrs	holon-starter-jersey-client	5.1.2		780db936ea4178c39357d24bf6aa7895021c7723
com.holon-platform.jaxrs	holon-starter-jersey-client	5.2.0		ae6c8c39dbccf4dba63363d56417148a001534ca
com.holon-platform.jaxrs	holon-starter-jersey-client	5.2.0-alpha1		75603b96a57b2f7ea8c27e6ad41a9db1929839cd
com.holon-platform.jaxrs	holon-starter-jersey-client	5.2.0-alpha2		577cd1c362876d944ed038068f5da491dbf5aaf0
com.holon-platform.jaxrs	holon-starter-jersey-client	5.2.0-rc1		2a1d497493747b09cab40d939a71f53ad4f0f93e
com.holon-platform.jaxrs	holon-starter-jersey-client	5.2.0-rc2		b82fd7643606348c68c2593b19207abd105324ef
com.holon-platform.jaxrs	holon-starter-jersey-client	5.2.1		630983411d1ca3ac8234239605f6a563e0328c4a
com.holon-platform.jaxrs	holon-starter-jersey-client	5.2.2		1c4383f8a91912c331f12ae7340937bf97550d51
com.holon-platform.jaxrs	holon-starter-jersey-client	5.2.3		5cc76c1b6d3d1ae994d56e1785c1aaace42c92c1
com.holon-platform.jaxrs	holon-starter-jersey-client	5.2.4		6a9636ef3e14fd0b7edf822c1a8c0f22717d27f4
com.holon-platform.jaxrs	holon-starter-jersey-client	5.3.0		302f82789e17bdae2ebea7695e43edb304f4bf5b
com.holon-platform.jaxrs	holon-starter-jersey-client	5.4.0		9b16deb95e86d8d5889383594ffed6b61259ac1f
com.holon-platform.jaxrs	holon-starter-jersey-client	5.4.1		96fade7bd2b481d6a20ed495517805ad280b3ac0
com.holon-platform.jaxrs	holon-starter-jersey-client	5.5.0		06ba00d16568ac239af49397d8fce25463f4d055
com.holon-platform.jaxrs	holon-starter-jersey-client	5.7.0		b21c5b8fd0dcf45c3785d56f1ed861de597fb65f
com.javiersc.mokoki	mokoki-serialization-tvosx64	0.2.0-alpha.1		N/A
com.javiersc.mokoki	mokoki-serialization-tvosx64	0.2.0-alpha.1	metadata	2a96e3d1b9f49f039794ab92e6057b237b42cb26
com.lingyun-x	lib-comm	0.0.1		N/A
com.lingyun-x	lib-comm	0.0.2		N/A
com.linkedin.sensei	sensei-war	1.5.4		N/A
com.linkedin.sensei	sensei-war	1.5.5		N/A
com.linkedin.sensei	sensei-war	1.5.6		N/A
com.linkedin.sensei	sensei-war	1.5.7		N/A
com.netflix.nebula	gradle-resolution-rules-plugin	1.0.1		65bb5ab175373f5ff675347c4489b967e046f37c
com.netflix.nebula	gradle-resolution-rules-plugin	1.1.0		f193d51af842592353742cd1cead56bea8a8d516
com.netflix.nebula	gradle-resolution-rules-plugin	1.1.1		d9af80b61cdf6c002af8ca638ceadf8bcac60422
com.netflix.nebula	gradle-resolution-rules-plugin	1.1.2		7d69afa9e5a99c91fae66caf320e3bdfb7ec6a3e
com.netflix.nebula	gradle-resolution-rules-plugin	1.1.3		90bf84af1d1d5588350f329a729624f26da846eb
com.netflix.nebula	gradle-resolution-rules-plugin	1.1.4		bbeb7396201595d43289ecd66ce6d82eca37f3b6
com.netflix.nebula	gradle-resolution-rules-plugin	1.1.5		2d51acbed0d2c160bc789d69cb2527bdd26ac448
com.netflix.nebula	gradle-resolution-rules-plugin	1.2.0		4b5cb08e841b31cc16566a75ea78a7fe27d91537
com.netflix.nebula	gradle-resolution-rules-plugin	1.2.1		98138c0ac46003738fa5b6a73f6d3d468ff81b2f
com.netflix.nebula	gradle-resolution-rules-plugin	1.2.2		f524a70051bcb9e1cda86a7e4acf0d3ce9f3bcb7
com.netflix.nebula	gradle-resolution-rules-plugin	1.2.3		2e0c4f086d488bf5eee3447938435512b0812716
com.netflix.nebula	gradle-resolution-rules-plugin	1.3.0		27857613db7c1b9c36e153d6c9f44140ec9eac3b
com.netflix.nebula	gradle-resolution-rules-plugin	1.4.0		f0966344e973a8dff67b04e7d3f6193aa3f6c12b
com.netflix.nebula	gradle-resolution-rules-plugin	1.5.0		378b809fa7910113d83e127a0ce5916a044f1733
com.netflix.nebula	gradle-resolution-rules-plugin	1.5.1		1ce353f7900cd785dc2da184129d2785fd6c486a
com.netflix.nebula	gradle-resolution-rules-plugin	1.6.0		ee9601224ace3dbe7fb61d2f7a9093cb32ba35fa
com.netflix.nebula	gradle-resolution-rules-plugin	1.6.1		b2f73a4d1455f49770907cecaa6c13a207056369
com.netflix.nebula	gradle-resolution-rules-plugin	1.6.2		3fae296ab612aeae5ddb91085e913c0f13f3ff14
com.netflix.nebula	gradle-resolution-rules-plugin	1.6.4		8849f8a32753568e4fec01310fa670707166409c
com.netflix.nebula	gradle-resolution-rules-plugin	1.6.5		ca4898c230ef84ff8cac18fe4ca6420d5d7479a8
com.netflix.nebula	gradle-resolution-rules-plugin	1.7.0		6988fff0339acd9ed3f390cba5eefce88102b0b7
com.netflix.nebula	gradle-resolution-rules-plugin	1.7.1		aecea50c4a8c387d5147d215732bb31f490d791a
com.netflix.nebula	gradle-resolution-rules-plugin	1.7.2		dc60744c58c8a7d2c8025046819b63139fe432a0
com.netflix.nebula	gradle-resolution-rules-plugin	1.8.0		95af75be94dddb841ef3a78f90aad548c20e1b18
com.netflix.nebula	gradle-resolution-rules-plugin	1.9.0		116d712f9cf84c747007500fc8e411efedc11261
com.netflix.nebula	gradle-resolution-rules-plugin	10.0.0		791414caaaeb7867b4749bdf0bace66e744a02fb
com.netflix.nebula	gradle-resolution-rules-plugin	10.1.0		657f785ff149835994fde5586e26abba94f5e3f9
com.netflix.nebula	gradle-resolution-rules-plugin	10.2.0		c25ba416a0bd2237093f334de7acf0e059c5af12
com.netflix.nebula	gradle-resolution-rules-plugin	11.0.0		734ef971ed6862455ef8c47d9208cba5843f3ecd
com.netflix.nebula	gradle-resolution-rules-plugin	11.2.0		03e7637854af28201cd0f221232c8903ffd86043
com.netflix.nebula	gradle-resolution-rules-plugin	11.3.0		7d21a2795cea9ba17fc437b8b66d006b947a16d1
com.netflix.nebula	gradle-resolution-rules-plugin	11.4.0		8b49c31f8f80096db3cd064c7e806bdae2d5c0ae
