ch.nexsol-tech.spring	spring-build	1.0.0		N/A
com.erigir	wrench-drigo	2.0.4+122		d03dd40c9801be96d19eae80360ba71be467ec3f
com.erigir	wrench-drigo	2.1.0+124		d56e30cdd5fc964d461361facc67c40565f93761
com.erigir	wrench-drigo	2.1.1+129		403d4099ff1e827f6e3dca9219679a8a06c7a7ce
com.erigir	wrench-drigo	2.1.2-2018-02-05-6+131		1f723f83fe6e8b2f071898e01a2893f729937370
com.erigir	wrench-drigo	2.1.3+132		4bde1434af1b3b23958bcd15cb762a988e753d3b
com.erigir	wrench-drigo	2.1.4+135		1f8d56580bb48aeb79d1731a56b526745d5ad7f3
com.erigir	wrench-drigo	2.1.5+137		ded995609bcf7dd40e7f370c53f46e87f00f3746
com.erigir	wrench-drigo	2.1.6+138		3d5b0358aaf0bce81691621e44322619409efbe1
com.erigir	wrench-drigo	2.2.16+16		0bdb7214179e8a7c6e9140e6924d14c88053dbf4
com.eurodyn.qlack.fuse.jumpstart	QlackFuse-Jumpstart	1.7.0		N/A
com.eurodyn.qlack.fuse.jumpstart	QlackFuse-Jumpstart	1.7.1		N/A
com.eurodyn.qlack.fuse.jumpstart	QlackFuse-Jumpstart	1.7.2		N/A
com.eurodyn.qlack.fuse.jumpstart	QlackFuse-Jumpstart	1.7.3		N/A
com.eurodyn.qlack.fuse.jumpstart	QlackFuse-Jumpstart	1.7.4		N/A
com.eurodyn.qlack.fuse.jumpstart	QlackFuse-Jumpstart	1.7.5		N/A
com.foilen	jl-smalltools-mongodb-5-spring	3.14.0		482633855217cf4e3ee98f2e1daee32b9ec894c3
com.foilen	jl-smalltools-mongodb-5-spring	3.14.1		989c1a42d7b86a4f758d56a0e11d2cf655a79522
com.foilen	jl-smalltools-mongodb-5-spring	3.15.0		5df72606daaa7f8baa06b24bdce7522605fe6407
com.foilen	jl-smalltools-mongodb-5-spring	3.16.0		079dcb25e7562f225444c062497ee756a4d14d30
com.foilen	jl-smalltools-mongodb-5-spring	3.17.0		343488023968fb98cda43cb3744a2d2fb0117080
com.foilen	jl-smalltools-mongodb-5-spring	3.18.0		202bea657d078cd92da19acabfcc8bab6d56beed
com.foilen	jl-smalltools-mongodb-5-spring	3.19.0		3b23898b11ac0885cecdea27f8ad2fb8b1053332
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	0.0.3		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	0.0.3	metadata	88d2b7a791a9ca35d9ae9127ddba8ffc4681536c
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.26.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.26.0	metadata	c988ae478802beb3c225b9d0ddba42b0151b5c44
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.26.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.26.1	metadata	a2d988dab1d290df2e0aa6bed1bdf5a7f737c1e4
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.27.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.27.0	metadata	9a05e8e17ba9e2d05103c5a975d77f8acd4a6453
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.27.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.27.1	metadata	157830f20de100dd1184bad047b1f1c57fb94bdf
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.27.2		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.27.2	metadata	3425ba80dbebde9f633bcad3f61eec6e57059040
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.28.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.28.0	metadata	38ce7cd546ae3daf6cfbe806c793ce52af83bc45
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.29.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.29.0	metadata	5a9e3dc30ad4216e397bb9ee2db084d7c7be752e
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.29.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.29.1	metadata	31de89c0ef78989440f17d4b235499bd7a8a4a2b
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.29.2		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.29.2	metadata	551cef1ff5cb3567d2f912d9ccd18163197b0974
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.30.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.30.0	metadata	384821b253eda9affe0faeac796085267623719d
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.30.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.30.1	metadata	9316e4a725ac8f6dfe965b79d77340e100d7e861
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.31.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.31.0	metadata	ee9381450d0c5e8639c3476d00e8d23762de1ad9
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.31.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-web-socket-iossimulatorarm64	1.31.1	metadata	4e592b3e47c0139b2a8c3e2395d855c347bda81a
com.gitee.chinasoft_ohos	FloatingViewLib	1.0.0		N/A
com.gitee.chinasoft_ohos	jsonlube	0.0.5		b7028e4d4968a3ee6c28319c89a580270331498b
com.gitee.chinasoft_ohos	jsonlube	0.0.6		b7028e4d4968a3ee6c28319c89a580270331498b
com.gitee.chinasoft_ohos	jsonlube	0.0.7		b7028e4d4968a3ee6c28319c89a580270331498b
com.gitee.chinasoft_ohos	jsonlube	0.0.8		96a3f819aab4e9d7f1145f3d6bea537fd34d8582
com.gitee.chinasoft_ohos	jsonlube	0.0.9		96a3f819aab4e9d7f1145f3d6bea537fd34d8582
com.gitee.chinasoft_ohos	jsonlube	1.0.0		0c328f86ffe79080a89215a58a55df379c97ebd2
com.gitee.chinasoft_ohos	jsonlube	1.0.1		b7028e4d4968a3ee6c28319c89a580270331498b
com.gitee.zodiacstack	zodiac-sentinel	1.5.16		N/A
com.gitee.zodiacstack	zodiac-sentinel	1.5.17		N/A
com.gitee.zodiacstack	zodiac-sentinel	1.5.18		N/A
com.gitee.zodiacstack	zodiac-sentinel	1.6.0		N/A
com.gitee.zodiacstack	zodiac-sentinel	1.6.1		N/A
com.gitee.zodiacstack	zodiac-sentinel	1.6.2		N/A
com.gitee.zodiacstack	zodiac-sentinel	1.6.3		N/A
com.gitee.zodiacstack	zodiac-sentinel	1.6.4		N/A
com.gitee.zodiacstack	zodiac-sentinel	1.6.5		N/A
com.gitee.zodiacstack	zodiac-sentinel	1.6.6		N/A
com.gitee.zodiacstack	zodiac-sentinel	1.6.7		N/A
com.gitee.zodiacstack	zodiac-sentinel	1.6.8		N/A
com.gitee.zodiacstack	zodiac-sentinel	1.7.0		N/A
com.gitee.zodiacstack	zodiac-sentinel	1.7.1		N/A
com.github.ghostdogpr	caliban-tracing_3	2.1.0		141e93e9f7d0d99016b18704cf48eb4e8bee4373
com.github.ghostdogpr	caliban-tracing_3	2.10.0		7581f2b248af688536e6e4fcd289a251b35cc745
com.github.ghostdogpr	caliban-tracing_3	2.2.0		04023ed6bd8f80009b39d825a571fbc47f13a205
com.github.ghostdogpr	caliban-tracing_3	2.2.1		82fd3595173102c0124f7a656534a90a4c4f3276
com.github.ghostdogpr	caliban-tracing_3	2.3.0		48d53d3a34f34d926c8816df46be367eb829cacf
com.github.ghostdogpr	caliban-tracing_3	2.3.1		32a75dc08c14d06ede1b0d0fe7fcb8cf832c3de9
com.github.ghostdogpr	caliban-tracing_3	2.4.0		471c1d7a6b3ff71dc48cdb8e6dee75def439560c
com.github.ghostdogpr	caliban-tracing_3	2.4.1		f73a9066e578499d5f7603cb74230c4fdfd5528a
com.github.ghostdogpr	caliban-tracing_3	2.4.2		555854f3c0e81ed4293a81241cedff8c2fe6e775
com.github.ghostdogpr	caliban-tracing_3	2.4.3		bf1e57dc2d01170b7195ecc69e1813f77bab527c
com.github.ghostdogpr	caliban-tracing_3	2.5.0		1a5b2e55edaaea4b90a929766c7e1270b58254d6
com.github.ghostdogpr	caliban-tracing_3	2.5.1		afdc274c7e70dc5fc58a84e9e2035f64b35acb22
com.github.ghostdogpr	caliban-tracing_3	2.5.2		2906e590a44efc0517bb4037e19e813d14f2c2dd
com.github.ghostdogpr	caliban-tracing_3	2.5.3		403ea5de1d470da2bc9bca1e3e073ad075cbbe8c
com.github.ghostdogpr	caliban-tracing_3	2.6.0		4a4131f84d833ee06a145c3911d3178faa7f5387
com.github.ghostdogpr	caliban-tracing_3	2.7.0		cc7203dbdaf47494b9bcef21ff35077674acea0a
com.github.ghostdogpr	caliban-tracing_3	2.7.1		9b98c1e632aea946a74c34459f2de5722527f263
com.github.ghostdogpr	caliban-tracing_3	2.7.2		c10ba0109fceded72085e6000e162485e0948ce7
com.github.ghostdogpr	caliban-tracing_3	2.8.0		093918d763360bcd13dc8e8be9654615c5c01b4e
com.github.ghostdogpr	caliban-tracing_3	2.8.1		19b4e497a0f43bca348645e2fee30e779512cf3e
com.github.ghostdogpr	caliban-tracing_3	2.9.0		0a0ef625048c1ecbfe6c1bc5bb0fb87ba3d32131
com.github.ghostdogpr	caliban-tracing_3	2.9.1		d3287e100131cc90676cd19929bc77f83771e9c5
com.github.ghostdogpr	caliban-tracing_3	2.9.2		51cb69def55012e5e548de29d54b1a728cbe8211
com.github.invictum	unified-test-core	0.1.0		3d0a057c44b544eb863dc37630472c5edc982f13
com.github.invictum	unified-test-core	0.1.1		c6d740d0ae7c90c6715462d89b67f21bbe0ceb53
com.github.invictum	unified-test-core	0.1.10		44d7c3b923a3bc29fcbd444c1e8066c92dc9c56a
com.github.invictum	unified-test-core	0.1.12		778e8a298822e8c3c2c5b3f62a85869ea90af88d
com.github.invictum	unified-test-core	0.1.13		5389dbb246ca90cc645b66063d7623dccfd8b24b
com.github.invictum	unified-test-core	0.1.14		80e16777787664091c174c6a510c6ddd1563adb5
com.github.invictum	unified-test-core	0.1.15		04451f877102a2fa9bc5ed9c0fa7c0f94c28147b
com.github.invictum	unified-test-core	0.1.2		c4a10f35a6c73a5b7ed00f2741064add5e1c2b2b
com.github.invictum	unified-test-core	0.1.3		0090bdcbd4cf47f4f2322e5160462dabccf4e7ad
com.github.invictum	unified-test-core	0.1.4		90152b2682d288d75c70c4ed662c1a3d8da87779
com.github.invictum	unified-test-core	0.1.5		329967824cbb0cef4348ab1068b4828740b709a6
com.github.invictum	unified-test-core	0.1.6		b2150fd038536d79c14b7c7a777ef3a5b935444d
com.github.invictum	unified-test-core	0.1.7		38d3b817ea5d6607c84e290547305ffcd49da318
com.github.invictum	unified-test-core	0.1.8		33d22b15b780ad4a087dda507ead254ea9da6d8a
com.github.invictum	unified-test-core	0.1.9		542e40bf807a2b7802d9780a504ffb9bf8b0d55b
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.0.26		4eacdf9192df3530537dc179c361c5c23a7b4b01
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.0.27		364ee0f5423023b5d07dea226a7e66a930015498
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.1.0		3b332f44a698aeda414bb60164a28e0db18c3d7c
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.1.1		5773442d56d450146838d1d9692606f1f46f7208
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.1.10		5fdb4f0f02b496d59c3b42b5391a2be3010d7d32
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.1.11		97ccd70e69268afd27d5cbfca493c45a6d12e8f0
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.1.12		d72790f8c256c85aeb2ba8a9023c3e95e08950a5
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.1.13		7532be1786d06e38eb367df8db07d7167595c1e3
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.1.15		b8deaeeb558e90436926dd407e61548accd86806
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.1.2		6eaddeedacd82f662be8f7ae56370c64a4ad0edb
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.1.3		58eaa7967ddb18b3e8dc87c8ad9a27b848145d7d
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.1.4		a9ea97f588b381c273660cc1738a012e83d40afc
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.1.6		dd17609b664bdef374f40cd2fc445335142ba384
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.1.7		e6e1a471a9ce9c880ee14e16690e915c42f0d744
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.1.8		532297680aac09dcf4c56a4e2f4c60cbf264ace4
com.github.j5ik2o	docker-controller-scala-core_3.0.0-RC2	1.1.9		f2020a8d7bc5af80e8841a70b382c061f7f8681f
com.github.marks-yag	config-core	0.10.0		52e45b60b77586a50298a0501100a79a8a62d719
com.github.marks-yag	config-core	0.10.1		8b3d7fbfb54ea692723387e37b6543b318dc76fa
com.github.marks-yag	config-core	0.10.2		5a00db03fc8d2848f5c47f733335945cd4173e31
com.github.marks-yag	config-core	0.11.0		a6c1ba59ee734348c87c3e72543eb6c86a2cc92a
com.github.marks-yag	config-core	0.11.1		27d5edb24290e1b3acd5f7bcd3b0337055deb0c8
com.github.marks-yag	config-core	0.11.2		c829a99d3da27dbf238e27cacb8deb2c9b5fda5f
com.github.marks-yag	config-core	0.11.3		de642fdd05f162a4f3631ec7ba0010505be5ef06
com.github.marks-yag	config-core	0.12.0		b3c40e8b3f413dc52bfed1a8d4a5160cebb0faa5
com.github.marks-yag	config-core	0.12.1		bbc25733adc705e5efdea2fbed821692877bafa4
com.github.marks-yag	config-core	0.12.2		9e705990973fe5fe464f0198c729b7cbe4faddd3
com.github.marks-yag	config-core	0.12.3		70f456a7414772cf025314b6d574c490efce8336
com.github.marks-yag	config-core	0.12.4		cde572af1db2e0163ce85ebc4c5a6b1efc8cabfa
com.github.marks-yag	config-core	0.12.5		f47077b65e8977c8974f88eeeee8582658ac1d87
com.github.marks-yag	config-core	0.12.6		048eafdf924d8b997b1d603deecd83ceef59f89c
com.github.marks-yag	config-core	0.12.7		0205f34487ce7b4591824cdb9b28ea74bd9b26e4
com.github.marks-yag	config-core	0.12.8		ff227de58e80ab88bc8cca95529fb026e6d2df3d
com.github.marks-yag	config-core	0.13.0		b02b30e2c78210fc0022a3e42f87d39484d188b8
com.github.marks-yag	config-core	0.9.2		eb8fbade7c5c19aacbc519ead2eecd108f6488d7
com.github.marks-yag	config-core	0.9.3		e94259945cddbc3e5ba023fdbc6edf419cffc334
com.github.marks-yag	config-core	0.9.4		079985e3fc4edab58c49cc7b4fffcd16a6f0ba08
com.github.michaelruocco	retriable	1.0.0		5dc735eb2be1bebc468b8b50b6d447d777170630
com.github.michaelruocco	retriable	1.0.1		476f1f734dd9f00679d16ac88e77caaf0f4fab31
com.github.muff1nman.chameleon	metadata-image	1.2.0-RELEASE		e98e6eae462e8548834332c09ae9ab4ecf060c0a
com.github.muff1nman.chameleon	metadata-image	1.2.1-RELEASE		c9d26f296aa16b6bbbfbbdb93fd4156680171652
com.github.ofofs	jca-unit	1.0.0		04276838b09ee21d60379517a183902f104ca02a
com.github.ofofs	jca-unit	1.0.0.RELEASE		5f097db6e4af3287ea89910dc61d905cbfc6a94a
com.github.ofofs	jca-unit	1.0.2		149dcaf46a869d56c0716f9bf8f1a1aa2e7cdadf
com.googlecode.wabacus	wabacus-parent	1.0		N/A
com.googlecode.wabacus	wabacus-parent	1.0.1		N/A
com.googlecode.wabacus	wabacus-parent	1.0.2		N/A
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.0.0		2408560debc44b95e9677240ec1ea1cb32892580
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.0.1		330a385edffd6c4d768841e94af6a7a16df59dcf
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.0.10		999bdf1de9095ba2b07a1f571aeee46251776f37
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.0.11		52369abfe6263033b7828ceacf5ab132ada2b282
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.0.12		d0ca65cacfb1f2b61a3f697241b427eb670c617c
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.0.2		a82cfc6a9e673539bd847681df6f811a148e60cd
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.0.3		b4b6d9e7f65fe013e893a90e64fe1346a6ac326a
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.0.4		af0880971ffaac29cf165801a8f3b79baf852e18
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.0.5		293fec5cbc9fef4569edfb852a9350929a7fb46c
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.0.6		cd6dbb5ca5c980cb7fa3fda24fa57ee25e5d5be3
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.0.7		01fc7493d8181bcf07dfc9c8a0967456537f9f2f
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.0.8		3a40e7f2f679f1f7fd11843457f19546a5d68e0f
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.0.9		60bb8a7e6d405701e7cdfdc7262ed3bf507ab08d
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.1.0		5e989b1d2464202f218d2dcca3d1a5a1d4ee50f3
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.1.1		15f5c052a1260dd48913f704a2aec491fede08fb
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.1.2		fd456a83a19f8fe580fec8f5c3897ec19b2b51d3
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.1.3		044a23cce95d33a6082bfbe6a0e042f17dc0ce8e
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.1.4		6fb3e6463abef6d5acb4c0fa1a3758aeb2271cd5
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	1.1.5		b9eb9c8c90b21a52884cc1cf4cecb0a7aae13a50
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	2.0.1		712315b45192576ca20a07eb0c139522e9089d79
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	2.1.0		e9cf73b0e60271eaf367e3665cbbd08fb79958a2
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	2.1.1		260281daa28750223549cd7e2d88efc9237e11ad
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	2.2.0		0ca3acc99711eb305dc0dd3ef1b0af3460741fca
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	2.2.1		cd3624320df9b6d6288ccafd757891cfff9e989c
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	2.2.2		d6588d1aa2253724538e40e0aa3fb78d1e437ae3
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	2.2.3		882e12551da54d3a5fcabeaa80d6c107152e60f9
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	2.2.4		dbf0777244441a4c656efeb145aa3b035b5b1fe6
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	2.2.5		a89a0a6ebc5af9f681c5eaf0ee08b22bf3e9bd9a
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	2.2.6		2faec08a40f262406db0453c9ddc1319728ca895
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	2.3.0		16db6e5a801a1526f6bff9740b7165ec07693333
com.holon-platform.artisan	holon-artisan-vaadin-flow-components	2.3.1		c851ce2a84bf92abc0a523a4ac39f9727d192fee
com.ibm.cloud	platform-services	0.10.0		N/A
com.ibm.cloud	platform-services	0.11.0		N/A
com.ibm.cloud	platform-services	0.12.0		N/A
com.ibm.cloud	platform-services	0.12.1		N/A
com.ibm.cloud	platform-services	0.12.2		N/A
com.ibm.cloud	platform-services	0.13.0		N/A
com.ibm.cloud	platform-services	0.13.1		N/A
com.ibm.cloud	platform-services	0.13.2		N/A
com.ibm.cloud	platform-services	0.14.0		N/A
com.ibm.cloud	platform-services	0.15.0		N/A
com.ibm.cloud	platform-services	0.15.1		N/A
com.ibm.cloud	platform-services	0.15.10		N/A
com.ibm.cloud	platform-services	0.15.11		N/A
com.ibm.cloud	platform-services	0.15.2		N/A
com.ibm.cloud	platform-services	0.15.3		N/A
com.ibm.cloud	platform-services	0.15.4		N/A
com.ibm.cloud	platform-services	0.15.5		N/A
com.ibm.cloud	platform-services	0.15.6		N/A
com.ibm.cloud	platform-services	0.15.8		N/A
com.ibm.cloud	platform-services	0.15.9		N/A
com.ibm.cloud	platform-services	0.16.0		N/A
com.ibm.cloud	platform-services	0.17.0		N/A
com.ibm.cloud	platform-services	0.17.1		N/A
com.ibm.cloud	platform-services	0.17.10		N/A
com.ibm.cloud	platform-services	0.17.11		N/A
com.ibm.cloud	platform-services	0.17.12		N/A
com.ibm.cloud	platform-services	0.17.13		N/A
com.ibm.cloud	platform-services	0.17.14		N/A
com.ibm.cloud	platform-services	0.17.15		N/A
com.ibm.cloud	platform-services	0.17.16		N/A
com.ibm.cloud	platform-services	0.17.17		N/A
com.ibm.cloud	platform-services	0.17.2		N/A
com.ibm.cloud	platform-services	0.17.3		N/A
com.ibm.cloud	platform-services	0.17.4		N/A
com.ibm.cloud	platform-services	0.17.5		N/A
com.ibm.cloud	platform-services	0.17.6		N/A
com.ibm.cloud	platform-services	0.17.7		N/A
com.ibm.cloud	platform-services	0.17.8		N/A
com.ibm.cloud	platform-services	0.17.9		N/A
com.ibm.cloud	platform-services	0.18.0		N/A
com.ibm.cloud	platform-services	0.18.1		N/A
com.ibm.cloud	platform-services	0.18.10		N/A
