ai.faculty	dynamic-configuration_2.13	0.4.0	-	bbdfccb3e9c915d1c8ebaed38ddb3b94bc559464
aws.sdk.kotlin	dataexchange	0.28.2-beta	0.28.2-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.29.0-beta	-	abdc259d973d6133cbfa249b8470f3f0c4977fc5
aws.sdk.kotlin	dataexchange	0.29.0-beta	0.29.0-beta-all	c0234697194ab01bbfc6450804eb8247d73f230c
aws.sdk.kotlin	dataexchange	0.29.1-beta	-	6a26ea643daf27510c9a5808cbabeead14814acd
aws.sdk.kotlin	dataexchange	0.29.1-beta	0.29.1-beta-all	c0234697194ab01bbfc6450804eb8247d73f230c
aws.sdk.kotlin	dataexchange	0.30.0-beta	-	c0234697194ab01bbfc6450804eb8247d73f230c
aws.sdk.kotlin	dataexchange	0.30.1-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.31.0-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.32.0-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.32.1-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.32.2-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.32.3-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.32.4-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.32.5-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.33.0-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.33.1-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.34.0-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.34.1-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.34.2-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.34.3-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.34.4-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.34.5-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.34.6-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.34.7-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.34.8-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.34.9-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.35.0-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.35.1-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.36.0-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.36.1-beta	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	0.4.0-alpha	-	bf6bd0cb1e707a4124e912d5c694a060a07930dd
aws.sdk.kotlin	dataexchange	0.5.0-alpha	-	22219d008494c0033073e0372c6707754423d982
aws.sdk.kotlin	dataexchange	0.6.0-alpha	-	b5fc0666b5e7058675095ac6748ed4507ffc04a7
aws.sdk.kotlin	dataexchange	0.7.0-alpha	-	401894c17fa5ba89f984674335982fa64f70b885
aws.sdk.kotlin	dataexchange	0.8.0-alpha	-	debc3ab452bbe0b9450a4409ccc0e3be52274202
aws.sdk.kotlin	dataexchange	0.9.0-alpha	-	30fe802f0cd63a762cf39dc720c321ba36a41a8a
aws.sdk.kotlin	dataexchange	0.9.1-alpha	-	1fcb1ef94d55b90f2d810f141b168602d43eb094
aws.sdk.kotlin	dataexchange	0.9.2-alpha	-	f7f96e060306c233791e46e63053b8de23bea2b3
aws.sdk.kotlin	dataexchange	0.9.3-alpha	-	57b9babe87e9c9405175cf45efeaeb6ba320cde8
aws.sdk.kotlin	dataexchange	0.9.4-beta	-	5f665d0f9107f5923dc5bd2a1bdddf1eac40605b
aws.sdk.kotlin	dataexchange	0.9.5-beta	-	2b31b397e4da0033465d935ae64e86edf44d7918
aws.sdk.kotlin	dataexchange	1.0.0	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.1	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.10	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.11	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.12	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.13	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.14	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.15	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.16	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.17	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.18	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.19	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.2	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.20	-	ec6e0db5f3e773e9c7d3fc756c62d80a4cd128e5
aws.sdk.kotlin	dataexchange	1.0.21	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.22	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.23	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.24	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.25	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.26	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.27	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.28	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.29	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.3	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.30	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.31	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.32	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.33	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.34	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.35	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.36	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.37	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.38	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.39	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.4	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.40	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.41	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.42	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.43	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.44	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.45	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.46	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.47	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.48	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.49	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.5	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.50	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.51	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.52	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.53	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.54	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.55	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.56	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.57	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.58	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.59	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.6	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.60	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.61	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.62	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.63	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.64	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.65	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.66	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.67	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.68	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.69	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.7	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.70	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.71	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.72	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.73	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.74	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.75	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.76	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.77	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.78	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.79	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.8	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.0.80	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.0.9	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	dataexchange	1.1.0	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	dataexchange	1.1.1	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
