cc.drx	boot_2.13.0-M3	dk		cc3fc793ca64631c07c8d17572ac4e37bf8326b3
com.freeletics.mad	state-machine-macosarm64	0.9.0	metadata	1b9773504f4dfb1afccd0327b52e0190462701eb
com.freeletics.mad	state-machine-macosarm64	0.9.1		N/A
com.freeletics.mad	state-machine-macosarm64	0.9.1	metadata	79085a109af5a21271581895a45c79bd8719d1f0
com.github.cafdataprocessing	staging-service-shared	1.0.0-212		b23bf71c90595f881d388bac7337efaa906365b5
com.github.cafdataprocessing	staging-service-shared	1.0.1-340		492b272efccece013d486ef69de5b7f8cb9ae888
com.github.cafdataprocessing	staging-service-shared	1.1.0-409		0763fe33ee6b6d15e10315d35561192978449196
com.github.cafdataprocessing	staging-service-shared	1.1.1-512		ed3b4d75ecac5d2ddf8bcdc1f89b51ff694985ed
com.github.cafdataprocessing	staging-service-shared	1.2.0-605		1d3f7c09313d418c9ab640e969e8e6c9db5f7e42
com.github.cafdataprocessing	staging-service-shared	1.3.0-710		eb787b48c6642ee8f08489eec06dc533f1b31f8d
com.github.cafdataprocessing	staging-service-shared	1.4.0-836		3dd946ea3ebe4d27fb082119dfa60ff29b1c6bf6
com.github.cafdataprocessing	staging-service-shared	1.5.0-864		26b666cb5a02af6d38ecca6c629c17de968558a1
com.github.cafdataprocessing	staging-service-shared	1.6.0-873		e36dd5b0216a2f7d2d8fcb2d00be4287e498513c
com.github.cafdataprocessing	staging-service-shared	2.0.0-894		3d20cc818b304ca48e7f63b7d019c423cf8ce108
com.github.cafdataprocessing	staging-service-shared	2.1.0-963		9086b6efad7e6385d0791d1b447b087cc38bcc06
com.github.cafdataprocessing	staging-service-shared	2.1.1-996		aba53d0e4ff59fba04f35357e244570d0eecfad9
com.github.cafdataprocessing	staging-service-shared	2.1.2-1015		63cb62f8a9946217d9272a1efe4197d06e92e162
com.github.cafdataprocessing	staging-service-shared	3.0.0-1050		7084892d14f3aafd4cffd529f3ba5f60feb3ef77
com.github.cafdataprocessing	staging-service-shared	3.0.1-1086		1118fe49d2e0de39cf78e743b507a4f4b1bea151
com.github.cafdataprocessing	staging-service-shared	3.0.2-3		bbfb92467c0ab670babceff133ac1d7d67aa598d
com.github.cafdataprocessing	staging-service-shared	3.1.0-1124		07305a5cc684824a972e067f866a622e1a371daa
com.github.cafdataprocessing	staging-service-shared	3.2.0-1195		db2f787322c17c66e72e531e4132d21f4337e599
com.github.eoinf.jiggen	core-shared	1.1		b2d24b1114205eef510fca8e648f0848cbf7fc5b
com.github.malathi8190	testcrosswalkembed2	0.0.1		N/A
com.github.malathi8190	testcrosswalkembed2	0.0.2		N/A
com.github.malathi8190	testcrosswalkembed2	0.0.3		N/A
com.github.phisgr	gatling-javapb_2.12	0.0.0		ce965ec56c24749b4d418bfb1dfa2cceb80c27e4
com.github.phisgr	gatling-javapb_2.12	1.0.0		9545f2811d5b3c59de2693f2f57df0ee09df2fde
com.github.phisgr	gatling-javapb_2.12	1.0.1		33f81b122910152e537028062578c9c4a1f4d425
com.github.subchen	jetbrick-all	1.0.0		7c5f95de27484b8ae14f42120e89e6c331ec70ea
com.github.subchen	jetbrick-all	1.0.1		37f736d5f45608d243251e2384f51e70d9ba28db
com.github.subchen	jetbrick-all	1.0.2		e5521b89929eaf78c277e1ee16214dbe1889a005
com.github.subchen	jetbrick-all	1.0.3		6f07163417c40d195c707cfae6ad6decd26fdd59
com.github.subchen	jetbrick-all	1.0.4		61165e069897422195c078b15e09345def2bce2f
com.github.subchen	jetbrick-all	1.0.5		fc1432f22a0fe52d2a6efba21ea54408575a63c5
com.github.tototoshi	nyanda_3	0.1.0		4b91d14254ea5876bd183d77e41791310a781b82
com.github.xuwei-k	sbt-scala3profile_2.12_1.0	0.1.0		a91390a3dd524212f40c95fc56ae9888f6dcd94e
com.github.xuwei-k	sbt-scala3profile_2.12_1.0	0.1.1		8b0de08c3b476dd0da4d5deaf19a7261731a3c91
com.github.xuwei-k	sbt-scala3profile_2.12_1.0	0.2.0		cd89a78efad4355173cdcc8de4dbb79cf33ec0f4
com.google.apis	google-api-services-driveactivity	v2-rev101-1.18.0-rc		61ff2d1823186abcdb8b24f5d10d4322d806efbf
com.google.apis	google-api-services-driveactivity	v2-rev101-1.25.0		f6660f4118285af50378846493168b14c86034dc
com.google.apis	google-api-services-driveactivity	v2-rev105-1.18.0-rc		18bd59ab655ebbeac1d0fa5f004d90e3b4c3ce99
com.google.apis	google-api-services-driveactivity	v2-rev105-1.25.0		78f9c9303bc764486de89181035843e9e0f3e8d9
com.google.apis	google-api-services-driveactivity	v2-rev108-1.18.0-rc		22a34ac698753ed61f943e63201adc385ee27ad3
com.google.apis	google-api-services-driveactivity	v2-rev119-1.18.0-rc		8e5937295ae803270d4ac53fecb1950e825aa097
com.google.apis	google-api-services-driveactivity	v2-rev124-1.18.0-rc		af8f6fa3fbca40baef3ee7ab16f3d82d679496f3
com.google.apis	google-api-services-driveactivity	v2-rev124-1.25.0		03d8cb79d4fb35fd897524294d55e9c9ffbd75cb
com.google.apis	google-api-services-driveactivity	v2-rev13-1.18.0-rc		56c57295905d5fb2b56609785d9e2e5632f556ff
com.google.apis	google-api-services-driveactivity	v2-rev13-1.22.0		534f625884d129c4c4da5cb078634895da9b41ba
com.google.apis	google-api-services-driveactivity	v2-rev13-1.23.0		5a9e9ad4dd43284bca99ce71b218ec14cf5bd1b5
com.google.apis	google-api-services-driveactivity	v2-rev13-1.24.1		22fd0d3f09acd4a37fdffdf44bd8f7dba8b6e237
com.google.apis	google-api-services-driveactivity	v2-rev13-1.25.0		1f780152bb201c796ed6459c647cc493691831e2
com.google.apis	google-api-services-driveactivity	v2-rev150-1.18.0-rc		aa63d71efde02a6a77345574ff3404b9f14700a5
com.google.apis	google-api-services-driveactivity	v2-rev150-1.25.0		c543f62249e1df338ae03bf6885e7748cd191855
com.google.apis	google-api-services-driveactivity	v2-rev151-1.18.0-rc		2459c747bae3d65def2ccc2033bed3bb617371de
com.google.apis	google-api-services-driveactivity	v2-rev151-1.25.0		98325d60dc9a5e8943e43ea4e7288577b2401dd6
com.google.apis	google-api-services-driveactivity	v2-rev152-1.18.0-rc		df52da7beb929b24e567229756d8b98bd26b62be
com.google.apis	google-api-services-driveactivity	v2-rev152-1.25.0		dcd4724997d10769016af16953f76bcce06c6c8c
com.google.apis	google-api-services-driveactivity	v2-rev153-1.18.0-rc		c8d85d0a67389067bad2f271212451f74046b8d4
com.google.apis	google-api-services-driveactivity	v2-rev153-1.25.0		0facaa69d7f2f41ce9285cb1636329282e5f83fa
com.google.apis	google-api-services-driveactivity	v2-rev154-1.18.0-rc		bd9e28561dc20f1f40f3c90d0a0f65f3c609cb35
com.google.apis	google-api-services-driveactivity	v2-rev154-1.25.0		41aeff581df6b2669bbafab2304b726bfd0f636c
com.google.apis	google-api-services-driveactivity	v2-rev156-1.18.0-rc		2e6165949e2c5a0ea6657f219b9f8bd03de681f7
com.google.apis	google-api-services-driveactivity	v2-rev156-1.25.0		f8da3d40ea1f051f7c02f68e566ced493fc63409
com.google.apis	google-api-services-driveactivity	v2-rev157-1.18.0-rc		eac279ca4da4414992e492707b2ade135632acf3
com.google.apis	google-api-services-driveactivity	v2-rev157-1.25.0		d8961da9651e70052d2579847e3a49ea82877723
com.google.apis	google-api-services-driveactivity	v2-rev158-1.18.0-rc		f7cbe2255560258842780e6232a1cd6ef73149bf
com.google.apis	google-api-services-driveactivity	v2-rev158-1.25.0		11a651b2023cc14c31fb69f0e7d64dbbc0d53d7c
com.google.apis	google-api-services-driveactivity	v2-rev159-1.18.0-rc		2fdeb5e25e3effcfe3382e2df219eb6dfd6e24bc
com.google.apis	google-api-services-driveactivity	v2-rev159-1.25.0		45dc7a8427277f86edb74f6e7151e26549f67592
com.google.apis	google-api-services-driveactivity	v2-rev16-1.22.0		189f9d3dc4fb3c5f63bd44c13a716e5d5fa88fd1
com.google.apis	google-api-services-driveactivity	v2-rev16-1.23.0		f180f8b2391c77791ffa20d8fcc81720d1d4f047
com.google.apis	google-api-services-driveactivity	v2-rev16-1.24.1		bc3a0ac3646b3130c1e4b862af38ce8c82cb4331
com.google.apis	google-api-services-driveactivity	v2-rev16-1.25.0		4b8a1c261183f53e223ac9099d89a2f904b62c71
com.google.apis	google-api-services-driveactivity	v2-rev160-1.18.0-rc		635089351517e9c10822604bd2111585f61ff7a0
com.google.apis	google-api-services-driveactivity	v2-rev160-1.25.0		3858bbe6d0e5f7adece4deec8edc18d47edc2136
com.google.apis	google-api-services-driveactivity	v2-rev161-1.18.0-rc		d0f2ba4197db697b5b093e311ad7c1ea8a2896d7
com.google.apis	google-api-services-driveactivity	v2-rev161-1.25.0		b7c09a70ffc9bca1f7c538bfa50ca5c3281c3659
com.google.apis	google-api-services-driveactivity	v2-rev162-1.18.0-rc		8ee43c920ef062b0ef29b32547c982c1fc00f457
com.google.apis	google-api-services-driveactivity	v2-rev162-1.25.0		d16d01a9899ee864ba7977d0befcc16604eafdbd
com.google.apis	google-api-services-driveactivity	v2-rev163-1.18.0-rc		a4512fad5e9018214807611e2bdc0b22460ac469
com.google.apis	google-api-services-driveactivity	v2-rev163-1.25.0		3e296bdcdff2740603eb2c0c4d48265b113f1703
com.google.apis	google-api-services-driveactivity	v2-rev164-1.18.0-rc		56d5fdd04a37e4ad9e35085bf78e1b3dc4b3aa35
com.google.apis	google-api-services-driveactivity	v2-rev164-1.25.0		32dbd1393ee56ef568ba5be0783556f2bd3b5286
com.google.apis	google-api-services-driveactivity	v2-rev165-1.18.0-rc		12e3cf21872159b78eb553c31c748ebe584cbac0
com.google.apis	google-api-services-driveactivity	v2-rev165-1.25.0		1fe061053cf71c15f2c8a88c1d0160cb6189dd1d
com.google.apis	google-api-services-driveactivity	v2-rev166-1.18.0-rc		22b906010db57ede2e3050917a4bc0f1d76d7b61
com.google.apis	google-api-services-driveactivity	v2-rev166-1.25.0		1b11c59180f5b9094f00538c6df6cf85c72e9f98
com.google.apis	google-api-services-driveactivity	v2-rev170-1.18.0-rc		d48adf3a5498db33c2c4e708c22a266c53dd3731
com.google.apis	google-api-services-driveactivity	v2-rev170-1.25.0		c3881591c6bea8a1c0fc1ad59979a1806ef495f0
com.google.apis	google-api-services-driveactivity	v2-rev20181113-1.26.0		e1c7b25a0ade7ccf9dd3aa3d0889d96991fe65f8
com.google.apis	google-api-services-driveactivity	v2-rev20181113-1.27.0		c86ba40c42d4d3a6cfc46cb1d2ad51ca9b2736f3
com.google.apis	google-api-services-driveactivity	v2-rev20181116-1.26.0		ec73ec8bf7138b977a2664b39f3cf568af95a567
com.google.apis	google-api-services-driveactivity	v2-rev20181116-1.27.0		9aca7788bd2a9b03686c774e30d1ab0325e7a43b
com.google.apis	google-api-services-driveactivity	v2-rev20181116-1.28.0		2d92e5833a76848d74286de93b2bc61276b06954
com.google.apis	google-api-services-driveactivity	v2-rev20190422-1.26.0		24caeb144bf571a55b1713d724339841831c6bfd
com.google.apis	google-api-services-driveactivity	v2-rev20190422-1.27.0		28b4cc1f0273d33177364886326bbf7968cb5afb
com.google.apis	google-api-services-driveactivity	v2-rev20190422-1.28.0		b3e9d5f4f34ecf3b7dc0967198cdd6e00712a2f1
com.google.apis	google-api-services-driveactivity	v2-rev20190423-1.26.0		871051edc08ba6c1279924bae8ebbbdf1685eb2b
com.google.apis	google-api-services-driveactivity	v2-rev20190423-1.27.0		5335fb1dd9a6f0faaca3dbd9bcca9aca12d9d99e
com.google.apis	google-api-services-driveactivity	v2-rev20190423-1.28.0		371d90ebb70647c613ab1e0c18b384c12604aefb
com.google.apis	google-api-services-driveactivity	v2-rev20190423-1.29.2		6c6c918e3a27ac1bf8955c30f63d598d8c4417b7
com.google.apis	google-api-services-driveactivity	v2-rev20190423-1.30.1		54726503705ff47ac5fad4a5e7301891fe14b7d1
com.google.apis	google-api-services-driveactivity	v2-rev20190824-1.28.0		10c57f1f2aa947cb5e1b29f9aff0eb8134b3e724
com.google.apis	google-api-services-driveactivity	v2-rev20190824-1.29.2		8155ac2b588c3f5260706cb0da864d8e8ce5e53b
com.google.apis	google-api-services-driveactivity	v2-rev20190824-1.30.1		ea51f7621bcd23bc3a368c0cf8bd49014d63eacb
com.google.apis	google-api-services-driveactivity	v2-rev20190907-1.28.0		147906047589c2590f09389fcd6d27a339f81137
com.google.apis	google-api-services-driveactivity	v2-rev20190907-1.29.2		291d293e5eb5ed72b4408dd25480a8d3bb145077
com.google.apis	google-api-services-driveactivity	v2-rev20190907-1.30.1		8c6a7c0b2c17db5b8d42d61f9fc15fd179a8f9e6
com.google.apis	google-api-services-driveactivity	v2-rev20191218-1.28.0		122b6f971018d894d2ce6b065eaa4839e9666a71
com.google.apis	google-api-services-driveactivity	v2-rev20191218-1.29.2		33a72fb410d1c4f777a8f6cbc46a3938b6076c7b
com.google.apis	google-api-services-driveactivity	v2-rev20191218-1.30.3		61ae46449d159ad2772d8e45bb15ff0cf24b0b8a
com.google.apis	google-api-services-driveactivity	v2-rev20191218-1.30.8		1ff222a05f3bb718bc5c6a59bfb0854d7ec63ed2
com.google.apis	google-api-services-driveactivity	v2-rev20200210-1.30.8		2f6d9e634eae7eeab5faf81dd803c3d56bde79a7
com.google.apis	google-api-services-driveactivity	v2-rev20200212-1.30.8		5537aa5a46da66613b014a88c4ef34a27fcfd1eb
com.google.apis	google-api-services-driveactivity	v2-rev20200218-1.30.9		645ec1452ed4648541814f1a1032b4560aa5c008
com.google.apis	google-api-services-driveactivity	v2-rev20200415-1.30.9		57949c84d4580da9a531a97edbd4e3d32dc5c0d2
com.google.apis	google-api-services-driveactivity	v2-rev20200428-1.30.10		a09d7a5084eef3b5cd9dcec126c853e8d0965534
com.google.apis	google-api-services-driveactivity	v2-rev20200428-1.30.9		3b017bd71ff2d874c1a4d1c85a2a9fd7fa8d0e88
com.google.apis	google-api-services-driveactivity	v2-rev20200801-1.30.10		106c3e7e47dfbd9955e95635e13d11f6f25e3595
com.google.apis	google-api-services-driveactivity	v2-rev20200801-1.31.0		c4e55d1868d647350ee276dc71a142ca1755a617
com.google.apis	google-api-services-driveactivity	v2-rev20210310-1.31.0		19fcd1fb10fcfb1515bf3d1dfc5410dc0050edba
com.google.apis	google-api-services-driveactivity	v2-rev20210319-1.31.0		a213cf0ab7984fa2b22691f4091a97afd56366cd
com.google.apis	google-api-services-driveactivity	v2-rev20210319-1.31.5		eeb24e5cc80d0562e98da243cfc3d1d337186396
com.google.apis	google-api-services-driveactivity	v2-rev20210319-1.32.1		16a1fc97206ae1728a3e1caa6fb6137cf58aa307
com.google.apis	google-api-services-driveactivity	v2-rev20210319-2.0.0		e6c2931676b94939bcd5f29792c3fc5469b26561
com.google.apis	google-api-services-driveactivity	v2-rev20220926-2.0.0		5bad8e09a003dd596bff482890117544e7af8d8d
com.google.apis	google-api-services-driveactivity	v2-rev20221218-2.0.0		050a089839d0491bfe01009dcb2e106de25f5e86
com.google.apis	google-api-services-driveactivity	v2-rev20230110-2.0.0		99d60baab5966352c31436df8e95ca7340c79590
com.google.apis	google-api-services-driveactivity	v2-rev20230205-2.0.0		af42705393ae3436217bfcb652dd3c34ed2ace8b
com.google.apis	google-api-services-driveactivity	v2-rev20230704-2.0.0		490f016c04b6448af6498c4ee7f3280f78ff4401
com.google.apis	google-api-services-driveactivity	v2-rev20250329-2.0.0		b6c5a2237717a75dd09d0a6d56a65cf37d15723e
com.google.apis	google-api-services-driveactivity	v2-rev4-1.18.0-rc		d013a04868e70096e72ba5aedd63ea6a982ccdeb
com.google.apis	google-api-services-driveactivity	v2-rev4-1.22.0		b0b0e86178c9b1df24da89ebe14a9718c38051e9
com.google.apis	google-api-services-driveactivity	v2-rev4-1.23.0		089f5f88a05ca3f1e507054a190767867183f158
com.google.apis	google-api-services-driveactivity	v2-rev4-1.24.1		739e9e8c8731aaffbf1899e020d25808923df39c
com.google.apis	google-api-services-driveactivity	v2-rev4-1.25.0		68d51fd94abb4fae444528245d3d09b4bd97fe4c
com.google.apis	google-api-services-driveactivity	v2-rev40-1.18.0-rc		6ffc97e48620707460e30e6f0bb772d17ca626a8
com.google.apis	google-api-services-driveactivity	v2-rev40-1.22.0		4308e9487d140d70b43cf4a8df7fbaa286c0d25b
com.google.apis	google-api-services-driveactivity	v2-rev40-1.23.0		7767e783339b292cbf740b961536fa720a5cc968
com.google.apis	google-api-services-driveactivity	v2-rev40-1.24.1		5293cbe862e7390ead459676f0dc1fd30a16053f
com.google.apis	google-api-services-driveactivity	v2-rev40-1.25.0		c844bbbc326d14a5f931f16ddc774a3fea8e883d
com.google.apis	google-api-services-driveactivity	v2-rev41-1.18.0-rc		7f3dbfa1ebf74060499dadd5b38a211b11775a4c
com.google.apis	google-api-services-driveactivity	v2-rev41-1.22.0		8fb5b260114f151c0d6a547b525c111653d584cd
com.google.apis	google-api-services-driveactivity	v2-rev41-1.23.0		8f9285c587ce2e5c8359078ecba57635577f872b
com.google.apis	google-api-services-driveactivity	v2-rev41-1.24.1		5256b7be1160e90fba49f3bdf7a136df915cd77b
com.google.apis	google-api-services-driveactivity	v2-rev41-1.25.0		0f91e07af8c91519f92020483912e715dcede555
com.google.apis	google-api-services-driveactivity	v2-rev42-1.18.0-rc		a855b3b7b6833fccd125f7177d8b38d2785481a8
com.google.apis	google-api-services-driveactivity	v2-rev42-1.22.0		4fc55448be752eaadb8401231e00a715ed9bd161
com.google.apis	google-api-services-driveactivity	v2-rev42-1.23.0		439e08e5ead8e4483b35edfddbf1f43ef5c4dfac
com.google.apis	google-api-services-driveactivity	v2-rev42-1.24.1		7ab99e5bfd9f3ec4cb4638c3b8eacfd50316152d
com.google.apis	google-api-services-driveactivity	v2-rev42-1.25.0		9f36e131688f6a27c11543e73d8e16d81033ac21
com.google.apis	google-api-services-driveactivity	v2-rev43-1.18.0-rc		ac62762bc3cec2475ad3a13da92ec1276c6c9155
com.google.apis	google-api-services-driveactivity	v2-rev43-1.22.0		8fa1af9544ed4b7857c2b6158a6e5032163e7dc9
com.google.apis	google-api-services-driveactivity	v2-rev43-1.23.0		8a65cb4845f080462308cd0c097c76f58c9e9df0
com.google.apis	google-api-services-driveactivity	v2-rev43-1.24.1		2e22192731b95d2c717953ba795b0deacb30841e
com.google.apis	google-api-services-driveactivity	v2-rev43-1.25.0		eb8e2cbef559b1c4eb0b9a34cee923c9ff54f6e9
com.google.apis	google-api-services-driveactivity	v2-rev44-1.18.0-rc		03dcaf03c32b2714e03a75d4989b64d00b3a7645
com.google.apis	google-api-services-driveactivity	v2-rev44-1.22.0		574bd36ad868e6666e4b153221ee8f16b71d7c06
com.google.apis	google-api-services-driveactivity	v2-rev44-1.23.0		ad86c0f8129bf99bfc6de6db2cb1e4d5818ecf20
com.google.apis	google-api-services-driveactivity	v2-rev44-1.24.1		cfb0f03d6d7d708bfd45f1c4117f1e3fad9dfac1
com.google.apis	google-api-services-driveactivity	v2-rev44-1.25.0		4b2542e0207aecbb843b27b634f10e8b213608b8
com.google.apis	google-api-services-driveactivity	v2-rev45-1.18.0-rc		a3e09b8e7f52c42deace792300da67b773dd7e3d
com.google.apis	google-api-services-driveactivity	v2-rev45-1.22.0		cf6da47f6bf67793800240333d563c4e7bfe01ad
com.google.apis	google-api-services-driveactivity	v2-rev45-1.23.0		d7610146d614077ad682ea17611d9949b6437c83
com.google.apis	google-api-services-driveactivity	v2-rev45-1.24.1		6a4b3aa699fe8ecbdd86d35afb8578b221512f0a
com.google.apis	google-api-services-driveactivity	v2-rev45-1.25.0		1a8ab66cc6470d11e536c38921c154325c02138b
com.google.apis	google-api-services-driveactivity	v2-rev46-1.18.0-rc		f3b03b1b6c4d41ef92b119f5838ead2c02c4aa67
com.google.apis	google-api-services-driveactivity	v2-rev46-1.22.0		d0d478c0b5b7c61dfea9488c83b46f67c7c22ec9
com.google.apis	google-api-services-driveactivity	v2-rev46-1.23.0		f37cbfe599895ae7ead8b16d3368e33002599b20
com.google.apis	google-api-services-driveactivity	v2-rev46-1.24.1		cfb98fc4e6e71c2aebfdba9a7c1e280ad922219c
com.google.apis	google-api-services-driveactivity	v2-rev46-1.25.0		8e1d676951e87fa4aa5d8d8c5f34794f279fa9bc
com.google.apis	google-api-services-driveactivity	v2-rev47-1.18.0-rc		9b52f1c20c46f1a7426ac3280523a16c5751fe75
com.google.apis	google-api-services-driveactivity	v2-rev47-1.22.0		f5a1e70f20ea96a5abc77af5ae7e9e5c6b9da471
com.google.apis	google-api-services-driveactivity	v2-rev47-1.23.0		f8acbdfd89d8986b334e424845ab50ccaeee3145
com.google.apis	google-api-services-driveactivity	v2-rev47-1.24.1		20e653a13be6e3755248de15fe339bb5453714be
com.google.apis	google-api-services-driveactivity	v2-rev47-1.25.0		2b6be679ffb746ceaf2d88203a3b9598c4ad00b0
com.google.apis	google-api-services-driveactivity	v2-rev48-1.18.0-rc		217bccab8fe2c299fdf7611049f683f57703a3f6
com.google.apis	google-api-services-driveactivity	v2-rev48-1.22.0		53169e2976ee319276c24a88e53cdff709bc1a08
com.google.apis	google-api-services-driveactivity	v2-rev48-1.23.0		dc60bf9a5d48de50108e4fde3b34bbf4c0bf3eb3
com.google.apis	google-api-services-driveactivity	v2-rev48-1.24.1		fa3cda4d04b62b6f36d6565b1c31a83d7d375d5e
