ai.floom	java-sdk	1.0.0		5a34a162e968506fedd0c5a04bd20465a8aea51b
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M5	plugin	4493ded199dd0ebe298d196b1ebf402288bf6705
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M6		dd02cc134a1e656f5f84da150c2bd932c273e6ab
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M6	plugin	2c81eb79efbaf2277f35dac7bf4ed583cd827c1f
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M7		72aca2b6a0aea0f4aa78c5fe19b1c607ab77421c
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M7	plugin	224694529e5ca116ddff538035849caed1191d87
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M8		62fdfab98d318935d3d1e2500a3bc13c61a51d61
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M8	plugin	7a41e946c1dd442cc067c3cdd5ff96ec34018942
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M9		0545f6521a20f48938670d16cc1356ce1f45df3a
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M9	plugin	5dffc9611ee03ff090095684ce748d3d37f2876f
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.5.0		54d88d04f138900613f86e1c857979b4433ee71f
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.5.0	plugin	2edd97b0ee045bd2a1fa694d0eb32e0ad79e4d59
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.5.0-RC4		a69cd025eedd7f10c41904729166f28d88612a58
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.5.0-RC4	plugin	f9a76a311af9453f67a222c65d034e9d4fae4e2f
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.5.1		0e901abb42cd9894f445c24e5055e0b638caa4a3
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.5.1	plugin	b37af5b28b1d75791ab0d211f8c4719e970e9da6
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.6.0		806cbe041f1c279645e9b75f6870779b5d5bc717
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.6.0	plugin	bf9dada1eb973f80f439c5d04c757354cc10e197
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.6.0-M1		be014af79bc1fe3006a7bce1f4041d8d6c876be3
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.6.0-M1	plugin	86c14e0b85b4ad750502e0695588274f081f0c52
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.6.0-M2		321e8481a457d4c7c6ea1a56883b7e8f1effeb5b
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.6.0-M2	plugin	c65b2a33a47a3aac23b417e2445a38a531b266e7
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.6.0-M3		55d800a0c0bf1ce774039428597bacfc4af77307
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.6.0-M3	plugin	6ecdd4b0c280539d91c1c84febf346fc03b03087
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.6.0-M4		273c1cad8e4498662813a4e21e712c0783e03a0a
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.6.0-M4	plugin	a6dcebcbade37c23414fd89d16621ccca4688317
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.6.0-M5		28eda9f7e1e25d74ffdb417d105cb1ee576d5830
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.6.0-M5	plugin	cce687c4927a22cc4d90e13b930f8975c9b7a53d
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.6.1		2a6d59a5b1d8f81c4c4877db29b825dff13d6c7d
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.6.1	plugin	1adba4fe35c290a5757918bfab091cfefc49a7e3
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.7.0		8a23c9d27a7d0db42e1c0a852b5e48139b3a6da1
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.7.0	plugin	4d017ec2355f70c7dc887c96780a56e172802597
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.7.1		2ccb50c677e495234cb4db07df68f754dd4bd018
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.7.1	plugin	2362c9d912917588a16d4aa172f0360ea775fe6e
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0		09f371465227dcf1c71d43472050e0273b629a4e
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0	plugin	2aac64d2e44a1bc7285f943b7e1a919aa9ace7b7
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M10		94d984b58c96d6a10878036ff9bb4ef053388511
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M10	plugin	0ac51f0ed5890ca0fb48c87007f7f539fcbb8473
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M11		d5ccf14fa7016523200b709924ca00655e49491b
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M11	plugin	394ce466e3b3ff71aa2820368294523837ef9c1b
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M12		8f9b2e149ea31adbaffc14dfaebcade358eaa74d
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M12	plugin	c2f972cbb866cfc7809707c73b93df8d8ed6cd84
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M2		d827761948551e79e1fee463fb41e794fe33e0ff
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M2	plugin	ee1b07ba21a31629b554e5c5bc0aeb13bc41afe7
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M3		7c7fc825db33a17ac6677b04ca889497a8824d2b
