br.com.objectos.sql	parent	0.12.0		N/A
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-225-b526fcd6		26790e3a5ca4260ea76a2719cc9f50daeb02a1b4
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-227-99f4507f		50a75f32838f920318ec4285e5a1d3419bd4ce65
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-229-b7c15aa9		e01b849359d622614906f02312fb1dfb4e85c755
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-235-3231567a		00144c418a976b0456bf0431d01b48b37933f5f8
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-237-80d969bb		26ab99cbd8e06b83f80be003bba78ad1a10f34f1
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-246-6679a3e6		f782d7c440aa14a01aa599d8b1dabe84babdd70c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-255-f36b7482		f8380014c3f31a84b4279f496cdaafd60360bb04
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-257-57a83926		70c88d78a648af527c58dbb6fd0d9f88345a084e
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-56-a2040035		9e4bd5f554875423cfb988c5c18208d2b52e8329
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-58-da3a262c		52cb5b25afd93a4c90906c4659850e220d7b8453
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-60-6b436317		d13a48ad25faaecca5c48c2030ef5681e8603ad1
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-62-d098adda		e96346f3168cf5f6862922810a3b5b62019cda6f
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-64-96c8b667		bb7202036086c4f065fdc2e1f5b71fb077184b93
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-69-693de22a		ed2a1ee9922101be35d6efe43d7f27955295002a
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-74-e0147604		20b1eeb345b2e4240a099006301c53e22ee9b2b7
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-76-1488031d		baeadefb04e45ea3d3ee7058f3abd1cca7db8875
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-87-8f1f8da4		b2f59e488a3556614812301fe073e5f9da116e6a
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-90-70cfd9e2		8b46692cc0d7ee022d613e1daf526ab89211b747
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-92-d7fcc77d		4036f97c4ec5e86b361307371413f8ea6b979cc6
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-94-a2be783d		7cf655030d8457f6229fb4dcc5f2d2a23ce0dde8
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC2		cc14546be7625dc6141f0af07e8420e59e5b8215
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC3		7fafd026216b68b5d4f207318544c8d7c2b3f1e0
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.1		a8628edf9dcf153579c615c7d79e5aedcf34e93c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.1-46-4d3ee37a		c58bc91b145ab06f1031169ae11917ce522c33a7
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.10		a53bbb0e599c7ef4268a43f1c682976297bcf310
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.10-10-7dffd83b		6dfdcf2a36b2764a86fb64ffb4f77a787be43ee5
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.10-12-b94d2345		fdd8e19cc28cc83a81a44fa53eb495f0a742b424
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.10-14-f51f591b		96c8a6fd9faf996a5005594d115a3a52b39aca02
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.10-16-c483ea30		361a9fca512956a27aab84f9dfcb339a6020884c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.10-18-e2e6ede8		de72d71b1fd751f8936273cef4603052983c785a
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.10-2-ba9c7f8d		01c17c0bead709ac33cf58b176921da8f36d94ec
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.10-20-12cca3a6		b55e3f9d4b626eec8f2c9c5e4a5ac1e89f04ccc0
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.10-4-34cd1617		57a644837a1f7bf9e2d1f0f97d08bfe7128a35b2
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.10-6-f1b48952		2627d8b96f8d6d6aa62798ce66144426fc61c3bf
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.10-8-8d1cbc4f		a593f79e9752b4a32cdf1fbf61b7ca93429b44e2
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11		894f41b4b564a25ab0c7d0e79e7a7d427bafd9d8
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-1-01ae12f6		2b88c219b9f921681ba9ee9f28556b9b1bdf4c6f
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-11-d1e85e0b		88056253a27f981554c4e4c3cdaf1220bc558d39
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-13-95157dbf		2cc4d125af9fbb1adbf331dec3f556034c71f161
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-17-f4ef8273		9334c393f999cd44158cf97ec9feb22136a6e8c3
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-19-93ebe2c6		0ca5ed68f8f14b60af0dfe2f0a85b5e0c11a7599
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-28-dd429fcb		517399a6895ff36fefc217dfcfddc2c59019030c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-3-4318252d		32c0e9dddd10822e97498262d9595d016972c207
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-30-75fb3441		925de690ed30688fb10f3eaef8a1699584c62fe4
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-32-df7ed99e		ae8d2aa0c156c681ab1fefde2b25373cfe52d798
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-34-9e5d2075		20b2b23f1808fb53f0c144f0795df4ffe05f6692
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-36-36888397		7e045a50a8222e01bd81061606194adbe7c9f8ca
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-38-053cdea7		7eed546ac1e77fd74d518976254b164c3521ce2c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-41-810654d1		d9a1693b41175f49034ff356728fa713b6a7ab32
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-45-623bf486		2f36d2bafe8df5acb9d0a6127756886b6ce82edf
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-47-b6175e43		941cb5aae8af35ddfe8a4df51242413fbde05fca
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-49-5535314b		e5ac42917e394706f7386aa5f1644e1fa39e1680
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-5-c84c34d7		e624d6d6f7bb23f84c8162b9b26283b2835607ee
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-51-ac1d788a		2c8f59c2759049a0afac99afcbbdc0ec28ab5790
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-53-ee093a60		77d6ae946b0ad5f94d7e0b4db7e26e4270f872bb
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-7-ffffbb2f		afe522d982f6179fc453636b182377189eec5be6
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.11-9-827a32e7		58f7a03575dafe0a22b3fc4d56d9fcad6fbc621b
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.12		e3992f696aa172a50c19c2955888d8685ad290fd
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.12-10-46c598d0		751127e9d8c5220df53d4eff7d4e6b1bea954071
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.12-14-2cef762b		18ea31370815bc1d6713c26e5c89c4868cacce5f
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.12-16-373bc94e		efa409bcc5694f8e2f850d36246d58c7d2a6ff6d
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.12-18-a8c876fa		c441eb8d603daadd5a79f7d99da169d2812aab0d
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.12-2-2721355b		ce8f7e8117c05434c18cd078d4eaaa50a013cab7
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.12-20-cc0f72c8		bbc866ba4d0e1d4dfa8d5c40efbf3e4d6c10616a
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.12-4-b38916d2		909bba07167f55e3871ad2a8dcaa048cc097d5ce
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.12-46-0dc735af		f2d98d16c1147f0e9821211ab22d0e4b90d7d331
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.12-48-81973d63		40800b7f1ba7aad594e4aee6fc3ddb89e0459741
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.12-6-1261d1aa		e0bf7b0598818cf30d54bdce703137d3c23b3765
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.12-63-858a5944		6f823e592e3906a0e3c68415f0ac0676a2ac5d14
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.12-69-12bdc7f9		2098574330909c7e2823388e310b6eba5bd73266
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.12-8-50cc7dc0		bd224dedbe7529c52f4e2941b382a38cee19c66d
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13		7e17a3dff01b61208795cb0634b6610e28270680
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-12-6d14a532		c366e28d0b1e1a9d05452f53060431b01575d6d5
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-14-4b53ae05		ab027487b12045efbcb6ce489e890fb0b82bc95d
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-16-15c71fe5		c2222fcb0da619e6a45f19ae21f21e5c5f15fa32
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-18-3cc4983b		6d4b9235b5491116977fe3750b87296f1eb0d5e2
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-2-c3139cab		66ddd9910564ec09bf4bbeec41e9fdb96c160059
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-20-5ae9868b		bdc7ebb865f87df78de45dc3c0a4d8c55967bf20
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-22-3cdfa19f		fa52f50063a4d69a3984a205ed6437e7aab8add6
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-39-b0716798		70b737fb06833fbd6bf122697c341c389a50c816
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-41-af59e70a		ecf65c5b8b139e11f31a04cb2d39ca3a55f5b4f9
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-42-1b6633ae		edf49230a87da026edee3084c32524624266b95a
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-43-2580f21c		700be9319d22760b265bdcc747ed24a9cecb02b4
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-45-7848b602		a438d5cace689a896d86a429a1a6ce8cf57f2894
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-47-46c03349		22349680966bfd6f8a16a6f4c3a20a4db4348186
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-48-a9b3ea59		8bbf074af5fed774100fb793d1e47a04a80f4bd9
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-50-8332ee9c		e78fcf52f6db10ba5691dde7d950c05324ac4d92
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-53-823cde49		437db4df13ed8f5e245d907bbe181074541f5fab
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-55-1fc97fae		658fad1c8baf310ed133d4fd93e943b3a4cfe1fa
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-57-5c286956		f41acdf052163d7c2d13a1bafbbfea6ae296ca6c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-58-ebf0cf42		ad5e7c4384538a887a94e4f5752e115164ea54a6
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-6-7f377e9b		420134834a8edd2022403eee35e41243fd9fb244
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-62-29904e14		3e5a9564874c43e5fb8623a67b751f7cead4e247
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-64-4e5281cb		9d8974f986d91d17242cdc7fd66dfc2b4b1f7263
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-66-fa868362		a975e730811b8f3e12f2ffe7a6dd3136111fd05e
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-67-aab21b15		8abf449447557fbac8963dff4edaa25723dec495
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-69-805134a0		01c6e0b763cdadd923cf16a565f588939a578f85
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-70-d6f16202		3971cb0899906851de90f36279d872d0118b4d72
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-72-bfcb7098		697540bd59c65fe369a6cadb31d8f2d55761ac1c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-73-3cdeef0c		ba058593e106f7e808726d3b4812b82d70a9a61c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.13-75-f9d1bef5		f31babef6f5482d8587190244bb1373ca73e65ab
