be.siteware	excelprocessor	1.0.4		2a3c7a0e14237cf2b6bc72709766b1eca60c5052
com.github.mvysny.vaadin-groovy-builder	vaadin-groovy-builder-v14	0.0.7		8729fe06d6a5ad1469c7177af8317685e4788370
com.github.mvysny.vaadin-groovy-builder	vaadin-groovy-builder-v14	0.0.8		d956575fb638232b4718a0c9ca0ba8f3a655610a
com.github.mvysny.vaadin-groovy-builder	vaadin-groovy-builder-v14	0.0.9		c9b0a8e2925dc87c5f43159a329fc1ec97a5722b
com.google.cloud	google-cloud-iot-bom	0.116.0-beta		N/A
com.google.cloud	google-cloud-iot-bom	0.117.1-beta		N/A
com.google.cloud	google-cloud-iot-bom	1.0.0		N/A
com.google.cloud	google-cloud-iot-bom	1.0.1		N/A
com.google.cloud	google-cloud-iot-bom	1.0.2		N/A
com.google.cloud	google-cloud-iot-bom	1.1.0		N/A
com.google.cloud	google-cloud-iot-bom	1.1.10		N/A
com.google.cloud	google-cloud-iot-bom	1.1.11		N/A
com.google.cloud	google-cloud-iot-bom	1.1.12		N/A
com.google.cloud	google-cloud-iot-bom	1.1.13		N/A
com.google.cloud	google-cloud-iot-bom	1.1.14		N/A
com.google.cloud	google-cloud-iot-bom	1.1.2		N/A
com.google.cloud	google-cloud-iot-bom	1.1.3		N/A
com.google.cloud	google-cloud-iot-bom	1.1.4		N/A
com.google.cloud	google-cloud-iot-bom	1.1.5		N/A
com.google.cloud	google-cloud-iot-bom	1.1.6		N/A
com.google.cloud	google-cloud-iot-bom	1.1.7		N/A
com.google.cloud	google-cloud-iot-bom	1.1.8		N/A
com.google.cloud	google-cloud-iot-bom	1.2.0		N/A
com.google.cloud	google-cloud-iot-bom	1.2.1		N/A
com.google.cloud	google-cloud-iot-bom	1.2.2		N/A
com.google.cloud	google-cloud-iot-bom	1.2.3		N/A
com.google.cloud	google-cloud-iot-bom	1.3.0		N/A
com.google.cloud	google-cloud-iot-bom	1.3.1		N/A
com.google.cloud	google-cloud-iot-bom	1.3.2		N/A
com.google.cloud	google-cloud-iot-bom	2.0.0		N/A
com.google.cloud	google-cloud-iot-bom	2.0.1		N/A
com.google.cloud	google-cloud-iot-bom	2.0.2		N/A
com.google.cloud	google-cloud-iot-bom	2.1.0		N/A
com.google.cloud	google-cloud-iot-bom	2.1.1		N/A
com.google.cloud	google-cloud-iot-bom	2.1.10		N/A
com.google.cloud	google-cloud-iot-bom	2.1.2		N/A
com.google.cloud	google-cloud-iot-bom	2.1.3		N/A
com.google.cloud	google-cloud-iot-bom	2.1.4		N/A
com.google.cloud	google-cloud-iot-bom	2.1.5		N/A
com.google.cloud	google-cloud-iot-bom	2.1.6		N/A
com.google.cloud	google-cloud-iot-bom	2.1.7		N/A
com.google.cloud	google-cloud-iot-bom	2.1.8		N/A
com.google.cloud	google-cloud-iot-bom	2.1.9		N/A
com.google.cloud	google-cloud-iot-bom	2.10.0		N/A
com.google.cloud	google-cloud-iot-bom	2.11.0		N/A
com.google.cloud	google-cloud-iot-bom	2.12.0		N/A
com.google.cloud	google-cloud-iot-bom	2.13.0		N/A
com.google.cloud	google-cloud-iot-bom	2.14.0		N/A
com.google.cloud	google-cloud-iot-bom	2.15.0		N/A
com.google.cloud	google-cloud-iot-bom	2.16.0		N/A
com.google.cloud	google-cloud-iot-bom	2.17.0		N/A
com.google.cloud	google-cloud-iot-bom	2.18.0		N/A
com.google.cloud	google-cloud-iot-bom	2.19.0		N/A
com.google.cloud	google-cloud-iot-bom	2.2.0		N/A
com.google.cloud	google-cloud-iot-bom	2.2.1		N/A
com.google.cloud	google-cloud-iot-bom	2.20.0		N/A
com.google.cloud	google-cloud-iot-bom	2.21.0		N/A
com.google.cloud	google-cloud-iot-bom	2.22.0		N/A
com.google.cloud	google-cloud-iot-bom	2.23.0		N/A
com.google.cloud	google-cloud-iot-bom	2.24.0		N/A
com.google.cloud	google-cloud-iot-bom	2.27.0		N/A
com.google.cloud	google-cloud-iot-bom	2.28.0		N/A
com.google.cloud	google-cloud-iot-bom	2.29.0		N/A
com.google.cloud	google-cloud-iot-bom	2.3.0		N/A
com.google.cloud	google-cloud-iot-bom	2.3.2		N/A
com.google.cloud	google-cloud-iot-bom	2.3.3		N/A
com.google.cloud	google-cloud-iot-bom	2.3.4		N/A
com.google.cloud	google-cloud-iot-bom	2.3.6		N/A
com.google.cloud	google-cloud-iot-bom	2.30.0		N/A
com.google.cloud	google-cloud-iot-bom	2.31.0		N/A
com.google.cloud	google-cloud-iot-bom	2.32.0		N/A
com.google.cloud	google-cloud-iot-bom	2.33.0		N/A
com.google.cloud	google-cloud-iot-bom	2.34.0		N/A
com.google.cloud	google-cloud-iot-bom	2.35.0		N/A
com.google.cloud	google-cloud-iot-bom	2.36.0		N/A
com.google.cloud	google-cloud-iot-bom	2.37.0		N/A
com.google.cloud	google-cloud-iot-bom	2.38.0		N/A
com.google.cloud	google-cloud-iot-bom	2.39.0		N/A
com.google.cloud	google-cloud-iot-bom	2.4.0		N/A
com.google.cloud	google-cloud-iot-bom	2.40.0		N/A
com.google.cloud	google-cloud-iot-bom	2.41.0		N/A
com.google.cloud	google-cloud-iot-bom	2.42.0		N/A
com.google.cloud	google-cloud-iot-bom	2.43.0		N/A
com.google.cloud	google-cloud-iot-bom	2.44.0		N/A
com.google.cloud	google-cloud-iot-bom	2.45.0		N/A
com.google.cloud	google-cloud-iot-bom	2.46.0		N/A
com.google.cloud	google-cloud-iot-bom	2.47.0		N/A
com.google.cloud	google-cloud-iot-bom	2.48.0		N/A
com.google.cloud	google-cloud-iot-bom	2.49.0		N/A
com.google.cloud	google-cloud-iot-bom	2.5.0		N/A
com.google.cloud	google-cloud-iot-bom	2.51.0		N/A
com.google.cloud	google-cloud-iot-bom	2.52.0		N/A
com.google.cloud	google-cloud-iot-bom	2.53.0		N/A
com.google.cloud	google-cloud-iot-bom	2.54.0		N/A
com.google.cloud	google-cloud-iot-bom	2.55.0		N/A
com.google.cloud	google-cloud-iot-bom	2.56.0		N/A
com.google.cloud	google-cloud-iot-bom	2.57.0		N/A
com.google.cloud	google-cloud-iot-bom	2.58.0		N/A
com.google.cloud	google-cloud-iot-bom	2.59.0		N/A
com.google.cloud	google-cloud-iot-bom	2.6.0		N/A
com.google.cloud	google-cloud-iot-bom	2.60.0		N/A
com.google.cloud	google-cloud-iot-bom	2.61.0		N/A
com.google.cloud	google-cloud-iot-bom	2.7.0		N/A
com.google.cloud	google-cloud-iot-bom	2.8.0		N/A
com.google.cloud	google-cloud-iot-bom	2.9.0		N/A
com.healthy-chn.cloud	healthy-common-model	1.3.6		969a5c66184a3d17f4f317ba11a0d14c2bc95294
com.healthy-chn.cloud	healthy-common-model	1.3.6.M1		d32c67964d29ae35b604589e8355aaea6cd33acb
com.healthy-chn.cloud	healthy-common-model	1.3.6.M2		6ac5f9dae84b6a4f025299bce9a71b03df0f9425
com.healthy-chn.cloud	healthy-common-model	1.3.6.M3		ff2bae4687a6bcbe04c8a599c866b9c4ee4f9253
com.healthy-chn.cloud	healthy-common-model	1.3.7		cfb011f78f87f8ec766c7b05f11432213988463c
com.healthy-chn.cloud	healthy-common-model	1.3.7.M1		5b7301be1f41e1539d4e5505d7d5ab2f1f137037
com.healthy-chn.cloud	healthy-common-model	1.3.7.M2		bbfc970ef9ab2bdf8c7f0342684d951d22d2221b
com.healthy-chn.cloud	healthy-common-model	1.3.7.M3		9d431d20da19b703e16f0b9a801a3224b36a9501
com.healthy-chn.cloud	healthy-common-model	1.3.7.M4		9f286032b31d4cbf693112e17be5756083e987f7
com.healthy-chn.cloud	healthy-common-model	1.3.8		208216475e767e1b0812195cac1b5911cc4557e8
com.healthy-chn.cloud	healthy-common-model	1.3.8.M1		c8f8342a59ec7f8bcb6908530925206a08ae89ae
com.healthy-chn.cloud	healthy-common-model	1.3.8.M2		2374b210c148bfb68c01d939483c8e71db83df37
com.healthy-chn.cloud	healthy-common-model	1.3.8.M3		bc056fc2cdd878060e5e54b58b0e12ca31aa6e6f
com.healthy-chn.cloud	healthy-common-model	1.3.8.M4		35732de91ca2381c3c52fb56ecabe18a9ba44e49
com.healthy-chn.cloud	healthy-common-model	1.3.9		ac4bdbfe87e76d8f003c3d3e75e41975347293b0
com.healthy-chn.cloud	healthy-common-model	1.3.9-M1		4a8326df07325abdbad21b82d3f794d403ad0478
com.healthy-chn.cloud	healthy-common-model	1.3.9-M2		46ef8b43a6e433d1dfd70ebc75b8681d9edfe81f
com.healthy-chn.cloud	healthy-common-model	1.3.9-M3		edd709c92b63a4fcd790a405416aa9eec4197000
com.healthy-chn.cloud	healthy-common-model	1.3.9-M4		3f4d2168a83b88c98443b8c0241fdabed893d76b
com.healthy-chn.cloud	healthy-common-model	2.0.0-M1		4a011c9dca5c62b1c73151d595ec36e22c7d1dff
com.healthy-chn.cloud	healthy-common-model	2.0.0-M2		6efcad1a2206bc0602c569532fc01c6cce2c92aa
com.ibm.mdfromhtml	MDfromHTMLBase	1.0.0		fa203d0586592af760cfb0d3ad4a3f613bf6447d
com.ibm.mdfromhtml	MDfromHTMLBase	1.0.0	jar-with-dependencies	ab3677cd2e978fb46b2fbd48333c1802b1ba7113
com.ibm.mdfromhtml	MDfromHTMLBase	1.0.1		3ecf7ea87ffcb6b4199b5dcbb24cfb5e0e36f8c5
com.ibm.mdfromhtml	MDfromHTMLBase	1.0.1	jar-with-dependencies	71f69d662099fe14a18dcf8d0c217bc291657eb9
com.ibm.mdfromhtml	MDfromHTMLBase	1.0.4		00291d41d1cdd0ade648158f9e4bab4897690ca8
com.ibm.mdfromhtml	MDfromHTMLBase	1.0.4	jar-with-dependencies	7a3629c62b542259c82c365123a7f460801c7297
com.ibm.mdfromhtml	MDfromHTMLBase	1.0.7		762d27d0ee935ab101911ee9ac422decf5c95ebc
com.ibm.mdfromhtml	MDfromHTMLBase	1.0.7	jar-with-dependencies	899fb39bc2d951f2a181076d20293fcb4e2344ce
com.ibm.mdfromhtml	MDfromHTMLBase	1.0.8		8169df1c2e3b3974cac786561fa29b9ca1b24407
com.ibm.mdfromhtml	MDfromHTMLBase	1.0.8	jar-with-dependencies	5bdafe018d5b5f7d034177313506749621caec7c
com.ibm.mdfromhtml	MDfromHTMLBase	1.0.9		1099b7b8b49449ed91eb06018805326618dacfa0
com.ibm.mdfromhtml	MDfromHTMLBase	1.0.9	jar-with-dependencies	50a70dc37b18df1d13d9cb090429332fe19688e3
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.0		19e48125c236012907c02b9c94fa56bc772e9add
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.0	jar-with-dependencies	1939506075e3255d9b14914c90e18fd17feacfe6
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.1		32514265e35f147bac9d0ffe75af6237292b6c86
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.1	jar-with-dependencies	3a0a1e3a43e87d6f05f032eaa05171bdf8e2fc8a
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.2		8faf07fe21d754a1cfca0d30986e46677468d22b
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.2	jar-with-dependencies	23c31b151f8dd91a3bbd76b789c11827127540f2
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.3		48456218ea2b266f887a902c6f9c7afe6040362f
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.3	jar-with-dependencies	44d8e0db8f1c7460033c8e1a878986e8ed3eeb92
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.4		ae94c969382a322ca8430ef55cbabc7b3f23dc10
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.4	jar-with-dependencies	d2651f8ebadf8e08fb913fec7ede3fa0da8894df
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.5		3f1c44442967534cc9cef69f87799c3243a1a841
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.5	jar-with-dependencies	f11ea71974a765a5ed87f47c39b6f73b1368dcc0
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.6		06b40a7e9519426e3b554f9fae057ea471a7d2fe
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.6	jar-with-dependencies	de7be9cd2401d43ceda951110e22cfc9a2a06ae4
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.7		023b19d066dc6b8984d777a8b4e089f2bca39166
com.ibm.mdfromhtml	MDfromHTMLBase	1.1.7	jar-with-dependencies	c32292e1a8929a32f71238da284cf18207aab776
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.0		7139901dd90eca8b63458ed5a3786e656bd9a4c7
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.0	jar-with-dependencies	e1f38c2e8aaa0cb54385fde687cabbfebc1c9462
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.1		656027f87ec692c25912533eb3f3292b12648c5d
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.1	jar-with-dependencies	576fa6b5c73705706f2283739856abdc21b7eaac
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.10		d4f7fa418a7e1d3a405a1e22a494360c2d81f2e3
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.10	jar-with-dependencies	416b52e715ee7e4b2ebdcc14163c124325134bd9
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.11		1a758011d16bef1c870548bd4cd6f2552010c760
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.11	jar-with-dependencies	287ed7c747ea906744077149fe6d3bd689586550
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.12		3ff6af8b783f76dfdda3bdeb44857276525bf128
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.12	jar-with-dependencies	9a3bf551f8c9d3e797968112202ce7ca33d4555b
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.13		dc19ba38fffbdc09fa89e61a0010149e3d894002
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.13	jar-with-dependencies	48520fa1cdfd028ea4826fc26b925622cc2cdfdb
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.14		9363ff2e4622ceb3adcc00069ccb0dbbd9015ff3
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.14	jar-with-dependencies	b3a8a4f1d449485f1f091eec24da04ecb7875623
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.15		a1979a3b79640e427aa54124cc941bee1c23ba52
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.15	jar-with-dependencies	ecf1f4f4ad858ef53f3e373f9a0fcdad2a00a5f0
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.16		78b3033633a235294c2b245c34d7684d09456ee2
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.16	jar-with-dependencies	bab00b904c9db7f355f4b8f829569636ab9b6702
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.18		3d32ca464708b586f360c151016e336be9a520f7
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.18	jar-with-dependencies	d8ccc0b5a27445f52ce2214bcd8967d1859bf6cd
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.2		7478dd0dbd5d8cd49e770d8d81b47bafd7021c4e
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.2	jar-with-dependencies	0b4e1efd8b764dbef76b63c37406dc4fb17ad7ac
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.3		535cd406aa68776c1565da5ea901eb1b66633c23
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.3	jar-with-dependencies	f956c73f4ba38ddce4db8c42a90ecec92cfc39d5
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.4		2445d36aa5d98ecf3308edddeb282e2fb6ed1340
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.4	jar-with-dependencies	7421b7a8c09c5389018ecf2b64e7798ff759bcb1
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.5		2e54a6c16fb0a316f934d12c3f40e48e476d459a
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.5	jar-with-dependencies	a99aa04142efd55d3916dd1683eab0dda0131b91
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.6		2559484a05ffbad61b78626d8f0586c3ba67b781
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.6	jar-with-dependencies	7304dd9b0231f8ebc73c116761fa5aa35d02c8a1
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.7		e6e85b1e6154d937c6f7f8f673c4963a14a01886
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.7	jar-with-dependencies	7da00188c51ec4834990c7641a0aaf9e0a9e6efa
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.8		964d1e9c08ff2a393b5764488abe1dd54e878485
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.8	jar-with-dependencies	ed4bbbe5862e32e6976e7c83fb5b5f609a949fad
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.9		d78eed80a2cfbacaa92d913f8aab51dbc9685e22
com.ibm.mdfromhtml	MDfromHTMLBase	2.0.9	jar-with-dependencies	dd03575af7c6c5bbf25f281fc2d24f5fb7f05d63
com.julianpeeters	dc10-scala_native0.5_3	0.8.0		a256692d1ee4b9421aae654008fdeb18d21dc203
com.julianpeeters	dc10-scala_native0.5_3	0.9.0		dc79471e60eb34642af7abefe3002269d1de70d2
com.lessvoid	coregl-utils	2.0.0		a0e610a3162d02ecf718a033e9bf3e9345f5e505
com.linkedin.zoie	zoie-solr	2.5.1		1ae953acbb136c3f2304f415c9ce9445b397b013
com.linkedin.zoie	zoie-solr	2.5.2		26d8ba13b95ede0879a97fa0eb00bc88378cfcc8
com.linkedin.zoie	zoie-solr	2.6.0		731bb6d0ec97ed7a9d6d663bf165050297001a91
com.linkedin.zoie	zoie-solr	3.0.0		e2f122ab45a68de8abd9ee130b8a70ef51c253ae
com.linkedin.zoie	zoie-solr	3.1.0		4462eea73e7a1bf5bbd0e2ffc1f602b03dc5b768
com.linkedin.zoie	zoie-solr	3.2.0		2da5f60ac24a582d638a1ae50d3bfb4cb87e2204
com.linkedin.zoie	zoie-solr	3.3.0		39e6017be4161951dd246933d5423402981dfa6f
com.mayakapps.rwmutex	rwmutex-androidnativearm32	1.0.0		N/A
com.megatome.knowndefects	knowndefects	1.0		b9c246c8b5124e8435f3e390080e019ab71fcbc4
com.megatome.knowndefects	knowndefects	1.1		c3664acefaebda36e9bee230747bd79368ea6bab
com.orendainx.hortonworks.trucking	commons_2.12	0.5.0		633dc911226bd4aec4adbcbf10c8e34a65c4c704
com.propensive	probably-cli_2.12	0.3.0		a2ae0ab8f23f9721ee8e915c99e00f03945b3452
com.propensive	probably-cli_2.12	0.4.0		f12ddb05f4b734f0ebe3ceaaa658faee7c5a28a3
com.propensive	probably-cli_2.12	0.5.0		30cc0b40f47322fd6e7a21c87fccd9fd0bb16b1e
