ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191125-a64725c-NIGHTLY		de1ab196c2e3e36011ed9158344cfe0f04c9fbd7
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191126-4237152-NIGHTLY		28b3c2805cbbc6b8e30b6716dfb8c85c073820fc
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191127-f1c701e-NIGHTLY		c51e3a758fbc3b0505994bfa7802e073eac5a086
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191128-6ae3df2-NIGHTLY		c14af6bbf72743afb4080d263272a8080fdbb866
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191129-4adc435-NIGHTLY		8ed174ef5b52f288831f1f4518e2dc3b9eaeb90e
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191201-65a404f-NIGHTLY		e7b58489890e134047e85028cd735e34bc0c9c0b
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191202-ccb7b13-NIGHTLY		bbf0864d29d6fcb31374b811bc890eed5664133d
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191203-c900e88-NIGHTLY		b3bb03d835fddd9138c3ccbbffb815ccab57bbed
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191204-5a695a5-NIGHTLY		4d60c28e05395f0ebe4761e08fdbf40df3c47fcd
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191205-0a33ad3-NIGHTLY		437131b82492e423cb4de5d6156b2ad0a9abc148
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191206-d3a2d61-NIGHTLY		c988941a625e9e8cc5a6f092cd90a4cda2232270
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191208-122d759-NIGHTLY		e1161a0cabd335d9bb74b2b809b474ce420ed751
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191209-0e761ea-NIGHTLY		0bc466cf6a75d64151081d0ad475a22897bae7bb
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191211-731ee3c-NIGHTLY		d1d4c8b585f6d3e353732cbd767d1f5313109662
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191211-9bad8bc-NIGHTLY		1304baa52996c9f4351e3e872d63c4948f4382b4
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191212-debe978-NIGHTLY		8d0e33c87c705ef97b305bf663473d11ac483525
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191213-3130729-NIGHTLY		b0c978efff92b9e81b324cd3cb98ab3e1f66759d
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191215-2d2d3c0-NIGHTLY		226ad993181fdac62456609b545b0b28c87d3190
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191216-2828fcf-NIGHTLY		e6e2d96cc1b2dffa9bdb854b51fec3559b38e25f
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191217-fa9a48e-NIGHTLY		3871916f657887ed604f151485f418fa45be5d17
ch.epfl.scala	migrate-core-interfaces	0.3.1		27bdf0f74ec3a3b09030e02b0a43a45cd08d1e1e
ch.epfl.scala	migrate-core-interfaces	0.3.2		3ae00e4dc721943976aff20cb20aa092c298b02d
ch.epfl.scala	migrate-core-interfaces	0.3.3		119c0813a4ae25349babb697f92187c7795a4472
ch.epfl.scala	migrate-core-interfaces	0.4.0		bcae7491cfffe4f141b7ae004a63c34da3efef2f
ch.epfl.scala	migrate-core-interfaces	0.4.1		33bf77a4178953987bfd1fdb9c1a782e43df0456
ch.epfl.scala	migrate-core-interfaces	0.4.2		78fa4346a132ceb1fef8c0eb8422191ea40854df
ch.epfl.scala	migrate-core-interfaces	0.4.3		97c7e433ef7ffd3c18ea892e52b8a3f1220ad48c
ch.epfl.scala	migrate-core-interfaces	0.4.4		db4b681a0c03f538a1eaccf0c082ab9d743243d6
ch.epfl.scala	migrate-core-interfaces	0.4.5		22a6a91f0cb12082d0137f21041d5a6d40040710
ch.epfl.scala	migrate-core-interfaces	0.4.6		ae4484331d62d84377b1e85e4186a2148f4cf2cf
ch.epfl.scala	migrate-core-interfaces	0.5.0		4cfd764ca189fa294fc4fb272f74eb6b220ce776
ch.epfl.scala	migrate-core-interfaces	0.5.1		216590466892ce7ef7a7c3a2fb198dbfede3f1a9
com.aizuda	easy-retry-datasource	2.2.0		N/A
com.aizuda	easy-retry-datasource	2.3.0		N/A
com.aizuda	easy-retry-datasource	2.3.1		N/A
com.aizuda	easy-retry-datasource	2.3.2		N/A
com.aizuda	easy-retry-datasource	2.4.0		N/A
com.aizuda	easy-retry-datasource	2.5.0		N/A
com.aizuda	easy-retry-datasource	2.6.0		N/A
com.aizuda	easy-retry-datasource	2.6.1		N/A
com.aizuda	easy-retry-datasource	3.0.0		N/A
com.aizuda	easy-retry-datasource	3.1.0		N/A
com.aizuda	easy-retry-datasource	3.1.1		N/A
com.aizuda	easy-retry-datasource	3.2.0		N/A
com.browserup	browserup-proxy	1.1.0		N/A
com.browserup	browserup-proxy	1.2.0		N/A
com.browserup	browserup-proxy	1.2.1		N/A
com.browserup	browserup-proxy	2.0.0		N/A
