br.com.objectos.jabuticava	serasa	0.3.0		N/A
cn.mybatis-mp	mybatis-mp-sql-api	1.2.1		ff79fe852125476b5c254710e02cc393611f31ae
cn.mybatis-mp	mybatis-mp-sql-api	1.2.2		0d491a23af89f0be841357c740723d820de87967
cn.mybatis-mp	mybatis-mp-sql-api	1.2.3		85de54d316638af767cf6782fc1ecbc98820ca19
cn.mybatis-mp	mybatis-mp-sql-api	1.2.4		4c98a2dbb44a769d34ef8a353875451bd10b0d94
cn.mybatis-mp	mybatis-mp-sql-api	1.2.5		5f6d61f6b52378ab40e4be76cb694580b20f98f2
cn.mybatis-mp	mybatis-mp-sql-api	1.2.6		6294f42002ae356bb5f72b33f91c88376b9063f2
cn.mybatis-mp	mybatis-mp-sql-api	1.2.7		d3af8cb00f32a34dd79bdc9105a98faf9b3bc9a6
cn.mybatis-mp	mybatis-mp-sql-api	1.2.8		146bd02d00215dca349517b0fb423e523e5d221d
cn.mybatis-mp	mybatis-mp-sql-api	1.2.9		bdb2bb7ad4b90f64e10c2ff8fafb2a675f8e5931
cn.mybatis-mp	mybatis-mp-sql-api	1.3.0		eae8da3550415056d6366dd992c66cf96d122ba0
cn.mybatis-mp	mybatis-mp-sql-api	1.3.1		98d842fb2907bdf25df6d0ba593c1a7c69dceaf7
cn.mybatis-mp	mybatis-mp-sql-api	1.3.2		0ee296b82bda8be6f6808913ed64d2422d33020e
cn.mybatis-mp	mybatis-mp-sql-api	1.3.3		d686491dee13c1bd812fbca8011ee4b1127dbc65
cn.mybatis-mp	mybatis-mp-sql-api	1.3.4		7db9c0c5e3816127b641b23e08a3c88aaf2cd209
cn.mybatis-mp	mybatis-mp-sql-api	1.3.5		e6602accf5ac2066dd698282e6e058ba72e39c7e
cn.mybatis-mp	mybatis-mp-sql-api	1.3.6		b1fb8bfcbd0ac6a7dc0939357a6e6b693e31f86c
cn.mybatis-mp	mybatis-mp-sql-api	1.3.7		738e8a72aee7705b3df3aaab073fc27088ac8e5e
cn.mybatis-mp	mybatis-mp-sql-api	1.3.9		0124213db5648f68c1545d24b471942831161f8a
cn.mybatis-mp	mybatis-mp-sql-api	1.4.0		b65ae2c7aafd4a57b1cf6a0a74e68719e59130de
cn.mybatis-mp	mybatis-mp-sql-api	1.4.1		fccce2ff43fe7853d6145b27d6809ad4af97eed1
cn.mybatis-mp	mybatis-mp-sql-api	1.4.2		c9b31bd5f3584962579caba7a385541a1a0177a8
cn.mybatis-mp	mybatis-mp-sql-api	1.4.3		81ff199634eddb34a45ec8b1ab44dba507f28160
cn.mybatis-mp	mybatis-mp-sql-api	1.4.4		74d1ec1600bdea5a74ab6db416aa0aa1b690f164
cn.mybatis-mp	mybatis-mp-sql-api	1.4.5		b4a0b4004d69780a498dbd48941ba4e30d57fd41
cn.mybatis-mp	mybatis-mp-sql-api	1.4.6		0f23c757b6061b8587e2e8d6eb682bf9a303509b
cn.mybatis-mp	mybatis-mp-sql-api	1.4.7		171a9243c096ae48a506ed708edbc82a312d5817
cn.mybatis-mp	mybatis-mp-sql-api	1.5.0		4c6615db9180af79e69e56a27ea8e0dbf6d54de7
cn.mybatis-mp	mybatis-mp-sql-api	1.5.1		60d72be8cb07a36c822d2bb25cf75bff77dfa075
cn.mybatis-mp	mybatis-mp-sql-api	1.5.2		582f886194d14177bd9644ab9ff596e4247da0db
cn.mybatis-mp	mybatis-mp-sql-api	1.5.3		adb729250846ad5d39c50d5eff8a7adc030d9143
cn.mybatis-mp	mybatis-mp-sql-api	1.5.5		26e31cdc16dcc34df1e849f85506611b948ab8bf
cn.mybatis-mp	mybatis-mp-sql-api	1.5.6		53479c5e6c05e028d393f7659decd1b50595e02b
cn.mybatis-mp	mybatis-mp-sql-api	1.5.6-rc1		590f5feca44e84b8cb115b1fe5b1311fe93a47c5
cn.mybatis-mp	mybatis-mp-sql-api	1.5.7		af6373e409166f4df9a3618c1b7c6658b1ba6892
cn.mybatis-mp	mybatis-mp-sql-api	1.5.7-rc1		5d44673ac04dcce27edb29dc4c70107c7fe02b87
cn.mybatis-mp	mybatis-mp-sql-api	1.5.7-rc2		3f9edad93a230316f10258bfb6856f650315f615
cn.mybatis-mp	mybatis-mp-sql-api	1.5.7-rc3		0919d1d4cabb92bf4fd3aa609f37623d4733abbf
cn.mybatis-mp	mybatis-mp-sql-api	1.5.7-rc5		5fa2b33292545f9e0a232bc4839397ce69e8fd9e
cn.mybatis-mp	mybatis-mp-sql-api	1.5.7-rc6		e9082ca5f8e071cae15ac47ecc5c0b9b6de6f661
cn.mybatis-mp	mybatis-mp-sql-api	1.5.7-rc7		0e7652fc3b9359d7d2dc84f7b6771b39047e0160
cn.mybatis-mp	mybatis-mp-sql-api	1.5.7-rc8		54509cf8e0e24539071fc77209d57acdf96de7b1
cn.mybatis-mp	mybatis-mp-sql-api	1.5.8		4f0afc5b9f3d1147fc7ef7231347648cb784b72f
cn.mybatis-mp	mybatis-mp-sql-api	1.5.8-rc		27b4ba042bd857590aea2e20a112010a36735c36
cn.mybatis-mp	mybatis-mp-sql-api	1.5.8-rc2		af3a159e79baffd17b3c30a3120a69649ff14969
cn.mybatis-mp	mybatis-mp-sql-api	1.5.8-rc3		7223f596a293a50556bcbe920a2c60877f1fcca7
cn.mybatis-mp	mybatis-mp-sql-api	1.5.9		2d595d84d009524fe4462cf966ee0c23e77a7da5
cn.mybatis-mp	mybatis-mp-sql-api	1.5.9-rc1		8104253b7c05f1487bb757d84da8caab728daf7d
cn.mybatis-mp	mybatis-mp-sql-api	1.5.9-rc2		464819c1129f1a96689f7f872fcf4ad16d3edc26
cn.mybatis-mp	mybatis-mp-sql-api	1.5.9-rc3		3bfdf14b90f5dc8ea0157fc6b7958e352905c7b6
cn.mybatis-mp	mybatis-mp-sql-api	1.5.9-rc5		82c2a83ecafd26e3b34c54abaa9fce77ac8978b5
cn.mybatis-mp	mybatis-mp-sql-api	1.5.9-rc6		90d891223223f9866090868cb3e2043a3a83c336
cn.mybatis-mp	mybatis-mp-sql-api	1.6.0		f57951a86218b6d46b9e010b84087e705b8b7b21
cn.mybatis-mp	mybatis-mp-sql-api	1.6.0-rc1		ff4bc602663065dd572f262f07f4539cbd4a65c6
cn.mybatis-mp	mybatis-mp-sql-api	1.6.0-rc2		e1d2c01027b02226c521fb47e300a79aa49631d7
cn.mybatis-mp	mybatis-mp-sql-api	1.6.1		8e9190fc0447ae52f931991b6b9b4a2f8d46622e
cn.mybatis-mp	mybatis-mp-sql-api	1.6.1-rc1		9f674cf7d3667f5217df3b1bd6385fd59c70a784
cn.mybatis-mp	mybatis-mp-sql-api	1.6.1-rc2		209d4297c5e90edd4bf7b68efcd055d8dedafaa3
cn.mybatis-mp	mybatis-mp-sql-api	1.6.2		c63991c805121473902f6783892439dab4c5d373
cn.mybatis-mp	mybatis-mp-sql-api	1.6.2-rc1		bc1a50946547d0a741e928f26ec3718d498a1dca
cn.mybatis-mp	mybatis-mp-sql-api	1.6.2-rc2		150242a6c4fb325ff6bd18813ecddabdcfbbba97
cn.mybatis-mp	mybatis-mp-sql-api	1.6.2-rc3		bee55407ee634c4a11e5a8595e5b494ddb5cd22d
cn.mybatis-mp	mybatis-mp-sql-api	1.6.3		51c44c71f730e365db1966f8a0333c8879caa003
cn.mybatis-mp	mybatis-mp-sql-api	1.6.5		b4f3c1f5840a4c6b5fe5911219e9175c8eb7b8d4
cn.mybatis-mp	mybatis-mp-sql-api	1.6.6		e40e8dabc5de8b02961b2d031bcfdc573d37aab3
cn.mybatis-mp	mybatis-mp-sql-api	1.6.7		9aa745bd6bc7b12a3f0640c96f2ffb98c7f8db09
cn.mybatis-mp	mybatis-mp-sql-api	1.6.7-rc1		ff1ee5597acb34069d83a422fe632fe6f49603aa
cn.mybatis-mp	mybatis-mp-sql-api	1.6.7-rc2		fcdd873ab0c66d3f8833c7050df87d37428a1915
cn.mybatis-mp	mybatis-mp-sql-api	1.6.7-rc3		2da6433ee966bbfdb1d23ecde4c883e1932e1289
cn.mybatis-mp	mybatis-mp-sql-api	1.6.7-rc5		63a916572f11c596a2fd5c6e901640b92552bcbe
cn.mybatis-mp	mybatis-mp-sql-api	1.6.8		3f903f6e0ba8886b82551164884e540f23eefe94
cn.mybatis-mp	mybatis-mp-sql-api	1.6.8-rc		dfd3e49cfcdae3f84d3fbfafb6b9e7050e214093
cn.mybatis-mp	mybatis-mp-sql-api	1.6.8-rc2		6b5b46c1ad14145cdcd26f041dd0e746a6eefa23
cn.mybatis-mp	mybatis-mp-sql-api	1.6.9		475fecd339271ced22cd117611d57a615b84ddc2
cn.mybatis-mp	mybatis-mp-sql-api	1.6.9-rc		29c4c2db037b8d0d334818fd4b225d71c7086c20
cn.mybatis-mp	mybatis-mp-sql-api	1.6.9-rc2		15463ec3e412912d780e687972549ad052b624d3
cn.mybatis-mp	mybatis-mp-sql-api	1.6.9-rc3		8c452a734024f059c37834a4602f4de13a19937d
cn.mybatis-mp	mybatis-mp-sql-api	1.6.9-rc5		a799e5b06757a55afa72db9d2f3512264b3df422
cn.mybatis-mp	mybatis-mp-sql-api	1.7.0		9e06034e26b610928fdb85f5233aa417649e8812
cn.mybatis-mp	mybatis-mp-sql-api	1.7.0-RC		e1725ffc57fef894304bcc23e58872ecd5b0f5c5
cn.mybatis-mp	mybatis-mp-sql-api	1.7.0-RC2		626ccaa96e5010579b982e48444c401a3ed4dd34
cn.mybatis-mp	mybatis-mp-sql-api	1.7.0-RC3		e28b2ac06f3b0444629b5431fa2f31f1a5777fe7
cn.mybatis-mp	mybatis-mp-sql-api	1.7.1		23335434cfc7d99cdfd7fbf5dea73fd6d5354916
cn.mybatis-mp	mybatis-mp-sql-api	1.7.1-RC		e7d407a7c4c3dc9d2757267c50558bdc10ec4f47
cn.mybatis-mp	mybatis-mp-sql-api	1.7.1-RC2		70d6f9ef6bc0257b3bf5dfd97c74da90513bc925
cn.mybatis-mp	mybatis-mp-sql-api	1.7.2		007c546987b661dc50eeade32624014b4ee4f17f
cn.mybatis-mp	mybatis-mp-sql-api	1.7.2-RC		2ca2163f3fb9b350e6694ae3717ed3e2c30ca8e8
cn.mybatis-mp	mybatis-mp-sql-api	1.7.3		31658c443a06749250ae9527713ae68af0b1c421
cn.mybatis-mp	mybatis-mp-sql-api	1.7.3-M1		b8daeafa2c588b8f9773df771e97b320cd5e4255
cn.mybatis-mp	mybatis-mp-sql-api	1.7.3-M2		24621546a85649b11daa3aec5225b96bbc6a6569
cn.mybatis-mp	mybatis-mp-sql-api	1.7.3-M3		72f456a7f350401d0c83a9812d598ba0fc8785c4
cn.mybatis-mp	mybatis-mp-sql-api	1.7.3-M5		e24a7bf29e15b19dd894dafab9d08412ec33a433
cn.mybatis-mp	mybatis-mp-sql-api	1.7.5		bcfc5bf1d793ea5a705d030bbf28bc520df045fa
cn.mybatis-mp	mybatis-mp-sql-api	1.7.6		af689a8e44d7cda99d17dabd83d5e2d9bd210b35
cn.mybatis-mp	mybatis-mp-sql-api	1.7.6-RC		9b619334b7bb8d489c33be7e05a5c0b2f5ea14df
cn.mybatis-mp	mybatis-mp-sql-api	1.7.6-RC2		2f247835dc28ddaed38643073ca74ddf09b1824d
cn.mybatis-mp	mybatis-mp-sql-api	1.7.6-RC3		6c751481e1289580d35f315217cb043ce1df09c6
cn.mybatis-mp	mybatis-mp-sql-api	1.7.6-RC5		a4e935b8cdc586b296ab5af5800608171918363a
cn.mybatis-mp	mybatis-mp-sql-api	1.7.6-RC6		c8982c0036d0d5a9b578c270cfa021a0021298ca
cn.mybatis-mp	mybatis-mp-sql-api	1.7.7		24dbafc4f4afcbf23121a249e1812d7fb1c9323c
cn.mybatis-mp	mybatis-mp-sql-api	1.7.7-RC		b0b9a32f44edf794e9e389b6a385196ab4970e10
cn.mybatis-mp	mybatis-mp-sql-api	1.7.7-RC2		d9830f6dde6a376e0110fff5e572d10fae526ec4
cn.mybatis-mp	mybatis-mp-sql-api	1.7.7-RC3		ba837c82e7b1b52439a80cc046cc2b771584ee50
cn.mybatis-mp	mybatis-mp-sql-api	1.7.7-RC5		c11addbee43ba55d36174735310a910dcb5248da
cn.mybatis-mp	mybatis-mp-sql-api	1.7.8		41a429b633cedb5c618fe5eb72578a9f8678083f
cn.mybatis-mp	mybatis-mp-sql-api	1.7.8-RC		a7d6b2471f8b0b7549e2d857a2388c6eda44b658
cn.mybatis-mp	mybatis-mp-sql-api	1.7.8-RC2		6fc9d3f779a7307c4a6f39cfa00c45c7ef44f01e
cn.mybatis-mp	mybatis-mp-sql-api	1.7.8-RC3		d1cae23be800e2d63394ff3c208101fd0215f69a
cn.mybatis-mp	mybatis-mp-sql-api	1.7.8-RC5		fb90e490551c5f755673d62809935cdffa36f9dc
cn.mybatis-mp	mybatis-mp-sql-api	1.7.8-RC6		bba95985f8e3a501ddcd259027700845b3788d54
cn.mybatis-mp	mybatis-mp-sql-api	1.7.8-RC7		ceb4a34127459b392f880d3216e8d6cf4909119e
cn.mybatis-mp	mybatis-mp-sql-api	1.7.8-RC8		d8cdfb284299b92c3a6c27f54c2259796822f081
cn.mybatis-mp	mybatis-mp-sql-api	1.7.9		ea7c1e51c50f35c92c017adfbd6bc161b320a701
cn.mybatis-mp	mybatis-mp-sql-api	1.7.9-M1		1d250e2e1a37bc006e6581c749033d8e8d07af21
cn.mybatis-mp	mybatis-mp-sql-api	1.7.9-M2		07a7bd2601b086b33477bbd7e4ca72c6e3a1266e
cn.mybatis-mp	mybatis-mp-sql-api	1.7.9-M3		e331b80cc581a119b5f8d04232849c60ed98c84d
cn.mybatis-mp	mybatis-mp-sql-api	1.7.9-M5		68653fa9e335e8c14367cbce0c38b4da052695f4
cn.mybatis-mp	mybatis-mp-sql-api	1.7.9-RC		a11fbdb602d1e5fdbac9acc024518add923fdfe0
cn.mybatis-mp	mybatis-mp-sql-api	1.7.9-RC10		7e85a84f07a816c77547b92d1e023dbe61d39d64
cn.mybatis-mp	mybatis-mp-sql-api	1.7.9-RC2		dea7854fdf850eb9a60baf2f9acf67643b8bbbae
cn.mybatis-mp	mybatis-mp-sql-api	1.7.9-RC3		b4968e8a3bba58b0d98c5ddea98ad88dd3d5fee6
cn.mybatis-mp	mybatis-mp-sql-api	1.7.9-RC5		0741898891e4393003052d1f051827b3c45b6cae
cn.mybatis-mp	mybatis-mp-sql-api	1.7.9-RC6		6097b5d5286d3cf081d7f9123ccdbcd636431906
cn.mybatis-mp	mybatis-mp-sql-api	1.7.9-RC7		6656a8196e55e0ec768dff5b66f9b657a7a4e8b0
cn.mybatis-mp	mybatis-mp-sql-api	1.7.9-RC8		e44f6e5dca519e805c06cd1d47cca37515ddce73
cn.mybatis-mp	mybatis-mp-sql-api	1.7.9-RC9		d7642a530756bfbfc7fc4ee592d820ba23f76f53
cn.mybatis-mp	mybatis-mp-sql-api	1.8.0		459e19fec8bdd7cdf2b10d15ffa36bc6806d10c5
cn.mybatis-mp	mybatis-mp-sql-api	1.8.0-RC1		c83a65eabce19883199bae29b17dbfd3f7509e61
cn.mybatis-mp	mybatis-mp-sql-api	1.8.0-RC2		a1810e30969f4ce44b681f678843a9a2061ad9ea
cn.mybatis-mp	mybatis-mp-sql-api	1.8.0-RC3		b6388e7037be7501fef26fd95e6527d015735c3b
cn.mybatis-mp	mybatis-mp-sql-api	1.8.1-RC1		23eef3a4397b02310ba5f6479ac0641f509e4448
cn.mybatis-mp	mybatis-mp-sql-api	1.8.1-RC2		e95bc9271e5ef32f072b828efe49bb08dd0ca85d
cn.mybatis-mp	mybatis-mp-sql-api	1.8.1-RC3		741ea339ff6338b9f60c53e58b511f8f2dbfa658
co.early.fore	fore-net-iosx64	2.0.0		N/A
co.early.fore	fore-net-iosx64	2.0.0	metadata	fd8c8fac2966d14b2e5104c9d6149db9d41a06ec
co.early.fore	fore-net-iosx64	2.0.0-rc.2		N/A
co.early.fore	fore-net-iosx64	2.0.0-rc.2	metadata	037de65d6515c6d80626db9e6a9a9b780f382e84
co.early.fore	fore-net-iosx64	2.0.0-rc.3		N/A
co.early.fore	fore-net-iosx64	2.0.0-rc.3	metadata	59b06fe667a16d7c737f35b968c37868165c375e
com.adamglin	phosphor-icon-js	1.0.0		N/A
com.ainrif.apiator	jakson-plugin-core-json-renderer	0.13.0		e62b09a7fb95d0c3422e08d4d291b034998c9bbd
com.ainrif.apiator	jakson-plugin-core-json-renderer	0.13.1		5d4cfc7583f1a7cabb06a05d28dc1bde8a983c52
com.ainrif.apiator	jakson-plugin-core-json-renderer	0.13.2		8407fd48fedab6a70cfc5bffe511d4684f408cf4
com.ainrif.apiator	jakson-plugin-core-json-renderer	0.14.0		fd825653c4f9c981ba0f197aa4f9489201110976
com.ainrif.apiator	jakson-plugin-core-json-renderer	0.14.1		efd164dcd0e4c3913dcc4fe6ac14cd41d5db8be0
com.ainrif.apiator	jakson-plugin-core-json-renderer	0.14.2		f74e0ca05014f52c1715ab6c23109f90c0c7432b
com.ainrif.apiator	jakson-plugin-core-json-renderer	0.14.3		7c91f736106c6d8aecdea4f86baa84db90835db2
com.ainrif.apiator	jakson-plugin-core-json-renderer	0.14.4		f12843194310b6b6c6f6117ada0400803f4787ec
com.ainrif.apiator	jakson-plugin-core-json-renderer	0.14.5		e50853fe2c8b3d27299d635fad0dc8c5824bc47f
com.ainrif.apiator	jakson-plugin-core-json-renderer	0.15.0		d32cd7e83e24335b030ca1e324c042268da8452f
com.ainrif.apiator	jakson-plugin-core-json-renderer	0.15.1		986aa528c47665fe8baa5da86ddf11fa77f12650
com.amazonaws	aws-java-sdk-elasticsearch	1.10.22		a5b14457b7666f92eb1675214025bdecae3e3a3c
com.amazonaws	aws-java-sdk-elasticsearch	1.10.23		ed3097613198d227f1551719f2f1f07e0395f2f3
com.amazonaws	aws-java-sdk-elasticsearch	1.10.24		8a9da708c745b717b93497bc9c81d2800bdfbb24
com.amazonaws	aws-java-sdk-elasticsearch	1.10.25		c111d871d98e89420ac31bdf59b1f442274c113c
com.amazonaws	aws-java-sdk-elasticsearch	1.10.26		403f882c87535f03945f4e1b566ed86831e753d9
com.amazonaws	aws-java-sdk-elasticsearch	1.10.27		502ff0b97b6b04307efb7c019485f428f57d174a
com.amazonaws	aws-java-sdk-elasticsearch	1.10.28		57127cf641e4be5fafce2633d6c8567cd4b1f13f
com.amazonaws	aws-java-sdk-elasticsearch	1.10.29		86570b480e38d7ba5dacfc1b88111fc643c4121a
com.amazonaws	aws-java-sdk-elasticsearch	1.10.30		6ca0ce6cf4103ecc122abb26a33933fd8d5a61fd
com.amazonaws	aws-java-sdk-elasticsearch	1.10.31		79124d6af69737938a1bbaf2bee85d0da9069cbc
com.amazonaws	aws-java-sdk-elasticsearch	1.10.32		3b3d36206b39f186158bb23e3e73e33013352281
com.amazonaws	aws-java-sdk-elasticsearch	1.10.33		4fec53b88e39478daaecf8b524f65760c193e772
com.amazonaws	aws-java-sdk-elasticsearch	1.10.34		0b117ef2f06ca81353d76f0928c9d0747c8ed4e8
com.amazonaws	aws-java-sdk-elasticsearch	1.10.35		591737210d29ee10be9bd055700de0ab3ce84247
com.amazonaws	aws-java-sdk-elasticsearch	1.10.36		cf4035607fd7618fb2a2e2eccaf720b9870205dd
com.amazonaws	aws-java-sdk-elasticsearch	1.10.37		c32568abb11bc8b3482cc56df3c6b207445b2a00
com.amazonaws	aws-java-sdk-elasticsearch	1.10.38		434230e418501150b2fa5b59934982c68e31a340
com.amazonaws	aws-java-sdk-elasticsearch	1.10.39		2630a54c5d2076779e427590aec67c80567115e1
com.amazonaws	aws-java-sdk-elasticsearch	1.10.40		bf5986aae05eda167ca542a02db8f6bcb21a578b
com.amazonaws	aws-java-sdk-elasticsearch	1.10.41		dafd38dec2875a84d0b5830b76db7318a14e3120
com.amazonaws	aws-java-sdk-elasticsearch	1.10.42		4dbc0e5b23e706ed15bb66804771aaf353f5f9b8
com.amazonaws	aws-java-sdk-elasticsearch	1.10.43		cdfbb8c49c1241ab2ed55238b25a918c904d9929
com.amazonaws	aws-java-sdk-elasticsearch	1.10.44		a8675dc0490d5e1934f2def4ef17dc86d6a46060
com.amazonaws	aws-java-sdk-elasticsearch	1.10.45		5bdfc038a8738057e598c538412a60f8bfea3edb
com.amazonaws	aws-java-sdk-elasticsearch	1.10.46		4f28b12b06ef851af2f5161fca2a2e3b2f1e8ddc
com.amazonaws	aws-java-sdk-elasticsearch	1.10.47		84ee014cb056476f4fdb8fcf6e077b43a3ceb6cf
com.amazonaws	aws-java-sdk-elasticsearch	1.10.48		8e0e38798448d00cb312a8c688291516aadde9fa
com.amazonaws	aws-java-sdk-elasticsearch	1.10.49		cbe6a3366621e4b1fd1505d5a2cd000262d7a46f
com.amazonaws	aws-java-sdk-elasticsearch	1.10.50		16bb96016ec9e73b6458763e1c35a334ad05ce0e
com.amazonaws	aws-java-sdk-elasticsearch	1.10.51		af20d0ef9d9efad5d491750d6e5193607fa17658
com.amazonaws	aws-java-sdk-elasticsearch	1.10.52		c8448c1383fe47a7fcb3201f75f609292842663b
com.amazonaws	aws-java-sdk-elasticsearch	1.10.53		c6e365ddc0d9d0eaa1968c0c7107646547955432
com.amazonaws	aws-java-sdk-elasticsearch	1.10.54		666c5ee8a5197ed352dd1517cab3a967c53dcb37
com.amazonaws	aws-java-sdk-elasticsearch	1.10.55		cc1b85f8ce92d0118648f37b8ef0fcdc23a8f023
com.amazonaws	aws-java-sdk-elasticsearch	1.10.56		1b671c995fc684fd621cfd6799e2130912815baa
com.amazonaws	aws-java-sdk-elasticsearch	1.10.57		41639ce89190b59f1dc515526e95eeffd5f2b04d
com.amazonaws	aws-java-sdk-elasticsearch	1.10.58		8cda9114cb9a21973049b22b36b44180eadc39ce
com.amazonaws	aws-java-sdk-elasticsearch	1.10.59		fb4e1587f961e38d7eeb0b65444047a4d69fc185
com.amazonaws	aws-java-sdk-elasticsearch	1.10.60		f288bf2faf15e2630551edc4baa4a92402f7dd56
com.amazonaws	aws-java-sdk-elasticsearch	1.10.61		2205f773c258cda41de3cc29a18c6bd93774c4d5
com.amazonaws	aws-java-sdk-elasticsearch	1.10.62		3a07d813365b4d83d19c6d7647cf92e252315b48
com.amazonaws	aws-java-sdk-elasticsearch	1.10.63		a5153f911cbfd4cf026fc074f6f95b089702f9a1
com.amazonaws	aws-java-sdk-elasticsearch	1.10.64		0666d050efca5d13ce2d518e0d212dc15a2f4ffe
com.amazonaws	aws-java-sdk-elasticsearch	1.10.64.1		f3b37ee8cd81dd8dcbbe3aea834acd9abcb8e5dc
com.amazonaws	aws-java-sdk-elasticsearch	1.10.65		e544b1235f0b9e0b70ddff2d747db28306a904eb
com.amazonaws	aws-java-sdk-elasticsearch	1.10.66		7f3012157c19bd87527d5ccdc3c4bfbc526bf28b
com.amazonaws	aws-java-sdk-elasticsearch	1.10.67		80128d74b71d62000e801456dc9bf1d971c436c1
com.amazonaws	aws-java-sdk-elasticsearch	1.10.68		2e17862914a6c95075c0708a6679646fe7e71864
com.amazonaws	aws-java-sdk-elasticsearch	1.10.69		adec9634b8a7a9fbdd0a9217788b95a2442f7398
