biz.aQute	osgi.enroute.base.api	2.2.0	-	96EAB15631DF092D1BF97322082B988874001D96
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.0.1	-	e51760822d5f21e90e666bc16f513453f6bbf781
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.0.2	-	f379397a19850ca08b74038c43dfc9653e9a37a2
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.0.3	-	6aead09bed0ac3bb8f10adc2aa491321c082f0e4
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.2.0	-	0853bc39953524877137f6884939a97978db914f
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.2.1	-	bd4bde235fe9de4e727ae6e6e6640a20e281d36c
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.2.2	-	af86ca836f12021596497e10ddb4897549882c21
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.2.3	-	7d7d942f936d0cb5a5d9e5777a04f8b5a85be874
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.4.0	-	e7afc29216a4b6361a21e248ce267380347aee16
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.4.2	-	cac7411a1e65badca21a338f17ec13994fd242dd
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.4.3	-	81cf0d0f60312171ef091e0b03bfd266718a93ad
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.4.4	-	e3213133f2438d44760e064ac45c3b60f6c31ca7
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.4.5	-	009139dd25e28ac9f054d9ab3310c031e307ad29
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.6.0	-	f4cecc2a7fc297ed23da08c43dd2056ae13a1dbe
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.6.1	-	e158a6c9cf38eed04824e1249ea288c7fece575c
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	8.0.0	-	2af37233c6840da21740be05c882a04b94ba0c22
ch.epfl.scala	scalafix-cli_2.12.17	0.10.2	-	640ee9741b1453bf93176fbe1bf739d633a8fc34
ch.epfl.scala	scalafix-cli_2.12.17	0.10.3	-	855af263bb360f3ecf502a2f899d54c2606c02a8
ch.epfl.scala	scalafix-cli_2.12.17	0.10.4	-	83201023fe4bfb91af1a1723bbad2500620ffdfa
cn.lampup	decoration-core	0.0.1	-	029c1a880eec5de2b5786b178740f0cad0a83531
cn.lampup	decoration-core	0.0.2	-	cd52ce7cb02fadd7a9fa69f9d0703005f4682677
