app.cash.treehouse.schema.display	app.cash.treehouse.schema.display.gradle.plugin	0.1.0		N/A
co.fs2	fs2-scodec_2.12	0.10.0-M4		9d1a8bff7aea347b2910277f876741ea50f42c84
co.fs2	fs2-scodec_2.12	0.10.0-M5		b8b37bb9a2030a5139a8c6b8ec8dfdb4adf9a30e
co.fs2	fs2-scodec_2.12	0.10.0-M6		76faf93d6d7c4c802f0b8af46f5051ba58d4b4a5
co.fs2	fs2-scodec_2.12	0.10.0-M7		2a0b411a59108758aaf8883fd9651fbf2262e477
co.fs2	fs2-scodec_2.12	0.10.0-M8		e38b2a7ad3b3be02dbcd48540231bcf4941025fc
co.fs2	fs2-scodec_2.12	0.10.0-M9		18518f7f95c6dcd9b54e53418c4148380d230bb3
co.fs2	fs2-scodec_2.12	0.10.0-RC1		5731de7faf89ce904b006d916dfd104b5edc354f
co.fs2	fs2-scodec_2.12	0.10.0-RC2		e25fc62c37a3b1a613d58041a416c0fc2803dabc
co.fs2	fs2-scodec_2.12	0.10.1		fec83d0794e776b0fdd336bb31aebe24b5a3935a
co.fs2	fs2-scodec_2.12	0.10.2		0c80e3f85769581cf8dd915a0803642a7c033434
co.fs2	fs2-scodec_2.12	0.10.3		b657ea27ddcc4ede2c78fb54be22768e932b3e2d
co.fs2	fs2-scodec_2.12	0.10.4		1d0a9551ec9a197b37ecbf742feb4e7f3fb0de38
co.fs2	fs2-scodec_2.12	0.10.5		b6c367f3f3b80ac9a47db0f164441d7fcda81a77
co.fs2	fs2-scodec_2.12	0.10.6		bb0bf0e2be4c058514c764b4bb90508c25e89bd5
co.fs2	fs2-scodec_2.12	0.10.7		ee9178231ff62e29621ffc766ab95b33ace6605a
co.fs2	fs2-scodec_2.12	1.0.0-M1		b2be7e7d8139a87e6bd33031835a6e1132532b40
co.fs2	fs2-scodec_2.12	3.1-10-abf6bb0		04e881cd52351d2a2f212e1651338296fd895dd3
co.fs2	fs2-scodec_2.12	3.1-12-ae5aa01		7aa9ebab6c8e3666c7a7422b9e11b3f11e1b31c1
co.fs2	fs2-scodec_2.12	3.1-2-0716b7f		3ced5a3855d4eb5837d6020c8740cdc22e3cf4e9
co.fs2	fs2-scodec_2.12	3.1-2-73a4eb7		a69c0a40ce942031d5b25c089445e2a71204b2a5
co.fs2	fs2-scodec_2.12	3.1-2-8dabe12		f24a5e886ade935dc69e40657de890a52684c5d5
co.fs2	fs2-scodec_2.12	3.1-4-4785408		70d28c4a65675462540336ed88e8d52ef6963b5b
co.fs2	fs2-scodec_2.12	3.1-4-6163cc4		c179e159a85a245fdc18858a97214f0b61eb3bc8
co.fs2	fs2-scodec_2.12	3.1-48-18e0eb9		845891f1b517dba6e335080d3e9001645e3a62b1
co.fs2	fs2-scodec_2.12	3.1-52-0f20c99		99dba4d55ea7634167718491ad633f4f748e651b
co.fs2	fs2-scodec_2.12	3.1-6-23f8499		77860d72bf0317eba05fe3ec0e6d446c1bb6ef68
co.fs2	fs2-scodec_2.12	3.1-6-e7bcbb1		9941d2fe97327c1d63e75921e0c6c7d026e4301a
co.fs2	fs2-scodec_2.12	3.1-8-1bb4d6f		71bbb14aef2607b1dd346786ab181068b3922e80
co.fs2	fs2-scodec_2.12	3.1-8-f45a357		fa6bd304754862a43f9a53e3c64168df6c7dc52f
co.fs2	fs2-scodec_2.12	3.10-365636d		dd34a4d2f2c77a32ce11fa200f455ed7eb52ec54
co.fs2	fs2-scodec_2.12	3.10-4b5f50b		7e02b8f5732b4fc5d583ab4cae4a4438927e2a6f
co.fs2	fs2-scodec_2.12	3.10.0		91ac2e48af870ef252c64cb66000d229fc5dbf1a
co.fs2	fs2-scodec_2.12	3.10.1		d0be11169ec6bad7dc91b4e01faa7cb50609ab65
co.fs2	fs2-scodec_2.12	3.10.2		5a816696e156316fc65530ef72e194a0f281831d
co.fs2	fs2-scodec_2.12	3.11.0		1cc94a6966e8dde546102a4d7b70af926a87337a
co.fs2	fs2-scodec_2.12	3.12.0		2f9a322a9a6cd0248e61e4ae29d9b02683b18558
co.fs2	fs2-scodec_2.12	3.12.0-RC1		e65eff0a93bb42569bf1aa9ecf8c78c987372ac1
co.fs2	fs2-scodec_2.12	3.12.0-RC2		1dd46cc9455994b85da1b9682a46623191b36bcc
co.fs2	fs2-scodec_2.12	3.13.0-M1		24f4d545bd5928ce5366c71b02f988a6196857a0
co.fs2	fs2-scodec_2.12	3.13.0-M2		9cf9881649cbadbd42af6f2156ba0da6e845ca0f
co.fs2	fs2-scodec_2.12	3.2-10-421c242		d815db0329e634acd50bdd1a44686514e68fcc3e
co.fs2	fs2-scodec_2.12	3.2-10-ea04dd1		e92d5e25a52c60422113b55651659c470dd4ddbe
co.fs2	fs2-scodec_2.12	3.2-100-c1910b5		60dd3a05b26eb72652515900cf8c9f1ccc48f654
co.fs2	fs2-scodec_2.12	3.2-102-1997a5d		436d76aaabf2a6203b7434b6b8dd0cf23db5ba8a
co.fs2	fs2-scodec_2.12	3.2-105-63481c1		17da0853acf9858220020e8522144134d0d8c778
co.fs2	fs2-scodec_2.12	3.2-111-594f8fe		e93ed580616ac6abafa193d0139aacc92f912545
co.fs2	fs2-scodec_2.12	3.2-12-0040f2d		c1b02d82b09af670444cf688d3fbb0016d1fe3e4
co.fs2	fs2-scodec_2.12	3.2-12-ee8ebbc		d766167b469052b14719913b4183959d334031fa
co.fs2	fs2-scodec_2.12	3.2-124-832c161		31571a6446dd8760ef7326d97882d8d3028f184c
co.fs2	fs2-scodec_2.12	3.2-126-dbde26a		6488988ec822e5535a62284a3f33a064a2df32ca
co.fs2	fs2-scodec_2.12	3.2-135-b8d2c35		3cb6919eb68d8a2a924326eb424abad5b71c4ed4
co.fs2	fs2-scodec_2.12	3.2-137-2812f6c		9ed209ed1dea83db8741e2fede829b5be60b877c
co.fs2	fs2-scodec_2.12	3.2-14-a2508ec		e64533083e84730d614708786d399d937c2859fe
co.fs2	fs2-scodec_2.12	3.2-143-1154536		dd18e4a58a2e6c46e610949322c86dd2bada70cb
co.fs2	fs2-scodec_2.12	3.2-146-663e286		d544755e2b415ccf07740163ba1d3ed335b9ceab
co.fs2	fs2-scodec_2.12	3.2-148-d9af944		9951d38af34279379cc24142d18e4f6f5db320d0
co.fs2	fs2-scodec_2.12	3.2-15-0d747bc		5c9333ab34b9fac1d55863c0e0c683df69c7c530
co.fs2	fs2-scodec_2.12	3.2-15-39799ec		cfed315d826933f4e897fc392042be3818d96829
co.fs2	fs2-scodec_2.12	3.2-16-ca69991		5b8b181c3c91d213cf070ce50b7cd16e927d12cd
co.fs2	fs2-scodec_2.12	3.2-17-0747c57		b3da8a97c3e74810f8edfc1223fc0ee6348f55f4
co.fs2	fs2-scodec_2.12	3.2-19-474755e		a554feadde13fbc78490a074f0db44d6309ae3d3
co.fs2	fs2-scodec_2.12	3.2-2-ce09286		dd32c90cdb20dfaa2b6d94e71554185a741c559d
co.fs2	fs2-scodec_2.12	3.2-21-fce9438		b1f87c80b482300b7cbe74cf9dcf4ebe46b06015
co.fs2	fs2-scodec_2.12	3.2-24-aee10a7		198ec4ead37731694af5f3147e8b94590d930150
co.fs2	fs2-scodec_2.12	3.2-24-e80dc1e		ee1868ac8897069754f1976504b328b646f17a43
co.fs2	fs2-scodec_2.12	3.2-26-8b285a6		ff03cde6d45a7e39e6c1b56ef4330f8556aa5367
co.fs2	fs2-scodec_2.12	3.2-27-25b19c5		73eab3e14620127f9b440b84f8d9d6f24cc5a977
co.fs2	fs2-scodec_2.12	3.2-28-0ad3625		b9aacec0d933c9a7de9a41a3d42aff3672209087
co.fs2	fs2-scodec_2.12	3.2-28-ee4a187		27ce7c3a28b7e2bbcb74768b4f43cba71bb22911
co.fs2	fs2-scodec_2.12	3.2-30-315dd48		7f0f3dc68d858f13d520750cd6f01840f59ec7a9
co.fs2	fs2-scodec_2.12	3.2-30-825ac8c		992e3999022b523dc56085dd942d7b1e5a2ce12f
co.fs2	fs2-scodec_2.12	3.2-31-08491bc		48b46155d55c6b2d36eca22b1ec2a880060d0078
co.fs2	fs2-scodec_2.12	3.2-32-1a7dede		77b4b456479bc70a04bb1921a6b89100b7b6b836
co.fs2	fs2-scodec_2.12	3.2-33-c73eac6		98f5d106ac1a6765758b830b8f44ef8a46a9d9de
co.fs2	fs2-scodec_2.12	3.2-34-8aaa10c		86143d526babefe7aa141a3cceb435d95d828c70
co.fs2	fs2-scodec_2.12	3.2-35-a7f0abc		0d6e813dede2f77ba04bad18604d819d8b33d302
co.fs2	fs2-scodec_2.12	3.2-36-d9587c0		11d44d3290b2a51a442098cd5674d1ef7b6d0337
co.fs2	fs2-scodec_2.12	3.2-4-49a4a88		8d0ef617d39e4256d52f217a38dcc530467fba84
co.fs2	fs2-scodec_2.12	3.2-40-f0272ce		31c57012a4b9e0f3d8d74586af177a8f3f41b2f4
co.fs2	fs2-scodec_2.12	3.2-42-1418453		54baf59ae93c6fbb663d6d72fb00e281398a0817
co.fs2	fs2-scodec_2.12	3.2-46-72ac3d7		38b340368847f4b87b6a421d8f2b8e3affc53005
co.fs2	fs2-scodec_2.12	3.2-5-33f78a2		710cf820855c7ca348e032433bb39154977f26c3
co.fs2	fs2-scodec_2.12	3.2-51-ebb169f		34f8da054ba537fdb51d27232bcdce1b2848c4d5
co.fs2	fs2-scodec_2.12	3.2-54-2cd21af		43220fc70868d6c276e85eb4bc7f2d1af12c66be
co.fs2	fs2-scodec_2.12	3.2-54-69e0c99		1178b8df3adf5149a5fee4e7ca51284a9150b0c9
co.fs2	fs2-scodec_2.12	3.2-59-86107ff		ef0906553bd859562dc8ea643d921337b70fb115
co.fs2	fs2-scodec_2.12	3.2-60-2173855		df27bf78aba994a9348f42ec5a088a4b87b8dd66
co.fs2	fs2-scodec_2.12	3.2-66-2e0481a		ece9b660ddc209bb1d2ac954c625fa661f324e35
co.fs2	fs2-scodec_2.12	3.2-68-5d0ceee		b653c18e9f46bc4b63b383fc37d5430ac40ebaf4
co.fs2	fs2-scodec_2.12	3.2-7-144eccc		631c68ea1e4cbdebf8f452dcb4c257e12f0a591e
co.fs2	fs2-scodec_2.12	3.2-75-6af2201		c097f7cb69d9581d1eff330fb183e6c77fa5b171
co.fs2	fs2-scodec_2.12	3.2-77-7de3d84		ee16bea622012d1a1b1eb881eba3fcc28e9d3aeb
co.fs2	fs2-scodec_2.12	3.2-8-45ae436		b38fda33d555b7e8466b124dd88b7e5c8d7b8c95
co.fs2	fs2-scodec_2.12	3.2-81-84d87a5		9f70ade3ea7bd4e053a726db3a64c11e10ff265c
co.fs2	fs2-scodec_2.12	3.2-83-7a59759		85d4b34171d77fc63c1de198773da3f77444e84b
co.fs2	fs2-scodec_2.12	3.2-85-14892b0		a7b48f952015ccc71da022f945687dcf9d908842
co.fs2	fs2-scodec_2.12	3.2-87-92db3c3		46850bbcd5c9097f4682a61fe86b4575859e1b8c
co.fs2	fs2-scodec_2.12	3.2-91-580a751		8d5238191d1946c435c875529a95fdebf731eb23
co.fs2	fs2-scodec_2.12	3.2-93-c32dea5		797d4e9f76dc6820315c26eeff18ebe15b251b2b
co.fs2	fs2-scodec_2.12	3.2-98-f5ff8ba		e616ab9fe06fcebb7eecbd0221b195df776758aa
co.fs2	fs2-scodec_2.12	3.2.0		4848ded2a3955ee252d1dd6a4a8e177780214568
co.fs2	fs2-scodec_2.12	3.2.1		c8cda3de88af5bef439d00144f5fa45f56567f29
co.fs2	fs2-scodec_2.12	3.2.10		68c5453a56d4e9e45efc0a3bc7d315848dc9c69b
co.fs2	fs2-scodec_2.12	3.2.11		2a6bcaf37206529bc22948d7b6dad6753aaa7761
co.fs2	fs2-scodec_2.12	3.2.12		ae64253005f71ce063567d86c16b7860e20c5fe6
co.fs2	fs2-scodec_2.12	3.2.13		256cd9cef7650e48af4c72cbbee4464edf17d558
co.fs2	fs2-scodec_2.12	3.2.14		12013464629b519ca2d5795a734e2291d35feda0
co.fs2	fs2-scodec_2.12	3.2.14-75-7902cbf		c506905f5f13de0622a2ac33ac367deb9b8bcb23
co.fs2	fs2-scodec_2.12	3.2.2		6f17f282e7645982cb4b1b02df65bf69a8356420
co.fs2	fs2-scodec_2.12	3.2.3		a4d4e184c691bae6a314cb6c5dabbdb9723d8d36
co.fs2	fs2-scodec_2.12	3.2.4		82131e49b1edc718e1377bec672364405f031204
co.fs2	fs2-scodec_2.12	3.2.5		2bbbc48f3cf4cfb6ca3e98d79f55fec0f1238270
co.fs2	fs2-scodec_2.12	3.2.6		e7e59ace72a9361c8800614810ccab38a6016a05
co.fs2	fs2-scodec_2.12	3.2.7		25ee51cc159d5197a542e443f3dc34ed85266f6a
co.fs2	fs2-scodec_2.12	3.2.8		5745c6f86c325c4f97dc80636c817550dbbe4c9c
co.fs2	fs2-scodec_2.12	3.2.9		08a820f0a653aa103c28c286404857b396995dfc
co.fs2	fs2-scodec_2.12	3.3.0		42451065fa163d540dd0732d165bac4923a5b4aa
co.fs2	fs2-scodec_2.12	3.4.0		e9e0a44b73b223b42875485cfd1f0663a7383b13
co.fs2	fs2-scodec_2.12	3.5-1c0be5c		8dbac1e49c4e8fc1a1bd1cbb7c05acef3a9b5219
co.fs2	fs2-scodec_2.12	3.5-ac5c657		3abdd3253a7651af0c8be5db96ac2c782d5a7e5d
co.fs2	fs2-scodec_2.12	3.5.0		6b96d300eb8e7d941ed09cd430b7e149cbccfc46
co.fs2	fs2-scodec_2.12	3.6.0		caec4459ad292a2deaca82aee9611e55847ea0ae
co.fs2	fs2-scodec_2.12	3.6.1		4d7622ddd03ee7c9539c31df7e7ffad803bc25a2
co.fs2	fs2-scodec_2.12	3.7.0		b6df027beb24304955e251de08d9eea32b91a666
co.fs2	fs2-scodec_2.12	3.7.0-RC1		11e686f67fb6c534c497e71bf6bff5c25516e683
co.fs2	fs2-scodec_2.12	3.7.0-RC2		0fb967550dd251c22cabbc54cfe91d42dda2e672
co.fs2	fs2-scodec_2.12	3.7.0-RC3		86dd87f17d9b0a941dc95a1f06865b3e414ebe12
co.fs2	fs2-scodec_2.12	3.7.0-RC4		a50355ce2066593bbc1e66a5ba9eff30b97146a6
co.fs2	fs2-scodec_2.12	3.7.0-RC5		12a60d4dce71f4611e8853604c22130200683304
co.fs2	fs2-scodec_2.12	3.8-1580d81		650e9e4acd4c029ef6e270db085e8ff457d5eb77
co.fs2	fs2-scodec_2.12	3.8-1af22dd		7750dad648d7e736dfc902f434f43053a596db58
co.fs2	fs2-scodec_2.12	3.8-75a2246		d4b033db50d1d55cc6b341e34842d66ebde0f903
co.fs2	fs2-scodec_2.12	3.8-a43eaac		f798c9d6e957998b5595f6ae6b2e3726a5f9b0e2
co.fs2	fs2-scodec_2.12	3.8-e358dce		1add88074ba76f42cd417a74466ee87387043210
co.fs2	fs2-scodec_2.12	3.8.0		91775def3a486a43298999269d5e81f1b08b79f2
co.fs2	fs2-scodec_2.12	3.9.0		d7a7e09b1f1f9b246a1f7642ec6a47148977f416
co.fs2	fs2-scodec_2.12	3.9.1		447f8f9960b07dfc91b050ffb5232ad3d11da6c4
co.fs2	fs2-scodec_2.12	3.9.2		d480876eb72e4b6ab86d5162f8008d8a8ff25ce8
co.fs2	fs2-scodec_2.12	3.9.3		0e89d5e26d057b1d0b3c43134b9919677b544081
co.fs2	fs2-scodec_2.12	3.9.4		b93ff634cae28e0f37d602d96e5afbf288e4741a
com.cosium.junixsocket	junixsocket-mysql	2.0.4.3		584775e698a8d07c6c9d8411783dc8efe9ff3664
com.crivano	jmodel	1.0.0		dfd5427351b15b3aa7cc34c00f475acfd8c5bca3
com.crivano	jmodel	1.0.1		f452153691fe5a1f1da90ae1c36513e16f65dec3
com.crivano	jmodel	1.0.2		ccbbca2762da5b8126d202b6d9b419aa11e2f144
com.crivano	jmodel	1.0.3		341e0e3c9c62d8b48d4297c35aeae7d6eea983bb
com.crivano	jmodel	1.0.4		5cec6913d02aa098eac4a5394e5157059dd98635
com.crivano	jmodel	1.0.5		6d52cc5a6fd885da0200a1b55c7070756d0d8c6a
com.github.aiowang	tw-logger-jdbc	1.1.1.1		5a3d4ef6fc336bb9f29aeeed8bc725852195f3aa
com.github.aiowang	tw-logger-jdbc	1.1.1.2		d21608502ef14438096e927f5b60f1675d498b31
com.github.aiowang	tw-logger-jdbc	1.1.1.3		f547560333f76a5bd0a028889689c5c6d4839bff
com.github.aiowang	tw-logger-jdbc	1.1.1.4		537ae5cc202823d91f67e1d17578d972c9a48695
com.github.aiowang	tw-logger-jdbc	1.1.1.5		e5669217e8380865d18a1b264eb98b0fadcf1b5f
com.github.aiowang	tw-logger-jdbc	1.1.1.6		d45decbfef269d21fb83abd5d18cfdebd093ba90
com.github.aiowang	tw-logger-jdbc	1.1.1.7		bc27ab06bd0e2afe92e9b0482a6866a0785e29ff
com.github.attemper	alarm-spring-boot-starter	0.1.0		230953c209fb3728e071db23605335b7e1420075
com.github.bancolombia	aws-parameter-store-manager-sync	3.1.0		9c57cdf735d49883ea331c63e5a845603f9b9e89
com.github.bancolombia	aws-parameter-store-manager-sync	3.1.1		35e41c48e87fcd078c06e658612923c880446fe0
com.github.bancolombia	aws-parameter-store-manager-sync	3.1.1.PREVIEW		5aedf4e6e214ca37c7d520b09956bda2a0eee2e8
com.github.bancolombia	aws-parameter-store-manager-sync	3.2.0		df7086544f797b853c93dc458d3af3d8c78f6de9
com.github.bancolombia	aws-parameter-store-manager-sync	4.0.0		df897763ad7cdf4051c2bd2dc489c8efba56c6cc
com.github.bancolombia	aws-parameter-store-manager-sync	4.1.0		20bed63be2d11c5e9b5a36d6ed30f72b98889701
com.github.bancolombia	aws-parameter-store-manager-sync	4.2.0		d57ae53b1299a1e4fa1be59f1180500f43cdea23
com.github.bancolombia	aws-parameter-store-manager-sync	4.3.0		39952c564862fcb71096a5e3c8d6ba4db87a9115
com.github.bancolombia	aws-parameter-store-manager-sync	4.3.1		f00e031fc5265cb4f6c01d44d6d82c0f821461fd
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.0		7e2e219609998ddf7f18b67f78dbd0e356b133a9
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.1		29e7d2e337b44bf69f1af09a3a9d49bfea7eb231
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.10		68c7ba8e7582de8a900d8f2fe9df247bda9963d3
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.11		a4049684c6d0ac82d3fdd5187d3a317b22e9f056
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.12		9e138082c053f38281397a743c49fd8b097b838d
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.13		a79c1b79c0b5b8a4a1b8d406c222dd0c145d2520
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.14		ef87f8ea36646468038d990ba3e796918617dff5
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.15		e890b94f7104c2e3645ab029e1fd16e3bcfd50c3
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.16		5e7d333669a21582956524746e126b62607c074f
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.17		8702d3a134dce18aa28551907dd015487dd9489c
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.18		12c7f92c693dd00a44f1a002dfe5b5e46814faa7
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.19		2d8bffabc481e582f50c64960138abb7c5763f97
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.2		1960642ab13e6ba76437c7cf3acf012d108aff1a
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.20		d69a62c2129c095123ec76466825a76623f99f9f
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.21		ea3ff27bf679d11d10d66e802d2fcff91e0b9fbe
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.22		d61902fec7105b04e01b1ecd1d5181c404eadbf0
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.23		654f8a276ed9239bfa92c7be559d1e2fa69e56cf
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.24		fa37f9c1f404ebaff054a11f31962bd7f1930ec5
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.25		7a6c318fca6de85e20776362a9929bfb0fd10c7a
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.26		dfe0eb03cbb83292eb87fdd9b49f48418193fc08
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.27		2046b6c27f598759e89b72c22011f78d83a0ae7a
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.28		c3754bbb19563784097cd17fb87f9b2ceae50d3c
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.29		2569e639f95d9e6f5b72f25a955b0dd84911f885
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.3		01cdcddcf8921a527a31e887010e20a869e201f4
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.30		7f8625498d901ce554d1e106bf8b0513f2dea1d1
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.31		6da4f9db46f2f13643aedd76f379691bf3815a2f
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.4		414071bac2bb99ca120baeab58877434e6fb52dc
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.5		f765e9be469a452fdc63ebed3fd24981aeab6821
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.6		f39862742cd6f58f9eaef530a9a97806f27897f4
com.github.bancolombia	aws-parameter-store-manager-sync	4.4.7		bd159e383d792cfe09ba4a656f6e4d830c4dfc1f
com.github.danielwegener	logback-kafka-appender	0.0.1		6668fdb48845d9d2a487a8b67cff018598fe7b7f
com.github.danielwegener	logback-kafka-appender	0.0.2		18b8291448067a56dc420ac0af154a687fabaa29
com.github.danielwegener	logback-kafka-appender	0.0.3		7b3aa03456f11cbd85d91b8c7d8da77676fea1d6
com.github.danielwegener	logback-kafka-appender	0.0.4		a11244777173c51a48275a34fefa9499277c7b2f
com.github.danielwegener	logback-kafka-appender	0.0.5		35ea010807cd6fbd057da7671d19258ffbcab558
com.github.danielwegener	logback-kafka-appender	0.1.0		48925b11ba35435caf1667ce794f83b9ea539d78
com.github.danielwegener	logback-kafka-appender	0.2.0-RC1		a7dc401537bcaea160eb337d6fa9ee4566af0d96
com.github.danielwegener	logback-kafka-appender	0.2.0-RC2		34729fddfd569d77392d5b0cd85111fd0676c136
com.github.fs2-blobstore	azure_2.13	0.7.0		9f80887251bad09a8ad93968003a82017a6f4f16
com.github.fs2-blobstore	azure_2.13	0.7.2		abb0797913a9c466309e5b4c5dd3d12703593edf
com.github.fs2-blobstore	azure_2.13	0.7.3		501cff85b171710501c04c5a5fe9ba0cffa4efec
com.github.fs2-blobstore	azure_2.13	0.8.0-beta1		ef68643bd9aa1e3ea19d8f7628642efda831aede
com.github.fs2-blobstore	azure_2.13	0.8.0-beta2		12271d50134b6ef8ef347453ec4232320522191c
com.github.fs2-blobstore	azure_2.13	0.8.0-beta3		d2e757265e0c907bb2a40fddc7291d4426c66e14
com.github.fs2-blobstore	azure_2.13	0.8.0-beta4		98ecebaa3d24abb8705ae2bb3407a64c952a76fa
com.github.fs2-blobstore	azure_2.13	0.8.0-beta5		2e30658dd6c8831f6e672c205a27b527d54d6803
com.github.fs2-blobstore	azure_2.13	0.8.0-beta6		e850a1c20d6f7594c6d3b7cc1c1640bc20f255d1
com.github.fs2-blobstore	azure_2.13	0.8.1		8c211155a320335b51b35690c62ea37449225641
com.github.fs2-blobstore	azure_2.13	0.8.10		5f3c6974966ec243392ba9c84bea2719b49f963b
com.github.fs2-blobstore	azure_2.13	0.8.11		176f5fff12c4f21eaab62362fdee666998388746
com.github.fs2-blobstore	azure_2.13	0.8.2		fd4b4f7ce0cdf2d58457d14a022037c3388017de
com.github.fs2-blobstore	azure_2.13	0.8.3		99a710a447727da3300a1a8bf0d2b540126a3d37
com.github.fs2-blobstore	azure_2.13	0.8.4		ee8ed781409884cf255dcd6f9e2984dc7ebbb336
com.github.fs2-blobstore	azure_2.13	0.8.5		e1913bb684893643b28c8634143d867f96e04805
com.github.fs2-blobstore	azure_2.13	0.8.6		3059db84d2648faa8128d1e654ca1c90304c37db
