ai.swim	swim-fabric	3.10.0	-	e77cf0e7d6793d1bc27fe0fa45971da2c8171f14
aws.sdk.kotlin	supplychain-jvm	1.0.65	-	16c999e4ddaaf53ccf4c8ac98a10b8dcd84531b5
aws.sdk.kotlin	supplychain-jvm	1.0.66	-	e14d00f15120d76490436934374bcf518711fc9a
aws.sdk.kotlin	supplychain-jvm	1.0.67	-	e43eb06d22e14a52f5e829c1e5034aff1e0dd990
aws.sdk.kotlin	supplychain-jvm	1.0.68	-	49e1b1f4de6a731aaee09564213fc5126118fc11
aws.sdk.kotlin	supplychain-jvm	1.0.69	-	6f4a73e7bb1e53bef5ab6038eb9d162d96164dfc
aws.sdk.kotlin	supplychain-jvm	1.0.70	-	0eb96b5b6df63c0e03cbeddf2189343fa9f6d7b0
aws.sdk.kotlin	supplychain-jvm	1.0.71	-	e0ff1df1acad6077b8706f416cbac5b82143ae48
aws.sdk.kotlin	supplychain-jvm	1.0.72	-	24a33b67ee04a3d21efbf0e3306c9c862b68557a
aws.sdk.kotlin	supplychain-jvm	1.0.73	-	74abc5abac831cbc718695f1109e721c89f2f383
aws.sdk.kotlin	supplychain-jvm	1.0.74	-	9030bde2dd9b8b337843dd305fdad33a24eec853
aws.sdk.kotlin	supplychain-jvm	1.0.75	-	e6878a269c3c396ffff773248c92738d69b624e7
aws.sdk.kotlin	supplychain-jvm	1.0.76	-	42705e2bfbb8f1ff95efe981c984b90b814ed9c3
aws.sdk.kotlin	supplychain-jvm	1.0.77	-	64d24058b51222c15ed4db82a2bdba3ffa210421
aws.sdk.kotlin	supplychain-jvm	1.0.78	-	ff4bddefbcc2aadf75c6cc1badf7ff831becb6d5
aws.sdk.kotlin	supplychain-jvm	1.0.79	-	295863d7a3b009c8e2664daa9e31d9daca3aeb51
aws.sdk.kotlin	supplychain-jvm	1.0.80	-	0c6c250b4f11194b85191a5128fadae5732507b6
aws.sdk.kotlin	supplychain-jvm	1.1.0	-	27facc232327192d46cc927d43bae081666f495f
aws.sdk.kotlin	supplychain-jvm	1.1.1	-	02b46439e27515636243bc1aaaaf3f38d135598f
aws.sdk.kotlin	supplychain-jvm	1.1.10	-	ceef48334e394c129b4e475edd7e4647d2f56b2a
aws.sdk.kotlin	supplychain-jvm	1.1.11	-	2ce7bd1d9baa0c0c834c4016ca1298a880812865
aws.sdk.kotlin	supplychain-jvm	1.1.12	-	b207c08c2d28afaaa0b232d1e4003af594992262
aws.sdk.kotlin	supplychain-jvm	1.1.13	-	ff87a71aeb5c8a948c25f3c5d92ae19b9419df07
aws.sdk.kotlin	supplychain-jvm	1.1.15	-	5a1f4bb10d9bbd4f867e331b392da83ffc2faeb3
aws.sdk.kotlin	supplychain-jvm	1.1.16	-	8bf13a2fc2441e3ff93d5c6135c5626c0d8882b0
aws.sdk.kotlin	supplychain-jvm	1.1.17	-	ef2382dcd30cd1799069655457ffa8e3fc59a92e
aws.sdk.kotlin	supplychain-jvm	1.1.18	-	5f3d023339ce2b257a588c126f75509a05849b7b
aws.sdk.kotlin	supplychain-jvm	1.1.19	-	7323df9c37ffe28bfb866a4dae0d389e978244b5
aws.sdk.kotlin	supplychain-jvm	1.1.2	-	a46b5f0348bb2062ae836ee48cdfaa77a1b3c79f
aws.sdk.kotlin	supplychain-jvm	1.1.20	-	3874a9284b7ff1c0fdc3caeae06b8c4039779980
aws.sdk.kotlin	supplychain-jvm	1.1.21	-	699077f91e25dcc5f415c638fbb4f22fb4f37fca
aws.sdk.kotlin	supplychain-jvm	1.1.22	-	5e2760b494d7cac5f2fc37fd7e90eb626bb800d7
aws.sdk.kotlin	supplychain-jvm	1.1.23	-	ab22f0a681f86ec2be47cc9b907d7e1968980868
aws.sdk.kotlin	supplychain-jvm	1.1.24	-	4cc87743fc7d3e1effc6611f8199b518a1f5db99
aws.sdk.kotlin	supplychain-jvm	1.1.25	-	0ed18681a34bcc1cb04bdee98462e0b0eaa4ac0b
aws.sdk.kotlin	supplychain-jvm	1.1.26	-	f63a4c492e7a944ac8e76b125c410032996b9171
aws.sdk.kotlin	supplychain-jvm	1.1.27	-	8cbec4523575883af6eb4558468a1973259bd234
aws.sdk.kotlin	supplychain-jvm	1.1.3	-	bf5e4adba99535c459d65c6ebe99bad30bd38244
aws.sdk.kotlin	supplychain-jvm	1.1.4	-	ec36385c430a6ac8084810a1db93295bdc0c876d
aws.sdk.kotlin	supplychain-jvm	1.1.5	-	b9ca87fdad10a33b03c04ea8cbfe8178fb4761f4
aws.sdk.kotlin	supplychain-jvm	1.1.6	-	7007c0d00f82d06dc533b438593866fe598156db
aws.sdk.kotlin	supplychain-jvm	1.1.7	-	a9dfa33c8cc7496b4a01499b0b19aae27714dc06
aws.sdk.kotlin	supplychain-jvm	1.1.8	-	f81f4d859f91f16106566163a16d667c91bce65d
aws.sdk.kotlin	supplychain-jvm	1.1.9	-	93aabed43be1f998cbf7623e447ef1fc22c5ff77
aws.sdk.kotlin	supplychain-jvm	1.2.0	-	6cae0788b07f4f52b5a27bece918b11d2e19cee2
aws.sdk.kotlin	supplychain-jvm	1.2.1	-	dfa3ae3b3c2ea0e982f45af6a41e1bca8d78ad3f
aws.sdk.kotlin	supplychain-jvm	1.2.10	-	90e9db116b0383d81f36933291068cad15d44552
aws.sdk.kotlin	supplychain-jvm	1.2.11	-	32ce805722563d4b929641b67520dcba70590572
aws.sdk.kotlin	supplychain-jvm	1.2.12	-	11d78ab9529d1a19ebdd23b18027641a9d158cbb
aws.sdk.kotlin	supplychain-jvm	1.2.13	-	9bd1faef61690b170634ff7464988193443235d6
aws.sdk.kotlin	supplychain-jvm	1.2.14	-	d7e4161406ef816ab1e556b056fc0529f938ca8c
aws.sdk.kotlin	supplychain-jvm	1.2.15	-	d646da2295b93cc49f516f0f3dfc0be40abdf964
aws.sdk.kotlin	supplychain-jvm	1.2.16	-	eba73238b71a29ca3f579b58540585c9eee5f127
aws.sdk.kotlin	supplychain-jvm	1.2.17	-	d075a49ebf868a2b933b4cd09862b57f1655d7ec
aws.sdk.kotlin	supplychain-jvm	1.2.18	-	11b027c5fcd139af5b981d239adebf6593e4b450
aws.sdk.kotlin	supplychain-jvm	1.2.19	-	8e4cf03b011c58cbcc14d9a5262db34f0afdc6c7
aws.sdk.kotlin	supplychain-jvm	1.2.2	-	207dc0ae81ad59cb11445cca61823c291176b75c
aws.sdk.kotlin	supplychain-jvm	1.2.20	-	dfb7dcdff54832f5ab032244063ec9bfb9231d73
aws.sdk.kotlin	supplychain-jvm	1.2.21	-	cd8b99ace582dd3f38243d3636de85fce2f6d3e2
aws.sdk.kotlin	supplychain-jvm	1.2.22	-	63715c06caa17bb8cdbc4e2d81843666c1985f56
aws.sdk.kotlin	supplychain-jvm	1.2.23	-	3b5de8bd11b6eddbaa21f83b870eb668d3cd8fcc
aws.sdk.kotlin	supplychain-jvm	1.2.24	-	544124adea56e37e2f4ad1bdc5dbd24c088a25f2
aws.sdk.kotlin	supplychain-jvm	1.2.25	-	a6e9577d169a9c69dd96c8447cd6d7ba2564b106
aws.sdk.kotlin	supplychain-jvm	1.2.26	-	cbddcdcf60a53527b067731c12c85e444146df24
aws.sdk.kotlin	supplychain-jvm	1.2.27	-	ed9e605f3e9fe4ce2d46171ce52f306d8a3aaf74
aws.sdk.kotlin	supplychain-jvm	1.2.28	-	111017eccee9b1328a91039c09c5c09de8de27a1
aws.sdk.kotlin	supplychain-jvm	1.2.29	-	b3484196e202b33b53ef449b7f820f047b5fe60e
aws.sdk.kotlin	supplychain-jvm	1.2.3	-	791663fbd58edf0a763a869c7a5a1efc3c1c723b
aws.sdk.kotlin	supplychain-jvm	1.2.30	-	9663a5f489d30429cd7b2e604e58cc39b3991c7d
aws.sdk.kotlin	supplychain-jvm	1.2.31	-	6d34a06efeb77afd7ddd2d0824dbb3b11b6b0afa
aws.sdk.kotlin	supplychain-jvm	1.2.32	-	d089b24c93e48f52500a0912d0a651efda955431
aws.sdk.kotlin	supplychain-jvm	1.2.33	-	ff11aac09f464009d042b0d11a7db5a2b0330778
aws.sdk.kotlin	supplychain-jvm	1.2.34	-	4a499a0b5c911ae5ed474957da4de31390e6e3df
aws.sdk.kotlin	supplychain-jvm	1.2.35	-	bd30a17c9e8338ee32d68e6d9f84f9f4330e653d
aws.sdk.kotlin	supplychain-jvm	1.2.36	-	bd39e81ff7950efd9bbc5dda91db5e7a8dfe61fe
aws.sdk.kotlin	supplychain-jvm	1.2.37	-	649ea1a623f7e1f72dfbde34890ebdb392dfa47e
aws.sdk.kotlin	supplychain-jvm	1.2.38	-	d2a87277414667b6561fa1641710ea767a938ca3
aws.sdk.kotlin	supplychain-jvm	1.2.39	-	a0a8120a529ddf721ae18ecb2182bc1813e0b12a
aws.sdk.kotlin	supplychain-jvm	1.2.4	-	91cc94ce39125b89ca636d83c1e025c79afa0a5a
aws.sdk.kotlin	supplychain-jvm	1.2.40	-	49797cd86dfa9cadae5d5e360ff4572b0bfb99bf
aws.sdk.kotlin	supplychain-jvm	1.2.41	-	7b56dbeb9b8554e9276fde3dd2427c8ca2abf5e0
aws.sdk.kotlin	supplychain-jvm	1.2.42	-	33ed4f7627e8b26b83494fb989ab21212a11db28
aws.sdk.kotlin	supplychain-jvm	1.2.43	-	911d09ccddbb513a294eba1b3af9bba1d71a533f
aws.sdk.kotlin	supplychain-jvm	1.2.44	-	99f03e1f7fc1228c2487a07916d162d754c30716
aws.sdk.kotlin	supplychain-jvm	1.2.45	-	3d66c7e856d314d8d7c40b4dc2edc803c386ebc7
aws.sdk.kotlin	supplychain-jvm	1.2.46	-	a8e74502de1582b84cdfa5ee32e0850553c3798e
aws.sdk.kotlin	supplychain-jvm	1.2.47	-	2fc27eb469161068f085d413564a9521c89e62b1
aws.sdk.kotlin	supplychain-jvm	1.2.48	-	1bd127671e1e134e3f9817216ef55d824415954b
aws.sdk.kotlin	supplychain-jvm	1.2.49	-	9ded162ec090f80da7df5554f8196f2feea64389
aws.sdk.kotlin	supplychain-jvm	1.2.5	-	d7268d153325933f5423a8dc95e70bb857403b23
aws.sdk.kotlin	supplychain-jvm	1.2.50	-	4209c8f8a1a7365a1f7061efa2fecf18e6e6c22b
aws.sdk.kotlin	supplychain-jvm	1.2.51	-	2be839e5712940e3c4c8030c1e5037f2f4e3c715
aws.sdk.kotlin	supplychain-jvm	1.2.52	-	b49dfc5e8308f4586fe87e2e22f669485ef2706b
aws.sdk.kotlin	supplychain-jvm	1.2.53	-	445083e9afe4e683e76fec078d537600131452d0
aws.sdk.kotlin	supplychain-jvm	1.2.54	-	fab2a43ea00edfca7883647935669cecb0d4c67b
aws.sdk.kotlin	supplychain-jvm	1.2.55	-	3a357261c39705093d29481f48c02a907504d65a
aws.sdk.kotlin	supplychain-jvm	1.2.56	-	4d6f447ca0d0b8f2b05da3826a9cab94864c68e1
aws.sdk.kotlin	supplychain-jvm	1.2.6	-	ff16fe8a0b0227e2e5a9234a6aa425686a708dce
aws.sdk.kotlin	supplychain-jvm	1.2.7	-	6cc2edb19fea29bbb5d1df195a294084d71670d4
aws.sdk.kotlin	supplychain-jvm	1.2.8	-	3618976de46563c5de242733a9b3a44566a67db4
aws.sdk.kotlin	supplychain-jvm	1.2.9	-	e5adfa1ad3e7bb56a35793d8319353d44e482675
aws.sdk.kotlin	supplychain-jvm	1.3.0	-	0f0e0d294ddcd3300e0be2652573d79f37ca89d3
aws.sdk.kotlin	supplychain-jvm	1.3.1	-	0bb081918c612a5aae190ff06fd9f2141cf921e6
aws.sdk.kotlin	supplychain-jvm	1.3.10	-	a5474b762c4dad8a0df63e642b53723379182f60
aws.sdk.kotlin	supplychain-jvm	1.3.100	-	ed25204c204680025df82f25115ce2a20c55367e
aws.sdk.kotlin	supplychain-jvm	1.3.101	-	045844c78e1c6f9ae8e7e870abf434b74231c8e0
aws.sdk.kotlin	supplychain-jvm	1.3.102	-	c46f53fbdcd1813846c807c0bc76613d9af44ffd
aws.sdk.kotlin	supplychain-jvm	1.3.103	-	faf8a232bd82cde1d1116839f7f9193894ac77c2
aws.sdk.kotlin	supplychain-jvm	1.3.104	-	4a0664c488e32479f72ed32d6f90a82db8a590e7
aws.sdk.kotlin	supplychain-jvm	1.3.105	-	9bac56cc6b38000795faed67134340c0c968c012
aws.sdk.kotlin	supplychain-jvm	1.3.106	-	3eeb069b99ecc93295b83e8d3200cfbc41feabea
aws.sdk.kotlin	supplychain-jvm	1.3.107	-	3594f9bc1d024444c9fbbead3824e68a9f6a78f7
aws.sdk.kotlin	supplychain-jvm	1.3.108	-	69cb063994573e95c07f9caefb6cbc2b468d13cf
aws.sdk.kotlin	supplychain-jvm	1.3.109	-	2300f3024122c24c75d5de7a18bfd13c6495cc04
aws.sdk.kotlin	supplychain-jvm	1.3.11	-	1079aea9094bb2f8488996a455bd7989dd209211
aws.sdk.kotlin	supplychain-jvm	1.3.110	-	5df178e468dfa0829a62990501b98730c6ab6e61
aws.sdk.kotlin	supplychain-jvm	1.3.111	-	1a411b22f44a67ab27cf2ba1ea4d7eaa073d7e96
aws.sdk.kotlin	supplychain-jvm	1.3.112	-	cf7f2f49350a1f5e7ab57193198c9ea3ae01196d
aws.sdk.kotlin	supplychain-jvm	1.3.12	-	c6a60e756d0d4e88fca94ae5aa651046c075b82e
aws.sdk.kotlin	supplychain-jvm	1.3.13	-	9f01c5b0c2ee98e9f81f6e3483921d231f240294
aws.sdk.kotlin	supplychain-jvm	1.3.14	-	36c3db950455d971c605544600676301167e0fd2
aws.sdk.kotlin	supplychain-jvm	1.3.15	-	b3b89acbf2178dcee97eb53c4a3132a23cb8c683
aws.sdk.kotlin	supplychain-jvm	1.3.16	-	df12b0a25efffd5cd202a9dc88029de572e3aa07
aws.sdk.kotlin	supplychain-jvm	1.3.17	-	32a7c2ed23dee86625b216f571d286ca56dd5991
aws.sdk.kotlin	supplychain-jvm	1.3.18	-	a29bf9b8ed26ebd13a15bb70c3f19cf6de82cc21
aws.sdk.kotlin	supplychain-jvm	1.3.19	-	e902a5744c443bc754ee05a6af99643c9bebf220
aws.sdk.kotlin	supplychain-jvm	1.3.2	-	1d8464bb9edc838955a3d39d6fcd44af2effc1f7
aws.sdk.kotlin	supplychain-jvm	1.3.20	-	dfc0fa47407f799f60602125ae04613162415172
aws.sdk.kotlin	supplychain-jvm	1.3.21	-	e77c60c19895da9f81b11bc138a69f4a1cd84359
aws.sdk.kotlin	supplychain-jvm	1.3.22	-	3503868583a4dc4269848847598f3941c221e01b
aws.sdk.kotlin	supplychain-jvm	1.3.23	-	b6ad511dec2cd7ed8dbe500f861685921997a9e5
aws.sdk.kotlin	supplychain-jvm	1.3.24	-	08155298b389a1473c39b7e524a7f44b1ca73d95
aws.sdk.kotlin	supplychain-jvm	1.3.25	-	c1cb43edd928d2543b856c9c2c84e17e30af2bcf
aws.sdk.kotlin	supplychain-jvm	1.3.26	-	10d81bff2ec7551097ac4d50ed8ceae3bc70ba06
aws.sdk.kotlin	supplychain-jvm	1.3.27	-	c6b680edf75fe4385de9a8826665a5aff70e1797
aws.sdk.kotlin	supplychain-jvm	1.3.28	-	4a6e6a3cea7eebf2a62c04c6278f6f8aa1250fe1
aws.sdk.kotlin	supplychain-jvm	1.3.29	-	c4d4e3564cc4d73a1cdf13b809e89b7c00e0f2e2
aws.sdk.kotlin	supplychain-jvm	1.3.3	-	711a99d971679269424132983da32213fd514ae5
aws.sdk.kotlin	supplychain-jvm	1.3.30	-	27a86d0c12dd19e45a22e0058b1c8902ac5c38f5
aws.sdk.kotlin	supplychain-jvm	1.3.31	-	0f39fc0f568f715860ce84f1fea8190f4599b8ec
aws.sdk.kotlin	supplychain-jvm	1.3.32	-	79553af68d50c2e866dab4027fe940ae003fb65e
aws.sdk.kotlin	supplychain-jvm	1.3.33	-	1146054aca279103ce8e56c55ebc2b336c453fd1
aws.sdk.kotlin	supplychain-jvm	1.3.34	-	a0d2ec4d46a21c242a1cd01fb5ccecadd761cb1b
aws.sdk.kotlin	supplychain-jvm	1.3.35	-	83f9480f9d3e30fe13b7d088dcbf79ec5b22c6c6
aws.sdk.kotlin	supplychain-jvm	1.3.36	-	466c91e1fa1c2b50ea92e193348b226af968faa9
aws.sdk.kotlin	supplychain-jvm	1.3.37	-	bf00a4402558eb3423e45c2b2ba16e6180f1b303
aws.sdk.kotlin	supplychain-jvm	1.3.38	-	6947a6c51311d797a9e673a0bc7738a47535ed04
aws.sdk.kotlin	supplychain-jvm	1.3.39	-	04a4595fcaa00a8522558eaa35e2a58b401406fb
aws.sdk.kotlin	supplychain-jvm	1.3.4	-	87c92d365c6568a2d8593f5a3e9cbfdf18e46655
aws.sdk.kotlin	supplychain-jvm	1.3.40	-	c7e148593c389c402d9525e3ad1732fad4b3aac4
aws.sdk.kotlin	supplychain-jvm	1.3.41	-	70d07c9e8cf6819b2f05a7e59cf533cb7686d0e9
aws.sdk.kotlin	supplychain-jvm	1.3.42	-	fd3c6a0b1687b0bae792ac933de412a8a757b65a
aws.sdk.kotlin	supplychain-jvm	1.3.43	-	36050cf119d67f1fc09ef1eb34c4ef4799458954
aws.sdk.kotlin	supplychain-jvm	1.3.44	-	1eebbf78ed2a1100325f8d93b5770fcf0d00de8e
aws.sdk.kotlin	supplychain-jvm	1.3.45	-	f6d8eddb011bc2333751664bf55f9fe4392f850a
aws.sdk.kotlin	supplychain-jvm	1.3.46	-	cdfc0e8e672e7e8c6a64493685b0a1742aad1399
aws.sdk.kotlin	supplychain-jvm	1.3.47	-	dfbfdbbdf5c6bbd30c51b0a741bec63bd84a58a0
aws.sdk.kotlin	supplychain-jvm	1.3.48	-	ca20a8f4f55940f5b8cfccf2788cbf78dbbeda23
aws.sdk.kotlin	supplychain-jvm	1.3.49	-	8e9b1c5d0a9db830ea337c9b234106534cb2d6a0
aws.sdk.kotlin	supplychain-jvm	1.3.5	-	77202845c0b6cb17cfedb1955f9caad020b8dd45
aws.sdk.kotlin	supplychain-jvm	1.3.50	-	bb73dcb1cac4560740367e32c3c7785f4a6ff042
aws.sdk.kotlin	supplychain-jvm	1.3.51	-	f188eb78e082c1337358817449419d8630f8da0b
aws.sdk.kotlin	supplychain-jvm	1.3.52	-	48540f0af88486affdf22480c63fc95723061953
aws.sdk.kotlin	supplychain-jvm	1.3.53	-	37be821e1c6cd03da1be4f65df50c8d8188ab7a9
aws.sdk.kotlin	supplychain-jvm	1.3.54	-	efeff3cbdc1e14b35662f0c6c49c7d74065fb5b7
aws.sdk.kotlin	supplychain-jvm	1.3.55	-	90947fa860c21635a1ab03fc74bda0199e7e4406
aws.sdk.kotlin	supplychain-jvm	1.3.56	-	c84daaf22dcc66c009bc440a55bbbbc7278151e3
aws.sdk.kotlin	supplychain-jvm	1.3.57	-	0d7c8341df98ae89b44b40410c942a217375d1a2
aws.sdk.kotlin	supplychain-jvm	1.3.58	-	2949e65a531436452acfe3bad7ca9dcc4583663a
aws.sdk.kotlin	supplychain-jvm	1.3.59	-	f0f580c408a27b82da1bf04a8b50c7c343a946dc
aws.sdk.kotlin	supplychain-jvm	1.3.6	-	28508b4ad56b56e14ce8db8d928d84cb791a507a
aws.sdk.kotlin	supplychain-jvm	1.3.60	-	cb0d06b736d26305ab195d8f560ad9bfaf0d2c87
aws.sdk.kotlin	supplychain-jvm	1.3.61	-	fc628a3c0d6ffe8fc71ade226c9801eddf1ed016
aws.sdk.kotlin	supplychain-jvm	1.3.62	-	099f92b0011ef99c67a622b34e65bcae56fd8c36
aws.sdk.kotlin	supplychain-jvm	1.3.63	-	88978a621fb28d4add89e4872668be8722a732fe
aws.sdk.kotlin	supplychain-jvm	1.3.64	-	9202f06bc17179d5342c087755c6d1882ccbe536
aws.sdk.kotlin	supplychain-jvm	1.3.65	-	76101270307dc91b48670b7d754773c648618a14
aws.sdk.kotlin	supplychain-jvm	1.3.66	-	3cd2683c1664bc10119e877ce44559cac98ce965
aws.sdk.kotlin	supplychain-jvm	1.3.67	-	43d09bb3268f434e6049b171b81e3e9e73774fc3
aws.sdk.kotlin	supplychain-jvm	1.3.68	-	5271fd12bd625fda6b41ec2c84b88af43ac73d88
aws.sdk.kotlin	supplychain-jvm	1.3.69	-	13391128e70936d9f7b15980c6688e8ad42cd152
aws.sdk.kotlin	supplychain-jvm	1.3.7	-	4971ad5c68ac6e8e715a92d692806f4802acb94e
aws.sdk.kotlin	supplychain-jvm	1.3.70	-	42329325336a24a8d88fbe76f31a2f843c065558
aws.sdk.kotlin	supplychain-jvm	1.3.71	-	c9ab16c4adf274dd1cf186b69800d89d1d07cf01
aws.sdk.kotlin	supplychain-jvm	1.3.72	-	90544b1ea05868a882e94b1cfeaa289b4fcd78d5
aws.sdk.kotlin	supplychain-jvm	1.3.73	-	b698d75ab4d796523c89883f92e11bda0a57c77f
aws.sdk.kotlin	supplychain-jvm	1.3.74	-	0380f134a22517966b2afc3adafc41d154e04d1d
aws.sdk.kotlin	supplychain-jvm	1.3.75	-	da3e89f9710c3404164608695fb185e72f119958
aws.sdk.kotlin	supplychain-jvm	1.3.76	-	f5f1127bc5c3b3c03a73cf67b9abebd5b5b81d2a
aws.sdk.kotlin	supplychain-jvm	1.3.77	-	84bce254a5aacde542431906bf4b72d5d94a4544
aws.sdk.kotlin	supplychain-jvm	1.3.78	-	29449fc167119041247a0a550d89635ce50d2eaf
aws.sdk.kotlin	supplychain-jvm	1.3.79	-	44a2f8ccda59841ab51998da3bcd30615ab331f4
aws.sdk.kotlin	supplychain-jvm	1.3.8	-	7e6f0a48819a8ff024d48f7f90385d2f620905a2
aws.sdk.kotlin	supplychain-jvm	1.3.80	-	89f06dd639623e7fa547bd512db9c9e6ff95d3e5
aws.sdk.kotlin	supplychain-jvm	1.3.81	-	a5225d6fcc3d74d78e5d03fef05fbff0bd00d855
aws.sdk.kotlin	supplychain-jvm	1.3.82	-	e99c2bcc893eeff3cacd8def8c1d90ff1e5234b7
aws.sdk.kotlin	supplychain-jvm	1.3.83	-	5b237735b3fa5c9d9827e9293df98ae1c91f5c84
aws.sdk.kotlin	supplychain-jvm	1.3.84	-	801c904e57dc25f43fdbdaf22c362a1e4ab7fc0a
aws.sdk.kotlin	supplychain-jvm	1.3.85	-	4cf3d8b96888c980c0fd7b4f2a5d4e6c8bb6635b
aws.sdk.kotlin	supplychain-jvm	1.3.86	-	7321bbd6cf72eba7843e5b174f83319bebeb98db
aws.sdk.kotlin	supplychain-jvm	1.3.87	-	2289871cd4025a068d40884b681b7074567fd67e
aws.sdk.kotlin	supplychain-jvm	1.3.88	-	12c299a148c5baeea9be628291bb83149f3af2b7
aws.sdk.kotlin	supplychain-jvm	1.3.89	-	0423ab80298c6bdfd1e69b2a98dfc4296688b710
aws.sdk.kotlin	supplychain-jvm	1.3.9	-	e2e5418153838f65ddeebe795228a9d586ae357c
aws.sdk.kotlin	supplychain-jvm	1.3.90	-	da73924744ba89829a03dcafb335f914f58974dc
aws.sdk.kotlin	supplychain-jvm	1.3.91	-	ba0dd06b05630499d65a7423ab6e57e66adb0dc4
aws.sdk.kotlin	supplychain-jvm	1.3.92	-	94db4a505dc5deee98dd85a7e63675451770db68
aws.sdk.kotlin	supplychain-jvm	1.3.93	-	cd77c330d8bd269ed8aa679a6d84238151cdc96d
aws.sdk.kotlin	supplychain-jvm	1.3.94	-	036bfbba4d9e6ddcb9967225f9d8be774805e919
aws.sdk.kotlin	supplychain-jvm	1.3.95	-	70df334a631604519a19a0c2a1b44d4562cc7d88
aws.sdk.kotlin	supplychain-jvm	1.3.96	-	b68060b8befb83338144f16b6edeba359d95fc37
aws.sdk.kotlin	supplychain-jvm	1.3.97	-	25e1154da3a7ea26c57eb0bd8234cf1356f0f532
aws.sdk.kotlin	supplychain-jvm	1.3.98	-	b1addff4afd34d6d7349a387f7c6f834a540b554
aws.sdk.kotlin	supplychain-jvm	1.3.99	-	4812c624a0612779bd1026ef85554c7637eb4c0c
aws.sdk.kotlin	supplychain-jvm	1.4.0	-	ff44856d9359860b0fae2753ed8166638f8939fd
