com.disneystreaming	weaver-monix-core_sjs1_2.12	0.6.5		5c38c8ccf341231257b4777537b8094c3f8255bc
com.disneystreaming	weaver-monix-core_sjs1_2.12	0.6.6		1579d6b535ea106c800c835e06da78269ce2f054
com.disneystreaming	weaver-monix-core_sjs1_2.12	0.6.7		9a448e31790a5e846cb1b9bdca4b1f93592d9d99
com.disneystreaming	weaver-monix-core_sjs1_2.12	0.6.8		c6a94b399b16f71fbdd1b6eb0a5b0d8eba011224
com.disneystreaming	weaver-monix-core_sjs1_2.12	0.6.9		e916fbd5baa8493c5fa6a7710fa0343a6c6defa9
com.emarsys	scala-logger-ce3_3.0.0-RC3	0.8.1		4cc880d746099f26dfe7f0536f1842c535d6fd36
com.eworkcloud	ework-cloud-starter-log	1.2.6		22b006af8994d33029063ceb2b8bac2dd66b1580
com.eworkcloud	ework-cloud-starter-log	1.2.7		dd9ef983b70954aa631a5165d939c451d6192b38
com.eworkcloud	ework-cloud-starter-log	1.2.8		3645dfd968333db869d9d799b6b8c6226377ab2f
com.eworkcloud	ework-cloud-starter-log	1.2.9		0e91bdb07c2b0c357e14f760fed7680772227dff
com.eworkcloud	ework-cloud-starter-log	1.3.0		39afa8817a7fd8e74ce075e3bddd71d305b27f91
com.eworkcloud	ework-cloud-starter-log	1.3.1		6a963e9f4dde087e3caba194e49e1e6447d1dd0e
com.eworkcloud	ework-cloud-starter-log	1.3.2		dcfbdcf653575c697a1d3cac22e01acd8acebedf
com.eworkcloud	ework-cloud-starter-log	1.3.3		17aeafd3ddc6b88d8f23396dbd3247d44afb6b33
com.eworkcloud	ework-cloud-starter-log	1.3.4		f66186297593e075d53581db7afde42045de3cc3
com.eworkcloud	ework-cloud-starter-log	1.3.5		6044efe55ebb7fcc10971897e9772caf18e7aff9
com.eworkcloud	ework-cloud-starter-log	1.3.6		a8db9f1ad6b6c27ae5c8638809d64f9dd9583ff2
com.eworkcloud	ework-cloud-starter-log	1.3.7		17733236ff682169a9aa3c81624cd159e19921c7
com.eworkcloud	ework-cloud-starter-log	1.3.8		84c49674c1b4111d6cea12a57f9f626c62df6316
com.eworkcloud	ework-cloud-starter-log	1.3.9		2fe5f913b3ac2001cb8ea870608fe9d0a6929f36
com.eworkcloud	ework-cloud-starter-log	1.4.0		b4edbf7023c2d508f719e184028e62c1ebe8d5ee
com.eworkcloud	ework-cloud-starter-log	1.4.1		51cf990c4b3cc90f5c8e122bbff18f283645f715
com.eworkcloud	ework-cloud-starter-log	1.4.2		639e26c3cf9beaa931abca798c94dfebf18f53bd
com.eworkcloud	ework-cloud-starter-log	1.4.3		7caed1a861e834a11474943d078e7167a5b699f3
com.eworkcloud	ework-cloud-starter-log	1.4.4		912e8312085159850cae97357ce7a3a625a8433d
com.eworkcloud	ework-cloud-starter-log	1.4.5		d7d0106aee325af01aa6dea2dafd69dc5220296b
com.eworkcloud	ework-cloud-starter-log	1.4.6		ccf1977577f6fb1787f98966366ab720f1a639a9
com.eworkcloud	ework-cloud-starter-log	1.4.7		54ead40b0f7b6e99d6b9a2f125f30246bb98d0a0
com.eworkcloud	ework-cloud-starter-log	1.4.8		d4cb3c91005419efec301dab82b50280efe933ac
com.eworkcloud	ework-cloud-starter-log	1.4.9		00afd6df4edd3160e835d5e34aeac76ecb68b09e
com.eworkcloud	ework-cloud-starter-log	1.5.0		6fb8a638fe9190b857ce50df54003f4a4a7f3b67
com.eworkcloud	ework-cloud-starter-log	1.5.1		34a2986addce1836565e98ae4ebaf541731f7e28
com.eworkcloud	ework-cloud-starter-log	1.5.2		3c73ab0749ce764cb5ff1e69c40e4992a673d460
com.eworkcloud	ework-cloud-starter-log	1.5.3		38cf3becee2d12389dbd795bf75fc808786e152d
com.eworkcloud	ework-cloud-starter-log	1.5.4		9eadc41ea08f7c28c721767a362efba9853f684b
com.eworkcloud	ework-cloud-starter-log	1.5.5		1450acd3e17c2ce312da41a3470aa5a65230e5e4
com.eworkcloud	ework-cloud-starter-log	1.5.6		30cd6979869aec2771db1489abbffeec1f2b0cd8
com.eworkcloud	ework-cloud-starter-log	1.5.7		1f8819925c315fc728cd161bbe0d51dd4005d364
com.eworkcloud	ework-cloud-starter-log	1.5.8		9fdde01d663b831766cf7910f43053cab96fe2fe
com.eworkcloud	ework-cloud-starter-log	1.5.9		5c85b2d84da990c15c1a0cddb722489203630f78
com.eworkcloud	ework-cloud-starter-log	1.6.0		631c335696026fce47d2762d93512065ecc6b54c
com.eworkcloud	ework-cloud-starter-log	1.6.1		65ea9ddc0a4d493ee7f07cc856a0c6b2b83e44da
com.eworkcloud	ework-cloud-starter-log	1.6.2		484ba0e8341d082e64b93036c85171fd5ed006ba
com.eworkcloud	ework-cloud-starter-log	1.6.3		06d3fb39d76961cd4480fbd0977f4cb47be313f6
com.eworkcloud	ework-cloud-starter-log	1.6.4		dc5c658eec76eb05f86af201eb473e343dd71b9f
com.eworkcloud	ework-cloud-starter-log	1.6.5		a1d2d6bb2853fe02c1f1242db6cbe38f844e54df
com.eworkcloud	ework-cloud-starter-log	1.6.6		589f6f5836cfca0d0dd016d30d65ec87c53036a4
com.eworkcloud	ework-cloud-starter-log	1.6.7		5b7072d38cc31fdf91fa637e938b72c0bc4cac96
com.eworkcloud	ework-cloud-starter-log	1.6.8		0f87e8611cfeda09f89a0b4f6a0d78e3db5b7c5e
com.eworkcloud	ework-cloud-starter-log	1.6.9		3bacbf32bffcc8aeefb72586eacd940712eae4db
com.eworkcloud	ework-cloud-starter-log	1.7.0		ee443619db98585a284f05c0807d61f7a5bfa3f1
com.eworkcloud	ework-cloud-starter-log	1.7.1		197512e4ec9e833e830581558d7c5b6a06621a62
com.eworkcloud	ework-cloud-starter-log	1.7.2		bd7f6d0121c3760fd10e26ba4224ecec4bff402c
com.eworkcloud	ework-cloud-starter-log	1.7.3		f25431d86b581ec96a83e02477dd14513ccfd1cd
com.eworkcloud	ework-cloud-starter-log	1.7.4		1b2e524556f8c91dbe03e75434b2b73c57767907
com.eworkcloud	ework-cloud-starter-log	1.7.5		27de980a22508fd6fe407698cfb6ca9de9cb08f1
com.eworkcloud	ework-cloud-starter-log	1.7.6		959ba916b060c5edb4989b4c3c6ef9a7c2ff8cdb
com.eworkcloud	ework-cloud-starter-log	1.7.7		87fc15a1f2e9103aec4b86bc1fa40b65d79eebfa
com.eworkcloud	ework-cloud-starter-log	1.7.8		02a0abfd7322ab189c7a3cb5845e0de41e3c28df
com.eworkcloud	ework-cloud-starter-log	1.7.9		7397948059f7cc4a8f885918dd5556ed440ae109
com.eworkcloud	ework-cloud-starter-log	1.8.0		3296359e6a7254aab8e0f8248ab7e1fd8a176b24
com.eworkcloud	ework-cloud-starter-log	1.8.1		c5a3ceeaf59453f256ba38cf9efa2deb48b89d9f
com.eworkcloud	ework-cloud-starter-log	1.8.2		d6716f4e9d378ea3ef33bdfb20e19c44f997b338
com.eworkcloud	ework-cloud-starter-log	1.8.3		a494b20daa2310a2cb510fa512c78418a75c6662
com.eworkcloud	ework-cloud-starter-log	1.8.4		fc0498f48901c62ae5d21bad58ae16f03b00db18
com.eworkcloud	ework-cloud-starter-log	1.8.5		8854bfdf283387ba06d92d900001c6e76eea5c71
com.eworkcloud	ework-cloud-starter-log	1.8.6		09ed8ff3c8f0a25ec2b355a24edc3e679959130d
com.eworkcloud	ework-cloud-starter-log	2.0.0		7db2fdb7251e511a0bf127df876bcabb2119c7b3
com.eworkcloud	ework-cloud-starter-log	2.0.1		68ce41c8d95cc3fcd3d8eed608890c4b09917760
com.eworkcloud	ework-cloud-starter-log	2.0.2		9eecd3c501fc4798fe24ec61c1d7f80c848153c1
com.eworkcloud	ework-cloud-starter-log	2.0.3		5e269f915871a3d988032d203fa52e613f66a017
com.eworkcloud	ework-cloud-starter-log	2.0.4		c9f68e61008e0b91e2dbe97d23d2d572628926b7
com.eworkcloud	ework-cloud-starter-log	2.0.5		58e7bb5e8a201f8975a186acbc95300648de6989
com.eworkcloud	ework-cloud-starter-log	2.0.6		775e5a340d5bd753b8caa255f2230774a5b420f1
com.eworkcloud	ework-cloud-starter-log	2.0.7		0bc324f3762e6b4625f076871456352140081507
com.eworkcloud	ework-cloud-starter-log	2.0.8		5773f455ee3cbad1547f087591cce74f4304bb8f
com.eworkcloud	ework-cloud-starter-log	2.0.9		5dc011007650e9e9f78bc14f144fdba804bc78f9
com.eworkcloud	ework-cloud-starter-log	2.1.0		2f26ce93d045f291e752abd4203bf663a517b13b
com.eworkcloud	ework-cloud-starter-log	2.1.1		df2aea06a075a82ea6f1dd9ad65442cbf3cd681a
com.eworkcloud	ework-cloud-starter-log	2.1.2		2c1ba4b248d4b81e24720e4a7475963fb257a3f5
com.eworkcloud	ework-cloud-starter-log	2.1.3		d56ad92f97ede69ad074ee7c6781c034f94b7d0b
com.eworkcloud	ework-cloud-starter-log	2.1.4		8205d478b8d369327af94ae5ee3fea072d789621
com.eworkcloud	ework-cloud-starter-log	2.1.5		8b674c3bd65b34e8f934783ea226e4ff95840d30
com.eworkcloud	ework-cloud-starter-log	2.1.6		ce4fee1098eee3447c8922ef3f424c42d6686b51
com.eworkcloud	ework-cloud-starter-log	2.1.7		090d37f57fbc942da54a6892eff8a8911938df00
com.eworkcloud	ework-cloud-starter-log	2.1.8		ee45da8ba9973298ea1a3b8505b59ad1c87d813f
com.eworkcloud	ework-cloud-starter-log	2.1.9		24d0797fc7bd09cfccf9fd3717d1b31e62584e75
com.eworkcloud	ework-cloud-starter-log	2.2.0		63fe796e6949d4e7dca53fa14b67c70bc277bd77
com.eworkcloud	ework-cloud-starter-log	2.2.1		923d82928361f71a6437d5a585d16f246acb90f3
com.fleeksoft.ksoup	ksoup-engine-kotlinx-macosx64	0.1.5		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-macosx64	0.1.5	metadata	715f03784a74c7d3266d5e235170ba90825d193c
com.fleeksoft.ksoup	ksoup-engine-kotlinx-macosx64	0.1.6		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-macosx64	0.1.6	metadata	e2216f36242b44d1a36bdeea1ed654c7daf661b7
com.fleeksoft.ksoup	ksoup-engine-kotlinx-macosx64	0.1.6-alpha1		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-macosx64	0.1.6-alpha1	metadata	48d96f94b8c3012a13c6e31591d37c64535d6968
com.fleeksoft.ksoup	ksoup-engine-kotlinx-macosx64	0.1.7		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-macosx64	0.1.7	metadata	dbb823a463c784faaf91722ca7f4c456d3901861
com.fleeksoft.ksoup	ksoup-engine-kotlinx-macosx64	0.1.8		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-macosx64	0.1.8	metadata	8c1d8b8aca73ad6064135ca69bf75ac066841d53
com.fleeksoft.ksoup	ksoup-engine-kotlinx-macosx64	0.1.9		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-macosx64	0.1.9	metadata	6c99dbc141324ad89cb430681d8ae30c6f256840
com.fleeksoft.ksoup	ksoup-engine-kotlinx-macosx64	0.2.0		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-macosx64	0.2.0	metadata	f2c7559b6c44835fc39c56bdd18170bc5129a747
com.github.ajalt.clikt	clikt-mingwx64	3.0.0		N/A
com.github.ajalt.clikt	clikt-mingwx64	3.0.0-rc		N/A
com.github.ajalt.clikt	clikt-mingwx64	3.0.1		N/A
com.github.ajalt.clikt	clikt-mingwx64	3.1.0		N/A
com.github.ajalt.clikt	clikt-mingwx64	3.2.0		N/A
com.github.ajalt.clikt	clikt-mingwx64	3.3.0		N/A
com.github.ajalt.clikt	clikt-mingwx64	3.4.0		N/A
com.github.ajalt.clikt	clikt-mingwx64	3.4.1		N/A
com.github.ajalt.clikt	clikt-mingwx64	3.4.2		N/A
com.github.ajalt.clikt	clikt-mingwx64	3.5.0		N/A
com.github.ajalt.clikt	clikt-mingwx64	3.5.1		N/A
com.github.ajalt.clikt	clikt-mingwx64	3.5.2		N/A
com.github.ajalt.clikt	clikt-mingwx64	3.5.3		N/A
com.github.ajalt.clikt	clikt-mingwx64	3.5.4		N/A
com.github.ajalt.clikt	clikt-mingwx64	4.0.0		N/A
com.github.ajalt.clikt	clikt-mingwx64	4.0.0-RC		N/A
com.github.ajalt.clikt	clikt-mingwx64	4.1.0		N/A
com.github.ajalt.clikt	clikt-mingwx64	4.2.0		N/A
com.github.ajalt.clikt	clikt-mingwx64	4.2.1		N/A
com.github.ajalt.clikt	clikt-mingwx64	4.2.2		N/A
com.github.ajalt.clikt	clikt-mingwx64	4.3.0		N/A
com.github.ajalt.clikt	clikt-mingwx64	4.4.0		N/A
com.github.ajalt.clikt	clikt-mingwx64	5.0.0		N/A
com.github.ajalt.clikt	clikt-mingwx64	5.0.1		N/A
com.github.ajalt.clikt	clikt-mingwx64	5.0.2		N/A
com.github.ajalt.clikt	clikt-mingwx64	5.0.3		N/A
com.github.heuermh.adamcommands	adam-commands_2.10	0.18.0		95ac5779ba3bdfd3cdc92642983944aad0eaddae
com.github.heuermh.adamcommands	adam-commands_2.10	0.18.1		5f31b1474305e534781bb360241272207877de88
com.github.heuermh.adamcommands	adam-commands_2.10	0.18.2		a29f3988b7f1783fe8a54766fc23c5cddafa9ef1
com.github.heuermh.adamcommands	adam-commands_2.10	0.19.0		c49399aa5689519b6c56e4b857ea007cfc148b10
com.github.heuermh.adamcommands	adam-commands_2.10	0.22.0		550e107bb13061a7f0e9c44603e73c589d2b821f
com.github.javakeyring	java-keyring	0.1		a5265c900c791e12d8bb54d9b86cd15e607abd45
com.github.javakeyring	java-keyring	1.0.0		43ad730f8fb81c5bb9b6f8d31b2786839b58ab64
com.github.javakeyring	java-keyring	1.0.1		dbec1be5e7d89195d65d487f9882909971eb4a45
com.github.javakeyring	java-keyring	1.0.2		cce3e46822b00b8784d6173ec28ff79535f8b552
com.github.javakeyring	java-keyring	1.0.3		a319ea43be527ef7e46406da81a9ba44be735ec8
com.github.javakeyring	java-keyring	1.0.4		2d506e2678663c6d91be51f21d0543925cecd8be
com.github.open-source-sharing	restdoc-remoting	1.0.RELEASE		77938d36287c95586ddf8996db715c58b3dedc97
