bayern.steinbrecher	jcommander	1.80		b23a3bd2f8f9c160303246f43141cfd817c5758d
com.github.mlangc	slf4zio_2.12	0.1.0		e5788d45da7610731adb4ab4c22c573e7903feb4
com.github.mlangc	slf4zio_2.12	0.2.0		f2ae577d4aa38a3d9639e8b3b90ef15a2b8276ee
com.github.mlangc	slf4zio_2.12	0.2.1		50788a7acae23b7bf328ed5da56a6bc1c99887c0
com.github.mlangc	slf4zio_2.12	0.2.2		915b8041a8ac4323f2725f7bf82461b0153d50ae
com.github.mlangc	slf4zio_2.12	0.3.0		663f79b89640a3bb711075ad05160e688f694561
com.github.mlangc	slf4zio_2.12	0.4.0		34bb44f14a86fe7b16a5e67db011af382457ba9f
com.github.mlangc	slf4zio_2.12	0.5.0		d657c0b91f3f384932bcf013230ff2638526b4a9
com.github.mlangc	slf4zio_2.12	0.5.1		8f322ecc511408a09fab422db5b75e27d56c2cb0
com.github.mlangc	slf4zio_2.12	0.6.0		b7b46ba5d63beffa55df654142b75d1433bc3a1f
com.github.mlangc	slf4zio_2.12	0.7.0		80258493be5b57752c31a9c012477a7aae5c2c79
com.github.mlangc	slf4zio_2.12	1.0.0		8266a600bddb5c215b4959d66f88178ba9422ce7
com.github.mlangc	slf4zio_2.12	1.0.0-RC20		f1e764224b4f0b97973e643a8e3f6f2714fc6265
com.github.mlangc	slf4zio_2.12	1.0.0-RC21		ef3c6783df6cd9077c54bb08630df147bab5940e
com.github.mlangc	slf4zio_2.12	1.0.0-RC21-2		f29cb0e48ca4f11aae6aa92f79ceb6449c3f7166
com.github.mlangc	slf4zio_2.12	2.0.0		f53600acb12d4ff0862794cc388f9f2400e1ff1a
com.github.mnogu	gatling-kafka_2.12	0.2.0		6ec0c635830af4cc48febd49190eb3e654123ca6
com.github.mnogu	gatling-kafka_2.12	0.3.0		3f92a2748ecf82893d844f5b1ed4e66a40ad2406
com.github.mnogu	gatling-kafka_2.12	0.3.1		57f1ba900acfff73574ca78056855fdc8d4cfa2a
com.github.pshirshov.izumi.r2	idealingua-v1-compiler_2.12	0.7.0		7fe9d54e0b9ea914cddc2132ba05e837366d3414
com.github.pshirshov.izumi.r2	idealingua-v1-compiler_2.12	0.7.0	assembly	0cc7b7b1876cadbbb9ca2a3ea21fb1123a18f079
com.github.pshirshov.izumi.r2	idealingua-v1-compiler_2.12	0.7.1		c5671a03198bb23098d9b57c4847484b76edccb2
com.github.pshirshov.izumi.r2	idealingua-v1-compiler_2.12	0.7.1	assembly	8d5f39ad89141b3b1a91347ae291d93b722ef9ed
com.github.pshirshov.izumi.r2	idealingua-v1-compiler_2.12	0.7.2		4863fdb47fec6739efe50471d8a4097d610d8c5a
com.github.pshirshov.izumi.r2	idealingua-v1-compiler_2.12	0.7.2	assembly	d618dbb48325738d18ee8ecc9d883f6c9e34b694
com.github.pshirshov.izumi.r2	idealingua-v1-compiler_2.12	0.7.3		32e5edff6a796bffeac282cc5ab2e466e04ef349
com.github.pshirshov.izumi.r2	idealingua-v1-compiler_2.12	0.7.3	assembly	d1e04cc9ded50e6d7895a2e1b8d46bc76b2a121e
com.github.shepherdviolet	thistle	10.0		db27ffdbe54d7e7c6afc7d62e794313060b023ed
com.github.shepherdviolet	thistle	10.1		c7d882e7f08ae8b7e3343f5d832429568495fa1d
com.github.shepherdviolet	thistle	11.0		277d64bcca5dfe97de9b30eea64aba5fab2d1954
com.github.shepherdviolet	thistle	11.1		72df0a4b1114719a47eeb638f7fdcae7f820716f
com.github.shepherdviolet	thistle	11.2		35fc511f4c923761049ccbcd7108e2ff98f4955d
com.github.shepherdviolet	thistle	11.3		57971e015a7235258dab3accfe3c61fa94d365f6
com.github.shepherdviolet	thistle	11.4		6fd2614b1bb900e570199754ed72dcc504a9d550
com.github.shepherdviolet	thistle	7.1		0764a77a50c49f6a67d2b933014ba71753565634
com.github.shepherdviolet	thistle	7.4		08383fc2ecb166691b121bfcf1b2349815832f32
com.github.shepherdviolet	thistle	8.0		7790215a97655fd802914fe1cd075368cddc92ca
com.github.shepherdviolet	thistle	9.0		e9a28fcf885d9073bc7a41fce939a3b68180c8f8
com.github.shepherdviolet	thistle	9.1		bdd3396d56d1dba1f5ff722ff2725f13c45db6ae
com.github.shepherdviolet	thistle	9.10		9b4b188b3ae861be7dccaccec113704ddd368474
com.github.shepherdviolet	thistle	9.2		f8dcc82dcb18f8fa161c5c509ca3747305f747f4
com.github.shepherdviolet	thistle	9.3		b37d32f1b9786a290a522e8add139b029e0ceabb
com.github.shepherdviolet	thistle	9.4		7257f021a9dd940d9b4ed8be0a0353fe51a6d66b
com.github.shepherdviolet	thistle	9.5		bb5ed8154f693cd4bbd438e3cef452ab229b24c1
com.github.shepherdviolet	thistle	9.6		e512faf9c0ca99989d1bb58ed0a5f9a2eb0b3575
com.github.shepherdviolet	thistle	9.7		20915b59f30647a9c5cc65695ace3367aa870887
com.github.shepherdviolet	thistle	9.8		5101ad30f388e257b4240dce7f2e5cfc831187e8
com.github.shepherdviolet	thistle	9.9		1fe661d14f498f848ac5f8b7f189da3ff88b0a9d
com.github.victools	jsonschema-module-swagger-1.5	3.0.0		5affa49e9cac1224f9e9b48e05e781f22f735695
com.github.victools	jsonschema-module-swagger-1.5	3.1.0		46317efbc9e6c3ec7f04c2521bbfb7a57ab5a84b
com.github.victools	jsonschema-module-swagger-1.5	4.0.0		116fa983b169e4494a5cb1efb13f38e3798501d4
com.github.victools	jsonschema-module-swagger-1.5	4.10.0		0e567191f4b23035a2a90926cfc55059b1c48c61
com.github.victools	jsonschema-module-swagger-1.5	4.11.0		548b8d0472ad383fac89681f026578bcfeeae919
com.github.victools	jsonschema-module-swagger-1.5	4.11.1		b0507dc20d39245db0283f17f20b126ab3d8264e
com.github.victools	jsonschema-module-swagger-1.5	4.12.0		c06f68f277386708a310464571663bdfaa8c0343
com.github.victools	jsonschema-module-swagger-1.5	4.12.1		4b0eaa3fb76111ec268b5adf3160cee5473541ed
com.github.victools	jsonschema-module-swagger-1.5	4.12.2		d1479c6a35201b9c4ed7e1bc512bdc07cd0cc56d
com.github.victools	jsonschema-module-swagger-1.5	4.13.0		17b9488b5dcc71135c08f96f3094a2f101fbf911
com.github.victools	jsonschema-module-swagger-1.5	4.14.0		b8474294dabdf9c18bf30770453b92485bf0a394
com.github.victools	jsonschema-module-swagger-1.5	4.15.0		e71034350433e96ee1df76d8542edc2de42a6f84
com.github.victools	jsonschema-module-swagger-1.5	4.15.1		1e489e36ae6b66278d508da36fb5bc11729689ff
com.github.victools	jsonschema-module-swagger-1.5	4.16.0		74688a17fe7e3e324ff4b2ad412a70e1c13d8f1b
com.github.victools	jsonschema-module-swagger-1.5	4.17.0		6a5801ab3df6f67cb0a388ca0d82e4d3533d5777
com.github.victools	jsonschema-module-swagger-1.5	4.18.0		848115590533088026b8db0aa0b6613c1d93b88c
com.github.victools	jsonschema-module-swagger-1.5	4.19.0		2f823bde949e1236281addd4e8dc99cf073d9126
com.github.victools	jsonschema-module-swagger-1.5	4.20.0		3359e6c4a98d8c8a2d98484edd7d82ac7a771c58
com.github.victools	jsonschema-module-swagger-1.5	4.21.0		e3073f4792d5e4fde8d6c4cfd879d4b0184ef22f
com.github.victools	jsonschema-module-swagger-1.5	4.22.0		a8ea66d516de9d009ce1653a28b60590be3862cf
com.github.victools	jsonschema-module-swagger-1.5	4.23.0		0945f9dacb369e3b7594a3d0def6b18702f9fccb
com.github.victools	jsonschema-module-swagger-1.5	4.24.0		83cbcef7d9fd0548a2cee5cb192e62d19b632b6e
com.github.victools	jsonschema-module-swagger-1.5	4.24.1		f572b9397e09a246788124bc8df32dd62b82d064
com.github.victools	jsonschema-module-swagger-1.5	4.24.2		4d66b8f7bed43d68bf621ead95a4f62dd6a95aa8
com.github.victools	jsonschema-module-swagger-1.5	4.24.3		a77ec18996d795e4c5c323a5ca2d3337cd011612
com.github.victools	jsonschema-module-swagger-1.5	4.25.0		1ebdf4c41b1edecc4454d087dde7754da94d8a08
com.github.victools	jsonschema-module-swagger-1.5	4.26.0		7bcb26c25ab46f27ca38e2ee018e9ad4c4d5bf89
com.github.victools	jsonschema-module-swagger-1.5	4.27.0		ca7138213324771e8d8f887e650045f87fba8976
com.github.victools	jsonschema-module-swagger-1.5	4.28.0		fce1872a97a9bab50e54df9764d1ce9a0b992777
com.github.victools	jsonschema-module-swagger-1.5	4.29.0		e48f65ddc5958b6f6c7e33b42f16345a36e1ca2d
com.github.victools	jsonschema-module-swagger-1.5	4.30.0		40bc7ab0e150d2d3fc2695279b8b83d0c9ad8495
com.github.victools	jsonschema-module-swagger-1.5	4.31.0		9d6f9c0ec0866033feeeb02bbae6461db3242ce6
com.github.victools	jsonschema-module-swagger-1.5	4.31.1		8c06c737345c91e68ec7a41b37bb0c26830cd92c
com.github.victools	jsonschema-module-swagger-1.5	4.32.0		c42bddd9cc972fea7c1020b0a1e0d533d8fdcbe2
com.github.victools	jsonschema-module-swagger-1.5	4.33.0		ae7371b7f528db03dd8a7648a8c875cc772d11b6
com.github.victools	jsonschema-module-swagger-1.5	4.33.1		f0b5f599adddc829927d5b49b250a62d20482211
com.github.victools	jsonschema-module-swagger-1.5	4.34.0		7f02208c37379f95783a9405afd4d7d9a8d6e40e
com.github.victools	jsonschema-module-swagger-1.5	4.35.0		af5b2e1717b0ec6cb29ccc61887f72baf2001e92
com.github.victools	jsonschema-module-swagger-1.5	4.36.0		b8ec40fd8be52b64f6ed7b7de0f4ed1605a3da98
com.github.victools	jsonschema-module-swagger-1.5	4.37.0		22e9cf1c55a5e1c54d8754c4e781a8a46e1af073
com.github.victools	jsonschema-module-swagger-1.5	4.38.0		219bd1e898d6fc6a12ef8588617992f715782a98
com.github.victools	jsonschema-module-swagger-1.5	4.4.0		b8f73ac2f1bb1ff82ad0f6414aaef8d45759af1e
com.github.victools	jsonschema-module-swagger-1.5	4.7.0		130dddd318e34e96c0c04d1ae78b3e50211787ba
com.github.victools	jsonschema-module-swagger-1.5	4.8.0		615eb406ae73e14147ca07c3e50d36c9fe7cfbf1
com.github.victools	jsonschema-module-swagger-1.5	4.8.1		9620654fd776e78dc0c00f704335f457e3a1d834
com.github.victools	jsonschema-module-swagger-1.5	4.9.0		4a39fc6af91e10f629807b33812e29e361179e70
com.github.zxmsdyz	vito-frame	1.0.0.20181025		N/A
com.github.zxmsdyz	vito-frame	1.0.0.20181030		N/A
com.github.zxmsdyz	vito-frame	1.0.0.20181101		N/A
com.github.zxmsdyz	vito-frame	1.0.0.20181106		N/A
com.google.code.greaze	greaze	1.1		N/A
com.hzsparrow.framework	hzsparrow-framework-spring-boot-starter	1.0.0		80d997e33abe7b7a99d62a65797de61386d107a0
com.hzsparrow.framework	hzsparrow-framework-spring-boot-starter	1.0.1		15b359a44f2c559f74da7013a46b52c3a16b546f
com.intel.analytics.bigdl	dist-spark-1.5.1-scala-2.10.5-mac	0.1.0		74ba43a9e67b3e698c093e98791ebde02d8a92ff
com.intel.analytics.bigdl	dist-spark-1.5.1-scala-2.10.5-mac	0.1.1		66641a9b2f5d2052dc4be318b441621a11c6d776
com.jwebmp.jre11	jwebmp-angular-ui-sortable	0.62.0.1		8587559886b044a2f396d3ada1cabf5c625483af
com.manticore-projects.tools	fpng-java	0.99.1		42950bcb9760d6b48791bc72f8613a54ab2f08a4
com.manticore-projects.tools	fpng-java	0.99.2		ad461e55d77a57074c1075c3ffab87b15360ab8a
com.manticore-projects.tools	fpng-java	1.0.0		3867b2bd1cbc011800445ca1e6805361f22d07d6
com.manticore-projects.tools	fpng-java	1.1.0		ed629bc6ccd9ccfd42698375ff5dc23cba7c872c
com.manticore-projects.tools	fpng-java	1.2.0		22d5ac915dc84b3ced19ab4f8baa777c4a22c7a9
com.manticore-projects.tools	fpng-java	1.3.0		5207037e8c676e080befe4341889ce5458992bbb
com.mongodb.casbah	casbah-dynamic_2.9.0-1	2.1.5.0		9005f0491d137e4af8da8b98a0611494c3b99723
com.scleradb	sclera-regexparser_2.13	4.0		035c2362784dd2a98af8e98cbffc170876c3394d
com.spinoco	protocol-asn1_2.11	0.3.12		66f7ad6fdc638697712d3c5219e6e5267897d188
com.spinoco	protocol-asn1_2.11	0.3.13		a74064738b33732473bafe73123209da83f5a357
com.spinoco	protocol-asn1_2.11	0.3.14		e93724605fb69c15ffb098c2a65bf45d86534ca6
com.spinoco	protocol-asn1_2.11	0.3.15		965bc1b253e73ad1f11f5ea98d0803d6535165a9
com.spinoco	protocol-asn1_2.11	0.3.16		735124879cebc57f267cf8a1a3bd03e756e48bc3
com.spinoco	protocol-asn1_2.11	0.3.17		d10c2fa0b7088add2f4b05c22bfde5196ba94e38
com.spinoco	protocol-asn1_2.11	0.3.18-M1		2285ffd75018bbe36ee72cd5dbf2d2a68042814a
com.spinoco	protocol-asn1_2.11	0.3.18-M10		82b0dc1815d58012deff04957fe0c5b3c70d7094
com.spinoco	protocol-asn1_2.11	0.3.18-M11		a28bcf47ca2bf3188fd7ce5c925b3d168c596132
com.spinoco	protocol-asn1_2.11	0.3.18-M2		2471ab326d8591a0d27264a5582ff28e3eedec6d
com.spinoco	protocol-asn1_2.11	0.3.18-M3		814245abaa4653f4ac0f489f214268543e19faa1
com.spinoco	protocol-asn1_2.11	0.3.18-M4		3afb5448b1a33008501429260da2c167f31ffbbf
com.spinoco	protocol-asn1_2.11	0.3.18-M5		223899ef40dfd59475e6f19e667ac03836d5c136
com.spinoco	protocol-asn1_2.11	0.3.18-M6		7d75a01bf4ba76459031a7d8f23179b042851fce
com.spinoco	protocol-asn1_2.11	0.3.18-M7		3e7b19651b6c4d4c31ffa6fd37da2ba8ffd9362f
com.spinoco	protocol-asn1_2.11	0.3.18-M8		a229a8bcdd7264291997f771d7e80b4f07e0fdf3
com.spinoco	protocol-asn1_2.11	0.3.18-M9		184b5afe680f44459691f6c0e3bec7e233610ad7
com.spinoco	protocol-asn1_2.11	0.4.0-M1		29e4a3f21cd30d382716204e820e8ef4b7cbb18a
com.testquack	beans	1.1		6d315bdb6e898be8dfe55886cddc86083204e7ed
com.testquack	beans	1.11		4f3b3c8d8367a14fe1a448643075f52c604ca32b
com.testquack	beans	1.12		c2418c375653ab2f76667ffcafcbffd458ede0b1
com.testquack	beans	1.13		acd6aa53db7b245a7a80151df587eb62796660de
com.testquack	beans	1.14		7684bf0ea4a93e7b848dc63fb403cc32256440fd
com.testquack	beans	1.15		faaa2c5511ef2d898945159eb72633de4332a101
com.testquack	beans	1.16		50fe7a5815b66630341ceb05598bb45547898aa0
com.testquack	beans	1.17		6622aceeda276af5061a6fb05a65c52ae2fc271e
com.testquack	beans	1.18		ecff557d655c48f8e0f5b6f580df5a2f4ebb0f16
com.testquack	beans	1.19		87bbb5cdcefb224091ddce7a6fc40a166362fe9d
com.testquack	beans	1.2		bded8d5f0847354308ad73a565a808c7b48b8415
com.testquack	beans	1.20		c0eeeb50c4c3707cb0954ade1dd9c5b9f7c2e1cf
com.testquack	beans	1.21		f5dec78740d5334332b3c49fab9eaa964245e018
com.testquack	beans	1.3		3ee3dded0dcb1bff3feea8ebeff0b74ab7fdd2a5
com.testquack	beans	1.4		9b9358bc3b72b4390674bc433551ed485285c6fd
com.testquack	beans	1.5		e129fc8ccd4d5d9d2077d2fed5fc394de5632d98
com.testquack	beans	1.7		ccbcc59f0c7bf7f8b3c7e32c860c821fe464ca86
com.testquack	beans	1.8		2f1ac22adddba5d77a21b620985393f8a80db167
com.testquack	beans	1.9		0a8a267fd15ffb292d5d1151d4a4a216bc08a767
com.toggl	komposable-architecture-compiler	1.0.0-preview04		e20f93d7e086afaa2fb41f0a2f0fe49bf160b1a8
com.truward	metrics4j	1.0.6		N/A
dev.soffa.foundation	foundation-starter-test	0.10.0		cfda64b6a9fdd1c2cac793265e8e5381a283f5fb
dev.soffa.foundation	foundation-starter-test	0.10.2		81cb7cc53faed8a36b3c0c5abf5a88d732078242
dev.soffa.foundation	foundation-starter-test	0.10.3		e550b64514321c1c6e965053d16c2ef99934a088
dev.soffa.foundation	foundation-starter-test	0.10.4		f5afab5d922d0eb8a0151ae79e9b8dac6bebc556
dev.soffa.foundation	foundation-starter-test	0.10.5		834267774da1b940d962a00bda1f1bf8a700439d
dev.soffa.foundation	foundation-starter-test	0.10.6		24ffea23c54c79c653f240e787a3a9a07e0cec51
dev.soffa.foundation	foundation-starter-test	0.10.7		2ab93a9e87a5812a0e6df1c0c06b8c19bd47c613
dev.soffa.foundation	foundation-starter-test	0.10.8		e531e1676c4804374c5e78e79cbde5ff3cbb0304
dev.soffa.foundation	foundation-starter-test	0.10.9		be7ed378e5d864e17ba2c57e51f75eb173b38599
dev.soffa.foundation	foundation-starter-test	0.11.0		05584dc0721d55bc305ff32d19876f291e55b061
dev.soffa.foundation	foundation-starter-test	0.11.1		d3cfbbda32816c872f193a45ea8dc0c84a49149c
dev.soffa.foundation	foundation-starter-test	0.11.10		c542d11430b1a72aa1493004e4333fee6da28e8d
dev.soffa.foundation	foundation-starter-test	0.11.12		6c6e6c57df8e5f222d7d146c4d899983a59fd7c1
dev.soffa.foundation	foundation-starter-test	0.11.13		75babc78d8dcf67828698057bec6310e2085fe62
dev.soffa.foundation	foundation-starter-test	0.11.15		921c60c76c34443172a2bd73dfbbdaa9989914ae
dev.soffa.foundation	foundation-starter-test	0.11.16		10a8029ce8857a94152a798af8cf710f4fbb2cd2
dev.soffa.foundation	foundation-starter-test	0.11.2		fec94fe7cf7c5a116a388188fefa93fd57f1dc5e
dev.soffa.foundation	foundation-starter-test	0.11.3		2ac0172b34df213512128cc1b9e85ea79ac2b574
dev.soffa.foundation	foundation-starter-test	0.11.4		9b06c9d91d65ee585343ae40d3d0b01514d0d1ce
dev.soffa.foundation	foundation-starter-test	0.11.5		95ddbefe66aa6a36cd52213af1673dafa487d717
dev.soffa.foundation	foundation-starter-test	0.11.6		254d8b9ab183378eaadf5d4f044443f526d40cb8
dev.soffa.foundation	foundation-starter-test	0.11.7		954c261ca01f39c0112000d38a78e70247946115
dev.soffa.foundation	foundation-starter-test	0.11.8		e8323c55d78dc6c849ba2749a5998085362ad677
dev.soffa.foundation	foundation-starter-test	0.11.9		45b0d0b6f210127370c56f6354348a342be604a6
dev.soffa.foundation	foundation-starter-test	0.12.1		76c8fe9f6390d9319f9cf4d622283f47824590b8
dev.soffa.foundation	foundation-starter-test	0.12.2		0c4b63da484e7d0e31dbfd93cb1164c72a60ea66
dev.soffa.foundation	foundation-starter-test	0.13.0		426e4838325cdae907ff31502f6b6625a98e1362
dev.soffa.foundation	foundation-starter-test	0.13.1		2ad7fda9a8b1a78aafadae38befdceb8731bfbf7
dev.soffa.foundation	foundation-starter-test	0.13.10		e0db41b721b0bf4e3f42043f62455c0efaa71a3b
dev.soffa.foundation	foundation-starter-test	0.13.2		e1e7bc52c137beb5e7aca44ead46212b1ddf680c
dev.soffa.foundation	foundation-starter-test	0.13.3		a2410da49bb472469cdf3ed4c43cd08e098e5094
dev.soffa.foundation	foundation-starter-test	0.13.5		1b51b685945c6e934b9727826019e1434c44a67b
dev.soffa.foundation	foundation-starter-test	0.13.6		7f6a4c4b29c36d694682ece57682b549a57c96eb
dev.soffa.foundation	foundation-starter-test	0.13.7		b9f5a3a27ae2aef133fce5de66263893512054e1
dev.soffa.foundation	foundation-starter-test	0.13.8		63e24e5d00d199a192cab4d29bb0a30f3e78fb1e
dev.soffa.foundation	foundation-starter-test	0.13.9		c0e6fa6cfc2ecf3ccb5e2816917320478adc759b
dev.soffa.foundation	foundation-starter-test	0.14.0		1d7375438f9f902a6a1343af5bdbfebc47ce7f95
dev.soffa.foundation	foundation-starter-test	0.14.1		25defe04ebaf76be5274cb4483d1712f83184453
dev.soffa.foundation	foundation-starter-test	0.14.10		f2ee82f02d8c14f06d027dab606b7d203741abe1
dev.soffa.foundation	foundation-starter-test	0.14.11		15e476923e540fa91b1651f0d2bd26c56ba4be12
dev.soffa.foundation	foundation-starter-test	0.14.12		136322e39250ba304fd924f16a234f8e2d69900a
dev.soffa.foundation	foundation-starter-test	0.14.2		e53ca4d578cfdbafb65d3a725ca040afac90024a
dev.soffa.foundation	foundation-starter-test	0.14.3		428969a96ef4c7f4589b1fd2f0732d91a4863c44
