com.guoshiyao.rely	home-integrate-flywayt	9.0.4-RELEASE		59a0b5bf8383995a09ba1b903bbb16c11ab6c2c3
com.guoshiyao.rely	home-integrate-flywayt	9.0.5-RELEASE		dc32412da4e5df8b9cfbd702cefee3030ddc9512
com.guoshiyao.rely	home-integrate-flywayt	9.0.6-RELEASE		09768019007b9f86ec7be9c6d7d5ec1e61b603ec
com.guoshiyao.rely	home-integrate-flywayt	9.0.7-RELEASE		40a0c62ebf73ef1fa2de24ceab25bc3bd33d8c62
com.guoshiyao.rely	home-integrate-flywayt	9.0.8-RELEASE		fd04b41970ffe35ba278a9ccf7b1c45a2cb0a31b
com.guoshiyao.rely	home-integrate-flywayt	9.0.9-RELEASE		4c7edfa239b98372e54563ba6f6f5c36fdb0248e
com.jhinno	jhinno-openapi-java-sdk-parent	2.0.3		N/A
com.jhinno	jhinno-openapi-java-sdk-parent	2.0.5		N/A
com.jpmorgan.quorum	mock-jaxrs	0.10		4aaaf6e117f9b7e52eec167aa565c23c8b92b266
com.jpmorgan.quorum	mock-jaxrs	0.10.0		f7e4b339a1377229296b325754feff654d70124b
com.jpmorgan.quorum	mock-jaxrs	0.10.1		d01c0472c4996933e8178912d6ca0a4fd30b4069
com.jpmorgan.quorum	mock-jaxrs	0.10.2		bc5f93786a30e5244128d792b293d03af7e27ea8
com.jpmorgan.quorum	mock-jaxrs	0.10.3		8a950cdba9ec9a43ff4b1ec23b5d581654b6ca7e
com.jpmorgan.quorum	mock-jaxrs	0.10.4		e885ef62860ec4a44d2e5d100cd21ccffc1dc599
com.jpmorgan.quorum	mock-jaxrs	0.10.5		e4660387bb4816de5a47f67385517bdaf8695192
com.jpmorgan.quorum	mock-jaxrs	0.10.6		dd4d9a5d0d10a0b6286ceb2780224efe40e17403
com.jpmorgan.quorum	mock-jaxrs	0.11		9ceb1bd753b106f650d4764ee8fb5d86d71003cc
com.jpmorgan.quorum	mock-jaxrs	0.11.0		9e7433e91e8d162c1b7b47bfa8f492e62597a18d
com.jpmorgan.quorum	mock-jaxrs	0.11.0.01102019090814		a06e9aca7df34ff0b85628c0d1a702efae32fc16
com.jpmorgan.quorum	mock-jaxrs	0.11.0.01102019093502		4c8c324d20d5077c36d7b3916021ba35c588e638
com.jpmorgan.quorum	mock-jaxrs	0.11.0.01102019110105		34ec637c12dcc69631dfc75986086a8a11eadc17
com.jpmorgan.quorum	mock-jaxrs	0.11.0.01102019114519		082286e7c6380f3f9f4d6f84e7b28f9666fc4fa8
com.jpmorgan.quorum	mock-jaxrs	0.11.0.05102019083459		8d66de367fb41ab5241cc3b0200751b61502ce1e
com.jpmorgan.quorum	mock-jaxrs	0.11.0.07102019092224		3bd307c006d4c8de8049990e55586743aebdc1e8
com.jpmorgan.quorum	mock-jaxrs	0.11.0.07102019101257		c6040b35686dee65ad6ff776cd0f49ef5a23e604
com.jpmorgan.quorum	mock-jaxrs	0.11.0.11102019204238		00d3d753b2bd085394c276d62ee6a9392cc34894
com.jpmorgan.quorum	mock-jaxrs	0.11.0.15102019124301		3f8d485f729c507f9c520a237a8c58d6931cf37d
com.jpmorgan.quorum	mock-jaxrs	0.11.0.20191016130153		730e87b2c2efb009100befb45c648fbc85d4adcc
com.jpmorgan.quorum	mock-jaxrs	0.11.0.30092019115716		3f6b0c8f16190839208d8ac6df0e0d00884b0b5a
com.jpmorgan.quorum	mock-jaxrs	0.11.0.30092019145247		d8d031c8dd120d7c8e593ba1a554dd2f9b8eb935
com.jpmorgan.quorum	mock-jaxrs	0.11.0.30092019161842		6b3bb35518653a2411fe7cb72482086faa02b3f3
com.liferay	com.liferay.headless.discovery.impl	1.0.0		36e54a93a12a0d59902d2eac3e5cf32a809cc41d
com.liferay	com.liferay.headless.discovery.impl	1.0.1		8fd516cb0f2c353de6e7ba85d1e775d3e2b96563
com.liferay	com.liferay.headless.discovery.impl	1.0.10		f3198c999e4f3643a94b5d52904d43d0dd4bab91
