biz.netcentric.cq.tools.aemmjml	aemmjml-components	0.1.0		N/A
com.guicedee.persistence	guiced-persistence	1.0.1.0-jre12		1a66fae7c39cfe22213704045fea07a2c5befd6d
com.guicedee.persistence	guiced-persistence	1.0.1.0-jre13		a8d59a0e4e81ed99ab91f20d6838250d90c0c82f
com.guicedee.persistence	guiced-persistence	1.0.1.0-jre8		ab9c29611c60ba80e645974d9b62b789d5c1015f
com.guicedee.persistence	guiced-persistence	1.0.1.1		966041b2926a56ceffcfdf624e52f0bf0e5a65e5
com.guicedee.persistence	guiced-persistence	1.0.1.1-jre12		50668b9b217ee41894889b17ec6cb14a6ad71429
com.guicedee.persistence	guiced-persistence	1.0.1.1-jre13		57aadb5cec6262b2f63836a79f20dae4f5280374
com.guicedee.persistence	guiced-persistence	1.0.1.1-jre8		3fdaabc504e7a5a93c83597a75ec6a98f9037389
com.guicedee.persistence	guiced-persistence	1.0.1.2		6fc3360eef58b56df03da1cae34983d1c6c85e20
com.guicedee.persistence	guiced-persistence	1.0.1.3		cfbeb64309360c27ddeaf609b3107a315c92509d
com.guicedee.persistence	guiced-persistence	1.0.1.3-jre12		55c386211732ffb3968d5b7a2d296d4c7a15cc81
com.guicedee.persistence	guiced-persistence	1.0.1.3-jre13		87b083eb4c8b8aa0b6d19237b3017ab4f351ccb5
com.guicedee.persistence	guiced-persistence	1.0.1.3-jre8		1fec1d4735829346f29b59a58f6db272c3a76943
com.guicedee.persistence	guiced-persistence	1.0.1.4		f7c55935df64478c72e17db8d985ed769482fb32
com.guicedee.persistence	guiced-persistence	1.0.1.4-jre12		2b431592b8de1cafd11f65e3d8df24f37298ad13
com.guicedee.persistence	guiced-persistence	1.0.1.4-jre13		752c3268ede7dfe0d1f479a78de7736906e0d814
com.guicedee.persistence	guiced-persistence	1.0.1.4-jre8		0bb84c7f5a04e00cde080ed122380b65006941fc
com.guicedee.persistence	guiced-persistence	1.0.1.5		3aad94da85380f9ec2a931aef498bf1c1847e498
com.guicedee.persistence	guiced-persistence	1.0.1.5-jre12		731e453ccfe05f1b0443930241585bac650245bc
com.guicedee.persistence	guiced-persistence	1.0.1.5-jre13		4c77b0438662e7acd80fbc091aa1bd277111b3ef
com.guicedee.persistence	guiced-persistence	1.0.1.5-jre8		1e6fe8c7f5af3d47b5b439f43518369f5a1872b8
com.guicedee.persistence	guiced-persistence	1.0.1.6		41232d6c87b67c83dcc481d6bb898fdee7f28b77
com.guicedee.persistence	guiced-persistence	1.0.1.6-jre12		723ab18560da775978c1e664482be1cdf7f8e463
com.guicedee.persistence	guiced-persistence	1.0.1.6-jre13		82c52164114a469fd525c11d96522884e7023ca8
com.guicedee.persistence	guiced-persistence	1.0.1.7		b98ebf064352eb721ff47de6d0a53d061e13b4a3
com.guicedee.persistence	guiced-persistence	1.0.1.7-jre12		044847bae0b462e523c529b7bb3980b6677ba648
com.guicedee.persistence	guiced-persistence	1.0.1.7-jre13		f4aa5a46ffb8723c783b2925b7fc58b501954d7b
com.guicedee.persistence	guiced-persistence	1.0.1.7-jre8		4f24dfc7f2c4b555d659e3d61788d5de083d6110
com.guicedee.persistence	guiced-persistence	1.0.10.0		2f5c0bf68f6d6e8fbb28906a4db9dc7ff4abd65c
com.guicedee.persistence	guiced-persistence	1.0.10.0-jre13		1b19504680c8169326c67a50dab267b5f9b4f272
com.guicedee.persistence	guiced-persistence	1.0.10.0-jre14		42214b15a02f0aee212bb33acbf70d6088136a31
com.guicedee.persistence	guiced-persistence	1.0.10.1		daccfdd99af2554d08136fdfd3a34b0bcc7afb16
com.guicedee.persistence	guiced-persistence	1.0.10.1-jre14		c08bd5cfd229826649e03dd504cb958021772e15
com.guicedee.persistence	guiced-persistence	1.0.10.3		d005f12ce36f423e4f0c173df0a2947621e97e5e
com.guicedee.persistence	guiced-persistence	1.0.10.3-jre14		61d6f716c95492f1f124dfe3f3578aa6aae62a5d
com.guicedee.persistence	guiced-persistence	1.0.10.4		7e665eaa83b99afa668920880743c2e9a90ebcc8
com.guicedee.persistence	guiced-persistence	1.0.10.4-jre12		af64eafe495843972ce6edc56b4110ac1270ffad
com.guicedee.persistence	guiced-persistence	1.0.10.4-jre13		599b6745fe3f76e75b6739e66ae0c6f7f3dddb3b
com.guicedee.persistence	guiced-persistence	1.0.10.4-jre14		6bf9c35a316e08a2fa5e18a6c886159f321d90a3
com.guicedee.persistence	guiced-persistence	1.0.11.0-jre14		2055fb8a56fcd4b2e0bb8109489415fc67bb757c
com.guicedee.persistence	guiced-persistence	1.0.11.2-jre14		23fed9580552f2a9695b13434c941ae4918cfb17
com.guicedee.persistence	guiced-persistence	1.0.11.5		743b43ec55cec30b73f0a8e60c8139cea0453a09
com.guicedee.persistence	guiced-persistence	1.0.11.5-jre12		89748913b8d8fb52684be4d1f8bd3722aa2c0a46
com.guicedee.persistence	guiced-persistence	1.0.11.5-jre14		9cf48631cc30fe69666910e5f22a00c939df597e
com.guicedee.persistence	guiced-persistence	1.0.11.6-jre14		797b4c446329269531a2bad36a19a0528c9ddbe4
com.guicedee.persistence	guiced-persistence	1.0.11.7		e9cb51f01e39d0b3314d3730fd7f0f96383f2c18
com.guicedee.persistence	guiced-persistence	1.0.11.7-jre12		90475c16c428d6d56ca876523f7e913f0525d897
com.guicedee.persistence	guiced-persistence	1.0.11.7-jre14		4ba40c4b0576d3b881e9de6e3104f90ced7bd17b
com.guicedee.persistence	guiced-persistence	1.0.12.0		e952a36c503126f5ec5a5a96312cf87c12e48562
com.guicedee.persistence	guiced-persistence	1.0.12.0-jre12		1902a5e5e316f459eb8705d83670b59d0ce38d70
com.guicedee.persistence	guiced-persistence	1.0.12.0-jre13		fd8beac0e5483704ba1ce2b8b15663a9c71c20f4
com.guicedee.persistence	guiced-persistence	1.0.12.0-jre14		3a49dfbff80d1f364cd9bcdc30743ab43095fceb
com.guicedee.persistence	guiced-persistence	1.0.12.0-jre8		22a48f7981a5c3f6648c8abae24bde9b64b5da4c
com.guicedee.persistence	guiced-persistence	1.0.12.1		075e40e96d9467d5c4275a8087b56fa4c3381736
com.guicedee.persistence	guiced-persistence	1.0.12.1-jre12		727020ee91f60e0e3293f7446a5a0f192d3d962d
com.guicedee.persistence	guiced-persistence	1.0.12.1-jre14		75c9e9e95ac9e26a7833424011dcb17ae6e781c9
com.guicedee.persistence	guiced-persistence	1.0.12.2		bc9fbf266d128e9e4e55ce58367918890b7d8226
com.guicedee.persistence	guiced-persistence	1.0.12.2-jre12		22742c3d8a3a75168e48ea8705f3423949db624b
com.guicedee.persistence	guiced-persistence	1.0.12.2-jre14		558e21d96c3d2f96f97433a48b4eca0c493366f5
com.guicedee.persistence	guiced-persistence	1.0.12.3		44b2f9cb24ba7aa7b9fff7c3a635a0f2e1ab4b33
com.guicedee.persistence	guiced-persistence	1.0.12.3-jre12		eea3b700d6d9c6ca79e304573fbe1c9a919098e0
com.guicedee.persistence	guiced-persistence	1.0.12.3-jre13		43aa6d8a905c760f944b56fb4c1e3f05b89252b1
com.guicedee.persistence	guiced-persistence	1.0.12.3-jre14		ba5af047e7f2a1fb195a630766d2c6d5b12ea788
com.guicedee.persistence	guiced-persistence	1.0.12.4		4f47012a5b64c1ad58c20a00bb0c1bf52744735c
com.guicedee.persistence	guiced-persistence	1.0.12.4-jre12		ac5bbe43d34f1df16a39d130bf40770070f496c3
com.guicedee.persistence	guiced-persistence	1.0.12.4-jre13		abcb5ccdda5258ff36d34c172f8e9c9329e4f1c8
com.guicedee.persistence	guiced-persistence	1.0.12.4-jre14		a8e11292dc780f48bcd4c9fedf6eb1fa1752f46f
com.guicedee.persistence	guiced-persistence	1.0.12.4-jre8		b2b2d5f760c7e74542ec0b2f24ba051164653569
com.guicedee.persistence	guiced-persistence	1.0.12.5		b453ed05168686ab8f140ff8e351692f6f897683
com.guicedee.persistence	guiced-persistence	1.0.12.5-jre14		79137346af9270b9476a125f4229bf84405acb6f
com.guicedee.persistence	guiced-persistence	1.0.13.0		875fb7791d4fe32bedde05b24dc3e4c4b77962cc
com.guicedee.persistence	guiced-persistence	1.0.13.0-jre12		e9f4f926acc20a319677ad8787b6f7ebede95522
com.guicedee.persistence	guiced-persistence	1.0.13.0-jre13		b162080b73e65ac972d11f662c8d70f39e52e2fd
com.guicedee.persistence	guiced-persistence	1.0.13.0-jre14		84f0f9de7eaf9deddc34f33ec296e42b82a402e3
com.guicedee.persistence	guiced-persistence	1.0.13.0-jre8		2b1802f59b10fa42fd87e6b79130837f62aadec6
com.guicedee.persistence	guiced-persistence	1.0.13.1		77ac263e88eb575fef14c7593156d266fba6a04d
com.guicedee.persistence	guiced-persistence	1.0.13.1-jre13		008bb8f1d5872f20b8cb888e7f9785ad04978c7d
com.guicedee.persistence	guiced-persistence	1.0.13.1-jre14		40f512a10d9a7a73f9a67f0f9c37603e3f386ca5
com.guicedee.persistence	guiced-persistence	1.0.13.1-jre8		628afc1b01ed45de24cff5dcf30a296b810b0afe
com.guicedee.persistence	guiced-persistence	1.0.13.2		9d94704324280a2a270a5a3b2a07f333e3912416
com.guicedee.persistence	guiced-persistence	1.0.13.2-jre12		78665e2a8677d92bbe132a65b02dfe0ffde96c00
com.guicedee.persistence	guiced-persistence	1.0.13.2-jre13		c5c9bb4cd4bd1e654c2ea5198383aa7b8e08f9c5
com.guicedee.persistence	guiced-persistence	1.0.13.2-jre14		ce05ddbd582b2fa42a961118af6fc7ae5b5e8650
com.guicedee.persistence	guiced-persistence	1.0.13.2-jre8		828848a3a11ecd1fe6d32068d696d6685b295565
com.guicedee.persistence	guiced-persistence	1.0.13.3		87c9dbc94bb623ca8417238263be7d8ac8daea57
com.guicedee.persistence	guiced-persistence	1.0.13.3-jre14		96d5f28a9e77ccb9e4c7be54b12bee79921d8815
com.guicedee.persistence	guiced-persistence	1.0.13.4		7bb5e52fb533b854c793e7d982d25c78816a8060
com.guicedee.persistence	guiced-persistence	1.0.13.4-jre12		792e2d2fe21c42e939ddd1dabf891683810f4424
com.guicedee.persistence	guiced-persistence	1.0.13.4-jre13		d82dce5a1fd2a2f93f80f161128f73554f48dff1
com.guicedee.persistence	guiced-persistence	1.0.13.4-jre14		4735ce35b51ded0c6ce6e551a82240c451d6500f
com.guicedee.persistence	guiced-persistence	1.0.13.5		3a98a6eecc69a6f6eb9667416fda518a18fe8acb
com.guicedee.persistence	guiced-persistence	1.0.13.5-jre12		0fd1efad47db28efd3177f489a5c32a0c0a40374
com.guicedee.persistence	guiced-persistence	1.0.13.5-jre14		b48b94307d9f35e88814bc372bb6f996b40725da
com.guicedee.persistence	guiced-persistence	1.0.13.5-jre8		6d8d9b862f86bf61a1175b5043046b61850543ed
com.guicedee.persistence	guiced-persistence	1.0.14.0-RC1-jre14		3f28076ce13d3650f0efad082844fe9484318118
com.guicedee.persistence	guiced-persistence	1.0.14.0-RC1-jre8		a83848e4edaf189843b13d79386c6d25fe88081c
com.guicedee.persistence	guiced-persistence	1.0.14.1		dc9159a43dd0e0f4ef8c85cc5d80c810bd69d58e
com.guicedee.persistence	guiced-persistence	1.0.14.1-jre12		b3e978b7804ac5c963f81551deed7daafc3f402e
com.guicedee.persistence	guiced-persistence	1.0.14.1-jre13		b60321ef8a56081731a81f9d7ca8d5a999f0f6e3
com.guicedee.persistence	guiced-persistence	1.0.14.1-jre14		e6dbf9041db402a3e183fe404730ced9e1ceae27
com.guicedee.persistence	guiced-persistence	1.0.14.1-jre8		c358a9dde7df62b459bb43ae624c0212aeccc4a5
com.guicedee.persistence	guiced-persistence	1.0.14.3-jre8		a68effe71e0fa9f7cd09d065fd54f7ca810aae3f
com.guicedee.persistence	guiced-persistence	1.0.14.4-jre14		8d81e22b51fe4ec5b73312a417dfd515df788a8f
com.guicedee.persistence	guiced-persistence	1.0.14.4-jre8		6c19ba57542595caf7155d8153c8d1e46b70d012
com.guicedee.persistence	guiced-persistence	1.0.15.1		b28b06891822f0ec822558db4b26ff068840ff4a
com.guicedee.persistence	guiced-persistence	1.0.15.1-jre12		8074f895e2966a59fbdb07ed3800f74d777b2441
com.guicedee.persistence	guiced-persistence	1.0.15.1-jre13		675b3758104eb3310a4106b8840a8096b5d87ee3
com.guicedee.persistence	guiced-persistence	1.0.15.1-jre14		d7f5e58147d032d181c7dc174ae0b0759a0199d1
com.guicedee.persistence	guiced-persistence	1.0.15.1-jre8		7cf800d9e6c2234b28fca25b2ef478a226cd5477
com.guicedee.persistence	guiced-persistence	1.0.15.2		6112c4fa8c77e0ecb38f1b17710023b1999ffb17
com.guicedee.persistence	guiced-persistence	1.0.15.2-jre12		fa3b468fb2a081db2af6520ba5e329ccefc00764
com.guicedee.persistence	guiced-persistence	1.0.15.2-jre14		1be109280116ef1cdc20f355addd3a5c06ac19ad
com.guicedee.persistence	guiced-persistence	1.0.15.2-jre8		b8616aa423f9d8c20d567f7bed45a4b0c39ae2dd
com.guicedee.persistence	guiced-persistence	1.0.15.3-jre14		c3b1147d3d2f4082c662b47e741fcc8e01a1eb6f
com.guicedee.persistence	guiced-persistence	1.0.15.3-jre8		b1bee8c2b1706d89e014e024d18d7eddc032254c
com.guicedee.persistence	guiced-persistence	1.0.15.4		ad8f844112442ba846a5b1f6aefa9358ada54d02
com.guicedee.persistence	guiced-persistence	1.0.15.4-jre14		1e2b81f2045af9ed1928796c1749503e7a72b0ee
com.guicedee.persistence	guiced-persistence	1.0.15.4-jre8		a8a5c1720e671aeb37351c7c16860151dc93e809
com.guicedee.persistence	guiced-persistence	1.0.15.5		049199ff80f88146f0d96789be901f9e2934bdde
com.guicedee.persistence	guiced-persistence	1.0.15.5-jre14		e958287f1e4bee6c4f4b4ca6cefc6b3330037e18
com.guicedee.persistence	guiced-persistence	1.0.15.5-jre8		f974eb945dc06fd11c98f10ce2b5c23b04129e86
com.guicedee.persistence	guiced-persistence	1.0.16.0		470357a83ef1e2f906a0d897d309333da01f7795
com.guicedee.persistence	guiced-persistence	1.0.16.0-jre14		a5ef9782c03d1172c9fbb7339e1b3421426691c7
com.guicedee.persistence	guiced-persistence	1.0.16.0-jre8		0eeb4106fb844250fc81b8386f50397da68c24c6
com.guicedee.persistence	guiced-persistence	1.0.17.0		c36c3e8ca7d0fffe16608ae7023446be4ec06953
com.guicedee.persistence	guiced-persistence	1.0.17.0-jre14		e52844fea0ec3b8057bd4c602dcf0965591332ec
com.guicedee.persistence	guiced-persistence	1.0.17.1		93b96db596f4935249a3e0969b78099b66db57a0
com.guicedee.persistence	guiced-persistence	1.0.17.1-jre14		45ea5882dff25da3f7030bb536f439d195c7d518
com.guicedee.persistence	guiced-persistence	1.0.17.1-jre8		b9c6e477047a8b38ba3e5eef53193e291610471d
com.guicedee.persistence	guiced-persistence	1.0.18.0		3dcbdd21117f795769e24b0dd958c6184e25c246
com.guicedee.persistence	guiced-persistence	1.0.18.0-jre14		961e38fdb05fa7f7abddfb94ead2bb948bcb8237
com.guicedee.persistence	guiced-persistence	1.0.18.0-jre15		fc241f85f051972bcb0d9ace6ba8b12a62b454bd
com.guicedee.persistence	guiced-persistence	1.0.18.0-jre8		f78a8e814a72e556db65bf54e26ddc055419e12b
com.guicedee.persistence	guiced-persistence	1.0.18.1		99d2e50fdadbe90d5e083177feb2ad40f240b94b
com.guicedee.persistence	guiced-persistence	1.0.18.1-jre14		89847111782b5b0171b82fa42817824c11082dc3
com.guicedee.persistence	guiced-persistence	1.0.18.1-jre15		f2a2de7855a979d366e44037a60f11aa2d692d7b
com.guicedee.persistence	guiced-persistence	1.0.18.1-jre8		3274a07a1b8db1145d672a24e2bf88958e43e56b
com.guicedee.persistence	guiced-persistence	1.0.19.0		d6c0eb937dff96ca0c3c63c439385ff9a2dcc86f
com.guicedee.persistence	guiced-persistence	1.0.19.0-jre14		73e18a8a706ffafbdc2514bcbeaf077ee3151497
com.guicedee.persistence	guiced-persistence	1.0.19.0-jre15		10060f2d83d98280aa9b4d6fcf04b335334fb3fa
com.guicedee.persistence	guiced-persistence	1.0.19.1		5aaecd1fbca300b30d4efc44770e5324f7c31544
com.guicedee.persistence	guiced-persistence	1.0.19.1-jre12		38086145f9bba9e8f281bb49ed1725fccfc755d1
com.guicedee.persistence	guiced-persistence	1.0.19.1-jre13		2bbc201335d733043e5743e2e89c13a24f9d8128
com.guicedee.persistence	guiced-persistence	1.0.19.1-jre14		d4d8ef4fb760d503416865315fe97edcfc3e80de
com.guicedee.persistence	guiced-persistence	1.0.19.1-jre15		a58ab3308ae05c9b8cfc1feb63eeb54c33cea0c9
com.guicedee.persistence	guiced-persistence	1.0.19.1-jre8		984abce527092d2d60a043d6513a1e18b9fbeba2
com.guicedee.persistence	guiced-persistence	1.0.19.10		62fd0b7660557cc6afb34a03246c92e047cc7d66
com.guicedee.persistence	guiced-persistence	1.0.19.10-jre12		86c700749955c1ad39d880471781ca07760986af
com.guicedee.persistence	guiced-persistence	1.0.19.10-jre14		c9baf0cc81d5218db2dc61d1c3c39129a89913c8
com.guicedee.persistence	guiced-persistence	1.0.19.10-jre15		0dabac52c373445ad79fcfdb37d806ba69ee78ce
com.guicedee.persistence	guiced-persistence	1.0.19.10-jre8		b26b437741219f174a54ccd58b4fc3ec1ab89c28
com.guicedee.persistence	guiced-persistence	1.0.19.11		0fb34851512831f428394493242f7c0f9295f2c0
com.guicedee.persistence	guiced-persistence	1.0.19.11-jre14		cf79970d130c8a4c391939e71e897fdd2f4adff0
com.guicedee.persistence	guiced-persistence	1.0.19.11-jre8		f292772f9feebd9100a4fd5f7e3643fb8c1a0687
com.guicedee.persistence	guiced-persistence	1.0.19.12-jre14		6cb88003364515dfcf5072d9ac57e971e47bf62e
com.guicedee.persistence	guiced-persistence	1.0.19.12-jre8		f6048b2bbd6a10c1a12fad2608f5c45adc0f4f7b
com.guicedee.persistence	guiced-persistence	1.0.19.13		ecf825d64540372e013e34cf14121c24f08500b1
com.guicedee.persistence	guiced-persistence	1.0.19.13-jre14		411330ebc0d9290a2737858fe6dcbf8082d1d73f
com.guicedee.persistence	guiced-persistence	1.0.19.13-jre15		f50f5288b500d091f793350bf490a8e48d937461
com.guicedee.persistence	guiced-persistence	1.0.19.13-jre8		eaa977e9211b2c73c5f7a41dd11a0fa997df775e
com.guicedee.persistence	guiced-persistence	1.0.19.2		7846c0e56f19d96197ac99659dc0a567cf953a3a
com.guicedee.persistence	guiced-persistence	1.0.19.2-jre13		57596ace68d69d196142293f8e9494d121527fb1
com.guicedee.persistence	guiced-persistence	1.0.19.2-jre14		3101566af8288945d86d01246e4fb50c8b42fd91
com.guicedee.persistence	guiced-persistence	1.0.19.2-jre15		ed7048a20d49387b8551e67a19396d42e54ca7ed
com.guicedee.persistence	guiced-persistence	1.0.19.2-jre8		fd837a952e4fe392fe8b36d06667e57ffba52e74
com.guicedee.persistence	guiced-persistence	1.0.19.3		6ea9bac7b8bfae96067d967551bbef332747ab58
com.guicedee.persistence	guiced-persistence	1.0.19.3-jre13		4f9f0518142522e476fea85d67639fb3aeebfb4a
com.guicedee.persistence	guiced-persistence	1.0.19.3-jre14		9e766a2ed2d6ac2faa45a074a0d5b067ab82815e
com.guicedee.persistence	guiced-persistence	1.0.19.3-jre15		e0183fbc5dd014e68dc6fbd9594d94c021266dcf
com.guicedee.persistence	guiced-persistence	1.0.19.3-jre8		018758e571757f5bfbd20c543fc435084900b439
com.guicedee.persistence	guiced-persistence	1.0.19.4		3086e08fdac8348bd0b73d47e2687fc85e765ae5
com.guicedee.persistence	guiced-persistence	1.0.19.4-jre14		818e8574484af83d9377df559489ac8eea72758b
com.guicedee.persistence	guiced-persistence	1.0.19.4-jre15		3c7a88e426a8e75898a127a47229f5a94fa7de89
com.guicedee.persistence	guiced-persistence	1.0.19.4-jre8		a37aebb740c57bba47cd0e5ebf47e767b5465bb2
com.guicedee.persistence	guiced-persistence	1.0.19.5		42301dff3bfd6f39eac9196450d690fd199458a4
com.guicedee.persistence	guiced-persistence	1.0.19.5-jre14		b465225a4954a080d322bfdc9ca53842091dc2ba
com.guicedee.persistence	guiced-persistence	1.0.19.5-jre15		26609c1b2c9dae28604bea751199ee73d7bfc8a7
com.guicedee.persistence	guiced-persistence	1.0.19.5-jre8		d3878cf8f98f3b7303a954ef1c85c1bcf6fe7dcc
