au.net.causal.shoelaces	shoelaces-apphome-integration-tests-standalone	2.0		N/A
cn.hperfect	hp-core	1.1.3		ddb0d9e2cf6171910efac9b3d2c8a88684cb68f6
cn.hperfect	hp-core	1.1.5		a7ddea5b0643b8477a978ec1df910c396f987032
cn.hperfect	hp-core	1.2.0		3660d5075a8e0e993310f33597a37d03898193c7
cn.hperfect	hp-core	1.2.2		09be0891c58d0df35e3417baec24bf05ebe124aa
cn.tenmg	clink-cdc-postgres	1.6.1		13189fa675e889c5c6fb73650479254f06be6fa9
cn.tenmg	clink-cdc-postgres	1.7.0		5f6f0cc98b25fbf42a202490ed1fb7e2b01b330f
co.streamx.fluent	fluent-jpa	1.0.1-beta		418e2d81be43fbf382a91b6d0765c013ab08cba9
co.streamx.fluent	fluent-jpa	1.0.10		b003ed39a7fa82e643eddb1f56a97438c391e95a
co.streamx.fluent	fluent-jpa	1.0.11		f1bb7833a9d43fee5ecaad118b25bc25c79f172f
co.streamx.fluent	fluent-jpa	1.0.12		9414b604024aeba95a16f08cd7913152211f089b
co.streamx.fluent	fluent-jpa	1.0.14		895f503f09258faf34942fd170cb81c1e8eaf08d
co.streamx.fluent	fluent-jpa	1.0.2-beta		605a1cb0fb39c4bca7ce992d6912739b70271bd9
co.streamx.fluent	fluent-jpa	1.0.3		1114051012950b950b48d69ec58ad082b2987609
co.streamx.fluent	fluent-jpa	1.0.4		ac848b912e1428dc61e40fa2a909135412656a5b
co.streamx.fluent	fluent-jpa	1.0.5		1ba9f0f1685f57057db7dfaeedfb0ed57346fcb5
co.streamx.fluent	fluent-jpa	1.0.7		33f0eaa41691b01b20846e5c85079a82362165d8
co.streamx.fluent	fluent-jpa	1.0.8		ee044602861cecc7dbb0fed06d6326662a958890
co.streamx.fluent	fluent-jpa	1.0.9		a4cddae91f7769d830db9608cb55bb2ef1b957fb
co.streamx.fluent	fluent-jpa	1.1.2		c51db79facb354746cb35ed6f502432a6edb9b74
co.streamx.fluent	fluent-jpa	1.2.0		1b08fdd9225f6d945bdb1ecec6ef7db18f4269a2
co.streamx.fluent	fluent-jpa	1.2.1		b38c29d8fb1e51c58953c60712d62b05cb6542e1
co.streamx.fluent	fluent-jpa	1.2.2		3144d2a1d76fa635c25fc587d6a0c086ed081152
co.streamx.fluent	fluent-jpa	1.2.3		965032c95375e8dce43920b9b630ba5214570c33
co.streamx.fluent	fluent-jpa	1.2.4		ae28e6b939fd5ac7a82a82acc2b0d7f9e3ab489b
co.streamx.fluent	fluent-jpa	2.0.0		cb7a0c08c1d6f08ce89a383ecd771348868dbe9c
com.ainsightful	com-ainsightful-sparkml-lite_2.11	0.0.1		1cf1336820aa991fc739b0ca5b6d037553c40137
com.ainsightful	com-ainsightful-sparkml-lite_2.11	1.0.0		fc52e79811ef5cd20149e7d968912cb2c2ee2484
com.azure	azure-cosmos-spark_3-0_2-12	4.0.0-beta.1		48e9761d6d574cf407a2e847fcd0b0a84aca2117
com.bigstep	datalake	1.0		3e48767b0e034571eaeefb3f4639302f910e6cc4
com.casualmiracles	treelog-cats_2.12	1.4.2		02ddd23254cb8fc24e58c40c9c5c1743adbce7e0
com.casualmiracles	treelog-cats_2.12	1.4.3		03a1f2bd0ef9abbd0625c02cceb058d715960705
com.casualmiracles	treelog-cats_2.12	1.4.4		bed05ffcb4e538a973742635dbac0c4cfa973c81
com.casualmiracles	treelog-cats_2.12	1.4.5		adb666315047cfa80a14385f34b4e3bb99a00cd5
com.casualmiracles	treelog-cats_2.12	1.4.6		38adda3d2e641d6fe59eb1ff515c17120986274e
com.casualmiracles	treelog-cats_2.12	1.4.7		c0cfab915570982c4122bebf0ef7f12d5d48138e
com.casualmiracles	treelog-cats_2.12	1.4.9		20c997f434ea0b04e09376ca9927400b09ef180c
com.casualmiracles	treelog-cats_2.12	1.5.0		1c589e701d7c9a7090d409613327c1c2fcc2942f
com.casualmiracles	treelog-cats_2.12	1.6.0		e560c66446d01b30e41a72d440ff50c26d5af584
com.casualmiracles	treelog-cats_2.12	1.7.0		aa9e0805cacd8ce59504d3c5cc4bee0cdd2efd70
com.casualmiracles	treelog-cats_2.12	1.8.0		18a97834ee44e5aae0381738703d350ef9225749
com.casualmiracles	treelog-cats_2.12	1.8.1		9df2f38f03ae31fae1bb7addf63aa20be6c312d4
com.casualmiracles	treelog-cats_2.12	1.8.2		3ba994214bcad5007cfa38ab3bea9e6b7e2393eb
com.casualmiracles	treelog-cats_2.12	1.9.0		4b0bed77a25a1868c6505cbeb5bda6500e5b5654
com.casualmiracles	treelog-cats_2.12	1.9.1		016bc4e9f4490c3fb7375287231eaffcd3059851
com.codbex.kronos	kronos-modules-engines-core	0.1.0		038ea01ad3b20e3981cf1b86cc239b24605ac9fb
com.codbex.kronos	kronos-modules-engines-core	0.1.1		4fd4f25d07f9b4d7e502a5a248aeae35045b64f6
com.codbex.kronos	kronos-modules-engines-core	0.1.2		cba3f586887f2b2b8cacf9333bbdf8668b15246d
com.codbex.kronos	kronos-modules-engines-core	0.1.3		97814d3febf94dc6ecaae8a3274e7557e30f6220
com.eworkcloud	ework-cloud-starter-mybatis	1.0.0		4962ddb61fd2892b9bb53d3ea876cd6217302bbe
com.eworkcloud	ework-cloud-starter-mybatis	1.0.1		007fa69700d6025b2d8434597c4d941b9e333e6b
com.eworkcloud	ework-cloud-starter-mybatis	1.0.2		003a92f9af8b941a1d1f943ef104f27b7d2badff
com.eworkcloud	ework-cloud-starter-mybatis	1.0.3		3c2b45928770dd19583db325944c456b1f0fa5ea
com.eworkcloud	ework-cloud-starter-mybatis	1.0.4		fbc04fa313ddcc9c60b8d740c9e20206c53754d9
com.eworkcloud	ework-cloud-starter-mybatis	1.0.5		c2a7d6d8076dd48cc37a65295d49dbd1b4bca094
com.eworkcloud	ework-cloud-starter-mybatis	1.0.6		22004c99d1b155ee5c9f5145c2fdc682e5c070d2
com.eworkcloud	ework-cloud-starter-mybatis	1.0.7		7ab1581ef921d7ac0c8eb7b8640b11fc1425b1ce
com.eworkcloud	ework-cloud-starter-mybatis	1.0.8		6eecee40fcd96f7b795ce33f0cb078adb8c74882
com.eworkcloud	ework-cloud-starter-mybatis	1.0.9		5d1ab8e0eea84145b8b89c670c1b65db115e2e42
com.eworkcloud	ework-cloud-starter-mybatis	1.1.0		47924dc2a69dc18d28b8a516e348c315e790687e
com.eworkcloud	ework-cloud-starter-mybatis	1.1.1		90876c58193a87d6cdbfc395030ae8ac1a87870b
com.eworkcloud	ework-cloud-starter-mybatis	1.1.2		663599194de18304414dc11637d0aca191882241
com.eworkcloud	ework-cloud-starter-mybatis	1.1.3		af3d6687571b15bfe3ac6cb85497718914ecf874
com.eworkcloud	ework-cloud-starter-mybatis	1.1.4		6429fb2a9d1694a781b9af1722b7b05c87b78c96
com.eworkcloud	ework-cloud-starter-mybatis	1.1.5		251747a026b8d23e36181693a44b21e553051208
com.eworkcloud	ework-cloud-starter-mybatis	1.1.6		ea9ad7084741cbaccd55c04cfb06b659b2b25ab1
com.eworkcloud	ework-cloud-starter-mybatis	1.1.7		fb9db975d176c2c3d7d6b868fc1ae4b3744a895f
com.eworkcloud	ework-cloud-starter-mybatis	1.1.8		d4f224ae47ec7ebb36e80aa387cd5ba81b450cf4
com.eworkcloud	ework-cloud-starter-mybatis	1.1.9		a3bf6dcc8ef534bfa16aaa679e15e24456178819
com.eworkcloud	ework-cloud-starter-mybatis	1.2.0		a09c65efba269a2e7e0b6999f54183543b35dc72
com.eworkcloud	ework-cloud-starter-mybatis	1.2.1		b34c3f361b8743da746ae6dbb6846c7687819e21
com.eworkcloud	ework-cloud-starter-mybatis	1.2.2		4d090ff673b88ef75aad3d2f3effe6f3e2b19729
com.eworkcloud	ework-cloud-starter-mybatis	1.2.3		5a5fad3c3864cac0c1bb1a4d8bfb258bd9fe7cad
com.eworkcloud	ework-cloud-starter-mybatis	1.2.4		95a15f1c7c444cf0d41418ac7419a3bb91c7a209
com.eworkcloud	ework-cloud-starter-mybatis	1.2.5		db1770fba976175a2c5307b248a4f9a3082908cb
com.eworkcloud	ework-cloud-starter-mybatis	1.2.6		7fb5f58cd1a0c12d76b0963b5fa0fabd68dff4fa
com.eworkcloud	ework-cloud-starter-mybatis	1.2.7		165042e26692685aebbd832a70aaf996dca1742f
com.eworkcloud	ework-cloud-starter-mybatis	1.2.8		640686d58ca2d1ffaec69a44f852dd8371c506e3
com.eworkcloud	ework-cloud-starter-mybatis	1.2.9		f62cf1a270b501866c49a0e64ba598466eea32a5
com.eworkcloud	ework-cloud-starter-mybatis	1.3.0		476e4d7e6b9c45630420ca05bef3926bfd77a6c4
com.eworkcloud	ework-cloud-starter-mybatis	1.3.1		79ef1c5b23693084a363e774c5636ecfa9bcd650
com.eworkcloud	ework-cloud-starter-mybatis	1.3.2		76332193aca18840c9534bf1eb9d81263557be5e
com.eworkcloud	ework-cloud-starter-mybatis	1.3.3		9b19e2f08c8994a5ca1cc78dc127a400f34a7c00
com.eworkcloud	ework-cloud-starter-mybatis	1.3.4		e26118b1c1d8be86533bf137cdff087a21be3a0b
com.eworkcloud	ework-cloud-starter-mybatis	1.3.5		854ee2dd5970a7ffc6d1e200078509f5307676b0
com.eworkcloud	ework-cloud-starter-mybatis	1.3.6		2dfbaadfad0bbc8b3cc01a2f6e586635b1392d0d
com.eworkcloud	ework-cloud-starter-mybatis	1.3.7		f363142512abfb634c11a611661fb8131ee7f117
com.eworkcloud	ework-cloud-starter-mybatis	1.3.8		507e1d08c0e13c66ae3f0d7a59a55e81c952fb92
com.eworkcloud	ework-cloud-starter-mybatis	1.3.9		a673ae93fbdb7c3b71392cb7f724e19ff2a9af16
com.eworkcloud	ework-cloud-starter-mybatis	1.4.0		05b627f17c2f73a2eb29ffb8b2604f351c34b1f8
com.eworkcloud	ework-cloud-starter-mybatis	1.4.1		78b77dbd9d58741ecf40bb7bbda7e1783f73ab9a
com.eworkcloud	ework-cloud-starter-mybatis	1.4.2		465da3cc3430d33625ca0220640cd056e1321f00
com.eworkcloud	ework-cloud-starter-mybatis	1.4.3		368b2c50b6a4c9dbf3abf5597dd32553f112471a
com.eworkcloud	ework-cloud-starter-mybatis	1.4.4		699578bd628f08d97f26643022aa758b50b576a8
com.eworkcloud	ework-cloud-starter-mybatis	1.4.5		d4591c3dc57d73566c8b4e912cb41374d1df3032
com.eworkcloud	ework-cloud-starter-mybatis	1.4.6		f18353a71771c2def67b2b0c4af0d175ea0b9c4e
com.eworkcloud	ework-cloud-starter-mybatis	1.4.7		529178f3f12a1807a13ab0a66fe5d8ab7a3ad4f1
com.eworkcloud	ework-cloud-starter-mybatis	1.4.8		64f9eb6b1d00698cbb6ab82c0d23a5ca3d6eb5e9
com.eworkcloud	ework-cloud-starter-mybatis	1.4.9		4d300d7b95021f4287ad4e7f8fdc163a7945426e
com.eworkcloud	ework-cloud-starter-mybatis	1.5.0		c156f3f2f21c0278bcc1225914d93615b7117e28
com.eworkcloud	ework-cloud-starter-mybatis	1.5.1		5c0a95e5f51fdfa89389920c8341be6dd9f0e9b0
com.eworkcloud	ework-cloud-starter-mybatis	1.5.2		af56abe1fbcf4aae041c848ac9826dd1c6900ac4
com.eworkcloud	ework-cloud-starter-mybatis	1.5.3		1761d0bd6be64bb911a063eb08482502b1d08d9a
com.expediagroup.streamplatform	stream-registry-cli	0.14.0		77d64732e8de9a3249eb3d64875bfdf068610a1e
com.expediagroup.streamplatform	stream-registry-cli	0.14.0	shaded	39d7b05a7ea05e8501d9cc217200b8c61acce3e2
com.expediagroup.streamplatform	stream-registry-cli	0.14.1		00592b966388e8f85888a46c98c36e0d2832e70e
com.expediagroup.streamplatform	stream-registry-cli	0.14.1	shaded	a25d883bb4c9b88c8a5ce55fca1a2837f737f112
com.expediagroup.streamplatform	stream-registry-cli	0.14.2		eb209799d86d03f52e7bf551cd0c6d7199082b28
com.expediagroup.streamplatform	stream-registry-cli	0.14.2	shaded	38d34617cee95d623c617855558d2c8a5c0958fd
com.expediagroup.streamplatform	stream-registry-cli	0.14.3		7749cab180dfa8d8f711444f8bada9796e5027fd
com.expediagroup.streamplatform	stream-registry-cli	0.14.3	shaded	f58d4b277ca2dccf4528aa52ecb560d4c67e6ce6
com.expediagroup.streamplatform	stream-registry-cli	0.14.4		c1b65ebc784c3ffd778748bf3f917ec5aacf614f
com.expediagroup.streamplatform	stream-registry-cli	0.14.4	shaded	fb1709d6170469ffca580aab3cb39a02280da696
com.expediagroup.streamplatform	stream-registry-cli	0.14.5		535f583ddb69319770f1e045e85bf326771afc8a
com.expediagroup.streamplatform	stream-registry-cli	0.14.5	shaded	ef1c9ed1194684da2c6f7f11ce747dee54bd7519
com.expediagroup.streamplatform	stream-registry-cli	0.15.0		4ddfbf134b5d607789b0f4ff1247a6f73b1fce31
com.expediagroup.streamplatform	stream-registry-cli	0.15.0	shaded	13dbc4bba9dbc6a2f522905b26db83f14fd9129b
com.expediagroup.streamplatform	stream-registry-cli	0.15.1		51b2437250af04e0fa2f152b7f4b8d818eec3d8d
com.expediagroup.streamplatform	stream-registry-cli	0.15.1	shaded	2b2a0f3056120f353a71d063965ec3f5b1b14625
com.expediagroup.streamplatform	stream-registry-cli	0.16.0		eac00fd0af45c6a8e0adcaf0bf05653e6b88fcd9
com.expediagroup.streamplatform	stream-registry-cli	0.16.0	shaded	c631c8e98727d33364401021ac37ae3b48384f8b
com.expediagroup.streamplatform	stream-registry-cli	0.17.0		c1982cba0a301fd5356e07696e67ece87aef6dca
com.expediagroup.streamplatform	stream-registry-cli	0.17.0	shaded	649f450b95940ffaa1bce2969722f7a4980701be
com.expediagroup.streamplatform	stream-registry-cli	0.17.1		c3934f46f8de214e3225b0b464d5902dabf133e5
com.expediagroup.streamplatform	stream-registry-cli	0.17.1	shaded	624e62f16c058b4cf655885aea0058b3ec90b941
com.expediagroup.streamplatform	stream-registry-cli	0.18.0		8bfbd201d6ed8be6389751b6bcb773fd6024e9a9
com.expediagroup.streamplatform	stream-registry-cli	0.18.0	shaded	6f6c2cd1178bbd8106ddcd06ba9867daa6bfd2b3
com.expediagroup.streamplatform	stream-registry-cli	0.19.0		ec1a00d3d8cf728dc5236c380ac170e516a607f9
com.expediagroup.streamplatform	stream-registry-cli	0.19.0	shaded	b9540f4abc2934c5f0ed62c2b9ac754239498952
com.expediagroup.streamplatform	stream-registry-cli	0.19.1		ae2cf8c6884344eab8afc91d1849f2c2d7def831
com.expediagroup.streamplatform	stream-registry-cli	0.19.1	shaded	b7569cf022ca26184988dd37c9094afa2fdb7ba3
com.expediagroup.streamplatform	stream-registry-cli	0.20.0		967e3b7fea5a8df8a4dec80751279912be9bb5b8
com.expediagroup.streamplatform	stream-registry-cli	0.20.0	shaded	672bb18dfccc897b7460b67b4fd55755dc0ffca9
com.expediagroup.streamplatform	stream-registry-cli	0.20.1		8d42057931518d589785561abd09a60467359fac
com.expediagroup.streamplatform	stream-registry-cli	0.20.1	shaded	a0f74a86aeed7a37d5dd28f3b2a7b2d143bdac47
com.expediagroup.streamplatform	stream-registry-cli	0.20.2		73b1ee031bde18b35ffe3e413adf8c10e98ec49e
com.expediagroup.streamplatform	stream-registry-cli	0.20.2	shaded	3ef1d4642f89d942bfc17dec49d473d6cdee2825
com.expediagroup.streamplatform	stream-registry-cli	0.20.3		c1f68cc62996722cd7ce85f80286ed53644e2179
com.expediagroup.streamplatform	stream-registry-cli	0.20.3	shaded	43026c5a7fa26387730f46a310b8cfce5e92290a
com.expediagroup.streamplatform	stream-registry-cli	0.20.4		e28df173038493a4dff57dc2b2efdf1e0a871519
com.expediagroup.streamplatform	stream-registry-cli	0.20.4	shaded	db7d1423cbe8c9ce21ba5c1daa7d3e8cc6e05b5f
com.expediagroup.streamplatform	stream-registry-cli	0.20.5		483b2e33380189fa6da16f86c121a4daf725abba
com.expediagroup.streamplatform	stream-registry-cli	0.20.5	shaded	166c29684656e3308e09db41485418cac04a0243
com.expediagroup.streamplatform	stream-registry-cli	0.20.6		db6cfd8057855c3de3d0ac9a2616b7f6d074d544
com.expediagroup.streamplatform	stream-registry-cli	0.20.6	shaded	2ecaa7ae6679ad309292d4d7a688f98e163657ef
com.expediagroup.streamplatform	stream-registry-cli	1.0.0		2037878b2dd15382d156de65e125d0118cb5edbc
com.expediagroup.streamplatform	stream-registry-cli	1.0.0	shaded	8791b2a4df6e81e99496a3256d73b7fb722655f8
com.expediagroup.streamplatform	stream-registry-cli	1.0.1		452058ce5f80452d34a23435dd308f06d97e4977
com.expediagroup.streamplatform	stream-registry-cli	1.0.1	shaded	7aa83a98769d655b02ed9236bb3f441a7f006979
com.expediagroup.streamplatform	stream-registry-cli	1.0.2		dba6347511847780f1b3b7d9b260fc00b2add013
com.expediagroup.streamplatform	stream-registry-cli	1.0.2	shaded	03f3998bbbab33f7a0454b14fe2c2f597b1adc86
com.expediagroup.streamplatform	stream-registry-cli	1.1.0		20a6d1bc9f8c28131236bd5baa05a294a066bd0b
com.expediagroup.streamplatform	stream-registry-cli	1.1.0	shaded	3be012fef56eb58cc7138170b7267c6dc2f2cfdf
com.expediagroup.streamplatform	stream-registry-cli	1.1.1		446ac0e9440e91f5fb8121582fbadb3d4f50712e
com.expediagroup.streamplatform	stream-registry-cli	1.1.1	shaded	fe89ce416b38ee1c61acce7d6b09ce0ff786844a
com.expediagroup.streamplatform	stream-registry-cli	1.1.2		36a4f9cb4b2d9309edcbf89215c79a60b501fb7c
com.expediagroup.streamplatform	stream-registry-cli	1.1.2	shaded	6ad56610cf4c6f1284cc8f7d64ee0c4c96e4a273
com.expediagroup.streamplatform	stream-registry-cli	1.1.4		aa70158f01abbaa224482339be992356e5bf6d86
com.expediagroup.streamplatform	stream-registry-cli	1.1.4	shaded	c056b07ef76e8dead96799380770d051aae2a721
com.expediagroup.streamplatform	stream-registry-cli	1.2.1		9109d154607e238ce9205e178df06a5f868b7d0a
com.expediagroup.streamplatform	stream-registry-cli	1.2.1	shaded	c5037c22688b8f0a1c73e500807e9a64762f932e
com.expediagroup.streamplatform	stream-registry-cli	1.3.0		8e86d54ac6b1a03ae950ac62a4d3a124e2450a83
com.expediagroup.streamplatform	stream-registry-cli	1.3.0	shaded	a4fba29811ddb036a71f48bbd6b299377ba42eff
com.expediagroup.streamplatform	stream-registry-cli	1.3.1		df1f8fb974e9a8a81b568985ff294c46cf4e6b38
com.expediagroup.streamplatform	stream-registry-cli	1.3.1	shaded	3985952971541b103de0d54888fd7ae24ea3e02f
com.expediagroup.streamplatform	stream-registry-cli	1.4.0		731d2cb06c31548ce6812614191a534d68cf92e8
com.expediagroup.streamplatform	stream-registry-cli	1.4.0	shaded	0056993ef386feae509c206159da7a9396e7ecf9
com.expediagroup.streamplatform	stream-registry-cli	1.4.2		d8d01dd312f42b97d1e1e111e9a25d6d5b50004a
com.expediagroup.streamplatform	stream-registry-cli	1.4.2	shaded	2607f3b96265bfa8ebf448f3ec9e6a607be6ba6a
com.expediagroup.streamplatform	stream-registry-cli	2.0.1		6d1f3cc2c9cc65732d2ff4ecb681795434e9b14e
com.expediagroup.streamplatform	stream-registry-cli	2.0.1	shaded	7e89e144de6f18531caf63832a631df72c909175
com.expediagroup.streamplatform	stream-registry-cli	2.0.2		b4bb5c07c75bdaecc3606030d838283f83fd7920
com.expediagroup.streamplatform	stream-registry-cli	2.0.2	shaded	090ad856967698c967b15adfc049e71b84e4df9b
com.fleeksoft.ksoup	ksoup-kotlinx-macosarm64	0.2.1		N/A
com.fleeksoft.ksoup	ksoup-kotlinx-macosarm64	0.2.1	metadata	3fe50abba8e3fd45a452f5a0689aafaa824a61e1
com.fleeksoft.ksoup	ksoup-kotlinx-macosarm64	0.2.2		N/A
com.fleeksoft.ksoup	ksoup-kotlinx-macosarm64	0.2.2	metadata	404378862e3daf1d7aea1335a60a2bd7c1b8a255
com.fleeksoft.ksoup	ksoup-kotlinx-macosarm64	0.2.3		N/A
com.fleeksoft.ksoup	ksoup-kotlinx-macosarm64	0.2.3	metadata	feaa5ac554e9253cae3595cdf581d895384f9eb4
com.gitee.zzhhz	HTTSVoice	1.0.4		N/A
com.gitee.zzhhz	HTTSVoice	1.0.5		N/A
com.gitee.zzhhz	HTTSVoice	1.0.6		N/A
com.gitee.zzhhz	HTTSVoice	1.1.0		N/A
com.gitee.zzhhz	HTTSVoice	1.1.0	release-sources	806bbe25a2b857fa25e95925a924ea03bae62a9c
com.gitee.zzhhz	HTTSVoice	1.1.1		N/A
com.gitee.zzhhz	HTTSVoice	1.1.1	release-sources	d0cfeb490510b71941e4bb1c7fcb6e86d7c21b63
com.github.mperry	frege-gradle-release-plugin	0.1		4873bf44a9e1ad7a7fe0ab7b08cc73e4b48124fd
com.github.phillip-kruger	stompee	1.1.1		N/A
com.github.phillip-kruger	stompee	1.1.2		N/A
com.github.phillip-kruger	stompee	1.1.3		N/A
com.github.psi-probe	psi-probe-tomcat85	3.0.0		4b795db5ee247bb2b5f78ed4a256d5569245e865
com.github.psi-probe	psi-probe-tomcat85	3.0.0.RC2		accc239590d99c5b542b15630f153a531adaa7cc
com.github.psi-probe	psi-probe-tomcat85	3.1.0		8109c4c828806764ff78bf61b9256255a6449509
com.github.psi-probe	psi-probe-tomcat85	3.2.0		26279fcc5bc11b6a0ebcf927dbf94b63406cb62d
com.github.psi-probe	psi-probe-tomcat85	3.3.0		aa4b49766e557a83b6f3b7886cae7132827a7998
com.github.psi-probe	psi-probe-tomcat85	3.3.1		47be897cac2354ca5e793c8223e01dcc48ad7ff4
com.github.psi-probe	psi-probe-tomcat85	3.4.2		8339846615c84c2c6231bd12c048420eccc46b51
com.github.psi-probe	psi-probe-tomcat85	3.4.3		402e7b65bbe62a8f28bf92da57a2b96a32adc48e
com.github.psi-probe	psi-probe-tomcat85	3.4.4		43f964ff8280ba6f51770c102906f5817049e259
com.github.psi-probe	psi-probe-tomcat85	3.4.5		efce0991810887bb473196b075de8f8d5c44fcf8
com.github.psi-probe	psi-probe-tomcat85	3.5.0		c6398064a6c02cecfe450f336fd83405a63e392a
com.github.psi-probe	psi-probe-tomcat85	3.5.1		38f4a6ab33c182ce531d277ed7a1d6648a90e289
