be.yildiz-games	module-compression	1.0.0		86121283bbf7d7b708b1b27e4dbac8df18b42398
ch.epfl.lamp	dotty-interfaces	0.1-SNAPSHOT-20160609-8fe3e37		9302cf87c82f4e082f14308cd9732620026cf6de
ch.epfl.lamp	dotty-interfaces	0.1.1-20170108-add9a03-NIGHTLY		ca7aff4878a60124808a34ca05d0c2536cfc0d96
ch.epfl.lamp	dotty-interfaces	0.1.1-20170109-be64643-NIGHTLY		23a79b36ab9ddaa0b6e8d77b5faa76b15b23b463
ch.epfl.lamp	dotty-interfaces	0.1.1-20170110-d62a2c9-NIGHTLY		612acedd41ea20d801c02cc5a29477386cdcd21e
ch.epfl.lamp	dotty-interfaces	0.1.1-20170111-ba7e129-NIGHTLY		988b3c48bf5ccb58c147fbb858e929a86320132f
ch.epfl.lamp	dotty-interfaces	0.1.1-20170112-36237cb-NIGHTLY		c8b7b8677b40fbf6b7ff26238bb372830ac5bfc7
ch.epfl.lamp	dotty-interfaces	0.1.1-20170116-6a95fef-NIGHTLY		483087863ce0f5d14730290e7900c19b0ec7522d
ch.epfl.lamp	dotty-interfaces	0.1.1-20170116-eed4f2f-NIGHTLY		6aa18af2fc87694b830ba763b4d5ed6d26401c60
ch.epfl.lamp	dotty-interfaces	0.1.1-20170203-da7d723-NIGHTLY		6a8a088c5b9269c2445d50b1f4318fb0a069cc3b
ch.epfl.lamp	dotty-interfaces	0.1.1-20170208-75bea8d-NIGHTLY		cf354899d852eac55950ac1e96a2796f99c8ff6e
ch.epfl.lamp	dotty-interfaces	0.1.1-20170210-e360c2a-NIGHTLY		f40da26928793c8e8b9c331c80f394f3935feec3
ch.epfl.lamp	dotty-interfaces	0.1.1-20170212-8bdc91f-NIGHTLY		cc4a55bc5431601370d37c043966794c854d996c
ch.epfl.lamp	dotty-interfaces	0.1.1-20170214-606e36b-NIGHTLY		69f3e39abcbd61c6de3f1fa01a336caec498bdda
ch.epfl.lamp	dotty-interfaces	0.1.1-20170215-39af2f5-NIGHTLY		30e4367e3892d53db2663f9ca373333f80717733
ch.epfl.lamp	dotty-interfaces	0.1.1-20170216-6df672c-NIGHTLY		7903210982360c755d8374cc5fd389441b3e3850
ch.epfl.lamp	dotty-interfaces	0.1.1-20170217-63083f1-NIGHTLY		ac893559927f1b155a1b14cde188a3f3217e0afc
ch.epfl.lamp	dotty-interfaces	0.1.1-20170218-f3f1c46-NIGHTLY		c7c981d2850140c594b39a8c6a9e09dc96de442d
ch.epfl.lamp	dotty-interfaces	0.1.1-20170220-f467be6-NIGHTLY		49e2dcb3bf2e0fe448ac844cb07e48ea769479dd
ch.epfl.lamp	dotty-interfaces	0.1.1-20170221-3552326-NIGHTLY		b967366184439588a57afd6eaa426a4e49c461fd
ch.epfl.lamp	dotty-interfaces	0.1.1-20170222-a0f47a0-NIGHTLY		63de37fbd2a6c9cf5ed6b38f3e7f80ce2e9bc1c7
ch.epfl.lamp	dotty-interfaces	0.1.1-20170223-2699715-NIGHTLY		90a23e36540b855e33ad909cac5ee126ee01f9d1
ch.epfl.lamp	dotty-interfaces	0.1.1-20170224-db24246-NIGHTLY		248e67b7eac2349266600a006416be08d60a238f
ch.epfl.lamp	dotty-interfaces	0.1.1-20170225-d0162ae-NIGHTLY		ae9324d42c122862c3a984a0cffeafcb7959f957
ch.epfl.lamp	dotty-interfaces	0.1.1-20170227-179a5d6-NIGHTLY		81d04357b74cd1ada3f8399f99edf9a973597285
ch.epfl.lamp	dotty-interfaces	0.1.1-20170301-83a4f95-NIGHTLY		bc95feed04f04e3d06b3b9bad474d502db89f3b0
ch.epfl.lamp	dotty-interfaces	0.1.1-20170301-feaa0ae-NIGHTLY		32b4d3353b239ab164b1b3494e18e2e297217149
ch.epfl.lamp	dotty-interfaces	0.1.1-20170303-06d3f7a-NIGHTLY		bf904adcdd341b19dc8fb6a7224235720743d391
ch.epfl.lamp	dotty-interfaces	0.1.1-20170305-6131175-NIGHTLY		c1db7ed767fbd8f418b5b0dfd5d97dde58a8479b
ch.epfl.lamp	dotty-interfaces	0.1.1-20170306-c90ea6b-NIGHTLY		592aeed45d40385f7275a97d02855cecd4713789
ch.epfl.lamp	dotty-interfaces	0.1.1-20170307-3c4d29e-NIGHTLY		7b79e32fccfff37728d9ba4ea18718ab9113b186
ch.epfl.lamp	dotty-interfaces	0.1.1-20170308-c844809-NIGHTLY		12b46c444aaf8057518c60e68942c8a5c581c264
ch.epfl.lamp	dotty-interfaces	0.1.1-20170309-e28d8ee-NIGHTLY		52d502e8f58c505be2f114fdcc5b6154a98745c7
ch.epfl.lamp	dotty-interfaces	0.1.1-20170311-b2d3b89-NIGHTLY		b8aeeaf3ce5bc5874deeff4e7e24a9e5394c393f
ch.epfl.lamp	dotty-interfaces	0.1.1-20170312-b319440-NIGHTLY		74bb000d6bdae68ca98dd89ff889438f570e468f
ch.epfl.lamp	dotty-interfaces	0.1.1-20170315-c321653-NIGHTLY		09206ec15dc7e9e88f1ba1d5a1342b966d064276
ch.epfl.lamp	dotty-interfaces	0.1.1-20170316-2325863-NIGHTLY		377d5784558069fc983533b5de3d7f1572c40fd8
ch.epfl.lamp	dotty-interfaces	0.1.1-20170317-d062110-NIGHTLY		e6a7f468419867c78ab0cf2e487ef62967c89d17
ch.epfl.lamp	dotty-interfaces	0.1.1-20170318-e93b78f-NIGHTLY		df4d2b3520183af39345ffb1ba226b3476f4cb76
ch.epfl.lamp	dotty-interfaces	0.1.1-20170319-8c26743-NIGHTLY		0a19ffc2ead09df7f0963a2f766103738bbee4f6
ch.epfl.lamp	dotty-interfaces	0.1.1-20170320-f009dc0-NIGHTLY		e983bbc16a5814a1f29ace50c268c8fe9f216857
ch.epfl.lamp	dotty-interfaces	0.1.1-20170321-e54b7e3-NIGHTLY		d2ea0e5ed2798ee48620951ab0d7ee1e6e514b28
ch.epfl.lamp	dotty-interfaces	0.1.1-20170322-5fd7a95-NIGHTLY		df110a1907276728c1628ad0ec09d28e2b711e9e
ch.epfl.lamp	dotty-interfaces	0.1.1-20170324-90eb9d2-NIGHTLY		65e4310391ed070fe4a05b678f9f19f042966bc5
ch.epfl.lamp	dotty-interfaces	0.1.1-20170328-9ba9b14-NIGHTLY		ce4a6fbcc2aa4552a9d4b9f391e4d653ca2e5953
ch.epfl.lamp	dotty-interfaces	0.1.1-20170329-f49c10d-NIGHTLY		4e006ec74cacf0fbb8d768022caaeb465d8fc903
ch.epfl.lamp	dotty-interfaces	0.1.1-20170330-f75caad-NIGHTLY		1e7d84b21a93b3361ef9753be424ac8eba4d2748
ch.epfl.lamp	dotty-interfaces	0.1.1-20170331-d73c8e4-NIGHTLY		3caf983960e00d52492f8a41d50bda3876d7e592
ch.epfl.lamp	dotty-interfaces	0.1.1-20170402-054a4f9-NIGHTLY		f8e48f4ed9432290eb7d6fbab0a13ba71598ce42
ch.epfl.lamp	dotty-interfaces	0.1.1-20170403-5021c76-NIGHTLY		9e571ede3c89ac43b86838902d907ed985e5f283
ch.epfl.lamp	dotty-interfaces	0.1.1-20170404-586113d-NIGHTLY		07f81471693524ddf8fc07ae9e68d195ee721825
ch.epfl.lamp	dotty-interfaces	0.1.1-20170406-4d76265-NIGHTLY		e84555a0022b35b21812aac1a425c71085d00e49
ch.epfl.lamp	dotty-interfaces	0.1.1-20170409-7294180-NIGHTLY		70a1c7dd83a626e9bdaaa480974e8f521c9c5042
ch.epfl.lamp	dotty-interfaces	0.1.1-20170410-0bd7821-NIGHTLY		0d3bd04af6e83fdb5583659d5925406f43f51e07
ch.epfl.lamp	dotty-interfaces	0.1.1-20170411-4b33e36-NIGHTLY		58e032e1e32ead580bdb7f5378302a2cd9bb0c4d
ch.epfl.lamp	dotty-interfaces	0.1.1-20170412-3a9deec-NIGHTLY		bcb6a0b41bb8c9f3fee329a0ed8f47ba320ad5e0
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170424-40d405b-NIGHTLY		a60fd743ca8c463d9e5e936cd4d9a4a01c116098
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170425-f1c3529-NIGHTLY		74f03d100d27b0555ae39a76c66135cd38347d24
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170426-8815b40-NIGHTLY		ab8ff458389bac4d592575791a062a53459da0ef
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170427-fa13f8d-NIGHTLY		7860eff5a07374a05012f463f2ba27c42dfa24b1
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170428-206ba59-NIGHTLY		0a3a7e46367b1e2f70e4c72bee582841dd7100be
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170429-10a2ce6-NIGHTLY		bb2f6eea3feed4704126bc89578004fc020a1684
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170501-b19d1fb-NIGHTLY		647c2093ce684b4deacf741c66ce32207ebaa10a
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170501-de53e52-NIGHTLY		509ce201e17d1bb6235bc1eaeb755a9b5af2a7bc
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170502-df22149-NIGHTLY		24ebdd92779f5b028f29ec9306941250417f2c89
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170504-92fe2a5-NIGHTLY		438964647f2d431f80ecc2d95f56d0245b643074
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170506-385178d-NIGHTLY		cbbb34ac1aaaa747ae42f2d5e415323d8c4e8953
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170506-ea9643c-NIGHTLY		4523592de29ca6157e4e1e9b604a495fa2c24044
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170507-1014af3-NIGHTLY		a80e06b50d9399bed8eefa2fe93f4675b4baa648
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170508-a391a58-NIGHTLY		e6c2d186dd8876cc3cacbe2cf317625fca1688fe
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170509-7a3f880-NIGHTLY		e273da6fdaac3bcc942ac783e5af37c0e39103a8
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170510-85d9684-NIGHTLY		de910c1ad99b397aefc2f06b4444e2816e3b68ef
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170511-cc4533d-NIGHTLY		0b19f72d16d2bc16d997f91059cd1d15df2c4053
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170516-8fbe087-NIGHTLY		6eba4ac657e62b9bb319f4498b942d636d2848c9
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170517-8a9aedc-NIGHTLY		dbf3f795fe7e969f17a6529a8551afe0b54e8039
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170520-a147797-NIGHTLY		b2eb0f91f5730a014c232090a8776d246aea1fe5
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170520-d204179-NIGHTLY		cb596e82b7b3e20a0cf6ab2796ce05fbaa1b0cc1
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170522-5efbe52-NIGHTLY		a5766936b6dee16c608b28cbdad2b3ef1c9e9b6b
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170523-83745f3-NIGHTLY		552dc95d62bb4bc4443a64123978303b165e940d
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170525-dffccfa-NIGHTLY		a44273f1ce2ed33718b50c68024ab8f0c4aabcde
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170527-8b0aca2-NIGHTLY		72cb778227a4a72a708ac35a1f3263de3a31a22a
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170528-5f1a8de-NIGHTLY		42302c602b682ec0dc355f43963d95fed011bbd5
ch.epfl.lamp	dotty-interfaces	0.1.1-bin-20170530-f8f52cc-NIGHTLY		fe545b45a1850b408a0b1854a149321bb8ad1247
ch.epfl.lamp	dotty-interfaces	0.1.2-RC1		dd8593bb83ee415715fb124533417ea38cce5fd2
ch.epfl.lamp	dotty-interfaces	0.10.0		e406d93c4b945947fa93d1613943fb62ea1cbe04
ch.epfl.lamp	dotty-interfaces	0.10.0-RC1		81d869de1ce90c04b9b049e16e24f79dee1f045e
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180705-61840b6-NIGHTLY		195ce6e092dd6b7f5d661598d1797b51d4f3c3ca
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180706-7a80060-NIGHTLY		bec57c0273a15f398020de8706cb202ba606bdab
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180707-64bd0fe-NIGHTLY		6215c58514b594d9fd3e884c1d8cb5f7b313412a
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180708-346b8fa-NIGHTLY		222b8498df4eb2cd5e26bcab27b486c2a31f222e
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180709-acd0c6e-NIGHTLY		785100a91be65acdfb4e0563c8252819ee4d4adb
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180710-385082b-NIGHTLY		9025481867a0a735f82516a00dc0ef88efdad286
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180712-2e53688-NIGHTLY		ac36a8b484f758bcd24aee7a16ce29fde8224fd5
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180715-b668f16-NIGHTLY		f830738feb8299442fd3573ce9ae56e4674fc322
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180716-76972ab-NIGHTLY		3f65db63b9f580b24f1441ea7bdce28e13a28f77
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180717-37a5443-NIGHTLY		45b9c339e0b248c3ad5f9e9a481b11c1b4cfd945
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180718-bfbd1af-NIGHTLY		cca16675b2dbf726c23c26b3cef11d39c1b71ea4
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180719-fe8d050-NIGHTLY		d454545461b7cf714507f74bc068c4ab07b0c404
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180802-38c066f-NIGHTLY		533d50a4356b66dc3cb1a3bcdbcaf8278ae30b43
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180803-429c1f2-NIGHTLY		975212bedc9f9e830cc04d10a17b8e02d7bfce53
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180805-f39943d-NIGHTLY		7a9d97413b82f403b149e147ac1629eb176ae864
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180806-a4a611c-NIGHTLY		007603c3d4db92144425fc5acaea2c9757545504
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180807-84966d2-NIGHTLY		d7fdeb1f6412790cca794ba1b2592b09ca1e0ca4
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180808-6c33431-NIGHTLY		142ed625cc5f791c0871870bbe863a5c24fc0693
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180809-dbc8d80-NIGHTLY		2fb0b29daae8db78bb93be7991ba48f7bc351eb0
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180810-3bf8a16-NIGHTLY		edd48a3d5289dd7d8fcc3f47b964309030efaed5
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180811-a91d82a-NIGHTLY		d4849958f635c0adb64e54feae84d0e746169bcf
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180813-b4670b7-NIGHTLY		9e373b4f3432cc833dc6010a960bde30a18f5a08
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180814-09a968a-NIGHTLY		728504bf8fe603d05a369918e8515deb1aa2fe2c
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180815-61cba97-NIGHTLY		f79e3ec2153155e8e9ab2e2fd2bb6270667fdadf
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180817-e8f137c-NIGHTLY		de8dada380144771471197ca19a4901f7d82a851
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180818-20945a2-NIGHTLY		cdadc511aa991f5a4f832291eba091daba428d99
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180819-82b84da-NIGHTLY		4d2d241a9e4b858b498fa65d7e7ba5b0f2ef1be4
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180820-05e27f3-NIGHTLY		8038f796a3e4c76ed5b8e8a5481ba8551e0c7cb3
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180821-9dd92a9-NIGHTLY		f9cfbc1b8dbf20c8ecc0e998099e670ab666d6f0
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180822-33afaa2-NIGHTLY		c7d655811f7e71b20a9b75127dbc8aade1edf754
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180824-675b2ac-NIGHTLY		dd9f8b088a101cfb6fdba9a30c23dc8ed6a2a9e5
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180826-28ddeac-NIGHTLY		6f0755436320342f5989b5f5bd161757372b1eef
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180828-1d24eaa-NIGHTLY		fdd9c270af0f6ef1c9c24f7588d397439d1614e7
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180830-bb322b0-NIGHTLY		76f774837ffcc543fc622f4a2785f4c4f9df55c1
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180831-fbcd879-NIGHTLY		fd1a92a09984be48b34d42c178a754351bf674bb
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180902-a31ea22-NIGHTLY		9d0f9716e0aa4685443638c08b7d85e35c369f2c
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180903-86c4e72-NIGHTLY		1a1c2d5f5f6bd9e34bfe1c927d8f1b47ae5fea46
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180905-c6687a3-NIGHTLY		b87acd757fb885433c7857c9507e116a75ad6637
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180906-00e396c-NIGHTLY		27172c09f2bfccb06a74865eab7b26947224a7f3
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180909-f5a6b74-NIGHTLY		afd0109367fbd9c124090292c66ff289381a8f05
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180910-0c88214-NIGHTLY		0ce78b19861142c4b931089da2ff1d894888878d
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180912-7dc2226-NIGHTLY		13ff9a1dfa360c27d9dbba77911b30465c3ffc9b
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180914-0a2734b-NIGHTLY		472781d680268b651c33b6d562aacdaeca58062a
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180918-52a5bdb-NIGHTLY		ae5ae6f8e842874876297d7b621e254f4260d1dc
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180919-e77a47f-NIGHTLY		ebf0c37febd0a24ff54dca325085f9a7e9f62c40
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180920-9bfaf2b-NIGHTLY		3ec0ba69c98a23e8ca9178dbbf0673dceacbe938
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180921-a0b429b-NIGHTLY		81237ce4e7346bfbe99502d0196377f492661f0e
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180924-a4b60c4-NIGHTLY		cfe53b3c76faa9f6ac58bcf44df1fc6624f213f7
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180925-561c06a-NIGHTLY		0b89d21ee97af9af2ff2ff37286a44df68e8a2fd
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180926-5e91f77-NIGHTLY		aecc98d612563d8f9ea9ea93bb3348f422b8ad71
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180927-19cdeb4-NIGHTLY		217d8a4aaafa4456455ef464d5ee10d35481e600
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20180928-6317000-NIGHTLY		48e913d17f6a0ee75d74e82c0c58aaa8aa23505f
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20181002-2b73f9d-NIGHTLY		b1b752834c18f9ee48a51c3d89f4fff0e2fb5364
ch.epfl.lamp	dotty-interfaces	0.10.0-bin-20181002-fd93b46-NIGHTLY		a99d6a250879b6c694366c063dbef0d776deb01f
