com.github.mthizo247	spring-cloud-netflix-zuul-websocket	1.0.3.RELEASE		f1bdd8dd4287646d907e3714d4ffca6a53dfed4f
com.github.mthizo247	spring-cloud-netflix-zuul-websocket	1.0.4.RELEASE		b266cbb633d8b49f6ad9b3d5b17dc435993b541e
com.github.mthizo247	spring-cloud-netflix-zuul-websocket	1.0.5.RELEASE		128eae64b3e45d43a8def5d6dbeccbbf8415bebd
com.github.mthizo247	spring-cloud-netflix-zuul-websocket	1.0.6.RELEASE		2455f133f34e918f0e566bd6ff4e4d9fd0668f5d
com.github.mthizo247	spring-cloud-netflix-zuul-websocket	1.0.7.RELEASE		8997c2513135b029f798acc981c229d199b72b5d
com.github.relateddigital	euromessage-android	4.4.0		N/A
com.github.relateddigital	euromessage-android	4.4.1		N/A
com.github.relateddigital	euromessage-android	4.4.2		N/A
com.github.relateddigital	euromessage-android	4.4.3		N/A
com.github.relateddigital	euromessage-android	4.4.4		N/A
com.github.relateddigital	euromessage-android	4.4.5		N/A
com.github.relateddigital	euromessage-android	4.4.6		N/A
com.github.relateddigital	euromessage-android	4.4.7		N/A
com.github.relateddigital	euromessage-android	4.4.8		N/A
com.github.relateddigital	euromessage-android	4.4.9		N/A
com.github.relateddigital	euromessage-android	4.5.0		N/A
com.github.relateddigital	euromessage-android	4.5.1		N/A
com.github.relateddigital	euromessage-android	4.5.2		N/A
com.github.relateddigital	euromessage-android	4.5.3		N/A
com.github.relateddigital	euromessage-android	4.5.4		N/A
com.github.relateddigital	euromessage-android	4.5.5		N/A
com.github.relateddigital	euromessage-android	4.5.6		N/A
com.github.relateddigital	euromessage-android	4.5.7		N/A
com.github.relateddigital	euromessage-android	4.5.8		N/A
com.github.relateddigital	euromessage-android	4.5.9		N/A
com.github.relateddigital	euromessage-android	4.6.0		N/A
com.github.relateddigital	euromessage-android	4.6.1		N/A
com.github.relateddigital	euromessage-android	4.6.2		N/A
com.github.relateddigital	euromessage-android	4.6.3		N/A
com.github.relateddigital	euromessage-android	5.0.0		N/A
com.github.relateddigital	euromessage-android	5.2.3-google		N/A
com.github.wsiegenthaler	skive_2.11	0.8.1		024fce1e4027430a89284ef08f3f82dd3f0092d6
com.github.wsiegenthaler	skive_2.11	0.8.2		6e790a52e383d58ce37a3a68c801fd0286a9aa9d
com.gradleup.librarian	librarian-core	0.0.4		5012c836b653aa63a65c7b0c3237855ba857481c
com.gradleup.librarian	librarian-core	0.0.5		5be23abaa6217cc1b588c2b3b271bd440c9185aa
com.gradleup.librarian	librarian-core	0.0.6		27ca9b2f80af9dc947e22e7e0739cc1866896093
com.gradleup.librarian	librarian-core	0.0.7		773fc1169d2a8fa60b306697bb142ec7f1497b36
com.mastfrog	acteur-headers-jodatime	2.5.0		84977c88c61f775a8a678839b9daa4a72d07497f
com.mastfrog	acteur-headers-jodatime	2.6.0		98f1ea2d349348accf23a4fccdc09fb77570c8f9
com.mastfrog	acteur-headers-jodatime	2.6.1		ebdd3fc5d126752bf877d7d6b132dca52e186cd0
com.mastfrog	acteur-headers-jodatime	2.6.10		7a63ae65117cc24b39cd862498c85af9d0120fcb
com.mastfrog	acteur-headers-jodatime	2.6.11		e12c63a15cfa1b3192682d7ee5b9491b9a3e49a5
com.mastfrog	acteur-headers-jodatime	2.6.12		f1e7531a6593a34d1ffeb164fa3bfa475f9d3539
com.mastfrog	acteur-headers-jodatime	2.6.13		4d19b1cf93e9979d10675b93ac47e4f502d2b2e6
