br.com.objectos.finos	cvm-cia	0.1.0		3ad60b83e67beb2d1fa9a7d6f6ad6c120c3c2920
ca.carleton.gcrc	nunaliit2-auth-http	2.1.0		ca820a5010dab72df441deac2c22c40d71aececb
ca.carleton.gcrc	nunaliit2-auth-http	2.1.1		ac1f8a768ab0b5856b3ef92eef129ea2fc6bf352
ca.carleton.gcrc	nunaliit2-auth-http	2.1.2		eaabadfd8f8d565e069f0276c9d7b2cc5cca3a14
ca.carleton.gcrc	nunaliit2-auth-http	2.1.3		8083238c6cf650006824dba95fc8c4fccc86241c
ca.carleton.gcrc	nunaliit2-auth-http	2.1.4		14f09771693e08419b854c1b901617738540b4bc
ca.carleton.gcrc	nunaliit2-auth-http	2.1.5		7db5efd50c1083c1ed615201cc72999e4432e6e9
ca.carleton.gcrc	nunaliit2-auth-http	2.2		66a010e7f2f4c705c5eaba9011624c4739052ccb
ca.carleton.gcrc	nunaliit2-auth-http	2.2.1		333355ebd78438dc1780e34deae0340bb54992ed
ca.carleton.gcrc	nunaliit2-auth-http	2.2.2		b474b9da123d92957538a0ccc8676086660cd030
ca.carleton.gcrc	nunaliit2-auth-http	2.2.3		5ef571f1921c4b474fd54d096fead00903067c77
ca.carleton.gcrc	nunaliit2-auth-http	2.2.4		6b156c5629ec6ce82b36e9838d83b52b5c251f42
ca.carleton.gcrc	nunaliit2-auth-http	2.2.5		29fbc4c5fcd7f5df9f3618eb3a95910920c4afb6
ca.carleton.gcrc	nunaliit2-auth-http	2.2.6		d2f6e875e523d70544f7b3758bb3b7d9b72a372a
ca.carleton.gcrc	nunaliit2-auth-http	2.2.7		3e78996154a44dc4d91a53616b65ca78e1c0ff39
cloud.oneentry	sdk-auth-tvosx64	1.0.1		N/A
cloud.oneentry	sdk-auth-tvosx64	1.0.1	metadata	c9d5a3eb7fc7c627f95d62c6f6dcfa40e02e9596
cloud.oneentry	sdk-auth-tvosx64	1.1.0		N/A
cloud.oneentry	sdk-auth-tvosx64	1.1.0	metadata	8f047ace8a65a0ec49fe3675bddc97cd53f7b238
cloud.oneentry	sdk-auth-tvosx64	1.1.1		N/A
cloud.oneentry	sdk-auth-tvosx64	1.1.1	metadata	460ab3ed80eacfc004ffbdf82646c995b2ac3c5f
cloud.oneentry	sdk-auth-tvosx64	1.2.0		N/A
cloud.oneentry	sdk-auth-tvosx64	1.2.0	metadata	3acf4cc29c2383e85eec15a4030cbd8acccccddc
cloud.oneentry	sdk-auth-tvosx64	1.2.2		N/A
cloud.oneentry	sdk-auth-tvosx64	1.2.2	metadata	d63f18911bd3ad0c808889f6a1dd3f38686d5047
cloud.oneentry	sdk-auth-tvosx64	1.2.3		N/A
cloud.oneentry	sdk-auth-tvosx64	1.2.3	metadata	be3efcd910b28f258d730ca96e6ece1c0603a3f4
cloud.oneentry	sdk-auth-tvosx64	1.2.4		N/A
cloud.oneentry	sdk-auth-tvosx64	1.2.4	metadata	2f7d20d2ac6f9cdd87b18a4a8ec7b9b8d6b8aba6
cloud.oneentry	sdk-auth-tvosx64	1.2.5		N/A
cloud.oneentry	sdk-auth-tvosx64	1.2.5	metadata	437afc2b60465a67aacd87a85b1e8f181194e4bc
cloud.oneentry	sdk-auth-tvosx64	1.2.6		N/A
cloud.oneentry	sdk-auth-tvosx64	1.2.6	metadata	31ff16039d7e4869a466b46e8c165f207f7d2d35
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	B.0.0.1		20765685160a1ee2eac3ed6f0c542fc67b64f5fc
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	B.0.0.2		26c330a4fd6d985b4df3a3ad583d095c5133a01d
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	B.0.0.4		e50a896567d523ba29cd3e67291ed77b102c827b
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	B.0.0.5		a4ad8b5c4381568c2b864cdced34cb6ac8bb1f29
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	B.0.0.6		ff95b11345607b33d60e72d384d0b73c1b1d1b4c
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	B.1.0.0		22e772d8c296700068bc0e4ce7045021da7f4bad
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	B.1.0.0-RC1		3fdac59c68448949ad97c365e5ef4ab5d0a49a31
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	B.1.0.0-RC2		c92af9fce61bad8f5ea502736dbc45276eebd0ea
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	B.1.0.1		3f9eb03512b8e96d034d3c8b65ae164ba5ecf99f
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	C.0.0.1		955a578b7547e27cc60f89cf86a562ba0bcab213
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	C.0.0.3		5dcc43940fe6f65e27b09a676b20e1b562575f0b
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	C.0.0.4		47b32939bb870d0f6068e2c5fcebc1263f2edef9
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	C.0.0.5		2d9e8ec44c62b515479df2a1feac6962a9b81272
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	C.1.0.0		da2bddf76f68e3f106e83e7047c416b9580d4a58
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	C.1.0.0-RC1		7d1961bbe683fb18f8f2b6da1fb1afac2191a280
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	C.1.0.0-RC2		fc7f5237576baef927409899b1c7951d560cf7c6
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	C.1.0.1		c14b7b67b3a62a4a6f4c981c3b9de5ab78953b9e
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	D.0.0.1		903428e4c0f1ae57817e86d9e7d12714faae3b8e
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	D.0.0.2		ad8a3974bfd3dc0910cfe185e49ee434ff3d6d84
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	D.0.1.0-Beta-1		69e5fe5f99ca3db4cdec62536b59a782876b0cbe
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	D.0.1.0-Beta-2		413e6c8ea6a707564510c07edc2347dfe167a0b1
cn.springcloud.gray	spring-cloud-gray-plugin-webflux	D.0.1.0-Beta-3		e0eb76e1fb66cdb37f35c897a939fc61786e95a1
com.alibaba.database	innodb-java-reader-demo	1.0.1		1dbe5f5943ad1dfb767f5a0ff207ca4c0032ee58
com.alibaba.database	innodb-java-reader-demo	1.0.10		b9487ec431ce3f99132b90570d44553094918e6b
com.alibaba.database	innodb-java-reader-demo	1.0.2		7b96dff4a18004d70d013dd5c754509eef9a6cb5
com.alibaba.database	innodb-java-reader-demo	1.0.3		a12be7dc5938056f7c454d0e25f7439a4db160d1
com.alibaba.database	innodb-java-reader-demo	1.0.4		7ab358009fe8b23dca2d5086a27094b3cbeba9ba
com.alibaba.database	innodb-java-reader-demo	1.0.5		5118e26d11f5e04dd6961a279cb1f89af66857b0
com.alibaba.database	innodb-java-reader-demo	1.0.6		94b25911638db29d8e30ea3693f23cda6f313b9a
com.alibaba.database	innodb-java-reader-demo	1.0.7		a6b84a419974484d0377c60ae1aad5c0fd60c01b
com.alibaba.database	innodb-java-reader-demo	1.0.8		b7b5e1f60932ad8d3834c6c9dc783fee2fc5eca6
com.alibaba.database	innodb-java-reader-demo	1.0.9		629ccbe7a0e0bb89a5fa4968a944d6e983b402a9
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.0.0		N/A
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.0.0	metadata	4353f2e4110cede4fab05246b78742d256cf6fa8
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.0.0-alpha02		N/A
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.0.0-alpha02	metadata	22ac6c73d5aaf1158e56293a7798d6c5c42fb99e
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.0.0-alpha03		N/A
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.0.0-alpha03	metadata	22288cb2cbef546acd48d9a9d7571088b5f72710
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.0.0-beta01		N/A
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.0.0-beta01	metadata	4d26cd65b1ec8286bdd46aeff8cd891aef1a8d47
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.0.0-beta02		N/A
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.0.0-beta02	metadata	8d0181c2940c3707b826bbf3112cd22caf534ed1
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.0.1		N/A
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.0.1	metadata	a7327257c356cbd659f6b6eee668a2ab13b1653c
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.0.2		N/A
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.0.2	metadata	e998d304aa2fd583439d1275b63bcff7c6baa9e3
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.1.0		N/A
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.1.0	metadata	4c85820433b408e71b1f820cc96877214ba82962
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.2.0		N/A
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.2.0	metadata	8f7448f18526d01b1210fc90f41fd081039275d2
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.2.1		N/A
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.2.1	metadata	f35734c1cf377efbebbc557571c7c1f0be309d0d
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.3.0		N/A
com.arkivanov.mvikotlin	rx-internal-watchossimulatorarm64	3.3.0	metadata	9ddb96fe213280901994af1ca1ff31711bf59d71
com.atlassian.buildeng	bamboo-job-cache-specs	1.3.0		77ea4044e4d12a391a08ec943d930239369fa37b
com.atlassian.buildeng	bamboo-job-cache-specs	1.3.1		dccf34f43f7eae17524dc4436015411e63ca41bd
com.atlassian.buildeng	bamboo-job-cache-specs	1.3.2		7b4a1abafd69bf4ad5b2d1da96f70e3cba1ef771
com.atlassian.buildeng	bamboo-job-cache-specs	1.3.3		7f6d5bc14a79065a98749b1ad0f65a5bca9991b1
com.atlassian.buildeng	bamboo-job-cache-specs	1.3.9		550fffef117e182af9cc847f6ed9f29d0d0cbc5f
com.atlassian.buildeng	bamboo-job-cache-specs	1.4.0		ec38615285e74e82779dd78e87766a908f1226d9
com.atlassian.buildeng	bamboo-job-cache-specs	1.4.1		c06943606263a60c70147e2a192f450b398ff925
com.atlassian.buildeng	bamboo-job-cache-specs	1.4.2		3f98c4ee935b3c3ab9de507455481d13562ba163
com.atlassian.buildeng	bamboo-job-cache-specs	1.4.3		e8fa98d774e9dcbed3e7739b52a0ee27ff617b4f
com.atlassian.buildeng	bamboo-job-cache-specs	1.4.4		ebd2874b35fa33503b53831597a4b8d9292a8e11
com.atlassian.buildeng	bamboo-job-cache-specs	1.4.6		8dba4a0bfdee29beb0e7619759280aaf9e46c97c
com.atlassian.buildeng	bamboo-job-cache-specs	1.4.7		250019ae2c19425eebe3d01a2b2aa62bc4f57047
com.atlassian.buildeng	bamboo-job-cache-specs	2.0.0		dc7f726955e003a6760c65f82436a8bbca81ccd1
com.atlassian.buildeng	bamboo-job-cache-specs	2.0.1		444283bed461e6bd26f290cbebf83dc30ea8962a
com.atlassian.buildeng	bamboo-job-cache-specs	2.1.0		a1cb7404aac626cf96528777f155f0eb70ab0138
com.atlassian.buildeng	bamboo-job-cache-specs	2.1.1		9c86fe0d60497739ce4e3307b4fc4b7971d01f5b
com.atlassian.buildeng	bamboo-job-cache-specs	2.1.11		9c4ecaa302448b3743e77bd45bd17e9d26ae998a
com.atlassian.buildeng	bamboo-job-cache-specs	2.1.2		0d713bc39075180e865ffc1de58e37a0a814b172
com.atlassian.buildeng	bamboo-job-cache-specs	2.1.3		8f7b23331e4643591aae19f491aa697e669cc1ff
com.atlassian.buildeng	bamboo-job-cache-specs	2.1.4		140ab2cc90431e9093da3f91cfc081a3d502f34c
com.atlassian.buildeng	bamboo-job-cache-specs	2.1.5		b8d9e6f02a8e1e6ee9d18aa58215a376522b442a
com.atlassian.buildeng	bamboo-job-cache-specs	2.1.6		9b4fc41fa5afb20c5d868964a39480d5b85aa5e6
com.atlassian.buildeng	bamboo-job-cache-specs	2.1.7		f2294088acc0dadd1ff495e7af1062b17092c5af
com.atombuilt	hoplite-azure	2.8.0.RC3		f8021e788f018c627c33318da88e281fa897d02c
com.attafitamim.krop	extensions-filekit-iossimulatorarm64	0.2.0-alpha02		N/A
com.attafitamim.krop	extensions-filekit-iossimulatorarm64	0.2.0-alpha02	metadata	83f98061bfd03e2727a1ed352c03a67d9caeb6e6
com.attafitamim.krop	extensions-filekit-iossimulatorarm64	0.2.0-beta01		N/A
com.attafitamim.krop	extensions-filekit-iossimulatorarm64	0.2.0-beta01	metadata	d72839df6bfa1349a0a5e2bf1d876fee37fbd4dd
com.authlete	authlete-java-jaxrs	1.0		75ab1b83050d0bdb8923a4cfe22a641c75ad40b1
com.authlete	authlete-java-jaxrs	1.1		721be80bfe9771398debf3ecca3067238d12d225
com.authlete	authlete-java-jaxrs	1.2		f0677aacee489f1034dc6f97818b3db309b1432a
com.authlete	authlete-java-jaxrs	1.3		0abb182c698f73fca30d14103d13627b61956e16
com.authlete	authlete-java-jaxrs	1.4		762bb94553526fb4b5a25839905ae12dbceaadd4
com.authlete	authlete-java-jaxrs	1.5		ac85417900672b57448def2a13be9c561488e156
com.authlete	authlete-java-jaxrs	1.6		091e78cb7cd8c318ee8600a40664b3784c9a7ed1
com.authlete	authlete-java-jaxrs	1.7		d4f4ccfcabbe7b3bb101bd28ae894f13e15f5c6d
com.authlete	authlete-java-jaxrs	1.8		13d336a259d2ee4f0c34ad3c8dd4c4a0e3af3bd3
com.authlete	authlete-java-jaxrs	2.0		e38064ae0ebe71e68a165c04f90b4542b581e5de
com.authlete	authlete-java-jaxrs	2.1		85ae4f89f61eee04960f11b0211ec684413af172
com.authlete	authlete-java-jaxrs	2.10		fdb2ab45b5e9aff6bce38fcf09e0a38fb129beec
com.authlete	authlete-java-jaxrs	2.11		0accfae3089a02ffe87b62f3e405fea1c385933c
com.authlete	authlete-java-jaxrs	2.12		a7ebadf0a8ee24282fab20a32cf2a2475f24554d
com.authlete	authlete-java-jaxrs	2.13		09345ebd181dac7894493033ce3c3792d22368ed
com.authlete	authlete-java-jaxrs	2.14		3037e042af23da029dd17fac4998af0c2caada7a
com.authlete	authlete-java-jaxrs	2.15		ed83641e8c85e8560171a70468044a3532858ab7
com.authlete	authlete-java-jaxrs	2.16		7a31f4c2c26dd06a54c6e16cf599412428277736
com.authlete	authlete-java-jaxrs	2.17		f1b9d31b960cbae20fc8cf0c82d6ceca8af8a323
com.authlete	authlete-java-jaxrs	2.18		1429dbf807a9b5af5cee588493d25d114676bbc6
com.authlete	authlete-java-jaxrs	2.19		f40182fedd17cd6936564577b1531414da8f82a4
com.authlete	authlete-java-jaxrs	2.2		575604c1fbf871dba5294250f87a0d4be9832c31
com.authlete	authlete-java-jaxrs	2.20		251883a2a5ef154064b49922ccc94db9b0a0dc90
com.authlete	authlete-java-jaxrs	2.21		00975cbfc37fac07d3725395cbb9dc889cc3cfa1
com.authlete	authlete-java-jaxrs	2.22		4b08cee20441ac5d854366f75b32fa7b5c6af725
com.authlete	authlete-java-jaxrs	2.23		beb78eb8462f5da0a644d50c3d1d799439093ddb
com.authlete	authlete-java-jaxrs	2.24		c753f5774de4c0913fa8a2dc484805ced1461143
com.authlete	authlete-java-jaxrs	2.25		7ee2535229fa5a11c9d06df103066a1bc3eefa59
com.authlete	authlete-java-jaxrs	2.26		231f863df53db23c56ee3c0af7079efed086d05f
com.authlete	authlete-java-jaxrs	2.27		e3905e3c87a686b1a7ec9bc981bf875147556e2c
com.authlete	authlete-java-jaxrs	2.28		2ef759364176a197b727e37f0b358af42fd7c5ce
com.authlete	authlete-java-jaxrs	2.29		f63892e3b9c1989c6e9110e05926c398a553bae6
com.authlete	authlete-java-jaxrs	2.3		d402656352f6e011e69f43fc3a69805e2797ccb6
com.authlete	authlete-java-jaxrs	2.30		a2e0a53f00271f6aa7037910466d9c129071c617
com.authlete	authlete-java-jaxrs	2.31		933cb652c5b840d8c2dd64a0b76eb5f7aa97808b
com.authlete	authlete-java-jaxrs	2.32		44e8a3ace90ca64b64590f4b944bc7f56a43c6bb
com.authlete	authlete-java-jaxrs	2.33		272b836b11421c2e55f93a3101a31556dacdfa8b
com.authlete	authlete-java-jaxrs	2.34		a806d8850a73d17f9230f98c50ba6bc1809e3524
com.authlete	authlete-java-jaxrs	2.35		9f9abe72b1a3a02ebdcebdbf7c81158758216ac8
com.authlete	authlete-java-jaxrs	2.36		ba0db702a5dc7356d2bc53453a663769a6433538
com.authlete	authlete-java-jaxrs	2.37		b948a24dcc9d4106781425458e8c896d2136ecb7
com.authlete	authlete-java-jaxrs	2.38		dca813294ee09cf172113f7c89c5051c158c9b0e
com.authlete	authlete-java-jaxrs	2.39		7d4ad6ea94e8238e383910830489e610f440dbc4
com.authlete	authlete-java-jaxrs	2.4		15c9c62adc3997f0f44d2a76f9f994dcc7ebd24b
com.authlete	authlete-java-jaxrs	2.40		11060435ed3e9624a824300ede83cdf7dc7cf22c
com.authlete	authlete-java-jaxrs	2.41		3cbd0f2f6eea5473d8bc51b4fb84e11b48ea7624
com.authlete	authlete-java-jaxrs	2.42		69abcd0f6638e8601196c38a9f98398ac1ceb07d
com.authlete	authlete-java-jaxrs	2.43		8d1b9946471b78861685fc415e9659190f3be9f5
com.authlete	authlete-java-jaxrs	2.44		62a0aacfe6ea1098d6146cb982aee32c30612f2d
com.authlete	authlete-java-jaxrs	2.45		b7551bf303de80853fa026032aba10d522b99279
com.authlete	authlete-java-jaxrs	2.46		2c616bc2b4f33b9ea3b8c979a629372f22ab6f46
com.authlete	authlete-java-jaxrs	2.47		e3e11d9f3f6bcdaa50af9738b76016671a629774
com.authlete	authlete-java-jaxrs	2.48		dfef16a2e9c4bec33e196d8d9a205fc5daddcf56
com.authlete	authlete-java-jaxrs	2.49		5ba0c95c25fe6e7f018102a729fe6442cab566f0
com.authlete	authlete-java-jaxrs	2.5		9477fa0e7f9aec4242073815fe41de31f744df50
com.authlete	authlete-java-jaxrs	2.50		0860ccc1b9eea74e835efe6dabcccfc81c4642e1
com.authlete	authlete-java-jaxrs	2.51		c85f7bf773fbe8880fb288995846eb5d5efa93af
com.authlete	authlete-java-jaxrs	2.52		b8c6e8264bd56f29e84e55d8ae2494c8a8f025bc
com.authlete	authlete-java-jaxrs	2.53		edd097479f22693766eae10fb97e5d571655f903
com.authlete	authlete-java-jaxrs	2.54		3f94b78db118831c4d1abb7fd0cc8d4cba375426
com.authlete	authlete-java-jaxrs	2.55		48fb54e6d952585e8d817dd6fc42c9d5fde1a2af
com.authlete	authlete-java-jaxrs	2.56		5f42e4fa375fabeae4b85c735447fc23011311e4
com.authlete	authlete-java-jaxrs	2.57		34c4fc4a0dc03d2d4e029a6367c6a37c3685353c
com.authlete	authlete-java-jaxrs	2.58		328fbd70303208d88a68adccf736c7319cd9034c
com.authlete	authlete-java-jaxrs	2.59		766cb1b6e3f855296bbc37112772877c9d16c27c
com.authlete	authlete-java-jaxrs	2.6		ea7bd30b5c908b8b3963e18df6ec87896e75d22a
com.authlete	authlete-java-jaxrs	2.60		15f392893a55c5a9e1257646ce962ff19950d1e6
com.authlete	authlete-java-jaxrs	2.61		29429c41a992f3cfe3a29840d04dc20c886f4b89
com.authlete	authlete-java-jaxrs	2.62		ef29e5199b43322e62bc8a5439bea878f006cfb7
com.authlete	authlete-java-jaxrs	2.63		eaf8f90b3f36b576b7cddb09e6059a7180812a81
com.authlete	authlete-java-jaxrs	2.64		dcc1c235c00390daee1d9fc3a40081dc180dfd03
com.authlete	authlete-java-jaxrs	2.65		70b3ff13f4b4a04b0626d4da69de87399a44edbc
com.authlete	authlete-java-jaxrs	2.66		7883d246e56ef92170e84261a972fc6180382a06
com.authlete	authlete-java-jaxrs	2.68		5fd562e13b5708bf363a8d7cf089e003cd0094fa
com.authlete	authlete-java-jaxrs	2.69		a903d87d802b5318941e11aa4edd9a115d83e04d
com.authlete	authlete-java-jaxrs	2.7		5665e369615f56a7e711abf23b57b07c6df46f3b
com.authlete	authlete-java-jaxrs	2.70		c7d41a1f040bb5c3961ab4d5dc919090d86e013a
com.authlete	authlete-java-jaxrs	2.71		f3a8652de4b0235d508538f2515c15821374d575
com.authlete	authlete-java-jaxrs	2.72		a2eea184b0fcd5d22974e65598736b7a08b371db
com.authlete	authlete-java-jaxrs	2.73		cee9595b508c9ffbd8bfdd5fe8e4dcf17bf1db3b
com.authlete	authlete-java-jaxrs	2.74		37ce7be4b2610ad789fcd3fcc0cac3ce6f1688dd
com.authlete	authlete-java-jaxrs	2.78		ed1c32bbb85af148418efdb6b2fa67ef8e424907
com.authlete	authlete-java-jaxrs	2.79		4ede0ef674c65faf810a96a24c3a69518f02ba57
com.authlete	authlete-java-jaxrs	2.8		eb7506704d80feb3cd88e5d80f1128d22dfad552
com.authlete	authlete-java-jaxrs	2.80		3bbe1c34813dc2d863d66020f582a1e508279f70
com.authlete	authlete-java-jaxrs	2.81		d7d3e0e4360769091855e383117972fa1729d659
com.authlete	authlete-java-jaxrs	2.82		5b9aa4c43bf172f1cf8309b051bd91b24787e7ba
com.authlete	authlete-java-jaxrs	2.83		4c38b72ddda882fbefa20a19bd4c7c7d654d2133
com.authlete	authlete-java-jaxrs	2.84		7b52adbd5b3d898cc8c69cd15e1150fe113f7c9d
com.authlete	authlete-java-jaxrs	2.85		b2a1f068b51f19666b6184c90cda8c10d4570daa
com.authlete	authlete-java-jaxrs	2.86		146728d3242814af9d13721527ac97fff7f8f703
com.authlete	authlete-java-jaxrs	2.87		46ea39cccac3d075dfdc2b098f42fd70bd83b683
com.authlete	authlete-java-jaxrs	2.9		0af24c21becfdc36281107574e2ccd3e13c4f6a5
com.avito.android	apply-baseline-profile	2024.32		66a4c963670d8c3e036ddd33104c05a958385c8a
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.5.1		968dbe49600328670948e8bdbf018147204d8449
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.5.2		a80dabb0f0857703b4e7f310a4670e119561a5a4
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.5.3		6e9a4a7aa1e6e12a74b990eb6d64774e91503de6
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.5.5		0c79cb2667dfb22a3f8f25479bff4a03707b43ea
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.5.6		251e828412858ab691924ffa50f2db9c69d5e68f
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.5.7		dbea791a39b7d476d8188e91331ec764544421b9
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.5.8		b7c4eb80de194a27aacdaa3eaba979d460ae3ce1
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.5.9		3321c77355d9186d14f267a9208e844480dbc7d1
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.6.0		f3c77d9a29ebbb8ae8f6af00088e12e43c37b676
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.7.0		4b6c94f94f9eff2db6311548205ab13a97aa769b
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.7.1		3bbe327000442e5576527b1f57709d36d5fafb93
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.7.2		7a3b15a4f719325f8fb8960b6b87693daea02aae
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.7.3		575ae127602f5fe9dc9b0652c7cb2da6416f8b51
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.7.5		2a89d5345a69c90833d02d09f9e9e33aa0b7eccc
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.7.6		5b5aa66a0461ea0c18b4f7c2a0e6b61649297254
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.7.7		50315cf3da2756cd1ca7ba811f19b7014506cf64
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.7.8		b8d73f44e7d651a4069f9e84f71401d2a0de373d
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.7.9		8aa3a9a17082e7442f1d784c921ff69092f5237e
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.8.0		057de9ffcfcd33e421d832f651e2f70b98d14579
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.8.1		135e62d062d5566ed8ecb5586fce52a0150653f6
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.8.2		ae5974f78135f932fea637ee88b0d65062760305
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.8.3		a301031f366aa81f70afed2436e4ad170e40cb5d
com.bbossgroups.plugins	bboss-datatran-schedule-quartz	6.8.5		925bee9c385c9a81885a5dafc22607a15fbae772
