ai.preferred	csvpl	1.0		88d15152f9fe75f8b5ad485d377b0f30bec387cc
com.immomo.cosmos	cvcenter	2.1.3.20210825.1234		N/A
com.immomo.cosmos	cvcenter	2.1.3.20210825.2013		N/A
com.immomo.cosmos	cvcenter	2.1.3.20210826.1132		N/A
com.immomo.cosmos	cvcenter	2.1.3.20210828.1400		N/A
com.immomo.cosmos	cvcenter	2.1.4.20210728.1627		N/A
com.immomo.cosmos	cvcenter	2.1.4.20210929.1128		N/A
com.immomo.cosmos	cvcenter	2.1.4.20211015.1132		N/A
com.immomo.cosmos	cvcenter	2.1.4.20211105.1854		N/A
com.immomo.cosmos	cvcenter	2.1.4.20211108.1137		N/A
com.immomo.cosmos	cvcenter	2.1.4.20211108.1141		N/A
com.immomo.cosmos	cvcenter	2.1.4.20211129.1505		N/A
com.immomo.cosmos	cvcenter	2.1.5.20211102.1037		N/A
com.immomo.cosmos	cvcenter	2.1.5.20220121.1426		N/A
com.immomo.cosmos	cvcenter	2.1.6.20211216.1458		N/A
com.immomo.cosmos	cvcenter	2.1.7.20220223.1214		N/A
com.immomo.cosmos	cvcenter	2.1.7.20220413.1501		N/A
com.immomo.cosmos	cvcenter	2.1.7.20220622.1842		N/A
com.immomo.cosmos	cvcenter	2.1.8.20220623.1841		N/A
com.immomo.cosmos	cvcenter	2.2.0.20220718.1813		N/A
com.immomo.cosmos	cvcenter	2.2.0.20220718.1832		N/A
com.immomo.cosmos	cvcenter	2.2.1.20220802.1715		N/A
com.immomo.cosmos	cvcenter	2.2.2.20220804.1853		N/A
com.immomo.cosmos	cvcenter	2.2.3.20220808.1440		N/A
com.immomo.cosmos	cvcenter	2.2.3.20220905.1800		N/A
com.immomo.cosmos	cvcenter	2.2.4.20220822.1840		N/A
com.immomo.cosmos	cvcenter	2.2.4.20220829.1723		N/A
com.immomo.cosmos	cvcenter	2.2.4.20220905.1808		N/A
com.immomo.cosmos	cvcenter	2.2.4.20220905.1832		N/A
com.immomo.cosmos	cvcenter	2.2.5.20220909.1512		N/A
com.immomo.cosmos	cvcenter	2.2.5.20220909.2128		N/A
com.immomo.cosmos	cvcenter	2.2.5.20220914.1032		N/A
com.immomo.cosmos	cvcenter	2.2.5.20220914.1805		N/A
com.immomo.cosmos	cvcenter	2.2.5.20221021.1732		N/A
com.immomo.cosmos	cvcenter	2.2.5.20221125.1707		N/A
com.immomo.cosmos	cvcenter	2.2.6.20230103.1556		N/A
com.immomo.cosmos	cvcenter	2.2.6.20230110.1516		N/A
com.immomo.cosmos	cvcenter	2.2.6.20230111.1017		N/A
com.immomo.cosmos	cvcenter	2.2.6.20230113.1655		N/A
com.immomo.cosmos	cvcenter	2.2.6.20230308.1550		N/A
com.immomo.cosmos	cvcenter	2.2.6.20230321.1151		N/A
com.immomo.cosmos	cvcenter	2.2.6.20230329.1043		N/A
com.immomo.cosmos	cvcenter	2.2.6.20230404.1656		N/A
com.immomo.cosmos	cvcenter	2.2.6.20230418.1650		N/A
com.immomo.cosmos	cvcenter	2.2.6.20230516.1758		N/A
com.immomo.cosmos	cvcenter	2.2.6.20230613.1545		N/A
com.immomo.cosmos	cvcenter	2.2.6.20231205.1049		N/A
com.immomo.cosmos	cvcenter	2.3.0.20230331.1149		N/A
com.immomo.cosmos	cvcenter	2.3.1.20230825.1546		N/A
com.immomo.cosmos	cvcenter	2.3.1.20230829.1834		N/A
com.jslsolucoes	cdi-jpa	1.0.33		0115470ddb6e9e0069fe6649b8e92030760899b6
com.jslsolucoes	cdi-jpa	1.0.34		d363ce18076962db8571cc33d7a3f743c67b3d3b
com.legsem.legstar	legstar-jaxws-clients	1.5.0		f6d56d12014a76fe66d0a6135c0acb07ac08385e
com.legsem.legstar	legstar-jaxws-clients	1.5.1		7cde63ca5ef85f81413b54cfc7a9d64756853a1c
com.legsem.legstar	legstar-jaxws-clients	1.5.2		cd44e8b0f60ce3e1f1a0853d2239e6b96b039919
com.legsem.legstar	legstar-jaxws-clients	1.5.3		13b08fe24321016eae68e4752f44f611f526696f
com.lukegb.mojo	gitdescribe-maven-plugin	1.3		c8432bcd5b9a18c001859a4a479ac5c7dd930af8
com.lukegb.mojo	gitdescribe-maven-plugin	2.0		083a704c8a04b805fd216f06dad0f1adeb1109eb
com.lukegb.mojo	gitdescribe-maven-plugin	3.0		088cbfe54f5a69b9bbeae772e459893acd6831b8
com.tencentcloudapi	tencentcloud-sdk-java-tmt	1.1.1		7d25679735768669d8034495abb64a850032973f
com.tencentcloudapi	tencentcloud-sdk-java-tmt	1.1.1	jar-with-dependencies	acef929dfd0f10b7f4459568bc85ae907a2ac04b
com.tencentcloudapi	tencentcloud-sdk-java-tmt	1.1.11		c92b5ff247648c0167a5aa0b3bc2f989339f37dd
com.tencentcloudapi	tencentcloud-sdk-java-tmt	1.1.11	jar-with-dependencies	e2938b0b573dc0a4e0241fd6fc3cc38cf70616a4
com.tencentcloudapi	tencentcloud-sdk-java-tmt	1.1.2		217fc03aab0750741d5f950bc71a950bf8ce15fe
com.tencentcloudapi	tencentcloud-sdk-java-tmt	1.1.2	jar-with-dependencies	4180908f63be15045538e9aa3f07b5e9ea48873d
com.tencentcloudapi	tencentcloud-sdk-java-tmt	1.1.3		ff7ef6d9248dac12e9a8de2640f7854a4efebfb5
com.tencentcloudapi	tencentcloud-sdk-java-tmt	1.1.3	jar-with-dependencies	8b878ec188088065223e2c8987d604bb7bcee62c
com.tencentcloudapi	tencentcloud-sdk-java-tmt	1.1.6		cf36fd2e126bbb563e42b0614066a2c7348c3b04
com.tencentcloudapi	tencentcloud-sdk-java-tmt	1.1.6	jar-with-dependencies	a785356bdc8f78c638cd35f558f86ee14111639c
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1008		5d924ecf9dda2406c69f9583a12c3a54c7d599fa
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1013		a261d90871fe923b4288da14b634a09b853d181c
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1024		9a0b15a3d0d5e8df76ba520ddce5ec992db76f3b
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1029		f173b04d3f7c5673342bf4bd0f6f7774c3d76fe9
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1040		d65345e3a07a1bf7df7986ab1c6a94cc15164668
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1053		afb512a4741963f6ee300ecb907da6389a816a5e
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1073		501a065540e28979a5fedc785d4fe8baf1704ac4
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1083		5c070e30b114054378b674f59cecfeec7bf9711f
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1087		56a73311b446b4d4754f20e25da7cdfd86c6d708
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1090		c1b35357e46fcda204b2383e28e088cb3a206258
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1093		ab919807f644af4bdc1cc0ba7e18ef43884a2c6a
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1104		be9a617beb7563fccada2ace117d4a6f1837323d
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1156		3ef61af53d94baedeeda5d4ea239de57a95a1f85
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1195		a9e887d0e087c3467b44e355890d565c944d384c
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1261		dc9941ac455e7b03b6f46a6dd8ac803f7271cd10
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.1262		162129180a03ee587aefedec4f19aaac9e12de84
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.179		32c0c17a09356aa524f1dce854ace2721a784839
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.179	jar-with-dependencies	3f605c454f2fddf9cecd972dc5b0f1b6084ef105
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.180		6a7233c801a82e5cdde6cd701cf86cc09da6c643
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.180	jar-with-dependencies	a0418261570e80af6c552e7a77068b9f6545bb99
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.181		30d698791beb7ea0eeca5300b61b9e609245afd3
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.181	jar-with-dependencies	22509a37a00d0b24672d1c551ba65fddd1b0874a
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.182		3bfb9b6a79ce5bf0c9672eb9d7f09ac8fd246b06
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.182	jar-with-dependencies	baed3061d51f3b231113ac9b2d2a9546162418ac
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.183		8ccbd3e115ece21da30ae0e63559c6dd6d613cf9
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.183	jar-with-dependencies	8db8dfed16c7dd8417ab51d9a7cb47d8e5a9e350
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.185		e9fb6bceb1b20affb16ce6349204fb88f4a6b253
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.185	jar-with-dependencies	014c481ab7553cdc5c73f63e197c62a62e318306
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.186		ccfc13a23ebbf856633b869dd2473a414de28f81
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.186	jar-with-dependencies	fc1b171dc3521c63e356058e402a28db591ac544
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.187		105f18b12a7c5ba81bae739075dc07729a98b0b3
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.187	jar-with-dependencies	3d9c1fc96629e37aa5b2d9d0a8c73945584cba9d
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.188		f87fcda0357ad5e45f17cd84a4e5f872c213b95e
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.188	jar-with-dependencies	c4157c8104611da33e97b303d4d63e7e24fa9d5e
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.189		011e978b2b7515d4ac5bc93674a739d480cf4345
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.189	jar-with-dependencies	c02d0cc2026773305758afb2031e66cd2284417b
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.190		bc233307c993fc575fb5fb2e874550b31d53000d
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.190	jar-with-dependencies	08b64ffc332546f5f285a917f812f67c56794d6b
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.192		1392ac85ba5e81327c2644885369ec4e1df130b1
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.192	jar-with-dependencies	588900e3050602c1df08d5b04efa8c534a360701
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.194		69d7aac7b8d78cfc504ec9f9e3ccebd67f5ef294
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.194	jar-with-dependencies	9480f556904228c79c1cffc64ce87de3615ad2f8
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.195		bd935ef23a231586eee55508414c64f9b7d7bb86
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.195	jar-with-dependencies	c23100886d0b8a20bd85cd14c5284465bfecea95
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.197		e9b83dd1509e21763e72abdb577341a07e368d70
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.197	jar-with-dependencies	503f3c56f082606a1648746b872b0ebb74ae5d35
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.198		631551003881aec1ddcbf72d04292348bd2a6770
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.198	jar-with-dependencies	217f508b5915d1ea7779a98c424e89bd09a14629
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.199		2a291420243eb1cc68f96e0c831d16f92439a9ba
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.199	jar-with-dependencies	18828960dadd2629d3197a348f6aaaa183d94fc8
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.200		e195ca515b7505930bc2a10cf24aea973a972955
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.200	jar-with-dependencies	0de9903febaa19e3a19d39246d17afeec97b94e8
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.201		bc168ee749c0ad3558367e393e6563433da5d474
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.201	jar-with-dependencies	1b079dadd3efa64701231114deb25cd5a83b0fd4
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.205		9c2f52929d37506d63c8b425c53c07f9ee38f8f3
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.205	jar-with-dependencies	4b733fb73fd3df917f50dbacaf366180874ba512
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.206		00948cbbb157a4a8e2de443835ba7331732727ce
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.206	jar-with-dependencies	a8bcf8b3012ecc914087f74237c3248129780fd8
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.207		2b03b29b6a5c3a7e986f44b308db574e5f45e788
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.207	jar-with-dependencies	1390f2b3f052928e115bf71a520a8fc817b6dabd
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.209		efd24c0d5754694c43c2639127a576fb2024b0fc
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.209	jar-with-dependencies	1609c9324607f012582ffe3ecb0c39617b6cbbc2
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.210		5dc92347626335789a7b2072b0c68ea6810e1ce4
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.210	jar-with-dependencies	3e08fb4c751f4ad6d9b48b10b3f5a550435197c9
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.211		5cb0691e8034e7313d48886939f98700761f4b80
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.211	jar-with-dependencies	ccd86f1dd122bdb1ef1929589595ca4e5be0b1d4
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.212		8820377fea191a5b294766d380a6cb46ec17ca5d
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.212	jar-with-dependencies	a5f0122175e4bb331ea5b7bb9bdebc10a1697375
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.213		8fbef3332ea75d740692db70879283ba173f9dcf
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.213	jar-with-dependencies	b0055c23c8d991b6eca16a2c2ade000ae0225164
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.214		d50c32e51897fdfc12680df24861f38ca8962a91
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.214	jar-with-dependencies	58182861022d57a1b859c9ffb4e18a6cc143fa35
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.215		1515020a8e2afedde6c2722ee15b9312061a05b7
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.215	jar-with-dependencies	9bc8d9c53195c3c6fa3bb01d1a477495f6f3dbae
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.216		d9266ee188f7eba6d639e3aa35f4b71709cbd186
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.216	jar-with-dependencies	905354e023be48cfdc48bb944bb2f3facd507d16
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.217		52b23463ba92f37606b774c5f202ac559947314e
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.217	jar-with-dependencies	802c2592f59c68135f552c6aab800d8402f9a271
com.tencentcloudapi	tencentcloud-sdk-java-tmt	3.1.218		2d30a0017b873c56bdc8721edb5fbf683a8c7475
