br.com.devsrsouza.compose.icons	line-awesome-wasm-js	1.1.1		N/A
com.google.guava	guava	32.0.1-jre		6e5d51a72d142f2d40a57dfb897188b36a95b489
com.google.guava	guava	32.1.0-android		d19d23a423d5fe9b0076b9fc4d180b76bacb81a7
com.google.guava	guava	32.1.0-jre		54a136da267b1f1b840771b7200628daa12e63ea
com.google.guava	guava	32.1.1-android		966b183d0f2639bf83f042bafb22db23caff3d18
com.google.guava	guava	32.1.1-jre		ad575652d84153075dd41ec6177ccb15251262b2
com.google.guava	guava	32.1.2-android		9184f7cfbb5217ce015e7de914561399db32e6e0
com.google.guava	guava	32.1.2-jre		5e64ec7e056456bef3a4bc4c6fdaef71e8ab6318
com.google.guava	guava	32.1.3-android		ea090dd85ca2fa12d42d054369df888665230dd7
com.google.guava	guava	32.1.3-jre		0f306708742ce2bf0fb0901216183bc14073feae
com.google.guava	guava	33.0.0-android		cfbbdc54f232feedb85746aeeea0722f5244bb9a
com.google.guava	guava	33.0.0-jre		161ba27964a62f241533807a46b8711b13c1d94b
com.google.guava	guava	33.1.0-android		850eee4a9c8aea43aede88771a16cf8513735633
com.google.guava	guava	33.1.0-jre		9b7ed39143d59e8eabcc6f91ffe4d23db2efe558
com.google.guava	guava	33.2.0-android		2560099f4e6c6ccae4665d57f034de9b601bb093
com.google.guava	guava	33.2.0-jre		e264781dadc4967e5292f3c4d05f1d153631f7b4
com.google.guava	guava	33.2.1-android		e4b6190e40480888763b7ba80b4912a3eb03a3f4
com.google.guava	guava	33.2.1-jre		818e780da2c66c63bbb6480fef1f3855eeafa3e4
com.google.guava	guava	33.3.0-android		009c50a7b60b530780388cfb75fe076bf1b3b650
com.google.guava	guava	33.3.0-jre		13b4d0924e6023eda04b4c7aa83b32dfedf735a7
com.google.guava	guava	33.3.1-android		36162b3b4e9df67dae90db62a2c54616ca42c1bd
com.google.guava	guava	33.3.1-jre		852f8b363da0111e819460021ca693cacca3e8db
com.google.guava	guava	33.4.0-android		0b19b82d0a09dd29efb86e51954558e5db34972e
com.google.guava	guava	33.4.0-jre		03fcc0a259f724c7de54a6a55ea7e26d3d5c0cac
com.google.guava	guava	33.4.1-android		8ca94461cbb8d7c956bdbd6215a880a7b39f075f
com.google.guava	guava	33.4.1-jre		2a1b52d1b6f780a6b4881f869ccdaac33df1aa11
com.google.guava	guava	33.4.2-android		92a677f3c56fc0e34d5174034e751ad7957839ed
com.google.guava	guava	33.4.2-jre		0b11cab85abd6df4e918f585c5e46f64ce2ecfac
com.google.guava	guava	33.4.3-android		1e4df22dfb22445f692d6e9be1c6c9b52ac09708
com.google.guava	guava	33.4.3-jre		f0952f1344ebda01d7dbaf52f5af0901a348a340
com.google.guava	guava	33.4.4-android		0917b662ef1985eca8971c7edce44fc2387061e3
com.google.guava	guava	33.4.4-jre		f939ead977310540cd5e1fc431a01afed2022f46
com.google.guava	guava	33.4.5-android		d3f78b3389445734b65162991407a1222846d2f6
com.google.guava	guava	33.4.5-jre		4e3ee57a4974ec2077a395dfa1ae4adbb9a4a858
com.google.guava	guava	33.4.6-android		fd601ebdd2cc95642c8caac0950305f8ef532e6c
com.google.guava	guava	33.4.6-jre		4437fb72c3cc5d29554b588d9a97bea12d6a42e1
com.google.guava	guava	33.4.7-android		428b4147fda8b1dd7ff26c97ab05603303fefd39
com.google.guava	guava	33.4.7-jre		c1f6ad95476208ef852f92919e7a9e22abd83a98
com.google.guava	guava	33.4.8-android		0cb7510a733595f02fe633ffff62d40cfc3056e9
com.google.guava	guava	33.4.8-jre		e70a3268e6cd3e7d458aa15787ce6811c34e96ae
com.google.guava	guava	r03		2728255dac51834aec0ad0a7f69bc35d48ed47fb
com.google.guava	guava	r03	site	e110232f3afc26ce3f8d090f814e1fdefea4c9cf
com.google.guava	guava	r05		097fd3078118f05895ba5c3a95f3c335e2a2f34d
com.google.guava	guava	r05	site	260013cdb4a5d01b5f8dddf7b3d4a81efc096799
com.google.guava	guava	r06		6da298ed0bbf5b73831270931bb2125278190b3f
com.google.guava	guava	r06	site	73f73d36afc04e2865b20a80f2292d61b022b173
com.google.guava	guava	r07		d2e4d3138d0798b7500685ed85c78c712fb82fe5
com.google.guava	guava	r07	site	724de0a0dbdae9c7fe6958aa96bc1fddbc235989
com.google.guava	guava	r08		b024b674b64bea7bcb214c3eee005d1a9168097d
com.google.guava	guava	r08	site	ab52ab7a0f70830e14ef22a6b81fce1f5b7d8985
com.google.guava	guava	r09		9c8991d491d714053d300de0f8657d95780ff923
com.google.guava	guava	r09	site	bd8b8dd0a6cf1ca87c06c19a749e979d814d53e5
com.gu	scanamo-testkit_2.12	1.0.0-M7		51dcf25c33588b5d2ce507ffc89c6de1fee28fd6
com.gu	scanamo-testkit_2.12	1.0.0-M8		6c9a128c8dafb19b86b8575a4c9bd076238016c7
com.hccake	ballcat-log-biz	0.1.0		99c7bcdca5b7804b8d8c0a2ee0eda18c003d4fd9
com.hccake	ballcat-log-biz	0.2.0		bf7f4edb2b796f8989d6392d3c34230463bf1ff1
com.hccake	ballcat-log-biz	0.3.0		1f6844af25d534cca383d861806ff2bc05d6f2d2
com.hccake	ballcat-log-biz	0.4.0		5fcf9d6ff7a3a2121dc7df931cf16b06e82e62aa
com.hccake	ballcat-log-biz	0.5.0		009e5d715d291b71027fd204e4cec0106d9b27a0
com.hccake	ballcat-log-biz	0.6.0		0fcf5b677f2dc1a47ac85c2a5b75428a38607321
com.hccake	ballcat-log-biz	0.7.0		9833b17c7d6303df67afbef59d75f286a5793f0d
com.hccake	ballcat-log-biz	0.7.1		c45e86df71a1d910279b5192095abe8675f17bf1
com.hccake	ballcat-log-biz	0.8.0		928148889d2146845bb60f40cce1b6036a2718fb
com.hccake	ballcat-log-biz	0.9.0		d72235d8250b209e673667c93ac26e3b13c2b584
com.hccake	ballcat-log-biz	1.0.0		8542b57aac6ded94fb1df1d12ac6534ba1ffff71
com.hccake	ballcat-log-biz	1.0.1		3f64986d47406c93985645624786c03bb5449857
com.hccake	ballcat-log-biz	1.0.2		721c233e27bd3d354eb339614782490de337f18f
com.hccake	ballcat-log-biz	1.0.3		e7e077cf8c37f925bdb0f32670e2191fbd0b9b06
com.hccake	ballcat-log-biz	1.1.0		4f9e9d6994f94a6114f567878050d435f39cd5d6
com.hccake	ballcat-log-biz	1.2.0		935cb11340050ee3353cc377181ac9842a312327
com.hccake	ballcat-log-biz	1.3.0		c960355f494512d935f27267f695cb50d8267d23
com.hccake	ballcat-log-biz	1.4.0		bfe3a31622f3639631c4a57a137f886782769631
com.hccake	ballcat-log-biz	1.4.1		b8d3814c11cefdf4e874721907da9d5e21ea7e0f
com.hccake	ballcat-log-biz	1.4.2		281fa3c399354cf7b0c839807b9ce2f2cf1a8444
com.hovans.flipview	flipview	1.2.0		N/A
com.hovans.flipview	flipview	1.2.1		N/A
com.hurence.logisland	logisland-processor-common-logs	1.1.0		b8c519e851b4470e63f9a30ac8485e2fd4fce2b8
com.hurence.logisland	logisland-processor-common-logs	1.1.2		5aea87d6d5d49e81c183c68d91cdcfef002fc9c9
com.indoorvivants	sbt-jextract_2.12_1.0	0.1.0		2b95a0984e9c29557ec5144be6fa6c405b93a62c
com.inkapplications	tabmanager-support	1.0.0		N/A
com.mgage.testrailsdk	testrailsdk	1.3.4		b8f82957dc59f0e8a63604a3d8a2a1c70d714270
com.networknt	response-transformer	2.1.10		a2bab55bd1657c3d111c9e0bf677ae2576c5bbe4
com.networknt	response-transformer	2.1.11		a8f88eb9058e8197c57738852bd344e90b7a67e6
com.networknt	response-transformer	2.1.12		341105bdc74e088a66201fe889753a22b733d1f3
com.networknt	response-transformer	2.1.13		7873e3e3a47a56911f6817a0186a679f4d526be9
com.networknt	response-transformer	2.1.14		988e7f80599d55fd62fba29c330de4fbf14e82d2
com.networknt	response-transformer	2.1.15		05d2ec1df27568cdd7fe998f64cd8d99987b2d21
com.networknt	response-transformer	2.1.16		3885789ea89a4138dc98d74522d1a195450de1aa
com.networknt	response-transformer	2.1.18		4b5a52fc5846f772a74fd0bf9843cc76e5b9212d
com.networknt	response-transformer	2.1.19		fc7f55c0178afdf60ddea8d3e2e18054da562ee4
com.networknt	response-transformer	2.1.2		7ee6ae7f36716f75ce0d3ae518e0bee5786eca38
com.networknt	response-transformer	2.1.20		5cb65f0d68e0b40759a1774eb66652e9570939ef
com.networknt	response-transformer	2.1.21		48a4acb22523c7acc49ab21f886fe88ae3679aef
com.networknt	response-transformer	2.1.22		239294e0f354fd9129a63e3a2c1eb027569e08f3
com.networknt	response-transformer	2.1.23		d654513a96b3b74015c89eba3630e6099350b77d
com.networknt	response-transformer	2.1.24		97bafa5e68334aa61b3ff86f40820737a5e20ae9
com.networknt	response-transformer	2.1.25		0bc4400f35040bccea4263876bcf875a3723d07e
com.networknt	response-transformer	2.1.26		befebe40025bd1e11bc3102284264c138c0919ac
com.networknt	response-transformer	2.1.27		490fc20b9344177b5d602e1e7757165c1ba2087a
com.networknt	response-transformer	2.1.28		e4686ae054ffc85e752c8853d32473c907b21912
com.networknt	response-transformer	2.1.29		afe0c2ddd677f5ac9efa9fe7babc6a30423deaa5
com.networknt	response-transformer	2.1.3		f2795347f7d951633ed39f153839b8a41f29db86
com.networknt	response-transformer	2.1.30		8fff5a6b7d7d9f41d709f330601616ff01b03340
com.networknt	response-transformer	2.1.31		0f4f264089bea613b6e5ce903b84175b6fe97186
com.networknt	response-transformer	2.1.32		ce859aca7e56b3fccdbbae3f594fe09fd01f8622
com.networknt	response-transformer	2.1.33		20252922c95ad64c476d83e90f548a8986507de3
com.networknt	response-transformer	2.1.34		a5c1415263fb4432ab567b79b050cff645c0b820
com.networknt	response-transformer	2.1.35		e04f3aed70493d2f352d0847f02ffc7e5879685e
com.networknt	response-transformer	2.1.36		760c8f8635a386f033cd7ede35fa5f664a4eec78
com.networknt	response-transformer	2.1.37		59dd067b9cf7871029ef9244bc1d7d37fbe535f7
com.networknt	response-transformer	2.1.38		540492e68a49a5749b9a9757d0ff440ee29b320d
com.networknt	response-transformer	2.1.4		3e9b3d9b237bf2b3338e85396288d508f5f5194b
com.networknt	response-transformer	2.1.5		7083b1b580417fd66fde96acce2c176afd063ee7
com.networknt	response-transformer	2.1.6		731e866f6a7a89590155601fdc6bddedd7f7e04d
com.networknt	response-transformer	2.1.7		1b5ca64aabd67ada13cc0e7bc97f20ba1fa935d3
com.networknt	response-transformer	2.1.8		2176a14869ce68cd32c59e05662785764afba2b7
com.networknt	response-transformer	2.1.9		8779f6820a3a6abc6877e0590c01003ba3e20564
com.networknt	response-transformer	2.2.0		bfd255f279941f8b97cafb332212124c5ff4f0e1
com.networknt	response-transformer	2.2.1		0883005d154fa0c390f53646a07e8001db14a706
com.outr	lightdb-lucene_2.12	0.1.0		393f7b48da02ea90aa93a88d68bdfb41624fe9a7
com.pchudzik.springmock	springmock-mockito	1.0.0		b15de871dd587e73fbf883b88b6af0c92bbdbd09
com.pchudzik.springmock	springmock-mockito	1.1.0		73a934918c67d1862ec342c4494355af4fe405eb
com.pchudzik.springmock	springmock-mockito	1.1.1		134d8c5576f1f52f24be2ff911a72832c5a62954
com.pchudzik.springmock	springmock-mockito	1.1.2		e36d53263749c0ad21b14665e8eeeca3920a8ce6
com.pchudzik.springmock	springmock-mockito	1.2.0		537fbf70d9792e895685350692647ea545a4b9af
com.pragmatickm	website	1.10.0		N/A
com.pragmatickm	website	1.10.0	classes	33d82eee042acbf2c3d73eee4ade7c39e804e9e2
com.pragmatickm	website	1.10.1		N/A
com.pragmatickm	website	1.10.1	classes	9bc215b460428fd9797f461bfd13fbf30f8b7c29
com.pragmatickm	website	1.10.2		N/A
com.pragmatickm	website	1.10.2	classes	df7ddfcacb98db646369992ffe50a8cf10c21113
com.pragmatickm	website	1.10.3		N/A
com.pragmatickm	website	1.10.3	classes	30fdd9349f47f6768125c0c73ea8525414809066
com.pragmatickm	website	1.10.4		N/A
com.pragmatickm	website	1.10.4	classes	015f212374435bed29bbc6dbbf0a447c3a003586
com.pragmatickm	website	1.11.0		N/A
com.pragmatickm	website	1.11.0	classes	44ff2ad0ddc25f0f82f773a8938c3aece060b455
com.pragmatickm	website	1.12.0		N/A
com.pragmatickm	website	1.12.0	classes	59e62af1cda5db4bde9ef47bf390aa49a25a64fd
com.seepine	captcha-core	1.0.0		569d1b6b8d3491660e2e3090967a67cde03cb092
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.23.0		N/A
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.23.0	metadata	b46a0909bf1aa7db8fe0d5d8399aba7c07bfce24
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.23.1		N/A
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.23.1	metadata	522c658289cde3192bb37ce6bff80a96aa0aa73b
