at.released.weh	bindings-chasm-wasip1-mingwx64	0.1		N/A
com.cuneytayyildiz	onboarder	1.0.3		N/A
com.cuneytayyildiz	onboarder	1.0.4		N/A
com.cuneytayyildiz	onboarder	2.0.0		N/A
com.daml	ledger-on-sql_2.13	0.0.0		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.0		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.0-snapshot.20210217.6338.0.ba6ba901		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.0-snapshot.20210224.6373.0.b0b0b4ea		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.0-snapshot.20210224.6385.0.dba114a2		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.0-snapshot.20210225.6390.0.0617fbde		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.0-snapshot.20210303.6421.0.145ddaa8		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.0-snapshot.20210304.6422.0.d3d5042a		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.1		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.1-snapshot.20210312.6429.0.7cd6380e		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.1-snapshot.20210312.6429.1.7cd6380e		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.2		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.2-snapshot.20210610.6432.0.ac4a2848		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.2-snapshot.20210610.6433.0.a08f6ea2		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.2-snapshot.20210610.6433.1.a08f6ea2		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.3		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.3-snapshot.20211110.6439.0.632ba5a7		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.3-snapshot.20211111.6441.0.eed4ad32		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.11.3-snapshot.20211123.6448.0.c679b4ab		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0-snapshot.20210309.6463.0.f7abca91		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0-snapshot.20210311.6483.0.5cb857d9		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0-snapshot.20210311.6490.0.8e25227c		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0-snapshot.20210312.6493.0.9a7e2465		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0-snapshot.20210312.6498.0.707c86aa		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0-snapshot.20210316.6523.0.b382fc45		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0-snapshot.20210317.6528.0.493e2154		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0-snapshot.20210323.6567.0.90c5ce70		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0-snapshot.20210330.6619.0.007b8674		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0-snapshot.20210330.6622.0.eef158d6		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0-snapshot.20210331.6626.0.29a68134		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0-snapshot.20210331.6634.0.b98a3881		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0-snapshot.20210331.6640.0.4b807899		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.12.0-snapshot.20210406.6646.0.631db446		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.13.0		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.13.0-snapshot.20210413.6706.0.2dc09ba2		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.13.0-snapshot.20210419.6730.0.8c3a8c04		16aaeb38621e0278165539df98acb08cef3e81ef
com.daml	ledger-on-sql_2.13	1.13.0-snapshot.20210426.6770.0.ca66061b		e31f5fe8cfe075ab8876bf18051c2a9dac0f939b
com.daml	ledger-on-sql_2.13	1.13.0-snapshot.20210503.6809.0.ca012c3b		23d9ad11d094098521a502330c707f8c19dd9bed
com.daml	ledger-on-sql_2.13	1.13.0-snapshot.20210504.6833.0.9ae787d0		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.13.1		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.13.1-snapshot.20210512.6834.0.5f532380		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.13.1-snapshot.20210512.6834.1.5f532380		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.14.0		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.14.0-snapshot.20210511.6892.0.ca9e89b3		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.14.0-snapshot.20210518.6953.0.a6c7b86a		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.14.0-snapshot.20210526.7024.0.aedb9a82		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.14.0-snapshot.20210601.7081.0.7d716e6d		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.14.0-snapshot.20210602.7086.0.f36f556b		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.14.0-snapshot.20210608.7123.0.3cb8d5c2		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.14.0-snapshot.20210615.7124.0.d1b54ff0		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.14.0-snapshot.20210615.7169.0.adeba206		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.14.1		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.14.1-snapshot.20210706.7133.0.8ec16e94		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.14.2		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.14.2-snapshot.20210708.7135.0.aa297840		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.15.0		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.15.0-snapshot.20210615.7169.0.adeba206		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.15.0-snapshot.20210623.7217.0.5b73813d		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.15.0-snapshot.20210630.7261.0.84e1f3a7		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.15.0-snapshot.20210705.7286.0.62aabcc4		8c54a2dfc321293735dc0bcc107921ef6e3e6e76
com.daml	ledger-on-sql_2.13	1.16.0		957811de4089255717284ecf4b6e727af9666ed6
com.daml	ledger-on-sql_2.13	1.16.0-snapshot.20210713.7343.0.1f35db17		bd01dcc930c38ae701105ab0d18d0fa83fa23460
com.daml	ledger-on-sql_2.13	1.16.0-snapshot.20210720.7404.0.b7cf42d1		957811de4089255717284ecf4b6e727af9666ed6
com.daml	ledger-on-sql_2.13	1.16.0-snapshot.20210727.7476.0.b5e9d861		957811de4089255717284ecf4b6e727af9666ed6
com.daml	ledger-on-sql_2.13	1.16.0-snapshot.20210802.7499.0.5157ad6d		957811de4089255717284ecf4b6e727af9666ed6
com.daml	ledger-on-sql_2.13	1.16.0-snapshot.20210805.7501.0.48050ad7		957811de4089255717284ecf4b6e727af9666ed6
com.daml	ledger-on-sql_2.13	1.17.0		61421c09544c93867081ade935b9900cd75be300
com.daml	ledger-on-sql_2.13	1.17.0-snapshot.20210811.7565.0.f1a55aa4		47848f46215ed5725e5f28e9edbccd5f83722f0a
com.daml	ledger-on-sql_2.13	1.17.0-snapshot.20210817.7604.0.0c187853		25c8bac9ea1a24fa47e87353d0d8cf4f6ccb1f6a
com.daml	ledger-on-sql_2.13	1.17.0-snapshot.20210824.7647.0.640fb683		25c8bac9ea1a24fa47e87353d0d8cf4f6ccb1f6a
com.daml	ledger-on-sql_2.13	1.17.0-snapshot.20210831.7702.0.f058c2f1		7f9e81acf3a6636567aea6771bc2219520084547
com.daml	ledger-on-sql_2.13	1.17.0-snapshot.20210907.7759.0.35a853fd		61421c09544c93867081ade935b9900cd75be300
com.daml	ledger-on-sql_2.13	1.17.0-snapshot.20210910.7786.0.976ca400		61421c09544c93867081ade935b9900cd75be300
com.daml	ledger-on-sql_2.13	1.17.0-snapshot.20210915.7841.0.b4328b3d		61421c09544c93867081ade935b9900cd75be300
com.daml	ledger-on-sql_2.13	1.17.0-snapshot.20210922.7849.0.49a75801		61421c09544c93867081ade935b9900cd75be300
com.daml	ledger-on-sql_2.13	1.17.1		61421c09544c93867081ade935b9900cd75be300
com.daml	ledger-on-sql_2.13	1.17.1-snapshot.20211006.7852.0.fbc4bc00		61421c09544c93867081ade935b9900cd75be300
com.daml	ledger-on-sql_2.13	1.17.1-snapshot.20211006.7853.0.e05be365		61421c09544c93867081ade935b9900cd75be300
com.daml	ledger-on-sql_2.13	1.17.2-snapshot.20211124.7857.0.b33b94b8		61421c09544c93867081ade935b9900cd75be300
com.daml	ledger-on-sql_2.13	1.18.0		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20210921.7889.0.1b473c2b		61421c09544c93867081ade935b9900cd75be300
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20210921.7889.1.1b473c2b		61421c09544c93867081ade935b9900cd75be300
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20210922.7908.0.ced4a272		61421c09544c93867081ade935b9900cd75be300
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20210928.7948.0.b4d00317		166016efc5315399fb1aad411a2cddfd0e0825c7
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20211006.8003.0.cfcdc13c		166016efc5315399fb1aad411a2cddfd0e0825c7
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20211013.8071.0.514e8b50		b16d0f84ff72d1016ff6077b68e2c38448dcda6d
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20211019.8113.0.8ff347d8		9892af21804a3cb1fe7e30db67cff1cbad5ef560
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20211026.8179.0.e474b2d1		9892af21804a3cb1fe7e30db67cff1cbad5ef560
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20211102.8257.0.7391a3cd		9892af21804a3cb1fe7e30db67cff1cbad5ef560
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20211109.8328.0.92181161		9892af21804a3cb1fe7e30db67cff1cbad5ef560
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20211110.8337.0.c5a1f0bb		9892af21804a3cb1fe7e30db67cff1cbad5ef560
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20211111.8349.0.d938a44c		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20211117.8399.0.a05a40ae		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20211124.8419.0.39d9afcd		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	1.18.0-snapshot.20211206.8423.0.2c945fcb		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	1.18.1		f28086b1196b75580d5887ac047b94f76ad8cb14
com.daml	ledger-on-sql_2.13	1.18.1-snapshot.20220106.8429.0.ea344666		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	1.18.1-snapshot.20220110.8433.0.e8e25a11		f28086b1196b75580d5887ac047b94f76ad8cb14
com.daml	ledger-on-sql_2.13	1.18.1-snapshot.20220113.8434.0.1724373f		f28086b1196b75580d5887ac047b94f76ad8cb14
com.daml	ledger-on-sql_2.13	1.18.1-snapshot.20220113.8434.1.1724373f		f28086b1196b75580d5887ac047b94f76ad8cb14
com.daml	ledger-on-sql_2.13	1.18.2		f28086b1196b75580d5887ac047b94f76ad8cb14
com.daml	ledger-on-sql_2.13	1.18.2-snapshot.20220310.8437.1.5221a5d1		f28086b1196b75580d5887ac047b94f76ad8cb14
com.daml	ledger-on-sql_2.13	1.18.2-snapshot.20220324.8440.0.5cfb1a21		f28086b1196b75580d5887ac047b94f76ad8cb14
com.daml	ledger-on-sql_2.13	1.18.3		f28086b1196b75580d5887ac047b94f76ad8cb14
com.daml	ledger-on-sql_2.13	1.18.3-snapshot.20220620.8442.0.c7424302		f28086b1196b75580d5887ac047b94f76ad8cb14
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20211123.8463.0.bd2a6852		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20211201.8538.0.1d0ff3cc		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20211207.8589.1.85e2fa55		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20211207.8589.2.85e2fa55		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20211207.8589.3.85e2fa55		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20211207.8608.0.c4d82f72		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20211209.8636.0.0a17087b		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20211209.8636.1.0a17087b		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20211210.8653.0.35beb44c		824d78365c7f5dedd70782b1034080ed0aa8fd89
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20211220.8735.0.606a8ef0		2b55ce34ca937d379ed459152466566bd58599c8
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20211220.8736.0.040f1a93		2b55ce34ca937d379ed459152466566bd58599c8
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220104.8767.0.d3101e01		2b55ce34ca937d379ed459152466566bd58599c8
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220105.8777.0.cb15ab5a		2b55ce34ca937d379ed459152466566bd58599c8
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220110.8812.0.3a08380b		0929d23e600f4dda379422446cce99420396bb72
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220111.8828.0.7ec55d7f		0929d23e600f4dda379422446cce99420396bb72
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220117.8894.0.502b21f8		0929d23e600f4dda379422446cce99420396bb72
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220117.8897.0.36a93ef0		0929d23e600f4dda379422446cce99420396bb72
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220118.8919.0.d0813e61		0929d23e600f4dda379422446cce99420396bb72
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220119.8939.0.ebd3827c		0929d23e600f4dda379422446cce99420396bb72
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220124.8981.0.a150737d		0929d23e600f4dda379422446cce99420396bb72
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220125.9008.0.ed33c0d5		186ce7c902bf42795e50d2f685153f3ca222ea0b
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220126.9017.0.159f3847		186ce7c902bf42795e50d2f685153f3ca222ea0b
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220126.9029.0.42cf70b1		186ce7c902bf42795e50d2f685153f3ca222ea0b
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220127.9042.0.4038d0a7		186ce7c902bf42795e50d2f685153f3ca222ea0b
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220127.9049.0.345e2679		186ce7c902bf42795e50d2f685153f3ca222ea0b
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220201.9108.0.aa2494f1		186ce7c902bf42795e50d2f685153f3ca222ea0b
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220204.9165.0.225c58f4		2549752d4e1e7619d4e9bf3cc8749430136c051d
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220207.9186.0.f63165aa		2549752d4e1e7619d4e9bf3cc8749430136c051d
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220207.9190.0.89c9c5d3		2549752d4e1e7619d4e9bf3cc8749430136c051d
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220208.9197.0.8182602f		2549752d4e1e7619d4e9bf3cc8749430136c051d
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220208.9207.0.7b70711c		2549752d4e1e7619d4e9bf3cc8749430136c051d
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220209.9212.0.b7fc9f57		2549752d4e1e7619d4e9bf3cc8749430136c051d
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220210.9222.0.f2797795		2549752d4e1e7619d4e9bf3cc8749430136c051d
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220210.9244.0.6a91fdfe		2549752d4e1e7619d4e9bf3cc8749430136c051d
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220211.9260.0.3dccabf6		2549752d4e1e7619d4e9bf3cc8749430136c051d
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220212.9261.0.3ebd9d7b		2549752d4e1e7619d4e9bf3cc8749430136c051d
com.daml	ledger-on-sql_2.13	2.0.0-snapshot.20220214.9284.0.dc5f2033		2549752d4e1e7619d4e9bf3cc8749430136c051d
com.dimafeng	testcontainers-scala-oracle-xe_3	0.39.10		bec39ea58e55dbd6f571723e6fa2ec875045cf2f
com.dimafeng	testcontainers-scala-oracle-xe_3	0.39.11		24893c4e2ce27283b8db90802361a274f2718b0c
com.dimafeng	testcontainers-scala-oracle-xe_3	0.39.12		d43a32206f979c037d1be270b79ede75d0227294
com.dimafeng	testcontainers-scala-oracle-xe_3	0.39.5		d854d8d134d67176454bdf75bdd3c1aa82e37b33
com.dimafeng	testcontainers-scala-oracle-xe_3	0.39.6		b3423e4338ab9c6433844d5b68de9624b4f50d9f
com.dimafeng	testcontainers-scala-oracle-xe_3	0.39.7		f4b1ea48c24c53dbc8486365555cec2e6fb770aa
com.dimafeng	testcontainers-scala-oracle-xe_3	0.39.8		0adde6b123a835a086d33422a893d83da8c1131b
com.dimafeng	testcontainers-scala-oracle-xe_3	0.39.9		9cd2a7b2fb61d016e61a567b9fed012ca047a5e1
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.0		2b2c20c60c9dffd1ce4e2e96c8f6908479231dca
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.1		52a87a84a3a4e63177f8c87a5d4d77512822bbb8
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.10		33d94674868efe581d3f27ae368049752dee50bb
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.11		28dcd1eb8cacbe85e37cf7b9c0a1b37931db7598
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.12		6a718ba317e344406ca49f25a6000a24accc7398
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.13		9f88de9e0da239b21599f35343ccc86cef78434c
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.14		fe96e9e8e507a9b4102e8af13b2464a519da488a
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.15		b6deef727714a7a51315810693a86054eed9b5fe
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.16		f613c34be7f2bead0586f11760e61c1b38498d9e
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.17		7afd5d29a883bd033b5d5920268c13c3c876e71e
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.2		26ba732b3351cc2d41d1f25ae56d13e954606ea3
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.3		bc2c73b7658db602de1678d95e1ecebb78c5bdb8
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.4		c699d2ae2c425e84cd9d23e474272d98eebfff61
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.5		2319687570f9d16eacece5080071a60ee11a0da5
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.6		a80f28a79cedc4aa80ea1dc7d506fbab300da5f3
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.7		44763b8d7f58263a8197496aeb8a8321a0a8f7f9
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.8		c83a3b888d764f4e3ed434ec55afa218809dbd36
com.dimafeng	testcontainers-scala-oracle-xe_3	0.40.9		bc93c5a8ba54dfbb11c3686cb63dfa2bcaa8c15c
com.dimafeng	testcontainers-scala-oracle-xe_3	0.41.0		4a3f348699c40cb348e33c2286300a0fcd576e4c
com.dimafeng	testcontainers-scala-oracle-xe_3	0.41.1		d2e6d521d4f5f906804570caa3b9ea71073e1c1e
com.dimafeng	testcontainers-scala-oracle-xe_3	0.41.2		05203e205c7067a33843560b108dc380c630d7e9
com.dimafeng	testcontainers-scala-oracle-xe_3	0.41.3		51dabac8564987402d70423c72d8224ed2428dd2
com.dimafeng	testcontainers-scala-oracle-xe_3	0.41.4		99f56b458aa2d4369f428fbedef4f19562c8a3e7
com.dimafeng	testcontainers-scala-oracle-xe_3	0.41.5		00cf1ef77e355ba66620707fad6cec7ad609f793
com.dimafeng	testcontainers-scala-oracle-xe_3	0.41.8		f2f9087956bc1549040f9e6134e4c83639457c25
com.dimafeng	testcontainers-scala-oracle-xe_3	0.43.0		f9b74224e0342f952e88c53dca76bb16008ed64a
com.effectiveosgi	com.effectiveosgi.rt.config	0.0.1		c72edd3b3bc35bbdb5e4128467b86494d2cca565
com.effectiveosgi	com.effectiveosgi.rt.config	0.1.0		3c82e3ed1e05adf19c2b9abfd1df2b3185cfee53
com.effectiveosgi	com.effectiveosgi.rt.config	1.0.0		b882f3cb970520c6334d366a460a0ab27b78061c
com.effectiveosgi	com.effectiveosgi.rt.config	1.0.1		9fdcae2e5c10063ea97d8675bfe0ec877295a1da
com.epam.drill.interceptor	http-macosx64	0.4.1		N/A
com.epam.drill.interceptor	http-macosx64	0.4.1	metadata	daacc33b7e2c0b6d6a03f824c02ac39db30e48db
com.epam.reportportal	service-gateway	2.6.0		638e40c8486e3f494ebac18e3e84d41069201e20
com.epam.reportportal	service-gateway	2.7.0		f50bf2ec1d6ffe64ed64f600c9686526f34981e7
com.epam.reportportal	service-gateway	2.7.1		6c43988f01ecb5d98809331184f5660e2ec2ff8e
com.fengwenyi	JavaLib-quartz	1.1.1		5e89fd304818668c34cbbe9c01533ff65d2e1b1e
com.github.alexarchambault	case-app-annotations_native0.5_2.12	2.1.0-M27		7706f5f55bc9aa1b453a3012b49088367ee84c7d
com.github.alexarchambault	case-app-annotations_native0.5_2.12	2.1.0-M28		4adaa958086ddd8f9c16314a9f57b01a1cae0b7b
com.github.alexarchambault	case-app-annotations_native0.5_2.12	2.1.0-M29		4d58375603aadbe888893864b2befc47c3d9b9df
com.github.alexarchambault	case-app-annotations_native0.5_2.12	2.1.0-M30		117957a024d83edcdc424f2c50ed2ed86228be04
com.github.jcustenborder.kafka.connect	kafka-connect-assemblies	1.0.0.0		230876346071790ba8903388d2ec891eed065be8
com.github.lamba92	core-tvosx64	1.0.0		N/A
com.github.lamba92	core-tvosx64	1.0.0	metadata	9d86b28963aff9590df93053a06eca76b5338ffb
com.github.lamba92	core-tvosx64	1.0.0-RC.3		N/A
com.github.lamba92	core-tvosx64	1.0.0-RC.3	metadata	1d3633708c387771b74f5f2f00314a2c0caf2eb0
