ch.cern.hadoop	hadoop-yarn-server-timelineservice-hbase-tests	3.2.1		c2904468accded41562df57120d230b8713c67e4
com.dslplatform	dsl-client-java	1.1.0		615282c4ba9d0fbcaedd81c2ccc2d0055cdfb85b
com.dslplatform	dsl-client-java	1.1.1		838b034b3690f12689930c8b513c81e254f4024d
com.dslplatform	dsl-client-java	1.2.0		4a541ec8eff104ccc9338704f7449eafd58a9a07
com.dslplatform	dsl-client-java	1.2.1		60b324535e23ba96e6427002ace42c62d3eeb2c9
com.dslplatform	dsl-client-java	1.2.2		775d3fc1592817fb1825bf8ff08008014be40522
com.dslplatform	dsl-client-java	1.3.0		4139c3038918464f8bc1f30be632841750bab882
com.dslplatform	dsl-client-java	1.3.1		12829265e24ba6986856693e2a324c3320cfdf19
com.dslplatform	dsl-client-java	1.3.2		bcbfdda8940b82a7049bc1ea4c77046217f96d42
com.dslplatform	dsl-client-java	1.4.0		d56e17be6219e09a478814a8528637ded644bd0c
com.dslplatform	dsl-client-java	1.4.1		188319a37188ce99055d902f44831030eb0d83e1
com.fresco-kitchenos	kitchenos-client-sdk.appliance-api	0.0.2		0c57aa5c5ac86063384ad4aa74cd30e120c91875
com.gitee.archermind-ti	palette_image_view	1.0.0		N/A
com.github.668mt.mos	mos-base	2.1-RELEASE		3f350cdad90c18de8b97e963feb40be3c2fa2497
com.github.668mt.mos	mos-base	2.1.0		98e2fc8207efe13db95e237d0ce38cbda16427fa
com.github.668mt.mos	mos-base	2.1.1		107755851edc3c20b0ba60917f10aac52b4a5756
com.github.668mt.mos	mos-base	2.1.2		1d5575234600e65e5bd4b9ff3fe1fdab70879d42
com.github.andyglow	scala-patch-macros_2.13	0.0.1		d5d69d33bcab48e9845bade4f8a6f215a5424928
com.github.charleslzq	hw-hcicloud-engine	1.0.0-RC1		N/A
com.github.charleslzq	hw-hcicloud-engine	1.0.0-RC2		N/A
com.github.charleslzq	hw-hcicloud-engine	1.0.0-RC3		N/A
com.github.charleslzq	hw-hcicloud-engine	1.0.0-RC4		N/A
com.github.charleslzq	hw-hcicloud-engine	1.0.0-RC5		N/A
com.github.geirolz	fly4s-macros_2.13	0.0.13		dc10391b49827a8b7b086c8111eb4acdb810f741
com.github.geirolz	fly4s-macros_2.13	0.0.13-RC1		ea9b07aee00c8678cbba6593f468112024b9499e
com.github.geirolz	fly4s-macros_2.13	0.0.14		6376715ff6b715e495306ef1d13d663b97dcdb40
com.github.geirolz	fly4s-macros_2.13	0.0.15		69133bc0f1a00f819634263e66a9e74e34decdf2
com.github.pocketberserker	akka-http-zero-formatter_2.11	0.6.0		8c5ef99b2e8b6ae3dd7005b922f266bc7a641b8a
com.github.pocketberserker	akka-http-zero-formatter_2.11	0.7.0		63c2f871c64fc2ede8472f5210e35857af5e7802
com.github.reibitto	be-kind-rewind-akka-http_2.13	0.1.0		1d92d0165c27047ee4d6fa227770481337330110
com.github.samskiter.jsonschema2pojo	jsonschema2pojo	0.4.23-fork.1		N/A
com.github.samskiter.jsonschema2pojo	jsonschema2pojo	0.4.23-fork.2		N/A
com.github.samskiter.jsonschema2pojo	jsonschema2pojo	0.4.23-fork.3		N/A
com.github.tslamic.weakexecutor	library	0.9		b81ad3c83da2f000bcce50577b0ec96c7bbed44a
com.github.widebase	widebase-rq-concurrent_2.9.1	0.1.0		42fbd260f3b69f4fa19720fe6ed6b9a94d7be0b8
com.github.zengfr.platform	facility-spring-boot-starter	2.7.2.6		189bdf659ab8047e28c1aa227fb21f6a9d488a03
com.goldmansachs.obevo	obevo-site	6.0.0		c0b32984665ac97d32689b9ff40b3e777c812b11
com.goldmansachs.obevo	obevo-site	6.0.0	site	b48f3ddf753a4787cd83f2b91a07b8e14b48709d
com.googlecode.cqengine	cqengine	0.9.1		9a5b070e00b6d26caf00b8d876f0d7296a3ab2d0
com.googlecode.cqengine	cqengine	0.9.1	all	7c78331c2b80b08331e28e08fc02fa493fdd63e0
com.googlecode.cqengine	cqengine	1.0.0		b918cce4518b3a4002511bd5a38b92768f8213cc
com.googlecode.cqengine	cqengine	1.0.0	all	386d40a97c7a035e2bda0e0ec26ddd1aff61ab2b
com.googlecode.cqengine	cqengine	1.0.1		149c44fb70ed7e366c78f649b7ea551420bb2b60
com.googlecode.cqengine	cqengine	1.0.1	all	990e8387f611b78f95b7b11e649e0255cf0aa4ca
com.googlecode.cqengine	cqengine	1.0.2		d9066d58ddf7b2d0e38b31f38c5a6f52f1111cbd
com.googlecode.cqengine	cqengine	1.0.2	all	274dc0dcce0689768c22a56950819726b4591c53
com.googlecode.cqengine	cqengine	1.0.3		89cd1052fb1e1f70837a2a1ff460ac99f1ac8043
com.googlecode.cqengine	cqengine	1.0.3	all	2219ff1ef7c6d23bfbad8b0c345afb920ee76c02
com.googlecode.cqengine	cqengine	1.1.0		60653e4e05df5f1bf5f3e315590de4644883f89a
com.googlecode.cqengine	cqengine	1.1.0	all	439c75964511f709d11a2b2e63e4b1ab5513ec76
com.googlecode.cqengine	cqengine	1.1.1		eec5664f424c893012ae125c8f497a75dbe09f10
com.googlecode.cqengine	cqengine	1.1.1	all	e8a4a660f5cf605416b8f39aece2009d88fe747e
com.googlecode.cqengine	cqengine	1.2.0		088a27dacebe9ff24730aebbe7ecb359a7673b60
com.googlecode.cqengine	cqengine	1.2.0	all	290da5814935f706e7cf6af298167ffe5350ee7d
com.googlecode.cqengine	cqengine	1.2.1		6cf96a00e78b0e5e017c162663a9f12eb8047725
com.googlecode.cqengine	cqengine	1.2.1	all	4fd294f09c669a6c6afe7659399927ad003e4262
com.googlecode.cqengine	cqengine	1.2.2		325926ebcba967a112ae51a8c5e0158aca8d20f9
com.googlecode.cqengine	cqengine	1.2.2	all	7bcfdaf466ec4d2869c78ea2be38eee45f9c06e8
com.googlecode.cqengine	cqengine	1.2.4		293147709f81390719dd0e7f40c147d1b80e1d87
com.googlecode.cqengine	cqengine	1.2.4	all	b99c553094ffd2c80a0f4fcce94e25acea104de7
com.googlecode.cqengine	cqengine	1.2.6		9ad287ab9fe101d6ff51666f3de04d009f285618
com.googlecode.cqengine	cqengine	1.2.6	all	3386901115805159c2ea08e554924551d6428648
com.googlecode.cqengine	cqengine	1.2.7		27db6082254523851d45e2cc0bf75ed21b035a3c
com.googlecode.cqengine	cqengine	1.2.7	all	98de6a8cae4af7047192dcdec1069819d93bbb95
com.googlecode.cqengine	cqengine	1.3.0		13c58b67444eddf0038de63d58a1b193f4e0e72c
com.googlecode.cqengine	cqengine	1.3.0	all	8bc223d98f5f6032367ac041713c125505a29de9
com.googlecode.cqengine	cqengine	1.3.1		8c8124891636d9cf0d65964853cb068905020c3f
com.googlecode.cqengine	cqengine	1.3.1	all	197c68e80d957a518c63d366af9a9203a95499f4
com.googlecode.cqengine	cqengine	1.3.2		283ebf8c0c62c07d13edee026dc3373e38852ed1
com.googlecode.cqengine	cqengine	1.3.2	all	38a77efe339ff2ec565218db3495ab6cfcecde94
com.googlecode.cqengine	cqengine	2.0.0		7fa932fc0d09155f01a26599c674a39037be4ef0
com.googlecode.cqengine	cqengine	2.0.0	all	af304a1f1a0841e7f1f1c5aee2eec7441d4a6649
com.googlecode.cqengine	cqengine	2.0.1		0a558c30dd8b56e0a947b31c71e9111354bde8e1
com.googlecode.cqengine	cqengine	2.0.1	all	686a7ae4a5159812db9ad06879371856fcff09f0
com.googlecode.cqengine	cqengine	2.0.2		613d14b7af4d74b9583aca895083b412e7f759cb
com.googlecode.cqengine	cqengine	2.0.2	all	eb5c11d7003cca6731d1251c4c45af3909f8ef39
com.googlecode.cqengine	cqengine	2.0.3		5e1321354ebd8f26057a33940aff437d968bc472
com.googlecode.cqengine	cqengine	2.0.3	all	6fe46b524cdcccfc2bd5bbcf37757aea56ab2c9e
com.googlecode.cqengine	cqengine	2.1.0		d0f158bb07006554fb47b27e1913c39b29479a4a
com.googlecode.cqengine	cqengine	2.1.0	all	c6fcf5d5ca456affd3c67f0bf1a64774e4651797
com.googlecode.cqengine	cqengine	2.1.1		8061d3f857b7418a76541b8592569d2d1b310749
com.googlecode.cqengine	cqengine	2.1.1	all	9bb11d7ce2c59c636d7ac36c016b1f631ad401e4
com.googlecode.cqengine	cqengine	2.1.2		b9038634f4b4077df519d50e3cac1f5746aa6dc8
com.googlecode.cqengine	cqengine	2.1.2	all	8aad02c11c319108391ca42f8cc110684563dda4
com.googlecode.cqengine	cqengine	2.1.3		2d9ea032494f40c4b7bdc5a317550eac69e55417
com.googlecode.cqengine	cqengine	2.1.3	all	6d2119465c3a2df61fce4645d1e1ef8e1ddc733a
com.googlecode.cqengine	cqengine	2.10.0		5f6d0e7e92be20213e4504d8454ef94790f34c4b
com.googlecode.cqengine	cqengine	2.10.0	all	cf140bed03a2736281accb06a1e25da1f4e63a5a
com.googlecode.cqengine	cqengine	2.11.0		10bd5d83b5bcfa05e9a8787f6e181b66d5392c8f
com.googlecode.cqengine	cqengine	2.11.0	all	3713e18a73488f27955e8f29f10350763686d0fb
com.googlecode.cqengine	cqengine	2.12.0		00ddc4c275d2e69890a37261a44876c8460309b7
com.googlecode.cqengine	cqengine	2.12.0	all	278a6db56035818b3441bd8da1b4120e32fad240
com.googlecode.cqengine	cqengine	2.12.1		1e374207e23b50375c964f13331213e0ee328dac
com.googlecode.cqengine	cqengine	2.12.1	all	257ea64c90b55999e1cc100e9120a66462c357a1
com.googlecode.cqengine	cqengine	2.12.2		d60337ef42aca39add52b8c2a1fdb8932c3eeff5
com.googlecode.cqengine	cqengine	2.12.2	all	f4605f71729eacb5da3ba3fcad9ab8e45c5d9049
com.googlecode.cqengine	cqengine	2.12.3		5d93aef5c1c2eb986e048a14a4e706d5dbcd0525
com.googlecode.cqengine	cqengine	2.12.3	all	86ca815aeb29a41abcaf06fde9d0c0b2017164f9
com.googlecode.cqengine	cqengine	2.12.4		2371dbbda3bd557adeeb8a8562e2e042dde45569
com.googlecode.cqengine	cqengine	2.12.4	all	866ef48142cea676b2fdc079137c9fd292368ec9
com.googlecode.cqengine	cqengine	2.5.0		482ec6aac3ec974dead0b27861970865ab5c6ed3
com.googlecode.cqengine	cqengine	2.5.0	all	00eba5219ad5bfc0f7bdd76fb18611a5ef559cf4
com.googlecode.cqengine	cqengine	2.6.0		39e0c7c361eaebbe2f216c9cb98cdd6e4440ce15
com.googlecode.cqengine	cqengine	2.6.0	all	40e9624329d4d8b6cf46c17c37c1a4360ae60bf9
com.googlecode.cqengine	cqengine	2.7.0		c2c7ce829a3f9d8c352044693b9b39eee0fe767f
com.googlecode.cqengine	cqengine	2.7.0	all	04ca8bbf453e9248283279fb1ba286a3be8def72
com.googlecode.cqengine	cqengine	2.7.1		551faa7669dd323db2591dbfda3a705782943dec
com.googlecode.cqengine	cqengine	2.7.1	all	a0d0294960da5c2133a9d9d8566e9929c4fc0396
com.googlecode.cqengine	cqengine	2.8.0		c432ff421af00963022b12e98cdc3a8392556901
com.googlecode.cqengine	cqengine	2.8.0	all	cff29131c6193a60d613977c138ec10a512dd043
com.googlecode.cqengine	cqengine	2.9.0		dfa56f752032084521681d2aee44d2c6b13530a5
com.googlecode.cqengine	cqengine	2.9.0	all	d470ce6a4a2afcc8d63211a80a60b85de9ef572a
com.googlecode.cqengine	cqengine	2.9.1		119a90584900554b18c9140b3a738cd293250593
com.googlecode.cqengine	cqengine	2.9.1	all	3aa352d010c3786f2073972291319851c8cc9f01
com.googlecode.cqengine	cqengine	2.9.2		a4270f71a5dbb4f70f3f1e10c204cf778de4baa8
com.googlecode.cqengine	cqengine	2.9.2	all	0c0adc722e4c270cedf81dfd2f73609b94ad5775
com.googlecode.cqengine	cqengine	2.9.3		5c3b948349715e65bd913ec77f9a5ad47e8d3812
com.googlecode.cqengine	cqengine	2.9.3	all	008092cb72c2b5e9d71b6ab88b483c4092e3c4d7
com.googlecode.cqengine	cqengine	3.0.0		bb73d6730d133596e43ed95adfba3705276ab47c
com.googlecode.cqengine	cqengine	3.0.0	all	c463d96a4848d386ba7d81133ea8179b5c8d5cc9
com.googlecode.cqengine	cqengine	3.1.0		4a563dccda592d1461c1d1e11a9c7ed7eff59975
com.googlecode.cqengine	cqengine	3.1.0	all	6e3584c71f48211f1489c5c1434bc6e5ba169cca
com.googlecode.cqengine	cqengine	3.2.0		59dd1530bcef2a51ef590bec7684d437a1ae15ef
com.googlecode.cqengine	cqengine	3.2.0	all	0f4672a9e745dc5900ec78773ce515795f920efd
com.googlecode.cqengine	cqengine	3.3.0		24fa32bf7469e6a682c40b28283e5a4e967b329a
com.googlecode.cqengine	cqengine	3.3.0	all	b493096294f687e7357e9e7ac0a76bfaef672262
com.googlecode.cqengine	cqengine	3.4.0		87a59881619b036027e2765828de52f0231fdda7
com.googlecode.cqengine	cqengine	3.4.0	all	bc9e78c5a2f46352e87b86cc4bec04bd12c81155
com.googlecode.cqengine	cqengine	3.5.0		4b2bc1b777c3fda014cc7eb8bbe7e5bf15345cf3
com.googlecode.cqengine	cqengine	3.5.0	all	a52109331bf6921b72382731ba8e9f38b842b64f
com.googlecode.cqengine	cqengine	3.6.0		fce2fd95e139fed1d3508cf012cfb3ca18dcce3c
com.googlecode.cqengine	cqengine	3.6.0	all	489f8eac3c821add8b8c715d69c070940f4b6bfc
com.intel.qat	parquet-thrift	1.10.0		833c59d27e91e5ef86b61839b8efbbf92a3c68ad
com.jarslab.ts	gorilla4j	0.1		8dd7fcbc07a61a437b869745c872c3152918aa19
com.jarslab.ts	gorilla4j	0.2		1e24eba650fc7dd75a525508eeacfa4f3649de02
com.jarslab.ts	gorilla4j	0.4		8caf81f0ed1f551f2a3990f5bf24f94c45762f28
com.liferay	com.liferay.portal.target.platform.indexer	1.0.0		8b65a7b3bde8e70801c7da9e432ac2127f7ad3b0
com.liferay	com.liferay.portal.target.platform.indexer	1.0.1		05b88fa4ee285012ce9b792d0e4f2cc94428e741
com.liferay	com.liferay.portal.target.platform.indexer	1.0.2		f0c652a6f6d60031e9cc89ed1d574bc523f6a494
com.liferay	com.liferay.portal.target.platform.indexer	2.0.0		18e482b1ca192aba19df147329f3772d4105ef18
com.liferay	com.liferay.portal.target.platform.indexer	2.0.1		317d1a6ae254187d88a793cc6b91f635c19561d9
com.liferay	com.liferay.portal.target.platform.indexer	3.0.0		e16ae9e12460b9451c9508f767b7640980e0bc6d
com.liferay	com.liferay.portal.target.platform.indexer	3.0.1		d9c3dc99c4ba73902b8f1719b03fb31dba084952
com.liferay	com.liferay.portal.target.platform.indexer	3.0.2		59dd6c03216488c1be444bbf057eb0bf607f15ca
com.liferay	com.liferay.portal.target.platform.indexer	4.0.0		836ebd58c2528bf57258f1366c1851af54d86d54
com.liferay	com.liferay.portal.target.platform.indexer	4.0.1		c5762b32a10c97ad2207abf3d439c8f99f58b4b8
com.liferay	com.liferay.portal.target.platform.indexer	4.0.10		aa72c40196532f6490a53859c1e013016c3d3ee4
com.liferay	com.liferay.portal.target.platform.indexer	4.0.11		28af0fcc6c9755f598f8103cf9c6c5a5cf90e2c9
com.liferay	com.liferay.portal.target.platform.indexer	4.0.12		4362d2b07d1b2817b0086ddba94ab9aac496e141
com.liferay	com.liferay.portal.target.platform.indexer	4.0.13		66ff3d7fd299a1a21f12bf101127522434837bde
com.liferay	com.liferay.portal.target.platform.indexer	4.0.14		78c27b601f678af6c50ef9a92b6d53b8d731d181
com.liferay	com.liferay.portal.target.platform.indexer	4.0.15		535ca6dc4ca4c444f49f28a3bf59f4fbf8033c75
com.liferay	com.liferay.portal.target.platform.indexer	4.0.16		5a4760fae4cce8e9e65d91fca861fd1e76c8f6de
com.liferay	com.liferay.portal.target.platform.indexer	4.0.17		b6e4d1b1515e4559fc8aec0a7e3fc50f1241bb4c
com.liferay	com.liferay.portal.target.platform.indexer	4.0.18		2b6b474694bb10b59021a8a0cfe8051f11be7813
com.liferay	com.liferay.portal.target.platform.indexer	4.0.2		d710f4e321224909f593336e8a239359d10780a7
com.liferay	com.liferay.portal.target.platform.indexer	4.0.3		00142089933e707d6eff510263cbb5b592c484d1
com.liferay	com.liferay.portal.target.platform.indexer	4.0.4		de674a7917406817c33dc4f1f3dfa72fdbf122ce
com.liferay	com.liferay.portal.target.platform.indexer	4.0.5		e3846e9c5be1c3966c91fb5a4833436f37e976c6
com.liferay	com.liferay.portal.target.platform.indexer	4.0.6		368210ee09ca20383c9b6ca45637ba1392ca0db9
com.liferay	com.liferay.portal.target.platform.indexer	4.0.7		f8fc04cc6c810c77d53cbec1e42d41476dabdd2f
com.liferay	com.liferay.portal.target.platform.indexer	4.0.8		c7b61c1ef356f6053f31942f41f44015cc052ef8
com.liferay	com.liferay.portal.target.platform.indexer	4.0.9		0351aa64755e3ff61e59e9b0fc2b92504614d658
com.lihaoyi	requests_3.0.0-RC3	0.6.8		786ea0ee81d07879ead22ae35dc4ce8f7c7b3043
com.linkedin.sbt-restli	restli-tools-scala_2.11	0.3.2		6f021d68f72184a7aa0d75c2d2870d6a127b5b01
com.linkedin.sbt-restli	restli-tools-scala_2.11	0.3.3		e5551e73bf5750a09dbd1a14bdc6e7097696804d
com.linkedin.sbt-restli	restli-tools-scala_2.11	0.3.9		57fadd1d858d8a067350bbd33d3d2da705b2d568
com.linkedin.sbt-restli	restli-tools-scala_2.11	0.3.9+1-586bb0aa		85d21b3dedc395099343e6f5b06489ddfb92385c
com.linkedin.sbt-restli	restli-tools-scala_2.11	0.3.9+2-8a3c17db		7076f91406bb4e2c71499644e0c026b292a3d2ab
com.microsoft.onnxruntime	onnxruntime-android	1.11.0		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.12.0		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.12.1		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.13.1		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.14.0		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.15.0		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.15.1		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.16.0		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.16.0-rc1		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.16.1		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.16.2		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.16.3		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.17.0		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.17.1		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.17.3		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.18.0		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.19.0		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.19.2		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.20.0		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.21.0		N/A
com.microsoft.onnxruntime	onnxruntime-android	1.21.1		N/A
com.myriadmobile.library	hopscotch	0.9.4		ab46d87fc4032c067ae284fcc9d4b182ac51ee38
com.nhncloud.role	nhncloud-role-sdk	2.0.1		62b15a06cf81fc1f3153e87262d7b4aa55bdabb7
com.nhncloud.role	nhncloud-role-sdk	2.0.2		d98e1e43dd2dffa82ddf9fe978ed38106a7da0de
com.nhncloud.role	nhncloud-role-sdk	2.0.3		1979e6cfddfe30a854356c81e93a55da61cba831
com.nhncloud.role	nhncloud-role-sdk	2.0.4		8d5774351c9a49cb8ce46500a2829bcc514d8fa3
com.outworkers	phantom-streams_2.12	2.10.0		ff8a26b9e6ad6da4892dc1e5fdd3b272bfc7151d
com.outworkers	phantom-streams_2.12	2.11.0		bdae4bb1ff1d5504bff69faedc470907fe62610b
com.outworkers	phantom-streams_2.12	2.11.1		068bd7b5ffb8f9767ba92a891d387494283d7c7c
com.outworkers	phantom-streams_2.12	2.11.2		4f05b7662663354ae067caf661dcce6b1675903f
com.outworkers	phantom-streams_2.12	2.12.0		401928aa5dad12c87017b18c8218429197f7bb02
com.outworkers	phantom-streams_2.12	2.12.1		8b0346900a70efef497b71397c15b9ada0f9c62c
com.outworkers	phantom-streams_2.12	2.12.6		3d9cc71baf242dc0555554168066935b3b0be562
com.outworkers	phantom-streams_2.12	2.13.0		88e43aa0e9fe2d025ece0fbc139510e187e1b849
com.outworkers	phantom-streams_2.12	2.13.3		588760501da8185f5f65aecb61cb685ed1b1274c
com.outworkers	phantom-streams_2.12	2.13.4		3bcb6ba42906a462719e31087ebe8aa8a7b688df
com.outworkers	phantom-streams_2.12	2.13.5		b113d311469aec918621bf1697b90d2c4af6007d
com.outworkers	phantom-streams_2.12	2.14.0		5fe2cf38df55639eefe462c65a93728ee5c318a2
com.outworkers	phantom-streams_2.12	2.14.1		c25560958fa97f9f7cc0c3bd40687ff5200356ca
com.outworkers	phantom-streams_2.12	2.14.2		6462371fe34288eae3a6ac57623ed727103ad30f
com.outworkers	phantom-streams_2.12	2.14.3		f799e3319f4aa2aa54e390afd36e57c69f63e29f
com.outworkers	phantom-streams_2.12	2.14.4		07536937c3931dcf21682f366ee8bbd2d45d0ed1
com.outworkers	phantom-streams_2.12	2.14.5		7a0622f98025f57f66a681f89d53c0adf84f2751
