cn.detachment	core	1.0.8-RELEASE		3c6e6459decb01a32edd61fab82f9419d085b927
com.github.differentway	couchmove	3.2		8b6ff4acb7f6ebbf2772aaf1440a5fe25c40e8bf
com.github.differentway	couchmove	3.3		63154a0b5a09734f7d2f5996e395bd627e37fadb
com.github.differentway	couchmove	3.3.1		f70a1ca67896d9c3ced283bc4c5f5bff37ef1761
com.github.differentway	couchmove	3.3.2		27bff3d6757cbc322c93d8582cf807d62af7fd90
com.github.differentway	couchmove	3.4.1		1b7381b9c9e97149cd616169606b22a033bd5cf2
com.github.ejahns	brine	0.1.0		6c9ff994230518b95a23f50120a77f80c2f077dc
com.github.ejahns	brine	0.2.0		775aa1702c9316510fa24b879b3d7685d87cd8c5
com.github.ejahns	brine	0.3.0		c16f2036f4d38304c4913f3dc4879c23e8597559
com.github.ejahns	brine	0.4.0		3fdb099f944b90ff9b2f6974eb3f80da8aa675b1
com.github.fanzezhen	fun-framework-core-exception	3.4.3.3		6cd88acb3fb78c189decebe8aa013823b9df1e50
com.github.fanzezhen	fun-framework-core-exception	3.4.3.4		c680fe37aae1154c317b07009a5dbdabf9e5f110
com.github.garc33.gradle.plugins	gradle-modernizer-plugin	1.0		8d47ece13fed3cbd9d897be59e83758732cad251
com.github.j5ik2o	reactive-aws-sqs-test_2.13	1.1.4		944987c468941bb5a5b9ab055eea8722c203db41
com.github.j5ik2o	reactive-aws-sqs-test_2.13	1.1.5		b18ba7edcaf6ca622f34f3ecb14b811eb11dbdd6
com.github.j5ik2o	reactive-aws-sqs-test_2.13	1.1.6		807ae636451d71dab7b1034b123e8bb81a1c6d5a
com.github.j5ik2o	reactive-aws-sqs-test_2.13	1.1.7		966b9826e5134238d6c2c2e4af5dbca9c0af3a23
com.github.j5ik2o	reactive-aws-sqs-test_2.13	1.1.8		9e9b7df9638dd03fe42cc687d18f41319416ffbb
com.github.j5ik2o	reactive-aws-sqs-test_2.13	1.2.0		850d7457f95bb04a547f67c5548b89c7a5761988
com.github.j5ik2o	reactive-aws-sqs-test_2.13	1.2.1		7105009590aace6f504b866451b01a60e274e1e7
com.github.j5ik2o	reactive-aws-sqs-test_2.13	1.2.3		7f5f540556c7412d375bd6d76f39175c32e4532b
com.github.j5ik2o	reactive-aws-sqs-test_2.13	1.2.6		8ed36ec6660ce89e2d591d88136c568268dd83d5
com.github.jenshaase.uimascala	stanfordparser_2.11	0.6.1		41bffc4281169456de54259d5fab67fb7d6c0011
com.github.ldaniels528	scalajs-npm-mean-bundle-minimal_sjs0.6_2.11	0.2.3.1		17fe61861e6eca251fd4a18be2a5f55bbc3fb4e7
com.github.ldaniels528	scalajs-npm-mean-bundle-minimal_sjs0.6_2.11	0.2.3.2		c692026571f6d16987b11f5ddfcdbecb6ddc8a67
com.github.nbbrd.sasquatch	sasquatch-biostatmatt	1.0.1		74ff0c1bd7a5eafdd1ed65f094289f2fd10f5b42
com.github.nbbrd.sasquatch	sasquatch-biostatmatt	1.1.0		bce969966e00088bc1dbc3c4c61bc9ade3a4fc94
com.github.nbbrd.sasquatch	sasquatch-biostatmatt	1.1.1		0679ca0c66d9b91201b0a751083c74edb2aba149
com.github.ppadial.mavenbase	pom	1		N/A
com.github.ppadial.mavenbase	pom	2		N/A
com.github.sbt	sbt-git_sbt2.0.0-M2_3	2.1.0		2d2741941d48ac7e1a554ec1c8ae40ddd5696c48
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	10.0.0-M1		a8ea2d16e0ba04da21634bd0efa1b5492e2cbbbf
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.17.0		c95e910d56fa3ac5e53675e8b07f892163d0339d
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.18.0		da1b8be8041d8ef412ce6698acb067a77f0eae50
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.18.1		e77d63325cb70d6f92dd341b52df1784b2cc6dfc
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.19.0		88fa79a04fe75a6a9214dd3f1c1e8b730be5d3a2
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.19.1		37c30e483a57b712bbd7371a216b176919643cfc
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.19.2		7ea28907c87486dee02c7220bd30b63fa3af758d
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.19.3		e854e90cb4fe09c8a7e5cc1370cecb2011f9edf0
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.20.0		78285bf2250e9c5ca24510a0730caa381e9a128a
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.20.1		45e5ddf5d6cc024f45259426257ea5073d1ebc4d
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.20.2		6fb6544aff3e90eaa9e55de405b80a3a9e1687d9
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.20.3		0f2ebd8cde5d3bf58ceec49d791b0eb6214936cb
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.21.0		f764b2a13054d51d8fb45b54916f47d83c7cdeb1
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.21.1		969ac604536e92e594458f8ed5476430c4ffaa9f
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.21.2		4f08fc075e33c869acf39172ebccb4ef6934c443
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.22.0		c79216bcd657d252816238774856fb913f389a8f
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.22.1		272078d6c97616a19f44f4a8b7913040b1d1ad3e
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.22.2		d941ae52c4149878e82e1f83f9c5a0cf50b81b51
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.23.0		7cb6a600cc41828088a3176b2965927588877750
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.24.0		67edc179712ee1cda68f53d183e5720d229e167b
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.25.0		3c62a3e1d478a147b31710204191bccbc33283a9
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.25.1		3f188f9cf2dbeb1ff09f62ebc08221f8bcbac421
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.26.0		0c93c72bce60cc4d047edc1a586ae46dff38b5eb
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.27.0		9a06db3623812e7688c160d47a612a4a31b4c16d
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.28.0		f2e2def9be5037e9a384efc5fa281bcb1c90539b
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.28.1		f5e4a9453df207ef30b7a72ced5b7bbc89de4b5f
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.29.0		446f23c7b79fb9cf78c0b99849f93b1275e2ea74
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	6.29.1		cf36717b88b8680581dbd56192d75bfcb03dc870
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.0.0		ba85be5d727f7d1d8dcb73f316c163a4d7a4c795
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.0.0-M3		9a8995b64ff7c48efbc203eebe1914c647f1f391
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.0.0-M4		ce3d5a476e41a52c16bbe39908f3886f12633f83
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.0.0-M5		6014f9646995e2b27aa41da8a445d5c9f07d297b
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.0.0-M6		6664d719b9be91a999589abf601336786132fdaa
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.0.1		d3ef246fc0f2048ed3fd2d2c263494d416e433be
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.0.2		7e3b401b6d458f858d294bcf827bc87678cbd1cf
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.1.0		0cdda5221775bba5a32eedac09d035d93db7ce1d
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.10.0		8483f5bb09d6503a284c148caef83decaa3d4c38
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.10.1		af87abd799aef26fa602ff93c80635d687a0b24d
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.10.2		be46657d76f1a1e540738b3c25d3e975db353b63
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.17.0		9119eb34db3b1201d137de03c7db392ccb7d63ac
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.18.0		df47c4c25e795b1e466e0fc3e9a0f06292502abf
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.2.0		1575746e1866246b848520d7aa930737edf3ea46
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.2.1		bf962a396df9826d8ba1dcb4148d17bdc5bc2987
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.3.0		78dd18ad7bcff519700d4c148401d244acd1daf3
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.3.1		a7acaeb18c105b36fb4cf783a48ff7d603f9d7bc
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.4.0		e3fa8f636fdf3a4d3726c97677e9996a27064379
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.5.0		963b36144d540c54cfe08b4b8e7c4e1f5fa462f6
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.6.0		7f8fff434354d8dd89a15d25aa1ea4542772ec10
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.7.0		c0f6ddc16d0b6bd679fc64a48b07b2bb939fe9c4
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.8.0		72d37971cd67f75323eddc9470c8a4d10258607b
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.9.0		4023c3110e40726e7b62b17977eb6707a902b785
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.9.1		0fe51679c49b31d2540e80fae29cc0a4d21fe13d
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	7.9.2		36f0d73e4c6b1ed30558fbfb3eca6d38b3233c27
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0		af258e22230a9eb388d4deec7883828a3a00c4c8
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0-M1		b6389bca021872c7cd1295145288fe7bb6130038
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0-M1.1		8b128c75ac1f2fe2eda6b82d0168d23db4c2d815
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0-M2		fabb6db13b774e9dc4ea3eba76370d9641ede911
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0-M3		6a28cb5af57dc3360c8400a65ceafbaf443ab29a
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0-M4		8205bf4238ec274c2005dcde947cd31d67edb15e
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0-M4.1		3e959bc01376bffcaac17895dd48dfa671f2a634
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0-M5		7dd48b3fb8ada977aa4404779b2af27129a5fc73
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0-M6		aa625bbbe99aaad56609473f60bd0a6f9fd5dca2
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0-M7		2515fd35432d837bdfcb83456df72087ba52e9ec
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0-M8		fe17dced2b9966c50916292bc523d974c243f297
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0-M8.1		6e829ff8f014e295ab018c9cf98a4023e4106994
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0-M9		85f4e4081a0c4ee92b6ee7aae39bde0bda00751c
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0-M9.1		c022371111aebafe21221002815b6b73ba7931cb
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.0.0-M9.2		b66c9a9ec48477e92b4c3034c0033f7c15a87bee
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.1.0		faf4c1d8aace4026e6347db97f8c2834ed5820c2
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.10.0		004b90c00f00f066334667cf4c73fbc8b816a010
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.10.1		a7ddbb1b2d977cd77110b89500aaa9bfc254ee45
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.10.2		636bf57162cb812d0406f1c5653f1d12e64bf57f
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.11.0		f04bf994be8885160a097704e132de823e53b2b5
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.11.1		8278e3cb5488848d8d74fdbb4bae5fce72d7264f
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.12.0		fbd41fc11249eb9378177aebae613df46da4d81d
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.13.0		1832caf745522503582dcd5ad4ce947f6fa9634f
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.14.0		0e3f3d012e08eb949cf2151f73f2d8849c001766
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.3.0		542758e97d1f15dec5ce36ad67835b1b40b14b5c
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.6.0		fb8452c126ee7748e88bc86b7f39d4aa8c6f282c
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.8.0		03606bf2579f60efaf942003b82c10184d74281d
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	8.9.0		1f2d430b36cd3b349ec098299150f81078840fe9
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.0.0		66d924f662170db2d65d168cd52694f2c7a6fae8
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.0.0-M2		a0b52087b22ceb27b44b5d0f4276d5a436cb1353
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.0.0-M3		b7e3ad482f2efd48fc4266185123e862fe01df99
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.0.0-M3.1		54c987929f57acc7d58ed3a37ffdf739d2c90202
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.0.0-M4		e980d5412b8dc463803d2bdf1a2192c8e1e5251a
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.0.0-M5		ee3da1d45ad5ef6837ab10f177a4f40fbcaf839b
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.0.0-M5.1		7b49580611632e9f9baac65743f1d893215a9d35
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.1.0		cded3c4cb1177be5fe97e310c273a08c826e4c89
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.11.0		a98d18c943b2e9279ed5142c6c4b263a29a9c432
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.12.0		41e88158baa05b60efb54254ee5876bf09d8aeca
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.18.0		a3565fb83dad394d46b7fba065244ac15421f664
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.19.0		0905ecccc312d83d06331b1c0df2ac11b7925033
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.2.0		15331e2f00cbc04e80b788072d49f5f92a22c969
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.2.1		e0ca9663cfbf57bcafe97f454e4824b3e5e288d0
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.20.0		4fe7246b338aaa8b2600866a88b634a3999668d6
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.3.0		8032c42e28fcf49e7c49a213592cdbcecece379f
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.3.1		cac3ef3f785dd0af3258693c119df430091b7534
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.3.2		d239c47f7128094f36fbdd711600e65cfbbf4646
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.5.0		bd3498440cb81d538e3c2b899e79bc3dc1e79dde
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.6.0		25fa55bb3146df47cbe0b7197e29d7da2a3a2f28
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.7.0		4a174e16af00f5649d827cface191ed449f55a0e
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.8.0		a02031e70e205292d4b649e4a405ef6557478f00
com.googlecode.wicket-jquery-ui	wicket-jquery-ui-theme-uidarkness	9.8.1		aff9e402f1e5e98fb733522e6059240fba841eca
com.holidaycheck	amqp-akka-streams_2.12	1.3.1		8da5532c34f2d8ea5db3c8bcc3599b84afec8c9e
com.holidaycheck	amqp-akka-streams_2.12	1.4.0		c1292d1bf020b451535662966b5ecab8650c4cd5
com.holidaycheck	amqp-akka-streams_2.12	2.0.0		9506c3f50f891dd6c739f2cbf81e4b76b5e29072
com.lucadev.trampoline	trampoline-security-jwt-web	20190308		d2d61d2dbe716b8a02b8264787fd32dfbc20b718
com.lucadev.trampoline	trampoline-security-jwt-web	20190329		524c0cbef49f1b7f53593e19397409188e4a6dd0
com.lucadev.trampoline	trampoline-security-jwt-web	20190507		a8bd6b23b5dc80137fe14fa8235fcb326cb6583d
com.netradius	cloud-key-manager	1.0.0		0288e5e109011e235a5a2307ce86f2d6093fca06
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.0.0		6fb5d5a7c0927f3c5cb446bb2f586d4db6c63c0e
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.0.3		452f25cfe9e5082bee2886397fdbd9d2425ff511
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.0.4		79d56e99f59b2c145f8ebe757e6daf4ba8324db9
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.1.0		45fe204580bb307daea3b20a6ca199f5f4edb331
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.1.1		d0de681152c242d5858db087b7c26c494e893204
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.1.2		7f07ed0616f8171891bd596dcf3fd89e2ace0c21
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.1.3		10165124b24f12ddfa6693bdcb213dbf6520d853
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.1.4		e27c0fe3415fbc5e43d2719163d9c4ffef9bcfda
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.1.5		4aa5cc6a32952835fba48678af8227062ca62d36
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.1.6		22c1c27e70240f880a43341f0e62a964de325a74
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.1.7		98ea1b2c092ae4256b58ca3a5d978e1d5b3dda75
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.1.8		d326d628bfa67354dfb107410d853ee8ecf2a85f
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.2.0		80e042e6471ae3292eab1c2f37e4159d078e4f21
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.2.1		9e20fe8cc1f9011b005572b5dc2c1d5a72fa0ada
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.2.10		5836d68b943018b9dc114cff0886a9edc8efa405
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.2.11		d4b2f93a14be19709aabb987200ecc55604e7696
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.2.3		a097511f327ff6eae3a0900993f4623d25933f21
com.playtika.reactivefeign	feign-reactor-webclient-jetty	3.2.4		d915211632206b976edf720b831dc5e7433b46e9
